MP,Date,Language,Title,Url,Content
Marie TOUSSAINT,2023-12-12,FR,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-471-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Monsieur le Président, les bombes continuent de tomber sur l’Ukraine, et nous devons continuer sans trêve, sans relâche, à soutenir le peuple ukrainien au nom des droits de l’homme, de la démocratie, du projet européen lui—même. Honte à ceux qui, aujourd’hui, lui tournent le dos.
Cette guerre, ce sont des dizaines de milliers de victimes civiles, des milliers de vies brisées, de villes détruites, d’enfants orphelins, de femmes violées. Derrière cette dévastation humaine, ce sont les conditions d’habitabilité de l’Ukraine qui se dégradent de manière vertigineuse. Des forêts incendiées, des rivières polluées, des terres boursouflées de mines, de bombes et d’obus toxiques – soit 200 000 hectares contaminés pour plusieurs générations peut-être –, et, bien sûr, le bombardement écocidaire du barrage de Kakhovka.
Alors, notre responsabilité d’Européens est de tout faire pour aider l’Ukraine à atteindre la paix et à se reconstruire. Pour cela, nous devons d’urgence porter ce crime d’écocide, que nous sommes en train d’intégrer dans notre droit, au niveau international, afin de pouvoir juger ensemble des crimes commis par Vladimir Poutine en Ukraine. Sans justice, il n’y a ni paix ni sécurité. Alors soyons à la hauteur de l’histoire.
"
Marie TOUSSAINT,2023-11-08,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-038-0000_FR.html,"  Marie Toussaint,  au nom du groupe Verts/ALE. – Madame la Présidente, chers collègues, il y a quelques mois éclatait un nouveau scandale: le «Pesticide Gate». Nous apprenions alors que plusieurs firmes de pesticides, notamment Syngenta et Bayer Monsanto, avaient sciemment caché aux autorités européennes les résultats d’études démontrant la toxicité de leurs produits sur les citoyennes et les citoyens, et en particulier sur les enfants.
La Commission européenne a alors dénoncé une violation des obligations légales. Mais depuis, rien. Ni commission d’enquête, que nous avions pourtant proposé de lancer au sein du Parlement européen, ni simple prise de position de notre instance, pourtant supposée défendre l’intérêt des Européennes et des Européens en garantissant en particulier le respect de nos lois.
Chers collègues à droite de cet hémicycle: votre refus de regarder le problème en face est indigne et irresponsable. En détournant le regard, vous encouragez l’impunité même que nous combattons. Je demande donc ici à ce que soit portée à l’ordre du jour une déclaration de la Commission et du Conseil sur l’absence de transparence des autorisations pour les pesticides et leurs risques pour l’environnement et la santé humaine. Ceci sans résolution pour ce soir, ce mercredi soir, avec un tour de parole par groupe politique. Et je demande, Madame la Présidente, à ce que cela puisse être effectué par un vote par appel nominal.
"
Marie TOUSSAINT,2023-11-08,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-040-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Madame la Présidente, espérons que cette fois, cela reçoive l’agrément de notre hémicycle. C’est simple: le 16 novembre prochain, les États membres sont amenés à valider la proposition de la Commission européenne visant à renouveler la licence du glyphosate pour dix années supplémentaires. Nous le refusons. Nous disons stop au glyphosate parce que quand de si nombreuses études indépendantes dénoncent la toxicité de ce produit pour la santé humaine, eh bien réautoriser le glyphosate est criminel. Quand tant d’autres études dénoncent les ravages provoqués par cet herbicide sur la nature et la biodiversité, réautoriser le glyphosate est une trahison. 
Il faut de toute urgence garantir la protection de notre santé et du vivant en tournant immédiatement et définitivement la page du glyphosate. C’est un enjeu majeur de santé publique. Nous n’avons qu’une vie. Défendons-la ensemble. 
Alors, mes collègues, je vous propose que nous inscrivions à l’ordre du jour de demain matin, à 8 h 30, un débat avec résolution intitulé «Déclaration de la Commission et du Conseil sur le renouvellement du glyphosate et l’urgence d’une sortie». Ce débat serait organisé avec une prise de parole par groupe politique et je souhaite deux votes distincts: un sur la tenue du débat et l’autre sur l’adoption d’une résolution.
"
Marie TOUSSAINT,2023-11-08,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-046-0000_FR.html,"  Marie Toussaint,  au nom du groupe Verts/ALE. – Non, je souhaite mettre au vote notre proposition.
"
Marie TOUSSAINT,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-365-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Madame la Présidente, j'ai une minute, une petite minute pour parler d'une douleur qui dure depuis des siècles, celle du peuple arménien martyrisé, humilié et si peu défendu. Parler de l'exode en cours au Haut-Karabakh, c'est parler de notre responsabilité, de notre complicité, c'est parler du gaz que nous préférons importer plutôt que de nous opposer à une épuration ethnique en cours. 
Détourner le regard n'est pas seulement une faute morale, c'est également une tragique erreur géopolitique. Car, quand il y a un agresseur et un agressé, on ne peut prétendre être neutre sans cautionner l'agression. N'avons-nous rien appris de l'histoire? Avons-nous oublié le génocide de 1915? J'ai honte de cette Europe qui sait mais ne fait rien. 
Et nous le savons, le risque est aujourd'hui celui de l'atteinte à l'intégrité territoriale de l'Arménie. Alors oui, nous avons besoin de forces de paix, oui, nous avons besoin de sanctions commerciales et économiques. Oui, nous devons dénoncer immédiatement l'accord gazier honteux signé avec Aliyev. Il faut imposer un rapport de force si nous voulons protéger la paix et le peuple arménien. Nous ne pouvons pas faillir, sinon l'Europe aura du sang sur les mains.
"
Marie TOUSSAINT,2023-10-02,FR,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-113-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Monsieur le Président, l'amiante est un tueur invisible qui a causé bien des souffrances et abrégé bien trop de vies. Des vies volées par l'indifférence à la souffrance ouvrière, des vies empoisonnées par la loi du profit placé au-dessus de la protection des travailleurs et des travailleuses. Pourtant, leurs vies comptent. Rien qu'à Dunkerque, en France, plus de deux mille victimes de l'amiante, comme Pierre Pluta, ont encore été récemment déboutées. Plus d'un quart de siècle de lutte contre ceux qui les ont sciemment exposés à l'empoisonnement. En vain. 
Je tiens donc à remercier ceux et surtout celles qui ont permis à cette directive d'être plus ambitieuse. Mais le texte que nous adoptons ne fait malheureusement aucune place au régime de responsabilité que nous souhaitions établir, pas plus d'ailleurs qu'à la prise en compte de l'exposition à l'amiante dans les régimes de protection sociale. Des centaines de milliers de travailleurs souhaitent aujourd'hui être protégés, être enfin correctement reconnus et que les responsables soient sanctionnés. La situation est aussi terrible dans nos écoles pour nos enfants. 
Le texte que nous adoptons aujourd'hui n'est donc qu'une étape. Nous avons urgemment besoin d'une directive visant la détection obligatoire de l'amiante, avec des techniques efficaces comme les prélèvements surfaciques, des moyens et l'établissement d'une véritable justice.
"
Marie TOUSSAINT,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-036-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Madame la Présidente, chers collègues, l’extrême droite affirme que le 9 juin prochain, nous aurons un choix à faire, un choix de civilisation. Eh bien, c’est vrai. Soit nous choisissons le déclin et l’enfermement national populiste, soit nous faisons le choix de l’écologie pour répondre au nouveau régime climatique et à la justice sociale. C’est ce choix que nous aurons à faire.
Madame la Présidente, j’ai bien écouté votre discours, à certains égards courageux, mais je veux vous parler de l’écologie, parce que j’ai entendu vos paroles, mais j’ai aussi entendu vos silences. Vous nous parlez de la beauté des forêts européennes, de la mer des Wadden, mais vous persistez dans votre silence sur la restauration de la nature. Or, cette loi doit être adoptée, vous le savez, il faut tenir bon. Votre discours, finalement, est celui d’une captive prise au piège de la prison rétrograde des dogmes de votre famille politique. Mais le nouveau régime climatique ne nous laisse pas le choix, et vous le savez aussi.
Il faut comprendre que les lois de l’économie ne sont pas au-dessus des lois de la nature et qu’il faut réencastrer l’économie dans les limites planétaires. Les écosystèmes ont des droits qui doivent être reconnus. Nous devons sortir de la civilisation des substances toxiques, des PFAS, des menaces environnementales, et ça c’est le règlement sur les substances chimiques. Nous devons aussi interdire l’exportation de pesticides et de substances chimiques que nous considérons trop dangereuses pour être autorisées sur notre territoire. Nous avons aussi besoin d’une loi sur le bien-être animal.
La bataille pour l’écologie est une bataille pour sauvegarder la possibilité de vivre sur notre planète. Notre devoir commun et de tenir bon face aux marchands de mort et aux bonimenteurs climatosceptiques.
"
Marie TOUSSAINT,2023-09-12,FR,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-042-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Monsieur le Président, la planète traverse une crise écologique profonde et l’Europe n’y échappe pas. Nous sommes entrés dans un nouveau régime climatique, comme le montrent les incendies sans précédent en Grèce, la sécheresse en Espagne, et l’on pourrait en citer d’autres. Mais au lieu de renouer avec le vivant, la guerre continue, menée ici par les droites qui s’opposaient avant l’été à la loi sur la restauration de la nature. Avant l’été d’ailleurs, la présidente de la Commission s’était tue sur la restauration de la nature, et la présidente du Parlement s’était faite discrète.
Madame Metsola nous dit désormais que ce sont les politiques climatiques qui alimentent le populisme en Europe, au moment même où des millions d’Européennes et d’Européens subissent dans leur chair le dérèglement climatique qui nous frappe. La vérité, c’est que ce qui nourrit le populisme est la même chose que ce qui nourrit la crise écologique. Ce qui nourrit les crises démocratiques et écologiques, c’est la façon dont les dirigeants plient l’échine face aux lobbies et aux règles du marché roi. C’est le refus de changer un système mortifère qui écrase les êtres humains et détruit la nature. Il est temps de changer de logique si nous voulons conjurer l’effondrement du vivant. Chaque minute compte, nous devons agir.
"
Marie TOUSSAINT,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-051-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Monsieur le Président, chers collègues, nous vivons l’effondrement accéléré du vivant sous l’effet de la perte de biodiversité et du dérèglement climatique. Tout le monde le sait. La loi sur la restauration de la nature a une portée cruciale. Elle doit être adoptée. Chaque parlementaire de cet hémicycle a entre ses mains une part du destin de l’humanité. Alors, chers collègues, ouvrez les yeux!
Des millions d’espèces disparaissent, nos champs s’appauvrissent, nos sols s’assèchent, nos forêts brûlent. C’est la vie elle-même qui disparaît. Cette loi devait être la plus importante loi pour la biodiversité adoptée depuis 20 ans. Et pourtant, vous, à droite et à l’extrême droite de cet hémicycle, vous vous échinez à la réduire à néant. En condamnant la nature, vous condamnez notre futur.
Où est donc passée votre conscience? A-t-elle été achetée par les lobbies? Est-elle inexistante? Que direz-vous à vos enfants? Nous avons sacrifié la nature pour réussir l’union des droites européennes? C’est indigne, c’est irresponsable et c’est criminel. Alors, chers collègues de droite, il est encore temps de vous ressaisir. Je vous appelle à désobéir à vos chefs qui vous déshonorent et à adopter cette loi.
"
Marie TOUSSAINT,2023-06-13,FR,Humanitarian and environmental consequences of the destruction of the Nova Kakhovka dam - Sustainable reconstruction and integration of Ukraine into the Euro-Atlantic community (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-029-0000_FR.html,"  Marie Toussaint (Verts/ALE).   – Monsieur le Président, «la pire catastrophe environnementale en Ukraine depuis Tchernobyl»: c’est ainsi que le gouvernement ukrainien a qualifié l’attaque sur le barrage de Kakhovka. Et pour cause: 18 milliards de tonnes d’eau ont été relâchées, faisant monter le niveau de la rivière de six mètres. Les désastres observés devraient s’étendre sur 5 000 kilomètres: 5 000 kilomètres de terres inondées, dont 11 parcs naturels et 48 zones protégées; 5 000 kilomètres d’organismes en décomposition, de polluants, de métaux lourds et d’engrais, qui iront peut être se déverser jusqu’en mer Noire, où des dizaines de milliers de dauphins ont déjà été retrouvés morts depuis le début du conflit; 450 millions de tonnes d’huile de moteur qui se sont déversées; et, en fin de course, le risque d’un accident à la centrale nucléaire de Zaporijjia, venant réveiller le douloureux souvenir de l’écocide dévastateur de Tchernobyl.
Oui, l’attaque sur le barrage de Kakhovka a causé un écocide. L’enquête ukrainienne s’est d’ailleurs ouverte sur la base de l’article 441 du code pénal ukrainien instituant l’écocide. Alors, je pose la question. L’Ukraine nous a demandé d’accélérer son adhésion à l’OTAN et à l’Union, et nous lui avons répondu. Le gouvernement ukrainien nous a demandé un appui militaire, et nous lui avons répondu. Volodymyr Zelensky nous demande depuis des mois de reconnaître le crime d’écocide, afin de faciliter le jugement des crimes commis par Vladimir Poutine en Ukraine. Or le silence règne. Pourquoi?
"
