MP,Date,Language,Title,Url,Content
Marie-Pierre VEDRENNE,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-015-0000_FR.html,"  Marie-Pierre Vedrenne,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, menace sur nos importations de gallium, menace sur nos importations de germanium, menace sur nos importations de graphite, menace sur nos importations d’oxydes de terres rares: ce sont des exemples de nos vulnérabilités européennes, et il est temps de mettre fin à cette situation de dépendance avec l’adoption de ce texte sur les matières premières critiques, afin de diversifier les coopérations et d’accompagner nos partenaires dans l’atteinte de l’objectif de neutralité carbone.
Voici la particularité européenne: agir ensemble pour relever les défis globaux. Pour faire adhérer États tiers et citoyens européens, il nous faut expliquer, convaincre, être transparents. C’est pourquoi nous devons débattre dès à présent de la mise en œuvre de tous ces partenariats. L’Europe a besoin de sortir de ses dépendances, mais elle doit le faire d’une façon qui profite à toutes et qui soit transparente. Voilà la particularité européenne, voilà ce que nous avons défendu, voilà ce qui doit devenir réalité.
"
Marie-Pierre VEDRENNE,2023-12-12,FR,EU-Taiwan trade and investment relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-083-0000_FR.html,"  Marie-Pierre Vedrenne,  au nom du groupe Renew. – Monsieur le Président, regardons bien Taïwan: un État démocratique, qui respecte l’état de droit, qui s’engage pour un ordre international fondé sur des règles, qui vise une transition verte, durable, équitable pour tous.
Regardons bien Taïwan, un État clé dans une région clé, un État qui voit passer presque la moitié du commerce mondial, un État qui fait face à nos rivaux systémiques, un État qui subit directement menaces et intimidations, justement parce qu’il partage nos valeurs. 
Regardons bien Taïwan, un État qui fournit une grande majorité des composants électroniques nécessaires à notre double transition écologique et numérique, un État qui cherche à développer ses investissements à l’étranger, et particulièrement en Europe.
Tout semble donc propice au renforcement de nos relations commerciales et en matière d’investissement, et ce Parlement européen l’a déjà appelé de ses vœux. Pourtant, les choses bloquent, alors que d’ordinaire la Commission européenne est si prompte et si encline à vouloir multiplier les accords de commerce. Monsieur le Commissaire Dombrovskis, vous venez d’évoquer le respect des normes européennes et je m’en réjouis. Alors, pourquoi, finalement, de telles oppositions? On nous parle d’avancées sectorielles. Mais quand? Comment? Pourquoi laissons-nous d’autres États bénéficier de ces investissements d’avenir?
Monsieur le Commissaire, les relations de demain se construisent aujourd’hui. Alors oui, regardons bien Taïwan et ne tournons pas le dos à cet État qui ne demande qu’à travailler avec nous
"
Marie-Pierre VEDRENNE,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-434-0000_FR.html,"  Marie-Pierre Vedrenne (Renew),  question ""carton bleu"". – Oui, je suis française. Au moins, je peux reconnaître votre courage, comparé à votre autre collègue, d’accepter cette question «carton bleu» – premièrement.
(Mots inaudibles dans l'hémicycle de la part de France Jamet)
Ah, d’accord, vous êtes attendue ailleurs… Vous êtes toujours attendue, à vrai dire!
Vous évoquez le fait que l’Union européenne ne serait pas à la hauteur. Mais qu’est-ce que vous faites depuis le début du mandat pour réformer le contenu des accords de commerce? Qu’est-ce que vous faites de manière concrète pour, justement, avoir une véritable stratégie sur la sécurité économique, qui réponde à nos objectifs de protection et de souveraineté? Rien. Comme d’habitude. Vous êtes ici, à instrumentaliser des peurs, des craintes, mais vous n’apportez aucune solution. Des mots, des mots, toujours des mots, avec vous, mais jamais d’actes pour, justement, changer les choses. C’est inacceptable et c’est toujours inadmissible!
"
Marie-Pierre VEDRENNE,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-441-0000_FR.html,"  Marie-Pierre Vedrenne (Renew).   – Monsieur le Président: prise de contrôle de nos entreprises, transferts de technologies forcés, tentatives d’intimidation, contrôle effectif de nos importations et de nos exportations… Face à toutes ces attaques et à tous ces chantages, l’Europe doit avoir une stratégie forte, coordonnée et claire. Voilà ce qui a guidé depuis le début de notre mandat notre action.
Continuons notre travail avec une stratégie ambitieuse et efficace en matière de sécurité économique, qui protège nos entreprises des investisseurs prédateurs étrangers, qui protège les investissements européens hors de notre marché, qui s’assure que nos exportations ne seront pas utilisées contre nous. Montrons que l’Europe est, oui, bel et bien crédible pour protéger ses intérêts. Montrons que l’Europe, oui, façonne des règles internationales justes. Montrons réellement que l’Europe demeure un acteur de demain, et pas seulement un acteur d’hier.
"
Marie-Pierre VEDRENNE,2023-12-12,FR,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-533-0000_FR.html,"  Marie-Pierre Vedrenne,  au nom du groupe Renew. – Monsieur le Président, nous ne pouvons plus rester les bras croisés face au contournement des sanctions contre la Russie et aux violations répétées des droits de l’homme dans le Xinjiang. Nous ne pouvons plus accepter la concurrence déloyale d’un marché chinois fermé aux entreprises européennes. Nous ne pouvons plus laisser ce rival systémique avoir la mainmise sur nos infrastructures stratégiques.
Vous l’avez dit, Monsieur le Haut Représentant, le sommet entre la Chine et l’Union européenne aurait pu être un cadre de discussions constructives, avec des actions concrètes. Au lieu de cela, son échec souligne la nécessité pressante de repenser notre ouverture. L’enquête en cours sur les voitures électriques est une bonne chose, mais elle ne doit pas être la dernière.
En dépit du fait que ni les sommets ni les dialogues ne fonctionnent, l’Union européenne doit continuer de se donner les moyens, grâce à une stratégie de sécurité économique efficace et ambitieuse, notamment. C’est seulement en Européens unis que nous atteindrons nos objectifs. C’est seulement en Européens unis que nous protégerons nos industries et que nous garantirons un jeu équitable du commerce avec des règles transparentes et respectées.
"
Marie-Pierre VEDRENNE,2023-11-22,FR,Destruction of judicial independence and the persecution of democrats in Hong Kong (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-258-0000_FR.html,"  Marie-Pierre Vedrenne (Renew).   – Monsieur le Président, l’Union européenne est bien plus qu’une simple unité économique. C’est un projet politique fondée sur le respect de l’état de droit. Et depuis des années, les citoyens de Hong Kong nous montrent que cet idéal compte. Que oui, une justice indépendante vaut la peine qu’on se batte pour elle. Aujourd’hui, ils en paient le prix. Répressions, disparitions, emprisonnements, procès arbitraires. Elle est là, la réponse du gouvernement chinois. Et ne nous y trompons pas, cette réponse nous est aussi destinée et nous devons être très fermes. 
Mais pour être entendue, l’Union européenne doit être unie. En Européens, nous devons mettre fin à notre dépendance à l’égard de la Chine, travailler à notre autonomie stratégique, accélérer notre réduction des risques, ne laisser passer aucune attaque contre l’état de droit et soutenir le peuple de Hong Kong. 
Oui, Madame la Commissaire, ce n’est qu’avec une Europe forte que nous pourrons aider les citoyens de Hong Kong. Alors, cessons de tergiverser et avançons.
"
Marie-Pierre VEDRENNE,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-177-0000_FR.html,"  Marie-Pierre Vedrenne (Renew).   – Madame la Présidente, Monsieur le Commissaire, oui, je vais voter en faveur de l’accord entre l’Union européenne et la Nouvelle-Zélande. Oui, je soutiens les avancées obtenues avec un partenaire fiable et ambitieux, avec une démocratie parlementaire qui nous ressemble. Oui, je soutiens les garanties environnementales que contient l’accord, avec la mention de l’Accord de Paris et enfin avec un système de sanctions. Oui, je soutiens les gains économiques concrets pour les entreprises européennes et françaises ainsi que la reconnaissance des indications géographiques.
Alors, nous serons la seule force politique française capable d’assumer une telle vision. Les autres délégations allant souvent à l’encontre de leur groupe européen restant dans un carcan idéologique dépassé, alors que cet accord doit devenir un standard minimum, un standard pour toutes les négociations en cours et à venir. C’est seulement avec la réciprocité des normes environnementales et agricoles que nous avancerons, et cet accord les façonne. C’est seulement ainsi, avec cet accord, que nous façonnerons un commerce régulé, durable et juste.
Alors allons de l’avant avec cet accord. Ne soyons pas des populistes comme peuvent l’être l’extrême droite, comme ils l’ont fait tout à l’heure. Et véritablement avançons pour façonner le commerce mondial et ne restons pas dans les dogmes du passé.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Marie-Pierre VEDRENNE,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-179-0000_FR.html,"  Marie-Pierre Vedrenne (Renew),  réponse «carton bleu». – Comme je le disais effectivement, j’attendais ce carton bleu avec impatience pour avoir un vrai débat de fond et un vrai débat ambitieux sur ces sujets. Oui, vous avez raison, c’est Emmanuel Macron qui l’a dit.
Et quelle est notre action ici au Parlement européen? Ne pas être dans les dogmes, mais véritablement agir pour façonner les accords de commerce. Parce que vous nous dites que vous ne voulez pas d’accords de commerce, très bien, mais pas d’accords de commerce, ça veut dire quelles règles? Alors que nous, nous nous sommes battus ici parfois à l’encontre de notre groupe politique pour justement façonner ces nouvelles règles.
Très honnêtement, je n’ai pas attendu aujourd’hui et chaque jour je suis sur le terrain avec les agriculteurs, avec les agriculteurs bretons notamment, pour façonner les règles. Donc on continuera à se battre, et je me tourne aussi vers Monsieur le Commissaire, l’enjeu sera la mise en œuvre, et il sait que là aussi, je serai extrêmement exigeante.
"
Marie-Pierre VEDRENNE,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-182-0000_FR.html,"  Marie-Pierre Vedrenne (Renew),  réponse «carton bleu». – Alors je vais essayer de coupler les deux éléments et je vais rebondir sur les propos de Monsieur Caspary pour également apporter une réponse à madame Aubry. Parce qu’effectivement, Monsieur Caspary, vous avez raison de souligner que les Français brandissent l’argument climatique pour les importations, mais jamais pour les exportations. Je reconnais toutefois que ce n’est pas le cas de Manon Aubry. D’autres oui, mais pas elle. Donc je vous remercie pour cette question, qui permet de souligner l’incohérence de certains parlementaires français de différents bords politiques, spécifiquement d’extrême droite. 
Pour répondre plus spécifiquement sur la question de la réciprocité, on continuera de se battre, comme on le fait chaque jour sur les questions des mesures miroirs. Mais je ne vous laisserai pas dire que les produits qui rentrent sur le marché européen ne respectent pas les normes européennes. Il y a des questions de concurrence déloyale effectivement, mais il y a un vrai respect sur la question de la santé publique.
"
Marie-Pierre VEDRENNE,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-121-0000_FR.html,"  Marie-Pierre Vedrenne,  rapporteure pour avis de la commission de l’emploi et des affaires sociales. – Madame la Présidente, monsieur le Commissaire, nous devons tout faire pour atteindre nos objectifs climatiques. Nous devons tout faire pour relocaliser nos industries. Nous devons tout faire pour mettre fin à nos dépendances. Nous devons tout faire pour répondre au besoin de main d’œuvre de nos entreprises et former nos travailleurs.
La réponse, elle est européenne: c’est celle du règlement pour une industrie zéro ne». Nous posons notamment ici les bases d’un acte législatif favorisant l’achat de produits européens (Buy European Act). Cela passera par des critères plus stricts dans l’attribution des marchés publics (qu’ils soient sociaux ou environnementaux) pour que nos entreprises européennes ne soient plus désavantagées. Cela passera par des formations ciblées afin que les travailleurs européens disposent des compétences requises. Cela passera par un système plus simple de permis pour les usines de technologies propres. C’est seulement ainsi, engagés en Européens, que nous arriverons à garder le cap fixé depuis le début du mandat «climat, compétitivité, souveraineté» et tout cela en même temps.
"
