MP,Date,Language,Title,Url,Content
Marina MESURE,2023-11-20,FR,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-099-0000_FR.html,"  Marina Mesure (The Left).   – Madame la Présidente, les scientifiques s’apprêtent à déclarer l’année 2023 comme la plus chaude jamais enregistrée. Année après année, les records de chaleur sont battus, surpassant les pires prévisions du GIEC. Derrière les chiffres, c’est la destruction des écosystèmes aux conséquences encore impossibles à évaluer pour la nature et les êtres humains. 
Pour le GIEC, 0,1 degré de réchauffement climatique de plus, c’est 100 millions de décès prématurés. Face au dérèglement climatique, nous avons une responsabilité immense pour nous et les générations à venir. Il nous faut une bifurcation écologique et celle-ci doit être juste. 
La justice, c’est créer une assurance mondiale couvrant les dommages causés par le changement climatique dans les pays aux ressources limitées. C’est une assurance fondée sur des subventions et non des prêts à laquelle abonderaient avant tout les pays qui se sont enrichis pendant des années sur le dos de la planète. C’est aussi prendre acte, une bonne fois pour toute, que l’écologie sans lutte des classes, c’est du jardinage. Il faut changer absolument de modèle.
En conclusion, nous devons aller à la COP avec un mandat fort. Un mandat fort contre les lobbys. Un mandat fort pour la solidarité internationale face au dérèglement climatique. Un mandat pour défendre l’intérêt général face aux intérêts privés et notamment ceux des industries pétrogazières. Et enfin un mandat pour porter un espoir collectif, pour notre génération et les générations à venir.
"
Marina MESURE,2023-10-02,FR,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-073-0000_FR.html,"  Marina Mesure (The Left).   – Monsieur le Président, dans notre code pénal, il existe un délit grave: celui de la non-assistance à personne en danger. Cette infraction répond à un devoir moral: agir en toute circonstance pour ne pas abandonner les plus vulnérables. Un tel devoir n’existe pas encore dans le droit européen. 
Pourtant, il porte un message essentiel: dans un contexte où 50 % des Européens sont en situation de privation, qu’ils n’ont pas pu augmenter le chauffage quand ils avaient froid, et que 30 % de nos concitoyens ont été obligés de sauter un repas malgré la faim – en d’autres termes: quand des besoins vitaux tels que se nourrir et se chauffer sont entravés de la sorte dans l’une des principales économies mondiales –, c’est une faute grave que de ne pas porter assistance à celles et à ceux qui en ont besoin. 
Il faut agir et vite: augmenter les fonds pour les plus démunis afin de soutenir les associations qui pallient au quotidien nos carences politiques, revenir à des tarifs réglementés pour ne plus asphyxier nos ménages, et aussi changer totalement de logiciel – car la misère est le fait de choix politiques: en finir avec l’austérité et bloquer les marges des grandes entreprises qui font des bénéfices records, ou, mieux encore, répartir la richesse. 
La liste est longue et les solutions nombreuses, si nous avons la volonté politique. 
"
Marina MESURE,2023-10-02,FR,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-101-0000_FR.html,"  Marina Mesure,  rapporteure pour avis de la commission ENVI. – Monsieur le Président, défendre les travailleurs au sein des institutions européennes n’est pas toujours facile. Cependant, il existe parfois des combats qui nous rassemblent dans notre humanité. C’est le cas de la protection des travailleurs contre l’exposition à l’amiante. Le Parlement, hormis quelques députés d’extrême droite, était uni derrière une réforme législative ambitieuse, qui permettra de sauver de nombreuses vies et de dédommager celles durement frappées par cette fibre mortelle. 
Cette unité va nous permettre notamment de mieux protéger les travailleurs grâce à de meilleurs équipements et à une formation plus complète, de protéger non seulement les travailleurs du bâtiment, mais toute personne exposée dans ses fonctions professionnelles. C’est aussi reconnaître, enfin, que l’exposition à l’amiante n’est jamais sans risque et faciliter la reconnaissance du préjudice subi par les victimes et leurs familles. 
Je tiens à saluer la mémoire de notre collègue, Véronique Trillet-Lenoir, qui a défendu le mandat du Parlement européen jusqu’à son décès. Une femme politique qui est restée jusqu’au bout impliquée pour la santé publique. Chers collègues, pour une fois, nous avons été à la hauteur de l’enjeu: celui de sauver des vies face au fléau de l’amiante. 
"
Marina MESURE,2023-09-14,FR,The Union’s electricity market design (A9-0255/2023 - Nicolás González Casares)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-134-0000_FR.html,"  Marina Mesure (The Left).   – Monsieur le Président, chers collègues, l’électricité est un bien essentiel. Il est probablement l’un de ceux qui intéressent le plus les Européens. Il serait donc choquant que le Parlement européen ne puisse pas se prononcer sur un sujet aussi fondamental, alors même que la crise des prix de l’énergie fait basculer des millions de ménages dans la précarité, les privant souvent de besoins vitaux comme se chauffer et s’éclairer. Une crise qui mène des milliers de TPE, de PME, d’artisans, de boulangers à la faillite, asphyxiés par des factures d’électricité qui ont été multipliées par dix ou vingt. Et, ironie du calendrier, on annonce ce matin en France une hausse de 20 % des tarifs de l’électricité d’ici 2024. 
Dans ce contexte, cette réforme du marché de l’électricité est probablement l’une des réformes les plus importantes de la mandature. Les ménages, les collectivités, les entreprises, les industries ont les yeux rivés sur nous et nous devons leur rendre des comptes. C’est ce que nous avons fait en débattant dans cet hémicycle de toutes les législations sur le climat. Faisons de même pour l’avenir du secteur de l’électricité. 
Cette objection que nous formulons aujourd’hui pour pouvoir débattre en plénière est soutenue par des députés de plusieurs groupes pour des raisons différentes. Certains voudront, comme l’extrême droite, approfondir le marché, d’autres y voient un moyen de renforcer le nucléaire et inclure le charbon. Ce n’est pas notre position. Pour nous, c’est la conviction profonde que l’énergie n’a pas vocation à être gérée par le marché et que les prix de l’électricité doivent correspondre au coût moyen de production.
Chers collègues, ce dont ont besoin les ménages et les entreprises, c’est de la prévisibilité sur leur facture d’électricité et cela passe nécessairement par des tarifs réglementés. Mais au fond, quelles que soient nos divergences, débattons-en ici. À l’heure où tous les baromètres témoignent de la défiance grandissante des Européens vis-à-vis des institutions, montrons-leur que les sujets qui les préoccupent au quotidien sont au cœur de nos préoccupations.
"
Marina MESURE,2023-09-12,FR,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-216-0000_FR.html,"  Marina Mesure (The Left).   – Monsieur le Président, la pollution de l’air, c’est près de 300 000 décès prématurés par an en Europe. 97 % des Européens sont exposés à des polluants atmosphériques.
L’Union a donc la responsabilité d’endiguer cette épidémie silencieuse avec un cadre législatif ambitieux. Cela comprend des seuils de polluants abaissés, le droit à la réparation pour les victimes et une mise en œuvre rapide et efficace par les États membres. Je dis «mise en œuvre rapide et efficace», car certains États, comme la France, ont été condamnés à de multiples reprises pour non-respect de la législation actuelle, démontrant l’incurie de nos dirigeants, peu enclins à protéger la santé de leurs concitoyens.
Quant à la droite et l’extrême droite, ils ont proposé de manière scandaleuse de repousser de près de cinq ans l’application du texte dans son ensemble. Ils se sont battus pour faire sortir certaines substances toxiques de la liste des polluants régulés et pour supprimer l’ensemble des dispositions sur le droit au dédommagement des victimes. Je déplore qu’ils défendent l’intérêt des pollueurs contre la santé humaine, mettant en péril ce texte ambitieux, capable de sauver des millions de vies; que les citoyens, en dehors de cet hémicycle, le sachent.
J’en appelle donc à votre humanité: votez cette législation et gardez son ambition. 
"
Marina MESURE,2023-09-11,FR,Surface water and groundwater pollutants (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-084-0000_FR.html,"  Marina Mesure,  au nom du groupe The Left. – Madame la Présidente, l’eau est une ressource primordiale à notre survie. Pourtant, cette ressource se raréfie et est de plus en plus contaminée par diverses substances toxiques. Désormais, ce sont plus de 60 % des eaux de surface de l’Union européenne qui sont polluées. Et cela fait plus de dix ans que le Fonds mondial pour la nature dénonce la non-application des protocoles et réglementations pour mesurer la qualité de l’eau, ce qui signifie que ces chiffres sont sous-évalués.
Dans ce contexte, nous devons d’abord faire respecter la législation actuelle et la compléter. Je salue à ce titre les nouvelles directives qui proposent notamment l’augmentation des stations de surveillance, d’élargir les substances à contrôler et de réduire les seuils autorisés. Mais il faudra aller plus loin encore: l’Union européenne doit déployer plus de moyens pour remplir la promesse de restauration de la qualité des eaux d’ici à 2027.
Et je regrette profondément, je dois le dire, la position de la droite en commission, qui a voulu conditionner la surveillance et la protection de nos eaux au fait que cela n’engendre pas des coûts excessifs. Je vous propose de passer trois jours sans eau pour relativiser la notion de «coût excessif» lorsqu’il s’agit d’une ressource vitale à notre survie. Je conclus en disant que l’eau est un bien commun de l’humanité et nous devons absolument continuer notre combat pour le protéger.
"
Marina MESURE,2023-07-12,FR,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-235-0000_FR.html,"  Marina Mesure,  au nom du groupe The Left. – Madame la Présidente, les PME représentent 99 % des entreprises de l’Union européenne. Elles emploient plus de 100 millions de personnes et ont un rôle majeur dans notre société. Elles sont instrumentalisées chaque jour, par pure démagogie, par la droite et l’extrême droite, qui ne font rien pour les protéger le moment venu.
Car aujourd’hui, la principale menace qui pèse sur les PME européennes, c’est leur facture d’électricité. Des dizaines de milliers de PME ont fait faillite en Europe pendant la crise énergétique, faute de contrôle sur les prix de l’électricité. C’est le résultat de la libéralisation du secteur de l’énergie. Comment irez-vous expliquer auprès des restaurateurs, des boulangers et des artisans qu’un marché qui, du jour au lendemain, multiplie par dix ses factures au seul profit des énergéticiens est préférable à des tarifs réglementés? Comment expliquerez-vous le développement des fameux PPA, c’est-à-dire la privatisation de l’électricité la moins chère à produire par les plus gros industriels au détriment des PME?
La semaine prochaine a lieu un vote crucial pour les PME européennes, sur la réforme du marché de l’électricité. Protégeons les PME avec le retour des prix régulés de l’électricité, apportons-leur la visibilité et réduisons leurs coûts fixes pour permettre une grande compétitivité et l’augmentation des salaires. Voilà la trajectoire à prendre en faveur des PME européennes. 
"
Marina MESURE,2023-07-11,FR,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-525-0000_FR.html,"  Marina Mesure,  au nom du groupe The Left. – Monsieur le Président, c’est officiel, la terre ne suffit plus à nous faire vivre. Dans deux semaines, ce sera le jour du dépassement. Cette date à partir de laquelle, chaque année, nous avons consommé toutes les ressources que la Terre peut renouveler en un an. Une date qui, chaque année, avance inexorablement et nous rappelle que nos ressources ne sont pas inépuisables.
Dans ce contexte, cette directive sur l’écoconception, qui permet de rendre nos produits plus durables, réparables, recyclables dès leur conception, est primordiale. Elle interdit notamment l’obsolescence programmée, un fléau grotesque et absurde qui vise à abandonner le progrès pour faire plus de profit et consommer davantage. Elle doit de la même manière interdire la destruction des invendus, aussi bien des textiles que des appareils électroniques. Tout cela pour bâtir un cadre réglementaire dans lequel aucun produit n’atteint la décharge avant d’avoir pu accomplir son plus haut niveau d’utilité.
Il y a urgence, car le retard que nous avons pris sur la révision de ce règlement a causé plus de 10 millions de tonnes d’émissions de CO2 supplémentaires chaque année. Donc, n’attendons plus, votons ce texte et finissons-en avec le mythe de la croissance infinie dans un monde fini. Nos modes de consommation et de production doivent répondre aux exigences environnementales pour préserver la survie de l’humanité.
"
Marina MESURE,2023-05-10,FR,"Myanmar, notably the dissolution of democratic political parties",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-498-0000_FR.html,"  Marina Mesure,  auteur. – Madame la Présidente, deux ans après le coup d’État au Myanmar, la répression sanglante de la junte militaire continue et toute dissidence est étouffée. Près de 3 000 personnes ont été tuées, 1,5 million de personnes ont été déplacées. 13 000 personnes sont toujours détenues dans des conditions inhumaines. À la veille de prochaines élections, la junte a décidé de dissoudre 40 partis politiques, dont le NLD, et emprisonné plusieurs de ses membres. Il s’agit là d’une nouvelle étape vers le démantèlement complet de l’état de droit.
En solidarité avec le peuple birman et en soutien avec ses aspirations légitimes à la liberté, nous rejetons toute tentative des chefs militaires de légitimer leur pouvoir anti-démocratique par des élections fictives. Nous nous tenons aussi aux côtés des syndicats sur place parce qu’ils sont particulièrement visés par le régime. Seize organisations syndicales ont été déclarées illégales, plus de 300 responsables syndicaux ont été arrêtés, et au moins 43 ont été tués.
Malgré cela, l’Union européenne continue à travers le projet «Made in Myanmar», à financer grâce à des fonds européens des entreprises du textile qui relaient la propagande militaire et répriment les syndicats. Ceci est inacceptable et nous devons y mettre un terme. L’Union européenne doit défendre le droit à la liberté d’expression, de réunion, d’association au Myanmar et faire tout ce qui est en son pouvoir pour les protéger.
"
Marina MESURE,2023-04-19,FR,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-151-0000_FR.html,"  Marina Mesure (The Left).   – Madame la Présidente, la crise de l’eau est là. Les pénuries vont se multiplier et créer plus de tensions. Le monde doit se préparer, et notre continent aussi, à cette crise qui touche aussi bien la quantité que la qualité de l’eau disponible. Face à cela, l’Europe a légiféré depuis vingt ans. La directive-cadre devait protéger l’eau, restaurer les écosystèmes et réduire la pollution d’ici 2015. Résultat: en 2023, eh bien la moitié des cours d’eau de l’Union européenne ne respectent pas les normes minimales relatives à la pollution. 
À la crise écologique s’ajoute la crise sanitaire, du fait de l’exposition à ces substances dangereuses. Nous devons agir, revoir nos modèles agricoles et industriels, pour ne plus dépendre de ces substances dangereuses pour la santé et les sols. Nous devons imposer des seuils de pollution plus drastiques et doter les services de contrôle de moyens suffisants. Et soyons clairs: ce sont les pollueurs qui doivent payer la dépollution et le contrôle des eaux, pas le contribuable, qui est déjà empoisonné au quotidien. 
L’eau est le messager du changement climatique. Alors que la sécheresse de 2022 a été l’une des pires depuis les cinq cents dernières années, agir sur la quantité et la qualité de l’eau est l’un des principaux enjeux de notre humanité.
"
