MP,Date,Language,Title,Url,Content
Mario FURORE,2023-11-20,IT,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-058-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, come Movimento Cinque Stelle sosteniamo la risoluzione sul rafforzamento dei sistemi di garanzia per i bambini vulnerabili. 
Questo è un tema a noi caro e infatti vorrei portare all'attenzione dell'Europa il caso di 207 famiglie italiane che aspettano da anni di adottare dei bambini bielorussi. Si tratta di orfani che vivono in istituti ma che vengono ospitati da famiglie italiane nei cosiddetti soggiorni di risanamento dopo il disastro di Chernobyl. 
Nel corso degli anni si sono creati legami indissolubili che hanno spinto molte famiglie ad avviare le pratiche di adozione. Ma per un problema burocratico, dal 2020 questo processo si è fermato. Senza una lettera di garanzia sul benessere dei minori, questi bambini non possono abbracciare i loro nuovi familiari. 
Auspico che la Commissione europea si attivi per sbloccare la situazione: la ragion di Stato non può cancellare la felicità dei bambini. 
"
Mario FURORE,2023-11-08,IT,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-099-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, questa che vedete è l'agenda dell'ultimo Consiglio europeo, ma su nessuno di questi punti i leader europei hanno trovato un accordo e hanno rinviato le decisioni al prossimo consiglio di dicembre.
Questo che cosa vuol dire? Che sul patto asilo e migrazione c'è il veto dell'Ungheria di Orbán e dei sovranisti; sulla riforma del patto di stabilità c'è un muro da parte dei falchi dell'austerity; e sulla politica estera c'è troppa timidezza, perché non si dice con coraggio ""no alla guerra, sì a soluzioni diplomatiche"", in Ucraina e in Medio Oriente. Su tutti questi fronti l'Europa balbetta, perché invece ringhiano le sovranità nazionali.
I cittadini invece si aspettano da noi molto di più, si aspettano un'Europa più forte, più unita e più coraggiosa; un'Europa che promuova gli investimenti e che sostenga i cittadini più bisognosi.
I cittadini vogliono un'Europa della pace, perché senza pace non c'è benessere, senza pace non c'è futuro e in questo, come Europa, siamo in colpevole ritardo.
"
Mario FURORE,2023-07-12,IT,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-236-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, questo è un momento storico delicato: siamo chiamati a scegliere tra un modello di sviluppo basato sui grandi colossi o a sostenere in modo efficace un modello di sviluppo europeo che metta al centro l'uomo e il rispetto dell'ambiente.
Le PMI sono al centro di questo modello di sviluppo e per questo dobbiamo sostenerle, innanzitutto semplificando la legislazione vigente; l'eccessiva burocrazia e le normative complesse rappresentano un ostacolo significativo per piccole imprese.
In secondo luogo, dobbiamo peraltro promuovere l'innovazione e la digitalizzazione nelle PMI; è nostro compito fornire incentivi finanziari a supporto delle PMI per adottare tecnologie digitali e migliorare la loro produttività e competitività.
Inoltre dovremmo incentivare le PMI a collaborare per formare le cosiddette reti di imprese; la collaborazione tra imprese, infatti, può favorire la condivisione delle risorse, l'accesso a nuovi mercati e la creazione di sinergie positive.
Un altro aspetto cruciale è quello di garantire un accesso più agevole al credito per le PMI; le imprese più piccole spesso trovano difficoltà nell'ottenere finanziamenti dalle banche tradizionali e ad accedere a fondi messi a disposizione dal bilancio europeo.
Infine dovremmo rafforzare la formazione imprenditoriale e professionale.
Questi sono i nostri obiettivi, questo è il modello di sviluppo che vogliamo.
"
Mario FURORE,2023-07-12,IT,Putting the European economy at the service of the middle class (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-293-0000_IT.html,"  Mario Furore (NI).   – Signor Presidente, onorevoli colleghi, negli ultimi tempi stiamo assistendo a un progressivo deterioramento della classe media, non solo in termini di potere d'acquisto ma anche in termini di risparmio e investimenti. La crisi della classe media è dovuta principalmente alla globalizzazione.
Stiamo assistendo alla progressiva polarizzazione tra coloro che lavorano ma sono a rischio di marginalità e un ristretto gruppo di individui che hanno registrato una crescita spettacolare dei loro redditi da lavoro e da capitale. Ora è il momento di chiederci verso quale forma di sviluppo vogliamo andare.
Le nostre politiche per il futuro hanno l'obiettivo di una trasformazione ecologica e digitale e questa deve essere conseguita proprio grazie alla capacità di adattamento della classe media. La difesa dei valori dell'UE passa attraverso un sostegno attivo alla sua classe media.
Dobbiamo mettere in atto politiche pubbliche innovative legate alla formazione, al sostegno, allo sviluppo sostenibile, capace di ridurre le diseguaglianze e l'insicurezza con politiche di crescita e di protezione, in un contesto di economia e società che devono rimanere interdipendenti.
"
Mario FURORE,2023-06-14,IT,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-227-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, da anni l'Europa vive in una situazione di stagnazione negli investimenti legati all'innovazione. La necessità di migliorare l'efficienza energetica continua a svolgere il ruolo di propulsore chiave. Il sistema bancario però deve supportare le aziende europee e dobbiamo semplificare le regole per le nostre aziende, in primis per le PMI, che sono il cuore pulsante della nostra economia. 
Dobbiamo poi tutelare le eccellenze europee dall'infiltrazione di investitori di paesi terzi che rischiano di svalorizzare i nostri asset. Elaborare poi piani di aiuti per le imprese nei settori chiave e dobbiamo anche garantire la tutela per i nostri lavoratori. Occorre un approccio coordinato per incentivare le nostre aziende ad investire affinché l'Europa possa poi mantenere e incrementare il suo ruolo a livello mondiale nella politica ambientale e soprattutto per costruire un livello principale nel comparto tecnologico, nell'eccellenza dei suoi prodotti industriali e anche artigianali. 
"
Mario FURORE,2023-06-13,IT,Batteries and waste batteries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-378-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, l'accordo raggiunto con il Consiglio indica la strada giusta su cui muoversi e sono felice di sostenerlo. È stato stimato che nel 2027 i paesi europei potrebbero coprire il 100 % della domanda di batterie al litio per i veicoli elettrici con fabbriche locali. Per questo obiettivo abbiamo però bisogno di un passo in più: garantire che l'industria europea diventi autosufficiente nella produzione di batterie e sia al primo posto per il riutilizzo e il riciclo dei materiali. 
Il progetto European Battery Innovation è un primo passo per renderci indipendenti dall'attuale dominio asiatico ed è particolarmente urgente e importante per noi definire al meglio e rapidamente una nuova politica industriale accompagnata da incentivi e finanziamenti alle imprese. Dobbiamo sostenere l'innovazione tecnologica e la costruzione di una catena del valore delle batterie all'interno dell'UE. Il potenziale europeo è enorme ed è nostro compito rafforzare le filiere europee legate al mercato delle batterie. 
"
Mario FURORE,2023-05-09,IT,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-086-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, signor Cancelliere Scholz, come Movimento 5 Stelle abbiamo un'idea molto chiara sull'Europa del futuro: più verde, più solidale e soprattutto libera da guerre.
Su questi temi il suo Paese fa i compiti a casa, pensiamo al salario minimo e al piano da mille miliardi di euro per le rinnovabili, ma a Bruxelles ha un atteggiamento molto diverso che impedisce a tutti gli altri Stati di fare gli stessi progressi fatti in Germania.
Penso alla riforma del patto di stabilità. La posizione del suo governo, espressa più volte dal suo Ministro delle finanze, è un tuffo nel passato che ci riporta agli anni bui dell'austerity, quando i decimali del PIL erano più importanti della vita delle persone.
Senza risorse nuove gli Stati membri non potrebbero mai rispettare gli obiettivi europei del New Green Deal e della transizione sostenibile. Gli investimenti verdi, quindi, vanno esclusi dal nuovo calcolo del patto.
Infine, una riflessione. Oggi siamo tutti riuniti qui a parlare di futuro dell'Europa, ma non ci può essere futuro senza un presente di pace.
Serve subito un'azione diplomatica europea che metta fine alla guerra in Ucraina. La pace si costruisce con il dialogo e non con le armi, che peraltro non vanno finanziate con i fondi europei.
"
Mario FURORE,2023-01-18,IT,Conclusions of the European Council meeting of 15 December 2022 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-031-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, Commissari, onorevoli colleghi, sull'attuale crisi energetica, come Movimento 5 Stelle avremmo preferito più coraggio e più ambizione da parte di questa Unione. 
Il tetto al prezzo del gas è difficilmente realizzabile e mancano gli investimenti necessari per sostituire il gas con un mix di politiche basate sulle rinnovabili e il risparmio energetico. Non basta sostituire il gas russo con quello del Qatar o dell'Algeria, regimi che peraltro non sono pienamente democratici. Questo per dire che poi tutto va bene, perché invece alla prima crisi saranno i cittadini e le imprese a pagarne il conto. 
Presidente, Next Generation EU è stato un successo, ve lo riconosciamo, ce lo riconosciamo, in un periodo difficile come quello della pandemia, abbiamo garantito coesione sociale e rilanciato gli investimenti nei settori chiave come la transizione verde e l'innovazione tecnologica. 
È evidente che la riforma degli aiuti di Stato non basta, serve un nuovo recovery, cosa peraltro proposta dal nostro presidente Giuseppe Conte. Un recovery basato e costituito sull'energia. Solo in questo modo le nostre imprese non saranno vittime di questo rincaro dei prezzi e saranno tra l'altro più competitive, quando saranno a gara con le imprese americane e asiatiche. 
Al prossimo Consiglio europeo pensiamo a costruire l'Europa del futuro, più forte, più verde, più giusta.
"
Mario FURORE,2022-12-12,IT,"Addressing persistent challenges in the aviation sector and the impacts on passengers, workers, capacity and safety (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-186-0000_IT.html,"  Mario Furore (NI).   – Signora Presidente, onorevoli colleghi, le problematiche che attanagliano in questo momento il settore aeroportuale sono innanzitutto legate a una politica dell'occupazione che non è stata in grado di tutelare i lavoratori durante la pandemia.
Migliaia di dipendenti sono stati licenziati e ora le compagnie aeree e le società aeroportuali faticano a ripristinare il personale mancante, sovraccaricando di lavoro quello in forza.
Questa situazione è preoccupante perché può mettere a rischio la sicurezza dei viaggiatori. Adesso che l'inverno più rigido si avvicina, con le difficoltà poi legate al maltempo, stiamo già assistendo a ritardi e difficoltà della carenza di personale.
Inoltre la carenza di personale di terra, che si è ridotto del 29 %, sta comportando mancanze nelle operazioni necessarie al funzionamento degli aeroporti, che ricadono principalmente nella gestione dei bagagli, oppure dell'assistenza da fornire, ad esempio, alle persone disabili. Questo è inaccettabile!
L'Unione europea dovrebbe essere al primo posto nella tutela dei viaggiatori e dei lavoratori. Muoviamoci, grazie!
"
Mario FURORE,2022-11-23,IT,"Legal protection for rainbow families exercising free movement, in particular the Baby Sara case (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-306-0000_IT.html,"  Mario Furore (NI).   – Signor Presidente, onorevoli colleghi, siamo di fronte a una tragica situazione, dove la burocrazia non riconosce la realtà nella nostra società. 
È paradossale che, nonostante i diritti riconosciuti nei trattati, in Unione europea non si riesca ancora a intervenire in modo efficace per tutelare i cittadini, incluse le famiglie arcobaleno.
La vita, la famiglia e l'amore nascono e si creano al di là degli schemi ideologici che certi politici vogliono imporre ed è nostro dovere che abusi e discriminazioni come quelli avvenuti in Bulgaria e in Polonia non avvengano mai più. E attenzione, in Italia non andiamo meglio, perché con i decreti Salvini abbiamo esattamente gli stessi problemi e ci troviamo nella situazione in cui i tribunali devono intervenire per riconoscere i diritti delle famiglie arcobaleno.
È ora che l'Unione europea si doti di regole comuni sul riconoscimento delle unioni e della genitorialità, non possiamo permetterci che esistano cittadini discriminati, a cui viene impedito il diritto di viaggiare, di avere una copertura sanitaria comune o, addirittura, la cittadinanza europea.
Viviamo in un'Europa libera dove i diritti di ciascuno contano, facciamolo davvero e in fretta.
"
