MP,Date,Language,Title,Url,Content
Markus BUCHHEIT,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-034-0000_DE.html,"  Markus Buchheit (ID).   – Herr Präsident, meine Damen und Herren! Es hätte wohl keiner hellseherischen Fähigkeiten in der Vergangenheit bedurft, um vorauszusehen, dass wir in der heutigen Zeit in eine Schieflage geraten, was die Versorgung mit kritischen Rohstoffen und Materialien angeht. Und stattdessen finden wir uns heute wieder und doktern doch nur an den Symptomen herum, wie in der Vergangenheit auch. Die Symptome, das ist das, was wir gerade sehen, aber die eigentlichen Ursachen, die liegen doch ganz woanders, nämlich in ideologieüberfrachteten Handelsabkommen, wie wir sie in der Vergangenheit bereits gehabt haben.
Deswegen sollten wir doch so ehrlich zu unseren Managern und Angestellten, Arbeitnehmern und Arbeitern und all denen sein, die in der Industrie tätig sind, und sagen: Hier in diesem Hause, da geht nach wie vor Ideologie vor Industrie.
"
Markus BUCHHEIT,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-133-0000_DE.html,"  Markus Buchheit,  im Namen der ID-Fraktion. – Frau Präsidentin! Endlich, endlich, könnte man meinen, macht die Politik ihre Arbeit: Bürokratieabbau, die Vereinfachung von Genehmigungsverfahren und ein schneller Marktzugang. Danach dürsten doch unsere Unternehmen, insbesondere in der heutigen Zeit.
Doch weit gefehlt: In diese Genüsse kommen nur Auserwählte. Mit dem vorliegenden Bericht werden Maßnahmen für Nischenbranchen geschaffen, die eigentlich für sämtliche Industrie- und Wirtschaftszweige selbstverständlich sein sollten. Und dann trifft einen beim Lesen all dieser Vergünstigungen noch eine Erkenntnis zwischen den Zeilen, nämlich diejenige, dass Großbritannien mit dem Brexit vielleicht doch eine richtige Entscheidung getroffen hat. Dort wird nämlich abseits der Brüsseler Hemmschuhe die Politik tatsächlich wieder an den eigenen Bedürfnissen orientiert. Klimaziele werden aufgeschoben, Verbrennerverbot und Heizungsdiktate gleich mit.
Das schert hier niemanden. Hier wird weiter fleißig subventioniert, gesteuert und geplant. Die Schicksale von SolarWorld und Conergy sind lange her. Wir, die Kontinentaleuropäer, bekommen am Ende vielleicht tatsächlich unsere Netto-Null-Industrie – nur anders, als in diesem Bericht beschrieben.
"
Markus BUCHHEIT,2023-10-04,DE,Energy Charter Treaty: next steps (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-309-0000_DE.html,"  Markus Buchheit,  im Namen der ID-Fraktion. – Frau Präsidentin! Outdated und toxic, da waren gerade eben schon wieder alle Stichwörter im Spiel.
Meine Damen und Herren, wenn die Europäische Union, die normalerweise so vernarrt ist in internationale Organisationen, eine solche Organisation oder ein solches Gremium verlässt, dann sollten eigentlich alle Alarmlampen angehen. Für mich bedeutet der Ausstieg aus dem Energiechartavertrag nun den sichtbaren Ausdruck, dass wir uns mit dem Grünen Deal auch international in eine Sackgasse bewegen.
Ein Element des Energiechartavertrags war auch der Freihandel im Energiebereich, und der Freihandel liegt nun unseren Kollegen hier in der linken Seite des Hauses ebenso wenig wie den Kollegen in der Kommission am Herzen, wenn wir uns die derzeitigen planwirtschaftlichen Ansätze im Rahmen des Grünen Deals anschauen.
Deswegen bleibt es bei dem, was wir schon so oft gesagt haben: Der Grüne Deal muss sterben, damit wir leben können!
"
Markus BUCHHEIT,2023-07-12,DE,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-247-0000_DE.html,"  Markus Buchheit (ID).   – Herr Präsident, meine Damen und Herren! Die herausragende Bedeutung der kleinen und mittelständischen Unternehmen kam heute hier schon hervorragend heraus. Tatsächlich könnte man meinen, wenn man den Tagesordnungspunkt zur Lage der Europäischen Mittelstands- und Wirtschaftsvereinigung (SME Union) hier auf der Tagesordnung liest, dass wir dieser Bedeutung hier auch gerecht werden wollen.
Doch bei der Vorbereitung dieser Rede bin ich schon über den ersten kleinen Fauxpas gestolpert. Denn wenn ich auf der Kommissionsseite den KMU-Beauftragten bzw. die KMU-Beauftragte im konkreten Falle suche, dann steht dort „Seite nicht gefunden“. Das gleiche gilt auch für die E-Mail-Adresse der betroffenen Person. Insofern wird man hier der Bedeutung der KMU überhaupt nicht gerecht.
Statt hier immer neue Pakete schnüren zu wollen wie ein Mittelstandspaket, da mag ich doch um eines bitten, nämlich die bestehenden Pakete einmal aufzuschnüren und diejenigen Dokumentations- und Zertifizierungspflichten, wie wir sie jetzt beispielsweise mit dem Lieferkettengesetz, aber insgesamt auch mit dem Grünen Deal haben, ein für alle Mal zu beenden, um endlich unseren KMU wieder den Freiraum zu geben, den sie wirklich benötigen.
"
Markus BUCHHEIT,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-365-0000_DE.html,"  Markus Buchheit (ID).   – Frau Präsidentin! Ja, Herr Timmermans, Sie werden es nicht wissen, aber ich bin ja ein Menschenfreund, und ich gebe gerne auch mal gratis Wahltipps. Ich glaube, ich habe Ihre Umfrageergebnisse heute gesehen. Wir stehen ja in Deutschland gerade bei 22 %, Sie bei um die sechs, so etwa. Da gebe ich Ihnen gerne meinen Tipp. Und wir reden jetzt gerade darüber, welche Probleme der Grüne Deal in seiner Umsetzung jetzt haben könnte. Der Kollege López hat gerade auch fabuliert, dass es an uns Rechten liegen würde, die hier gerade Probleme verursachen bei der Umsetzung des Grünen Deals. 
Nein, das ist es eben nicht! Es ist die Lebenswirklichkeit! Meine Damen und Herren, uns ist hier abends ein Programm versprochen worden aus rosaroten Träumen, und aufgewacht sind die Menschen morgens in der Hölle – in der Hölle der Inflation, der Planwirtschaft, der Unfreiheit, der Preissteigerungen und nun heute auch mit einer weiteren Reduzierung der landwirtschaftlichen Anbauflächen, was natürlich zu weiterer Inflation im Lebensmittelbereich führen wird.
Meine Damen und Herren, wir müssten uns diesen Realitäten stellen. Es ist Zeit, den Grünen Deal insgesamt infrage zu stellen. Lassen Sie ab davon, und kommen Sie wieder auf hohe Prozente. Ich will Ihnen ja nur helfen.
"
Markus BUCHHEIT,2023-06-15,DE,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-041-0000_DE.html,"  Markus Buchheit (ID).   – Frau Präsidentin, meine Damen und Herren! Meine allerersten Glückwünsche heute gehen an die Republik Frankreich zum Bau sechs neuer Kernkraftwerke, der da beschlossen worden ist.
Und Sie finden sich damit natürlich in guter Gesellschaft, denn wir haben immerhin 30 bis 45 neue Kernkraftwerke, die in der EU gebaut werden sollen. Nun gehöre ich ja nicht zu der Klimasekte, wie wir sie hier links finden, aber das finde ich doch wieder als CO2-Reduktionsmaßnahme ganz passend.
Die Franzosen finden sich also in guter Gesellschaft, ich hier im Hause in etwas schlechterer, denn ich bin umgeben von Kollegen, die schon an der Änderung der Zeitumstellung scheitern, aber gleichzeitig denken, hier aus dem Plenarsaal heraus das Weltklima verändern zu können.
Meine Forderung ist eine ganz einfache: Lassen wir doch diese Hybris und setzen wir einen Teil des Kapitals von über 1 Billion Euro – für den Grünen Deal vorgesehen – jetzt für Wassermanagement ein. Das betrifft ja nicht nur die Bekämpfung von Trockenheiten, die eben jetzt schon in der heutigen Zeit eintreten, sondern natürlich auch Hochwasserereignisse, Hochwasserschutzmaßnahmen. Das Geld ist jetzt erforderlich. Wir müssen nicht kämpfen gegen den Klimawandel in 100 Jahren, wir müssen kämpfen gegen die Extremwetterereignisse heute.
"
Markus BUCHHEIT,2023-06-14,DE,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-240-0000_DE.html,"  Markus Buchheit (ID).   – Frau Präsidentin, meine sehr verehrten Damen und Herren! Make Europe the place to invest! Ich hatte das ursprünglich für eine kleine humoristische Einlage an diesem Nachmittag gehalten, insbesondere wenn ich mir die jüngsten Aussagen unseres deutschen Wirtschaftsministers, Herrn Habeck, in Bezug auf mögliche Gasengpässe anschaue, der da meinte, bevor die Leute frören, würden wir unsere Industrie drosseln oder gar abschalten. Er bezog sich dabei auf eine europäische Verabredung; das wäre auch interessant zu wissen, um was es da genau ging.
Meine Frage, die ich mir stelle, ist: Wie wollen Sie denn künftigen Unternehmen klarmachen, was für ein toller Ort die EU für Investitionen ist, wenn die auch nur ein einziges Mal mit denjenigen reden, die hier schon investiert haben? Sie haben unseren Unternehmen doch ein Korsett an Strafzahlungen und Subventionen übergestülpt, das ihnen doch gar keinen Raum zum Atmen lässt! Sie sind mit Ihrem Grünen Deal nicht nur für Flatterstrom, sondern auch für die Flatterpolitik der letzten Monate verantwortlich. Und Sie haben sich von der Technologieneutralität schon lange verabschiedet. Abschottungspolitik und Protektionismus sind keine Tabuthemen mehr. Dann seien Sie doch so ehrlich und streichen Sie endlich auch Marktwirtschaft aus Ihrem Phrasenvokabular.
Sie wollen gar keine Investoren im Sinne freier Unternehmer. Sie wollen Erfüllungsgehilfen für den Plan – sagen Sie es doch, Kombinate und Staatsunternehmen böten sich an! Die Kommissionsvertreter hier zu meiner Rechten sitzen deswegen auch völlig falsch. Sie wären hier auf der Linken weitaus besser aufgehoben, und zwar ganz weit links.
Meine Damen und Herren, „die Ursula in ihrem Lauf hält weder Ochs noch Esel auf.“ So könnte es bald schon wieder tönen, außer vielleicht bei einem, und das ist der Wähler. Wenn ich mir heute die Umfrageergebnisse in Deutschland anschaue, insbesondere auch zu meiner Partei, dann könnte sich bald der Wind wieder drehen. Dann könnten wir in absehbarer Zeit wieder mündige Verbraucher und mutige Unternehmer sehen, die die Zügel an sich nehmen. Macher und Schaffer und nicht die Gemachten und Geschafften vom Klimawahn und von der Besserwisserei, wie sie gerade im Berlaymont zu Hause sind.
"
Markus BUCHHEIT,2023-05-08,DE,Methane emissions reduction in the energy sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-052-0000_DE.html,"  Markus Buchheit (ID).   – Herr Präsident, Damen und Herren! Die grüne, gute 11 Millionen Dollar schwere NGO Clean Air Task Force scheint trotz Dementi seitens der grünen Berichterstatterin Paulus die Basis für die Kompromissänderungsanträge zum vorliegenden Bericht mit geschrieben zu haben. Das wird auch gestützt durch ein Treffen zwischen der Abgeordneten und der in Rede stehenden Lobbyorganisation, durch entsprechende Berichte von Politico und dem Magazin The European Conservative und nicht zuletzt durch die Einträge im Metatext der Kompromissanträge selber.
Meine Damen und Herren, der Lobbyismus und der intransparente Einfluss von NGOs auf den Gesetzgebungsprozess müssen endlich ein Ende haben. Die sich sonst so jovial bürgernah gebenden Grünen sind nicht bürger- oder gar volksnah, sie sind in Wahrheit Zöglinge und Spießgesellen einer undurchsichtigen NGO-Industrie – übrigens die einzige Industrie, die ihnen wirklich am Herzen liegt. 
Sie vertreten nicht die Interessen derjenigen, die sie gewählt haben. Sie vertreten die Interessen einer kleinen, gut, wenn auch kaum durchschaubar bezahlten Elite und definieren mit diesen wohlsituierten Weltverbesserern Ziele, denen sie ganze Völker und Industriezweige unterwerfen wollen, bis uns am Schluss der letzte Cent aus der Tasche gesaugt worden ist. Mit dieser Heuchelei muss jetzt hier ein für alle Mal Schluss sein!
Zwangsläufig wird im Rahmen der Methanstrategie auch die Landwirtschaft ins Fadenkreuz genommen und damit noch weiter drangsaliert werden. Wenn Sie also gedacht haben, die Methanstrategie, die Elektromobilität, kurzum: der Grüne Deal wären Teil einer Deindustrialisierungskampagne im Rahmen eines Morgenthau-Plans 2.0, dann liegen Sie völlig falsch. Dieser Plan hätte uns zumindest die Landwirtschaft gelassen.
"
Markus BUCHHEIT,2023-03-14,DE,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-087-0000_DE.html,"  Markus Buchheit (ID).   – Frau Präsidentin! Wir hatten hier gestern ein recht durchwachsenes Stimmungsbild zur Gebäudeeffizienzrichtlinie, und deswegen hätte ich einen Antrag nach Artikel 59 der Geschäftsordnung. Wir haben das Chaos gesehen, das sich jetzt gerade im Rat ausbreitet in Bezug auf die Abschaffung des Verbrennungsmotors. Wir sehen auch jetzt schon den Widerstand zweier Mitgliedstaaten gegen die Gebäudeeffizienzrichtlinie, und wir sehen den erheblichen Widerstand auch hier im Hause fraktionsübergreifend gegen den Zwangscharakter der entsprechenden Maßnahmen. Ich stelle deswegen den Antrag, diesen Vorschlag an den Ausschuss zurückzuüberweisen.
"
Markus BUCHHEIT,2023-03-13,DE,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-082-0000_DE.html,"  Markus Buchheit (ID).   – Frau Präsidentin, sehr geehrte Damen und Herren! Der Vorschlag zur Energieeffizienz von Gebäuden beweist, dass es keinen Rückzugsort vor den Ideen der Brüsseler Weltverbesserer gibt. Nun muss also das Eigenheim, das letzte Refugium vor dem Gender- und Klimawahn, dran glauben. Ab 2028 soll EU-weit die Pflicht für den Einbau von Photovoltaikanlagen in allen Neubauten, ab 2032 in sämtlichen Häusern kommen. Öffentliche Gebäude sollen gar schon ab 2027 emissionsfrei sein. 15 % von Stellplätzen sollen für Fahrräder reserviert, pro fünf Stellplätzen eine Ladesäule für Batteriekutschen errichtet werden.
In den nächsten zehn Jahren müssen alleine in Deutschland 16 Millionen Häuser mit neuen Fassadendämmungen, Dächern, Fenstern und Heizungen ausgestattet werden. Es lebe das emissionsfreie Wohnen in der Thermoskanne – Schimmel und Brandschutzprobleme inklusive! Garniert werden soll das Ganze neben staatlichem Zwang zur Umsetzung übrigens mit Zuschüssen in Höhe von 150 Milliarden EUR. Immerhin 330 EUR pro Einwohner. Das sollte zumindest für ein isoliertes Klofenster reichen.
"
