MP,Date,Language,Title,Url,Content
Markus FERBER,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-415-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Hoher Beauftragter, Exekutiv-Vizepräsident, liebe Kolleginnen, liebe Kollegen! Die COVID—19—Pandemie und der russische Angriffskrieg auf die Ukraine haben uns sehr eindrücklich gezeigt, wie anfällig unsere Lieferketten sind und wo strategische Abhängigkeiten zu Drittstaaten bestehen. Deswegen ist es grundsätzlich richtig, die Widerstandsfähigkeit unserer Lieferketten zu stärken, den Zugang zu kritischen Rohstoffen abzusichern und zu überlegen, wie wir Schlüsselbranchen wie zum Beispiel die Halbleiterindustrie in Europa ansiedeln können. Die Kommission hat ja auch bereits erste Schritte in diese Richtung auf den Weg gebracht.
Ich möchte in diesem Zusammenhang aber auch eine Warnung aussprechen: Von strategischer Autonomie und der Stärkung der europäischen wirtschaftlichen Sicherheit ist es nur ein ganz schmaler Grat hin zum Protektionismus. Und den sollten wir nicht gehen. Wir sind eine exportorientierte Volkswirtschaft, die vielleicht wie kein anderer Wirtschaftsraum von einer offenen und regelbasierten internationalen Handelsordnung profitiert. Wir sollten deswegen auch nichts tun, das auch nur den Eindruck erweckt, dass wir uns nun auch auf den Weg in den Protektionismus begeben.
Der zentrale Weg, unsere Wirtschaft und unseren Wohlstand zu schützen, besteht darin, dass wir Europa wettbewerbsfähig halten und dort, wo wir es nicht sind, wettbewerbsfähig machen. Das ist die Hauptaufgabe, auf die wir uns zu konzentrieren haben, und da ist leider in den letzten Jahren einiges eher verloren gegangen. Wenn wir wieder aufholen wollen, braucht es vor allem auch eine Stärkung auf der Angebotsseite, einen neuen Pakt für Wettbewerbsfähigkeit. Wir müssen auch den Binnenmarkt endlich wieder als das nutzen, wofür er vorgesehen war: nicht zur Abschottung innerhalb der Europäischen Union, sondern als das Kraftpaket, aus dem heraus wir Erfolge auf den Weltmärkten erzielen können. Deswegen: klare industriepolitische Maßnahmen und eine klare Strategie! Und bitte nicht nur eine Strategie machen, sondern auch Taten. Nur daran werden wir gemessen.
"
Markus FERBER,2023-11-22,DE,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-149-0000_DE.html,"  Markus Ferber,  Verfasser. – Frau Präsidentin, Herr Kommissar, Frau Ministerin, liebe Kolleginnen, liebe Kollegen! Die Europäische Kommission hat erst in der vergangenen Woche eine neue Konjunkturprognose veröffentlicht, die ziemlich düster ausgefallen ist. Die Kommission hat diese Herbstprognose selbst mit einer bezeichnenden Überschrift versehen: „Eine bescheidene Erholung nach einem schwierigen Jahr“. Ich glaube, das ist eine gute Zusammenfassung unserer ökonomischen Situation in dieser Europäischen Union.
Wir sollten uns aber nichts vormachen: Diese schwachen Wachstumsaussichten lassen sich nicht nur auf eine Konjunkturdelle oder auf die hohen Energiepreise zurückführen. Wer das als Erklärungsmuster nimmt, der macht es sich zu einfach. Wir haben vielmehr ein strukturelles Problem, das sich darauf zurückführen lässt, dass sich die Wettbewerbsfähigkeit und das Produktivitätswachstum der europäischen Wirtschaft in den vergangenen Jahren stetig verschlechtert hat.
Wenn die größte Volkswirtschaft in der Europäischen Union – die Volkswirtschaft aus dem Land, aus dem ich komme – mittelfristig nur noch ein Potenzialwachstum von 0,4 % hat, dann ist das, glaube ich, ein klarer Hinweis, dass hier einiges im Argen liegt. Die Probleme sind weitgehend hausgemacht. Die Weltwirtschaft wächst, Europa stagniert, und die größte Volkswirtschaft in Europa schrumpft.
Nahezu jeder Legislativvorschlag, den die Kommission in dieser Legislaturperiode vorgelegt hat, hat unseren Unternehmen neue bürokratische Lasten aufgebürdet. Neben den materiellen Lasten, über die man sicherlich im Einzelfall immer diskutieren kann, war das große, einende Element in dieser Legislaturperiode der enorme Aufwuchs an Berichtspflichten, der mit nahezu jedem Gesetzgebungsvorschlag einherging, und mit der Nachhaltigkeitsberichterstattung und dem Lieferkettensorgfaltspflichtengesetz kommen ja erst noch zwei ganz große bürokratische Hämmer auf unsere Unternehmen zu.
Berichtspflichten verursachen enorme bürokratische Lasten, lösen aber von sich aus heraus kein Problem; sie sind die Definition von überflüssiger Bürokratie. Die Kommission hat nun erste zaghafte Vorschläge gemacht, um Berichtspflichten abzubauen. Das geht zwar in die richtige Richtung, aber das geht natürlich noch lange nicht weit genug.
Das heißt, wir müssen das Thema Bürokratieabbau, Wettbewerbsfähigkeit, Wachstum zum Leitmotiv der nächsten Legislaturperiode und der nächsten Amtszeit der Europäischen Kommission machen, sonst sieht es dauerhaft relativ düster aus mit der Zukunftsprognose für Europa.
Und wenn die Kommission selbst einen Kostenindex vorlegt, wo sie die Kosten, mit denen Unternehmen belastet sind, beschreibt und zu dem Ergebnis kommt, dass zum Beispiel die Nachhaltigkeitsberichterstattung in diesem Jahr noch keine Kosten generiert; und wenn ich in der Kommission nachfrage, da wird mir gesagt: Ja, weil es ist ja noch nicht gültig, der delegierte Rechtsakt tritt ja erst am 1. Januar in Kraft. Ja, haben Sie überhaupt verstanden, was Unternehmen tun müssen? Die müssen sich jetzt schon vorbereiten. Natürlich entstehen da jetzt schon Kosten, weil wenn sie zum 1. Januar Daten liefern müssen, können sie ja nicht erst am 1. Januar mit der Arbeit anfangen. Also hier wird wirklich auch falsch gemessen und an die Öffentlichkeit ein falsches Ziel gesetzt.
Europa hatte sich mit der Lissabon-Strategie einmal vorgenommen, zum wettbewerbsfähigsten und dynamischsten wissensbasierten Wirtschaftsraum der Welt zu werden. Von diesem Ziel sind wir meilenweit entfernt; wir brauchen hier dringend eine Umkehr. Die Kommission ist aufgefordert, das zu liefern.
"
Markus FERBER,2023-09-13,DE,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-329-0000_DE.html,"  Markus Ferber (PPE).   – Herr Präsident! Dass sich ich die Europäische Kommission im letzten Jahr ihrer Amtszeit endlich mit der Frage beschäftigt, wie man kleine und mittlere Unternehmen entlasten kann, das ist hochwillkommen, und es ist auch längst überfällig.
Die Überschriften, die die Kommission verkündet, mögen so klingen, als ob die Kommission die Zeichen der Zeit endlich gehört hätte. Wenn man sich aber die Vorschläge im Detail anschaut, dann wird ganz schnell klar, dass wir es doch eher mit Luftschlössern denn mit wirklicher Hilfe zu tun haben.
Was wurde vorgeschlagen? Eine neue Verordnung gegen Zahlungsverzug. Wenn wir uns beeilen, dann kriegen wir es vielleicht hin, dass es 2025/2026 mal in Kraft tritt. Ein Vorschlag für weniger Steuerbürokratie im Binnenmarkt, der tatsächlich hilfreich wäre, höchstwahrscheinlich aber niemals umgesetzt wird, weil ich aus dem Rat schon heute höre, sie wollen das Ding gar nicht anrühren. Wir brauchen aber einen einstimmigen Beschluss der Mitgliedstaaten, damit so was überhaupt in Kraft treten kann.
Und das Versprechen, endlich einen Mittelstandsbeauftragten einzusetzen, was wir als Europäisches Parlament seit Jahren gefordert haben, kommt reichlich spät. Denn, ich habe es gesagt, die Amtszeit der Kommission neigt sich dem Ende zu. Die meisten Gesetzgebungsvorhaben sind auf dem Tisch, sind beschlossen, sind in der Umsetzung. Was soll denn der Mittelstandsbeauftragte überhaupt noch tun?
Die Vorschläge sind schlicht zu wenig. Sie kommen zu spät. Der Mittelstand ertrinkt heute schon in einem Wust von Bürokratie. Und ganz große Wellen wie Lieferkettengesetz, nichtfinanzielle Berichtspflichten, kommen ja erst noch auf sie zu.
Hier hätte die Kommission etwas machen müssen, da ist sie leider zu kurz gesprungen.
"
Markus FERBER,2023-07-13,DE,Recommendations of the Commission on public country by country reporting transposition (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-083-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Ich bin schon etwas überrascht über die Debatte, die wir haben, denn eigentlich sollten wir gemeinsam der Kommission Dankeschön sagen, dass sie sich darum Gedanken macht, dass europäisches Recht in den Mitgliedstaaten einheitlich umgesetzt wird. Ich lobe die Kommission nicht oft, aber heute muss ich es mal tun. Jawohl, genau darum geht es. Sie haben das sehr sauber herausgearbeitet, warum es sinnvoll ist, dass wir hier nicht in 27 Mitgliedstaaten unterschiedliche Umsetzungen haben, weil die Firmen, die wir adressieren wollen, sich dadurch auszeichnen, dass sie in mehr als einem Mitgliedstaat multinational, also in mehr als einem Mitgliedstaat zu Hause sind und deswegen nicht mit 27 Regelungen konfrontiert werden wollen.
Ich sage Ihnen auch mal eines ganz deutlich: Es ist eine naive Vorstellung zu meinen, nur weil man Steuerdaten öffentlich macht, dass man auch nur einen Cent mehr Steuern einnimmt. Wir haben die öffentliche länderspezifische Berichterstattung seit vielen Jahren im Bankensektor. Hat sich da etwas geändert? Nein. Wir wissen nur, dass die, die immer schon richtig ihre Steuern bezahlt haben, weiterhin richtig ihre Steuern zahlen werden. Wichtig ist doch nicht, dass die Öffentlichkeit die Steuerdaten hat, wichtig ist, dass die Steuerbehörden die Daten haben. Das haben wir längst beschlossen, das ist längst in Kraft. Wir werden uns dann jetzt auch damit beschäftigen, wie wir die Zusammenarbeit der Steuerbehörden noch intensivieren können. Das ist entscheidend. Die setzen die Steuerlast am Ende fest. Die sorgen dafür, dass jedes Unternehmen seinen fairen Beitrag für das Gemeinwesen erbringt. Darauf sollten wir uns konzentrieren.
Deswegen kann ich nur sagen: Liebe Kommission, ich würde mich freuen, wenn Sie auch in anderen Bereichen dafür sorgen würden, dass gold-plating nicht stattfindet, dass Unternehmen nicht zusätzlich durch falsche oder zu weit gehende nationale Umsetzung belastet werden, sondern dass wir uns darauf konzentrieren, dass das, was auf europäischer Ebene festgelegt worden ist, dazu beiträgt, dass wir unsere Unternehmen nicht über Gebühr belasten.
"
Markus FERBER,2023-07-12,DE,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-188-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen, liebe Kollegen! Mit Blick auf die heutige Debatte „Besteuert die Reichen“ möchte ich doch mal mit zwei Mythen aufräumen. Erstens: Die Mitgliedstaaten der Europäischen Union haben kein Einnahmenproblem. Und zweitens: Es gibt auch keinen Grund für ein noch progressiveres Steuersystem.
Das gesamte Steueraufkommen ist in der letzten Dekade stetig gestiegen. Inzwischen liegt das Steueraufkommen in der Europäischen Union im Durchschnitt bei über 40 % des Bruttoinlandsprodukts. In einigen Mitgliedstaaten nähern wir uns schon der 50 %-Grenze – ohne soziale Sicherungssysteme, nur Steuern. Das heißt, fast jeder zweite Euro, der verdient wird, geht an den Staat. Wir haben in den Mitgliedstaaten also sicher kein Einnahmenproblem, wahrscheinlich eher ein Ausgabenproblem. Es gibt nämlich noch eine Kurve, die viel stärker gestiegen ist als das Steueraufkommen. Das sind die Staatsausgaben, und da zeigt sich, woher das Problem eigentlich kommt.
Der zweite Mythos, der hier wirklich im Klassenkampf vorgetragen wird, ist die Aussage, ein progressiveres Steuersystem mit noch höheren Steuersätzen würde mehr Gerechtigkeit schaffen. Lassen Sie mich nur ein paar wenige Zahlen nennen: Der Beitrag der oberen 10 % der Steuerpflichtigen – das sind die Reichen und die Superreichen –, die zahlen heute 50 % des Steueraufkommens, und die oberen 50 % der Einkommenssteuerpflichtigen bringen mehr als 90 % des Steueraufkommens auf. Das heißt, die Reichen, die Sie besteuern wollen, zahlen heute schon die meisten Steuern und leisten damit ihren entsprechenden Beitrag. Das sind die Leistungsträger in unserer Gesellschaft, die ohnehin schon vom Fiskus geschröpft werden. 
Also bitte: Ein gutes Steuersystem zeichnet sich nicht durch möglichst hohe Steuersätze aus, sondern durch Einfachheit, durch Berechenbarkeit, durch die richtigen Anreize für Arbeit, Wertschöpfung und Innovationen. Das werden wir nicht erreichen, indem wir immer nur die Steuerschraube nach oben drehen.
"
Markus FERBER,2023-06-14,DE,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-228-0000_DE.html,"  Markus Ferber (PPE).   – Frau Präsidentin, Herr Kommissar, Frau Ratspräsidentin, liebe Kolleginnen, liebe Kollegen! Europa hat viel vor in den nächsten Jahren. Dazu brauchen wir Firmen, die auch bereit sind, zu investieren.
Denn wir müssen uns von einem Credo hier im Haus mal verabschieden: Die öffentlichen Hände werden nicht alleine in der Lage sein, das große Investitionsvolumen, das notwendig ist, hervorzubringen. Die Staaten können Anschubfinanzierung geben, sie können Garantien geben, aber sie werden nicht − wenn ich hier die Zahl der Europäischen Investitionsbank nennen darf − 350 Milliarden Euro pro Jahr nur an Investitionen zur Verfügung stellen können.
Was wir auf der anderen Seite brauchen, ist, die Anforderungen, die unsere Zeit mit sich bringt, auch wirklich anzunehmen. Wir brauchen nicht wie in der Vergangenheit nachfragepolitische Instrumente; wir brauchen eine neue Angebotspolitik. Dazu gehört: Stopp von neuen regulatorischen Belastungen, Abbau von Bürokratie und Berichtspflichten, Beschleunigung von Genehmigungsverfahren, Vollendung des Binnenmarktes und eine Industriepolitik, die unsere Wettbewerbsfähigkeit stärkt. Wir müssen dafür sorgen, dass Investoren auf der ganzen Welt an Europa glauben und in Europa investieren. Heute machen sie einen Bogen um uns.
Im Jahr 2000 hat sich die Europäische Union mit der Lissabon-Strategie einmal das Ziel gesetzt, zum wettbewerbsfähigsten und dynamischsten Wirtschaftsraum der Welt zu werden. Davon sind wir heute weit entfernt, und das führt leider dazu, dass Investitionen an Europa vorbeigeführt werden. Wir sollten uns wieder an diese Strategie erinnern.
"
Markus FERBER,2023-06-12,DE,Competition policy - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-122-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Die Europäische Kommission als oberste Hüterin des Wettbewerbsrechts hat in den vergangenen Monaten eine erstaunliche Kehrtwende hingelegt. War die Arbeit der Kommission im Sinne fairer Wettbewerbsbedingungen im Binnenmarkt bislang von einer gesunden Skepsis gegen exzessive Subventionen und Beihilfen geprägt, scheinen das nun die Mittel der Wahl zur Erreichung jeglicher politischer Ziele geworden zu sein. Nach dem COVID-Beihilferahmen und dem Beihilferahmen zur Überwindung der Energiekrise gibt es nun einen Beihilferahmen als Antwort auf den US—amerikanischen Inflation Reduction Act. Hinzu kommen weitere Rechtsakte wie der Net Zero Industry Act, die unter wettbewerbsrechtlichen Regeln nicht unproblematisch sind.
Was einst die absolute Ausnahme sein sollte, wird nun zum Regelfall. Was die wettbewerbsrechtliche Antwort auf den Inflation Reduction Act angeht, sitzt die Kommission leider dem Trugschluss auf, dass wir einen Subventionswettlauf mit den Vereinigten Staaten von Amerika gewinnen könnten und dass deswegen nur die Schleusentore auch in den Mitgliedstaaten für zusätzliche Subventionen geöffnet werden müssten.
Diese verfehlte Wettbewerbspolitik geht zurück auf eine falsche Problemdiagnose, nämlich den Glauben, dass der zentrale Baustein für unsere Wettbewerbsfähigkeit in Europa darin bestehen würde, das Subventionsgefälle zu den USA auszugleichen. Ein einmaliges Subventionsprogramm, und mag es noch so großzügig sein, löst die Probleme aber nicht. Die Probleme gehen tiefer und müssen grundsätzlicher angegangen werden. Es gibt nämlich viele andere Mittel und Wege, auch unsere Wettbewerbsfähigkeit zu verbessern – Bürokratieabbau, Bildung, um mal nur zwei Stichworte zu benennen. Unser Problem sind heute zu wenig Auslandsinvestitionen in der Europäischen Union und nicht zu wenige Subventionen. Daran sollten Sie sich stärker orientieren.
"
Markus FERBER,2023-05-09,DE,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-013-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kolleginnen, liebe Kollegen! Eine gemeinsame Währung zu haben, bedeutet zwangsläufig, dass sich alle Mitglieder dieser Währungsunion in Verantwortung für die Stabilität der gemeinsamen Währung stellen müssen. Dazu gehört zunächst und ganz zuallererst eine verantwortungsvolle Haushaltspolitik. Das ist die Idee des Stabilitäts- und Wachstumspakts: Man trägt Verantwortung nicht nur für das eigene Budget, sondern für die gemeinsame Währung.
Wenn wir zu den bisherigen Regeln kritisch Bilanz ziehen, müssen wir aber feststellen, dass das Regelwerk nicht gut funktioniert hat. Viele Mitgliedstaaten haben selbst in guten Zeiten die Defizitgrenzen nicht eingehalten. Die Staatsverschuldung ist immer weiter angestiegen, auch schon vor der Pandemie, vor dem furchtbaren russischen Angriffskrieg. Die Analyse, dass wir eine Reform des Regelwerks benötigen, die teile ich vollumfänglich. Aber wie die Reform ausfallen muss – ich glaube, da gibt es doch noch große Unterschiede.
Wir haben beim Stabilitäts- und Wachstumspakt doch drei Probleme. Erstens: Haushaltskonsolidierung wurde immer auf die lange Bank geschoben. Zweitens: Die Kommission hat viel zu viel Flexibilität gewährt. Und drittens: Die Kommission hat die Regeln nicht beherzt genug durchgesetzt, weil sie von den Sanktionsmöglichkeiten noch nie – ich sage es noch mal: noch nie! – Gebrauch gemacht hat.
Die drei Lösungsansätze der Kommission lauten nun: noch mehr Zeit, noch mehr Flexibilität und noch schwächere Sanktionen. Mit Verlaub, das ist nicht die richtige Lösung. Um es ganz klar zu sagen: Der Stabilitäts- und Wachstumspakt hatte nie ein Flexibilitätsproblem, sondern ein Anwendungsproblem und ein Glaubwürdigkeitsproblem. Was die Kommission nun vorgelegt hat, wird nicht dazu beitragen, diese Probleme ordentlich zu adressieren. Hier müssen wir im Gesetzgebungsprozess noch einiges nachschärfen. Das ist mein letzter Kritikpunkt, dass Sie uns so wenig Zeit lassen. Denn es war ja klar, dass der Stabilitäts- und Wachstumspakt zum 1.1. nächsten Jahres wieder in Kraft treten soll. Dass Sie uns so wenig Zeit lassen, das hier intensiv beraten zu können, das ist nicht fair.
"
Markus FERBER,2023-04-19,DE,Markets in Crypto-assets (MiCa) - Information accompanying transfers of funds and certain crypto-assets (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-190-0000_DE.html,"  Markus Ferber (PPE).   – Herr Präsident, sehr geehrte Frau Kommissarin, liebe Kolleginnen, liebe Kollegen! Die Märkte für crypto-assets sind nichts für schwache Nerven. Wir haben in den vergangenen Jahren nicht nur extreme Volatilität gesehen, sondern auch Marktmanipulation, Betrugsmaschen und – ich möchte es mal deutlich sagen – katastrophales Risikomanagement. Die Pleite der Kryptobörse FTX ist nur eines der vielen Beispiele dafür. 
Unabhängig davon, was man von crypto-assets grundsätzlich hält, müssen wir aber attestieren, dass sich diese Märkte einer gewissen Beliebtheit erfreuen. Und eben weil viele Menschen diese Märkte trotz aller Turbulenzen nutzen wollen, ist es wichtig, dass wir als Parlament hier dafür sorgen, dass Marktmissbrauch unterbunden wird, dass Mindeststandards für den Verbraucherschutz eingeführt werden, dass die Konvertibilität, die Umwechselbarkeit auch gewährleistet wird und bestimmte Marktinformationen zur Verfügung stehen.
Genau das machen wir mit der Verordnung über Märkte für crypto-assets. Wir setzen klare Spielregeln und übertragen Elemente, die sich im Wertpapierbereich bewährt haben, auf die Kryptowelt. Damit wählen wir einen anderen, einen berechenbaren Ansatz, anders als es andere Rechtsräume auf diesem Globus tun. Das schafft Rechtssicherheit für die Anbieter, und das schafft Rechtssicherheit für die Nutzer. Damit wird die Europäische Union zum Vorreiter im Bereich der Kryptoregulierung. Deswegen unterstützen wir diesen Vorschlag uneingeschränkt.
"
Markus FERBER,2023-04-19,DE,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-212-0000_DE.html,"  Markus Ferber,  im Namen der PPE-Fraktion. – Herr Präsident, Frau Kommissarin, Frau Ratspräsidentin, liebe Kolleginnen, liebe Kollegen! Die Europäische Zentralbank führt nun bereits seit einigen Jahren umfassende Vorarbeiten und Machbarkeitsstudien zum Thema „Digitaler Euro“ durch. Die Grundsatzentscheidung seitens des EZB-Rats steht zwar offiziell noch aus, aber wir sollten schon davon ausgehen, dass die Zentralbank dieses Projekt weiter vorantreiben will. Die Europäische Zentralbank hat in den vergangenen Monaten das Für und Wider verschiedener Designoptionen – also, wie sollte es wirklich ausgestaltet sein? – diskutiert und die Überlegungen sowohl in ihren Fortschrittsberichten als auch im Austausch mit dem Europäischen Parlament vorgestellt.
Dabei haben wir zwar einen besseren Einblick in einige dieser Optionen, dieser Designoptionen bekommen, die Europäische Zentralbank, aber auch die Europäische Kommission, die ja jetzt an einer Rechtsgrundlage für einen digitalen Euro arbeitet, haben aber eine zentrale Frage noch nicht glaubwürdig beantwortet, nämlich: Was ist der Mehrwert des digitalen Euros für die Nutzer? Oder um es anders auszudrücken: Was kann ich mit einem digitalen Euro machen, was ich mit den heutigen Zahlungsoptionen nicht machen kann?
Also, was ist das Geschäftsmodell des digitalen Euro? Solange diese Frage nicht beantwortet ist, wird es viel Skepsis gegenüber einem digitalen Euro geben. Die öffentliche Konsultation der Zentralbank zeigt auch, wo diese herrührt. Die meisten Bürgerinnen und Bürger wollen ein hohes Maß an Privatsphäre im Zahlungsverkehr. Es gibt begründete Zweifel, dass ein digitaler Euro diese Ziele im gleichen Maße erfüllen kann wie Bargeld. Deswegen muss auch klar sein: Bargeld wird nicht ersetzt, Bargeld muss weiter bestehen bleiben und der digitale Euro kann es höchstens ergänzen. Daran sollte auch die EZB keinen Zweifel lassen.
Um es klar zu sagen: Ich habe kein Problem mit einem digitalen Euro, wenn wir wissen, wofür er notwendig ist. Aber solange diese Frage nicht beantwortet ist, gibt es bei uns eine große Skepsis. Wenn es eine klare Vision gibt, dann beantworten sich auch viele Fragen, Frau Kommissarin, ganz von selber, denn über das Design beantwortet sich auch die Regulatorik. Deswegen bitte erst die Frage nach dem „Wofür“ beantworten und dann erst die Frage nach dem „Wie“.
"
