MP,Date,Language,Title,Url,Content
Markus PIEPER,2023-11-22,DE,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-159-0000_DE.html,"  Markus Pieper (PPE).   – Frau Präsidentin, Herr Vizepräsident! Die europäische Wirtschaft will ihren Beitrag zum Klimaschutz leisten. Die Unternehmen wollen in sichere Zuliefererstrukturen investieren. Und die Europäische Union bietet genau dafür auch den Rahmen.
Wir haben viele Dinge, die wir über neue Handelsverträge, über den Grünen Deal, über den Net Zero Industry Act, im Sinne der Wirtschaft regeln. Dennoch beklagt sich die Wirtschaft über Bürokratie. Warum? Weil wir einen wichtigen Grundsatz verlassen haben: Wir haben mittlerweile zu wenig Zutrauen in die Marktwirtschaft und zu wenig Zutrauen in die Menschen. Warum machen wir CSRD, Taxonomie, EHS und Gebäuderichtlinie gleichzeitig? Es gibt doch schon Umwelt- und Sozialgesetze, die alles regeln.
Warum mit Taxonomie und CSRD auch in die Bankenfinanzierung reinregieren, wo wir doch schon den Emissionshandel haben, der die Einhaltung der CO2-Ziele garantiert? Warum die Häuser der Menschen zu Hause zwangssanieren, wo doch die Gebäudewirtschaft gerade in den Emissionshandel aufgenommen wurde? Das verstehe ich nicht, das verstehen die Unternehmen nicht. Wir glauben immer weniger an den Markt, gleichzeitig regulieren wir mit Hosenträger und Gürtel gleichzeitig.
Der Grüne Deal macht Sinn. Ja, auch Lieferkettengesetzgebung hat eine klare Berechtigung. Aber es kommt im Moment alles auf einmal, und die Unternehmen ersticken in Bürokratie. Geben wir ihnen Luft zum Atmen!
Ich finde, Ihr Entlastungspaket ist ein toller Anfang. Ich betone, Anfang. Wir brauchen einfach viel mehr Vertrauen in die Marktwirtschaft, viel mehr Vertrauen in die Unternehmen. Das ist der beste Beitrag zum Bürokratieabbau.
"
Markus PIEPER,2023-09-13,DE,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-339-0000_DE.html,"  Markus Pieper (PPE).   – Frau Präsidentin, Frau Kommissarin! Ja, wir haben heute wichtige Punkte aus der Kommission gehört. Vor allem das Bewusstsein für Mittelstand und für Bürokratieabbau scheint geschärft.
Wichtig sind die weiteren Bausteine für den europäischen Binnenmarkt, so die Regulierung für den Zahlungsverzug und die Erleichterung auch für grenzüberschreitende Geschäfte durch den Abbau der Steuerbürokratie. Aber es bleibt auch viel Bürokratie. Die Kommission, aber auch hier die linke Seite im Parlament, hat die Wirtschaft wirklich belastet, in eine bürokratische Zwangsjacke gesteckt: Lieferkette, CSRD, Gebäuderichtlinie, immer mehr Bürokratie, gerade hier von den Kollegen auf der links-grünen Seite. Deswegen haben wir auch hier im Europäischen Parlament Verantwortung für teilweise doppelte und dreifache Berichtspflichten für dasselbe Thema.
Das ist einfach viel zu viel Gesetzgebung auf einmal. Wir freuen uns jetzt auf den konkreten Vorschlag für ein Entlastungsinstrument. Noch mehr freuen wir uns, dass Mittelstand und Bürokratie mit dem SME Envoy wirklich Chefsache direkt im Kabinett von von der Leyen sind.
Ankündigungen für Bürokratieabbau und effizientere Strukturen haben wir jetzt – auch ziemlich konkret. Jetzt müssen wirklich endlich Taten folgen.
"
Markus PIEPER,2023-09-11,DE,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-124-0000_DE.html,"  Markus Pieper,  Berichterstatter. – Frau Präsidentin, Frau Kommissarin, meine Damen und Herren! Mit Blick auf mehr Unabhängigkeit und CO2-Reduzierung haben wir die Ziele der erneuerbaren Energien höher gesetzt, von 30 % Kommissionsvorschlag auf 42,5 %, allein das ist schon ein Erfolg des Europäischen Parlaments. Aber wir sagen nicht nur höher, schneller, weiter. Mit dieser Richtlinie sagen wir auch, wie es geht.
Die RED III liefert den Beleg, dass Brüssel, dass wir auch unbürokratisch und pragmatisch können. Wir geben den erneuerbaren Energien das Label überragendes öffentliches Interesse und damit die notwendige Flexibilität für Genehmigungen. Bei der Ausweisung von neuen Gebieten, für die Genehmigung von neuen Anlagen, und, ich betone, und die damit in Verbindung stehende Infrastruktur, die Netze, die Trafos, die Speicher und so weiter.
Meine Damen und Herren, eine Anlage gilt nach einer Frist automatisch als genehmigt, wenn es keine Rückmeldung aus der Verwaltung gibt. Positive Silence. Das klingt fast romantisch, ist aber knallhart gegenüber den Genehmigungsbehörden. Wir beschleunigen nicht nur Genehmigungsverfahren, wir sind auch technologieoffen. Wir vergrößern das Angebot an erneuerbarer Energie, und das ist gut für die Energiepreise. Im Fokus sind Windkraft und Photovoltaik, aber eben auch Wasserkraft, Geothermie, Gezeitenströme und meine Damen und Herren, Biomasse aus dem Wald. Die bleibt erneuerbar, und das ist auch gut so. Energieangebot vergrößern durch schnellere Genehmigung, durch Technologieoffenheit und dadurch, dass wir auf Importe setzen, stark auf Energieimporte. 
Die Mitgliedstaaten müssen sich in ihren Energieplänen klar zu dem Thema Energieimporte äußern. Ja, und ganz nebenbei haben wir auch noch, Frau Kommissarin, den delegierten Rechtsakt für grünen Wasserstoff in trockene Tücher gebracht. Noch nicht pragmatisch genug, aber das wird eine Review in Kürze nachholen.
Meine Damen und Herren, wir haben damit die Weichen gestellt für eine schnelle Energiewende. Aber bitte, machen wir uns nichts vor. Beim Ausbau der erneuerbaren Energien ist Europa im globalen Vergleich langsamer geworden, auch weil die Mitgliedstaaten an den starren Förderinstrumentarien wie jahrzehntelange Einspeisevergütung festhalten. So fehlt der Innovationsdruck in der Branche. Deshalb ist es auch wichtig, dass diese Richtlinie die Vorgabe macht, dass 5 % der Ausbaukapazitäten über dem Stand der Technik sein sollen, also auch Pilotprojekte für schwimmende Solarzellen, Winddrachen, Flusskraftwerke, Algenhäuser, Solarstraßen, Wasserkraftwerke mit Energie von Meereswellen. Nichts ist unmöglich bei den Erneuerbaren und fast alles hat Zukunft. Wir brauchen jetzt ein EU-Strommarktdesign mit Preissignalen, die die Erneuerbaren auch als Kapazitätsreserven attraktiv machen und dezentralen Speicherlösungen Raum geben. Wir brauchen grenzüberschreitende Energienetze und mehr Investitionen in nationale Netzinfrastrukturen. Und wir brauchen Wasserstoff jetzt sofort für die Umstellung, damit der grüne Wasserstoff später in die Betriebe kommen kann. Meine Damen und Herren, von dieser Seite des Parlaments, ganz dringende Bitte: Akzeptieren Sie den Regenbogen auch bei den Farben für Wasserstoff. Sie mögen doch sonst so gern den Regenbogen. Ich weiß, das erfordert wieder Kompromisse, aber die RED hat gezeigt, dass man sich einigen kann. Wir haben jetzt zusammen mit der Gesetzgebung für ETS, Energieeffizienz und RED das Herzstück des Green Deals auf den Weg gebracht. Vieles, was jetzt noch an EU-Gesetzgebung kommt, könnten wir auch dem Markt und den Mitgliedstaaten überlassen. Wir könnten auf viel Bürokratie verzichten, aber das ist wieder eine Sache von Kompromissen in den nächsten Monaten.
Wenn wir im Parlament eine große Mehrheit hinter einem Vorschlag versammeln können, dann sind wir auch in den Verhandlungen mit Rat und Kommission erfolgreich. Deshalb der Dank, wirklich der herzliche Dank, an die Shadows für das Vertrauen untereinander, danke an die Ausschusssekretariate und unsere Advisor und Assistenten, danke an die Kommission für eine tolle Koordinierung, manchmal auch innerhalb der Kommission nicht immer einig, aber am Ende war es ein wunderbares Ergebnis. Es war sehr anstrengend, aber es war auch ein super Gefühl, morgens um sieben, als wir endlich eine Einigung hatten.
"
Markus PIEPER,2023-09-11,DE,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-152-0000_DE.html,"  Markus Pieper,  Berichterstatter. – Herr Präsident! Ich habe jetzt sehr aufmerksam zugehört. Also beim Thema Flexibilität im Artenschutz, FFH-Richtlinie, sind wir uns einig. Da freue ich mich insbesondere, dass diese Seite im Parlament da eine Bewegung gemacht hat.
Beim Thema Biomasse möchte ich Sie daran erinnern, dass Sie im Trilog zugestimmt haben, und insofern tragen Sie das Ergebnis hier mit. Und ich möchte Sie daran erinnern, dass wir bei der Holznutzung ein sehr wertvolles Kaskadenprinzip vorgeschrieben haben. Und insofern finde ich, dass den Umweltgesichtspunkten da durchaus Rechnung getragen ist. Ich glaube beim Thema Biomasse auch, dass es so ist: Ob das Holz im Wald verrottet oder sinnvoll energetisch genutzt wird, ist in Sachen CO2-Bilanz eher auf der Seite der Nutzung des Holzes. Und insofern glaube ich, müssen wir uns hier keine Vorwürfe machen.
Es geht schließlich auch um die Stabilität der Versorgung, es geht um Grundsicherheit. Und ja, da gebe ich denjenigen recht, die gesagt haben: Die Netze müssen mitwachsen. Ja, wir brauchen auch Übergänge. Das werden wir in den nächsten paar Jahren nicht alles auf einmal schaffen können.
Aber genau deshalb, liebe Kolleginnen und Kollegen, genau deshalb brauchen wir diese Technologieoffenheit. Wir brauchen jegliche erneuerbare Energie. Wir brauchen Biomasse, wir brauchen Wind, wir brauchen Sonne. Wir brauchen auch bunten Wasserstoff. Liebe Kollegen, hört euch das gut an: bunten Wasserstoff. Wenn wir den nicht akzeptieren, werden wir in der Energiewende kostenmäßig eine Explosion erleben. Und wir werden einfach nicht weiterkommen.
Deshalb ist das wirklich gut, dass wir die Richtlinie jetzt so haben, wie wir sie haben. Für uns der Maßstab sind die Pariser Klimavorgaben, die CO2-Vorgaben, und nicht die grüne Ideologie, die irgendwelche Dinge ausschließen will, besser machen will, verbieten will.
Insofern, glaube ich, sind wir mit dieser technologieoffenen Richtlinie genau auf dem richtigen, pragmatischen Weg für eine erfolgreiche Energiewende.
"
Markus PIEPER,2023-07-12,DE,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-249-0000_DE.html,"  Markus Pieper (PPE).   – Herr Präsident, Herr Kommissar! Die Hoffnung stirbt zuletzt. Noch haben wir die Hoffnung, dass mit dem Entlastungspaket der Befreiungsschlag für den Mittelstand kommt – ein Befreiungsschlag, denn über 90 % der deutschen mittelständischen Industrie will Lieferketten transparenter machen. Die Wirtschaft will die Energiewende. Die Firmen wollen nachhaltig produzieren, auch weil es einen Riesenmarkt für grüne Innovationen gibt.
Wir fordern deshalb endlich den Mittelstandsbeauftragten – und das, was Sie uns gesagt haben, ist einfach nicht wahr –, wir wollen einen Mittelstandsbeauftragten, der horizontal arbeitet, der die Gesetzgebung koordiniert und der die manchmal egoistischen legislativen Spielwiesen der Kommissare zusammenbringt.
Wo ist eigentlich Ihre Parteinahme, wo ist Ihre Parteinahme für den Mittelstand? Wir fordern ein einheitliches Berichterstattungsinstrument, das von den Unternehmen her denkt und nicht für jede Generaldirektion extra Berichte einfordert. Teilweise muss ein Unternehmen zweimal über dieselbe Sache in Brüssel berichten. Wir fordern ein echtes Entlastungspaket für die Firmen, ein echtes Signal aus der Kommission: Wir haben verstanden.
Meine Damen und Herren, sonst schwindet die Akzeptanz für Europa und den Binnenmarkt. KMU sind ein Rückgrat, eine Säule der Demokratie. Wir dürfen Unternehmer nicht zu Protestwählern werden lassen.
"
Markus PIEPER,2023-05-09,DE,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-202-0000_DE.html,"  Markus Pieper (PPE).   – Frau Präsidentin, Herr Kommissar! Zum Aufbaufonds – Kommissionsentlastung. Für mich ist die Bilanz dieses Fonds eine einzige Enttäuschung. Eine Enttäuschung deshalb, weil ich die Bilanz weder beurteilen noch kontrollieren kann. Uns wurde von der Kommission versprochen, dass die gleichen Maßstäbe angelegt werden wie bei den Strukturfondsverordnungen, sprich die Veröffentlichung der Fördermittelempfänger. Dies ist bis auf die ganz Großen eben nicht geschehen. Stattdessen verlassen wir uns auf ein Berichtswesen der Kommission, das wiederum nur auf die Angaben aus den Mitgliedstaaten angewiesen ist.
Wie aber sollen wir die wohlklingenden Milestones und Überschriften kontrollieren, wenn wir nicht in die Bücher schauen dürfen? Und auch der Rechnungshof ist total überfordert. Einer Verdopplung des EU-Haushaltes soll er mit den gleichen Kapazitäten begegnen. Es tut mir leid, aber so besteht die Gefahr von Willkür und Betrug. Das kann aus Sicht der Haushaltskontrolle nur eine Konsequenz haben: keine Fortführung dieser unkontrollierbaren Form der europäischen Schuldenaufnahme, zumal die Finanzierung durch Eigenmittel unklarer ist denn je. 
Für die Zukunft heißt das: erst Eigenmittel rechtssicher vereinbaren, dann Finanzierung angehen. Das heißt auch, viel mehr privates Kapital einbinden für die Aufgaben der Zukunft und diese dann mit EU-Geldern hebeln. Ja, und die anstehenden Aufgaben, die sind in der Tat gewaltig, sie sind aber auch attraktiv – von Energienetzen und Wasserstoffprojekten bis zur Erschließung neuer Rohstoffquellen, ja sogar bis zum Wiederaufbau der Ukraine. Wenn wir das solide und mit der Wirtschaft angehen, können wir die Aufgaben der Zukunft nachhaltig finanzieren.
"
Markus PIEPER,2023-02-13,DE,EU funding allocated to NGOs incriminated in the recent corruption revelations and the protection of EU financial interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-13-INT-1-180-0000_DE.html,"  Markus Pieper (PPE).   – Frau Präsidentin, Herr Kommissar! Der S&D-Kollege hat sich eben vertan: Das Lieferkettengesetz, das war eine glatte Fehlinformation. Das waren die Grünen, die das beim Thema Biomethan gemacht haben; von einer NGO wörtlich abgeschrieben, wörtlich abgeschrieben.
Die Arbeit von Nichtregierungsorganisationen ist ansonsten aber wertvoll. Ehrenamt, Sozial-, Umwelt-, Menschenrechte: Ich glaube, da müssen wir uns überhaupt nicht drüber unterhalten. Ein kleiner Teil der NGOs bringt ihren guten Ruf aber in Gefahr, wenn es keine Demokratie innerhalb der Organisation gibt. Wenn man nicht weiß, wer die Geldgeber sind, wenn die staatliche Unterstützung nicht transparent ist, wenn NGOs in Parlamenten ein- und ausgehen können, ohne registriert zu sein.
Viele dieser Missstände sind offensichtlich. Wir müssen jetzt was tun. Vier kurze Punkte:
Erstens: die Benennung von Transparenzbeauftragten im Parlament, Transparenzverantwortlichen in jedem Ausschusssekretariat, im Wissenschaftlichen Dienst. Für jede Direktion, für jedes größere Referat muss es einen solchen Verantwortlichen geben.
Zum Zweiten müssen die Verträge der Agenturen und der Generaldirektionen mit den NGOs veröffentlicht werden. Diese Verträge müssen veröffentlicht werden. Es kann nicht sein, dass Kommissionsbeamte das Geld der Steuerzahler hier nach Belieben einsetzen, möglichst vielleicht sogar nach eigenem politischen Duktus diese Gelder verwenden, um bestimmte Ziele zu erreichen. Wir wollen, dass das veröffentlicht wird.
Drittens müssen wir die Geldgeber der NGOs kennen. Welche Interessen stecken hinter den Organisationen? Das muss bei NGOs genauso klar sein wie bei den Firmenlobbyisten.
Und viertens: Was passiert bei den NGOs mit dem europäischen Geld? Wir wissen es schlicht nicht, weil die Projekt-Empfänger – nicht wie bei den Strukturfonds – eben nicht veröffentlicht werden müssen. Warum nicht? Weil Sie, meine Damen und Herren von der linken Seite des Parlaments, das seit fünf Jahren verhindern, weil Sie entsprechende Transparenzvorgaben immer wieder gestoppt haben. Das ist der Skandal. „No Peace Without Justice“ hat fast 4 Millionen EUR aus dem EU-Haushalt bekommen. Ob dieses Geld auch in Kailis Koffern ist, das wissen wir noch nicht mal. Ist das die Endbegünstigtentransparenz? Das ist wirklich der Skandal.
Und bitte helfen Sie endlich mit: Unterstützen Sie den Vorschlag für einen Initiativbericht zur Transparenz von NGOs!
"
Markus PIEPER,2022-12-14,DE,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (A9-0283/2022 - Markus Pieper)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-113-0000_DE.html,"  Markus Pieper (PPE).   – Frau Präsidentin! Ich glaube, wir haben heute mit den schnelleren Genehmigungsverfahren für erneuerbare Energie eine sehr gute Abstimmung erreicht, und ich bitte, dass wir jetzt gemäß Artikel 59 Absatz 4 zurück in den Ausschuss gehen, um dann auch die interinstitutionellen Verhandlungen einzuleiten.
"
Markus PIEPER,2022-12-13,DE,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-008-0000_DE.html,"  Markus Pieper,  Berichterstatter. – Frau Präsidentin, Herr Kommissar! Es ist jetzt keine große Freude; als erster Redner nach diesen schlimmen Ereignissen zu versuchen, in die fachliche Debatte wieder einzusteigen. Aber wir müssen natürlich das jetzt auch ablegen, denn wir müssen uns auf die legislative Arbeit konzentrieren. Die Menschen erwarten von uns eine konsequente Korruptionsbekämpfung, ja, sie erwarten von uns aber auch einen konsequenten Ausbau der erneuerbaren Energie.
Diese Energiewende muss schnell gehen, dazu braucht es Voraussetzungen. Wenn wir von der fossilen Energie wegwollen, wenn wir von den einseitigen Abhängigkeiten wegwollen, wenn wir mehr europäische Energiesouveränität wollen, wenn wir Energieimporte diversifizieren wollen und wenn das Ganze für die Menschen und die Unternehmen bezahlbar sein soll, dann geht das mit der erneuerbaren Energie.
Es geht, wenn wir es richtig machen: Denn Sonne, Wind, Wasser, nachwachsende Rohstoffe schicken keine Rechnung. Sie sind unbegrenzt verfügbar. Sie könnten schon längst unsere wichtigste Energiequelle sein. Warum aber sind wir dann erst bei 20 % Erneuerbare? Nun, weil wir es zu kompliziert machen. Weil Bürokratie und Ideologie dem im Wege steht. Dazu fünf Punkte:
Wer die Erneuerbaren will, der muss erstens grünen Wasserstoff möglich machen. So wie die Kommission das jetzt mit Additionalität macht, ist es ein No-Go für Investoren. Es ist ein No-Go für die Länder, die grünen Wasserstoff gerne nach Europa exportieren wollen. Wir brauchen grünen Wasserstoff, aber keinen Wasserstoff mit Goldrand.
Wer die Erneuerbaren will, der muss ihnen zweitens ein überragendes öffentliches Interesse bis hin zur Klimaneutralität einräumen und nicht nur für die nächsten sieben Jahre, liebe Kollegen aus dem Umweltausschuss.
Wer den Ausbau der erneuerbaren Energie will, der muss drittens ihren Ausbau schneller und pragmatischer genehmigen – deshalb die Beschleunigungsgebiete, die wir vorgeschlagen haben. Wenn Verwaltungsverfahren dort zu lange dauern, müssen die Bauanträge nach einer gewissen Frist automatisch genehmigt werden. Ausdrücklicher Dank hier an alle Kollegen und Kolleginnen, dass wir uns auf ein positive silence – schönes englisches Wort –, geeinigt haben.
Viertens: Wer die Erneuerbaren will, der darf eine einzelne Feldmaus nicht vor den Onshore-Windpark stellen. Wenn die Population der Feldmäuse in Europa nicht gefährdet ist, muss es Ermessensspielräume bei der FFH-Richtlinie geben. Die Vorschläge des Rates und der Kommission sind dazu nicht eindeutig genug. Es drohen Klagen von NGO, von denen einige sowieso gegen alles sind. Deshalb brauchen wir hier eine eindeutigere Grundsatzausnahme für die Anlagen der erneuerbaren Energien. Bitte unterstützen Sie hier den Änderungsantrag der EVP.
Und – last but not least – fünftens: Wer es ernst meint mit der Energiewende, der muss auch in bestimmten Natura-2000-Gebieten die go-to areas, die Beschleunigungsgebiete, zulassen. In vielen Regionen Europas ist das gar nicht anders möglich. Wir haben alleine in den Bundesländern 50 % Anteil an Natura-2000-Gebieten, und wenn wir erneuerbare Energie wollen, dann müssen wir da auch bestimmte Anlagen zulassen.
Uns eint das Ziel schnellerer Genehmigungsverfahren. Für Mittwoch in der Abstimmung hoffe ich, trotz dieser taktischen Anträge jetzt aus allen Fraktionen, auf tragfähige Kompromisse. Ich bin zuversichtlich, auch durch die Gespräche heute. Wir haben es mit der Richtlinie für erneuerbare Energie, mit der RED, immer hinbekommen. Wir arbeiten vertrauensvoll zusammen im Team. Und ja, Sonne und Wind schicken keine Rechnung. Und wenn menschliche Regulierung es zulässt, können die Erneuerbaren auch günstig bei den Menschen und bei den Unternehmen ankommen.
"
Markus PIEPER,2022-12-13,DE,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (continuation of debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-067-0000_DE.html,"  Markus Pieper,  Berichterstatter. – Frau Präsidentin! Ich freue mich sehr über die Einigkeit hier im Europäischen Parlament, was die Beschleunigung von Genehmigungsverfahren betrifft. Ich freue mich auch darüber, dass wir beim Thema Artenschutz gewisse Kompromisse hinbekommen werden. 
Liebe S&D, niemand möchte hier Umweltgesetze eliminieren. Es geht einfach darum: Wenn eine Population in Europa gesichert ist, dann darf ein einzelnes Individuum einen Onshore-Windpark nicht behindern, und nur darum geht es und nicht um irgendwelche Umgehung von Umweltgesetzen.
In dieses Bild passt auch das Thema Biomasse. Die Kommission hat da einen Fehler gemacht: bewusst zu schreiben, Biomasse gehört nicht dazu – das auch noch hineinzuschreiben. Dass das hier im Europäischen Parlament Reflexe weckt, ist ganz klar. Ich räume ein: Man kann es nicht so behandeln wie Solar und Wind, das weiß ich. Dennoch muss uns etwas einfallen. Wir werden hier im Europäischen Parlament wahrscheinlich eine sehr knappe Abstimmung haben. Es muss uns etwas einfallen, dass wir Biomasse auch mit beschleunigten Genehmigungsverfahren hinbekommen.
Letzte Bemerkung: Wir haben heute auch einen Beitrag für Beschleunigung geleistet. Denn es ist schon eine gute Initiative des Europäischen Parlaments gewesen, die Ratsverordnung aufzugreifen, die wichtigsten Punkte daraus zu nehmen – die guten Punkte – und das mit REPowerEU zu kombinieren, und das in einer Debatte. Und wir werden das in einer Abstimmung regeln. Da haben wir auch einen kleinen Beitrag zur Verfahrensbeschleunigung geleistet. Insofern noch mal herzlichen Dank an alle Kolleginnen und Kollegen, die das hier heute möglich gemacht haben. Herzlichen Dank auch an die Mitarbeiterinnen und Mitarbeiter, die fantastisch unterstützt haben. Ich freue mich auf die Abstimmung am Mittwoch. Das wird am Ende schon im Sinne schnellerer Genehmigungsverfahren ausgehen.
"
