MP,Date,Language,Title,Url,Content
Martin HÄUSLING,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-014-0000_DE.html,"  Martin Häusling,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Morgen können wir ein gutes Zeichen für Europa setzen, wenn wir diesen Vorschlag von Frau Wiener annehmen. Es geht um den Schutz der Biodiversität, es geht aber auch um den Schutz der Gesundheit der europäischen Bürgerinnen und Bürger. Das gehört auch dazu zur Wahrheit: Wir müssen langfristig eine andere Landwirtschaft betreiben, mit weniger Pestiziden. Die, die sagen, es ginge nur mit Pestiziden, die sollten auch mal auf viele Bereiche gucken, wo es ohne Pestizide oder mit wesentlich weniger geht.
Ganz klar ist: Wenn wir den Vorschriften folgen und den integrierten Landbau als Voraussetzung nehmen, dann können wir schon 30 % Pestizide sparen. Wir brauchen eine unabhängige Beratung, nicht von Chemiefirmen. Und natürlich müssen Naturschutzgebiete frei von Pestiziden bleiben – das ist doch logisch, wir wollen doch da die Natur schützen. Wir brauchen ein klares Signal an die europäischen Bürger, dass wir den Schutz der Biodiversität ernst nehmen.
Aber, Frau Kommissarin, wenn die Kommission genau in dieser Situation ein fatales Signal setzt und Glyphosat für 10 Jahre weiter zulässt, ist das genau die falsche Botschaft, die jetzt gesetzt wird. Wir müssen Glyphosat vom Markt nehmen.
"
Martin HÄUSLING,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-273-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Einige der hier Anwesenden haben von einem Pflanzenschutzmittel geredet. Das ist Unsinn! Es handelt sich um einen Pflanzenvernichter, -totalvernichter.
Deshalb seien Sie ehrlich. Seien Sie auch ehrlich, warum Glyphosat so viel angewendet wird: Es ist einfach anzuwenden, es ist billig, es ist wie gemacht für eine agrarindustrielle Landwirtschaft. Und wie wird es gemacht? Alles totspritzen, säen, fertig.
Uns wird gesagt, es muss Alternativen geben. Ja, es gibt hunderttausende von Biobetrieben, die zeigen jedes Jahr, dass es auch ohne Glyphosat geht − mit vernünftigen Fruchtfolgen, mit einem guten Bodenmanagement.
Was ich finde, ist, dass die EFSA und auch die Kommission an diesem Punkt wirklich fahrlässig handeln, wenn sie trotz dieser massiven Datenlücken – es ist ja nicht nur eine Datenlücke, es sind ja massive Datenlücken zum Thema Boden, Gewässer oder zu unserem Mikrobiom –, trotzdem sagen: „Na ja, wir wissen halt nicht alles, aber machen wir halt so weiter.“ Das ist wirklich völlig unverständlich.
Ich finde auch: Wenn man mal ehrlich ist, auf was muss sich denn die EFSA verlassen? Auf die Studien der Industrie! Hat die EFSA irgendeine eigene Studie gemacht? Nein, hat sie nicht! Deshalb, liebe Kolleginnen und Kollegen, wenn das jetzt tatsächlich für zehn Jahre weiter zugelassen wird, ist das ein Schlag ins Gesicht für alle, die sich für die Umwelt einsetzen.
"
Martin HÄUSLING,2023-09-11,DE,Surface water and groundwater pollutants (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-078-0000_DE.html,"  Martin Häusling,  Verfasser der Stellungnahme des mitberatenden Landwirtschaftsausschusses. – Frau Präsidentin, meine lieben Kolleginnen und Kollegen, Herr Kommissar! Wir begrüßen diese Vorlage der Kommission, denn sie ist eigentlich dringend notwendig: Wir müssen den Quell alles Lebens, wir müssen das Wasser mehr und intensiver schützen.
Wir müssen auch dafür sorgen, dass bestimmte Produkte, die in den letzten Jahren vielleicht nicht so im Mittelpunkt der Diskussion standen, dass sie ergänzt werden. Wir haben lange über Nitrat geredet, über Schwermetalle, über Mikroplastik. Wir müssen aber mehr reden über Pestizide, zum Beispiel über Glyphosat, und über Medikamente, die unser Wasser schädigen.
Wasser sauber zu bekommen ist schwieriger als die Vermeidung von schlechtem Wasser. Deshalb ist es wichtig, über PFAS zu reden, die Ewigkeitschemikalien, über Bisphenol A und über Antibiotika, was sich im Wasser befindet. Und vor allem haben wir eine Verschmutzung mit antibiotikaresistenten Keimen. Wir haben deshalb einen Antrag eingebracht, dass wir Schlachthöfe überprüfen, dass wir da genau wissen, was aus diesen Schlachthöfen herauskommt an antibiotikaresistenten Keimen.
Und ein Punkt noch, Herr Kommissar, eins verstehen wir nicht: Warum bei Glyphosat verschiedene Grenzwerte gelten sollten, sowohl für Trinkwasser, aber auch für angeblich normales Wasser. Das darf nicht sein. Wasser ist Wasser, und wir dürfen da keine Unterschiede machen.
"
Martin HÄUSLING,2023-09-11,DE,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-132-0000_DE.html,"  Martin Häusling,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Wir stehen natürlich an vielen Punkten wirklich hinter dieser Einigung, vor allem an der Erhöhung des Ziels. Nur Ziele kann man schnell erhöhen, das Umsetzen, das ist jetzt die schwierige Aufgabe. Deshalb sind wir auch bei einem Punkt wirklich einer Meinung: Wir müssen den Ausbau von Erneuerbaren beschleunigen. Für Repowering sechs Monate, für neue Windkraftanlagen ein Jahr. Das muss das Ziel sein, ohne dass wir hier deshalb irgendwelche Umweltrichtlinien preisgeben, sondern wir müssen die Verfahren vereinfachen und zusammenfassen. Ich glaube, das wäre ein großer Schritt nach vorne. Es kann nicht sein, dass wir über Windkraft in manchen Gegenden fünf Jahre brauchen, bis sie dann genehmigt werden. Das muss der Vergangenheit angehören. Für Solaranlagen drei Monate, das auf Gebäuden, das ist ein großer Schritt nach vorne.
Was wir natürlich nicht begrüßen, ist das, was am Ende beim Thema Biomasse, vor allem beim Thema Holz, rausgekommen ist. Ich finde, lieber Herr Pieper: Ja, Holz wächst nach, aber wir müssen auch der Tatsache ins Auge schauen, dass Holz nicht unendlich ist. 70 % des Holzes in der Europäischen Union werden jetzt schon verfeuert. Das können wir nicht beibehalten. Und schon gar nicht können wir es akzeptieren, dass man Kraftwerke, die gestern mit Kohle gefeuert wurden, morgen mit Holz befeuert. Das ist der falsche Weg. Da müssen wir anders ansetzen. Da müssen wir wirklich auf Solar und Wind setzen und nicht jetzt noch mehr Holz verfeuern. In Deutschland sind 600 000 Hektar Wald schon weg, geschädigt durch den Klimawandel. Und wir müssen ins Auge schauen der Zukunft, wo wir mit weniger Holz auskommen müssen. Und das müssen wir besser nutzen, das dürfen wir nicht verfeuern.
"
Martin HÄUSLING,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-369-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Es ist ein guter Tag heute – ich glaube, da sind sich hier viele einig – nicht nur für die Umwelt, sondern wir können jetzt endlich unsere Verpflichtungen vom Montreal-Abkommen auch umsetzen. Europa ist wieder einmal Vorreiter – hoffentlich.
Ich denke, einen Punkt sollten wir hier auch einmal benennen: Die EVP hat ja die Landwirtschaft wieder zum Hauptkampffeld auserkoren, um gegen die Verordnung über die Wiederherstellung der Natur zu kämpfen. Aber die Landwirtschaft ist ja der Hauptbetroffene des Klimawandels. Die Landwirtschaft ist der Hauptbetroffene der Biodiversitätskrise. Wie kann man sich denn solchen Maßnahmen entgegenstellen?
Wir müssen Landwirtschaft umbauen, daran geht gar kein Weg vorbei. Wir müssen 50 % Pestizide reduzieren zum Schutz der Biodiversität. Wer hier meint, man könne das nur mit der Gentechnik erreichen, der ist auf einem falschen Weg. Wir müssen agrarökologische Maßnahmen ergreifen, um tatsächlich langfristig Landwirtschaft zu sichern.
Und, Herr Timmermans, wir dürfen nicht nachlassen an vielen Punkten. Wir brauchen ein wirklich ambitioniertes Bodenschutzgesetz. Wir brauchen mehr und bessere Tierschutzgesetze in Europa. Ich hoffe, das kommt noch. Wir müssen REACH überarbeiten. Lassen wir uns nicht einschüchtern von der Negativkampagne der EVP. Machen wir ambitioniert weiter mit dem Grünen Deal. Es ist tatsächlich eine der größten Aufgaben der Europäischen Union.
"
Martin HÄUSLING,2023-06-15,DE,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-062-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Ja, wir haben es mit einem sehr ernsten Problem zu tun. Ein Drittel der Menschheit leidet schon unter Wassermangel, und demnächst wird es die Hälfte der Menschheit sein. Auch in Europa haben wir eine ähnliche Situation, und wir müssen umdenken in vielen Bereichen.
Vor allem müssen wir umdenken in der Landwirtschaft. Müssen wir wirklich Feuchtgebiete trockenlegen, um Erdbeeren und Avocados anzubauen? Das ist doch eine Frage, die man sich stellen muss.
Wie geht Landwirtschaft eigentlich mit Böden um? Wir müssen die Wasserspeicherfähigkeit unserer Böden verbessern. Wir müssen umdenken. Wir müssen Schwammlandschaften schaffen. Und wir müssen Permakultur und Agroforst in den Mittelpunkt stellen. Wir müssen aber auch die Versiegelung stoppen. Und wir müssen ganz dringend auch die illegale Wasserentnahme stoppen, was in vielen Regionen ein Problem ist, und Bewässerungssysteme optimieren.
Aber ein Punkt ist hier viel zu wenig diskutiert worden: Wir müssen unsere Wälder schützen. Die Wälder sind der größte Wasserspeicher. Wenn wir uns nicht daranmachen, Wälder naturgerecht umzubauen, werden wir auch diesen Wasserspeicher verlieren.
Aber der Kernpunkt der Politik ist: Wir müssen ganz, ganz dringend den CO2-Ausstoß beenden, sonst kommen wir aus der Katastrophe nicht mehr heraus.
"
Martin HÄUSLING,2023-06-13,DE,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-444-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Herr Präsident, Kolleginnen und Kollegen! Ich muss sagen, Frau Mortler hat zum Beispiel überhaupt keinen Antrag des ENVI-Ausschusses berücksichtigt. Das ist ein schlechter Stil, muss ich einfach mal sagen. Ich war nämlich da auch Schattenberichterstatter. Aber wenn man ihren Bericht richtig liest, dann liest er sich eigentlich so nach dem Motto: „Umweltmaßnahmen gefährden die Ernährungssicherheit.“ Das sieht man ja gerade an ihrer Kampagne gegen „Vom Hof auf den Tisch“, gegen den Grünen Deal. Das ist Quatsch, das ist Unsinn.
Unsere Ernährungssicherheit wird bedroht durch den rasant fortschreitenden Klimawandel, durch den Verlust an Biodiversität. Und Sie berücksichtigen das mit ein paar dürren Worten. Hier in der Rede haben Sie gar nichts dazu gesagt.
3 300 Wissenschaftler haben gesagt: Wir müssen diese Maßnahmen jetzt ergreifen, um die Ernährungssicherheit zu schützen. Dazu sagen Sie nichts. Sie setzen natürlich auf Gentechnik. Sie glauben das Märchen von weniger Pestiziden, Sie setzen auf chemisch-synthetische Landwirtschaft. Aber was wir wirklich brauchen, ist ein Ernährungssystem, das Nahrungsmittel erzeugt und bei dem das im Vordergrund steht − nicht Futtermittelerzeugung und nicht Agrotreibstoff. Diesen Wandel gehen Sie nicht an, aber da liegen die größten Reserven, langfristig gute Nahrungsmittel zu erzeugen.
"
Martin HÄUSLING,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-021-0000_DE.html,"  Martin Häusling,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Was die EVP seit Tagen hier macht, ist ein Frontalangriff auf den Green Deal und die Farm-to-Fork-Strategie. Hier setzt sich die Politik aus dem Agrarausschuss fort, wie wir sie alle schon seit Monaten erleben: Entweder ist Timmermans am Niedergang der Landwirtschaft schuld, der Wolf oder die Grünen. Es ist unglaublich, was sich da abspielt. 
Kein Wort, Herr Dorfmann, zur Klimakatastrophe, nicht ein einziges Wort. Die Kollegin hat es ja gesagt: Schauen wir doch nach Spanien, nach Italien, oder schauen wir auf die Waldbrände in Kanada: Was läuft gerade für eine Klimakatastrophe ab? Die gefährdet unsere Ernährungssicherheit und nicht Gesetzgebungsverfahren der Europäischen Union. Und Sie bremsen ja eine ambitionierte Klimapolitik immer noch aus. 
Kein Wort zur Krise der Biodiversität. Natürlich hat auch die Landwirtschaft eine Verantwortung: ausgeräumte Landschaften, zu viele Pestizide – das ist auch ein Treiber der Krise in der Biodiversität. Kein Wort darüber von der EVP. Und auch ein Verlust an Biodiversität gefährdet unsere Ernährungssicherheit. Was Sie gerade machen, ist, sich hier als Schutzpatron einer Landwirtschaft aufzuspielen, der Sie ja schon lange nicht mehr sind. 
Sagen Sie doch einmal: Diese wunderbare Agrarpolitik hat 5 Millionen Betriebe in den letzten 15 Jahren die Existenz gekostet. Ist alles wunderbar? Sie reden über Ernährungssicherheit, sprechen aber überhaupt nicht an, dass immer noch 30 % der Nahrungsmittel weggeworfen werden, dass immer noch 60 % der Nahrungsmittel in den Futtertrog geworfen werden. Das sprechen Sie nicht an. 
Es ist nicht alles wunderbar in der Landwirtschaftspolitik! Wir müssen es ändern, und die Kommission hat Antworten gegeben, die wir auch unterstützen. Wir brauchen eine agrarökologische Wende, und zwar nicht irgendwann, sondern jetzt. Da kann ich nur sagen: Wenn wir das jetzt nicht hinbekommen, dann verpassen wir eine Chance, die wir so schnell nicht wieder zurückbekommen. 
"
Martin HÄUSLING,2023-04-19,DE,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-164-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! PFAS sind gekommen, um zu bleiben – leider. Sie sind hochtoxisch und müssten eigentlich längst aus dem Verkehr gezogen werden. Aber man sieht sie nicht, man kann ihnen nicht ausweichen, sowohl in Produkten als auch in Wasser, Luft und Boden. Aber was wird eigentlich getan? In Deutschland sind 1500 Standorte belastet. Wir haben aber in Deutschland immer noch sechs Fabriken und die größte Zahl von Fabriken in Europa, die PFAS produzieren – in Bad Wimpfen, in Frankfurt, in Leverkusen, im Chemiepark Gendorf bei Burgkirchen. Was passiert da eigentlich? Da wird eine riesige Fläche wahrscheinlich belastet werden, indem wir weiter produzieren. Und die Kosten allein für die Sanierung von belasteten Flächen werden 17 Milliarden Euro betragen, und die gesundheitlichen Folgekosten werden wahrscheinlich noch viel höher sein.
Das ist aber auch, wenn man das jetzt sieht, eigentlich ein Versagen der Chemikalienagentur der Europäischen Union, dass man jahrelang nichts gemacht hat. Deshalb: Alle nichtessentiellen PFAS müssen sofort schnellstmöglich aus dem Verkehr gezogen werden, und die Chemikalienstrategie muss jetzt verabschiedet werden. Wir haben keine Zeit mehr, zu warten bis nach dem Sommer, sondern jetzt muss gehandelt werden. Deshalb der dringliche Appell an die Kommission: Handeln Sie jetzt!
"
Martin HÄUSLING,2023-03-16,DE,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-060-0000_DE.html,"  Martin Häusling (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen, liebe Kommissarin! Wir reden eigentlich seit Jahren darüber, dass wir endlich was tun müssen, um den Artenschwund zu stoppen. Wir reden über drastische Zahlen: 70 % der Insekten verschwinden, Feldvögel verschwinden. Sowie die Kommission mit der ersten Initiative herauskommt, 50 % Pestizide zu reduzieren, dann läuft die Agrarindustrie, dann läuft Copa-Cogeca und dann laufen ja auch einige Konservative zu Hochform auf, um genau das zu verhindern. Das ist eigentlich nicht akzeptabel.
Man muss natürlich auch wissen, warum. Es gibt ein Milliardengeschäft mit Pestiziden, das sollten wir nicht vergessen. Deshalb sind viele daran interessiert, nichts zu tun, um den Pestizideinsatz zu reduzieren. Um das auch mal klar zu machen: Wenn dann manche Kollegen noch kommen und sagen, das soll eigentlich alles so bleiben, wie es ist, wir müssten dann nur noch Gentechnik obendrauf haben, dann finde ich das schon sehr dreist.
Ich finde es auch fatal, dass ein Europäischer Gerichtshof endlich die Mitgliedstaaten zwingen muss, auf den Notfalleinsatz von Neonikotinoiden zu verzichten. Frau Kollegin, Neonikotinoide sind nämlich keine Arzneimittel, sondern hochgiftige Pestizide. Ich bin mal gespannt, was herauskommt bei der Neubewertung von Glyphosat, ob wir dann tatsächlich Umweltinteressen haben, die sich durchsetzen oder Wirtschaftsinteressen. Also tun wir endlich etwas und warten wir nicht mehr ab! Es ist höchste Zeit.
"
