MP,Date,Language,Title,Url,Content
Martina MICHELS,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-310-0000_DE.html,"  Martina Michels (The Left).   – Herr Präsident, Herr Borrell! Ja, dieser Krieg muss aufhören. Was mit unbeschreiblichen Massakern der Hamas am 7. Oktober begann, mündet inzwischen in einen brutalen militärischen Rachefeldzug der Netanjahu-Regierung. Das hilft weder den Terroropfern noch den immer noch gefangen gehaltenen Geiseln und ihren Familien. Wer wie die Netanjahu-Regierung aber nur militärisch operiert und denkt, trägt eben nicht zur Deradikalisierung bei. Wir fordern ein ernsthaftes Engagement für eine dauerhafte Friedenslösung für einen international abgesicherten Übergangsprozess. Hier steht auch die EU in der Pflicht.
Einseitige Solidarität ist aber hier falsch. Unsere Solidarität gilt den Menschen in Israel und in Palästina. Zwischen Jordanfluss und Mittelmeer leben zwei Völker, und beide haben das Recht, dort in Sicherheit und Gleichberechtigung zu leben. Wir müssen diejenigen stark machen, die auf dieser Grundlage gemeinsam für eine friedliche Lösung kämpfen.
"
Martina MICHELS,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-036-0000_DE.html,"  Martina Michels (The Left).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Ich gebe zu, diese Rede fällt mir sehr schwer. Ich rede hier heute ausdrücklich nicht im Namen meiner Fraktion, sondern stehe vor Ihnen als deutsche Linke. Ich sage unmissverständlich: Mir ist unbegreiflich, wie man das terroristische Massaker der Hamas relativieren oder rechtfertigen kann. 60 jüdische und arabische Israelis, Friedens— und Menschenrechtsaktivisten sehen eine Entsolidarisierung mit den Opfern der Anschläge der Hamas durch Teile der europäischen Linken. Ich sage offen: Ja, völlig zu Recht.
Zur Vorgeschichte des 7. Oktober gehört, dass der Terror der Hamas seit Jahren auch der Selbstbestimmung der Palästinenser schadet. Ja, Israel hat ein Selbstverteidigungsrecht. Gerade deshalb aber muss die EU die Eskalation durch die abgewirtschaftete Netanjahu-Regierung, insbesondere durch eine mögliche Bodenoffensive, aufhalten und die Wahrung des humanitären Völkerrechts anmahnen. Antisemitismus einerseits und andererseits Dialogverweigerung gegenüber Palästinensern kriechen wieder mitten in Europa aus allen Löchern. Stellen wir uns in dieser dunklen Stunde der Verantwortung, das Existenzrecht Israels zu garantieren und den Frieden im Nahen Osten endlich für alle Seiten voranzubringen. Danke, Herr Borrell, für Ihre eindeutige Position.
"
Martina MICHELS,2023-07-11,DE,Relations with the Palestinian Authority (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-378-0000_DE.html,"  Martina Michels (The Left).   – Frau Präsidentin! Danke zunächst für diesen sehr wichtigen Bericht. Die Gewaltausbrüche der vergangenen Tage verlangen gerade danach, aktiv zu werden. Er befasst sich auch zu Recht mit der israelischen Politik, denn Israels derzeitige ultranationalistische Regierung beschleunigt den illegalen Siedlungsausbau, ergreift Schritte, um die Annexion des Westjordanlands weiter voranzutreiben. Dies untergräbt erneut die Rechte der Palästinenser und marginalisiert die Palästinensische Autonomiebehörde weiter.
Ja, und es steht in einem Zusammenhang: Nach innen will Israels Regierung die Unabhängigkeit der Justiz stutzen, die Demokratie aushöhlen. Andererseits wird im Bericht zu Recht gefordert, dass die Palästinensische Autonomiebehörde die Menschenrechte respektiert und endlich, nach 16 Jahren, freie Wahlen abhält. Wir halten am Recht der Palästinenser auf einen eigenen Staat fest und unterstützen daher sehr diesen Bericht.
"
Martina MICHELS,2023-04-20,DE,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-081-0000_DE.html,"  Martina Michels,  im Namen der Fraktion The Left. – Frau Präsidentin, Herr Kommissar, Kolleginnen und Kollegen! Die reformierten EU-Beihilfen liegen auf dem Tisch. Ja, sie werden umweltfreundliche Technologien fördern können. Wir können nun Investitionen in die Weiterbildung erhöhen, denn an vielen Orten gibt es ja kaum noch jemanden, der die neue Umwelttechnik einbauen kann. Und last, but not least ist es für uns wichtig, dass wir jetzt auch mit der Freistellung von Beihilfen Energiepreise regulieren können.
Vergegenwärtigen wir uns jedoch, dass der absolute Löwenanteil staatlicher Beihilfen nach Deutschland und Frankreich fließt, kippt die gute Tat schnell ins Gegenteil und kann wirtschaftliche und soziale Ungleichentwicklung fördern. Das ist kontraproduktiv und verlangt, dass Beihilfen ebenso wie die EU-Strukturförderung verstärkt in schwächeren Regionen und Kommunen ankommen. Wo Abwanderung und Deindustrialisierung regieren, sind Ansiedlungsstrategien entscheidend. Wo der Markt fern ist, muss das Beihilfeverbot für sozialwirtschaftliche Unternehmen fallen.
"
Martina MICHELS,2023-03-14,DE,Deterioration of democracy in Israel and consequences on the occupied territories (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-323-0000_DE.html,"  Martina Michels,  im Namen der Fraktion The Left. – Herr Präsident, Herr Borrell, Kolleginnen und Kollegen! Israels Regierungskoalition mit rechtsextremen Parteien ist dabei, die demokratische Verfasstheit des Landes niederzureißen. Dabei geht es nicht nur um das Justizreformpaket, das selbst der Staatspräsident Herzog als bedrückend und schädlich für die Demokratie bezeichnet und gegen das Tausende seit Wochen auf die Straße gehen. Es geht auch um die Einführung der Todesstrafe, um die Übertragung von Zuständigkeiten für die besetzten Gebiete auf das neue Büro für Siedlungstätigkeiten im besetzten Westjordanland. Es geht um eine inzwischen ungezügelte Siedlungspolitik und die Beschleunigung von Annexionstendenzen.
Das sind mitnichten interne Angelegenheiten. Diese Politik ist auch keine Entschuldigung für Terroranschläge, aber sie wird nicht dazu beitragen, die Spirale von Hass und Gewalt zu durchbrechen. Herr Borrell, Israel und die EU verbindet vieles, vor allem auch die gemeinsamen Werte von Demokratie und Menschenrechten. Wir müssen endlich klar dazu stehen, die Kräfte in der israelischen Gesellschaft, die diese Werte und Wege verteidigen, zu unterstützen, notfalls gegen ihre eigene Regierung.
"
Martina MICHELS,2023-01-18,DE,Humanitarian consequences of the blockade in Nagorno-Karabakh,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-406-0000_DE.html,"  Martina Michels,  Verfasserin. Herr Präsident, meine Damen und Herren! Ja, wir sind uns einig, dass wir die Blockade Bergkarabachs durch Aserbaidschan verurteilen. Aber schon 2020 befanden Analysten und das Rote Kreuz, dass der Waffenstillstand – vom ungeklärten Gefangenenaustausch bis zu den aserbaidschanisch-türkischen Siegesfeiern in Baku – kaum eine Konfliktlösung einleitete.
Ja, die russischen Truppen sichern den Latschin-Korridor nicht. Die frierenden und hungernden Menschen in Bergkarabach hoffen auf eine Luftbrücke, egal, ob von Russland oder der EU. Die EU sollte schleunigst unangemessenes bothsiding, Doppelstandards und Selbstbetrug aus ihrem diplomatischen Arsenal streichen. Denn jeder weiß: Das Gas aus Aserbaidschan hat russische Anteilseigner. Jeder weiß, dass Aserbaidschan diesen Konflikt nicht erst seit dem 12. Dezember eskaliert.
Wenn also unsere Kommissionspräsidentin und Josep Borrell abends in den Spiegel sehen wollen, muss diese humanitäre Katastrophe gemeinsam mit der OSZE und den UN sofort beendet werden. Europäische Zurückhaltung wegen möglicher Gaslieferungen aus Aserbaidschan wäre beschämend.
"
Martina MICHELS,2022-10-20,DE,Cultural solidarity with Ukraine and a joint emergency response mechanism for cultural recovery in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-20-INT-4-023-0000_DE.html,"  Martina Michels (The Left).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Warum verbinden wir die Unterstützung ukrainischer Kultur eigentlich mit der Unterstützung der kulturellen Landschaft in ganz Europa? Schade, dass die Kollegin von der ID mit ihrer antieuropäischen Haltung nicht mehr im Saal ist. Genau um diese Frage geht es nämlich. Die Antwort ist einfach: Es geht um Solidarität mit der Ukraine, ihrem Erbe, ihren Künstlerinnen und Künstlern im Lande und im Exil, die nicht endet in einer Zeit, in der die europäische Kultur noch schwer an den Folgen der Pandemie leidet. Und dabei stehe ich genauso wie Frau Kammerevert auch und ausdrücklich für einen Dialog mit der russischen und belarussischen Opposition, die nicht vergessen werden darf.
Denn progressive Kultur hat bei aller regionalen Identitätsstiftung immer auch eine vielschichtige Dimension aus Geschichte und Dialog, über alle Grenzen hinweg. Das hätte ich der Kollegin von der AfD gerne mit auf den Weg gegeben. Und deshalb fordere ich abschließend die Kommission auf, die Einrichtung eines europäischen Notfall- und Wiederherstellungsmechanismus für Kulturproduzenten nicht nur zu prüfen, sondern diesen überfälligen Mechanismus umgehend auch auf den Weg zu bringen.
"
Martina MICHELS,2022-09-14,DE,"Economic, social and territorial cohesion in the EU: the 8th Cohesion Report - EU border regions: living labs of European integration (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-396-0000_DE.html,"  Martina Michels,  im Namen der The Fraktion The Left. – Frau Präsidentin, liebe Frau Kommissarin Ferreira, liebe Kollegen! Ja, es stimmt, wir haben in den vergangenen Jahren gemeinsam vieles richtig gemacht und mit europäischer Regionalpolitik ein solidarisches Krisenbewusstsein bewiesen. Aber wo war denn zum Beispiel heute in der typischen Ankündigungsrede unserer Kommissionspräsidentin der radikale Eingriff in den Energiemarkt? Um Energiearmut zu verhindern, müssen Energienetze und Versorgung in die öffentliche Hand, um sie endlich demokratisch kontrollieren zu können. Die heilige soziale Marktwirtschaft richtet hier derzeit gar nichts. Nicht einmal zu einer Übergewinnsteuer der Krisenprofiteure kann man sich durchringen. 
Woher sollen denn die Ressourcen für eine Energiepreisdeckelung kommen? Ein zeitweiliger Solidaritätsbeitrag ist kein Ersatz. Am Ende, meine Kollegen, kann die Kohäsionspolitik eben nicht ausgleichen, was Schuldenbremsen an öffentlichen Investitionen für den Klimaschutz und in der Energiekrise blockieren.
Wir können Projekte für erneuerbare Energien fördern und Rechtsstaatlichkeit zum Förderkriterium machen. Das ist richtig. Doch wie unglaubwürdig bleibt das, wenn wir derzeit dreckiges, teures Fracking-Gas überall in der Welt kaufen müssen und auch dabei besser über Rechtsstaatlichkeit schweigen? Liest man den Bericht des REGI—Ausschusses, hat man eine sozial ausbalancierte Energiewende vor Augen. Aber die Realität ist davon weit entfernt. Putins verbrecherischer Krieg entwickelt sich auch zu einem Tiefschlag für eine nachhaltige Klima- und Energiepolitik, wenn wir hier nicht konsequent mit einem EU-Haushalt für den sozialen, wirtschaftlichen und ökologischen Zusammenhalt gegensteuern, statt die Beschaffung im militärischen Bereich anzukurbeln.
"
Martina MICHELS,2022-09-13,DE,The new European Bauhaus (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-414-0000_DE.html,"  Martina Michels,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für regionale Entwicklung. – Herr Präsident! Erinnern wir uns: Das Parlament kam zum Projekt Neues Europäisches Bauhaus eigentlich wie die Jungfrau zum Kinde. Doch wenn die Kommission schon kulturelle Bewegungen ausruft, muss sie sich auch folgende Frage beantworten: Warum behandeln wir die Förderung von funktionalen, nachhaltigen und inklusiven Wohn- und Lebensformen eigentlich wie ein Schmuckelement unserer politischen Schwerpunkte?
Das Parlament reagierte beherzt im Sinne der Worte von Walter Gropius: „Der Geist ist wie ein Fallschirm: Er kann nur funktionieren, wenn er offen ist.“ Jetzt haben wir einen gehaltvollen Bericht. Darin mahnen wir die unklare Finanzierung ab 2023 an und fordern ein langfristiges eigenständiges Budget im mehrjährigen Finanzplan ab 2027. Aus der Perspektive des Regionalausschusses stärkten wir den öffentlichen Raum, bezahlbare Wohnungen, die gemeinschaftliche Umnutzung und Reparatur unseres gebauten Erbes und die Mitsprache der Kommunen. Damit haben wir die demokratischen Ideen und ästhetischen Lösungen des historischen Bauhauses wirklich ernst genommen. Ich bitte alle, diesem Bericht zuzustimmen.
"
Martina MICHELS,2022-07-07,DE,Recent heat wave and drought in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-07-INT-4-014-0000_DE.html,"  Martina Michels,  im Namen der Fraktion The Left. – Herr Präsident, liebe Kolleginnen und Kollegen! Auch bei mir zu Hause in Berlin-Brandenburg wüten verheerende Waldbrände. Aber das sind keine unerwarteten Naturkatastrophen, sondern direkte und schwerwiegende Folgen des menschengemachten Klimawandels. Wahr ist auch: Eine Minderheit von Spekulanten zieht nach wie vor Profit aus der fossilen Energiekrise und aus dem Raubbau an Natur und deren Ressourcen. Spätestens jetzt steht die Frage: Wollen wir weiter zuschauen oder mutige Akteure werden?
Die Rolle rückwärts, die gestern eine Mehrheit des Europäischen Parlaments beschlossen hat, nämlich Atomkraft und Gas für förderfähig und grün zu erklären, ist in meiner Sicht dabei ein fataler Fehler. Stattdessen müssen Profiteure endlich sinnvoll besteuert werden. Politik gegen den Klimawandel und für Klimaschutz ist nämlich kein Luxus, sondern schlichte Notwendigkeit. Vor allem Regionen und Kommunen brauchen dazu wirksame Unterstützung. Das muss Teil eines raschen sozialen EU-Krisenpakets und Teil langfristiger EU-Förderpolitik sein.
"
