MP,Date,Language,Title,Url,Content
Massimiliano SALINI,2023-11-21,IT,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-104-0000_IT.html,"  Massimiliano Salini (PPE).   – Signor Presidente, onorevoli colleghi, troppo spesso il Green Deal coincide, nella testa di alcuni, con elettrificazione, soprattutto nel mondo della mobilità: in alcuni casi in modo rigidissimo, come sui veicoli leggeri, in altri casi in modo meno rigido, come nel caso dei veicoli pesanti. 
L'argomento è: le fonti tradizionali non sono sostenibili e non sono eterne. Bene, c'è un difetto in questo approccio. In primo luogo, la sostenibilità non la si misura calcolando le emissioni allo scarico ma sull'intero ciclo di vita, perché qui ci sono sorprese: sull'intero ciclo di vita abbiamo carburanti di ultima generazione, biocarburanti e carburanti sintetici, che a volte hanno un bilancio carbonico migliore dell'elettrico. Per molti anni l'elettrico verrà ancora prodotto con centrali a carbone e fonti non rinnovabili.
Ma il secondo punto è la disponibilità. Spesso si dice, giustamente, che il gas non è eterno, ad esempio. Bene: in tutti i dispositivi elettrici, dalle reti di distribuzione ai motori, alle batterie, c'è il rame, una materia prima decisiva e necessaria per tutta l'elettrificazione. Oggi consumiamo 22 milioni di tonnellate di rame all'anno: nel giro di dieci anni, l'Agenzia internazionale dell'energia dice che scenderemo a 10 milioni di disponibilità ma col processo di elettrificazione proposto ne servirebbero 50 milioni: dove lo trovate tutto questo rame? 
Suggeriamo libertà tecnologica. L'Europa è il continente più sostenibile al mondo perché ha sempre investito in libertà tecnologica, non vincolando le soluzioni. Con questi vincoli ridurrete la ricerca, abbatterete l'industria e non otterrete sostenibilità. 
"
Massimiliano SALINI,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-216-0000_IT.html,"  Massimiliano Salini,  a nome del gruppo PPE. – Signora Presidente, onorevoli colleghi. noi oggi abbiamo a livello europeo una quantità di rifiuti che derivano dagli imballaggi che certamente non giustifica un intervento normativo come quello che stiamo discutendo, anche perché la grande maggioranza di questi rifiuti derivanti da imballaggio è già perfettamente inserita nella filiera del riciclo. 
Quindi, il rischio che noi corriamo è che questo regolamento, così corposo e così difficile, vada ad applicarsi ad una percentuale inferiore al 2 % del totale dei rifiuti prodotti. Capite che non è quindi giustificato e serio dedicare così tanti mesi a una disciplina in un settore nel quale, per ragioni di sicurezza, soprattutto nell'ambito alimentare, e di salubrità, i risultati ottenuti dall'Unione europea sono già molti e molto alti, molto interessanti, molto sostenibili. 
È vero, non ci sono gli stessi risultati in tutti e 27 i Paesi membri: abbiamo Paesi che sul riciclo hanno ottenuto grandissimi risultati, altri Paesi più scadenti, se vogliamo, magari più efficaci nel settore del riuso. 
Quello che è certo è che le migliori pratiche legate al riciclo non possono essere sfavorite, come questo regolamento pretenderebbe di fare, peraltro introducendo un concetto di riciclo che è completamente infondato dal punto di vista scientifico e non basato sul grande principio che noi sosteniamo e che abbiamo sostenuto anche in questo negoziato della neutralità sui materiali. 
Il tema del ciclo chiuso, dal punto di vista del riciclo di alta qualità, è un tema da superare. Ci sono materiali nei quali si può attuare il ciclo chiuso: dalla bottiglia ritorni alla bottiglia. Ma vi sono materiali come quello della carta, che abbiamo così fortemente sostenuto, per i quali il ciclo chiuso non è applicabile, per cui ci vuole un ciclo aperto per avere alti livelli di riciclo. 
Quindi ci sono diversi temi che si incrociano. Il primo è il rispetto delle performance dei singoli Paesi; il secondo è la tutela delle ottime performance nel settore del riciclo a tutela della salubrità e della sicurezza degli alimenti. 
Per questo noi chiediamo che questo negoziato si chiuda nel senso della realtà, come detto da molti altri colleghi, non deprimendo il potenziale in termini di ricerca che molti Paesi hanno saputo dimostrare.
"
Massimiliano SALINI,2023-10-03,IT,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-379-0000_IT.html,"  Massimiliano Salini (PPE).   – Signor Presidente, onorevoli colleghi, le dichiarazioni di Consiglio e Commissione preoccupano. Ahinoi manifestano una grave inadeguatezza rispetto a un dramma che non può essere gestito con l'artificio di questa finta diplomazia. Ci sono morti sul campo e un popolo che abitava la regione del Nagorno-Karabakh da millenni è stato stritolato e cacciato. Quindi, non è giustificato questo atteggiamento. O non sapete o fingete di non sapere.
Il silenzio delle istituzioni europee non può coprire la voce di questo Parlamento, che sta esprimendo con chiarezza quanto sia inaccettabile quel che è accaduto al popolo armeno. Ed è probabilmente solo l'inizio, perché l'atteggiamento di Russia e Turchia dimostra che probabilmente l'inizio del Nagorno-Karabakh si concluderà con un'aggressione dell'Armenia intera. Come si può pensare che un popolo come quello poi guardi all'Europa con interesse e predicare la possibilità di un allargamento?
Abbiamo il dovere di interrompere, anche ponendo sanzioni commerciali, le nostre relazioni con l'Azerbaigian fino a che non sarà chiarita la sorte del popolo armeno, cioè del popolo che rappresenta oggi anche la cultura europea, un popolo cristiano perseguitato.
"
Massimiliano SALINI,2023-09-12,IT,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-229-0000_IT.html,"  Massimiliano Salini (PPE).   – Signor Presidente, onorevoli colleghi, farò brevemente un esempio, per capire quale sia la ragione per la quale alcune critiche che sono state formulate alla proposta di direttiva non sono critiche all'ambizione ambientale della direttiva, ma sono critiche alla rigidità della direttiva.
Ci sono territori nei quali abbiamo imprese estremamente sostenibili, rispettose di tutti i limiti che vengono posti, sia in ambito industriale sia in ambito agricolo. Ma quelle imprese sono collocate in aree territoriali che morfologicamente determinano un ristagno dei pochi fattori inquinanti presenti. Quindi, impresa sostenibile, ma territorio morfologicamente preoccupante.
Il Nord Italia è un esempio: in Lombardia e in Emilia Romagna abbiamo alcune delle realtà produttive più sostenibili e innovative al mondo: ma per rispettare i limiti posti dalla direttiva bisognerebbe abbattere le Alpi! E non è esattamente semplice.
Allora, onde evitare di doverle chiudere, perché chiudendo quelle imprese chiudiamo l'Europa, la richiesta che facciamo è di collocare le giuste ambizioni dentro la realtà. Non ci vuole molto.
"
Massimiliano SALINI,2023-07-11,IT,Greening transport package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-291-0000_IT.html,"  Massimiliano Salini (PPE).   – Signora Presidente, onorevoli colleghi, abbiamo osservato alcuni elementi davvero positivi nella proposta della Commissione, con riferimento in prima battuta alla nuova possibile gestione della capacità ferroviaria. In quell'ambito sicuramente c'è spazio per un lavoro interessante.
I miglioramenti in termini di efficienza della gestione dell'infrastruttura esistente fanno stimare una performance che potrebbe migliorare del 4 %; considerate che su 200 000 chilometri di infrastrutture ferroviarie un miglioramento dell'efficienza del 4 % equivale a dire 8 000 chilometri in più di infrastruttura ferroviaria utilizzata senza averla costruita. In continuità con l'ERTMS è una buona notizia. 
Sul tema, invece, del trasporto su gomma ci sono nuove regole che fanno nascere veramente molti dubbi. Da un lato, l'eccesso di regole relative all'elettrificazione – diciamo così – della mobilità su gomma, che apre uno scenario sul quale la discussione all'interno del Parlamento è ancora molto aperta e, in generale, il tema dell'armonizzazione tra vari paesi.
È un lavoro che dobbiamo continuare a fare, ci sono lati positivi e lati negativi su cui lavorare.
"
Massimiliano SALINI,2023-05-08,IT,Methane emissions reduction in the energy sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-049-0000_IT.html,"  Massimiliano Salini (PPE).   – Signor Presidente, onorevoli colleghi, la perdita, le emissioni di metano sono un grave danno sia perché sono uno spreco, sia perché danneggiano l'ambiente, per cui questo regolamento certamente è intervenuto su una materia delicata.
Il contenuto iniziale della proposta della Commissione ha tracciato una linea che in grande parte è stata ritenuta condivisibile dai negoziatori. Il negoziato ha avuto delle vicende particolarmente complicate, che fortunatamente si sono risolte; peccato che il correlatore di Identità e democrazia abbia deciso di non condurre fino al termine il negoziato.
A causa di questi intoppi negoziali, alcuni elementi sono rimasti parzialmente coperti dai compromessi e per questo vi saranno anche emendamenti in plenaria, esattamente su alcuni dei temi che non sono stati sufficientemente negoziati.
In particolare, alcune delle questioni più critiche richiedono ulteriori chiarimenti. Uno dei punti centrali è la questione legata alle importazioni, che molti colleghi hanno richiamato. La proposta della Commissione correttamente non attribuiva ulteriori oneri in capo agli importatori, mentre nel negoziato all'interno del Parlamento stranamente si è ritenuto che si dovessero caricare gli importatori di una serie di responsabilità che non possono essere degli importatori, in particolare circa il presidio del mantenimento di alcune regole di carattere ambientale nei paesi extraeuropei da cui proviene il gas. In un momento storico come questo, dove stiamo tentando di costruire faticosamente la nostra indipendenza dalle importazioni dal gas russo, questi ulteriori elementi aggiunti certamente non sono ritenuti necessari e fortunatamente sono stati parzialmente limitati.
Ottima la decisione di sostenere la causa, soprattutto avanzata dai nostri colleghi polacchi, di tutelare anche dal punto di vista sociale le miniere di carbone che gradualmente si avvicinano a una performance ambientale migliore e questo complessivo compromesso consentirà di raggiungere il risultato che noi tutti attendiamo.
"
Massimiliano SALINI,2023-04-17,IT,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-142-0000_IT.html,"  Massimiliano Salini (PPE).   – Signor Presidente, voglio ringraziare i relatori di questo enorme pacchetto; sono in Parlamento europeo da circa nove anni e non ho mai visto un pacchetto così articolato e complicato da negoziare, quindi davvero complimenti per l'enorme lavoro svolto. 
Come al solito il nostro compito è quello di individuare anche alcuni punti sui quali sarà necessario poi continuare a lavorare. L'impegno non si è esaurito, evidentemente.
Il primo punto riguarda la condizionalità nell'ETS, e la mia personale critica va alla decisione della commissione ENVI di inasprire questa disciplina della condizionalità. A mio modo di vedere, il mercato oggi contiene elementi che sono già fortemente in grado di incentivare la decarbonizzazione. Il metodo, ad esempio, di rivalutazione dei benchmark è chiaro, oppure, ad esempio, la nota graduale abolizione delle quote gratuite. Tutto questo ha fatto sì che le nostre imprese coinvolte da questa materia stiano già fortemente investendo. Infatti, molti degli obiettivi fissati al 2030 e al 2050 non solo verranno rispettati, ma verranno anticipati.
Il secondo punto è il punto veramente più drammatico. Il lavoro che è stato fatto è certamente un buon inizio, ma sulla materia dell'export le nostre imprese sottoposte a ETS e CBAM avranno un grosso impatto. Abbiamo lavorato perfettamente sull'import, dobbiamo completare il lavoro sull'export in modo tale da non lasciarle sole sui mercati internazionali.
"
Massimiliano SALINI,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-031-0000_IT.html,"  Massimiliano Salini (PPE).   – Signora Presidente, onorevoli colleghi, signor Vicepresidente, io ho la certezza che vinceremo anche questa sfida. Ne abbiamo vinte anche di più complesse in Europa.
Tuttavia, nell'analisi dell'accordo che è stato ottenuto con il trilogo rilevo che il principale problema è proprio di tipo ambientale. Perché? Se consideriamo cosa succede fuori dall'Europa non può non colpire come i paesi, in particolare la Cina, dove spopola la soluzione della mobilità elettrica, sono esattamente i paesi in cui l'energia elettrica non viene prodotta da fonti rinnovabili.
In Europa, dove invece il modello di sviluppo è sempre stato più votato alla prudenza, al mix, al tentativo di armonizzazione delle soluzioni, la produzione di energia è fortemente orientata alle fonti rinnovabili. Il mix europeo è buono, non distruggetelo, non contestatelo acriticamente, e soprattutto abbiate più prudenza linguistica. Non chiamatele ""auto pulite"", ""a zero emissioni"", altrimenti vi chiederemo di chiamare anche le centrali nucleari ""centrali pulite"", ""centrali a zero emissioni"". 
Attenzione, il problema industriale arriva un attimo dopo. Il problema ambientale è il primo problema sul quale siete stati troppo disinvolti ed è la ragione per la quale oggi, nel voto che avremo, molti, anche nella parte sinistra di questo emiciclo, non voteranno questo accordo, perché c'è un problema legato all'armonizzazione puntuale, tipicamente europea, tra le ragioni dell'ambiente e la ragione dello sviluppo.
"
Massimiliano SALINI,2023-02-13,IT,Union Secure Connectivity Programme 2023-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-13-INT-1-224-0000_IT.html,"  Massimiliano Salini,  a nome del gruppo PPE. – Signora Presidente, onorevoli colleghi, signor Commissario, l'impegno dedicato a questa enorme sfida che completa l'imponente programma spaziale europeo è degno degli obiettivi che ci siamo proposti di fronte alle sfide più complesse di sistema, alcune determinate da fattori gravissimi come ad esempio l'aggressione russa in Ucraina oppure l'aggressivo espansionismo cinese, grandi sfide di sistema nelle quali finalmente la risposta dell'Unione europea si mostra realmente determinata.
Determinata come non può che essere di fronte al possibile protagonismo geopolitico di una grande potenza come l'Unione europea, che in questo caso si comporta da grande potenza, capace di tenere conto delle esigenze più strategiche ma anche delle esigenze degli ultimi, dei soggetti più deboli, perché il programma spaziale europeo questo risultato ottiene, in questo caso garantendo la sicurezza nella comunicazione, la connettività e l'accesso alla banda larga, anche dalle zone più remote.
È una partita che è stata gestita, a mio modo di vedere, e va dato atto innanzitutto al relatore Grudler, nella maniera migliore, perché non solo tiene conto di una spinta strategica, ma tiene anche conto, come diceva giustamente il Commissario, del tema dell'autonomia strategica dell'Unione europea, includendo anche le imprese più piccole. Infatti, una parte importante degli appalti sarà riservata alle piccole e medie imprese.
Bene, di fronte a queste sfide qualcuno in giro per il mondo ha risposto proteggendosi con nuove forme di protezionismo. Noi abbiamo deciso di puntare sulla vera innovazione e di questo va dato atto innanzitutto al Commissario Breton per averci creduto in modo così trasparente. Buon lavoro a tutti noi e grazie ai relatori per il lavoro che abbiamo svolto.
"
Massimiliano SALINI,2023-01-16,IT,Shipments of waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-16-INT-1-133-0000_IT.html,"  Massimiliano Salini,  a nome del gruppo PPE. – Signor Presidente, onorevoli colleghi, la disciplina che stiamo affrontando, la disciplina sensibile relativa alla circolazione e all'utilizzo dei rifiuti impatta su uno degli argomenti più accattivanti del dibattito sul futuro della sostenibilità, soprattutto dal punto di vista economico e industriale in Europa. 
Noi dobbiamo – e in questa disciplina ci si sta riuscendo – dobbiamo favorire la libera circolazione dei rifiuti in modo tale che chi è in grado di recuperarli e riciclarli in maniera sostenibile sia messo nelle condizioni di farlo. 
Vi è però un dato industriale molto rilevante sul quale ci siamo permessi di formulare alcuni emendamenti. La gran parte del rifiuto esportato dall'Unione europea è rifiuto di natura ferrosa, quindi è materia prima per la realizzazione di acciaio verde. 
Questo è il punto cruciale su cui ci siamo permessi di segnalare che l'esportazione di questa materia prima, più che di questo rifiuto, potrebbe favorire paesi che, trattandoli in maniera molto meno sostenibile di quanto non accada in Europa, realizzino poi acciaio che viene poi venduto in Europa a prezzi molto bassi, essendo stato realizzato non rispettando le regole ambientali che noi rispettiamo. 
È molto importante che, sul tema specifico, non tanto per creare una disciplina distinta, ma perché circa il 60 % del rifiuto esportato è esattamente di questa natura, è molto importante che su questo tema ci sia una particolare attenzione, non per ridimensionare la libertà di circolazione del rifiuto o della materia prima, ma per favorire la migliore industria sostenibile europea, in particolare nel settore siderurgico. 
"
Massimiliano SALINI,2022-12-14,IT,EU response to the US Inflation Reduction Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-087-0000_IT.html,"  Massimiliano Salini (PPE).   – Signora Presidente, onorevoli colleghi, la decisione di non ridimensionare le ambizioni europee in materia di sostenibilità e in materia anche di fair play commerciale a livello globale sono comprensibili, nonostante l'affronto ricevuto dalle misure destinate alla riduzione dell'inflazione proposte dagli Stati Uniti d'America.
Ma la condizione per cui noi ci si possa permettere di non ridurre le nostre ambizioni è che, al contempo, l'Europa decida di proteggere non in termini protezionistici, ma in termini reali, economici, i propri prodotti sui mercati globali. Possiamo rimanere ambiziosi, ma al contempo non dobbiamo lasciare da soli i nostri imprenditori nella sfida globale.
Per questo è molto sbagliato che sulla CBAM si decida di non occuparsi di export e per cui è auspicabile che nei negoziati sugli ETS, che si concluderanno venerdì, il tema dell'export entri nelle misure su cui l'Europa, che tiene le proprie ambizioni alte, deve decidere di non tenerle solo a tutela dei politici che le raccontano, ma anche delle imprese che esportano.
"
Massimiliano SALINI,2022-11-23,IT,A truly interconnected Energy Single Market to keep bills down and companies competitive (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-160-0000_IT.html,"  Massimiliano Salini (PPE).   – Signora Presidente, onorevoli colleghi, nella crisi energetica abbiamo avuto due strategie a confronto: da un lato chi ha proposto di imporre un tetto al prezzo del gas, e mi pare che questa soluzione non sia sostanzialmente stata accolta dalla Commissione, dall'altro c'è chi adotta una strategia differente, a mio modo di vedere altrettanto complessa e probabilmente ancora più pericolosa per il mercato, cioè puntare sulla riduzione della domanda di energia e sovvenzionare, con le risorse disponibili all'interno del paese, per compensare questa riduzione della domanda di energia. Questo secondo modello sta producendo delocalizzazioni industriali.
Purtroppo la riduzione della domanda di gas e di energia in questo momento non è determinata da un efficientamento, ma dal fatto che si decide di spostare la produzione altrove. E su questo la Commissione, io credo, dovrà essere molto vigile e non sostenere questo modello.
Dall'altro c'è il tema delle infrastrutture. L'integrazione va garantita, i flussi tradizionali erano da est verso ovest e da nord verso sud, in futuro saranno da sud verso nord e da ovest verso est, e questo è un elemento di novità che nell'integrazione infrastrutturale dovrà diventare un punto di riferimento per la Commissione europea.
"
