MP,Date,Language,Title,Url,Content
Massimiliano SMERIGLIO,2023-10-03,IT,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-072-0000_IT.html,"  Massimiliano Smeriglio,  a nome del gruppo S&D. – Signora Presidente, onorevoli colleghi, l'atto europeo per la libertà dei media è un'opportunità per l'Europa. Il Parlamento scelga con forza da che parte stare: quella dell'indipendenza dei giornalisti, garantita da un regolamento ambizioso.
La protezione delle fonti giornalistiche è un atto di civiltà. In troppi Stati membri assistiamo a tentativi di silenziare il lavoro dei giornalisti, soprattutto del giornalismo d'inchiesta. Non vi sono democrazie sane laddove i giornalisti non possono svolgere il loro lavoro e sono vittime di forme di pressione e censura.
Con le disposizioni che voteremo inseriamo salvaguardie complete: colpire tutte le tecnologie utilizzate per spiare e rimuovere i motivi di sicurezza nazionale utilizzati per limitare la protezione dei giornalisti e delle loro fonti. Non dobbiamo accettare nessun compromesso al ribasso.
Vogliamo rafforzare le garanzie a tutela dell'indipendenza dei media di servizio pubblico. Questi devono essere pienamente indipendenti e autonomi, in un sistema che garantisca piena protezione da influenze politiche e governative. Devono poter godere di una duplice indipendenza: istituzionale, che si traduce in piena trasparenza dei rispettivi board, e finanziaria, che si realizza imponendo agli Stati membri di assicurare un finanziamento adeguato, evitando di trasformare la pubblicità di Stato in strumento di pressione politica.
Denunciare e intervenire contro la disinformazione e le ingerenze, certamente, ma senza rinunciare alla libertà di stampa. L'articolo 11 della Carta dei diritti fondamentali dell'Unione europea riconosce a tutti il diritto di ricevere un'offerta pluralistica di informazioni. Il Parlamento chiede agli Stati membri di mettere finalmente in pratica questo diritto. Dobbiamo garantire che le grandi piattaforme non possano agire in maniera indiscriminata quando si tratta di media affidabili e veramente indipendenti.
Alcuni Stati nazionali, Ungheria in testa, faranno di tutto per ridurre la portata di questo testo. Non possiamo permetterlo. L'autonomia dei giornalisti rende le nostre democrazie più forti.
"
Massimiliano SMERIGLIO,2023-09-14,IT,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-073-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signora Presidente, signora Commissaria, onorevoli colleghi, quello che è accaduto è un fatto grave. L'atto di violenza machista è un abuso di potere, la dimostrazione plastica di come la cultura patriarcale è ancora presente nello sport.
Basti pensare agli ultimi abusi nel mondo del calcio femminile compiuti da allenatori. Purtroppo si tratta di un fenomeno diffuso: un'atleta su sette al di sotto dei 18 anni dichiara di aver subito abusi sessuali, violenze e molestie, spesso per mano dei coach.
Ma la discriminazione contro le atlete ha forme molteplici. Stiamo facendo dei passi avanti: li stanno facendo direttamente le protagoniste. L'inibizione di Rubiales è un primo importante fatto.
La politica però non può fermarsi alla sola repressione: bisogna costruire reti territoriali che incoraggino la denuncia e garantiscano la tutela delle donne vittime di abuso e molestie. È importante investire in processi di consapevolezza degli uomini e in progetti di educazione sentimentale.
Le donne non sono oggetti o trofei da esporre come segno del potere: il consenso è l'unico criterio che vale, nello sport come nel resto della società.
"
Massimiliano SMERIGLIO,2023-09-13,IT,The future of the European book sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-441-0000_IT.html,"  Massimiliano Smeriglio,  a nome del gruppo S&D. – Signor Presidente, signora Commissaria, onorevoli colleghi, i libri sono da sempre un mezzo di libera espressione, le lenti per conoscere meglio il mondo e imparare e trasmettere il sapere.
Il settore del libro si compone di una miriade di soggetti che vanno supportati: autori, editori, traduttori, lettori, fino ai librai. I librai, in particolare, sono figure professionali preziose per introdurre e avvicinare alla lettura.
Vorrei ricordare l'importanza delle librerie indipendenti, spesso vittime di vergognosi atti di intimidazione. Inoltre, queste librerie subiscono le difficoltà del mercato senza ricevere alcun supporto pubblico. Questi luoghi sono dei pilastri delle nostre comunità locali: le mantengono vive, promuovono iniziative culturali e diventano spesso un punto di incontro, socializzazione e aggregazione.
È importante fare presto: creare un marchio europeo per le librerie indipendenti per aumentare la loro visibilità, promuovere la diversità e avere un ruolo centrale nella catena del valore e della diffusione della conoscenza.
"
Massimiliano SMERIGLIO,2023-06-13,IT,State of EU Cuba PDCA in the light of the recent visit of the High Representative to the island (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-350-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signora Presidente, onorevoli colleghi, la missione a Cuba dell'Alto rappresentante è stato un evento importante. Visitare Cuba significa accorciare le distanze con il popolo cubano, rafforzare l'autonomia strategica europea, difendere gli interessi continentali, visto che l'Unione europea è il primo partner in ambito commerciale della cooperazione dell'isola caraibica. 
Un atto di sovranità in linea con le posizioni europee contro il blocco economico statunitense e contro l'inserimento di Cuba tra i paesi promotori del terrorismo. Dobbiamo implementare le relazioni, così come previsto dall'accordo del 2016. Dobbiamo lavorare a un'agenda autonoma europea capace di individuare nella regione tutti gli attori interessati a rafforzare gli scambi diplomatici, politici e commerciali, rispettando diritti, Stato di diritto e autodeterminazione dei popoli. 
Abbiamo la responsabilità di preparare al meglio il summit UE-CELAC di luglio. Il viaggio a Cuba e l'incontro con il Presidente Díaz-Canel sono stati passi importanti nella giusta direzione. 
"
Massimiliano SMERIGLIO,2023-04-20,IT,EU Action Plan against Trafficking in Cultural Goods (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-161-0000_IT.html,"  Massimiliano Smeriglio,  a nome del gruppo S&D. – Signor Presidente, signor Commissario Schmit, nel 2020 sono stati sequestrati a livello globale oltre 850 000 beni culturali, tra cui dipinti, sculture, oggetti archeologici e materiali librari. Più della metà di questi oggetti sono stati sequestrati in Europa.
Questi dati nascondono un problema di ampie proporzioni, poiché moltissimi casi non vengono ancora individuati.
I beni culturali hanno un'enorme importanza dal punto di vista artistico, storico e scientifico. Il traffico illecito può avere un impatto devastante e irreversibile sul patrimonio culturale, poiché distrugge parti della nostra memoria collettiva e priva la cittadinanza di testimonianze della sua storia.
Tra le azioni proposte dal piano d'azione ritengo che la promozione e il rafforzamento della cooperazione internazionale siano fondamentali, soprattutto con i paesi terzi, essendo questo un reato di natura transfrontaliera. L'azione europea non può limitarsi all'interno dei confini dell'Unione, ma deve andare oltre.
Per questo motivo la Commissione dovrebbe dare seguito alle richieste che provengono anche dai paesi terzi. Come, ad esempio, l'istituzione di un dialogo politico a livello ministeriale per promuovere la protezione del patrimonio culturale dalle attività illegali.
Paesi come l'Italia sono stati riconosciuti come esempi da seguire in questo ambito, basti pensare che l'Italia è stato il primo paese al mondo a istituire e a mettere a disposizione dell'UNESCO la task force dei ""caschi blu della cultura"". Allo stesso modo, molti paesi dell'America latina stanno progressivamente rafforzando le loro politiche di protezione contro la vendita di reperti archeologici.
Un dialogo politico di alto livello consentirebbe uno scambio proficuo, con l'obiettivo di facilitare e rafforzare ancora di più la cooperazione internazionale.
Esistono ancora punti deboli nella raccolta dati. Alcuni Stati non solo non dispongono di unità specializzate, ma mancano anche di database nazionali dedicati alla registrazione delle opere d'arte rubate e connessi a quelli dell'Interpol. La mancanza di questi elementi limita poi la ricezione di informazioni su scala internazionale.
Infine, all'attività di raccolta dati si deve accompagnare una forte attività di sensibilizzazione nelle scuole, tra le comunità locali, nelle università, poiché c'è ancora scarsa consapevolezza circa i danni che il traffico illecito di beni culturali può causare.
Dunque il traffico illecito è un reato grave, odioso, poiché sottrae dei beni comuni alla pubblica fruizione, trasformando il valore d'uso, la bellezza disponibile per tutti e tutte in valore di scambio e merce nella disponibilità di pochissimi. È nostra responsabilità fare il massimo per garantire il recupero di un patrimonio che appartiene all'umanità intera.
"
Massimiliano SMERIGLIO,2023-04-18,IT,Question Time (Commission) - Legacy of the European Year of Youth,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-272-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signor Presidente, signora Commissaria, credo che dobbiamo essere sinceri: l'Anno europeo della gioventù non è stato il successo che avremmo voluto. Un'occasione sprecata, complici la pandemia e la guerra, che peraltro hanno anche acuito alcune fragilità giovanili.
Rimangono ancora tanti problemi, tra cui il benessere mentale, messo a dura prova da isolamento e mancanza di prospettive future. Quando avremo dunque una strategia europea sulla salute mentale con un focus specifico sulle nuove generazioni?
Secondo punto: il riconoscimento reciproco automatico dei titoli di studio e delle qualifiche. C'è ancora molta strada da fare, a che punto siamo su questo tema?
Da ultimo, sarebbe importante inserire nei programmi scolastici moduli di cittadinanza europea più attiva e partecipata; ci sono passi concreti in questa direzione?
"
Massimiliano SMERIGLIO,2023-04-18,IT,Situation in Peru (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-301-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signor Presidente, signor Alto rappresentante, siamo preoccupati perché la situazione continua ad essere insostenibile: parliamo di almeno 60 persone uccise e 1 335 ferite durante le proteste, il tutto inasprito da enormi ingiustizie sociali e da un razzismo sistemico, manifestato anche dalla stampa ufficiale, con la violenza e la repressione dirette principalmente contro i popoli originari aymara e quechua.
Sulla strage di Juliaca, nella regione di Puno, 18 persone uccise, sono intervenute le Nazioni Unite. Amnesty ha chiesto di cessare immediatamente l'uso non necessario e sproporzionato della forza contro la popolazione civile e di indagare sulle violazioni dei diritti umani.
Ci preoccupano anche le decisioni della Corte costituzionale, che minano l'indipendenza del potere giudiziario.
Esprimo piena solidarietà al popolo peruviano e ritengo fondamentale l'attivazione dell'Unione europea per favorire il dialogo e un processo negoziale che ponga fine alle violenze e il ritorno al voto e alla normalità democratica.
"
Massimiliano SMERIGLIO,2022-12-14,IT,The Commission’s reports on the situation of journalists and the implications of the rule of law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-333-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signora Presidente, onorevoli colleghi, l'Europa è considerata un posto sicuro per i giornalisti, tuttavia le minacce e gli attacchi contro di loro sono in preoccupante aumento, così come le intimidazioni e le pressioni.
La preoccupazione maggiore riguarda le condizioni di lavoro precarie e la ricattabilità, nonché la tutela delle fonti e del segreto professionale.
In merito alla tutela delle fonti, sette paesi dell'UE rientrano nella categoria rischio medio secondo il Media pluralism monitor. Tra questi vi è l'Italia, dove assistiamo a richieste da parte della magistratura di acquisire dati relativi a comunicazioni private dei giornalisti, nonostante la piena disponibilità a collaborare. A questo proposito voglio esprimere piena solidarietà a Sigfrido Ranucci e alla redazione di Report, importante trasmissione di inchiesta.
Il ripetersi di questi casi pone l'urgenza di approvare normative più efficaci a tutela delle fonti e del segreto professionale; il lavoro sulla legge europea sulla libertà dei media rappresenta una grande opportunità per rafforzare l'indipendenza della stampa.
La Corte europea dei diritti dell'uomo ha ribadito che ingerenze di questo tipo equivalgono a un attacco al diritto dei cittadini alla libera informazione. In alcuni Paesi questo monito rimane ancora oggi inascoltato.
"
Massimiliano SMERIGLIO,2022-12-13,IT,Implementation of the New European Agenda for Culture and the EU Strategy for International Cultural Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-149-0000_IT.html,"  Massimiliano Smeriglio,  a nome del gruppo S&D. – Signor Presidente, signora Commissaria, onorevoli colleghi, il lavoro che abbiamo svolto su questa relazione, grazie anche alla relatrice Salima Yenbou, è stato importante e ha visto la commissione CULT impegnata a valutare tanto la nuova agenda europea per la cultura del 2018, quanto la strategia UE per le relazioni culturali internazionali, due documenti strategici che definiscono le nostre priorità culturali.
L'Europa è cambiata profondamente nel corso di questi anni. Tra le sfide più grandi, prima la pandemia, ora il conflitto che non conosce fine. Queste sfide e i cambiamenti che ne sono derivati impongono all'Unione di rivedere il suo quadro strategico in ambito culturale e delle relazioni culturali internazionali con obiettivi più mirati e ambiziosi. Ricordando a tutti noi che la cultura è sempre un ponte, anche e soprattutto quando parlano le armi.
Mi rincuora vedere che tra le priorità del piano di lavoro per la cultura 2023-2026, appena approvato, spicca la volontà di rafforzare il ruolo degli artisti e dei professionisti nel mondo culturale, lavorando affinché questo ecosistema così dinamico possa crescere ancora di più.
Nel mondo culturale e creativo, più di un terzo di tutti i lavoratori sono autonomi o freelance. Molto spesso il salario minimo non si applica e molti lavoratori, se licenziati, non hanno fonti alternative di reddito.
Inoltre, le differenze legislative esistenti tra gli Stati membri sullo status giuridico degli artisti ostacolano la collaborazione e il lavoro transfrontaliero.
Le arti e la cultura non sono una merce, ci tengono in vita, portano la speranza di emancipazione, danno senso alla solidarietà e all'esercizio della nostra libertà.
Infine il nuovo piano di lavoro per la cultura rappresenta sicuramente un'opportunità. Tuttavia, ci tengo a sottolineare come questa ambizione richiede finanziamenti adeguati. Le buone intenzioni non bastano, dobbiamo investire di più nella cultura, tanto a livello UE, rafforzando programmi come Europa Creativa nel prossimo bilancio pluriennale, quanto a livello nazionale, dove gli Stati dovrebbero sviluppare nuove fonti di finanziamento alternative e stabili per i settori culturali e creativi che ad oggi recuperano solo una minima parte del valore economico che generano.
"
Massimiliano SMERIGLIO,2022-11-24,IT,The European Year of Youth 2022 Legacy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-071-0000_IT.html,"  Massimiliano Smeriglio (S&D).   – Signora Presidente, signor Commissario, onorevoli colleghi, a poche settimane dalla sua conclusione abbiamo la possibilità di confrontarci sull'Anno europeo della gioventù. 
Un anno che ha mancato i suoi obiettivi, primo tra tutti quello di raggiungere realmente le giovani generazioni europee, comprendere i loro bisogni, soprattutto dopo la pandemia e nel mezzo dell'attuale crisi sociale.
Vorrei ricordare alla Commissione che siamo ancora in tempo per agire, dando risposte concrete. Innanzitutto implementando lo ""EU Youth Test"" affinché vi sia un coinvolgimento significativo delle nuove generazioni nel processo decisionale politico. I giovani devono poter avere voce in capitolo quando si decide su politiche che impatteranno sul loro futuro.
È il momento di combattere la precarietà giovanile e dare loro la possibilità di affacciarsi al mondo del lavoro con opportunità di qualità, a partire da un quadro normativo a livello europeo che vieti i tirocini e apprendistati non retribuiti, e su questo aspetto la Commissione e gli Stati membri devono sicuramente fare la loro parte, ma anche il Parlamento deve essere chiaro e unito su questa richiesta. Noi per primi dobbiamo dire basta all'era del lavoro gratuito per poter fare esperienza.
L'educazione crea uguaglianza, ma se il primo passo dopo la laurea è uno stage non retribuito, ci limitiamo a mantenere intatte le disuguaglianze esistenti. La pandemia ha già costretto i giovani a mettere in pausa la loro vita. Il minimo che possiamo fare è garantire loro un inizio del percorso lavorativo senza essere indebitati. Lo dobbiamo a loro, per l'Europa del futuro.
Da ultimo, è per noi fondamentale dare continuità a questo lavoro prolungando l'Anno europeo della gioventù fino al 9 maggio 2023. 
"
