MP,Date,Language,Title,Url,Content
Mathilde ANDROUËT,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-297-0000_FR.html,"  Mathilde Androuët (ID).   – Monsieur le Président, comme il n’est aucun domaine que l’Union européenne ne veut voir échapper à ses pulsions totalitaires, nous traitons aujourd’hui du certificat européen de parentalité.
Ces termes affreux donnent d’ailleurs l’impression qu’être parent dépend plus d’une mise en conformité administrative que de la nature elle-même. Usant des mêmes arguments d’apparente bienveillance et de praticité, chaque État devra reconnaître la filiation d’un ressortissant d’un autre État membre – dit ainsi, cela s’entend –, «peu importe la forme que prend cette filiation». Le diable se cache dans les détails, dit-on, et le détail est ici de taille: sur la base de cas hypothétiques d’enfants en situation d’insécurité juridique, la Commission invente des situations de détresse pour s’immiscer dans la politique familiale des États membres et imposer son idéologie.
Ce certificat obligera à reconnaître la parentalité de couples du même sexe ayant eu recours à la procréation médicalement assistée, alors que certains pays européens ont librement choisi de ne pas reconnaître cette filiation. Plus grave encore, on reconnaîtra en pratique la filiation après GPA, soit, pour rappel, la location d’un ventre de femme pour produire une vie acquise par contrat et la programmation de l’abandon d’un enfant dès sa conception. Une régression terrible, qui n’est autre que la marchandisation des corps humains.
Droits de l’homme, droit de l’Union européenne, souveraineté des États: rien n’effraie le rouleau compresseur de cette Commission de droit divin. Avec cette législation, les pays membres pourront être amenés à reconnaître plus de droits à des familles formées hors de leurs frontières qu’à leurs propres familles, voire à reconnaître la pluriparentalité. Ne nous leurrons pas: une offensive claire est menée par l’Union européenne contre la Pologne et la Hongrie, qui ont souverainement fait de la filiation une question fondamentale.
Il est d’ailleurs toujours étonnant que l’Union européenne s’emploie ainsi, avec autant d’énergie, à menacer et à coincer ses propres membres. C’est à se demander si, dans le fond, sur cette question comme sur d’autres, l’unité importe moins que la victoire idéologique, une idéologie qui s’élabore trop souvent, tout de même, ici, contre le droit des femmes et des enfants – soit les plus vulnérables.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Mathilde ANDROUËT,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-299-0000_FR.html,"  Mathilde Androuët (ID),  réponse ""carton bleu"". – Non, ce n’est pas du tout l’objet de mon propos. En l’occurrence, il n’y a pas d’annulation de contrats élaborés dans certains pays.
Sauf que, on ne va pas se mentir, ce texte sert juste à provoquer une attaque, une offensive, contre des pays qui ont librement et souverainement choisi de ne pas reconnaître certaines unions et surtout de ne pas aider et «sponsoriser» le système de la GPA, ce qui est le cas avec ce texte.
"
Mathilde ANDROUËT,2023-12-12,FR,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-157-0000_FR.html,"  Mathilde Androuët,  au nom du groupe ID. – Madame la Présidente, après avoir imposé le certificat numérique de vaccination contre la COVID-19, voici que l’Union européenne revient par la grande porte pour s’immiscer dans les compétences souveraines des États – la santé, en l’occurrence.
L’espace européen des données de santé marque la volonté toujours plus forte de Bruxelles de s’imposer comme un super-État face aux nations européennes. Voulons-nous vraiment que l’Union européenne s’occupe de la santé des Européens comme elle s’occupe du reste, c’est-à-dire comme une hyperstructure totalitaire?
En plus de s’inscrire dans le giron du portefeuille d’identité numérique, ce projet liberticide captera les données de santé des Européens au profit de Microsoft. La souveraineté numérique en prend donc un coup, et avec elle votre capacité à ne pas vous soumettre en permanence aux GAFAM et à leurs déprédations.
Vous bafouez les intérêts des citoyens européens, et pis: vous n’empêchez pas les acteurs privés comme les banques ou les compagnies d’assurances d’utiliser nos données. Qu’importe le consentement des Européens, ils doivent tout donner pour être mieux contrôlés.
Nous refusons cette dérive liberticide, qui est une atteinte aux États et aux individus. Non, l’Union européenne n’est pas un empire. Non, la liberté des Européens n’est pas négociable. Non, l’Europe n’est pas à vendre aux États Unis. 
"
Mathilde ANDROUËT,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-026-0000_FR.html,"  Mathilde Androuët (ID).   – Monsieur le Président, le 4 août 2023, à Cherbourg, Oumar N., déjà condamné sans suite pour violences sexuelles, dont une sur sa sœur de douze ans, s’introduit chez Mégane pour la tabasser et la violer avec un manche à balai. Perforation du côlon, de l’intestin grêle, du péritoine, du diaphragme, pneumothorax, fractures aux côtes et risque élevé de choc septique. Les sévices furent tels que le personnel soignant s’est retrouvé sous le choc, en larmes.
Le 14 octobre 2023, à Argenteuil, Samir B. s’introduit dans les chambres de femmes âgées de 93 et 95 ans et les agresse sexuellement. Déjà connu des services de police pour des faits similaires, il est pourtant relâché 48 heures après les faits. Les deux femmes sont décédées peu de temps après ces violences.
Voici deux images de la mosaïque des horreurs quotidiennes que vivent les Européennes. Une particularité, nous franchissons des paliers dans l’horreur. Les agresseurs ne veulent plus seulement jouir, ils veulent détruire, et salir.
Ce ne sont pas des faits divers. Ce qui est divers, banal, c’est votre lâcheté. Lâcheté à ne pas reconnaître que l’immigration a fortement contribué aux 170 % d’augmentation des violences sexuelles en dix ans. Les coupables sont ces violeurs, mais les responsables, c’est vous! C’est vous qui voyez dans l’immigration une manne électorale ou une main d’œuvre bon marché. Vous qui refusez de voir l’ampleur de la haine de certains et qui les faites venir à grand renfort de lois, d’ONG et de subventions. Vous qui encouragez cette submersion, vous portez une responsabilité. Alors si vous voulez que les violences à l’égard des femmes baissent, ayez le courage de cesser ces flux humains gangrénés par des éléments inhumains, dont la violence n’a d’égale que le mépris qu’ils ont pour nous, les femmes.
"
Mathilde ANDROUËT,2023-11-21,FR,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-029-0000_FR.html,"  Mathilde Androuët (ID).   – Madame la Présidente, l’enfer est pavé de bonnes intentions, ce règlement aussi. Si l’objectif de réduction des pesticides est louable, il n’en demeure pas moins que sa réalisation pose d’importants problèmes scientifiques et sociaux.
Constatant l’échec d’une précédente directive, les commissaires européens fixent des contraintes en proposant un règlement visant la réduction de 50 % des pesticides pour 2030. Ces chiffres sont sortis de nulle part, sans aucune justification. Cette diminution de 50 % se fera par rapport à la consommation moyenne des années 2011-2013. Or, depuis 2011, la consommation de pesticides a augmenté. Donc imposer tant de contraintes aussi rapidement ne pourra fonctionner sans provoquer d’énormes problèmes, notamment dans le monde agricole déjà considérablement affecté par vos normes.
Le financement de la recherche d’alternatives est par ailleurs très insuffisant, et la question de la mise en œuvre va aussi se poser. Allons-nous revoir les tolérances à l’égard du café et du thé importés, ou seront-ils interdits? Va-t-on établir des quotas de consommation de pesticides par agriculteur, soviétisant encore le marché agricole? Encore une fois, nous traitons de lubies écolo sans aucun sens des réalités ni aucune base scientifique.
"
Mathilde ANDROUËT,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-070-0000_FR.html,"  Mathilde Androuët (ID).   – Monsieur le Président, il est heureux que l’Union européenne décide d’une stratégie de protection de nos approvisionnements en protéines. Enfin, la relocalisation est mise à l’honneur!
Souhaitons que les politiques européens se plient à cette nouvelle donne, soit: arrêter de multiplier les traités de libre-échange avec toute la planète, qui nous submergent de produits agricoles de moindre qualité et à bas coût et asphyxient nos agricultures. Soit aussi: faire taire cette rengaine sur la réduction des cheptels et l’arrêt de la consommation de viande, qui n’est que la mise à mort de nos éleveurs et d’un pastoralisme millénaire en Europe.
Aussi, comment osez-vous, vous la gauche, demander la baisse de la consommation de protéines animales? En France, la surmortalité des agriculteurs par suicide est de 28 % par rapport à la population générale, et elle s’élève à 127 % – 127 %! – pour les éleveurs bovins. Votre amendement est une honte, un crachat sur la tombe des éleveurs et au visage de leurs orphelins.
Vous nous avez habitués à l’indécence par votre idéologie décroissante, mais n’essayez pas, par vos amendements de sape, de nous entraîner avec vous dans l’abject.
"
Mathilde ANDROUËT,2023-10-18,FR,Objection pursuant to Rule 111(3): Additional technical screening criteria (B9-0431/2023)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-150-0000_FR.html,"  Mathilde Androuët (ID).   – Monsieur le Président, chers collègues, nous avons tous conscience des répercussions financières de la transition énergétique sur les secteurs clés de nos industries européennes. L’industrie des transports est, elle, sans aucun doute, le secteur auquel on demande de faire le plus d’efforts aujourd’hui en matière de réduction des émissions carbonées.
Malgré une volonté affichée de développer des énergies alternatives, l’acte délégué de la Commission européenne sur la taxonomie pour le financement des énergies vertes prend en compte uniquement l’énergie électrique dans le domaine des transports.
Ce qui est totalement déloyal par rapport aux investissements de recherche et de développement et aux efforts consentis par les constructeurs européens pour trouver des solutions moins polluantes, notamment dans les secteurs où le «tout électrique» est embryonnaire, voire impossible pour l’heure.
Dans l’aviation, le recours à des carburants de remplacement à base d’hydrogène, quatre à huit fois plus chers que le kérosène classique, est désormais obligatoire. Dans la navigation, certains ont spontanément investi dans le gaz naturel.
Au vu des efforts fournis, pourquoi empêcher ces secteurs de pouvoir correspondre aux critères de la taxonomie en matière de financement vert? Ce texte, que la Commission a délibérément limité, se traduira de surcroît par une hausse des coûts de production et d’exploitation, hausse que subiront les consommateurs.
Ne fermons pas les portes à de nouvelles solutions et ne condamnons pas d’avance des progrès techniques qui permettent une réduction de notre pollution industrielle et commerciale. N’avons-nous pas une responsabilité politique dans la construction de notre avenir industriel et environnemental? Si!
C’est pour cette raison que mon groupe a déposé cette objection, qui vise à faire reconnaître beaucoup plus justement la contribution des carburants alternatifs dans la lutte contre le réchauffement climatique, au même titre que l’énergie électrique. Ils doivent donc être pris en compte dans les nouveaux critères définis par la Commission en matière de financements verts européens. C’est pourquoi nous vous demandons de bien vouloir soutenir cette objection.
"
Mathilde ANDROUËT,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-322-0000_FR.html,"  Mathilde Androuët,  au nom du groupe ID. – Monsieur le Président, dans un monde où l’eau douce ne représente que 3 % du stock mondial, où les prévisions les moins optimistes estiment que le débit des cours d’eau en région parisienne ou dans le Sud—Ouest français, par exemple, pourrait baisser de 50 %, il devient nécessaire de nous préoccuper de cet élément indispensable à toute vie sur Terre. 
À ce titre, l’Europe, dans son intégralité, doit reconnaître le caractère universel de l’eau afin de l’extraire des logiques spéculatives de préemption par les ONG ou de privatisation. Cela signifie qu’il faut aussi lutter contre le gaspillage. 
Premièrement, il est urgent de réparer les avaries des structures d’adduction, qui, pour certaines, peuvent perdre 40 % de leur eau, comme c’est le cas à la Martinique. Le travail est colossal mais nécessaire: on ne peut contraindre la population à la sobriété si les tuyaux fuient. 
Il est également temps d’associer l’agriculture et l’industrie, sans amende ni contrainte: intégrer automatiquement des systèmes de récupération d’eau de pluie dans les chantiers de BTP, développer des systèmes de retraitement des eaux usées, prévoir des robinets mousseurs dans la plomberie et se saisir de la PAC, enfin, pour y ouvrir une ligne consacrée à la protection de nos ressources hydriques. 
En effet, nous devons encourager, y compris financièrement, le reboisement et la replantation des haies afin de lutter contre l’assèchement et l’imperméabilisation des sols. «À l’échelle cosmique, l’eau liquide est plus rare que l’or», disait le regretté Hubert Reeves. Charge à nous de garantir, aujourd’hui et demain, cet or bleu à toutes les nations européennes. 
"
Mathilde ANDROUËT,2023-09-12,FR,Combating the normalisation of far-right and far-left discourses including antisemitism (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-551-0000_FR.html,"  Mathilde Androuët,  au nom du groupe ID. – Madame la Présidente, si selon la célèbre réflexion de Talleyrand, «tout ce qui est excessif est insignifiant», il n’en reste pas moins qu’il faut s’inquiéter, à juste titre, de la montée en puissance de discours de propagande extrémistes menaçant la stabilité et la paix civile de nos démocraties européennes. Mais il s’agit encore une fois de ne pas se tromper de cible et les institutions de l’Union seraient bien avisés de ne pas jouer les pompiers pyromanes.
En effet, nous assistons à une criminalisation accélérée et proprement délirante des Européens qui, sous prétexte qu’ils entendent défendre leur identité, leur culture, leurs valeurs, la protection sociale, leur environnement, leur sécurité et la souveraineté de leur pays, sont désormais taxés d’extrémisme, et sont parfois réduits au silence par des mesures discriminatoires et liberticides.
En somme, si l’on décrypte le titre de cette session de débat, le problème serait que des groupements politiques qui ne correspondraient pas aux normes idéologiques d’une petite élite européenne, de plus en plus petite et de plus en plus décriée par les peuples, ne soient pas jetés immédiatement dans le camp du mal. Je ne crois pas qu’en cette assemblée, fort heureusement, il y ait place au discours raciste ou antisémite. Et ceux qui ont peur pour leur mandat en juin prochain, plutôt que de taxer d’extrémistes aussi facilement leurs opposants, feraient mieux de s’interroger sur leurs politiques qui ont gonflé les rangs des porteurs de malheur et de violence.
Si désormais certains enseignants ne peuvent plus aborder la Shoah en classe, ce n’est pas du fait de l’extrême gauche ou de l’extrême droite, mais bien de l’extrême collusion avec des populations venues de contrées aux croyances et visions souvent hostiles aux Juifs, aux Chrétiens et plus généralement aux Occidentaux. Combien de fois les institutions européennes ont financé et promu des associations et des ONG ouvertement antinationales et islamistes, des structures téléguidées par des puissances étrangères et dont le but final est de fissurer notre pacte social et la civilisation européenne?
J’invite donc les grandes consciences qui ont initié ce débat sur la lutte contre cette normalisation des discours à balayer devant leur porte. Ils ont, pour beaucoup d’entre eux, contribué à la diffusion d’une idéologie totalitaire et mortifère, sans jamais accuser les véritables fautifs.
"
Mathilde ANDROUËT,2023-07-10,FR,Protection of workers from extreme heat and other extreme weather phenomena resulting from the climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-181-0000_FR.html,"  Mathilde Androuët,  au nom du groupe ID. – Madame la Présidente, l’Union européenne a une étrange tendance à déplorer les situations auxquelles elle contribue pourtant par ses politiques. Nous nous inquiétons aujourd’hui des températures extrêmes que subissent les travailleurs, mais, il y a moins de 24 heures, l’Union européenne a signé un accord de libre-échange avec la Nouvelle-Zélande, un accord qui devrait entraîner une hausse de 30 % des échanges commerciaux avec un pays parmi les plus éloignés de l’Union européenne.
Sans être devin ni climatologue, on peut dire que ce genre de décision est lamentable du point de vue du bilan carbone qui devrait mécaniquement gonfler, en plus d’être une décision criminelle vis-à-vis des emplois agricoles européens.
Tant que l’Union européenne pratiquera la religion du libre-échange mondial, ses choix en matière de politique environnementale de grande échelle seront sabotés. Tant que l’Union européenne encouragera la concentration des individus et la bétonisation mécanique de cette concentration forcément urbaine, nous ne cesserons pas d’affoler les thermomètres. Nous pouvons et devons reboiser. Nous pouvons et devons ralentir le ruissellement des eaux de pluie vers les mers et océans. Mais quelle utilité si nos pays ne sont que des déserts ruraux ponctués de métropoles fournaises?
Si nous ne rompons pas avec cette logique d’entassement ou d’étalement urbain qui dégrade la qualité de vie des Européens, qui appauvrit les sols, incapables de retenir les eaux de pluie, provoquant des inondations ou faisant monter le mercure, nous ne ferons que des cautères sur une jambe de bois.
Vouloir couvrir l’Europe de quartiers d’affaires comme la défense ou Bankenviertel ou de zones industrielles et commerciales composées de cubes de tôles faisant office de bureaux et de magasins où flâner condamnera toujours les travailleurs exposés aux fortes températures.
On a donc à l’ordre du jour un sujet pour donner des gages écologistes. Mais, dans le fond, rien ne changera, car vous ne voulez pas changer la philosophie de cette union. Vivement 2024!
"
