MP,Date,Language,Title,Url,Content
Matteo ADINOLFI,2023-11-22,IT,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-169-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, onorevoli colleghi, in un momento in cui il panorama economico è caratterizzato da sfide senza precedenti, è fondamentale adottare misure concrete per agevolare e sostenere la crescita del settore imprenditoriale, soprattutto giovanile. 
In un contesto come quello attuale, la semplificazione normativa deve rappresentare un passo essenziale per favorire lo sviluppo delle imprese, piccole e medie, e garantire un rapporto meno passivo e più collaborativo con gli enti pubblici. Ridurre gli oneri normativi, infatti, non significa solo alleggerire il carico burocratico, ma rappresenta un investimento nel tessuto economico europeo, perché la promozione dell'imprenditorialità è cruciale se si vuole garantire la creazione di posti di lavoro e la prosperità a lungo termine. 
La competitività dell'Europa dipende dalla nostra capacità di fornire alle imprese gli strumenti necessari per competere a livello internazionale. E uno di questi strumenti è quel processo radicale di sburocratizzazione, che consentirebbe alle aziende italiane ed europee di rilanciarsi e adeguarsi ai cambiamenti imposti dal mercato globale. 
"
Matteo ADINOLFI,2023-10-05,IT,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-051-0000_IT.html,"  Matteo Adinolfi (ID).   – Signor Presidente, onorevoli colleghi, la questione delle acque reflue urbane è di fondamentale importanza, ma va analizzata con occhio critico e realistico. La proposta avanzata dal collega Torvalds sembra infatti ignorare il principio di sussidiarietà, lasciando molta autorità decisionale all'Unione europea a discapito delle nazioni sovrane. Dovremmo chiederci se questa è veramente la strada da percorrere o se dovremmo dare agli Stati membri la flessibilità necessaria per affrontare questa sfida in modo adatto alle loro specifiche esigenze e risorse.
L'innovazione tecnologica, purtroppo, non è la panacea per tutti i problemi legati alle acque reflue urbane. Dobbiamo essere consapevoli dei limiti delle tecnologie attuali e dei potenziali effetti collaterali, come l'aumento dei costi spesso difficilmente sostenibili o l'impatto ambientale delle nuove soluzioni proposte.
Pertanto, pur riconoscendo l'importanza del trattamento delle acque reflue urbane, ritengo che la questione vada affrontata con un approccio più critico, bilanciando le esigenze ambientali con quelle economiche e considerando attentamente il ruolo dell'Unione europea e dei singoli Stati membri in questo processo.
"
Matteo ADINOLFI,2023-04-17,IT,Deforestation Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-063-0000_IT.html,"  Matteo Adinolfi,  a nome del gruppo ID. – Signor Presidente, colleghi, l'obiettivo di questo regolamento è molteplice: passare a un'economia circolare, proteggere la natura e innalzare gli standard ambientali nell'Unione europea e nel mondo.
Le nuove regole prevedono che l'importazione in Europa di una serie di materie prime e prodotti, tra i quali soia, carni bovine, caffè, cacao e olio di palma, sia accompagnata dalla certificazione di non aver contribuito alla distruzione di foreste.
Il tutto si basa su un sistema di tracciabilità rafforzata e controlli affidati agli Stati membri, che potranno sospendere l'immissione sul mercato UE di prodotti ritenuti causa di deforestazione.
A queste iniziative dovranno seguire altri provvedimenti in grado di condizionare le importazioni nell'Unione europea, al fine di meglio garantire la sicurezza alimentare e ambientale e le garanzie sociali.
In questo modo, con il principio della reciprocità, riusciremo a tutelare sia il pianeta che i consumatori italiani ed europei.
"
Matteo ADINOLFI,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-061-0000_IT.html,"  Matteo Adinolfi (ID).   – Signor Presidente, onorevoli colleghi, l'ossessiva ricerca di una neutralità climatica rischia di creare una vera e propria tragedia sociale. Il divieto, da qui a pochi anni, dei motori a combustione voluto dal Green Deal interesserà famiglie, territori, lavoratori e l'industria automobilistica, richiedendo ingenti investimenti pubblici e privati.
Voglio esprimere in quest'Aula tutta la mia preoccupazione per il fatto che, a fronte di valutazioni politiche precoci, i costi economici, industriali, sociali e ambientali della transizione siano stati sottovalutati. Oltre ad avere costi proibitivi per la maggior parte dei cittadini europei, i veicoli a batteria non sono del tutto a zero emissioni. Inoltre, bisognerebbe porsi serie domande sulle nostre reti elettriche e sulle scarse infrastrutture di ricarica attualmente esistenti.
Ancora una volta, se non si inverte la rotta e non si affronta il tema della neutralità climatica con un po' di sano realismo, a pagare il conto della miopia dei burocrati europei saranno le famiglie e le imprese.
"
Matteo ADINOLFI,2022-12-14,IT,Upscaling the 2021-2027 Multiannual Financial Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-377-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, signor Commissario, onorevoli colleghi, l'attuale quadro finanziario pluriennale è sottoposto a forti tensioni a causa delle molteplici crisi che l'Unione europea sta affrontando, in particolare la guerra in Ucraina e gli effetti che ha scatenato.
Con i fondi e le misure di flessibilità già ampiamente utilizzati e un'inflazione elevata, è auspicabile una revisione urgente del quadro finanziario pluriennale.
È altresì necessario che la Commissione continui il suo lavoro con gli Stati membri, anche attraverso l'assistenza tecnica, per aumentare la loro capacità di utilizzo dei fondi senza compromettere la qualità dei progetti ed evitarne l'uso improprio e le relative frodi.
La Commissione dovrebbe poi assicurare che l'Ufficio europeo per la lotta antifrode, la Corte dei conti e la Procura europea dispongano dei mezzi e del personale necessari per indagare su potenziali casi di frode a danno del bilancio comunitario.
Alla luce dello scandalo emerso in questi giorni, al fine di tutelare l'immagine di questa istituzione e soprattutto del lavoro svolto quotidianamente da noi deputati, è necessario garantire la massima trasparenza e responsabilità sugli strumenti di finanziamento comunitario. Lo dobbiamo ai cittadini europei.
"
Matteo ADINOLFI,2022-11-24,IT,Establishing the Digital Decade Policy Programme 2030 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-023-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, onorevoli colleghi, la pandemia ha messo in luce la necessità di una maggiore digitalizzazione della nostra economia e della nostra società.
La trasformazione digitale ci offre infatti una grande possibilità per creare nuove opportunità per i giovani europei e migliorare l'accessibilità alle competenze digitali e renderle più fruibili a tutti i cittadini. Accrescere le competenze digitali dei cittadini europei, che sono in una situazione di ritardo sostanziale rispetto agli altri paesi industrializzati, è di fondamentale importanza.
Ciò passa attraverso il potenziamento dell'infrastruttura digitale, che deve essere portata ai massimi standard per garantire competitività e sicurezza. In quest'ottica, la produzione europea di semiconduttori all'avanguardia e sostenibili dovrebbe rappresentare entro il 2030 almeno il 20 % del valore della produzione mondiale. L'industria europea sta infatti scontando la carenza di microchip e semiconduttori dovuta alla crisi finanziaria post COVID-19 e solo un incremento della produzione autoctona permetterà al nostro continente di stare al passo di competitor come Stati Uniti, India e Cina.
L'ultimo aspetto da considerare è quello della digitalizzazione dei servizi pubblici, con l'obiettivo di rendere pienamente accessibili a tutti i cittadini i servizi pubblici online entro il 2030. Tutti nell'Unione europea dovremmo beneficiare di un ambiente digitale di qualità, che offra servizi e strumenti di facile uso, efficienti e personalizzati, con elevati standard in materia di sicurezza e tutela della vita privata. Solo garantendo che tutti i servizi pubblici principali saranno disponibili online per le imprese e per i cittadini, l'Europa potrà rafforzare la sua leadership digitale e affrontare le sfide che la globalizzazione le ha imposto.
"
Matteo ADINOLFI,2022-10-18,IT,General budget of the European Union for the financial year 2023 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-162-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, signor Commissario, onorevoli colleghi, il particolare momento storico in cui viviamo, con forti ripercussioni sul piano economico e sociale, ci obbliga a un'attenzione ancora maggiore ai temi legati alla gestione del bilancio comunitario.
La sensibilità dei cittadini, gravati prima dal Covid e ora dal caro bollette, imporrebbe quel richiamo a una condotta etica già ribadita dalla Corte dei conti nella sua relazione speciale n. 13 del 2019. Purtroppo ciò non corrisponde alla realtà dei fatti.
Negli ultimi giorni, in particolare, è tornata alla cronaca la vicenda dell'Agenzia dell'Unione europea per l'asilo. L'attuale Direttrice, Nina Gregori, incaricata solo tre anni fa di ripristinare la credibilità dell'Agenzia in seguito alle brusche dimissioni del suo predecessore, accusato di cattiva amministrazione e molestie al personale, è finita a sua volta al centro di una nuova inchiesta con accuse di nepotismo, irregolarità nella gestione finanziaria e insabbiamento di denunce interne.
L'Agenzia, lo scorso gennaio, aveva ricevuto un nuovo nome e un nuovo mandato rafforzato per contribuire a unificare il modo in cui gli Stati membri gestiscono le richieste di asilo, ma dopo solo tre anni dal precedente scandalo, la storia sembra ripetersi con una nuova inchiesta dell'OLAF ai danni della Direttrice Gregori.
Casi come questo, con un'Agenzia dell'Unione che conta più di 2 000 dipendenti e che finisce regolarmente sui rotocalchi e sui giornali per gli scandali che la coinvolgono piuttosto che per il proprio operato, minano la fiducia dei cittadini nelle istituzioni europee e, francamente signora Presidente, trovo inconciliabile questa cattiva gestione dei fondi dei nostri contribuenti durante la più dura crisi economica dalla Seconda guerra mondiale ad oggi.
"
Matteo ADINOLFI,2022-07-06,IT,Financial activities of the European Investment Bank – annual report 2021 - Control of the financial activities of the European Investment Bank – annual report 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-06-INT-3-242-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, onorevoli colleghi, sicuramente va dato atto alla Banca europea per gli investimenti di essere stata in prima linea nell'affrontare la crisi legata al Covid. 
La BEI, con un programma di sostegno incentrato sui settori maggiormente colpiti dalla pandemia, ha offerto un aiuto fondamentale alle imprese che sono state particolarmente gravate dagli effetti della crisi.
Va sicuramente apprezzato, inoltre, l'invito a sviluppare misure volte a introdurre nuovi strumenti finanziari che promuovano l'accessibilità per il settore agricolo e per gli agricoltori più giovani.
Per contro, credo che vadano evidenziate alcune criticità. Nella relazione, infatti, si invita la BEI a dare priorità, attraverso le sue attività di prestito, ai progetti sociali, verdi e sostenibili. Il testo inoltre invita la BEI a sostenere il raggiungimento della neutralità climatica entro il 2050 per allineare le sue azioni al Green Deal europeo. 
L'enfasi con cui la BEI viene investita del ruolo di banca climatica dell'UE in un momento storico nel quale dobbiamo fare i conti con il costo esorbitante dell'energia e con il caro bollette sembra quasi fuori luogo, considerando che tra gli obiettivi della BEI dovrebbe esserci la lotta alla disoccupazione giovanile, alla povertà e all'esclusione sociale, che paradossalmente sembrano lasciate indietro a vantaggio della transizione energetica.
"
Matteo ADINOLFI,2022-06-07,IT,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - CO2 emission standards for cars and vans (joint debate – Fit for 55 (part 2))",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-206-0000_IT.html,"  Matteo Adinolfi (ID).   – Signor Presidente, onorevoli colleghi, ferme restando la necessità di decarbonizzare il trasporto su strada e l'importanza di orientare il mercato in tale direzione, è opportuno sottolineare che la mobilità a zero emissioni richiede investimenti significativi da parte delle case produttrici e del comparto della componentistica, che comprende molte piccole e medie imprese. Presuppone inoltre il rapido sviluppo in Europa di una filiera sostenibile delle batterie e di un mercato di veicoli elettrificati, nuovi e di seconda mano, a prezzi accessibili.
Va considerato che una strategia esclusivamente elettrica aumenterebbe la dipendenza da Stati totalitari come Russia e Cina, come dimostrano le prime strozzature nell'approvvigionamento delle materie prime per le batterie.
Sosteniamo quindi una mobilità a basse emissioni, purché economicamente sostenibile, e che preveda un impegno credibile a ridurre l'inquinamento, senza però prospettare lo stop definitivo dei veicoli con motore termico a partire dal 2035. Sostenibilità ambientale e sostenibilità economica devono procedere di pari passo, altrimenti ci troveremo in un mondo green pieno di imprese fallite e lavoratori disoccupati.
"
Matteo ADINOLFI,2022-05-04,IT,Discharge 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-101-0000_IT.html,"  Matteo Adinolfi (ID).   – Signora Presidente, onorevoli colleghi, con l'esame dei discarichi delle istituzioni europee vigiliamo sulla corretta spesa del denaro pubblico. Da inizio legislatura sto sostenendo una battaglia sulla politica immobiliare del Parlamento e della Commissione, che sembra francamente essere obsoleta e non al passo con i tempi. 
Ma ci terrei a sottolineare una cosa: tra Covid e conflitto russo-ucraino, i cittadini europei si trovano a vivere la più grande crisi economico-sociale dal dopoguerra ad oggi, con l'energia alle stelle ed il costo della vita raddoppiato. Al riguardo la Commissione europea ci ha fornito dei consigli esortandoci ad abbassare i riscaldamenti e a viaggiare a velocità ridotta sulle autostrade e a preferire il trasporto pubblico alle nostre autovetture. 
Tutto legittimo, ci mancherebbe. Ma questo collide con una realtà che ci vede di nuovo tutti qui a Strasburgo, deputati e staff giunti qui in aereo, in macchina da tutta Europa. La solita carovana che ogni mese si sposta in massa a Strasburgo, mentre ai cittadini europei si chiede di fare sforzi per ridurre la dipendenza dal gas russo. Lo spostamento delle plenarie a Bruxelles durante il Covid ha dimostrato che con la sede unica è possibile ridurre inquinamento e costi.
"
