MP,Date,Language,Title,Url,Content
Matthias ECKE,2023-10-16,DE,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-111-0000_DE.html,"  Matthias Ecke,  im Namen der S&D-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Bei STEP habe ich ein weinendes und ein lachendes Auge. Weinend, weil vor ziemlich genau einem Jahr hier Frau von der Leyen an diesem Ort stand und über die Herausforderungen der grünen und digitalen Transformation sprach. Und wir haben damals applaudiert, als sie einen Souveränitätsfonds ankündigte, auch als europäische Antwort auf die Anstrengungen und Pläne anderer Wirtschaftsmächte. Diesen Plan musste sie bekanntlich begraben. Deswegen sprechen wir heute über STEP – nur über STEP –, einen kleinen, aber klugen Schritt zur Unterstützung unserer Industrie auf ihrem Weg zu mehr strategischer Autonomie.
Mein lachendes Auge kommt daher, dass wir als Parlament diesen STEP-Vorschlag deutlich verbessern konnten. Lassen Sie mich mal drei Aspekte nennen: Erstens ist es gut, dass wir keine neuen, unklaren Begriffe einführen, die für die Unternehmen noch mehr Bürokratie und Rechercheaufwand bedeuten würden, sondern wir knüpfen an bestehende industriepolitische Initiativen an. Zweitens: Das STEP-Siegel wird auch bei privaten Investoren Aufmerksamkeit schaffen. Als Sozialdemokrat bin ich froh, dass wir nur solchen Projekten dieses Qualitätssiegel geben wollen, die auch hohe Sozial- und Arbeitsstandards einhalten, denn europäisches Geld soll nur für gute Arbeitsplätze in Europa fließen. Und drittens haben wir mit der STEP-Anlaufstelle sichergestellt, dass sich Unternehmen auf einen Blick über alle Fördermöglichkeiten informieren können, und so den oft beklagten Förderdschungel ein Stück weit lichten können.
Liebe Kolleginnen und Kollegen, Europa muss bei strategischen Technologien selbst stark werden. Wir brauchen hier und nicht nur in China eine starke Solarindustrie. Wir brauchen hier und nicht nur in Indien eine starke Generikaindustrie. Und wir wollen den Markt bei der künstlichen Intelligenz nicht nur den US-Firmen überlassen. Und wer weiß, vielleicht steht nächsten Herbst ja ein neuer Kommissionspräsident oder eine neue Kommissionspräsidentin hier und stellt dem neuen Europäischen Parlament eine überzeugende Idee eines europäischen Souveränitätsfonds vor und rührt uns alle zu Tränen.
"
Matthias ECKE,2023-10-03,DE,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-049-0000_DE.html,"  Matthias Ecke (S&D).   – Frau Präsidentin, Herr Kommissar! Der vorgelegte Bericht über den Vorschlag für eine Halbzeitrevision des Mehrjährigen Finanzrahmens 2021-2027 trägt der neuen weltwirtschaftlichen Lage Rechnung. Warenströme werden instrumentalisiert und Lieferketten geopolitisch überfrachtet. Wer heute nur nach dem billigsten Preis schaut, wird bald in leere Lager blicken.
Die EU braucht in kritischen Sektoren eine neue strategische Autonomie. Wir müssen Produktionen in diesen Bereichen verbessern, hochskalieren oder wieder ganz neu aufbauen. Diese Autonomie kann auch staatliches Geld kosten, aber sie darf natürlich nicht nur aus nationalen Beihilfen erfolgen. Deswegen haben wir Sozialdemokraten einen echten EU-Souveränitätsfonds gefordert. Ich bedauere, dass Präsidentin von der Leyen dieses Versprechen aus ihrem Arbeitsprogramm gebrochen hat.
Stattdessen haben wir nun einen Vorschlag für die Technologieplattform STEP bekommen. Das ist ein kleiner, pragmatischer Ansatz, der auf den Aufbau neuer Strukturen verzichtet und primär Mittel für zentral verwaltete Programme erhöht. Das ist keine schlechte Idee, aber nicht viel. Dennoch kann STEP nur ein erster Schritt sein, und hier hat die Kommission den pun intended. Wenn sich diese Plattform bewährt, muss die Kommission eine dauerhafte Lösung unterbreiten.
"
Matthias ECKE,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-252-0000_DE.html,"  Matthias Ecke (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! In meiner Heimatregion Sachsen hat der Bergbau eine lange Tradition: Alles kommt vom Bergwerk her. Das prägt seit Jahrhunderten das Land.
Bergparaden würdigen diese Tradition, aber inzwischen bedeuten heimische Rohstoffe auch wieder Zukunft für Sachsen und für viele Regionen in der EU. Das europäische Gesetz zu kritischen Rohstoffen, das wir heute beraten, ist die richtige Antwort auf den steigenden Bedarf und die Lieferrisiken. Projekte werden künftig schneller und unbürokratischer genehmigt, und das ist schon mal ein großer Erfolg.
Dabei ist es aber wichtig, dass ambitionierte Arbeits- und Umweltstandards eingehalten werden, denn das erwarten die Menschen zu Recht, und zwar hier und auch im Ausland. Wir wollen neue Lagerstätten – aber nur punktuell – erschließen. Wir wollen keinen Goldrausch in der EU, denn jede recycelte Tonne kritischer Rohstoffe muss gar nicht erst aus der Erde geholt werden.
Deshalb bin ich froh, dass das Parlament die Recyclingquoten steigern will und die Suche nach Ersatz stärken will. Recycling und Innovation machen uns unabhängiger, und so verbinden wir beim Thema Rohstoffe Innovation, Tradition und Zukunft.
"
Matthias ECKE,2023-09-13,EN,Amending the proposed mechanism to resolve legal and administrative obstacles in a cross-border context (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-301-0000_EN.html,"  Matthias Ecke (S&D).   – Mr President, Commissioner, dear colleagues, for eight years, the people in Pirna (Germany), Strasbourg (France) or Bratislava (Slovakia) have been waiting for better employment opportunities, better cross-border infrastructure and sometimes just healthcare protecting them. This is eight years too long. 
Firefighters can be forced to wait at the border before being allowed to go and help their colleagues on the other side. And several Member States’ restrictions apply even for ambulances to take patients across the border. 
Colleagues, this is insane. We can solve these issues. I believe that this new initiative on the cross-border mechanism addresses the legitimate concerns on constitutional sovereignty that existed in the Council, so we can finally break this deadlock. For the sake of EU citizens, let’s make the cross-border mechanism a success. 
"
Matthias ECKE,2023-05-10,DE,Belarus: the inhumane treatment and hospitalisation of prominent opposition leader Viktar Babaryka,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-479-0000_DE.html,"  Matthias Ecke,  im Namen der S&D-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Strafprozesse hinter verschlossenen Türen, Isolationshaft, Straflager, Kontaktsperren, die Verweigerung medizinischer Versorgung – das ist Alltag in Lukaschenkos Belarus, und er wütet gegen die Opposition im Land, gegen die eigene Bevölkerung. 
Immer wieder hören wir von der Misshandlung politischer Gefangener. Wir verurteilen den Umgang mit Wiktar Babaryka, dem ehemaligen Präsidentschaftskandidaten, dem politischen Konkurrenten. Wir fordern seine Freilassung, und wir fordern Freiheit für alle 1500 politischen Gefangenen in Belarus. Wir stehen an der Seite des belarussischen Volkes, an der Seite der Opposition. 
Eine Delegation dieses Parlaments wird nächste Woche in Vilnius mit Vertreterinnen und Vertretern der Opposition ins Gespräch kommen – hoffentlich mit dieser Entschließung im Gepäck. Erinnern wir uns an Schillers Worte: „Tyrannenmacht kann nur die Hände fesseln.“ Den Willen der demokratischen Kräfte von Belarus wird Lukaschenko niemals brechen – niemals!
"
Matthias ECKE,2023-04-20,EN,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-088-0000_EN.html,"  Matthias Ecke (S&D).   – Madam President, Commissioner Schmit, colleagues, never before has the European Union faced so many crises at once. Our regions are key in addressing them. They need relief from bureaucracy and more flexibility to deal with the multiple crises. I therefore welcome the temporary crisis and transition framework adopted by the Commission. It enables Member States and regions to tackle the challenges by supporting relevant sectors on the path to a net-zero economy, a transition which we urgently need.
I, however, think that not enough has been done. The increase in the de minimis limits does not even compensate for inflation. The notification burden must be reduced. State aid control needs to concentrate on substantial subsidies which could seriously distort the single market.
But we must be cautious. Let us guard cohesion principles and make sure that territorial divides are not widened. The cohesion I mentioned can be more effectively addressed by financially supporting Member States with smaller economic capacity than by being overly restrictive on small—scale regional state aid. I therefore ask the Commission to ensure a legal framework that fosters the transition by allowing relevant small—scale state aid alongside providing more support through cohesion policy instruments where the Member States’ own resources are insufficient.
This is a joint effort. Let us make Europe a global model for a just transition.
"
Matthias ECKE,2023-04-19,DE,Dieselgate: suspected widespread use of defeat devices in cars to reduce effectiveness of pollution control systems (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-276-0000_DE.html,"  Matthias Ecke (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Der Abgasskandal hat uns gerade auch in Deutschland viel beschäftigt. Ich bedauere, dass das deutsche Traditionsunternehmen VW hier Schaden angerichtet und Vertrauen in die Autoindustrie verspielt hat. Die EU hat aber gut und richtig reagiert. In allen Mitgliedstaaten ist nun vorgeschrieben, dass Prüfungen von Fahrzeugen im realen Fahrbetrieb erfolgen müssen. So kann die doch erhebliche Kluft geschlossen werden zwischen den auf dem Prüfstand gemessenen CO2-Emissionswerten und denen im Straßenverkehr.
Auch zur Messung der Stickoxidemissionen wurde die Untersuchung im praktischen Fahrbetrieb eingeführt. Diese Entscheidung ist richtig, und sie liegt auch der neuen Abgasnorm Euro 7 zugrunde, an der wir gerade arbeiten. Diese real driving emissions müssen aber an realistischen Alltagsbedingungen orientiert werden und nicht an missbräuchlichen Testfahrten. Abgasnormen, die ambitioniert, klar und erfüllbar sind, stärken das Vertrauen in Industrie und Behörden. Dieselgate darf sich nicht wiederholen.
"
Matthias ECKE,2023-03-14,DE,Deterioration of democracy in Israel and consequences on the occupied territories (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-350-0000_DE.html,"  Matthias Ecke (S&D).   – Herr Präsident, Hoher Vertreter! Israel ist ein traditioneller Freund und Verbündeter der EU. Als einzige liberale Demokratie im Nahen Osten betrachten wir Israel als Teil unserer europäischen Wertefamilie. Zu den Prinzipien des demokratischen Rechtsstaats gehört die Unabhängigkeit der Justiz. Dass diese immer wieder aufs Neue verteidigt werden muss, das wissen wir hier in der EU nur zu gut.
Hunderttausende Israelis sehen ihren Rechtsstaat bedroht. Landesweit richten sich beeindruckende Proteste gegen die geplante Justizreform der aktuellen Regierung. Sie will die Rechte des Obersten Gerichtshofs dramatisch aushöhlen. Ein Umbau dieses Ausmaßes greift den Rechtsstaatscharakter Israels an. Die EU darf hier nicht schweigen.
Die komplexe politische Situation gerade der besetzten Gebiete, deren Status die neue Regierung in fundamentaler Weise verändern will, erfordert unabhängige Gerichte, die handlungsfähig und wirkmächtig sind. Daher warnt der israelische Präsident Isaac Herzog zu Recht vor einer Zerreißprobe seines Landes und fordert die Überarbeitung der Justizreform.
Herr Borrell, unterstützen Sie Präsident Herzog zum Wohle Israels, seines Rechtsstaats und seiner Demokratie.
"
Matthias ECKE,2022-12-14,DE,Upscaling the 2021-2027 Multiannual Financial Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-393-0000_DE.html,"  Matthias Ecke (S&D).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Stellen Sie sich vor, Sie bauen ein Haus. Dafür legen Sie jeden Monat Geld zurück. Ihr Haus soll standfest sein, modern, klimaneutral, und noch Ihre Enkel sollen darin wohnen. Doch dann brauchen Sie Geld für andere wichtige Zwecke: Sie helfen Ihrem Nachbarn in Not, sie brauchen Brot und Wärme für den Winter. Doch was wird aus dem Haus? Kein Mensch glaubt, dass man langfristig investieren kann, wenn man immer wieder Mittel abzweigt. Warum tun wir denn genau das mit dem EU Haushalt?
Die Regionalpolitik ist das zentrale langfristige Investitionsinstrument der EU. Sie hilft unseren Regionen, zu wachsen, grüner zu werden, moderner zu werden, Jobs zu schaffen. Doch für verschiedene Krisen werden immer wieder Mittel aus der Regionalpolitik zweckentfremdet. Allein im Rahmen des EFRE ist fast ein halbes Dutzend Ad-hoc-Instrumente entstanden. So gefährden wir Investitionen in Technologie, in Stadtentwicklung, in Radwege. Das ist der falsche Weg.
Für neue Aufgaben braucht man neue, zusätzliche Mittel. Bauen wir weiter am Haus Europa und laden wir unsere Nachbarn ein. Wir brauchen dafür einen stärkeren, zukunftsfesten Finanzrahmen.
"
Matthias ECKE,2022-10-19,DE,Lukashenka regime's active role in the war against Ukraine (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-355-0000_DE.html,"  Matthias Ecke (S&D).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Vergesst Belarus nicht! Diese Worte hat Swjatlana Zichanouskaja eindringlich an uns alle gerichtet vergangene Woche, als sie uns in Brüssel besuchte. Sie kämpft mit vielen anderen Mutigen für die Freiheit ihres Volkes – eines Volkes, das Diktator Lukaschenko seit Jahren in Gefangenschaft hält und entmündigt. Nun hat er sein Volk auch in einen völkerrechtswidrigen Krieg verwickelt. Er hat Belarus zum Aufmarschgebiet und zum Abschussgebiet für Russlands Angriffe auf die Ukraine gemacht.
Das Regime muss seine Unterstützung für diesen Krieg unverzüglich einstellen. Lukaschenko und seine Lakaien gehören als Mitwirkende an Kriegsverbrechen auf die EU-Sanktionsliste. Eine überwältigende Mehrheit der Belarussen will nicht gegen ihr Nachbarvolk kämpfen. Wir dürfen ihnen die Tür nicht zuschlagen. Als EU sollten wir den Menschen aus Belarus Schutz gewähren, die nicht zum Kanonenfutter Lukaschenkos und Putins werden wollen. Wir stehen an der Seite der Gerechtigkeit, der Demokratie und des Völkerrechts. Wir vergessen euch nicht!
"
