MP,Date,Language,Title,Url,Content
Max ORVILLE,2023-12-12,FR,Parliament’s call for the right to disconnect - three years on (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-231-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, Monsieur le Commissaire, il y a trois ans, ce Parlement faisait une demande claire: créer un droit à la déconnexion pour tous les Européens. Depuis, la culture du «toujours disponible» continue d’affecter la santé des travailleurs. Dans un monde du travail numérique, les limites entre vie privée et vie professionnelle sont de plus en plus perméables. Il est de notre responsabilité de les redéfinir. Pour leur bien-être, les travailleurs doivent pouvoir s’abstenir de répondre à tout message professionnel en dehors du temps de travail.
Je déplore que les partenaires sociaux ne soient parvenus à un accord, d’autant qu’ils sont les mieux placés pour mettre en œuvre ce droit à la déconnexion. Ce droit est dans l’intérêt de tous. Il permet aux travailleurs d’être plus flexibles et plus productifs. Il permet aussi aux employeurs d’évoluer dans un climat d’entreprise plus serein.
Monsieur le Commissaire, plusieurs États membres ont déjà introduit le droit à la déconnexion. C’est une pierre supplémentaire pour l’Europe sociale que nous appelons de nos vœux. Ne manquons pas ce rendez-vous.
"
Max ORVILLE,2023-11-21,FR,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-235-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, chaque Européen génère près de 189 kilos de déchets d’emballages par an, un chiffre en constante augmentation. Leur gestion touche à la préservation de notre planète. Dans ce contexte, le règlement sur les emballages est un pas significatif vers la réduction des déchets. La révision de nos normes va permettre de favoriser l’innovation dans les matériaux d’emballage durables, la collecte, le recyclage ainsi que la réutilisation des emballages lorsqu’elle est possible.
Cependant, la réussite de ces initiatives dépend de l’engagement actif de chaque citoyen et de chaque territoire. Assurons-nous que les citoyens s’approprient pleinement ces nouvelles règles. Par ailleurs, les boissons spiritueuses de nos territoires d’outre-mer représentent l’excellence et le savoir-faire de ces territoires, elles méritent une attention particulière en ce qui concerne l’obligation de réemploi des bouteilles. Je ne suis pas convaincu que cette mesure soit adaptée à nos régions ultrapériphériques. Avec le vote de demain, nous pouvons trouver le juste équilibre entre nos objectifs environnementaux et l’adoption de règles qui fonctionnent pour tous.
"
Max ORVILLE,2023-11-20,FR,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-061-0000_FR.html,"  Max Orville (Renew).   – Madame la Présidente, Madame la Commissaire, chers collègues, nos enfants sont notre avenir. Saisissons-nous de cette Journée internationale des droits de l’enfant pour envoyer un message puissant d’unité. 
La pandémie de Covid-19 a privé ces enfants de l’éducation et des contacts sociaux indispensables à leur développement. La pauvreté et la précarité privent encore de manière injuste trop d’enfants en Europe.
Nous leur devons une réponse politique lucide, basée sur l’inclusion de tous. Nous devons prévoir les investissements à long terme qui permettront d’offrir des services de la petite enfance de qualité. Cela inclut du personnel formé aux besoins et aux rythmes de l’enfant.
Nous ne pouvons pas oublier les plus vulnérables. Le déploiement de la garantie européenne pour l’enfance doit permettre de garantir à tous l’accès à l’école, à un logement décent, aux soins de santé et à une alimentation saine. 
Notre but ne doit pas seulement être de réduire les inégalités, mais de prévenir leur apparition. C’est notre responsabilité collective de forger un avenir où chaque enfant peut s’épanouir et réaliser ses rêves.
"
Max ORVILLE,2023-10-18,FR,Mental health at work (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-417-0000_FR.html,"  Max Orville (Renew).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, le monde du travail est en constante évolution. Avec l’automatisation, la numérisation, le recours au télétravail, nous devons accompagner les travailleurs européens dans cette transition.
Notre modèle social assure la protection de la santé et la sécurité des travailleurs. Il protège la santé physique des Européens, et doit désormais inclure la santé mentale. Aujourd’hui, 50 % des travailleurs européens estiment que le stress est courant sur leur lieu de travail. Les cas d’anxiété, de harcèlement au travail ou de burn-out se multiplient. La sonnette d’alarme est tirée.
Il est de notre responsabilité de garantir un environnement de travail épanouissant pour tous. Mobilisons les employeurs et les employés, sur l’importance de la prévention et du soutien en matière de santé mentale. Cela passe par un juste équilibre entre vie privée et vie professionnelle, par l’instauration d’un véritable droit à la déconnexion – comme l’a dit notre collègue Marc Angel – et par un accès facilité aux psychologues.
Intégrons la prévention des risques psychosociaux dans notre législation européenne. Il est temps de faire de la santé mentale notre priorité.
"
Max ORVILLE,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-334-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, Monsieur le Ministre, Monsieur le Commissaire, chers collègues, l’ONU estime qu’au moins 2 milliards de personnes sont privées d’accès à l’eau et à l’assainissement. Certains de nos territoires européens sont également touchés: c’est le cas de la plupart de nos régions ultrapériphériques. Ces citoyens européens supportent des retards structurels dans le renouvellement des infrastructures, mais aussi les conséquences du changement climatique. À Mayotte, la quasi-totalité des habitants n’a accès à l’eau qu’un jour sur trois. C’est insupportable. 
Cette situation entraîne des fermetures d’écoles et de graves risques sanitaires, notamment. La France a mis en œuvre les moyens nécessaires pour parer au plus urgent. Cependant, l’ampleur des mesures à mettre en œuvre nécessite une meilleure prise en compte des réalités dans les régions ultrapériphériques.
Il convient de mettre en place un accompagnement adapté, avec des stratégies d’accès à l’eau efficaces, un renforcement des investissements, davantage de soutien au niveau technique pour moderniser les réseaux d’eau, grâce au FEDER notamment. Si Mayotte est certes la plus touchée, plusieurs autres RUP nécessitent elles aussi une mobilisation générale. 
"
Max ORVILLE,2023-10-05,FR,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-029-0000_FR.html,"  Max Orville,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, chers collègues, Mayotte est frappée par une crise de l’eau inacceptable. Cette crise est une plaie béante dans nos valeurs, car il est de notre devoir d’assurer à chaque Européen un accès à l’eau. Le traitement des eaux usées peut apporter une solution à Mayotte et à tous nos territoires, car ce traitement permet un environnement exempt de pollution et la prévention de risques sanitaires majeurs.
Je souligne ici l’importance des nouvelles obligations d’accès à l’assainissement et aux installations sanitaires pour tous, mais en particulier pour les groupes vulnérables et marginalisés. C’est une avancée majeure pour nos concitoyens. L’eau est une ressource précieuse, nous devons l’économiser et j’encourage les États membres à lancer des campagnes sur la sobriété d’utilisation de l’eau.
Les nouveaux plans de gestion des eaux urbaines doivent contribuer à notre objectif de réutilisation des eaux usées. Encourageons le recyclage des eaux résiduaires pour l’agriculture, l’industrie ou encore pour produire de l’hydrogène. Il est aussi crucial de mieux surveiller la présence de certains virus dans les eaux usées. Cela nous permettra d’anticiper les foyers de contamination et de prendre les mesures sanitaires adaptées.
Je me réjouis enfin de l’inclusion de deux mesures de bon sens, le principe du pollueur-payeur, afin que les industries responsables de la pollution de l’eau contribuent à son traitement, et le droit à l’indemnisation des citoyens en cas d’impact sur la santé ou sur l’environnement. Voter pour ce texte, c’est voter pour plus de justice sociale et plus de justice environnementale. 
"
Max ORVILLE,2023-10-02,FR,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-083-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, notre modèle social est une promesse faite à tous les Européens. Il est inadmissible en 2023 de voir la précarité augmenter dans l’Union européenne. Aucun Européen ne devrait avoir faim ni soif, aucun Européen ne devrait vivre dans la honte. La hausse des prix des produits alimentaires, du coût de l’énergie, du coût de la vie affecte les Européens, et les plus démunis sont les plus affectés. Nous devons prendre des mesures d’urgence pour enrayer cette hausse de la précarité et mobiliser dès aujourd’hui de nouveaux moyens financiers pour augmenter l’aide alimentaire. Il est également nécessaire de faire société, en Européens, de restaurer les liens sociaux et la solidarité.
L’accès à l’emploi, à l’engagement civique, est donc primordial pour que chaque personne puisse vivre dans la dignité et avoir confiance en soi. Lançons une grande réflexion sur l’investissement social et la répartition géographique du logement social en Europe afin de permettre l’accès à des services de qualité – à l’éducation et la santé notamment –, d’augmenter la mixité sociale et de briser durablement les cycles de pauvreté.
"
Max ORVILLE,2023-09-12,FR,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-034-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, le mois de juillet 2023 a été le plus chaud jamais enregistré. Les feux de forêt ont dévasté bon nombre de pays européens, dont la Grèce. Il y a juste 72 heures, le Maroc a connu un séisme dévastateur – l’Europe reste à ses côtés. Le mécanisme de protection civile de l’Union est l’outil efficace et utile pour faire face à ces défis. Nous devons le renforcer avec une ambition à la fois humaine, matérielle et financière.
Cela passe par la prévention, pour former et sensibiliser les populations aux bons gestes en cas de risque majeur. Cela appelle aussi l’augmentation des capacités européennes d’intervention avec nos propres hydravions, ainsi que l’achat de matériel commun. Les catastrophes frappent le monde entier plus souvent et plus fort: les cyclones aux Antilles, la sécheresse à Mayotte, les incendies aux Canaries. Les régions ultrapériphériques sont les premières touchées par le changement climatique. Elles méritent une protection spécifique. Elles doivent devenir les laboratoires de solutions climatiques dont l’expérience pourrait profiter à toute l’Europe.
"
Max ORVILLE,2023-07-11,FR,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-211-0000_FR.html,"  Max Orville (Renew).   – Monsieur le Président, la pandémie de COVID-19 a mis en lumière notre vulnérabilité et notre impréparation face à un virus. Les leçons à tirer sont nombreuses et montrent que nous devons aller plus vite et plus loin dans la construction d’une Europe de la santé. Soyons honnêtes, nous devrons affronter de nouvelles pandémies. Dans les régions ultrapériphériques, nous avons l’habitude de traiter de nouvelles maladies émergentes qui nous affectent gravement: zika, chikungunya, dengue.
Le regard ultramarin vis-à-vis de la pandémie mériterait d’être pris en considération, car les outre-mer ont des choses à faire valoir dans la gestion des crises sanitaires. À l’avenir, appuyons-nous aussi sur les spécialistes ultramarins qui maîtrisent l’émergence de ces maladies. Renforçons la résilience du continent européen grâce à nos régions ultrapériphériques. C’est tout le sens des nombreux amendements que j’ai portés et qui se retrouvent dans le texte final. Faisons des RUP des laboratoires de solutions sanitaires et climatiques pour toute l’Union européenne.
"
Max ORVILLE,2023-06-14,FR,Implementation and delivery of the Sustainable Development Goals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-326-0000_FR.html,"  Max Orville (Renew).   – Madame la Présidente, Monsieur le Commissaire, je souhaite féliciter la Commission européenne pour le premier examen volontaire de l’Union européenne sur les progrès réalisés dans la mise en œuvre des objectifs de développement durable. Nous mesurons tout le chemin accompli. Cependant, nous pouvons aller plus loin et nous devons faire mieux.
Atteindre les ODD, c’est améliorer la qualité des sols, de l’eau et de l’air, et prévenir les aléas climatiques. C’est garantir l’accès à une eau potable, par le renouvellement des réseaux de distribution. Atteindre les ODD, c’est aussi augmenter la production agricole locale par la diversification des cultures et par la création de nouvelles unités de transformation. Atteindre les ODD, c’est, enfin, accélérer le déploiement des énergies renouvelables, par la multiplication des éoliennes, des panneaux solaires ou encore des centrales géothermiques, en fonction des atouts des territoires.
Par notre vote demain, nous témoignerons de l’engagement politique de l’Union européenne et nous demanderons à la Commission d’élaborer une stratégie politique pragmatique et un plan de financement adapté.
"
