MP,Date,Language,Title,Url,Content
Maxette PIRBAKAS,2023-12-14,FR,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-019-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, Madame la Commissaire, chers collègues, la COP 28 qui s'achève ressemble aux précédentes: un entre-soi d'ONG, de lobbyistes et d'acteurs étatiques qui se dépêcheront d'oublier leurs engagements non contraignants. L'objectif de maintenir le réchauffement climatique à 1,5 degré semble hors d'atteinte: c'est impossible dans la mesure où le monde consomme chaque année davantage d'énergies fossiles.
Cette course semble folle, elle ne sera freinée ni par les pays émergents, qui veulent leur société de consommation, ni par les pays industrialisés, dont la fameuse transition nécessitera encore plus de métaux et d'énergie. Tout aussi consternant, elle est désormais la porte ouverte aux pseudo-solutions technologiques; les docteurs Folamour du capitalisme mondialisé vont pouvoir faire leurs expériences grandeur nature et se goinfrer au passage. Leur philosophie ne change pas, elle reste celle du toujours plus.
Chers collègues, face à ce constat désespérant, nous avons une grande chance, c'est d'avoir un cap. L'écueil pour nous serait double: d'un côté, dire que tout est foutu et que nous allons en profiter jusqu'au bout; de l'autre, paniquer, nous fixer des objectifs irréalistes, incompatibles avec nos intérêts économiques. La réalité est que nos concitoyens veulent faire des efforts pour l'environnement, mais sans que leur niveau de vie soit trop affecté. Il nous revient de tenir ensemble ce point d'équilibre.
"
Maxette PIRBAKAS,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-036-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, je voudrais vous dire que la proposition de règlement que vous soumettez est meilleure que le texte adopté en septembre 2023. Certains des objectifs extrêmement contraignants de la précédente mouture ont été revus à la baisse, ce qui est une bonne chose, car il ne sert à rien d’adopter des règles inapplicables.
Assurer la sécurité de nos approvisionnements en matériaux stratégiques, c’est précisément ce que les citoyens attendent de l’Union européenne. C’est ce que j’appelle «la bonne Europe», celle qui cherche à trouver des solutions pour nos industries d’avenir, celle qui sert les grands projets d’intérêt collectif.
Dans le contexte de concurrence mondiale de plus en plus féroce que nous connaissons, nous ne devons pas avoir honte d’agir conformément à nos intérêts. Sans idéologie, nous devons désormais assumer de soutenir clairement notre secteur minier extractif sur le continent comme dans les outre-mer, avec, par exemple, le nickel de Nouvelle-Calédonie. 
Nous savons tous que la transition nécessitera des quantités phénoménales de métaux. Moi, je préfère qu’ils soient européens et, à défaut, qu’ils soient respectueux de nos normes environnementales et sociales. 
"
Maxette PIRBAKAS,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-189-0000_FR.html,"  Maxette Pirbakas (NI).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, la question que nous devons nous poser est la suivante: avons-nous vraiment besoin d’importer en Europe des dizaines de milliers de tonnes de pommes, de kiwis, d’oignons, de vin, de viande d’agneau, de beurre, de lait en poudre, de poisson? Quels sont les gains? Est-il raisonnable de supprimer tous ces quotas sur certains biens que l’Europe produit en abondance? Est-il écologiquement raisonnable d’augmenter encore les flux de commerce mondial avec les gaz à effet de serre et les pollutions diverses générées par 40 jours en mer? Est-il admissible de faire revenir les molécules interdites dans l’Union, comme l’atrazine?
Le Premier ministre de la Nouvelle-Zélande a expliqué que l’accord présente d’énormes avantages. Mais pour qui? Pour l’agrobusiness mondialisé certainement, pour les normes exigeantes que nous tenons à nous fixer, c’est moins sûr. Mais pour les agriculteurs, il n’y en a aucun. Avec cet accord dont la vraie finalité est la consolidation de l’Union dans le Pacifique Sud, notre agriculture est une simple monnaie d’échange aujourd’hui. Chers collègues, cet accord témoigne d’une conception passéiste des accords commerciaux sans prise en compte des vrais enjeux du moment. Il ne doit pas être ratifié en l’état.
"
Maxette PIRBAKAS,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-331-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, Monsieur le Commissaire, la crise de l’eau atteint des sommets dans nos cinq départements de l’outre-mer français. À la Martinique et, surtout, à la Guadeloupe – moi, Guadeloupéenne, je vous le dis –, depuis des années, on estime que plus d’un quart des habitants n’a pas accès à l’eau potable. Ce n’est pas acceptable. Nous sommes en 2023. À Mayotte, c’est encore pire, puisqu’il n’y a pas d’eau du tout. 
Dans cet hémicycle, j’ai l’impression que peu de gens s’inquiètent de ce problème grave, Monsieur le commissaire. Pourtant, je le rappelle, nous parlons de territoires européens, qui doivent bénéficier de la solidarité européenne comme n’importe quelle région de l’Union. Nous payons aujourd’hui le prix de décennies de sous—investissement dans les infrastructures des RUP françaises en matière d’eau. Les fonds de cohésion n’ont rien changé à cette situation; ils n’ont constitué qu’un saupoudrage. 
C’est pourquoi j’en appelle à la mise en place d’un vrai plan d’ensemble piloté par la Commission, à la Martinique, à la Guadeloupe et à Mayotte, parce qu’il y va de la santé humaine et du caractère vivable de ces territoires. Rénover les infrastructures d’assainissement et de distribution, créer de nouvelles stations d’épuration, en finir avec les tuyaux percés, amiantés, rafistolés, ça doit… 
(le Président retire la parole à l’oratrice)
"
Maxette PIRBAKAS,2023-10-16,FR,Fisheries control (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-162-0000_FR.html,"  Maxette Pirbakas (NI).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, la nouvelle réglementation visant à harmoniser le contrôle des pêches a le mérite de clarifier un régime qui, par son caractère très disparate, ne permet d’agir correctement en faveur de la protection de la ressource halieutique.
Cette nouvelle réglementation va néanmoins pénaliser les pêcheries les plus artisanales, telles que celles situées dans les régions ultrapériphériques, et notamment dans les outre—mer français. Il faut bien comprendre que nous parlons essentiellement de minuscules flottilles regroupées dans des comités de pêcheurs artisanaux qui ont la plus grande difficulté à établir des données. Espérer qu’elles se plieront à des obligations administratives lourdes, c’est comme accuser cette pêche traditionnelle de détruire la ressource.
Pour moi, ça n’a aucun sens, Monsieur le Commissaire. La méthodologie de contrôle mise en place par la Commission pertinente en Europe continentale est inadaptée aux réalités locales. Une fois encore, les spécificités des départements d’outre—mer français doivent être prises en compte, et des dérogations doivent leur être accordées le plus tôt possible. Je compte sur vous, Monsieur le Commissaire, Madame la Présidente, chers collègues.
"
Maxette PIRBAKAS,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-255-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, chers collègues, la Commission fait le choix de la science et du bon sens dans le dossier du glyphosate. Ce courage mérite d'être salué. Bien sûr, personne ne dit que le glyphosate est un produit miracle. Dans un monde idéal, il serait probablement banni pour les raisons déjà exposées, comme nous le savons. 
Mais aujourd'hui, nous n'avons pas de solution de remplacement. En tout cas, rien qui permette de maintenir notre productivité et notre rentabilité agricole, seul garant de l'autonomie alimentaire de l'Europe dans les grandes monocultures en métropole et en outre-mer. Beaucoup d'agriculteurs reconnaissent qu'ils ne savent pas faire sans glyphosate. 
Interdire pour aujourd'hui, c'est courir à la catastrophe. Et puis n'oublions pas qu'une partie des biens agricoles que nous continuons d'importer aura de toute manière été exposée au glyphosate. Dans la nouvelle période décennale qui s'ouvre, il faut que la recherche progresse pour trouver des solutions de remplacement acceptables pour le grand public comme pour les agriculteurs. Madame la Commissaire, c'est un vaste défi auquel il faudra tous se confronter. Nous aussi, chers collègues.
"
Maxette PIRBAKAS,2023-09-12,FR,New Agenda for Latin America and the Caribbean in the aftermath of the EU-CELAC Summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-355-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, chers collègues, puisque le sommet entre l’Union européenne et le CELAC de juillet a tourné autour de l’accord Mercosur, je me concentrerai sur ce thème. L’Europe a raison d’être ferme sur les normes environnementales, mais tirons-en toutes les conséquences. Ne négligeons pas ce rapport français qui estime que l’effet d’aubaine accélérera la déforestation de 5 à 25 % de l’Amazonie. Nous ne pouvons cautionner cela.
Les syndicats agricoles français ont alerté sur le risque de concurrence déloyale, avec une dissymétrie marquée, notamment des moyens vétérinaires de production. Moi qui suis de la Caraïbe et agricultrice, j’entends les producteurs et les planteurs de canne à sucre, chez moi aux Antilles, qui tirent également la sonnette d’alarme alors que la filière est en grande difficulté.
Avec cet accord Mercosur, nous entamons un processus dont nous ne savons pas où il nous mènera. Je pense qu’il nous faut d’abord mesurer les impacts cumulés, secteur par secteur, avant d’aller plus loin dans les négociations. L’accord Mercosur est gelé – eh bien qu’il le reste. Je vous demande, Monsieur le Président, mes chers collègues, d’y penser vraiment, parce que c’est important pour nous, pour moi en tant qu’agricultrice et faisant partie du pays de la Caraïbe, en tant que Française.
"
Maxette PIRBAKAS,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-035-0000_FR.html,"  Maxette Pirbakas (NI).   – Madame la Présidente, Madame la Commissaire, la situation que vous avez décrite il y a quelques instants, celle d’une Europe sans eau potable pour ses habitants, pour son agriculture et pour sa biodiversité, nous la connaissons depuis des années dans les départements français d’outre-mer, par exemple la Guadeloupe. Dans nos départements d’outre-mer, il est très fréquent d’ouvrir un robinet et de ne pas avoir d’eau qui en sort, parce que les canalisations sont défectueuses et que les réseaux sont défaillants. Des pans entiers de la population ont dû apprendre à vivre sans eau courante. Pourtant, nos départements d’outre-mer sont des territoires européens, Madame la Commissaire.
Quand la France se fait condamner, comme encore il y a quelques jours, par un comité de l’ONU, parce qu’elle ne respecte pas le droit à l’eau et à l’assainissement des habitants des départements d’outre-mer, notamment chez moi, à la Guadeloupe, Madame la Commissaire, c’est toute l’Europe qui est condamnée. Si l’Union européenne n’arrive pas à garantir certains droits fondamentaux de ses citoyens, alors elle passe à côté de sa mission essentielle aujourd’hui.
Madame la Commissaire, vous avez compris le sens de ce plaidoyer aujourd’hui, mais promettez-nous une vraie politique européenne de l’eau dans la durée. N’oubliez pas nos territoires français d’outre-mer, qui subissent aujourd’hui un problème de santé humaine.
"
Maxette PIRBAKAS,2023-06-13,FR,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-455-0000_FR.html,"  Maxette Pirbakas (NI).   – Madame la Présidente, Madame la Rapporteure, Monsieur le Commissaire, depuis quatre ans, la vraie vie et le vrai monde ont fait leur retour dans cet hémicycle. Après avoir redécouvert notre vulnérabilité aux chaînes de valeur mondiales et la vraie valeur de l’énergie, voici qu’en 2023, on découvre que l’agriculture n’est pas une simple variable technocratique du marché commun à réguler, mais qu’elle est politique et géostratégique – une condition à toute volonté d’autonomie et de puissance européennes. 
Je salue, Madame la Rapporteure, cette résolution transversale, qui analyse bien les défis auxquels les agriculteurs, y compris mes compatriotes agriculteurs des cinq départements d’outre-mer, sont directement confrontés. Vous avez le courage de critiquer certaines politiques mises en place ici. L’ambition de la commission AGRI est de rééquilibrer les politiques qui, au nom de l’environnement, se traduisent par des impasses techniques et par des discours dénigrant les agriculteurs; je salue cette démarche. 
Je le dis: faisons confiance aux agriculteurs, arrêtons de vouloir régenter leur activité. Cessons de faire de la PAC un instrument de fonctionnarisation des agriculteurs et utilisons-la pour libérer les énergies: c’est ce dont nos meilleurs agriculteurs ont besoin.
"
Maxette PIRBAKAS,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-034-0000_FR.html,"  Maxette Pirbakas (NI).   – Monsieur le Président, Madame la Commissaire, oui, les agriculteurs ont un rôle à jouer dans la transition écologique en tant que facilitateurs de cette transition verte, c’est vrai, mais ce n’est pas leur rôle premier. Leur rôle premier, c’est de produire: produire des biens agricoles pour nous nourrir, produire pour dégager un revenu décent pour eux et leurs familles.
Quand j’entends ici certains propos qui se veulent écologistes mais qui se révèlent surtout anti-agriculteurs, j’ai l’impression que les agriculteurs sont des gens mauvais dont la seule préoccupation est de polluer la terre et les cours d’eau avec des engrais et des pesticides. Dans nos textes, on lit en filigrane que les agriculteurs sont le problème, qu’ils refusent de comprendre les enjeux globaux.
L’approche en cours ici est toujours punitive. Les agriculteurs doivent être dressés à coups de règlements et de directives, mais jamais on ne s’inquiète de leurs conditions de vie difficiles, des suicides, des bas revenus, des décès prématurés. Cette approche méprisante qui sous-tend la plupart de nos textes est insupportable aujourd’hui.
Les agriculteurs ont leur part à jouer dans la transition verte, mais on ne leur demande pas, au nom de cette transition, de rogner sur les rendements, donc sur leurs revenus, ou d’accepter une pénibilité accrue du travail. Moi-même, en tant qu’agricultrice, je dis que nous voulons bien prendre notre part du fardeau global, mais pas plus que notre part.
"
