MP,Date,Language,Title,Url,Content
Maximilian KRAH,2023-12-12,DE,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-501-0000_DE.html,"  Maximilian Krah (ID).   – Herr Präsident, meine sehr verehrten Damen und Herren Kollegen! Natürlich sind die Vereinigten Staaten traditionell unser engster Partner. Aber die Vereinigten Staaten entwickeln sich. Waren sie 1945 noch ein im Wesentlichen europäisches Land durch seine Demografie, werden sie im Jahre 2045 bereits mehrheitlich nicht mehr von den Nachfahren von Europäern bewohnt sein. Wenn sich die USA aber von uns fortentwickeln, heißt das, dass wir selbstständiger werden müssen, und dieser Begriff der strategischen Autonomie, der kam gerade hier auf der linken Seite des Hauses auf während der Präsidentschaft Donald Trumps.
Dann kam Joe Biden und sagte: „America is back to lead the world!“ – und alle waren happy, dass sie nicht mehr strategisch autonom sein müssen. Meine Damen und Herren, ich war am Wochenende beim öffentlichen Auftritt von Donald Trump in New York City. Ich kann Ihnen sagen: Wir werden wieder über strategische Autonomie reden müssen, denn es sieht gut aus, dass Trump ins Weiße Haus zurückzieht. 
Und vielleicht ist das ein positiver Aspekt. Europa muss strategisch autonom sein, in alle Richtungen. Darauf kann man eine Freundschaft aufbauen. Aber eine Freundschaft und eine Partnerschaft ist eben etwas anderes als Vasallentum. Insofern hoffe ich, dass sich auch diese Bereitschaft hier durchsetzt. Wir brauchen einen einigen europäischen Pol in der Welt der Zukunft. Der wird die USA hoffentlich als Freund haben. Aber wenn er nicht eigenständig ist, dann ist all das, was wir hier machen, sinnlos.
"
Maximilian KRAH,2023-12-12,DE,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-542-0000_DE.html,"  Maximilian Krah (ID).   – Herr Präsident, Herr Hoher Vertreter, meine Damen und Herren! Natürlich kann man sich von China entkoppeln. Aber das Risiko ist ja, dass sich China dann auch umgekehrt von uns entkoppelt. Wenn wir uns den Anteil der Chinesen an der Schiffsfracht anschauen, dann nimmt er in der Tat mit Nordamerika und Europa ab, aber gleichzeitig steigt er mit Afrika, dem Persischen Golf und Lateinamerika. Wir können natürlich sagen, dass wir chinesische Produkte nicht mehr erwerben wollen. Aber was machen wir denn umgekehrt, wenn die Chinesen dann keine europäischen Produkte mehr kaufen?
Der chinesische Automarkt ist zu 25 Prozent in den Händen deutscher Automobilkonzerne. Vergleichen wir die Wirtschaftswachstumsraten in Asien, insbesondere in China, mit denen, die wir in Deutschland und Europa haben, dann geht die Schere auf und nicht zu. Wenn wir also von Politik sprechen, dann spricht ja einiges dafür, realistisch zu bleiben und auch die eigene Stärke und das eigene Potenzial zu berücksichtigen. Und das erlaubt es eben nicht, hier vollmundig zu glauben, wenn wir uns entkoppeln, dann schaden wir nur den anderen, sondern wir schaden vor allen Dingen mal wieder uns selbst, und das in einer Zeit, wo wir ohnehin von Deindustrialisierung und wirtschaftlicher Stagnation, in Deutschland sogar Rezession, geprägt sind.
Insofern hat natürlich der Hohe Vertreter Recht, dass es an der Zeit ist, realistisch zu bleiben. China ist chinesisch. Gefällt uns das? Nein. Können wir es ändern? Nein. Haben wir einen Vorteil davon, deshalb auf Konflikt zu gehen, auf Sanktionen zu gehen, auf Wirtschaftskrieg zu gehen? Überhaupt nicht. Wir müssen die Welt nehmen, wie sie ist, auch wenn sie uns nicht gefällt, und das Beste für die Menschen in Europa herausholen. Ich befürchte, der Furor, mit dem man hier meint, man müsse Wirtschaftskriege und Sanktionen verhängen, sich entkoppeln, der wird dieser Realität nicht gerecht und führt eben in die Irre und in die Rezession.
"
Maximilian KRAH,2023-10-18,DE,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-194-0000_DE.html,"  Maximilian Krah (ID).   – Frau Präsidentin, Herr Kommissar, meine Damen und Herren! Ich wundere mich bei der Debatte, dass wir über Geopolitik sprechen, aber niemand sich die Mühe macht, zu erklären, was er unter Geopolitik versteht. Zumindest das Lexikon versteht unter Geopolitik eine Methode, die berücksichtigt, dass die Politik von Raum und Ort abhängig ist – man spricht vom Geodeterminismus. Der Begründer wäre dann unter anderem auch kein Nazi, lieber Herr Borrell, sondern Halford Mackinder mit seiner Heartland-Theorie.
Und wenn wir die Heartland-Theorie auf den Ukrainekonflikt anwenden, kommen wir zu ganz anderen Ergebnissen als die Mehrheit der Vorredner. Ein geopolitischer Ansatz ist es, wenn Sie bei dem Gazakonflikt zum Golfkooperationsrat fahren und damit nämlich klarmachen, dass die Regionalmächte gefordert sind zu vermitteln, und nicht raumfremde Mächte wie die Vereinigten Staaten oder die EU.
Geopolitik bringt die Realität – die Geografie – in die Außenpolitik zurück. Sie bringt eine Verortung zurück gegen eine EU, die bislang eine völlig entortete und nicht verortete Außenpolitik gemacht hat, und ist damit das Gegenteil von wertebasierter und feministischer Außenpolitik.
"
Maximilian KRAH,2023-10-04,DE,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-354-0000_DE.html,"  Maximilian Krah (ID).   – Frau Präsidentin, meine sehr verehrten Damen und Herren Kollegen! Seitdem David Ricardo das Gesetz der komparativen Kosten beschrieben hat, wissen wir, dass Freihandel wirtschaftliche Vorteile bringt, und jede Einschränkung davon kostet zumindest Wettbewerbsfähigkeit. Wenn wir nun die gesamte Handelspolitik nicht mehr dem Handel und dem gegenseitigen ökonomischen Nutzen unterwerfen wollen, sondern externen politischen Zielen, dann wird das kosten. Es wird uns Konkurrenzfähigkeit gegenüber anderen großen Handelsblöcken kosten.
Ich weiß, dass das keine Botschaft ist, die hier die Mehrheit im Hause, besonders auf der linken Seite, gern hört. Denn da herrscht ja das Pippi-Langstrumpf-Denken: Wir machen uns die Welt, wie sie uns gefällt. Aber die Welt ist eben nicht so, wie sie Ihnen gefällt, meine Damen und Herren Kollegen, sondern sie folgt den Gesetzen der Nationalökonomie. Der geschätzte Vorredner – er ist leider schon gegangen – hat es ja ausgesprochen: Wir sind hier keine NGO, wir haben Verantwortung für das Gemeinwohl und den Wohlstand der Menschen in unseren Mitgliedstaaten. Die wollen nicht, dass wir irgendwelche abstrakten politischen Prinzipien voranstellen, sondern sie wollen, dass Wohlstand auch ihnen ein kleines privates Glück ermöglicht. Das zerstören Sie, wenn Sie den Handel mit Ideologie überfrachten.
Vergleichen Sie bereits heute unsere Handelsabkommen mit denen anderer Handelsblöcke, dann merken Sie: Wir sind zu lang, wir schreiben zu viel Politik hinein. Wir brauchen mehr Handel und weniger Politik, damit es mit dem Wohlstand klappt.
"
Maximilian KRAH,2023-10-04,DE,The case of Zarema Musaeva in Chechnya,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-475-0000_DE.html,"  Maximilian Krah,  im Namen der ID-Fraktion. – Herr Präsident, meine Damen und Herren! Das Problem bei diesen Entschließungen ist ja immer, dass man sich erst mal genau informieren muss, worum es denn geht. Denn selbst als politisch Informierter kennt man Sarema Mussajewa nicht, man muss also erst mal googeln.
Die Frage ist: Was wollen wir jetzt mit dieser Entschließung erreichen? Glaubt irgendjemand, dass jetzt Russland sofort in Tschetschenien anrufen wird, damit Frau Mussajewa entlassen wird? Erwartet irgendjemand etwas anderes, als dass wir in der jetzigen Situation natürlich Russland verurteilen?
Die Frage ist doch:Was für ein Bild geben wir ab, dass das Europäische Parlament tatsächlich nichts anderes zu tun hat, als zu agieren wie ein Schülerparlament, das übt, wie Debatten funktionieren, um sich zu einem Einzelfall zu äußern, ohne dass irgendetwas passieren wird, ohne dass irgendeine Zeitung darüber berichten wird? Es ist eine reine Selbstbefriedigung, was wir hier machen. Und die Frage ist: Wem nützt es, und wem schadet es? Ich befürchte, es schadet uns mehr, als es Frau Mussajewa nutzt.
"
Maximilian KRAH,2023-10-04,DE,"Egypt, in particular the sentencing of Hisham Kassem",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-490-0000_DE.html,"  Maximilian Krah (ID).   – Herr Präsident, meine Damen und Herren! Wir haben jetzt also die vierte Entschließung gegen Ägypten in vier Jahren, die vierte!
Komischerweise gab es bei Herrn Mursi, als die Muslimbruderschaft regierte, offenbar kein Problem. Das heißt, man hat erst mitgeholfen, das säkulare und imperfekte Mubarak-Regime zu überwinden; dann hatte man die Muslimbruderschaft an der Macht, die massiv das Land zerstört hat und gegen die christlichen Minderheiten vorgegangen ist; und dann hat das Militär zurückgeschlagen und hat ein sicherlich autoritäres Regime aufgebaut, das aber die Menschenrechte der Minderheiten schützt und das Ägypten auf einen Weg des Friedens und des Ausgleichs bringt.
Das Einzige, was dieses Parlament weiß, ist, jedes Jahr einen neuen Angriff gegen Ägypten zu fahren für Einzelfälle, die es überhaupt nicht geprüft hat und für die es sich auch nicht interessiert. Genau diese Art der Besserwisserei und des Neokolonialismus europäischer Prägung hat der Globale Süden satt. Er macht nicht mehr mit, und er hat nicht mehr die Bereitschaft, sich das bieten zu lassen.
Das nehmen Sie in Kauf, dass hier die europäisch-ägyptischen Beziehungen nachhaltig geschädigt werden. Ohne uns!
"
Maximilian KRAH,2023-09-13,DE,Opening of negotiations of an agreement with the United States of America on strengthening international supply chains of critical minerals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-279-0000_DE.html,"  Maximilian Krah (ID).   – Herr Präsident, liebe Kollegen! Wir freuen uns natürlich, dass die Europäische Union das Thema der kritischen raw materials jetzt auf die Tagesordnung hebt.
Aber uns scheint doch, dass die entscheidenden Fragen noch nicht klar sind. Das Erste ist: Wenn wir schon verhandeln, dann sollten wir mit denen verhandeln, die tatsächlich über diese Rohstoffe verfügen. Das Zweite ist: Um diese Rohstoffe weiter zu verarbeiten, brauchen wir sehr viel Energie, und wir brauchen Technologie. Das gilt auch dafür, sie zu gewinnen. Haben wir als Europäische Union diese Technologie und wollen wir sie den Ländern zur Verfügung stellen? Die dritte Frage, die sich stellt, ist: Wie sieht es denn mit den Kosten aus? Ist das, was wir hier vorhaben, konkurrenzfähig zu den Kosten, wenn wir es auf dem Weltmarkt kaufen? Oder bauen wir hier einen unsinnig teuren Weg auf, diese Materialien zu bekommen, mit dem Ergebnis, dass wir sie dann nicht zu konkurrenzfähigen Preisen für unsere Industrie haben. Es ist also sehr viel zu klären.
Wir unterstützen die Verhandlungen, aber wir weisen darauf hin, dass wir befürchten, es wird am Ende nicht besser, es wird schlechter.
"
Maximilian KRAH,2023-09-13,DE,"The case of Dr Gubad Ibadoghlu, imprisoned in Azerbaijan",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-378-0000_DE.html,"  Maximilian Krah,  im Namen der ID-Fraktion. – Frau Präsidentin, Frau Kommissarin, meine verehrten Damen und Herren Kollegen! Es ist unbestritten, dass die Menschenrechtssituation in Aserbaidschan nach europäischen Maßstäben schlecht ist.
Das Problem, was ich mit dem hiesigen Fall habe, ist aber, dass ich nicht gefunden habe und keinen Beweis von Ihnen gehört habe, dass die Anschuldigungen falsch sind. Es ist ein laufendes Verfahren, und die Frage ist: Glauben wir, dass immer dann, wenn es einen Regimekritiker – und das ist er – erwischt, kriminelle Anschuldigungen per se falsch sind? Wer muss denn beweisen, dass die Anschuldigungen richtig und falsch sind?
Das Risiko der Menschenrechtsintervention besteht deshalb immer darin, dass wir uns zum Richter aufspielen in Fällen, in denen uns das Fachwissen und das Sachwissen über den Fall selbst fehlt, und dass wir das, was wir gut meinen, in Wahrheit schlecht umsetzen. Nämlich dass wir uns zu kolonialen Besserwissern aufspielen, die anderen Ländern des globalen Südens erklären, wie sie ihre Justiz zu führen haben.
Dazu stehe ich nicht bereit. Nicht, weil ich Herrn Dr. İbadoğlu nicht schätzen würde, sondern deshalb, weil ich nicht entscheiden kann, ob die Vorwürfe berechtigt oder unberechtigt sind. Das muss die Justiz in Aserbaidschan tun. Sie hat es nicht getan, und deshalb geht uns der Fall nichts an!
"
Maximilian KRAH,2023-09-13,DE,"Human rights situation in Bangladesh, notably the case of Odhikar",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-397-0000_DE.html,"  Maximilian Krah,  im Namen der ID-Fraktion. – Herr Präsident, Frau Kommissarin, meine Damen und Herren! Zunächst einmal ist es bemerkenswert, dass wir uns um diese Uhrzeit über Bangladesch unterhalten. Es ist auch bemerkenswert, dass ein slowakischer Christdemokrat sein Herz für eine islamistische Oppositionspartei entdeckt.
Aber das Entscheidende ist doch: Ich wundere mich über diese einhellige Verurteilung Bangladeschs. Ich bin der Berichterstatter im INTA-Ausschuss für Bangladesch, und ich kenne die Berichte von der Internationalen Arbeitsorganisation, von all den internationalen Organisationen, die die Wirtschaftsbedingungen in Bangladesch überwachen. Und da lese ich von beständigen Fortschritten in Bangladesch. Bangladesch ist ein Land, das eine bemerkenswerte Entwicklung in den letzten Jahrzehnten hingelegt hat.
Und wenn wir dann den Entschließungsentwurf uns anschauen, wenn wir diese Sprache, die von oben herab ein Entwicklungsland, das etwas geschaffen hat, maßregelt, sehen, dann ist das nichts anderes als offener, unsympathischer Neokolonialismus, wo wir meinen, als Europäer mal so eben locker ein Entwicklungsland abkanzeln zu können und belehren zu können.
Nehmen Sie doch eins zur Kenntnis: Die Zeiten, wo man uns das durchgehen lässt, die sind vorbei. Gott sei Dank.
"
Maximilian KRAH,2022-12-14,DE,The case of human rights defender Abdulhadi Al-Khawaja in Bahrain,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-467-0000_DE.html,"  Maximilian Krah,  im Namen der ID-Fraktion. – Frau Präsidentin, Frau Kollegin, meine Damen und Herren Kollegen! Das ist jetzt innerhalb eines Jahres das zweite Mal, dass wir uns um einen inhaftierten „XY Unbekannt“ in der arabischen Welt kümmern. Einmal war es in den Emiraten. Heute ist es in Bahrain.
Zunächst glaube ich nicht, dass die europäischen Wählerinnen und Wähler tatsächlich Verständnis dafür haben, dass wir unsere Zeit für solche Einzelfälle aufwenden. Das Zweite ist, dass ich mich wundere, dass Sie sich jedes Mal Länder aussuchen, die in der arabischen Welt – die in der Tat Menschenrechtsnachholbedarf hat – als verhältnismäßig liberal gelten. Wir müssen doch einfach auch die Relationen beachten.
Tatsache ist, dass Bahrain seit Jahren ein Partner des Westens und dieser Union ist, dass wir Abkommen geschlossen haben, dass wir Partnerschaft haben. Wieso wird nun ausgerechnet wegen eines Einzelfalls diese Partnerschaft in Frage gestellt? Bahrain kämpft um seine staatliche Existenz. Der Iran akzeptiert die Unabhängigkeit nicht. Und der hier heute so Gelobte war beteiligt an einer Auseinandersetzung, die die staatliche Existenz in Frage gestellt hat.
Ich denke, mehr Vertrauen in unseren Partner und weniger Menschenrechtsimperialismus wäre angezeigt.
"
