MP,Date,Language,Title,Url,Content
Mercedes BRESSO,2023-11-21,IT,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-297-0000_IT.html,"  Mercedes Bresso (S&D).   – Signor Presidente, onorevoli colleghi, con la proposta di riforma dei trattati, questo Parlamento ha la responsabilità e – mi spiace per i colleghi – anche la legittimità di compiere un passo fondamentale per un'Europa che decide e che protegge i suoi cittadini, per rafforzare la nostra democrazia europea e rendere il Parlamento maggiormente protagonista anche attraverso il potere di iniziativa legislativa. 
Occorre modificare i processi decisionali e superare su molte materie il diritto di veto, introducendo di norma il voto a maggioranza qualificata in Consiglio. Oggi più che mai abbiamo bisogno che l'Europa parli con una sola voce nel mondo. Per questo è necessario aumentare le competenze dell'Unione in materia di difesa, affari esteri e sulla sfida globale al cambiamento climatico. È urgente costruire rafforzare le competenze dell'Unione sulla salute e le politiche sociali, nonché introdurre competenze sul digitale. E serve naturalmente potere dotarsi di risorse proprie. 
Siamo di fronte a un crocevia decisivo e da quest'Aula deve arrivare una richiesta forte e condivisa per avviare un percorso costituente ambizioso. Alla Presidenza spagnola dico che questo sarà per noi un momento storico: per la prima volta avremo usato i nostri poteri per riformare i trattati. Ma la storia si fa insieme. Grazie se riuscirete a trasferire senza voto al Consiglio europeo la nostra richiesta e convincerete quest'ultimo a rispettare il volere del Parlamento e a convocare la convenzione. Avremo insieme compiuto un passo fondamentale per la storia futura del nostro continente. Come diceva Altiero Spinelli, la strada è lunga e difficile ma deve essere percorsa. E lo sarà. 
(L'oratrice accetta di rispondere a una domanda ""cartellino blu"")
"
Mercedes BRESSO,2023-11-21,IT,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-299-0000_IT.html,"  Mercedes Bresso (S&D),  risposta a una domanda ""cartellino blu"". – Certamente, lo possiamo nelle materie che sono di competenza dell'Unione europea, perché solo insieme noi potremo fare la storia futura di questo continente. Ci rifletta, altrimenti usciremo completamente, come dice il filosofo Habermas, dalla storia futura del mondo. E il potere legittimo di ognuno di noi deriva dai nostri cittadini come quello degli Stati. 
Io sono d'accordo con lei che, se andremo avanti in questo processo di riforma, alla Convenzione dovremo discutere anche di come rispettare i poteri dei parlamenti nazionali per quei beni pubblici che solo a quel livello possono essere forniti, e anche di quelli dei parlamenti regionali e anche delle assise comunali: cioè, ognuno deve essere in grado di fornire ai propri cittadini beni pubblici che solo a quel livello possono essere forniti, ivi compresa l'Unione europea. 
"
Mercedes BRESSO,2023-10-18,IT,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-287-0000_IT.html,"  Mercedes Bresso (S&D).   – Signora Presidente, onorevoli colleghi, il vertice di New York dello scorso settembre è stato sicuramente un'occasione importante di bilancio e di consapevolezza sullo stato dell'arte degli obiettivi dello sviluppo sostenibile.
In particolare, ci ha dimostrato quanto siamo oggi distanti rispetto alla data ormai prossima del 2030. Per questo, insieme alla consapevolezza, deve però rinnovarsi l'impegno a un'accelerazione, certo molto concreta e razionale, che renda effettivamente realizzabili questi obiettivi, che rimangono, io credo, un traguardo di progresso globale assolutamente non rinunciabile. E la Commissione deve dimostrarci anche come il progetto del Global Gateway possa aiutarci in questa direzione, anche moltiplicando le risorse a disposizione.
Occorre che su questa strada emerga però anche una forte leadership europea, capace di dare il buon esempio, ma anche di scandire e guidare i necessari avanzamenti globali e di allinearli con gli altri impegni assunti, a partire evidentemente dagli accordi di Parigi sul clima, per noi e per i paesi che vogliamo aiutare.
Tutto ciò non può essere improvvisato o lasciato alla buona volontà. Abbiamo bisogno di una strategia globale precisa per completare la realizzazione dell'Agenda 2030, ed è questo che chiediamo alla nostra Commissaria e alla nostra Commissione.
"
Mercedes BRESSO,2023-09-14,IT,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-027-0000_IT.html,"  Mercedes Bresso (S&D).   – Signor Presidente, signora Commissaria, onorevoli colleghi, la democrazia e la cittadinanza europea sono beni preziosi che non dobbiamo mai dare per scontati. Mai come in questo momento di guerra nel cuore dell'Europa ne abbiamo sentito la forza. Ci siamo arrivati attraverso passaggi lenti, spesso faticosi, ma il nostro cammino non è certo finito qui. 
Abbiamo bisogno di migliorare e rafforzare la nostra democrazia, le sue pratiche, le sue istituzioni, a partire evidentemente dal Parlamento, a cui andrebbe riconosciuto il diritto di iniziativa legislativa. Dobbiamo strutturare anche esperienze di partecipazione dei cittadini europei, con meccanismi, magari anche permanenti, per il loro coinvolgimento. 
La Conferenza sul futuro dell'Europa è stata un momento importante di partecipazione alle proposte e alle misure concrete che ne sono emerse abbiamo il dovere di dare un seguito, e per rafforzare la democrazia europea non possiamo pensare certo che tutto resti invariato. Come diceva il collega prima, abbiamo bisogno di una convenzione che lavori alla riforma dei trattati per un'Europa più democratica e più forte ma anche che apra di più ai cittadini europei. 
Permettetemi una osservazione al collega Ilčić: non è vero che le istituzioni europee sono le ultime nella fiducia dei cittadini. Si vota di meno perché gli Stati non fanno promozione; però la fiducia nelle istituzioni europee è maggiore che nei parlamenti nazionali e nei governi, quindi vada a vedere meglio i sondaggi e i dati. 
"
Mercedes BRESSO,2023-06-14,IT,Implementation and delivery of the Sustainable Development Goals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-335-0000_IT.html,"  Mercedes Bresso (S&D).   – Signora Presidente, onorevoli colleghi, è chiaro che quest'anno sarà assolutamente decisivo per la realizzazione degli obiettivi di sviluppo sostenibile e che noi dobbiamo, con la dovuta franchezza e con una buona dose di realismo, analizzare le carenze e affrontarne le contraddizioni.
Oggi, a poco più di sei anni dalla scadenza fissata del 2030, realizziamo di essere, purtroppo, lontani dalla meta, e che su alcuni punti, penso in particolare a povertà e disuguaglianze, il quadro si è ulteriormente aggravato.
A questo si aggiunge il drammatico incrocio tra guerra e cambiamenti climatici, che rischia di peggiorare la situazione colpendo in particolare territori e popolazioni già più vulnerabili. Serve tenere insieme lotta alla povertà, politiche di sviluppo, politiche di contrasto ai cambiamenti climatici, e farlo attraverso un impegno rinnovato e più forte. 
L'Unione europea deve essere in prima linea su questa sfida, integrando maggiormente gli obiettivi di sviluppo sostenibile nelle sue politiche e, soprattutto, riportando queste priorità concretamente nella costruzione dei partenariati internazionali.
"
Mercedes BRESSO,2023-06-12,IT,EU Day for the victims of the global climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-105-0000_IT.html,"  Mercedes Bresso (S&D).   – Signor Presidente, onorevoli colleghi, ci stiamo purtroppo progressivamente abituando a vedere i nostri territori devastati da eventi naturali di proporzioni eccezionali: alluvioni, siccità, scioglimento di ghiacciai, fenomeni che sconvolgono la vita delle popolazioni ma devastano anche le attività produttive, producono vittime e lutti. 
L'elenco di questi episodi è lungo, è stato ricordato: le inondazioni del luglio 2021 in Germania e Belgio fino alla tragedia recente e drammatica dell'alluvione in Emilia-Romagna, nelle Marche e in Toscana. È quindi da salutare positivamente l'istituzione di una Giornata europea per le vittime della crisi climatica, a patto però di non nascondere sotto celebrazioni rituali il dovere collettivo dell'azione politica e della cura dei nostri territori. Quella consapevolezza che mette oggi l'Unione europea in prima fila nella lotta al cambiamento climatico, che non può essere solo declamata, ma che va scandita da obiettivi concreti e realizzabili. 
Signora Commissaria, credo che sarebbe utile la predisposizione di guidelines sulla difesa idrogeologica e sulla lotta alla siccità per aiutare i governi e gli enti locali a operare in modo coordinato ed efficace, come è indispensabile in questo caso. E su questa strada non mancherà l'impegno di tutti noi. 
"
Mercedes BRESSO,2023-06-01,IT,"Foreign interference in all democratic processes in the European Union, including disinformation - Election integrity and resilience build-up towards European elections 2024 (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-01-INT-2-036-0000_IT.html,"  Mercedes Bresso (S&D).   – Signora Presidente, signora Commissaria, onorevoli colleghi, la nostra democrazia e i processi liberi e partecipati con cui la esprimiamo e la pratichiamo sono un bene preziosissimo, non dobbiamo darlo per scontato e dobbiamo difenderlo in tutti i modi. 
La relazione della Commissione sulle interferenze straniere dimostra che siamo entrati nell'era della consapevolezza. Però non basta essere consapevoli. Dobbiamo con urgenza colmare le lacune che tuttora esistono nelle nostre legislazioni e che ci rendono permeabili alle strategie di interferenza di potenze straniere. Strategie che sono diverse ed articolate, così come devono essere le nostre risposte. 
Nella relazione che voteremo ci sono proposte precise per rafforzare la resilienza delle istituzioni, proposte su cui ci aspettiamo una risposta pronta da parte della Commissione. Le prossime elezioni europee saranno un passaggio delicato per la nostra democrazia, per cui servirà grande attenzione. Viene tracciato un cammino al quale dovremo dare continuità, strutturando in maniera consolidata anche il nostro lavoro qui in Parlamento. 
"
Mercedes BRESSO,2024-02-06,IT,State of play of the implementation of the Global Gateway and its governance two years after its launch (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-06-INT-2-510-0000_IT.html,"  Mercedes Bresso (S&D).   – Signor Presidente, onorevoli colleghi, signora Commissaria, come vede, noi del gruppo S&D siamo appassionati del tema. Non c'è alcun dubbio che il Global Gateway rivesta per noi un'importanza assolutamente strategica per il suo modo di guardare al resto del mondo, di stringere alleanze, ma anche per creare insieme ai partner internazionali nuove sinergie che siano utili a tutti.
Perché sia efficace, è evidente che dobbiamo levarci di dosso quell'approccio un po' post—coloniale che ha spesso caratterizzato le nostre politiche di sviluppo, per realizzare veri partenariati costruiti su basi strategiche e paritetiche, avendo al centro il principio guida di uno sviluppo comune e reciproco che tenga insieme la sostenibilità ambientale, i diritti umani e le condizioni sociali e di lavoro. Serve che il Global Gateway sia coerente con il resto delle politiche dell'Unione e che esista un ruolo chiaro del Parlamento nell'assicurare questa coerenza.
Bene, infatti, l'approccio Team Europa, che mette insieme tutti gli attori europei ottimizzando ogni risorsa, ma il Parlamento europeo, che è autorità di bilancio dell'Unione, non può limitarsi a osservare, ma deve giocare un ruolo di primo piano nella definizione strategica di questo progetto.
"
Mercedes BRESSO,2024-01-16,IT,Implementation of the Treaty provisions on national parliaments - Implementation of the Treaty provisions on EU citizenship (joint debate – Implementation of the Treaty provisions),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-01-16-INT-2-398-0000_IT.html,"  Mercedes Bresso,  a nome del gruppo S&D. – Signor Presidente, onorevoli colleghi, la necessità di rafforzare la cittadinanza europea passa anche da una maggiore coesione dei luoghi della rappresentanza politica e della democrazia.
In questo senso, il Parlamento europeo e i parlamenti nazionali sono alleati naturali per rinvigorire la democrazia dell'Unione attraverso una migliore parlamentarizzazione del processo decisionale.
Questo era stato anche indicato dalla Conferenza sul futuro dell'Europa ed era stato praticato in quel contesto, dove famiglie e partiti politici hanno produttivamente lavorato in caucus europei: un esempio da proiettare nella nostra relazione abituale con i parlamenti nazionali.
Molto può essere migliorato, sia adesso che nel contesto, evidentemente meglio, di un cambiamento dei trattati, a partire ad esempio dall'allungamento dei tempi per i cartellini gialli – è stato già ricordato – o dalla definizione di un diritto di iniziativa indiretto attraverso proprio la relazione con il Parlamento europeo. Io oserei parlare di green card.
I parlamenti nazionali possono anche giocare un ruolo importantissimo nel concepire diversamente il Consiglio, portando lì tutta l'articolazione delle posizioni politiche e della rappresentanza di cui sono portatori, migliorando così la trasparenza del processo decisionale dell'Unione.
"
Mercedes BRESSO,2023-12-11,IT,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-078-0000_IT.html,"  Mercedes Bresso (S&D).   – Signora Presidente, onorevoli colleghi, nel momento storico che stiamo vivendo, con una forte instabilità internazionale e sfide ambientali, economiche e sociali enormi di fronte a noi, abbiamo bisogno di un'Europa che sia forte, unita e capace di fare scelte importanti. Scelte che evidentemente vanno legittimate e spinte da una chiara volontà democratica e da un rapporto forte e partecipato con i cittadini.
Troppo spesso l'appuntamento delle elezioni europee è risultato essere la sommatoria di elezioni nazionali, in cui il peso delle proposte per l'Unione è troppo marginale nei dibattiti e nel sentire comune.
Certo, molti passi avanti sono stati fatti, ma serve oggi uno slancio più forte e una responsabilità rinnovata di partiti e candidati; occorre rafforzare il legame democratico tra le scelte degli elettori e la nomina del prossimo presidente della Commissione, che, lo ricordo ai colleghi, va proposto sulla base dei risultati elettorali.
Il prossimo Parlamento avrà quindi la responsabilità politica di concordare delle proposte forti sulle figure su cui ha competenza e di avviare un negoziato con il Consiglio europeo.
"
