MP,Date,Language,Title,Url,Content
Michael BLOSS,2023-12-14,DE,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-031-0000_DE.html,"  Michael Bloss (Verts/ALE).   – Herr Präsident, sehr verehrte Damen und Herren! 2023 war das heißeste Jahr in der Geschichte der Menschheit – mit Fluten, mit Stürmen, mit Feuern überall, mit hohen Kosten für die Menschheit und für die Wirtschaft. Wir sind immer noch auf einem 2,9-Grad-Erderhitzungspfad, und Professor Schellnhuber hat uns gesagt, bei 3 Grad bedeutet es das Ende der menschlichen Zivilisation. Daran hat sich bei dieser Klimakonferenz nichts geändert. Es ist gut, dass wir endlich nach 28 Jahren sagen, dass wir raus aus Kohle, Öl und Gas müssen. Aber jetzt müssen den Worten auch Taten folgen.
Ich habe heute Morgen bis um 5 Uhr früh hier den Strommarkt verhandelt, und es wurden neue fossile Subventionen für die dreckigsten Kohlekraftwerke beschlossen. Das darf nicht die Botschaft sein. Was jetzt passieren muss, ist, dass wir endlich einen neuen national festgelegten Beitrag haben – minus 95 Prozent bis 2040 mindestens. Es dürfen keine fossilen Lobbyisten mehr in der Delegation der Europäischen Union sein, und wir brauchen endlich das Ende der fossilen Subventionen, so wie es uns Klimakommissar Hoekstra versprochen hat. Somit könnten wir auf den 2-Grad-Pfad einbiegen. Aber dafür ist noch viel zu tun, und der Kommissar steht bei uns im Wort.
"
Michael BLOSS,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-106-0000_DE.html,"  Michael Bloss (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Erinnern Sie sich noch an den Sommer? Griechenland und Libyen waren überflutet, und Australien brennt immer noch. Und die meisten versprechen sich nichts von der nächsten Klimakonferenz, denn an der Spitze steht ein Ölboss. Ich sage Ihnen: Wir können uns das nicht leisten! Die Hände in den Schoss zu legen, bedeutet eine 3 Grad heißere Welt. Klimaschutz ist zu wichtig.
In Dubai müssen wir als Weltgemeinschaft klarstellen, dass wir endlich Schluss machen mit Kohle, Öl und Gas, dass Europa seine Klimaschulden anerkennt, und dass sich bis 2030 der Ausbau von Wind- und Sonnenenergie verdreifacht und die Energieeffizienz sich verdoppelt.
Ja, der Weg ist weit und der Gegner ist groß, aber jedes zehntel Grad zählt. Wir geben nicht auf, bis der Job erledigt ist. Lieber Herr Kommissar Hoekstra, zeigen Sie in Dubai, dass Sie kein Papiertiger sind!
"
Michael BLOSS,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-024-0000_DE.html,"  Michael Bloss (Verts/ALE),  Frage nach dem Verfahren der „blauen Karte“. – Ja, lieber Peter Liese, Sie haben ja für das Klimaschutzgesetz gestimmt, Sie haben für die LULUCF-Verordnung gestimmt. 10 % des europäischen Klimaziels kommt durch die Natur. Wie wollen Sie das erreichen, wenn Sie gegen dieses Gesetz stimmen? Wenn Sie gegen das Gesetz stimmen, stimmen Sie gegen den Klimaschutz, gegen den Grünen Deal, gegen das große Projekt von Ursula von der Leyen. Damit erreichen wir unsere Klimaziele nicht!
"
Michael BLOSS,2023-07-10,DE,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-048-0000_DE.html,"  Michael Bloss,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Industrie, Forschung und Energie. – Frau Präsidentin, sehr geehrte Damen und Herren! Unter den zehn meistverkauften E-Automodellen im Jahr 2022 ist gerade mal eins aus der Europäischen Union. Der Rest kommt aus den USA und aus China. Leider haben die europäischen Hersteller hier schon den Anschluss verpasst, und manche in diesem Haus hängen immer noch an den E-Fuels und an den Verbrennermotoren und machen dadurch die Modernisierung der Wirtschaft noch schwieriger.
Dabei ist klar: Wer gute Jobs und Industrie erhalten will, der muss jetzt in die Modernisierung investieren. Das heißt: Natürlich brauchen wir schnell viele Ladesäulen für E-Autos, für E-Lkws. Das ist aber nicht alles. Mobilität ändert sich. Wir brauchen auch E-Busse, mehr Verkehr auf Schienen und Radwegen, und wir brauchen vor allen Dingen eines: eine breite Unterstützung für den Grünen Deal und die ökologische Modernisierung der Wirtschaft. Mit Ihrem Kampf gegen den Grünen Deal kämpfen Sie gegen die Modernisierung und befördern die Deindustrialisierung. Liebe Kolleginnen und Kollegen, stehen Sie zum Grünen Deal, schaffen Sie Sicherheit für Jobs, für die Industrie, für Investitionen, dafür, dass Europa beim Rennen um die Weltmarktführerschaft nicht leer ausgeht!
"
Michael BLOSS,2023-06-14,DE,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-238-0000_DE.html,"  Michael Bloss (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Sie werden mir zustimmen: Wir wollen eine starke Wirtschaft und eine starke Industrie.
Weltweit hat hier der Wettlauf begonnen. Die USA investieren 400 Milliarden Dollar für die Ansiedlung von neuen Klimaindustrien, China macht das Gleiche − und was macht Europa? Wir streiten uns über Klimaschutz. Sie, die Konservativen, wollen eine Pause einlegen.
Und was ist das Ergebnis? Das einzige Unternehmen, das wieder Solaranlagen in Europa herstellt, hat gestern gesagt, dass es in die USA gehen möchte. Das ist fatal. Das zerstört die Arbeitsplätze von morgen. Wenn wir so weitermachen, dann muss die Frage, wo in der Zukunft Solaranlagen, Windkraftanlagen, Elektrolyseure und Wärmepumpen produziert werden, leider so beantwortet werden: nicht in Europa.
"
Michael BLOSS,2023-05-31,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-051-0000_EN.html,"  Michael Bloss,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, climate activists need to be protected and we need them now more than ever – these are not my words; these are the words of the UN Secretary—General, António Guterres, on the recent events in Germany. And you want to do the opposite – you want to criminalise them; you want to silence them and you want to silence the debate on the climate emergency.
But whether you approve or disapprove of their actions, they have fundamental rights. They have a right to a voice; they have a right to protest. And it’s our duty as parliamentarians to uphold these rights. This is the essence of democracy. So, let us listen to the interference of the UN Secretary—General and protect their rights. Please, colleagues, vote against this request by the ECR Group.
"
Michael BLOSS,2023-04-20,DE,IPCC report on Climate Change: a call for urgent additional action (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-035-0000_DE.html,"  Michael Bloss (Verts/ALE).   – Herr Präsident, sehr verehrte Damen und Herren! Vielleicht haben Sie im Weltklimabericht diese Grafik gesehen. Ich habe das angeschaut. Mir war erst nicht klar, was es bedeutet, aber es ist existenziell: Kinder, die im Jahr 2020 geboren worden sind, die können, wenn sie 45 Jahre alt sind, schon eine um drei Grad heißere Welt erleben. Das bedeutet, Milliarden sind von Dürren, von Hungerkatastrophen und von Überflutungen betroffen. Das bedeutet eine kalte Welt, eine Welt ohne Freiheit. Vielleicht kennen Sie auch jemanden, der 2020 geboren worden ist. Bei mir ist es meine Tochter.
Der UN-Generalsekretär hat gesagt, dass die reichen Länder schon im Jahr 2040 klimaneutral werden müssen. Wir im Europäischen Parlament, wir entscheiden dieses Jahr noch, wir reden dieses Jahr noch über unser Klimaziel für das Jahr 2040. Meine Damen und Herren, in welcher Welt wollen Sie leben? Entscheiden wir uns für eine klimaneutrale Welt, für eine Welt, in der wir die Freiheit von uns und von unseren Kindern garantieren können.
"
Michael BLOSS,2023-04-17,DE,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-117-0000_DE.html,"  Michael Bloss,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, sehr geehrte Damen und Herren! Ein Journalist hat mich vor Kurzem mal gefragt, ob die Grünen jetzt den Markt entdeckt hätten. Nein, wir sind schon immer für den Markt, aber wir sind vor allen Dingen für den Klimaschutz, und dazu braucht es Markt und Gebote. Der Markt alleine reicht eben nicht, lieber Peter Liese. Die unsichtbare Hand des Marktes, die baut keine Solaranlagen aufs Dach und die renoviert auch keine Häuser. Dazu braucht es Handwerkerinnen und Handwerker. Und dazu braucht es klare Regeln. Moses hat auch keine zehn Märkte empfangen, sondern zehn Gebote.
Der Markt allein ist auch ungerecht. Es braucht eine soziale Flankierung, und dieser Klima-Sozialfonds ist dafür leider viel zu klein. Klar, CO2 braucht einen Preis. Aber Einnahmen müssen an die Bevölkerung direkt zurückgegeben werden, zum Beispiel über ein europäisches Klimageld. So gehen Klimaschutz und Gerechtigkeit zusammen. Es gibt also noch einiges zu tun. Aber morgen feiern wir! Denn der Emissionshandel ist ein großer Schritt für den Klimaschutz. CO2 muss so viel kosten, wie es kaputtmacht. Und wir machen Klimaverschmutzen jetzt so teuer, dass es sich einfach nicht mehr lohnt.
Was bedeutet das? Nach dem Atomausstieg in Deutschland kommt ein europaweiter Kohleausstieg schon bald, im Jahr 2030. Ab dem Jahr 2040 wird es keine neuen CO2—Verschmutzungsrechte mehr geben. Und allen, die über den deutschen Atomausstieg schimpfen, aber das EHS loben, denen sage ich: Sie haben es nicht verstanden! Der Emissionshandel ist doch genau das Instrument, das klarstellt, dass wir keine Mehr-Emissionen haben trotz Atomausstieg. Wir sind beim Klimaschutz also einen gewaltigen Schritt vorangekommen. Kohlekonzerne und Industrie wissen: Bald ist Schluss mit der Verschmutzungsparty. Und für Bürgerinnen und Bürger bedeutet es mehr Klimaschutz, mehr Freiheit und mehr Freiheit für kommende Generationen. Und das ist ein grüner Erfolg!
"
Michael BLOSS,2023-03-14,EN,Question Time (Commission) - How to ensure energy security in the EU in 2023,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-237-0000_EN.html,"  Michael Bloss (Verts/ALE).   – We are talking about energy security, and we see that with the current legislation, the electricity market design and the RED, it will be in place in two years, and that leads to investors basically now waiting for two years for the more beneficial setting. So now, we need to bridge these two years. 
There is the idea of a renewable energy booster, a European-wide tender of 120 gigawatt – 60 gigawatt solar, 60 gigawatt wind – and it could also help to bridge the gap between the 40% renewable target from the Council in the renewable energy trilogue, and the 45% of you and of us the Parliament. So what do you say about such a renewable booster? I think it would be a great idea also to Europeanise the electricity market. Do you agree that we should have something like this?
"
Michael BLOSS,2023-03-13,DE,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - Revision of the Market Stability Reserve for the EU Emissions Trading System (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-164-0000_DE.html,"  Michael Bloss (Verts/ALE).   – Frau Präsidentin, sehr geehrte Damen und Herren! Der Grüne Deal ist das zentrale Gesetzgebungspaket dieser Wahlperiode. Wir haben unseren Wählerinnen und Wählern, unseren Kindern, den nachfolgenden Generationen das Versprechen gegeben, die Klimakrise einzudämmen, die Klimaziele und das Pariser Klimaschutzübereinkommen einzuhalten. Daran wird man uns messen. Aber auch in diesem Haus und gerade vonseiten der Konservativen wird versucht, zentrale Elemente des Grünen Deals zu Fall zu bringen.
Wenn sie gegen das Verbrenner-Aus, gegen den Klimaschutz im Verkehr stimmen, dann stimmen sie gegen die Klimaziele. Wenn sie gegen das Sanieren von Häusern stimmen, dann stimmen sie gegen die Klimaziele. Wenn es zum Schwur kommt, dann läuft man nicht weg – frei nach dem Motto: Wasch mir den Pelz, aber mach mich nicht nass. Die Industrie wünscht sich gerade beim Verbrenner-Aus klare Vorgaben.
Man kann sich an die Vergangenheit festkleben, aber die USA und China ziehen industriepolitisch total an uns vorbei. Die Klimaindustrien, die Solarzellen, die Windräder, der grüne Stahl und ja, vor allen Dingen die E-Autos – da sind die sicheren Jobs von morgen. Wer sich dem Fortschritt verweigert, der befeuert die Deindustrialisierung. Also vermasseln Sie es nicht! Wir müssen vom Boom der Klimaindustrie profitieren.
An die Adresse der deutschen Bundesregierung sage ich: Sie verhalten sich gerade wie der Elefant im Porzellanladen. Das gefährdet, wie man hier in Europa Gesetze macht. Sie haben für das Verbrenner-Aus gestimmt. Stehen Sie zu Ihrem Verhalten. Denn sonst gibt es auch für andere Staaten kein Halten mehr. Dann wird hier jeder immer versuchen, ganz am Ende etwas für sich herauszupressen.
"
