MP,Date,Language,Title,Url,Content
Michael GAHLER,2023-12-13,DE,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-389-0000_DE.html,"  Michael Gahler (PPE).   – Frau Präsidentin, meine Damen und Herren, liebe Kolleginnen und Kollegen, Herr Kommissar! Seit fast zwei Jahren führt der Kriegsverbrecher im Kreml einen vollumfänglichen Krieg mitten in Europa. Wenn wir die Ukraine nicht umfänglich unterstützen, wird er da durchmarschieren und dann wird er nicht haltmachen. Wir müssen reagieren, und wir hätten schon von Anfang an reagieren müssen, sowohl auf der nationalen Ebene, wo die Verteidigungshaushalte sind, aber auch mit unseren europäischen Programmen, die das ergänzen. Wir haben einen Teil gemacht mit ASAP und mit EDIRPA, ja, aber wir sehen immer noch nicht die Resultate davon. Deswegen ist es so wichtig, dass Folgeprogramme kommen.
Aber es müsste jetzt doch eigentlich angesichts der Dramatik der Lage der Europäische Rat im Rahmen des Mehrjahresfinanzrahmens auch entscheiden, dass für so ein Programm EDIP tatsächlich auch Geld zur Verfügung gestellt wird und dass wir mindestens 5 Milliarden an diesem Wochenende zusätzlich einsetzen. Das wird aber leider nicht geschehen. Und warum? Weil der Ernst der Lage nicht erkannt wird aus meiner Sicht. Im Übrigen, Herr Kommissar: Ursprünglich war, glaube ich, geplant, vor EDIP eine EDIS zu setzen, nämlich erst mal die Strategie darzustellen und dann nach der Strategie das Programm darauf auszurichten. Das hätte auch der Fall sein können.
Ich mache der Kommission nicht den Vorwurf, dass sie das Geld nicht hat. Der Vorwurf geht eher an die Mitgliedstaaten, die nicht in der Lage sind, hier die Gelder auch in einem erweiterten Finanzrahmen so zur Verfügung zu stellen, dass tatsächlich ein glaubwürdiges Programm dabei rauskommen kann. Der Kriegsverbrecher macht Dreischichtenbetrieb, sieben Tage die Woche volle Kriegswirtschaft, und wir versuchen mit kleinsten Programmen, hier die Produktion etwas zu befördern. Das passt nicht zusammen. Wir müssen den Ernst der Lage erkennen. Wir müssen nicht nur dieses Programm hier tätigen, wir müssen in allen nationalen Verteidigungshaushalten die Kapazitäten erhöhen, damit wir dem Aggressor etwas entgegensetzen können.
"
Michael GAHLER,2023-12-12,DE,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-456-0000_DE.html,"  Michael Gahler,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Der völkerrechtswidrige, menschenverachtende russische Angriffskrieg gegen die Ukraine hat verschiedene Facetten. Wir haben diese bei früheren Gelegenheiten immer wieder adressiert und verurteilt – von der Debatte über die Entführung von Kindern nach Russland bis hin zur gezielten Zerstörung von lebenswichtiger Infrastruktur. All das richtet sich nicht gegen Kombattanten, sondern gegen Zivilisten oder zivile Einrichtungen.
Ein spezieller Aspekt sind die Schäden, die als Folge des Krieges die Umwelt zerstören oder beeinträchtigen. Ich meine hierbei nicht die Spuren einer Panzerkette, die auf einem abgeernteten Feld zu sehen sind und nach einem Regenguss wieder verschwinden. Nein, ich denke an all das, was unnötig – weil kriegsbedingt – in Boden, Luft und Gewässer der Ukraine gelangt und teilweise langfristig diese Elemente verschmutzt und verseucht. Es gibt Berechnungen, dass der Schadstoffausstoß durch diesen Krieg bisher dem Jahresausstoß Belgiens entspricht.
Eines der größten oder das größte Verbrechen in dem Bereich ist sicherlich die Zerstörung des Kachowka-Damms. Ich bin gegen inflationäre Benutzung von bestimmten Wörtern, aber ich glaube, in dem Zusammenhang ist das Wort Ökozid tatsächlich angemessen angesichts dessen, was unterhalb des Dammes, aber auch oberhalb durch das Verschwinden des Sees dort geschehen ist.
Wir haben daneben das Verhalten Russlands im Zusammenhang mit dem Kernkraftwerk Saporischschja. Es ist als solches schon verbrecherisch, Kriegshandlungen bewusst und gezielt in der Nähe von Kernkraftwerken durchzuführen. Aber auch die Behandlung der dortigen Mitarbeiter ist außerordentlich verurteilenswert, und deswegen muss auch das aufgezeichnet werden, wie die anderen Verbrechen, die wir aufzeichnen zum Zwecke späterer Kriegsverbrecherprozesse. Ich denke, dass gerade die Verbrechen gegen die Umwelt zeigen, welchen Charakter das russische Regime hat, und die Verurteilung ist sicherlich auch hier in diesem Hause wie üblich ziemlich einheitlich und einstimmig.
"
Michael GAHLER,2023-11-22,DE,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-021-0000_DE.html,"  Michael Gahler (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wir haben von Anfang an als Parlament die bedingungslose Freilassung aller Geiseln gefordert. Die israelische Regierung hat jetzt einem Deal zugestimmt, wo 50 Geiseln unter der Bedingung freigelassen werden, dass 150 palästinensische Häftlinge freigelassen werden und es eine viertägige Waffenruhe gibt.
Ich freue mich mit den Freizulassenden und ihren Familien. Das Bedauerliche ist, dass in der Wahrnehmung vieler Palästinenser und Araber es offenbar die Terrorgruppe Hamas ist, die die israelische Regierung zu Konzessionen zwingt, und dass es in der Frage einer dauerhaften Friedensregelung seit Oslo nicht zu Fortschritten mit den Vertretern der Palästinenser gekommen ist, die bereit sind, mit Israel zu reden und sein Existenzrecht anzuerkennen.
Wir müssen uns nach dem Ende der Hamas-Herrschaft in Gaza als Europäer – am besten koordiniert mit den USA – dafür einsetzen, dass im Rahmen der Vereinten Nationen ein robustes Mandat etabliert wird – für Gaza –, wo eine starke internationale Präsenz zunächst für humanitäre Hilfe und dann für einen Wiederaufbau in Gaza sorgt.
Und das muss dann einmünden in einen Friedensprozess, wo Wahlen stattfinden und die Verhandlung für eine Befriedung des Konfliktes sorgen wird. Ich bin dafür, dass wir dieses Gaza nicht sich wiederholen lassen und dass es auch keine weitere Intifada im Westjordanland geben muss, weil es zu einem genuinen Friedensprozess kommt.
"
Michael GAHLER,2023-11-22,DE,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-300-0000_DE.html,"  Michael Gahler,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kommissarin, liebe Kolleginnen und Kollegen! 30 Jahre Kopenhagener Kriterien – ich denke, das waren damals richtige Kriterien im politischen und im wirtschaftlichen Bereich, und sie sind es bis heute geblieben.
Damals haben sie dafür gesorgt, dass die Kandidatenländer präzise einen Rahmen vorgegeben bekamen, an dem sie sich orientieren konnten. Das ist vielleicht auch der Unterschied zu den Ländern, die bisher in der Östlichen Partnerschaft waren. Die hatten diesen präzisen Rahmen nicht, da war diese Beitrittsperspektive noch nicht drin. Und die Folge war unter anderem, dass eben in Ländern wie der Ukraine, ich sage mal, der Wilde Osten – also in Anspielung auf den Wilden Westen – weiterhin zugange war und auf diese Art und Weise Oligarchen Strukturen aufgebaut haben, eben weil sie dachten, sie könnten weiterhin so agieren, wie sie es bis vor Kurzem auch in der Ukraine veranstaltet haben.
Diejenigen, die im mitteleuropäischen Bereich – ja, in der Wendezeit – auch sich das eine oder andere aneignen konnten, haben relativ früh dann mit diesen Kriterien verstanden: Aha, jetzt geht es Richtung Rechtsstaat, jetzt müssen wir uns an den Rahmen halten, der vorgegeben ist, und haben insofern aus meiner Sicht den Rechtsstaat viel früher umarmt und auf die Art dann auch dazu beigetragen, dass wirtschaftlich, aber auch politisch hier ein Rahmen gesetzt wurde in den Beitrittskandidatenländern, der dann kompatibel sein sollte mit der Europäischen Union.
Ich bin zuversichtlich: Wenn wir diese Kriterien im politischen und im wirtschaftlichen Bereich auch mit den neuen Beitrittskandidaten – auch im westlichen Balkan – konsequent anwenden und umsetzen, ist das die Voraussetzung dafür, dass wir Mitglieder bekommen werden in der Zukunft, die auf diese Art und Weise auch eine Stärkung der Europäischen Union darstellen, aber auf der anderen Seite auch natürlich für sich selbst eine Stärkung erfahren.
Die Mitgliedschaft in der Europäischen Union ist für alle, die inzwischen dazugehören, eine Win-Win-Situation, auch dank der Kopenhagener Kriterien.
"
Michael GAHLER,2023-11-08,DE,EU enlargement policy 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-146-0000_DE.html,"  Michael Gahler (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Als der Ukraine-Berichterstatter hier, denke ich schon, dass ich sagen kann, dass wir heute einen historischen Beschluss der Kommission haben, in dem sie eben die Aufnahme von Beitrittsverhandlungen für die Ukraine vorschlägt, und ich konzentriere mich auf dieses Land.
Ich denke, es ist bemerkenswert, wie sich dieses Land trotz des russischen Angriffskrieges weiter auf dem Reformkurs befindet und damit zum Ausdruck bringt, wo es hingehört. Und diese Botschaft, die heute von der Kommission ausgeht und die auch dieses Parlament seit vielen Jahren deutlich zum Ausdruck bringt, ist, dass diese Ukraine unwiderruflich auf dem europäischen Weg ist und dass es auch keinen Weg zurück gibt – auch solange und egal in welcher Form, dieses Russland das Land völkerrechtswidrig mit einem Angriffskrieg überzieht.
Ich denke – wenn ich mir anschaue, was die Kommission hierzu im Detail aufgeschrieben hat, was die Ukraine auch noch bis März erreichen muss, damit auch der Verhandlungsrahmen verabschiedet werden kann –, das ist alles machbar, trotz des Krieges. Und wir sollten dem Land hierbei jegliche Unterstützung zuteilwerden lassen.
Ich bin zuversichtlich, dass dieser Ansatz, die Erweiterung auch mit den vielen anderen Ländern konkret voranzutreiben, innerhalb der Europäischen Union auch die Debatte auslöst, nämlich die Reform und die Entscheidungsfähigkeit so zu verbessern, dass wir uns dann gemeinsam mit den neuen Ländern für eine größere und entscheidungsfähigere EU einsetzen können.
"
Michael GAHLER,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-030-0000_DE.html,"  Michael Gahler (PPE).   – Herr Präsident, Kollegen! Der Angriff der Terrororganisation Hamas auf friedliche israelische Bürger war der größte Anschlag auf jüdische Zivilisten seit dem Holocaust. Israel hat das Recht der Selbstverteidigung im Rahmen des humanitären und des Kriegsvölkerrechts. Ich hoffe, dass es gelingt, die Geiseln zu befreien und dass hierbei auch die Hauptfinanziers der Hamas wie etwa Katar hinter den Kulissen hilfreich sind. Ich hoffe, dass es gelingt, in Gaza die Hamas-Strukturen zu zerstören.
Hamas ist für Israel ein zu allem entschlossener, tödlicher Gegner, hat aber auch für die Einwohner des Gazastreifens ein repressives, korruptes Regime errichtet. Ich hoffe, dass nach einem Ende der Militäraktion die Palästinensische Autonomiebehörde die Kontrolle wieder übernehmen wird können, und bis dahin erwarte ich, dass die Leiden der Zivilbevölkerung begrenzt werden. Die Zivilisten in Gaza sind so unschuldig wie die in Israel. Die Verantwortung für das, was auf die Attacke gegen Israel folgt, liegt bei Hamas, die auf die Menschen in Gaza keine Rücksicht nimmt. Es ist gut, dass wir die humanitäre Hilfe verstärken. Ich würde mir wünschen, dass die Finanziers von Hamas ihre Mittel für diesen Zweck umwidmen.
Was müssen wir tun, damit ein nächstes Gaza nicht mehr stattfindet? Ich habe als Abgeordneter seit 1999 das dritte oder vierte Gaza erlebt. Es wird jedes Mal schlimmer. Es braucht einen Versuch, den Friedensprozess wieder in Gang zu bringen – eine vereinbarte Agenda von EU und USA, die Israel und die Palästinenser an einen gemeinsamen Tisch bringt und relevante Nachbarn wie Ägypten, Jordanien und Saudi—Arabien miteinschließt. Die Extremisten auf beiden Seiten dürfen ihre Ziele nicht erreichen. Die Israelis werden nicht ins Meer getrieben und die Palästinenser nicht über den Jordan nach Jordanien. Packen wir es so bald wie möglich an!
"
Michael GAHLER,2023-10-17,EN,"Establishing the Ukraine Facility (A9-0286/2023 - Michael Gahler, Eider Gardiazabal Rubial)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-116-0000_EN.html,"  Michael Gahler (PPE).   – Madam President, thank you, colleagues, for the broad support as usual, and I ask the referral back to the Committee for Interinstitutional Negotiations according to Rule 59(4) of our Rules of Procedure.
"
Michael GAHLER,2023-10-16,DE,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-062-0000_DE.html,"  Michael Gahler,  Berichterstatter. – Herr Präsident! Ich freue mich, Ihnen, liebe Kolleginnen und Kollegen, und auch der Kommission das Ergebnis unserer gemeinsamen Arbeit zur Ukraine-Fazilität vorstellen zu können. Ich bin stolz, Ihnen mitteilen zu können, dass es erneut gelungen ist, in der gemeinsamen Sitzung von Auswärtigem Ausschuss und Haushaltsausschuss ein Abstimmungsergebnis zu erzielen, das den breiten Konsens dieses Hauses seit Beginn des verbrecherischen vollumfänglichen russischen Angriffskrieges gegen die Ukraine widerspiegelt. Mit 86 Ja-Stimmen bei nur sechs Ablehnungen und zwei Enthaltungen haben wir ein deutliches politisches Signal gesetzt. Dieses Signal geht in die kämpfende Ukraine, in unsere Mitgliedstaaten, aber auch an den Aggressor. Wir unterstützen die Ukraine während des Krieges, wir unterstützen die Ukraine beim Wiederaufbau, wir unterstützen die Ukraine auf ihrem Weg in die Europäische Union. Höre, Putin! Die Ukraine kehrt niemals in den Gulag zurück!
Ich bedanke mich bei meiner Ko-Berichterstatterin, Frau Eider Gardiazabal Rubial, als Vertreterin des Haushaltsausschusses und der S&D-Fraktion für das gute Einvernehmen und die effiziente Zusammenarbeit, die eine gute Führung der Beratungen ermöglicht haben. Auch den Kolleginnen und Kollegen Schattenberichterstattern der verschiedenen Fraktionen in unseren beiden Ausschüssen gilt mein Dank für zahlreiche hilfreiche Beiträge und besonderes Engagement. Wir arbeiten unter dem besonderen Zeitdruck, bis Ende des Jahres diese Verordnung unter Dach und Fach zu bringen. Die rechtzeitige heutige Debatte und die morgige Abstimmung wären nicht möglich gewesen ohne die großartige Arbeit unserer Teams von Mitarbeitern in den Ausschüssen, Fraktionen und den Abgeordnetenbüros.
Meine Damen und Herren! Mit der Ukraine-Fazilität sollen Wiederaufbau, Modernisierung und Heranführung der Ukraine an die Europäische Union verzahnt werden. Das ist ein ehrgeiziges Vorhaben. Noch während des Krieges beginnen Ukrainer und die EU, an der gemeinsamen europäischen Zukunft zu arbeiten. Für den Wiederaufbau soll die Ukraine einen sogenannten Ukraine-Plan vorlegen. Das wird ein Masterplan. Er wird von der Regierung vorbereitet, muss aber auch mit den Gemeinden und Regionen sowie mit der Zivilgesellschaft entwickelt werden. Das letzte Wort – das letzte ukrainische Wort – für solch einen Plan muss aber die Werchowna Rada, das ukrainische Parlament haben. 
Der umfangreiche Wiederaufbau und die Modernisierung können aus öffentlichen Kassen allein nicht geleistet werden. Die Fazilität wird daher Bürgschaften und Zuschüsse ermöglichen, um Investitionen des Privatsektors früher in die Ukraine zu holen, als dies in der gegenwärtigen Kriegssituation zu erwarten wäre. Dabei wollen wir einen Akzent der Unterstützung für die ukrainischen Kleinunternehmer und mittelständischen Unternehmer setzen.
Meine Damen und Herren, liebe Kolleginnen und Kollegen! 50 Milliarden Euro sind eine Menge Geld und eine sehr große solidarische Unterstützung seitens der EU. Wir sprechen daher auch die Sicherungsmaßnahmen an gegen Missbrauch und Verschwendung, aber auch gegen Korruption. Wir verlangen Transparenz und Kontrollen und haben entsprechende Vorschläge eingebracht. Es ist in diesem Zusammenhang aber auch ermutigend und sinnvoll, die Bereitschaft der hervorragend qualifizierten zivilgesellschaftlichen Organisationen der Ukraine aufzugreifen und ihnen Monitoring-Aufgaben zu übertragen, wo staatliche und europäische Strukturen überfordert werden. Die Ukraine verfügt bereits heute über entsprechende Erfahrungen, die wir nach dem Partnerschaftsprinzip übernehmen wollen.
Meine Damen und Herren, es ist sehr wichtig, dass die Ukraine nicht nur den Krieg gewinnt, sondern auch die Demokratie auf allen Ebenen stärkt und nachhaltigen Wohlstand für Bürgerinnen und Bürger schafft – mit der Hilfe der Europäischen Union. Slawa Ukrajini! Za peremohu!
"
Michael GAHLER,2023-10-16,EN,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-097-0000_EN.html,"  Michael Gahler,  rapporteur. – Mr President, thank you very much, first of all, to the large majority of speakers here. Thank you for reconfirming our broad consensus.
I need not go into any further details in this regard, but I would like to say to those who are closest to Putin in this House that they really have no right to claim that there is corruption in Ukraine. Who is the godfather of corruption, of kleptocratic structures? That is Putin, who wants with his allies to regain control of this country.
And rest assured that this Facility, among other things, will see to it that there is a control of the finances. There is already anti-corruption control working in Ukraine: the National Anti-Corruption Bureau, the Specialised Anti-Corruption Prosecutor’s Office, the ProZorro system for public procurement. And there is the political will of the real reformers, and there is the vigilance of the civil society in Ukraine that we are also including in strengthening here. So far I think this will be one of the most controlled financial transactions that we have ever seen.
And there was the other argument, which said that we want to colonise Ukraine with our entrepreneurs. Well, the only one who wants to colonise Ukraine is Putin. He is the slaveholder of his own country and wants to establish even a Stalinist or a fascist regime back in Ukraine. He will not succeed.
But I can say something: our investment in this country makes this country also safer. That was the case for post-war West Germany, where some argued: ‘Well, there are so many Americans and Westerners coming and buying things’. First of all, nothing was taken away.
The same will be the case in Ukraine: nobody takes anything away.But there will be a higher interest in this country staying safe and on the side of freedom and democracy. And so far, I welcome all bigger and smaller investors in Ukraine to contribute their share for the reconstruction of the country. I think that it will be a good investment because this country will at the end be an asset to the European Union.
Once again, Slava Ukraini.
"
Michael GAHLER,2023-10-03,EN,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-354-0000_EN.html,"  Michael Gahler (PPE).   – Madam President, colleagues, we are where we are: Azerbaijan’s unilateral violent action has been widely condemned and rightly so.
Let us now take a people-centred approach: helping Armenia to address the humanitarian challenges resulting from more than 100 000 refugees, demanding the establishment of an international presence of observers to reassure the remaining population of their safety – the framework could be the UN, the OSCE, the Council of Europe or the Red Cross, all renowned organisations where Azerbaijan is a full member – and engaging President Aliyev by his own promises that those citizens can live safely in their homeland.
An international presence would be a prerequisite for that, and this guarantee must not apply only to those few who remained. We must demand that those who fled in panic are encouraged and reassured that it is safe to return home. Ethnic cleansing must not be the lasting and final result of this violent action.
Let us also signal to the democratically elected government of Prime Minister Pashinyan that if Russia abandons them, we will not. I think we should start negotiations on a visa-free regime. That could be a sign of hope that they are not alone.
"
