MP,Date,Language,Title,Url,Content
Monika HOHLMEIER,2023-12-13,DE,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-364-0000_DE.html,"  Monika Hohlmeier (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Die Entwicklungen in der Slowakei sind besorgniserregend. Regierungschef Fico hat gemeinsam mit seiner neuen sozialdemokratischen Regierung – das sind keine Rechtsaußen, die kommen aus der Sozialdemokratie – beschlossen, erstens Strafen für Korruption deutlich zu verkürzen, Verjährungsfristen so kurz zu machen, dass Verurteilungen letztendlich – gerade seiner besonderen Vetternwirtschaftler – nicht mehr möglich sind bzw. sie wieder in Freiheit gelangen.
Diese von Fico und seiner Regierung beschlossenen Schwächungen des Rechtsstaats stellen aus meiner Sicht einen fundamentalen Bruch mit den Anstrengungen der letzten Jahre dar, in denen nach der Ermordung des Journalisten Ján Kuciak und seiner Frau mühselige erste Fortschritte gegen die mafiösen Strukturen in der Slowakei eingeführt worden sind. Fico stand selbst gemeinsam mit einigen seiner Kombattanten unter Verdacht, diese Vetternwirtschaft begünstigt zu haben.
Ich möchte sehr deutlich darauf hinweisen, dass in der ARF – in Bezug auf die Auszahlung der entsprechenden Mittel – im sogenannten Meilenstein 15.5 „Korruptionsbekämpfung und Stärkung der Integrität und Unabhängigkeit der Justiz“ steht und im Meilenstein 16.1 „Reformen zur wirksamen Bekämpfung von Korruption und Geldwäsche“.
Fico hat das Gegenteil getan. Aus diesem Grund bitte ich die Kommission dringlichst, dass sie entsprechend die Vergabe dieser Mittel rückgängig macht, denn ich kann nicht verstehen, warum 662 Millionen Euro zum jetzigen Zeitpunkt freigegeben werden, wenn genau das Gegenteil von dem getan wird, was in den Meilensteinen steht. Sie können nicht als erfüllt betrachtet werden. Ich bitte die Kommission, zu handeln.
"
Monika HOHLMEIER,2023-10-18,DE,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-246-0000_DE.html,"  Monika Hohlmeier (PPE).   – Herr Präsident, Herr Kommissar, lieber Herr Präsident Tony Murphy, lieber Jan Gregor, ein herzliches Grüß Gott an das gesamte Team des Europäischen Rechnungshofes. Ich möchte mich gleich am Anfang sehr herzlich dafür bedanken, dass der Rechnungshof uns wieder eine sehr valide und sehr gute Basis für unsere Arbeit im Haushaltsausschuss überbracht hat.
Der Bericht stellt uns natürlich schon vor ein paar Herausforderungen. Wir werden uns tatsächlich mit diesen Fragen der Ausschreibungen im Bereich der Kohäsion noch einmal intensiver auseinandersetzen müssen. Als zweites ist es für mich erstaunlich, dass es im Bereich der Landwirtschaft trotz aller Satellitensysteme immer noch die Möglichkeit gibt, dass du eine Zitronenfarm hast, die gar nicht existiert, wo kein einziger Zitronenbaum wächst. Das kann man per Satellit überall erkennen, ist leicht überprüfbar. Dass das noch vorkommt, ist für mich extrem erstaunlich.
Was für mich auch immer wieder erstaunlich ist: dass wir seit Jahren beklagen, dass das Thema förderfähige Personalkosten im Bereich Horizon – im Besonderen für kleinere und mittlere Strukturen – sichtlich größere Probleme hervorruft, aber immer noch nicht gelöst ist. Ich hoffe, dass das jetzt im Rahmen von Pauschalen oder ähnlichem endlich gelöst werden kann, damit das so nicht mehr passiert.
Aber die größte Sorge gilt bei mir dem ARF. Wir haben erstens Schwierigkeiten damit, dass der Europäische Rechnungshof nicht einmal vollständigen Zugang zu Phoenix hat, was ich für nicht akzeptabel halte. Zweitens, dass immerhin fünf Prozent der Meilensteine – nicht einmal der Meilensteine – erfüllt gewesen sind. Dass drittens jetzt zum ersten Mal Doppelfinanzierungen auftauchen zwischen Kohäsion und ARF. Dass wiederkehrende nationale Aufgaben zum Teil finanziert werden, wie das in Spanien passiert ist. Dass es ebenfalls Probleme gibt damit, dass wir zwar Meilensteine erfüllen, aber die Leistung letztendlich nicht gemessen wird. Letzter Punkt: Es ist eigentlich ein Kriseninstrument, und das Kriseninstrument wird 2026 noch nicht vollständig erfüllt sein. Das besorgt mich. Es ist kein Kriseninstrument.
"
Monika HOHLMEIER,2023-10-17,DE,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-178-0000_DE.html,"  Monika Hohlmeier (PPE).   – Herr Präsident, Herr Kommissar! Der Haushalt 2024 steht ganz schön unter Druck und unter schwierigen Vorzeichen. Und weil sich die Kollegin vorhin darüber beschwert hat, die EVP sei angeblich gegen humanitäre Zahlungen: Die Aussage ist schlicht und einfach falsch – aber offen gestanden, von der Linken erwarte ich auch nichts anderes. Das, was wir fordern, und das, was ich auch in meinem Antrag fordere, ist, dass wir anerkennen bzw. verurteilen, was an Schwerstverbrechen gegen Babys, gegen Kinder, gegen Familien, gegen alte und gegen behinderte Menschen begangen worden ist. Das ist Ihnen zu hart, und deshalb wollen Sie eine Grundsatzabstimmung draufsetzen. Ich bin gespannt und wünsche Ihnen viel Freude damit, weil das auch öffentlich sehr klar aussagt, wie Sie mit Terrorismus umgehen.
Als zweites ist unser Verlangen, dass die Zahlungen überprüft werden – so wie die Kommission das selbst vorgeschlagen hat –, dass sie tatsächlich unter keinen Umständen an die Hamas gehen können. Dies ist notwendig und wichtig, und wir unterstützen ausdrücklich die humanitäre Hilfe, allerdings in der Form, dass es tatsächlich keine Möglichkeit gibt, sie zu missbrauchen, sondern dass sie wirklich der Zivilbevölkerung in Krankenhäusern, in den Altenheimen und den Menschen zugutekommt, die sie wirklich brauchen.
"
Monika HOHLMEIER,2023-05-31,DE,Breaches of the Rule of law and fundamental rights in Hungary and frozen EU funds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-145-0000_DE.html,"  Monika Hohlmeier (PPE).   – Herr Präsident, meine Herren Kommissare, lieber Herr Minister, liebe Ratspräsidentschaft, liebe Kolleginnen und Kollegen! Lassen Sie mich zu Anfang sagen: Jeder von uns wünscht sich, dass das Geld so rasch wie möglich den Ungarinnen und Ungarn zur Verfügung gestellt wird und ihnen hilft, sich wirtschaftlich aufzubauen und weiterzuentwickeln. Dazu muss es aber möglich sein, dass alle denselben Zugang dazu haben, dass alle Nichtregierungsorganisationen, alle Unternehmen, alle die Möglichkeit haben, tatsächlich auch von den Fonds profitieren zu können.
Und um hier eines klar zu sagen: Zur ungarischen Tradition gehört es nicht, dass das Geld größtenteils oder vielfach in kleptokratische Hände fällt. Zur ungarischen Tradition gehört es nicht, dass willkürliche Verordnungen über Nacht erstellt, dass Gerichtsurteile durch Verordnungen wieder aufgehoben, dass sektorenweise bestimmte Unternehmen mit Strafzöllen, mit diskriminatorischen Maßnahmen überzogen werden und dass diejenigen, die sich nicht nach dem Willen verhalten, bis hin zu Besuchen von Geheimpolizei alle möglichen diskriminierenden Maßnahmen über sich ergehen lassen müssen. Das alles gehört nicht zur ungarischen Tradition.
Und ich möchte sehr deutlich sagen, meine Herren Kommissare, dass es für mich wesentlich ist: Wenn Ungarn bereit ist, in Form einer Integritätsbehörde und dem nationalen Richterrat und ähnlichen anderen Maßnahmen das Justizwesen zu normalisieren und rechtsstaatlich zu gestalten, dann ist es aber notwendig, dass nicht per Ausnahmezustand dieselben Gesetze wieder aufgehoben werden können, die uns gegenüber vorher bestätigt worden sind, sobald das Geld angekommen ist.
"
Monika HOHLMEIER,2023-05-09,DE,Discharge 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-148-0000_DE.html,"  Monika Hohlmeier,  Berichterstatterin. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Zunächst einmal darf ich einen Dank an den Kollegen Jeroen Lenaers aussprechen, der nach mir sprechen wird, aber, Frau Präsidentin, nachdem Sie es gerade vorhin erst bei der Abstimmung angekündigt haben, nicht wissen kann, dass wir vorher beginnen. Ich bedanke mich auch ganz herzlich bei meinen Schattenberichterstatterinnen und —berichterstattern, die wir eine sehr gute Zusammenarbeit hatten. Herzlichen Dank an den Europäischen Rechnungshof und seine Mitglieder, lieber Tony Murphy und Jan Gregor, es sind ja beide hier mit anwesend. Ein herzliches Dankeschön für den Jahresbericht und den Sonderbericht und die hervorragende Zusammenarbeit.
Lieber Herr Kommissar, auch an Sie ein herzliches Dankeschön an die Kommission. Am Anfang war es bei ein paar Generaldirektionen in der Zusammenarbeit ein bisschen holprig, aber ich danke GD BUDG für die Unterstützung bei der Beförderung der Kooperation. Die größten Erfolge bei der Entlastung, die wir haben erzielen können, liegen, glaube ich, in vier Bereichen.
Als erstes: Wir wollen eine Digitalisierungsoffensive, und die Kommission hat hier ihre Unterstützung zugesagt. Wir brauchen dringend eine Verbesserung der Interoperabilität, nicht nur wegen der Transparenz und Rückverfolgung, sondern auch, um Bürokratieabbau voranzutreiben, Prozesse zu beschleunigen und Informationen schneller zu bekommen, als dies bisher der Fall ist. Deshalb brauchen wir nicht nur Arachne, weil das bisher ein riesiges Instrument, aber mit nicht allzu viel Mehrwert ist; wir brauchen echte interoperable Systeme.
Zweitens dann: Die Methodologie zu Teilzahlungen war eine der Kernforderungen im Bereich des ARF. Zunächst gab es noch keine, dann gab es eine, und anschließend gibt es jetzt auch noch eine Quantifizierung. Ich bedanke mich für die Schnelligkeit der Arbeit. Ich bedanke mich auch dafür, dass es mittlerweile eine interaktive Plattform gibt mit Informationen zu Projekten, die bereits realisiert werden oder feststehen und in der Realisierung sind, und auch Auskünfte zu den Endempfängern, die hier auch offensichtlich für jeden zur Verfügung stehen werden. Wir bekommen Informationen mittlerweile zu den 100 größten Empfängern nicht nur in einem Teilbereich, sondern für den gesamten ARF pro Mitgliedstaat und die werden wir auch entsprechend veröffentlicht erhalten. Dies waren tatsächlich für uns wunderbare Erfolge. Es bleiben aber noch einige Probleme übrig.
Erstens: Wir haben immer noch keine Information, wie viel Geld eigentlich wirklich die Realwirtschaft erreicht hat. Ich habe jetzt noch nochmal auch in Spanien nachgefragt. Mir wurde zugesagt, dass wir die Daten bekommen; ich habe bis heute immer noch keine bekommen. Das heißt, wir haben nach wie vor keine Information darüber: Wie viel Geld haben die Projektentwickler oder diejenigen, die Projekte machen, tatsächlich erhalten, und wie viel Geld ist eigentlich wirklich bei den Menschen angekommen?
Zweitens: Wir müssen feststellen, dass der ARF ziemlich langsam startet. Ursprünglich war er als ein schnelles Notinstrument gedacht, in Wirklichkeit verzögert sich die Implementierung. Bis zum heutigen Tage sind nur wenig Summen tatsächlich in der Realwirtschaft angekommen, und das ist einer der Punkte, die, glaube ich, am meisten vorangetrieben werden müssen. Wenn wir tatsächlich die Wirtschaft vorantreiben wollen, Arbeitsplätze vorantreiben wollen, Erholung vorantreiben wollen, dann bedeutet es in der Konsequenz: Die Projekte müssen realisiert werden, und sie müssen auch einen tatsächlichen Mehrwert haben und funktionieren.
Drittens: Wir erleben derzeit, dass ursprünglich von der Kohäsion Projekte in den ARF geschoben wurden, sprich in den Corona-Aufbaufonds. Jetzt werden vom Corona-Aufbaufonds wieder Projekte in die Kohäsion zurückgeschoben. Das heißt, wir haben einen munteren Verschiebebahnhof von unterschiedlichen Projekten. Das bedeutet, der ARF ist in der Schnelligkeit der Implementierung auch abhängig davon, ob die Mitgliedstaaten erstens adäquate Strukturen zum Umsetzen haben, zweitens davon, ob es, wie wir es in Spanien erlebt haben, eine ernsthafte Zusammenarbeit mit den Regionen gibt, sodass diese wirklich schnell davon profitieren können, was derzeit noch nicht so klappt, sondern nur langsam Schritt für Schritt klappt.
Ich habe den Eindruck, dass insgesamt bei der Umsetzung vielleicht der Ehrgeiz und die Aussagen nach außen bei manchen größer waren, als die tatsächliche Realität es wiedergibt. Also es gibt eine Menge zu tun. Trotzdem ein Dankeschön an alle Beteiligten für die gute Zusammenarbeit.
"
Monika HOHLMEIER,2023-05-09,DE,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-215-0000_DE.html,"  Monika Hohlmeier,  Berichterstatterin. – Frau Präsidentin, Herr Kommissar, lieber Herr Präsident, liebe Frau Ministerin! Jetzt habe ich dann alle Seiten, denn vorhin habe ich die Frau Ministerin dreistermaßen nicht mit erwähnt. Vielen herzlichen Dank, dass Sie da sind, es ist nämlich auch nicht immer üblich, dass gleich Ministerinnen bei uns da sind. Liebe Kolleginnen und Kollegen! Zunächst einmal würde ich gerne noch zum Thema Corona-Wiederaufbaufonds zwei, drei Bemerkungen machen.
Erstens: Lieber Herr Kommissar, wir werden auch die Thematik für zukünftige, von der Kommission geplante, ähnlich gelagerte Finanzierungsinstrumente, das Thema time gap ansprechen müssen. Wir werden deutlich machen müssen, dass es nicht sein kann, dass man Gelder für irgendeine Reform bekommt und die dann in seinem Haushalt im Mitgliedstaat vorübergehend erst einmal fünf Jahre liegen lässt, um dann, vielleicht fünf Jahre später, irgendwann einmal eine Investition zu tätigen. So war das nicht gedacht, vor allem dann nicht, wenn wir Schulden machen müssen dafür, denn wir müssen dafür anschließend im Haushalt die Zinsen bezahlen.
Als Zweites: Wenn man Notfallinstrumente macht, dann werden die Mitgliedstaaten aber auch diese Gelder konsequent ausgeben müssen. Unsere Erfahrungen in Spanien zeigen leider, dass von 41 Milliarden, die dort inzwischen angekommen sind, gerade mal vielleicht irgendwie 4—5 Milliarden im Maximum tatsächlich überhaupt bei den Unternehmen, bei den betroffenen Regionen tatsächlich angekommen sind. Das ist etwas, was die Zeitverzögerung klarmacht. Gleichzeitig haben wir in den Kohäsionsfonds mittlerweile derartig große Verzögerungen, wie wir sie noch nie vorher hatten. Darum werden wir uns darüber schon noch einmal intensiv verständigen müssen. Manchmal habe ich bei diesen Meilensteinen und Targets und Zielwerten auch den Eindruck, dass sie eher wandernden Sanddünen gleichen, als dass sie tatsächlich festgelegte Stationen sind.
Ein ganz persönliches Wort noch zu dem, was der Kollege Freund hier gegenüber einfach den Kolleginnen und Kollegen betrieben hat. Einfach nur Frau Le Pen und Herrn Farage zu nennen, ist schlicht und einfach nicht gerechtfertigt. Wir werden bei dem sogenannten Pensionsfonds, der für die Jahre gilt, in denen es noch keinerlei Pensionsberechtigung für Abgeordnete gegeben hat, auf Recht und Gesetz achten und nicht auf Populismus. Das heißt, das Präsidium muss nach Recht und Gesetz handeln und nicht nach dem, wie wir populistisch am besten vorwärtskommen. Ich glaube, so sachlich sollte man das Ganze auch handhaben.
"
Monika HOHLMEIER,2023-04-18,DE,Guidelines for the 2024 budget - Section III (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-344-0000_DE.html,"  Monika Hohlmeier (PPE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! In Bezug auf den Haushalt 2024 gibt es natürlich eine ganze Menge an Anliegen, aber ich möchte drei Schwerpunkte wählen. Erster Schwerpunkt: Die Gelder, die in den normalen Programmen außerhalb des ARF laufen – sprich alle Kohäsionsprogramme, Programme aus dem Agrarbereich, Programme aus all den Bereichen, die nicht auf den ARF bezogen sind –, sind derzeit im Investitionsbereich deutlich verzögert, vor allem im Kohäsionsbereich. Wir stellen gleichzeitig fest, dass der ARF Projekte austauscht gegen das Kohäsionsprogramm, das Kohäsionsprogramm wieder Projekte zurücktauscht mittlerweile in die ARF-Programme. Da bräuchten wir deutlich mehr Klarheit und Effizienz darüber, welches Projekt jetzt eigentlich wohin gehört und warum es eigentlich unter welchem Programm ausgegeben wird. Denn das ist ein munterer Verschiebebahnhof.
Als Zweites: Was ich damit meine, dass wir uns selbst behindern bei der Verausgabung: Die Bürokratie in Bezug auf die Leitlinien zu den sogenannten Interessenkonflikten ist inzwischen so kompliziert und rechtlich so unklar, dass in den Mitgliedstaaten regelrecht Programme brachliegen, weil ununterbrochen völlige Unklarheiten in Bezug auf die Umsetzung zu diesem Themenpunkt bestehen.
Als Drittes möchte ich das Thema Zinsen erwähnen. Wir brauchen dringend einen präzisen Überblick darüber, wie viel Zinsen eigentlich anfallen werden für den ARF und wie das ausschaut, gerade 2024. Ich habe noch gut in Erinnerung, dass bei der letzten conciliation die Zinsen sehr schnell nach oben und nach unten gegangen sind – aus verhandlungstaktischen Gründen, hatte ich eher den Eindruck. Aber lasst uns darüber gut reden.
"
Monika HOHLMEIER,2023-03-15,DE,Need for immediate reform of the internal rules of the Commission to ensure transparency and accountability in light of alleged conflicts of interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-289-0000_DE.html,"  Monika Hohlmeier,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin! Ganz herzlichen Dank für Ihr Statement. Im ersten Moment, muss ich ehrlich sagen, war ich ein bisschen verblüfft des Guten, weil ich dachte, dass eigentlich das Budget der Europäischen Union ausreichen müsste, um Generaldirektoren, Direktoren oder Beamte der Europäischen Union, wenn sie zu Kongressen oder Konferenzen fahren sollen, die einen wesentlichen Mehrwert bringen – in den Verhandlungen, in den diplomatischen Beziehungen, in welcher offiziellen Funktion auch immer –, dann sollte dafür das Budget der Europäischen Union zur Verfügung stehen. 
Es sollten keine Einladungen von dritter Seite erfolgen, die am Ende letztendlich auch einen Verdacht darauf lenken können, dass dadurch potenziell die Unvoreingenommenheit, die Neutralität und die Objektivität des zuständigen Generaldirektors oder des zuständigen Personals der Europäischen Kommission kompromittiert sein könnte. Ich halte es für zwingend erforderlich, Frau Kommissarin, dass es da diesbezüglich eine ganz klare Regelung gibt.
Dasselbe gilt für mich übrigens auch dann, wenn es zum Beispiel Kontrollen innerhalb der Mitgliedstaaten gibt. Da kann es nicht angehen, dass die Mitgliedstaaten einladen, sondern da muss das Budget der Europäischen Union entsprechend ausgestattet sein, dass Reisen von Beamten, die aus dienstlichen Gründen stattfinden, von diesem Budget abgedeckt werden, um jeden Zweifel einfach auszulöschen.
Man muss auch ehrlich zugeben, wenn man Reisen in ein Land hat, das besondere Interessen in Bezug auf Visaliberalisierung, in Bezug auf besondere Flug- und Landerechte hat, wo es auch innerhalb der Europäischen Union gegenüber diesem Land Proteste gibt, dass es einen unfairen Wettbewerb gibt, dass es unfaire Bedingungen in Bezug auf die Wettbewerbssituation gibt.
Wenn ich mir Qatar Airways anschaue, wenn ich mir Diskussionen anschaue mit Fluglinien, die Kerosin zu deutlich vergünstigten Preisen anbieten, und vieles andere, dann muss es gelten, das striktest jede Reise, die gemacht wird, wirklich dienstlichen Bezug hat und zweitens aus dienstlichem Interesse erfolgt und aus dem europäischen Budget bezahlt wird. Alles andere würde uns in eine falsche Situation bringen, in der auch das Vertrauen der Bevölkerung empfindlich gestört würde.
"
Monika HOHLMEIER,2023-03-15,DE,Need for immediate reform of the internal rules of the Commission to ensure transparency and accountability in light of alleged conflicts of interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-298-0000_DE.html,"  Monika Hohlmeier (PPE),  Wortmeldung nach dem Verfahren der „blauen Karte“. – Ich habe nur eine kurze Frage an den Redner, Frau Präsidentin. Wir reden hier immer von einer Ethikbehörde. Das macht hier gar keinen Sinn. Wir müssen diese Praxis schlicht und einfach verbieten. Denn es macht auch keinen Sinn, wenn sie ethisch kontrolliert wird. Wir müssen die Praxis verbieten, dass Beamte auf Kosten von Drittstaaten zu Verhandlungen in diese Drittstaaten reisen. Das gehört einfach verboten. Darüber braucht man nicht mal ethisch zu verhandeln.
"
Monika HOHLMEIER,2023-02-13,DE,EU funding allocated to NGOs incriminated in the recent corruption revelations and the protection of EU financial interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-13-INT-1-168-0000_DE.html,"  Monika Hohlmeier,  im Namen der PPE-Fraktion. – Frau Präsidentin, lieber Herr Kommissar, liebe Kolleginnen und Kollegen! Zunächst einmal: Nichtregierungsorganisationen sind ein ganz wichtiger Bestandteil unserer Gesellschaft, und – der Kommissar hat es sehr deutlich zum Ausdruck gebracht – sie übernehmen unerlässliche und wichtige Aufgaben. Ich bin selbst in mehreren Organisationen engagiert und bin mir deshalb sehr bewusst und weiß aus erster Hand, wie wertvoll die Arbeit von NGOs und auch von Stiftungen ist.
Deshalb ist es umso schlimmer, dass einige schwarze Schafe nun die Arbeit und den Ruf von seriösen Organisationen zu diskreditieren drohen. Der Korruptionsskandal um die ehemalige Vizepräsidentin Kaili hat gezeigt, dass NGOs viel zu einfach und unbeobachtet von Drittstaaten oder kriminellen Strukturen als Vehikel für ihre Interessen und kriminellen Unterfangen missbraucht werden können.
Daher brauchen wir klare Regeln bezüglich der Transparenz, der Finanzierung und der Tätigkeiten von NGOs. Wir brauchen ein europäisches Äquivalent zum US Foreign Agents Registration Act (FARA). Es darf nicht vorkommen, dass Drittstaaten und Kriminelle NGOs als Tarnorganisationen dazu nutzen, um verschleiert Einfluss auf politische Entscheidungsprozesse zu nehmen, Bestechungsgelder zu zahlen und EU-Gelder abzugreifen.
Es ist zudem schon mehrfach vorgekommen, lieber Herr Kommissar, trotz aller angeblicher scrutini, dass selbst Organisationen, die vom Verfassungsschutz beobachtet werden, noch finanzielle Mittel erhalten haben. Hier müssen wir deutlich wachsamer sein. 
Die finanziellen und nicht finanziellen Zuflüsse von NGOs müssen entsprechend offengelegt werden. Ich muss ehrlich sagen, bei den Organisationen, die ich vertrete, ist es überhaupt kein Problem, dies zu tun. Das heißt nicht, dass man sie in einer öffentlichen Liste preisgibt, sondern dass man sie entsprechend für die Auditoren und die notwendigen Organisationen zur Prüfung vorlegt.
Als Zweites müssen aber auch die Ausgaben letztendlich überprüft werden dahingehend, ob sie auch dahin fließen, wo sie tatsächlich hinfließen sollen.
Dann als Drittes: Die Einhaltung der demokratischen Rechenschaftspflicht und Achtung der europäischen Werte ist für mich sine qua non. Ich möchte sagen, dass NGOs die Grundwerte der EU respektieren müssen und dies auch in ihrer Organisationsstruktur widerspiegeln müssen. Und das erwarten wir von der Kommission, dass sie das auch systematisch überprüft. 
"
