MP,Date,Language,Title,Url,Content
Moritz KÖRNER,2023-12-13,DE,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-232-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, liebe Kolleginnen und Kollegen! Ein Jahr nach Katargate – man kann jetzt noch weitere Informationen lesen, das muss man sich nur bei Politico anschauen. Da ist ganz detailliert aufgeschrieben: eine Excel-Liste, wo alle Fälle da sind, wo man tatsächlich die Institution beeinflussen wollte, dann die schönen SMS-Austausche, wo Frau Kaili noch versucht hat, der Parlamentspräsidentin Tickets für die WM in Katar anzubieten, die Frau Metsola übrigens abgelehnt hat – also viele schöne Details sind da noch da.
Und jetzt diskutieren wir hier alle, schlagen wieder vor, was wir an Maßnahmen gemacht haben, aber der zentrale Punkt ist doch der: Ein Jahr später haben wir immer noch keine Anklage in diesem Fall. Wir haben aber einen Interessenkonflikt des Chefermittlers der belgischen Behörden, und diese Tollpatschigkeit der belgischen Korruptionsermittlungen zieht die Ermittlungen unglaublich in die Länge. Ich sage hier ganz klar: Je mehr Fehler die belgischen Behörden machen, umso stärker werden auch unsere Institutionen tatsächlich noch beschädigt. Die Demokratieverächter in Europa, die reiben sich die Hände – auch gerade in Ungarn –, denen wir ja jetzt heute noch einmal zusätzliche Milliarden geben, die wieder in korrupten Taschen landen werden.
Ich bin immer für mehr Transparenz und Antikorruptionsregeln, aber wer 100 000 Euro in bar nimmt, der wird sie auch in Zukunft in kein Transparenzregister eingeben. Das müssen wir mit dem Strafrecht regeln, und da müssen wir auch klar vorgehen.
"
Moritz KÖRNER,2023-12-13,DE,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-358-0000_DE.html,"  Moritz Körner (Renew).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Die Ereignisse in der Slowakei sind tatsächlich dramatisch und die Kommission hat richtig beschrieben, dass sie sehr besorgt ist. Aber ich muss ganz ehrlich sagen: Wenn ich hier heute Abend diese Debatte erlebe, zum gleichen Zeitpunkt, wirklich zum gleichen Zeitpunkt, wie dieselbe Kommission, die jetzt sehr besorgt über die Rechtsstaatlichkeit dort ist, gleichzeitig 10 Milliarden Euro an gesperrten Geldern an Ungarn wieder freigibt, dann muss man doch sagen: Worüber debattieren wir hier überhaupt?
Robert Fico ist ein Mini-Orbán. Und heute Abend hat die EU-Kommission ihm das laute und deutliche Signal gesendet: Es ist am Ende alles egal. Selbst wenn man den Rechtsstaatsmechanismus anwendet, selbst wenn man alle Maßnahmen macht, man braucht nur mit einem Veto die EU-Kommission unter Druck zu setzen und zu erpressen und sie wird einem das Geld wieder freigeben.
Damit stirbt heute Abend die Glaubwürdigkeit der Europäischen Kommission in Fragen der Rechtsstaatlichkeit. Dafür sind Sie persönlich verantwortlich, Frau von der Leyen, und diese große Verantwortlichkeit, die Sie tragen für die Zerstörung der zentralen Werte der Europäischen Union, die werden wir Ihnen ankreiden. Ich finde, Sie sollten zurücktreten.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Moritz KÖRNER,2023-12-13,DE,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-360-0000_DE.html,"  Moritz Körner (Renew),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Die Frage tut überhaupt nichts zur Sache. Erstens war ich dort schon auf dem letzten ALDE-Council und habe die Slowakei auch vor Ort besucht. Aber die Frage zeigt ja gerade wieder, dass hier ein Whataboutism stattfindet von Ihnen, von den Rechten, dass Sie sich eigentlich mit der grundsätzlichen Frage nicht auseinandersetzen wollen, dass Sie sich nicht mit den grundsätzlichen Fragen auseinandersetzen wollen, wo die Rechtsstaatlichkeit, wo Korruptionskontrolle in Europa noch funktioniert.
Und leider muss ich sagen: Diesen Menschen dort, die Rechtsstaatlichkeit und europäische Werte mit Füßen treten wollen und dann so frech sind, mit Whataboutismen zu kommen – diesen Menschen noch hat Frau von der Leyen heute das größte Geschenk gemacht. Es ist eine Schande!
"
Moritz KÖRNER,2023-10-18,DE,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-248-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, Herr Kommissar, Herr Präsident des Europäischen Rechnungshofs! Vielen Dank für diesen Bericht, der zeigt, dass wir bei der Kontrolle der EU-Gelder immer noch viel zu tun haben. Und natürlich sind wir alle auch ein Stück weit erstaunt und entsetzt zu sehen, wie die Fehlerquote gestiegen ist. 
Aber wenn wir doch mal ehrlich sind, kann uns das nicht verwundern. Wir sind jetzt am Ende der Finanzierungsperiode der Kohäsionsgelder, und da wird gerade verzweifelt versucht, das Geld in den Mitgliedstaaten, die noch besonders viel Geld übrighaben, auszugeben. Und natürlich gehen dann die Fehlerquoten hoch, das ist doch selbstverständlich.
Und da müssen wir als Parlamentarier uns auch mal fragen, wie wir das eigentlich bekämpfen wollen. Es ist mehr als genug Geld da, es wird nicht abgerufen, da sind die riesigen Absorptionsprobleme – und gleichzeitig haben wir jetzt einen Haushalt, der so hohe Budgetverpflichtungen hat wie noch nie, der so hohe Schulden hat wie noch nie. Das heißt, wir haben die drängenden Probleme, die wir auch gestern in der Haushaltspolitik diskutiert haben: Auf der einen Seite brauchen wir in manchen Bereichen ganz, ganz dringend Geld – wo uns jetzt die Zinsen drücken und wo wir mehr für Migration und für die Ukraine brauchen. Und in anderen Bereichen liegt das Geld herum und wird mit verzweifelten Mitteln ausgegeben, um dann Fehler zu produzieren.
Das ist die gesamte europäische Haushaltspolitik, die hier dargelegt ist. Das wissen wir eigentlich alle im Parlament, in der Kommission, und der Rechnungshof sagt es auch. Wir müssten es nur ändern. Und wir müssten mal hingehen und sagen: Die Kohäsionspolitik ist so, wie sie ist, gescheitert. Wir müssen sie anders aufstellen, wir müssen sie stärker auf die zukünftigen Prioritäten konzentrieren.
"
Moritz KÖRNER,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-383-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Natürlich müssen wir unsere Demokratie gegen Desinformation, Lüge, Hass und Hetze schützen. Aber genauso wichtig für unsere Demokratie ist Meinungsfreiheit. Und genau dieser Spagat – was ist Hetze, was ist Hass, was ist falsch, was ist eine Meinung, die mir nicht gefällt? –, der ist in einer Demokratie ganz, ganz eng. Genau deshalb sollte das Gesetz über digitale Dienste ein liberaler Regulierungsrahmen sein. Wir wollten nicht vorgeben, was genau falsch ist, sondern wir sollten sagen: Illegale Inhalte werden gelöscht, aber ansonsten geben wir Prozesse vor, wie wir das besser moderieren wollen.
Ich fürchte jetzt, dass wir in dieser Krise mit sehr schnellen Maßnahmen Gefahr laufen, dass wir zu harsch vorgehen. Ich finde es ehrlich gesagt ein bisschen besorgniserregend, dass wir Twitter – oder X, wie es jetzt heißt – kritisieren, aber dass die Kommission genau darüber jetzt kommuniziert, wie sie gegen die Plattformen vorgeht. Das passt doch ehrlich gesagt nicht ganz zusammen. 
Sorgen wir dafür, dass wir Demokratie, Meinungsfreiheit schützen, dass wir gegen Fake News vorgehen, aber seien wir auch vorsichtig damit. Gehen wir faktisch vor, gehen wir mit Evidenz vor. Das sollten wir durchsetzen. Und das ist schwieriger als die schnelle Botschaft, die schnelle Meinung in einer solchen Krise.
"
Moritz KÖRNER,2023-10-17,DE,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-167-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, liebe Kolleginnen und Kollegen! Die Enge des Haushalts und die Zinslasten zwingen uns eigentlich dazu, noch stärkere Prioritäten zu setzen. Wir müssen uns fragen, wo wir im Haushalt wirklich investieren wollen, und wir müssen uns auch mal anschauen, welche Gelder nicht abfließen, z. B. die Kohäsionsmittel. Auch hier sind wir immer noch nicht bereit, genug Prioritäten zu setzen – beim Rat, bei den Mitgliedstaaten nicht, aber auch im Europäischen Parlament müssen wir noch stärker darauf achten, wie wir tatsächlich auch mit den uns zur Verfügung gestellten Mitteln auskommen.
Ich will aber auch zu den aktuellen Ereignissen hier etwas sagen. Uns haben alle die Bilder aus Israel schockiert, und ich hätte mir gewünscht, dass die Nachricht vom Montag, die die Kommission in die Welt gesetzt hatte, Wirklichkeit geworden wäre. Dass wir wirklich gesagt hätten: Wir stoppen erst einmal die Gelder und stellen dann sicher, dass wirklich kein Cent Richtung Hamas fließen kann. Aber genau das tun wir leider jetzt viel zu wenig. Natürlich muss es dann wieder humanitäre Hilfe geben. Aber wir müssen doch heute feststellen: Nie wieder darf auch nur ein Cent indirekt in die Nähe dieser Terroristen gelangen, nie wieder darf nur ein Cent in antisemitische Schulbücher fließen. Nie wieder ist jetzt – das muss auch im europäischen Haushalt ankommen!
"
Moritz KÖRNER,2023-10-04,DE,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-398-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, Herr Kommissar! Auf Netflix gibt es im Moment eine der beliebtesten Serien, das ist Heartstopper. Da verlieben sich Nick und Charlie, zwei Teenager in der Highschool – eine Serie, die wirklich super ist. Ich kann sie allen hier im Haus wärmstens empfehlen, insbesondere den Rechten. Da lernen Sie noch richtig etwas in Sachen Toleranz, wenn Sie die Serie schauen.
Aber eins kann ich Ihnen versichern: Schwul wird man vom Netflix-Schauen nicht. Trotzdem gibt es Länder in Europa, die Serien, Filme, Bücher, alles verbieten wollen, wo homosexuelle Charaktere vorkommen, alles, was sogenannte LGBT-Propaganda sei und gefährlich sei für Kinder und Jugendliche.
Aber was passiert eigentlich, wenn ein heterosexueller Jugendlicher zum Beispiel Heartstopper schaut? Er wird vielleicht etwas toleranter sein, sich in jemand anderen hineinversetzen können. Ein homosexueller Jugendlicher wird sich aufgehoben fühlen, der sieht jemanden, der merkt, dass er nicht alleine ist. Und das ist dringend notwendig. Denn noch heute haben Jugendliche in Europa eine zehnmal höhere Selbstmordgefährdung, wenn sie nicht heterosexuell sind. Deswegen, wer Kinder wirklich schützen will − was Sie behaupten −, der müsste mehr investieren in Aufklärung, in Toleranz, in ein Umfeld, in dem sich jeder wohlfühlen kann.
Sie wollen aber keine Kinder schützen. Ich habe noch kein einziges Argument in der Debatte eben gehört, bei dem es wirklich darum geht, Kinder zu schützen. Es geht Ihnen um Ihre Propaganda, es geht Ihnen darum, auf Kosten von Minderheiten Ihre Stimmung zu machen, und das hat in Europa nichts verloren.
"
Moritz KÖRNER,2023-10-04,DE,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-420-0000_DE.html,"  Moritz Körner (Renew),  Frage nach dem Verfahren der „blauen Karte“. – Ich mache es kurz, Herr Präsident. Der Kollege hat die erste Frage der Kollegin nicht beantwortet. Sie haben ja ausgeführt, dass quasi ein Unterschied zwischen heterosexuellen und homosexuellen Beziehungen besteht, weil aus heterosexuellen Beziehungen ein Kind hervorgehen kann.
Wollen Sie dann auch heterosexuellen Paaren, die keine Kinder biologisch bekommen können, Rechte wegnehmen? Denn das wäre ja die Konsequenz Ihrer Argumentation. Wie sehen Sie das dann?
"
Moritz KÖRNER,2023-10-03,DE,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-026-0000_DE.html,"  Moritz Körner (Renew).   – Frau Präsidentin, Herr Kommissar! Natürlich setzt dieser Bericht die richtigen Schwerpunkte. Wir brauchen mehr Geld, vor allem in der Unterstützung der Ukraine und auch für weitere Prioritäten des Parlaments, und natürlich müssen wir die Zinsen für NextGenerationEU, die gestiegen sind, auch bezahlen. Aber es wird eben schwierig, in den Mitgliedstaaten mehr Geld für den EU-Haushalt zu bekommen, denn auch dort sind diese finanziellen Zwänge da, auch dort muss mehr für Zinsen ausgegeben werden.
Deswegen sollten wir doch mal schauen: Wir haben mit NextGenerationEU 750 Milliarden Euro on top gepackt, und schon jetzt sehen wir, dass das Geld schlecht abfließt; wir sehen, dass die Kohäsionsgelder noch schlechter abfließen. Wir sollten so mutig sein, hier auch neue Prioritäten zu setzen und Geld dort umzuschichten, das dort nicht gebraucht wird.
Gleichzeitig erreichen uns aber auch heute neue Medienberichte, dass die Kommission plant, Teile der Gelder an Ungarn wieder freizugeben, um die ungarische Unterstützung zu bekommen, mehr Geld für den EU-Haushalt herbeizuführen. Ich will hier ganz klar für das Parlament sagen: Wenn Sie in diese Richtung gehen, Frau von der Leyen, dann werden Sie den erbitterten Widerstand des Europäischen Parlaments bekommen. Es kann nicht sein, dass wir uns die Zustimmung zu mehr Geld mit einem dreckigen Deal mit Orbán erkaufen. Es darf keine Rabatte mehr auf Rechtsstaatlichkeit geben in Europa.
"
Moritz KÖRNER,2023-10-03,DE,"Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (A9-0273/2023 - Jan Olbrycht, Margarida Marques)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-158-0000_DE.html,"  Moritz Körner (Renew).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Heute Morgen haben uns Berichte erreicht, dass die Kommission darüber nachdenkt, Teile des Geldes, das gegenüber der Regierung von Ungarn eingefroren wurde, freizugeben im Austausch dafür, Unterstützung für ein stärkeres EU-Budget zu bekommen. Ich finde, wir müssen heute klarmachen: Gerade als proeuropäische Fraktion haben wir für diesen Rechtsstaatsmechanismus gekämpft. Er ist ein Erfolg dieses Europäischen Parlaments.
Wir machen eindeutig klar: Es darf keinen dreckigen Deal mit Orbán geben, Frau von der Leyen!
(Beifall)
Es darf kein Geld freigegeben werden, bis alle Kriterien erfüllt sind und wir wieder in Ungarn stärkere Rechtsstaatlichkeit haben! Deswegen lese ich den entsprechenden mündlichen Änderungsantrag vor:
Insists that changes to the MFF shall have no negative impact on the protection of the EU budget against breaches of the rule of law. Reiterates that funds that are currently withheld shall not be released to Member States as long as the conditions for freeing the funds have not fully been met. Please support this amendment. 
"
Moritz KÖRNER,2023-07-11,DE,2023 Annual Rule of law report (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-260-0000_DE.html,"  Moritz Körner (Renew).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Der Rechtsstaatsbericht ist ein wichtiger Schritt, und es ist erneut ein guter Bericht, der die Lage in den Mitgliedstaaten darstellt, der sie noch klarer darstellen könnte. Aber wir schauen eben genau in alle Mitgliedstaaten hinein bei der Rechtsstaatlichkeit. Das ist ja sonst immer der große Vorwurf von Polen und Ungarn, von den Rechten: Oh, es wird ja immer nur auf einzelne Länder geschaut. Nein, es wird auf jeden einzelnen Mitgliedstaat geschaut mit diesem Rechtsstaatsbericht. Und dann hat man heute die nächste große Argumentation gesehen: Ah, jetzt wird auf alle Mitgliedstaaten geschaut, das können wir als Argument nicht mehr benutzen. Also jetzt: Oh, es wurde gar nicht nach Brüssel geschaut bei dem Katargate-Skandal und so weiter und so fort.
Ich kann alle beruhigen, hier wurde genug darüber diskutiert, auch das entsprechend aufgeklärt. Und übrigens, der Unterschied ist, dass Korruption hier im Europäischen Parlament dazu führt, dass Ermittlungen stattfinden. Genau das ist der Unterschied zu Ungarn und Polen, wo das nicht der Fall ist.
Aber wir müssen jetzt schauen: Was machen wir mit dem Bericht? Was passiert mit den konkreten Empfehlungen, und wo wird das diskutiert? Und da frage ich schon den Rat: Soll im nächsten Jahr der Rechtsstaatsbericht eigentlich durch Ungarn geleitet werden oder dann durch Polen? Was darauf folgt, das wäre ja wirklich, als würde man den Bock zum Gärtner machen. Das kann es doch nicht sein. Da brauchen wir eine Konsequenz, auch bei der Rechtsstaatlichkeit im Rat.
"
Moritz KÖRNER,2023-06-14,DE,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-168-0000_DE.html,"  Moritz Körner (Renew).   – Herr Präsident, liebe Kolleginnen und Kollegen! Was wir auf unserem Handy haben, was wir uns da anschauen, welche Daten wir haben, welche privaten Nachrichten wir schreiben, das sind ganz, ganz persönliche Daten.
Was für ein gruseliger Gedanke ist es, wenn dieses Handy durch eine Spähsoftware wie Pegasus gehackt ist und zu jeder Zeit alles mitgelesen werden kann, da man zu jeder Zeit das Handy bei sich hat! Doch genau das ist Oppositionspolitikern, Journalistinnen und Journalisten in Europa passiert. Dieser Überwachungsskandal ist eine Schande für Europa, und wir haben im Untersuchungsausschuss in den letzten Monaten intensiv daran gearbeitet, das auch entsprechend aufzuklären.
Viel Arbeit, viel Aufklärung, viele Seiten Untersuchungsausschuss, wenig nein, eigentlich gar keine Zusammenarbeit mit den Mitgliedstaaten in diesem Fall. Das war tatsächlich unerträglich. Es muss klar sein: Wir brauchen endlich – und das sind unsere Empfehlungen – klare Regeln für Spähsoftware in Europa, ein Moratorium. Das muss jetzt endlich die Konsequenz sein. Wir rufen die Mitgliedstaaten und die Kommission auf, hier endlich zu handeln.
"
