MP,Date,Language,Title,Url,Content
Mounir SATOURI,2023-12-13,FR,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-167-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, en Europe, notre jeunesse s’appauvrit. En France, la catégorie des jeunes qui ont besoin d’avoir recours à l’aide alimentaire a augmenté de 13 % en un an, et 39 % de nos jeunes sont obligés de continuer à vivre chez leurs parents. Pour celles et ceux qui ne peuvent pas, eh bien c’est la misère.
Mais quel avenir préparons-nous? Nous avons la responsabilité d’accorder à nos jeunes les moyens de leur autonomie dans la dignité. Aujourd’hui, en France, la sénatrice écologiste Monique de Marco dépose une proposition de loi pour que les jeunes aient un filet de protection sociale entre 18 et 25 ans. En effet, le système français est aberrant: il ne propose à cette catégorie, aucune sécurité, aucun filet, rien.
Monsieur le Commissaire, permettez à l’Europe d’assurer le droit au logement en mettant fin à la financiarisation de ce secteur, d’assurer l’égalité en interdisant les stages non rémunérés, d’élargir le droit à un revenu minimum pour nos jeunes. Aider la jeunesse, cela ne doit pas être une promesse de charité. Cela doit être un pari pour une émancipation digne et pour un avenir plus démocratique en Europe.
"
Mounir SATOURI,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-345-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Monsieur le Président, chers collègues, je vous le demande sincèrement: qu’est-ce qu’on attend pour demander le cessez-le-feu?
Faut-il plus de morts? On en a déjà 17 000. Est-ce qu’il en faut deux fois plus? Trois fois plus? Quatre fois plus? Faut-il encore plus affamer les habitants de Gaza? Ils ne reçoivent déjà plus d’aide, et l’UNRWA n’a plus les moyens. Faut-il plus de journalistes tués? On en a déjà 80. Il en faut combien? Deux fois plus? Trois fois plus? Quatre fois plus?
L’Europe des droits de l’homme ne peut pas rester aveugle, muette face aux violations flagrantes des droits de l’homme. Au nom de quoi regarde-t-on, sans rien faire, les violences des colons en Cisjordanie et à Jérusalem-Est? Au nom de quoi laissons-nous Israël défier à ce point le droit international? Si l’Europe tient la solution à deux États, elle doit agir et elle a les moyens de le faire, comme les États-Unis, en demandant des sanctions contre les colons extrémistes. Gelons leurs biens!
Il faut mettre l’Europe en conformité avec le droit international sur les produits issus des colonies. Il faut soutenir l’enquête de la CPI. Voilà ce qu’on a à faire de manière urgente, tout de suite, maintenant. 
"
Mounir SATOURI,2023-11-22,FR,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-040-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Monsieur le Président, d’abord, merci Monsieur Borrell, face à la cacophonie et à l’irresponsabilité, vous avez tenu ces dernières semaines la barre haute et je vous en remercie. 
Depuis hier, on a eu deux nouvelles. La possible trêve humanitaire avec la libération des otages. C’est une bonne nouvelle et il faut encourager un cessez-le-feu permanent et durable. Et la preuve que nous n’avons jamais financé le Hamas. Le commissaire Várhelyi, qui a jeté l’opprobre sur l’Union européenne, sur l’administration et qui a mis en danger le personnel européen doit partir et il en va de l’honneur de l’Union européenne. 
Nous ne sommes audibles dans le monde que lorsque nous sommes les faiseurs de paix, les promoteurs de la stabilité, les gardiens du droit international, les promoteurs du droit humain. C’est ça notre rôle! Alors, exigeons tout cela! Et nous avons les moyens pour y arriver, nous sommes le premier partenaire économique et commercial d’Israël, le premier financeur de l’autorité palestinienne. Nous pouvons peser, nous avons des outils. Nous devons activer le régime de sanctions contre celles et ceux qui nuisent aux droits humains et nous devons exiger une solution de paix durable. Deux États, c’est la seule condition de la stabilité dans le monde.
"
Mounir SATOURI,2023-11-20,FR,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-103-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Madame la Présidente, l’année dernière, c’était l’Égypte, cette année, les Émirats arabes unis: cherchez l’erreur. Dans les COP, c’est l’avenir de l’humanité et de la vie sur Terre qui se joue, mais on se permet de les organiser dans des pays répressifs – de belles opérations de communication ou de camouflage pour leurs gouvernements qui violent le droit humain.
En tant qu’écologiste, je ne peux qu’élever ma voix pour défendre les grands oubliés de ce ballet diplomatique: les prisonniers politiques. Je veux vous parler d’Ahmed Mansoor. Ahmed a été condamné à dix ans de prison, et a eu un procès inique pour avoir défendu les droits humains aux Émirats arabes unis. C’était l’un des derniers qui le faisait ouvertement. Cela fait six ans qu’il est détenu à l’isolement, c’est insupportable.
J’en appelle aux représentants de la Commission, des États membres, du Conseil de ce Parlement: exigez des Émirats la libération immédiate d’Ahmed et des autres prisonniers de conscience. Justice climatique et droits humains doivent être un même combat.
"
Mounir SATOURI,2023-11-08,FR,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-109-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Madame la Présidente, il n’y a que trois mots qui vaillent la peine d’être dits aujourd’hui: cessez le feu. Vous voyez, c’est simple, c’est facile. Il faut des convictions fortes et un minimum de courage.
Alors oui, l’attaque terroriste du Hamas est immonde. On l’a dit, on l’a répété, on le répétera autant de fois qu’il le faut, mais ça ne donne pas le droit à Israël de faire ce qu’elle fait. Le droit d’Israël de se défendre existe: il est d’ailleurs encadré par le droit international, par le droit humanitaire. Encore faut-il que la communauté internationale ait le courage d’exiger qu’il soit respecté.
Ce n’est pas un droit de tuer de manière indiscriminée des civils, ce n’est pas un droit de cibler des hôpitaux, des journalistes, ce n’est pas un droit de cibler des écoles de l’UNRWA, ce n’est pas un droit d’assiéger une population civile, de l’affamer, de la priver d’eau et d’électricité. Ce n’est pas un droit de faire une Nakba avec des réfugiés. Comme on peut l’anticiper, ce n’est pas un droit de se venger.
L’Europe assiste à la destruction de toutes les bases du droit international sans rien dire. Elle n’est pas à la hauteur. Ayons le courage d’exiger ce cessez-le-feu tout de suite, maintenant, avec force et ... (fin de l’intervention inaudible)
"
Mounir SATOURI,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-049-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Monsieur le Président, c’est avec fermeté et sans faille que je condamne les attaques terroristes du Hamas, et j’en veux, à gauche, à ceux qui ne le font pas, parce qu’ils permettent à certains, à droite, de ne pas condamner la réponse disproportionnée d’Israël.
Mes ancêtres étaient des goumiers marocains, ils ont combattu le nazisme auprès des Européens, ils ont donné leur vie pour libérer mon pays, la France, alors même qu’ils n’avaient pas engendré le nazisme et qu’ils n’avaient pas collaboré avec le Reich.
Ne faites pas de cette situation une guerre de civilisation entre Israël, l’Occident et les musulmans. C’est ce qu’attendent les terroristes: généraliser la guerre partout.
Nous nous sommes construits sur un idéal de paix. Nous devons porter ce message, or, on ne le fait pas. L’Europe n’est pas à la hauteur, elle n’est pas audible. Le monde se dégrade sans que nous ayons la moindre influence.
"
Mounir SATOURI,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-472-0000_FR.html,"  Mounir Satouri,  au nom du groupe Verts/ALE. – Monsieur le Président, trois ans après l’horreur de la mort par décapitation de Samuel Paty, la France vit une autre horreur avec la mort d’un autre professeur: Dominique Bernard. La France est en deuil; l’Éducation nationale vit un cauchemar.
Si nos écoles sont touchées, ce n’est pas par hasard. Si cette violence frappe au cœur notre République, là où notre jeunesse apprend, partage, s’affirme, c’est parce que notre République, nos principes et nos valeurs dérangent. Quand le terrorisme frappe, c’est pour tuer. Et ce que les terroristes détestent le plus, par-dessus tout, ce sont nos valeurs de liberté, d’égalité et de fraternité.
L’islamisme est un fléau. L’islamisme tue. Il a tué dans les écoles. Il a tué aussi près d’un stade, il y a trois jours, en Belgique. Nos sociétés européennes doivent faire rempart: elles doivent lutter coûte que coûte contre l’extrémisme, elles ne doivent jamais s’y habituer.
Je veux ici rendre hommage, un hommage vibrant, aux enseignants et au personnel éducatif, qui ont toujours tenu pour défendre les valeurs de démocratie, de vivre—ensemble, de dialogue, et pour cause! Si Samuel Paty est mort, c’est justement parce qu’il défendait la laïcité et le droit d’expression, et qu’il tentait de l’expliquer face aux obscurantistes.
Alors soyons forts et résistons. Résistons aussi aux solutions faciles, celles qui consisteraient à stigmatiser l’ennemi de l’intérieur. Nous ne vaincrons le terrorisme que rassemblés. Résistons également aux forces politiques qui cherchent, déjà, à prospérer à partir de ce drame.
Ces drames frappent partout en Europe. Alors, que doit faire l’Europe face à cette violence? Comment protéger nos concitoyennes et nos concitoyens? Il est temps de questionner en profondeur notre approche. C’est pourquoi je demande que le Conseil et la Commission prennent le temps de réfléchir, avec nous, et de définir une stratégie concrète et commune, sans amalgame et sans déni.
"
Mounir SATOURI,2023-10-16,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-046-0000_FR.html,"  Mounir Satouri,  au nom du groupe Verts/ALE. – Madame la Présidente, vendredi dernier, la République française a été frappée au cœur: à l’école, là où notre jeunesse se construit, s’instruit, s’affirme, grâce à des professeurs, des institutrices et des instituteurs comme Dominique Bernard et, comme trois ans avant lui, Samuel Paty.
Je vous propose donc ce débat avec le titre suivant, amendé pour tenir compte de l’avis d’autres groupes: «Déclaration du Conseil et de la Commission sur l’attaque terroriste islamiste contre les écoles françaises et la nécessité de protéger les personnes et de promouvoir la cohésion sociale».
Notre Parlement se doit d’organiser ce débat et de s’adresser au personnel concerné. Nous parlons souvent de nos libertés, de nos principes, de nos valeurs européennes. Qu’en adviendra-t-il sans nos écoles européennes? C’est pour cela que l’on vous propose ce débat. C’est pour cela que l’on vous propose ce titre. C’est pour que l’on soit toutes et tous à la hauteur du moment que je l’ai présenté avec un amendement, en anticipant la demande d’un certain nombre de groupes.
"
Mounir SATOURI,2023-10-16,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-048-0000_FR.html,"  Mounir Satouri,  au nom du groupe Verts/ALE. – Déclaration du Conseil et de la Commission sur l’attaque terroriste islamiste contre les écoles françaises et la nécessité de protéger les personnes et de promouvoir la cohésion sociale.
"
Mounir SATOURI,2023-10-04,FR,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-163-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Madame la Présidente, inflation, baisse de pouvoir d'achat, les plus vulnérables sont ceux qui paient le plus lourd tribut à cette crise. Comme à chaque fois, comme toujours. Au cours de la dernière décennie, Monsieur le Commissaire, le nombre de sans-abris en Europe a augmenté de 70 %. Chaque nuit, c'est 900 000 personnes qui dorment dans la rue. En 2022, en France, près de 2 millions et demi de ménages étaient en attente d'un logement social. La Fondation Abbé Pierre estime à 330 000 le nombre de personnes sans domicile en France, soit 30 000 de plus que l'année d'avant. 
Face à ce constat, la Commission européenne ne peut plus se cacher derrière le fait que le logement n'est pas une compétence de l'Union européenne. Oui, créer un cadre normatif pour réguler les marchés financiers, c'est possible. Créer un fonds dédié à la lutte contre le sans-abrisme, c'est possible. Permettre l'accès à un logement digne et de qualité, c'est possible. L'Europe doit agir vite, l'Europe doit faire mieux. C'est impératif pour le pacte social européen.
"
Mounir SATOURI,2023-10-02,FR,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-062-0000_FR.html,"  Mounir Satouri,  au nom du groupe Verts/ALE. – Monsieur le Président, chers collègues, M. le commissaire Schmit l’a dit: les statistiques ne pourront jamais dire toute la vérité, toutes les réalités, toutes les souffrances que traversent nos concitoyens dans ce contexte de cumul de difficultés. Et, cela a été dit, il faut de la cohérence entre ce que fait l’Union européenne et ce que nous faisons au niveau des États membres. 
Je regrette que le président Séjourné ne soit pas dans cette salle – puisque ce débat a lieu sur proposition du groupe Renew – parce que j’aurais voulu au moins le féliciter pour son sens du timing. Ce débat nous est proposé au moment même où, en France, Emmanuel Macron et la majorité présidentielle, celle qui siège en nombre au sein du groupe Renew, proposent, en pleine situation de difficulté, d’imposer aux plus vulnérables en France de travailler – j’allais dire: «d’être forcés à travailler» – quinze heures par semaine pour toucher un revenu minimum bien en dessous du seuil de pauvreté. 
Il faut de la cohérence et il faut de la mobilisation. Quelques chiffres: le Secours populaire nous dit que 35 % des personnes ne peuvent plus manger trois repas par jour; les Restos du cœur doivent faire face à une augmentation de 22 % des demandes de bénéficiaires, et le coût du financement de cette aide alimentaire a plus que doublé ces derniers mois. 
Il faut une mobilisation importante. C’est pour cela que l’Europe doit mobiliser ses moyens. On s’est félicité dans le débat public français d’un don de 10 millions d’euros d’une grande fortune internationale. Mais cela représente très peu au vu de la gravité de la situation. Ne substituons pas la charité à la nécessaire solidarité, ce qui permet le respect du droit humain. 
Monsieur le Commissaire, les associations nous demandent de renforcer d’urgence les dispositifs européens d’aide alimentaire. Que leur répondez-vous de manière concrète et précise, ici, maintenant? Parce que, dans quelques mois, avec l’arrivée de l’hiver, cette situation sera dramatique.
"
Mounir SATOURI,2023-09-12,FR,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-081-0000_FR.html,"  Mounir Satouri (Verts/ALE).   – Monsieur le Président, la Tunisie est aujourd’hui à l’agenda européen. Est-ce que c’est une bonne nouvelle pour les Tunisiennes et les Tunisiens? Je ne le pense pas. En tout cas, pas pour la Tunisie démocratique dont on a tant rêvé.
Monsieur le Commissaire, si vos objectifs étaient réels, vous n’auriez pas été obligé de passer par ce protocole d’accord. Il y avait l’accord d’association, que vous auriez pu activer. En réalité, ce protocole d’accord n’est que l’expression de votre panique. Vous voyez l’extrême droite progresser sur le thème de l’immigration et vous gesticulez, vous donnez l’impression d’agir.
Et ce qui me désole, c’est que ce mode d’action nous rend otage des régimes autoritaires. À chaque fois que vous cédez la gestion de nos frontières aux dictateurs, aux régimes autoritaires, vous nous rendez vulnérables. Vulnérables pour construire un destin différent avec nos voisins, vulnérables sur nos valeurs et nos principes. Certains, dont le président du PPE, nous ont traités d’utopistes. 
Heureusement que notre Union européenne s’est construite sur cette utopie de paix et de prospérité. La Tunisie et les Tunisiens attendent autre chose. Vous êtes, Monsieur le Commissaire, à contre-courant de l’histoire.
"
