MP,Date,Language,Title,Url,Content
Nathalie COLIN-OESTERLÉ,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-015-0000_FR.html,"  Nathalie Colin-Oesterlé (PPE).   – Monsieur le Président, il y a un an, dans ce même hémicycle, pour la même journée internationale de lutte contre les violences faites aux femmes, tous les espoirs étaient permis. Nous étions au travail pour proposer la toute première loi européenne visant à lutter contre les violences faites aux femmes et les violences conjugales. Aujourd’hui, alors que sept femmes meurent encore chaque jour sous les coups de leur conjoint, où en sommes-nous? Des négociations houleuses sont en cours entre le Parlement et les représentants des États membres réunis au Conseil. Là où le Parlement a été ambitieux, les États membres bloquent, voire reculent. La France fait partie de ceux-là.
Sur le viol, dont 100 000 femmes sont victimes chaque année dans l’Union européenne, la définition proposée par le Parlement européen et la Commission est claire: un rapport sexuel sans consentement est un viol. Les États membres n’ont même pas tenté de proposer une définition alternative, ils ont tout simplement supprimé le viol du texte, ni définition commune, ni sanction commune, ni protection commune.
Autre exemple: sur les mariages forcés, le Parlement a souhaité qu’il soit également puni dans l’ensemble de l’Union européenne. Là encore, les États membres ne souhaitent pas les pénaliser. Sur les refuges pour héberger les femmes victimes de violences, le Parlement a souhaité augmenter leur nombre en instaurant un quota d’hébergement par nombre d’habitants. Avec cette proposition, le nombre de places en France augmenterait de presque 70 %. Une avancée encore, pourtant le Conseil n’en veut pas.
Sur les moyens mis en place pour protéger les victimes, le Parlement a proposé des outils technologiques comme les bracelets électroniques, les téléphones «grave danger», afin qu’ils soient utilisés par les États membres pour surveiller les auteurs de violences et garantir qu’ils ne s’approchent plus de leurs victimes. Une proposition de bon sens, pourtant le Conseil ne le souhaite pas. Enfin, sur le harcèlement sexuel au travail, le Parlement a demandé que ces comportements, dont sont victimes encore trop de femmes soient incriminés. Une mesure essentielle, là non plus le Conseil ne souhaite pas l’inclure dans le texte.
La directive de lutte contre les violences faites aux femmes ne peut pas être une déclaration d’intention. Elle doit mettre en place des mesures concrètes pour protéger les femmes victimes. Nous ne pouvons continuer à débattre chaque année ici, dans cet hémicycle, à l’occasion de la Journée internationale, si nous n’agissons pas. Assez de paroles, il est temps de passer aux actes. Alors, on dit que l’Europe n’avance pas. Ce n’est pas l’Europe, ce n’est pas le Parlement, ce sont les chefs d’État et de gouvernement réunis en Conseil qui bloquent et refusent d’avancer par manque de volonté politique. Et non, nous n’accepterons pas une loi au rabais.
"
Nathalie COLIN-OESTERLÉ,2023-09-12,FR,Standards of quality and safety for substances of human origin intended for human application (A9-0250/2023 - Nathalie Colin-Oesterlé)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-131-0000_FR.html,"  Nathalie Colin-Oesterlé,  rapporteure. – Madame la Présidente, mes chers collègues, 25 millions de transfusions sanguines, 35 000 transplantations de cellules souches, 1 million de cycles de procréation médicalement assistée sont effectués chaque année au sein de l’Union européenne. Ces chiffres montrent à quel point cette réglementation sur laquelle nous sommes sur le point de nous prononcer est importante.
Les dons de substances d’origine humaine sont indispensables à la survie et au rétablissement de nombreux patients dans l’Union européenne, ainsi qu’à la naissance de beaucoup de citoyens européens, avec de réels enjeux de santé publique: mieux protéger les donneurs et les receveurs partout en Europe, mieux harmoniser nos systèmes nationaux, et construire l’autonomie européenne.
Je remercie sincèrement mes collègues rapporteurs fictifs pour leur travail sur ce rapport qui, je crois, permet de répondre à toutes ces questions en rappelant le principe fondamental de don volontaire et non rémunéré, et la non marchandisation du corps humain.
"
Nathalie COLIN-OESTERLÉ,2023-09-12,FR,Standards of quality and safety for substances of human origin intended for human application (A9-0250/2023 - Nathalie Colin-Oesterlé)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-133-0000_FR.html,"   Nathalie Colin-Oesterlé, rapporteure. – Madame la Présidente, chers collègues, merci pour votre confiance. Je demande donc le renvoi du dossier en commission de l’environnement, de la santé publique et de la sécurité alimentaire, conformément à l’article 59, alinéa quatre, du règlement intérieur, afin de permettre aux négociations interinstitutionnelles de commencer.
"
Nathalie COLIN-OESTERLÉ,2023-06-14,FR,Surrogacy in the EU - risks of exploitation and commercialisation (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-121-0000_FR.html,"  Nathalie Colin-Oesterlé,  au nom du groupe PPE. – Madame la Présidente, Monsieur le Commissaire, chers collègues, peu de pays autorisent la gestation pour autrui en Europe, et ceux qui l’autorisent l’encadrent très strictement. Quoi qu’il en soit, la décision d’interdire ou d’autoriser la GPA est une compétence nationale, qui relève de la souveraineté nationale, et en aucun cas une compétence européenne.
En revanche, l’Union européenne doit intervenir lorsque la gestation pour autrui devient un instrument d’exploitation des femmes. Peut-on accepter qu’une femme marchande son corps pour tenter de mettre fin à sa précarité? Peut-on accepter qu’une femme soit exploitée contre de l’argent, parfois par des réseaux criminels, pour que son corps soit réduit à un simple instrument de reproduction? Non. Alors que cette institution lutte à la fois contre la traite des êtres humains et contre les violences faites aux femmes, il est de notre devoir de veiller à lutter contre ces dérives.
Chers collègues, marchander le corps d’une femme est incompatible avec le respect de la dignité du corps de la femme. Louer l’utérus d’une femme pendant neuf mois durant est éthiquement inconcevable. Les femmes ne doivent pas devenir une simple capacité reproductive, dont les bébés deviendraient des produits à acheter ou à vendre. Les femmes doivent être libres de disposer de leur corps. Certes, la GPA peut soulever des questions juridiques au niveau européen, notamment lorsque, après la naissance d’un enfant, se pose la question de sa filiation. C’est alors l’intérêt de l’enfant uniquement qui doit primer. L’Union européenne doit rester fidèle à ses valeurs, en luttant contre toute forme d’exploitation des êtres humains, sans empiéter sur les compétences des États membres.
"
Nathalie COLIN-OESTERLÉ,2023-01-17,FR,Surge of respiratory infections and the shortage of medication in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-149-0000_FR.html,"  Nathalie Colin-Oesterlé,  au nom du groupe PPE. – Monsieur le Président, pour lutter contre les pénuries de médicaments, notre continent doit avant tout redevenir attractif avec une politique industrielle ambitieuse, incitative et compétitive face à la Chine et aux États-Unis.
Grippe, bronchiolite, Covid-19: dès qu’une épidémie apparaît, de nombreux patients sont confrontés aux pénuries de médicaments. Ce phénomène n’est pas nouveau; en Europe, les pénuries de médicaments ont été multipliées par 20 en 20 ans. Les causes sont multiples: augmentation de la demande et compression des prix, manque de diversification des sources d’approvisionnement et délocalisations massives de la production de substances actives, puisque 80 à 85 % des principes actifs utilisés pour produire des médicaments en Europe sont importés de Chine et d’Inde et que 45 % des médicaments commercialisés en Europe sont produits hors Union européenne. Nous sommes aujourd’hui ultra dépendants de pays qui peuvent décider de limiter leurs exportations, que ce soit pour privilégier leurs populations – c’est le cas en Chine actuellement avec le paracétamol – ou en cas de conflits géopolitiques. Cette situation n’est pas tenable.
Dans mon rapport sur les pénuries de médicaments adopté dans cet hémicycle en septembre 2020, une très large majorité des recommandations ont été formulées: relocalisation de l’intégralité de la chaîne de fabrication du médicament, de la substance active au conditionnement et à la distribution, avec des incitations fiscales et financières et en autorisant les aides d’État pour inciter les industriels à produire en Europe, création d’une réserve européenne de médicaments essentiels, surveillance européenne des stocks tant au niveau des industriels que de chaque État membre et, pour les médicaments qui ne présentent plus de rentabilité, la création d’établissements européens pharmaceutiques à but non lucratif en capacité de produire ces médicaments souvent anciens, mais qui demeurent essentiels pour la santé publique.
Alors oui, depuis 2020, l’Union européenne a renforcé son arsenal législatif pour mieux répondre à l’urgence des crises sanitaires. Il est temps désormais de privilégier le made in Europe pour retrouver une souveraineté sanitaire.
"
Nathalie COLIN-OESTERLÉ,2022-11-23,FR,Eliminating violence against Women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-207-0000_FR.html,"  Nathalie Colin-Oesterlé (PPE).   – Madame la Présidente, Madame la Commissaire, Monsieur le Ministre, en Europe, sept femmes meurent chaque jour sous les coups de leur partenaire ou de leur ex-partenaire. C’est un véritable fléau. Pour l’éradiquer, nous devons nous inspirer du modèle espagnol de lutte contre les violences faites aux femmes.
La future directive européenne sur laquelle nous travaillons doit être exclusivement centrée sur la protection des femmes et des enfants victimes. Ne nous éparpillons pas. Évitons les positions idéologiques et travaillons ensemble sur quatre axes essentiels: la prévention, avec des campagnes de sensibilisation à grande échelle, particulièrement à l’égard des plus jeunes; l’accompagnement, avec la création partout en Europe d’un numéro d’appel unique et de guichets uniques pour une prise en charge globale des victimes avec du personnel formé, des policiers, des magistrats spécialisés; la protection des femmes et des enfants victimes, avec partout en Europe la délivrance rapide d’ordonnances de protection, de téléphones «grave danger» et de bracelets anti-rapprochement; enfin, des sanctions harmonisées. Ce qui est considéré comme un viol ou un mariage forcé dans un État membre doit également l’être dans l’État voisin et sanctionné sur des bases communes.
Mobilisons-nous, car il y a urgence. 
"
Nathalie COLIN-OESTERLÉ,2022-10-19,FR,Fighting sexualised violence - The importance of the Istanbul Convention and a comprehensive proposal for a directive against gender-based violence (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-300-0000_FR.html,"  Nathalie Colin-Oesterlé (PPE).   – Madame la Présidente, Madame la Commissaire, votre proposition de directive pour lutter contre les violences faites aux femmes et les violences domestiques va tout à fait dans le bon sens. En tant que rapporteure pour mon groupe, le PPE, en commission des libertés civiles, je crois qu’il est urgent de nous inspirer fortement du modèle espagnol pour lutter efficacement contre ce fléau.
N’attendons pas de ratifier la convention d’Istanbul pour lutter dès maintenant contre ces violences. Les coups, eux, n’attendent pas et la violence se répand partout dans notre société. Chaque jour, ce sont des dizaines de femmes et de jeunes filles qui sont victimes d’un viol, de tortures ou de mutilations génitales. Chaque jour sur le sol européen, sept femmes meurent sous les coups de leur conjoint. Trop de femmes acceptent inconsciemment la violence conjugale, qu’elle soit psychologique, verbale, physique, entraînant jusqu’à la mort de la victime. Toutes ces femmes doivent être protégées. À nous de prévenir ces violences et d’apporter aux victimes des réponses concrètes.
Développons le 112 européen des violences conjugales, un numéro disponible 24 h sur 24, 7 jours sur 7, pour que n’importe quelle femme dans la détresse puisse obtenir une solution, peu importe son lieu d’habitation, son âge et son origine. Incitons les États membres à aider, notamment financièrement, ces femmes, pour qu’elles puissent quitter le domicile conjugal. Octroyons bien plus facilement des ordonnances, des téléphones «grave danger», la délivrance d’ordonnances de protection et de bracelet électronique. Créons un véritable réseau européen de points d’information sur les violences, mais également un réseau d’échange d’informations et de coordination pour apporter un soutien individualisé à chaque victime. Construisons un cadre clair et précis au niveau européen avec, dans chaque État membre, chaque région, chaque collectivité, des guichets uniques permettant d’orienter, de conseiller et de protéger les victimes. Magistrats, policiers, services sociaux, élus et collectivités, nous devons tous être formés pour être acteurs de cette lutte contre les violences.
"
Nathalie COLIN-OESTERLÉ,2022-09-14,FR,Situation of fundamental rights in the EU in 2020 and 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-253-0000_FR.html,
Nathalie COLIN-OESTERLÉ,2022-07-05,FR,Objection pursuant to Rule 111(3): Amending the Taxonomy Climate Delegated Act and the Taxonomy Disclosures Delegated Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-302-0000_FR.html,"  Nathalie Colin-Oesterlé (PPE).   – Monsieur le Président, Madame la Commissaire, chers collègues, nous sommes tous d’accord pour affirmer que la lutte contre le changement climatique passera par la fin des énergies fossiles, objectif inatteignable sans le nucléaire.
Regardez la situation telle qu’elle est. D’ici 2050, rien qu’en France, la demande en électricité devrait augmenter de 35 % avec le développement des véhicules électriques ou d’une filière hydrogène propre. Parallèlement, la situation géopolitique nous contraint à faire de l’autonomie énergétique de notre continent une priorité absolue. Enfin, au moment où nous débattons, les moyens de production d’énergies renouvelables sont intermittents et ne peuvent répondre à une hausse soudaine de la demande. Face à cette réalité, les experts du GIEC et de la Commission européenne sont formels: la transition écologique ne se fera pas sans compléter les renouvelables par du nucléaire.
Alors demain, lors du vote, vous aurez le choix entre soutenir le nucléaire et le renouvelable pour sauver le climat, construire l’autonomie énergétique européenne et mettre fin aux énergies fossiles, ou bien enterrer le nucléaire, assumer notre dépendance au charbon et éteindre tout espoir de diminution de nos émissions de gaz à effet de serre.
"
Nathalie COLIN-OESTERLÉ,2022-07-04,FR,US Supreme Court decision to overturn abortion rights in the United States and the need to safeguard abortion rights and Women’s health in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-04-INT-1-051-0000_FR.html,"  Nathalie Colin-Oesterlé (PPE).   – Madame la Présidente, Madame la Commissaire, il y a une semaine, la Cour suprême américaine a mis fin à la jurisprudence quasi cinquantenaire qui consacrait le droit à l’avortement des femmes américaines. Cet arrêt ne rend pas automatiquement l’avortement illégal: il permet aux États de le considérer comme tel. Et vous l’avez rappelé, quatorze États ont ainsi déjà pénalisé l’avortement ou sont en passe de le faire.
C’est évidemment une grave régression pour les droits des femmes, et cela ne concerne pas que les États-Unis. Nous le savons: sur notre propre continent européen, les droits des femmes sont aussi menacés. Si l’avortement relève de la compétence de chaque État membre, le Parlement européen peut se prononcer. Il doit même le faire lorsque cela devient un enjeu de santé publique. Dans le monde, une femme meurt toutes les neuf minutes d’un avortement clandestin. Alors que nous construisons ici l’Europe de la santé, dans ce Parlement dont Simone Veil a été la présidente, et alors que nous légiférons pour permettre à tous les citoyens européens un accès égal aux soins, pouvons-nous continuer à accepter que des femmes mettent ainsi leur vie en danger?
Nous le savons: le fait de limiter l’accès à l’avortement n’en réduit pas le nombre. Nous devons donc rester extrêmement vigilants afin que la santé publique l’emporte sur toute autre considération.
"
