MP,Date,Language,Title,Url,Content
Nathalie LOISEAU,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-239-0000_FR.html,"  Nathalie Loiseau (Renew).   – Monsieur le Président, de nouvelles révélations sur le «Qatargate» s’égrènent chaque jour dans la presse comme un feuilleton triste. J’ai ainsi appris que l’une de nos collègues, inculpée pour corruption, aurait tenté de me faire taire parce que je m’intéressais de trop près au sort des travailleurs migrants au Qatar. La bonne nouvelle, c’est qu’elle a échoué. La mauvaise, c’est que le comportement de quelques-uns a jeté la suspicion sur nous tous. Avant même la fin de la procédure judiciaire, pour le grand public, c’est nous tous qui sommes coupables, tous pourris.
Je voudrais saluer les premières mesures adoptées par notre Parlement pour accroître notre transparence et mieux protéger nos travaux. Plusieurs de ces mesures s’inspirent du rapport que je vous avais présenté et que vous avez bien voulu adopter, chers collègues. Je regrette, vous le savez, Madame la Commissaire, que l’on n’ait pas encore créé une véritable autorité européenne éthique indépendante. Et j’alerte, à quelques mois des élections européennes: nous devons accroître encore bien davantage notre vigilance et nos défenses contre les ingérences étrangères, qui vont se multiplier pour tenter de manipuler nos opérations électorales. 
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Nathalie LOISEAU,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-241-0000_FR.html,"  Nathalie Loiseau (Renew),  réponse ""carton bleu"". – Madame Aubry, c’est un terrain sur lequel je ne serais pas allée, à votre place, parce que j’ai été membre de la commission sur les ingérences, commission où votre groupe était représenté par une députée qui n’a cessé de dire que cette commission n’avait aucune raison d’être, qui a présenté des amendements pour retirer toute référence aux ingérences de la Russie sur le travail de ce Parlement – je me demande bien pourquoi –, et, s’agissant des travaux annexes, je ne comprends pas bien pourquoi vous pensez que, lorsque l’on est agriculteur en même temps que député européen, on est vendu à un lobby? Vous connaissez décidément bien mal nos concitoyens.
"
Nathalie LOISEAU,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-243-0000_FR.html,"  Nathalie Loiseau (Renew),  réaction ""carton bleu"". – Madame Aubry, c’est vrai qu’on est beaucoup trop payé si l’on passe son temps sur des piquets de grève à Paris ou à se déguiser en Rosie la riveteuse, ça c’est vrai. Mais pour ceux qui travaillent et qui font avancer la loi au profit de tous les Européens, chaque travail mérite salaire. 
"
Nathalie LOISEAU,2023-12-13,FR,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-396-0000_FR.html,"  Nathalie Loiseau (Renew).   – Madame la Présidente, voici des mois que l’on en parle, que Mme von der Leyen l’annonce, mais toujours rien: ni le programme européen de défense et d’investissement EDIP ni la stratégie qui l’accompagne ne sont prêts. Alors que la guerre est à notre porte, que l’Ukraine manque d’armes et de munitions, on en est réduits à attendre, à attendre et à s’inquiéter.
«Le plan munitions suit son cours», nous dit-on. Certes, mais ce cours n’accélère pas et il ne se déverse pas forcément en Ukraine, faute de priorisation des commandes. Les achats conjoints encouragés par Edirpa? Ça commence gentiment, doucement, comme si rien ne pressait. La dernière tranche de la Facilité européenne pour la paix destinée à l’Ukraine? Bloquée par la Hongrie. Le projet d’une facilité multiannuelle de 20 milliards sur cinq ans pour donner une garantie de sécurité européenne à Kiev? Enterrée sans fleurs ni couronnes.
Pendant ce temps, l’aide américaine est bloquée au Congrès, et l’aide allemande menacée par la crise budgétaire. La révision du CFP se profile mal. Je le répète, la guerre est à nos portes, et Donald Trump aux portes de la Maison-Blanche. Ce n’est pas vous qui êtes en cause, Monsieur le Commissaire, mais, par pitié, ne nous disons pas que tout va bien quand nous sommes en train de commettre une erreur historique!
"
Nathalie LOISEAU,2023-11-22,FR,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-045-0000_FR.html,"  Nathalie Loiseau (Renew).   – Monsieur le Président, aujourd’hui, le Proche-Orient tout entier est pris en otage. Je pense bien sûr aux 240 otages détenus par le Hamas. Tous les hommes, toutes les femmes, tous les enfants, tous doivent rentrer chez eux. Je pense aux 2 millions de Gazaouis. Eux aussi, le Hamas les a pris en otage. Ce sont nous, Européens, qui nous préoccupons de leur sort et qui occupons la première place de l’aide aux Palestiniens. Le Hamas construit des tunnels, pas des écoles. Il achète des armes, pas des médicaments. Il ne sert pas la cause palestinienne, il s’en sert pour s’enrichir et pour nourrir son projet fou, antisémite et islamiste.
Et je pense à la paix, cette paix dont les accords d’Oslo dessinait les contours et dont les artisans sont morts. Arafat n’est plus, et en Palestine, qui a son courage, le vrai courage de la paix ? Rabin a été assassiné. Aujourd’hui, des extrémistes israéliens encouragent les colons à s’en prendre aux Palestiniens en Cisjordanie. Ils ne dessinent aucun avenir pour Gaza, hormis la destruction. Ils ont trahi Rabin et pris la paix en otage.
Nous autres Européens savons ce qu’est le terrorisme islamiste et nous sommes solidaires du peuple israélien. Nous autres Européens savons ce que sont les souffrances du peuple palestinien. Et je tiens à vous remercier, Josep Borrell et Janez Lenarčič, pour vos positions courageuses et votre action inlassable. Vous nous faites honneur. La paix, ce sont les Israéliens et les Palestiniens de bonne volonté qui devront la construire ensemble... (Le Président retire la parole à l’oratrice)
"
Nathalie LOISEAU,2023-11-21,FR,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-395-0000_FR.html,"  Nathalie Loiseau (Renew).   – Monsieur le Commissaire, l’Union européenne a été exemplaire au début de la guerre d’invasion russe en Ukraine. Elle a fait sa révolution culturelle à la fois en adoptant des sanctions, en envoyant du matériel militaire à l’Ukraine, et vos propres efforts ont permis de mettre en œuvre le plan munitions. Je veux les saluer ici, mais c’est un déluge de feu qui s’abat sur l’Ukraine aujourd’hui. Et alors que notre objectif est de un million de munitions d’ici au printemps, la Russie a obtenu de la Corée du Nord un million de munitions entre le mois d’août et le mois de novembre. 
Nous sommes donc loin du compte. Je vous ai entendu dire que c’est une question à poser au ministre de la Défense. Vous confirmez ce que dit Josep Borrell sur le fait que nous augmentons la production mais qu’elle ne va pas forcément en Ukraine. Donc, quand, et comment, aurons-nous enfin une priorisation de nos productions vers ce qui est notre priorité stratégique, c’est-à-dire aider l’Ukraine à gagner cette guerre?
"
Nathalie LOISEAU,2023-11-21,FR,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-397-0000_FR.html,"  Nathalie Loiseau (Renew).   – Toujours sur la question des munitions qui ne vont pas nécessairement directement en Ukraine: confirmez-vous une information selon laquelle certaines munitions produites en Europe seraient achetées par les États-Unis qui eux-mêmes les enverraient en Ukraine, ce qui serait un destinateur final souhaitable, mais montrerait une forme d’absurdité dans notre propre système?
"
Nathalie LOISEAU,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-173-0000_FR.html,"  Nathalie Loiseau,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Haut Représentant, Madame von der Leyen nous avait promis une commission géopolitique. Nous avions envie de la croire, car nous savions combien c’était nécessaire. La réponse européenne à la guerre en Ukraine a suscité de réels espoirs, tant tout a été mis en œuvre rapidement et de façon cohérente, que ce soient les sanctions, l’accueil des réfugiés, le soutien financier ou l’aide militaire.
Hélas, nous nous sommes peut-être réjouis un peu vite. L’Union européenne n’a pas encore marqué sa Zeitenwende. Entre l’Arménie et l’Azerbaïdjan, le président du Conseil a voulu rester neutre, la présidente de la Commission a qualifié Ilham Aliev de «partenaire fiable», et l’envoyé spécial de l’Union européenne pour le Caucase n’a eu de cesse que Bakou ne soit pas contrarié. Le résultat? Un nettoyage ethnique a été commis, sous nos yeux, sans que nous puissions l’empêcher.
Entre Israël et les Territoires palestiniens, la Commission a perdu la boussole. Mme von der Leyen s’est rendue en Israël sans mandat, dans un rôle qui ne lui revient pas. Le commissaire Várhelyi a tenté de suspendre l’aide aux Palestiniens. Il n’en a pas le pouvoir et jette le discrédit sur une action dont il est pourtant responsable. Cette aide, qu’il a voulu interrompre, la présidente de la Commission a décidé de la tripler. M. Várhelyi n’en est pas à son coup d’essai: on l’a vu soutenir les séparatistes serbes en Bosnie ou conditionner le soutien à l’Ukraine au sort des minorités hongroises. On se demande pourquoi il est encore commissaire.
Une commission géopolitique? L’ambition est louable. Encore faut-il commencer à s’en donner les moyens.
"
Nathalie LOISEAU,2023-10-04,FR,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-450-0000_FR.html,"  Nathalie Loiseau,  au nom du groupe Renew. – Monsieur le Président, le monde a abandonné l'Afghanistan, mais l'Afghanistan n'est pas coupé du monde. Ce que vit ce pays, ce qu'endure son peuple, c'est d'abord son propre calvaire. Mais c'est aussi une menace pour nous tous. Le pouvoir des talibans impose au peuple afghan des souffrances sans limite. Misère, violence, répression, on peine à imaginer ce que ce peuple endure. 
Des régions entières sont privées d'aide humanitaire parce qu'elles résistent encore aux tyrans qui règnent à Kaboul. Les femmes afghanes sont privées de tous leurs droits et sont privées d'avenir. Mais ce n'est pas tout. Plus de 20 groupes terroristes trouvent refuge en Afghanistan et rêvent encore de djihad global. Les talibans veulent faire croire qu'ils apportent la stabilité à leur pays. Ils en font une bombe à retardement pour le monde. 
Je veux saluer le courage de ceux qui continuent à dire non à l'oppression et au terrorisme djihadiste. Je veux saluer en particulier Ahmad Massoud et le remercier d'être présent ce soir au Parlement européen. Nous devons aider ceux qui veulent tourner l'Afghanistan vers l'avenir plutôt que le replonger dans le passé. Nous ne devons pas normaliser nos relations avec les talibans. Ils sont les bourreaux de leur peuple.
"
Nathalie LOISEAU,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-340-0000_FR.html,"  Nathalie Loiseau,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, les absents ont toujours tort. Que le haut représentant soit absent pour ce débat est regrettable. Cela reflète malheureusement une autre absence, bien plus grave, celle de l’Europe pendant tous ces mois où les Arméniens du Haut-Karabakh ont été encerclés, affamés et finalement attaqués par l’Azerbaïdjan.
Bien sûr, Bakou est le premier responsable du nettoyage ethnique qui vient d’être commis. Il devra en être comptable et nous demanderons que le régime d’Ilham Aliyev soit sanctionné. Bien sûr aussi, la médiation européenne a échoué parce qu’elle a voulu, de manière obsessionnelle, rester neutre. Desmond Tutu nous avait pourtant prévenus: si vous êtes neutres dans les situations d’injustice, vous avez choisi le camp de l’agresseur.
Notre Parlement avait aussi alerté à plusieurs reprises sur la tragédie qui couvait, sans être entendu. Alors je vous ai écoutés, Madame la Commissaire, et vous aussi, Monsieur le Secrétaire d’État. Vous observez, vous espérez, vous vous réjouissez, vous restez prêts. Mais enfin, dans quel monde vivez-vous? Aujourd’hui, je vous demande de nous écouter, Madame la Commissaire. Une autre catastrophe menace. L’Azerbaïdjan et la Turquie n’ont pas renoncé à rogner la souveraineté de l’Arménie. Vladimir Poutine n’a pas renoncé à abattre le gouvernement démocratique de Nikol Pachinian.
Jusqu’à aujourd’hui, l’Europe est restée passive pour le plus mauvais des calculs. Tarder à défendre une démocratie attaquée au prétexte que nous avons besoin de gaz, cela vous rappelle quelque chose? Vous avez raison, cela ressemble à l’Ukraine. Ne reproduisons pas nos erreurs. Sauvons notre honneur! Sauvons l’Arménie!
"
