MP,Date,Language,Title,Url,Content
Niclas HERBST,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-094-0000_DE.html,"  Niclas Herbst (PPE).   – Frau Präsidentin! Dieses Gesetz ist nicht kohärent mit anderen Gesetzen, die sich mit der Thematik beschäftigen. Das sieht man schon an der Definition, was ein guter Zustand ist. Das Verschlechterungsverbot ist völlig unzureichend geregelt. Wir haben das Problem im Fischereibereich, beispielsweise dass Meeresböden, die großteils noch unerforscht sind, automatisch einem schlechten Zustand zugerechnet werden. All das sind keine Kleinigkeiten, sondern ganz grundlegende Missstände dieses Gesetzes.
Und das sieht man auch daran, dass die Kommission zu Tricks greifen muss, indem sie z. B. sagt: Offshore-Windanlagen sind jetzt Wiederherstellungsmaßnahmen. Weil sich die verschiedenen Ziele widersprechen. Ich bin nicht gegen Offshore-Windkraft, aber zu sagen, dass ein massiver Betonblock auf dem Meeresboden und kilometerlange Kabel eine Wiederherstellungsmaßnahme der Natur sind, das zeigt einfach: Das Ganze hat eine Schlagseite, das Ganze ist nicht gut durchdacht.
Das mag vielen egal sein, weil das ein gutes Ziel ist und weil wir einen schönen Titel des Gesetzes haben. Aber das darf doch nicht unser Anspruch als Abgeordnete sein. Alles, was ich höre, ist, dass die Abgeordneten, die dagegen sind und diese fundamentalen Bedenken haben, Machtspielchen machen und schlechte Menschen sind. Ich gönne Ihnen diese moralische Arroganz. Ich bin Christdemokrat, ich kann gut gönnen. Aber was Sie wirklich machen: Sie nehmen die Menschen nicht mit, Sie heizen einen Stadt-Land-Konflikt an, und Sie schaden dem Klimaschutz.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Niclas HERBST,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-096-0000_DE.html,"  Niclas Herbst (PPE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Frau Roose! Also mal abgesehen davon, dass Sie jetzt Freizeitfischerei und Berufsfischerei in einen Topf geworfen haben, die sehr unterschiedliche Interessen haben, sage ich Ihnen: Erst mal habe ich eine Meinung als Abgeordneter, und was Verbände, denen ich auch nahestehe, sagen, ist wieder eine andere Sache. Ich muss mich schon selbst entscheiden und folge nicht Lobbygruppen.
Und das andere, was Sie gesagt haben, also wirklich die Behauptung, dass es zum Beispiel für den Dorsch, den Sie angesprochen haben, in der Ostsee in diesem Gesetz eine Lösung gibt, das ist wirklich weit hergeholt. Sie werden keinen Wissenschaftler finden, der Ihnen die Gründe für den schlechten Dorschbestand vollständig nennen kann. Jedenfalls das Institut, das Thünen-Institut, das auch den ICES Advice mitbestimmt, kann das nicht vollständig. Und zu sagen, dass wir dieses Gesetz verabschieden, und dann geht es dem Dorsch besser, also das dürfen Sie den Menschen wirklich nicht versprechen.
"
Niclas HERBST,2023-05-11,DE,Protecting and restoring marine ecosystems for sustainable and resilient fisheries - Agreement of the IGC on Marine Biodiversity of Areas Beyond National Jurisdiction (High Seas Treaty) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-050-0000_DE.html,"  Niclas Herbst (PPE).   – Herr Präsident, liebe Kolleginnen, liebe Kollegen! Zum Europatag haben Fischerinnen und Fischer in ganz Europa ihre Schiffshörner ertönen lassen aus Protest gegen aktuelle Pläne der Kommission. Das heißt, wir haben es geschafft, Menschen, die wir brauchen, die wir einbinden wollen, gegen uns aufzubringen. Damit muss Schluss sein. Wir müssen endlich damit anfangen, auch gerade den Fischereisektor mit einzubauen.
Ich nehme mal als Beispiel den Bereich der Krabbenfischerei. Die haben sich große Sorgen gemacht bei der Vorlage des Aktionsplans. Sie machen sich auch große Sorgen bei der Diskussion um das Nature Restoration Law. Das sind Menschen, die wir brauchen, die kulturelles Erbe weitertragen, die für den Tourismus extrem wichtig sind, und die im Übrigen auch davon leben, für die wir uns einsetzen müssen.
Ich bin Ihnen dankbar, Herr Kommissar, auch den Kollegen McAllister und Jens Gieseke, dass Sie mir geantwortet haben und klar gemacht haben, dass Sie diese Pläne vom Tisch nehmen. Auf der anderen Seite ist es wirklich problematisch, wenn in einer Zeit, wo gerade das Thünen-Institut, also die Wissenschaftler, denen Sie vertrauen – man weiß es –, eine Studie vorlegt, die belegt, dass die Auswirkungen der Krabbenfischerei auf den Meeresboden eindeutig sehr begrenzt sind.
Also lassen Sie uns diesen konfrontativen Weg verlassen und lassen Sie uns endlich regionale Lösungen finden, mit den Menschen, mit den Fischern vor Ort! Das ist der deutlich bessere Weg als das, was Sie jetzt konfrontativ so vorlegen.
"
Niclas HERBST,2022-11-22,DE,2023 budgetary procedure: joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-156-0000_DE.html,"  Niclas Herbst,  Berichterstatter. – Herr Präsident, meine sehr verehrten Damen und Herren! Es ist vollbracht: Wir haben ein Ergebnis in unseren Haushaltsverhandlungen. Und das an sich ist schon einmal sehr wichtig, denn ich glaube, es wäre sehr schwer zu vermitteln gewesen, dass wir uns in diesen schwierigen Zeiten sogar über vergleichsweise kleinteilige Themen streiten und es nicht schaffen, einen Haushalt zusammenzubringen.
Trotzdem bleiben auch einige grundlegende Probleme, und ich glaube, das grundlegendste ist, dass wir noch stärker daran arbeiten müssen, auch ins Verständnis aller zu bringen, dass die Europäische Union keine reine Geldverteilungsmaschine sein kann. Es geht darum, dass wir klare Prioritäten setzen, dass wir politische Prioritäten setzen, und ich glaube, dass uns das – und meine beiden Vorredner haben uns darauf hingewiesen – ganz gut gelungen ist als Parlament.
Ich möchte mich auch ganz herzlich bedanken, dass wir – auch über Parteigrenzen hinweg, trotz ja auch unterschiedlicher politischer Sichtweisen auf Prioritäten – es geschafft haben, uns zu einigen und zumindest einige dieser Prioritäten auch haushaltstechnisch verankern zu können.
Für die Zukunft müssen wir lernen, dass wir eben auch mit diesen Prioritäten die Zukunft determinieren. Wir reden über vergleichsweise kleine Beträge. Und wenn man den Gesamthaushalt sieht und den engen Rahmen, den uns der mehrjährige Finanzrahmen bietet, kann man vielleicht an der einen oder anderen Stelle denken: Na ja, das sind nur kleinere Beträge. Aber es geht eben auch darum, für die Zukunft ganz klare Prioritäten zu setzen, und da sind auch kleinere symbolische Beträge manchmal sehr, sehr wichtig.
Wir haben in der Rubrik 7 gesehen, dass die Situation insgesamt sehr schwierig ist. Wir haben als Parlament von Anfang an darauf hingearbeitet, auch hier eine klare Linie zu zeigen. Wir haben es auch gegenüber unserem eigenen Präsidium geschafft, Kürzungen durchzusetzen. Wir haben auf gesetzliche Bestimmungen hingewiesen, auf die Energiesituation. Wir haben einfach eine schwierige Situation, auch in dieser Rubrik.
Aber gerade hier müssen wir auch für die Zukunft lernen. Ich bin sehr froh, dass wir mit dem Thema Cybersecurity einen klaren Schwerpunkt setzen konnten, dass wir es geschafft haben, hier eine echte Verstärkung durchzusetzen, und dass wir uns auch ganz klar dazu committed haben und darauf geeinigt haben, dass wir hier auch stark zusammenarbeiten wollen in der Zukunft. Das ist etwas, was wir an dieser Stelle ja auch oft genug betont haben.
Das zeigt eben, dass wir die Herausforderungen der Zukunft auch im Haushalt sehen können müssen. Und wir sagen auch als Parlament, dass wir unserer Rolle als Anwalt der anderen Institutionen gerecht werden wollen; denn Europa funktioniert nur dann, wenn alle Institutionen gut arbeiten können und wenn sie auch finanziell und materiell und auch personell so ausgestattet sind, dass sie ihr Mandat erfüllen können. Das gilt auch für uns als Parlament, wohlwissend, dass uns hier auch eine schwierige Situation bevorsteht, denn die Situation in der Rubrik 7 wird ja nicht einfacher im nächsten Jahr. Wir haben es diesmal ja auch nur relativ knapp geschafft, unter dem Flexibilitätsinstrument zu bleiben. Wir werden auch als Parlament daran arbeiten müssen, dass wir in Zukunft ebenfalls diese Latte nicht reißen. Und deshalb sind wir auch in Zukunft darauf angewiesen, gut zusammenzuarbeiten.
Ich bedanke mich bei den Schattenberichterstattern, ich bedanke mich auch bei der Ratspräsidentschaft und auch bei der Kommission, die hier ihrer Rolle als Hüterin der Verträge und ehrlicher Makler gerecht geworden ist.
Wir haben gerade 70 Jahre Europäisches Parlament gefeiert. Ich denke, dass wir unserer Verantwortung auch als Gesetzgeber in Zukunft gerecht werden. Wir werden unsere Rolle selbstbewusst verteidigen, auch das lernen wir nach 70 Jahren Europäisches Parlament.
"
Niclas HERBST,2022-10-18,DE,General budget of the European Union for the financial year 2023 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-138-0000_DE.html,"  Niclas Herbst,  Berichterstatter. – Frau Präsidentin, meine sehr verehrten Damen und Herren! Der Kollege hat ja zu Recht kritisiert, dass dies kein Haushalt wie jeder andere sein darf – dass man es auch merken muss. Wenn wir uns Rubrik 7 anschauen, dann kommt man bei einer schnellen Durchsicht sehr schnell auf die Idee, es könnte ein Haushalt wie jeder andere sein. Aber ich will daran erinnern, dass wir bereits am Beginn dieses Verfahrens als Haushaltsausschuss eine Summe gegenüber dem Haushaltsplanentwurf unseres Präsidiums gekürzt haben, die mit 33 Millionen so groß war wie nie zuvor.
Wir wissen also sehr wohl auch in diesem Haus, dass wir viel zu tun haben und dass in diesen schwierigen Zeiten auch das Parlament und alle Institutionen vorangehen müssen. Ich glaube aber auch, dass am 24. Februar kaum jemand widersprochen hätte, wenn wir gesagt hätten, wir müssen hier unsere Resilienz stärken, wir müssen abwehrbereit sein gegen hybride Kriegsführung, wir müssen Cybersicherheit zu einem echten Schwerpunkt machen. Meine Damen und Herren, das müssen wir auch wirklich. Das ist der einzige echte Schwerpunkt, den wir personell setzen in diesem Haushalt: Cybersicherheit. Ich bin froh darum, dass wir fraktionsübergreifend hier einig zusammenstehen und das auch durchsetzen werden. Ich sage auch dazu: Ich bedanke mich für die konstruktive Atmosphäre – auch bei der Ratspräsidentschaft –, weil ich weiß, dass wir natürlich hier alle in einem Boot sitzen.
Wir haben mit CERT-EU bereits ein Instrument, das koordiniert, das vorangehen kann und das wir stärken können. Ich glaube sehr sicher, dass wir als Parlament zusammen – wenn ein konstruktiver Wille vorhanden ist – in den Verhandlungen hier gemeinsam einen Weg finden werden, um alle zum Nutzen aller Institutionen einen guten Weg zu finden. Aber – das sage ich auch – es ist keine Option, dass wir hier nicht handeln und die Risiken einfach Risiken sein lassen. Wir müssen abwehrbereit sein. Wir müssen unsere Resilienz stärken, meine lieben Freunde.
Gerade die anderen Institutionen zählen auch auf uns. Natürlich ist es unsere Rolle als Parlament, die anderen Institutionen ebenfalls zu stärken. Ich nenne hier den Gerichtshof, den Rechnungshof. Denn gerade in einer Zeit, und das sollten wir als Parlament auch selbstbewusst sagen, in der die Gemeinschaftsmethode immer weiter an den Rand gedrängt wird und zwischenstaatlich gehandelt wird, brauchen wir auch Kontrollinstrumente. Gerade wenn der Artikel 122 immer im Mittelpunkt des Handelns steht, müssen wir die Institutionen, die hier wirklich auch kontrollieren, wie zum Beispiel den Rechnungshof, stärken. Auch hier sollten wir als Parlament uns nicht auseinanderdividieren lassen und ganz klar die Meinung vertreten: Wenn es um 800 Milliarden Euro geht, dann sind ein paar Stellen an dieser Stelle wirklich nicht die falsche Investition. Es gibt genug zu kontrollieren, gerade bei dieser Summe.
Ich bin der Meinung, wir sollten uns anders als in den Vorjahren natürlich nicht an diesen Eifersüchteleien zwischen Institutionen beteiligen. Dafür ist die Lage zu ernst. Wir haben viele große Aufgaben, und ich sehe auch meine Aufgabe in meinem Bereich darin, dass die großen Linien, die der Kollege Ştefănuță ja gerade beschrieben hat, dadurch nicht in den Hintergrund treten und wir uns in kleinteiligen Diskussionen zwischen den Institutionen erschöpfen, sondern gemeinsam Lösungen finden, die dieser Haushaltslage wirklich angemessen sind – und da bitte ich auch alle Beteiligten darum. Wir sollen ja sparsam sein, meine Damen und Herren, und deshalb schenke ich dem Hohen Haus jetzt 57 Sekunden als Zeichen dafür, dass wir in den Verhandlungen hoffentlich gute Ergebnisse erreichen können.
"
Niclas HERBST,2022-10-18,DE,General budget of the European Union for the financial year 2023 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-207-0000_DE.html,"  Niclas Herbst,  Berichterstatter. – Herr Präsident! Ich glaube, die Debatte hat mehrere Punkte gezeigt. Zum einen waren es gerade die Kolleginnen und Kollegen aus den Fachausschüssen, die die Prioritäten der Ratspräsidentschaft verteidigt haben und dafür auch einstehen wollen und das auch finanzieren wollen. Ich glaube, das ist eine ganz gute Botschaft.
Das Zweite ist: Ich glaube, es ist auch angekommen, dass das Parlament hier in großer Einigkeit steht, dass wir hier natürlich über das eine oder andere Thema, wie zum Beispiel die palästinensischen Schulbücher, lebhaft diskutieren, aber bei den großen Punkten absolut einig sind und als Parlament hier auch geschlossen stehen.
Und das Dritte ist: Ich habe festgestellt, dass sowohl Kommissar Hahn als auch der stellvertretende Minister Georgiev die ganze Debatte – diese lebhafte Debatte – die ganze Zeit verfolgt haben. Das heißt, sie haben die nötige Zähigkeit, damit wir auch in den Verhandlungen zu einem guten Ergebnis kommen. Ich freue mich darauf.
"
Niclas HERBST,2022-09-13,DE,Presentation by the Council of its position on the draft general budget - 2023 financial year (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-362-0000_DE.html,"  Niclas Herbst,  Berichterstatter. – Frau Präsidentin, meine sehr verehrten Damen und Herren, liebe Kolleginnen und Kollegen! Die Herausforderungen des Haushalts sind ja hinreichend beschrieben worden, und es ist auch richtig, wie der Herr Kommissar gesagt hat, dass wir auch ein Beispiel geben müssen als Institution. Ich will darauf hinweisen, dass wir als Haushaltsausschuss die Vorstellungen unseres Präsidiums um einen Betrag gekürzt hatten wie nie zuvor. Wir sind uns also der Verantwortung durchaus bewusst. Wir können allerdings an manchen Herausforderungen und rechtlichen Verpflichtungen auch nicht vorbei.
Verantwortung bedeutet auch, dass wir uns nicht an diesem kleinteiligen Institutionenkampf beteiligen, den es hier leider so oft gegeben hat in der Vergangenheit. Und ich habe Verständnis dafür, dass gerade – so wie Sie es auch gesagt haben – das Thema Postenausstattung ein besonderes Thema ist. Und deswegen haben wir uns auch als Parlament auf einen einzigen Bereich, einen einzigen Bereich wirklich konzentriert. Und das ist das Thema Cybersicherheit, das auch schon genannt wurde. Und ich sage es sehr deutlich, denn, wie der Kollege Ștefănuță gesagt hat, without Putin bedeutet auch ohne seine Hacker. Und wir müssen Resilienz zeigen, müssen Widerstandsfähigkeit zeigen. Und nur, weil sich viele an die Bedrohungssituation, auch an die gefühlte Bedrohungssituation, gewöhnt haben, heißt das nicht, dass wir das als Parlament erlauben können.
Und ja, es ist richtig, wir müssen auch Synergien suchen. Wir sind absolut bereit, das sage ich auch als zuständiger Berichterstatter, CERT-EU eine besondere Position zu geben. Wir sind bereit, hier auch gemeinsam an einem Strang zu ziehen, weil wir alle gefährdet sind. Und wenn eine Institution angegriffen wird, dann ist das auch eine Konsequenz für die anderen Institutionen. Und deshalb ganz klar: Wir sind für alle Optionen offen. Für eine Option allerdings nicht, nämlich für die Option, dass wir nichts tun oder zu wenig tun. Wir müssen hier handeln, und wir sind absolut davon überzeugt, dass wir das auch durchsetzen können.
Wir sehen uns natürlich als Parlament auch als Anwalt der anderen Institutionen. Das sind wir auch weiterhin. Und deshalb glaube ich, dass der horizontale Ansatz, der ja traditionell gewählt wird sowohl von der Kommission als auch vom Rat, in dieser Situation schwierig ist, weil wir sehen, dass die anderen Institutionen sich durchaus auch Mühe gegeben haben und in vielerlei Hinsicht auch vorangegangen sind. Wir sollten uns das sehr genau anschauen. 
Und in diesem Sinne möchte ich auch darauf hinweisen, dass wir natürlich den anderen Institutionen und auch den dezentralisierten Agenturen – die kann man dort mit nennen – nicht immer neue Aufgaben geben können, ohne die Finanzausstattung darzustellen. Dann müssen wir auch an anderer Stelle mal sagen: Wir wollen hier vielleicht etwas sparsamer sein bei den Herausforderungen, bei den Aufgaben, dann können wir auch beim Personal entsprechend sparen.
Meine Damen und Herren, wir als Parlament sind konstruktiv. Wir wollen in die Verhandlungen gehen mit dem Selbstbewusstsein, das uns als Parlament auszeichnet. Wir sind aber nicht nur selbstbewusst, wir sind auch verantwortungsbewusst. Ich bin sicher, dass wir ausgetrampelte Pfade verlassen können, dass wir die Fehler der Vergangenheit nicht wiederholen müssen und dass wir gemeinsam, alle Institutionen, an einem Strang ziehen können. Wir als Parlament sind dazu bereit, selbstbewusst und verantwortungsbewusst.
"
Niclas HERBST,2022-04-04,DE,"Future of fisheries in the Channel, North Sea, Irish Sea and Atlantic Ocean (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-04-INT-1-142-0000_DE.html,"  Niclas Herbst (PPE).   – Frau Präsidentin, meine sehr verehrten Damen und Herren! Vielen Dank an den Berichterstatter und auch an den Kommissar. Ich möchte die kurze Zeit, die mir gegeben ist, nutzen, um auf einen aus meiner Sicht wichtigen Punkt hinzuweisen. Das ist die Tatsache, dass die Reserve für die Anpassung an den Brexit einem engen Personenkreis – nämlich den Fischereibetrieben, die ganz besonders betroffen sind – helfen soll, und das in einem sehr begrenzten Zeitraum. Gerade vor dem Hintergrund ist es aus meiner Sicht problematisch, dass die Kommission aus Wettbewerbsgründen die Förderquote des EMFAF bzw. des EMFF ansetzt, sodass im Einzelfall nicht die volle angedachte Höhe der Reserve für die Anpassung an den Brexit genutzt werden kann. Das ist ein Problem, genauso wie der Zeitrahmen.
Wir haben viele Probleme mit den Lieferketten aktuell. Gerade größere Projekte können so gar nicht angestoßen werden. Auch hier sollte über eine Anpassung nachgedacht werden. Gerade vor dem Hintergrund der gerade extrem hohen Treibstoffpreise brauchen wir eine maximale Flexibilität, um unsere Betriebe zu retten. Ich bitte die Kommission, noch mal darüber nachzudenken, und wünsche denjenigen, die in der Kommission dafür kämpfen, viel Erfolg.
"
Niclas HERBST,2021-11-23,DE,2022 budgetary procedure: joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-23-INT-2-221-0000_DE.html,"  Niclas Herbst,  im Namen der PPE-Fraktion. – Herr Präsident, meine sehr verehrten Damen und Herren! Die Europäische Union muss mehr sein als eine Geldverteilungsmaschine. Deshalb ist es unsere Aufgabe hier im Parlament, für den europäischen Mehrwert zu streiten, und unser Ausschussvorsitzender hat dazu Einiges gesagt, und es ist uns gelungen. 
Ich möchte mich bei all denen bedanken, die dafür gekämpft haben: EU4Health, Horizon ganz besonders, rescEU und Erasmus+ wurden genannt. Und die Kehrseite dieser Medaille ist die Kontrolle, denn nicht nur der Mehrwert ist wichtig, sondern auch der Einsatz. Es ist uns im Bereich Heading 7 gelungen, zum Beispiel den European Court of Auditors zu stärken, auch den Europäischen Staatsanwalt. Das ist die Kehrseite der Medaille, die sehr, sehr wichtig ist. Aber das gilt für alle Institutionen, auch für uns. 
Auch wir haben hier eine besondere Aufgabe, und das dürfen wir auch selbstbewusst sagen: Das muss sich auch im Budget widerspiegeln. Insgesamt hat sich gezeigt, dass auch die anderen Institutionen ein starkes Parlament brauchen und sich das offensichtlich auch wünschen und uns auch herausfordern. Diesen Wunsch werden wir auch im nächsten Jahr bei den nächsten Verhandlungen als selbstbewusstes Parlament erfüllen können.
"
Niclas HERBST,2021-10-19,EN,General budget of the European Union for the financial year 2022 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-19-INT-2-182-0000_EN.html,"  Niclas Herbst,  on behalf of the PPE Group. – Madam President, a lot of wise words have already been spoken during this debate so I would like to seize the opportunity and draw your attention to some examples which might bring us to more general points. These are, for us as budgetary politicians, especially clarity and control. 
We can see that significant funds from financing programmes are transferred, for example, to decentralised agencies. I can give you two examples. The EU4Health programme, which we fought for quite strongly in this Parliament, goes to the Organisation for Economic Co—operation and Development (OECD) Agency and the European Medicines Agency (EMA). I support these fields of policy because they are very important. The pandemic has shown this very clearly. 
Another example is border management and the visa instrument, money transferred to Europol. I strongly support this strengthening of Europol, but the way it is done contradicts the need for clarity that we, as parliamentarians, should fight for. The real questions that we should ask ourselves are: is it necessary not only to understand the movements, but the underlying reasons, and are agencies taking over tasks that would otherwise have been financed under the programme? It is important to have control as well. In the fields of other sections, we talk about supporting the European Court of Auditors, and let me say that, if we, as a parliament, have literally no control over NextGenerationEU and the vast amounts that go along with this programme, we should at least strengthen the European Court of Auditors. 
Bearing this in mind, I think we should agree that we, as a parliament, should talk more about clarity and more about control. We will strengthen the whole Parliament. 
"
