MP,Date,Language,Title,Url,Content
Nicola BEER,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-007-0000_DE.html,"  Nicola Beer,  Berichterstatterin. – Herr Präsident, Herr Kommissar Breton, liebe Kolleginnen und Kollegen! In unserer vernetzten Welt überschreiten globale Herausforderungen nationale Grenzen und fordern gemeinsames Handeln. Wir erleben schwerwiegende geopolitische Veränderungen wie Russlands brutalen Angriffskrieg gegen die Ukraine oder Chinas zunehmend aggressiven geopolitischen Machtanspruch. Die Exportrestriktionen zu Gallium, Germanium und Graphit sprechen hier eine deutliche Sprache. Zwingend also in dieser Zeit, gemeinsam unsere strategische Souveränität voranzutreiben, zu handeln – zügig und wirkungsvoll.
Nur vier Monate zwischen Entwurf der Kommission zur Verordnung über kritische Rohstoffe und Kompromiss im Europäischen Parlament. Nur weitere vier Monate für die Einigung im Trilog, einen Monat darauf hier fertig abgestimmt und damit in Rekordzeit im Gesetzblatt. So, liebe Kolleginnen und Kollegen, geht europäische Handlungsfähigkeit, wie wir sie öfter demonstrieren sollten.
Und vor allem: ein gutes, ein praxistaugliches Gesetz, welches den Grundstein für die sichere Rohstoffversorgung Europas legt und damit für die digitale und die grüne Transformation, für unseren Wohlstand und nachhaltiges Wirtschaften. Ein Rohstoffgesetz, welches die Industrie beflügelt statt belastet – mit Investitionsanreizen, einfachen, schnellen Genehmigungsverfahren und Planungssicherheit für Unternehmen und Investoren statt mehr Bürokratie und Berichtspflichten.
Viele unserer Kernpunkte als Parlament sind enthalten. Lassen Sie mich vier anführen: ein neues innovatives Konzept mit einer recycling benchmark auf der Basis der heute schon im Abfall vorhandenen Rohstoffe. Dies, liebe Kolleginnen und Kollegen, ist ein realitätsnaher Ansatz. Anstatt an unsicheren Projektionen für den Verbrauch im Jahr 2030 orientieren wir uns an den im Abfall vorhandenen Mengen der strategischen Rohstoffe und daran, wie viel wir davon zurückgewinnen können. So senden wir ein klares Signal an die Recyclingindustrie: Wir wollen strategische Rohstoffe in Europa recyceln.
Zweiter Punkt: ehrgeizige und planbare Genehmigungsverfahren. Aktuell haben Genehmigungsverfahren für kritische Rohstoffprojekte in der Europäischen Union ein Zeitfenster von bis zu 15 Jahren. Doch Zeit ist Geld. In der Zukunft werden die Fristen für strategische Projekte in der EU erheblich verkürzt. 27 Monate für Bergbauprojekte, 15 Monate für Verarbeitungs- und Recyclingprojekte. Mit diesen ehrgeizigen Fristen erreichen wir endlich Planungssicherheit für Unternehmen in Europa.
Drittens: klare und zentrale Ansprechpartner. Das viel zu oft gespielte Zuständigkeitspingpong der Behörden gehört nun der Vergangenheit an. Eine Behörde ist für die Koordination der Genehmigungsprozesse verantwortlich. Und für die Unternehmer kommt es noch besser: Sie haben zu jeder Zeit im Genehmigungsprozess einen zentralen Ansprechpartner, der ihnen als Verantwortlicher zur Verfügung steht.
Viertens: ein Innovationsschub entlang der Wertschöpfungskette. Auch Substitutionsprojekte können strategische Projekte werden – eine neue Idee dieses Parlaments. Das ist nicht nur ein wichtiger Schritt hin zu europäischer Technologieführerschaft, zum scale-up im Innovationsbereich, sondern das ermöglicht auch eine direkte Reduzierung von Umweltbelastungen durch Bergbau sowie von unseren Abhängigkeiten. Denn klar ist: Jedes Gramm Rohstoffe, das wir substituieren können, müssen wir nicht abbauen oder importieren.
Mit dieser Neuaufstellung, liebe Kolleginnen und Kollegen, werden wir gleichzeitig ein attraktiver Partner weltweit. Mit strategischen Partnerschaften in Drittstaaten reduzieren wir geopolitische und wirtschaftliche Risiken gleichermaßen und schaffen von Bergbau über Verarbeitung, Recycling bis hin zur Substitution neue Zukunftschancen für unsere Partnerinnen und Partner und uns selbst. Kurz: Planungssicherheit für Unternehmen, echte Anreize für private Investitionen in der EU und mit verlässlichen Partnern in Drittstaaten – das sichert Arbeitsplätze und Wohlstand, reduziert einseitige Abhängigkeiten, sichert uns ab gegen die Stürme der Geopolitik, egal ob von Ost oder West.
Von meiner Seite aus ein sehr, sehr herzlicher Dank an den Europäischen Rat und die spanische Ratspräsidentschaft, die Europäische Kommission, besonders an Kommissar Breton und Generaldirektorin Jorna, und an alle beteiligten Kollegen hier im Europäischen Parlament, insbesondere inklusive ihrer Teams, für die produktiven und vorwärtsgerichteten Verhandlungen und die konstruktive Zusammenarbeit während der letzten Monate. Ein weiterer Dank geht ausdrücklich an die Mitarbeiterinnen und Mitarbeiter der Verwaltung unseres Europäischen Parlaments für die Sicherstellung der beschleunigten Beratung. Und jetzt freue ich mich auf eine rege Debatte.
"
Nicola BEER,2023-12-12,EN,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-074-0000_EN.html,"  Nicola Beer,  rapporteur. – Cher Monsieur Commissaire, cher Thierry, Mr President, dear colleagues, thank you very much for all your contributions. Your participation in this debate is yet another example of our shared ambition on this very important topic. I say it very clearly: those who really take the green and the digital transition seriously have to vote ‘Yes’ today on the Critical Raw Materials Act.
Important: today’s debate and vote are not the end of the process; they are only the beginning – the beginning of Europe’s path towards a secure and sustainable supply of critical raw materials.
The European Union must now translate the ambition into concrete actions – actions in the Member States and by the Commission – so that quick permits become reality and private investments in raw materials projects will be facilitated; actions that make Europe a leader in the development of substitute materials, and the implementation of innovative processes; and actions that deliver on our geopolitical ambitions to be a strategical sovereign union.
We need a critical raw material agreement with Australia. Australia is a like-minded partner and ally for trade based on values, rules and fair competition. Let us seize the opportunity for free trade between partners and close cooperation on the raw materials sector, to strengthen the role of value-based cooperation in today’s geopolitically stormy landscape.
We need to approach our partnerships with countries of the so-called Global South by conveying clear messages. We want partnerships on equal footing. We want local value creation. We want mutual benefits for all partners involved. We want to do business with you.
Let’s use the momentum we have created for more raw material projects, more partnerships, and more and more sovereign Europe. This law is only the beginning. Let us act now.
"
Nicola BEER,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-314-0000_DE.html,"  Nicola Beer (Renew).   – Herr Präsident! Bei aller Erleichterung über die Freilassung einiger Geiseln dürfen wir nicht vergessen, dass sich noch viele Menschen in der Terrorgewalt der Hamas befinden. Die erschütternden Berichte über entfesselte sexuelle Gewalt, die die Hamas-Terroristen an israelischen Frauen und Mädchen verübt haben und die bisher viel zu wenig thematisiert wurde – auch heute wieder hier in dieser Debatte –, sind Belege für die Gewaltbereitschaft, ja, für die Unmenschlichkeit der Hamas. Nicht zuletzt angesichts dieser Grausamkeit ist jetzt nicht der Zeitpunkt für die Forderung des UN-Generalsekretärs Guterres nach einem sofortigen, umfänglichen Waffenstillstand. Humanitäre Pausen zur Versorgung der Zivilbevölkerung: ja. Aber mit einer Terrorgruppe wie der Hamas kann kein Waffenstillstand verhandelt werden.
Wichtig ist, den Blick nach vorne zu richten. Die Menschen in Israel brauchen eine glaubhafte Perspektive auf ein Leben in Sicherheit und Frieden. Ebenso braucht die palästinensische Bevölkerung eine glaubhafte Perspektive auf ein Leben als Nachbarn Israels in einem lebensfähigen Staat. Dazu müssen alle Kräfte in der Region, auch Israel, beitragen. Auch wir als Europäische Union können einen Beitrag leisten, indem wir unsere politischen, gesellschaftlichen und finanziellen Mittel bündeln und gemeinsam einsetzen, ohne dass sie Terroristen und ihren Netzwerken zugutekommen dürfen.
(Die Rednerin ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Nicola BEER,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-316-0000_DE.html,"  Nicola Beer (Renew),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Frau Kollegin, ich bin bei Ihrem letzten Satz bei Ihnen: Kein Mensch darf sterben! Aber hier, diesen Krieg hat die Hamas, hat eine Terrororganisation angefangen, die ihr eigenes Volk seit Jahrzehnten unterdrückt. Und daher die Gegenfrage: Wann kapieren Sie endlich, dass wir diesen Terror bekämpfen müssen? Das ist ein Kampf, den wir führen für palästinensische Zivilisten, die auch von der Hamas unterdrückt werden.
"
Nicola BEER,2023-11-22,DE,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-023-0000_DE.html,"  Nicola Beer (Renew).   – Herr Präsident! Bei aller höchst berechtigten Sorge um die humanitäre Krise in Gaza, um das Leid der Bevölkerung, die zivilen Opfer, darf das Wesentliche nicht in Vergessenheit geraten: Auslöser dieses Leids ist der barbarische Terror der Hamas. Terror, der anhält. Täglich schießt Hamas Raketen auf israelische Zivilisten, missbraucht die Menschen in Gaza als Schutzschilde – darunter über 200 Geiseln in ihrer Gewalt. Es liegt in den Händen der Hamas, das Leiden zu beenden, die Waffen zum Schweigen zu bringen, und dazu ist die Freilassung aller Geiseln zwingend.
Für einen wirklichen Frieden aber muss der Terror der Hamas enden. Wäre es vermessen zu denken, dass Israelis und Palästinenser dies gemeinsam vollbringen? Zu hoffen, dass Führungspersonen mit Persönlichkeit, auch mit eigenen schmerzlichen Erfahrungen des Verlusts geliebter Menschen, dafür einstehen, diesen Konflikt zu beenden? Zu glauben, dass Politiker bereit sind, sich über Machtinteressen hinwegzusetzen und an einer gemeinsamen Zukunft zu arbeiten?
In Europa ist dies nach dem Zweiten Weltkrieg gelungen. Wir brauchen einen neuen Oslo-Moment, und wir als EU sollten alles tun, dies zu unterstützen.
"
Nicola BEER,2023-11-21,DE,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-470-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
"
Nicola BEER,2023-11-21,DE,Strategic Compass and EU space-based defence capabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-472-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über den Bericht von Arnaud Danjean im Namen des Ausschusses für auswärtige Angelegenheiten über das Thema „Strategischer Kompass und weltraumgestützte Verteidigungsfähigkeiten der EU“ (2022/2078(INI)) (A9-0334/2023).
Ich weise darauf hin, dass sich die Fraktionen darauf geeinigt haben, dass es bei dieser Aussprache nur eine Runde der Fraktionen geben wird, deshalb werden auch weder spontane Wortmeldungen noch blaue Karten akzeptiert.
"
Nicola BEER,2023-11-21,DE,Strategic Compass and EU space-based defence capabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-484-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
Die Abstimmung findet am Donnerstag, 23. November 2023, statt.
"
Nicola BEER,2023-11-21,DE,Recent developments at the EU’s external border between Finland and Russia and the need to uphold EU law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-486-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärungen des Rates und der Kommission zu den jüngsten Entwicklungen an der EU-Außengrenze zwischen Finnland und Russland und der Notwendigkeit der Einhaltung des EU-Rechts (2023/2999(RSP)).
"
Nicola BEER,2023-11-21,DE,Recent developments at the EU’s external border between Finland and Russia and the need to uphold EU law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-511-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
Schriftliche Erklärungen (Artikel 171)
"
Nicola BEER,2023-11-21,DE,Innovative humanitarian aid strategy: spotlight on current and forgotten crises (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-513-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die kurze Darstellung des Berichts von Carlos Zorrinho im Namen des Entwicklungsausschusses über den Entwurf einer innovativen Strategie für humanitäre Hilfe mit einem Blick auf aktuelle und vergessene Krisen (2023/2000(INI)) (A9-0321/2023).
"
Nicola BEER,2023-11-21,DE,Innovative humanitarian aid strategy: spotlight on current and forgotten crises (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-520-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
Die Abstimmung findet am Donnerstag, 23. November 2023, statt.
Schriftliche Erklärungen (Artikel 171)
"
Nicola BEER,2023-11-21,DE,Job creation  –  the just transition and impact investments (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-522-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die kurze Darstellung des Berichts von Sara Matthieu im Namen des Ausschusses für Beschäftigung und soziale Angelegenheiten über die Schaffung von Arbeitsplätzen – gerechter Übergang und nachhaltiges Investieren (2022/2170(INI)) (A9-0342/2023).
"
Nicola BEER,2023-11-21,DE,Job creation  –  the just transition and impact investments (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-530-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
Die Abstimmung findet am Donnerstag, 23. November 2023, statt.
"
Nicola BEER,2023-11-21,DE,Harnessing talent in Europe’s regions (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-532-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die kurze Darstellung des Berichts von Cristina Maestre Martín De Almagro im Namen des Ausschusses für regionale Entwicklung über die Talenterschließung in den Regionen Europas (2023/2044(INI)) (A9-0325/2023).
"
Nicola BEER,2023-11-21,DE,Harnessing talent in Europe’s regions (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-539-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist damit geschlossen.
Die Abstimmung findet am Donnerstag, 23. November 2023, statt.
"
Nicola BEER,2023-11-21,DE,Explanations of vote,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-541-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgen die Erklärungen zur Abstimmung.
"
Nicola BEER,2023-11-21,DE,"Children first - strengthening the Child guarantee, two years on from its adoption (B9-0462/2023)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-560-0000_DE.html,"  Der Präsident. –   Die Erklärungen zur Abstimmung sind geschlossen.
"
Nicola BEER,2023-11-21,DE,Agenda of the next sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-562-0000_DE.html,"  Die Präsidentin. –   Die nächste Sitzung findet morgen, Mittwoch, 22. November 2023, um 9.00 Uhr statt.
Die Tagesordnung wurde veröffentlicht und ist auf der Website des Europäischen Parlaments verfügbar.
"
Nicola BEER,2023-11-21,DE,Approval of the minutes of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-564-0000_DE.html,"  Die Präsidentin. –   Das Protokoll dieser Sitzung wird dem Parlament morgen nach der Abstimmung zur Genehmigung vorgelegt.
Unser herzlicher Dank gilt den Dolmetschern, die uns eine Viertelstunde extra geschenkt haben.
"
