MP,Date,Language,Title,Url,Content
Nicola DANTI,2023-10-18,IT,Preparation of the European Council meeting of 26-27 October 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-106-0000_IT.html,"  Nicola Danti (Renew).   – Signor Presidente, signor Ministro, signor Vicepresidente, onorevoli colleghi, i fatti e gli avvenimenti che il mondo ci mette davanti cambiano ogni giorno le priorità del Consiglio europeo. Qualche giorno fa era la migrazione, ieri l'attacco di Hamas a Israele, oggi il terrorismo nelle nostre città e non possiamo dimenticare che sul suolo europeo ancora si combatte una brutale guerra contro il popolo ucraino, aggredito da Putin.
Cambia l'ordine del giorno, ma la soluzione preferita dal Consiglio è quasi sempre la stessa: prendere tempo e limare un po' le divisioni interne. Avremmo invece bisogno di coraggio. Il coraggio di riconoscere una volta per tutte che nessuno Stato nazionale e nessuna politica sovranista possono affrontare queste sfide da soli. Il coraggio di prendere di petto i problemi che abbiamo davanti senza sbandierare soluzioni facili, ma cercando i compromessi necessari per migliorare le cose. Il coraggio di dimostrare al mondo di non avere davanti 27 capi di Stato divisi fra loro, ma una squadra che parla con una voce sola e che agisce come tale.
Signor Presidente, forse abbiamo bisogno di un solo punto all'ordine del giorno del prossimo Consiglio: vincere insieme o perdere da soli.
"
Nicola DANTI,2023-10-18,IT,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-198-0000_IT.html,"  Nicola Danti (Renew).   – Signora Presidente, onorevoli colleghi, l'improvviso ritiro degli Stati Uniti dall'Afghanistan, l'aggressione russa all'Ucraina, la pressione di Pechino su Taiwan e infine l'attacco di Hamas contro Israele sono avvenimenti tragici che ci consegnano una realtà evidente: il mondo bipolare non c'è più e gli Stati Uniti non riescono più a giocare il ruolo di garante dell'ordine internazionale.
Si è affermato il ruolo della Cina, si sono affacciati sulla scena India, Brasile, Arabia Saudita e Sudafrica, che vogliono ritagliarsi sempre più il proprio spazio. Chi è rimasto fermo invece è l'Europa, un'Europa che non c'è da un punto di vista militare, dove ognuno dei 27 paesi gioca la partita in proprio, e non c'è da un punto di vista politico, con l'Alto rappresentante che parla solo a nome di sé stesso.
E certamente non ne guadagniamo in credibilità quando piccoli leader, come ieri Orbán, scattano foto con Putin nel silenzio totale delle istituzioni comunitarie. Cari colleghi, la via dell'integrazione economica ci ha consegnato un continente prospero, ma alle sfide di oggi non basterà rispondere con la potenza economica e commerciale.
Tre sono le cose da fare, se non vogliamo perdere l'appuntamento con la Storia. La prima, una riforma dei trattati, con l'abolizione del voto all'unanimità, che ormai non può più attendere. La seconda, la creazione di un esercito europeo, senza il quale le nostre parole sono lettera morta. La terza, una politica estera veramente delegata all'Alto rappresentante, per far sentire la voce dell'Europa. 
Questa è la sfida su cui si misurerà chi crede o meno al futuro e alla prosperità del nostro continente.
"
Nicola DANTI,2023-10-04,IT,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-154-0000_IT.html,"  Nicola Danti,  a nome del gruppo Renew. – Signora Presidente, onorevoli colleghi, signor Commissario, in quest'Aula risuonano spesso i termini di ""Green Deal"", ""Digital Decade"", ""strategia"" e ""ambizione"", che condividiamo appieno, ma attenzione: mentre pensiamo al 2030 ci sono cittadini europei che adesso, non fra dieci anni, sono sprovvisti di un alloggio dignitoso.
Le conseguenze dell'emergenza abitativa sono drammatiche: l'incremento del numero dei senzatetto, quasi un milione di persone in Europa, il fenomeno delle occupazioni abusive, con centinaia di migliaia di famiglie costrette a vivere in edifici fatiscenti e insalubri, senza acqua, luce e gas, e anche l'aumento dei tassi di interesse sui mutui mettono in crisi le famiglie che hanno difficoltà di accesso al mutuo per la prima casa o pagano una rata a tasso variabile sempre più alta.
Sono necessarie politiche, anche europee, efficaci e coordinate per supportare i sindaci in questa emergenza. Azzeriamo il gap di investimenti di 57 miliardi sugli alloggi attraverso un migliore utilizzo dei fondi comunitari esistenti. Proponiamo l'approccio distrettuale nella ristrutturazione di alloggi a prezzi accessibili tramite la direttiva sulla prestazione energetica degli edifici. Stimoliamo tramite il nuovo Bauhaus la co-progettazione per i residenti, il co-housing intergenerazionale e le comunità energetiche, al fine di creare quartieri vivibili e abbassare le bollette. Sollecitiamo, infine, il sistema bancario a prevedere tassi di interesse calmierati per i giovani e le famiglie che chiedono per acquistare la prima casa.
Lo dobbiamo agli studenti che dormono in tenda nelle principali città universitarie, ai milioni di senzatetto e alle tante famiglie che adesso devono decidere se pagare la bolletta o fare la spesa.
"
Nicola DANTI,2023-10-03,IT,The 10-year commemoration since the tragedy in Lampedusa(statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-139-0000_IT.html,"  Nicola Danti,  a nome del gruppo Renew. – Signora Presidente, onorevoli colleghi, ricordiamo oggi un evento luttuoso che non è stato altro che il primo di una lunga serie che è ancora in corso. Dieci anni dopo il tragico naufragio cosa è cambiato? Forse il lembo di mare o la spiaggia dove raccogliamo i cadaveri, come solo qualche mese fa a Cutro. Ma gli eventi non cambiano, e non è cambiata la politica europea sull'immigrazione, ancora cieca a questo dolore.
Eppure in questi anni abbiamo visto immagini che ci hanno fatto piangere, come quella del corpo del piccolo Alan Kurdi, con la sua maglietta rossa, disteso sulla spiaggia di Bodrum. Ma questo susseguirsi di morti in mare non ha reso le nostre coscienze più indignate o le nostre opinioni pubbliche più sensibili. Come dimostra la Storia, ci si può abituare al male, si può perdere l'indignazione, si può affievolire l'umanità. Ecco il rischio che stiamo correndo, cari colleghi.
Dovremmo sentire in quest'Aula il peso di 2 500 anni di civiltà, di storia, di umanità. Questa è la responsabilità che abbiamo oggi, e invece ci riduciamo a piccole polemiche politiche tra Stati europei sul ruolo delle ONG nel Mediterraneo. A dieci anni da Lampedusa, a otto dal canale di Sicilia, a pochi mesi da Cutro e dal naufragio del Peloponneso, stiamo continuando a tradire i nostri valori e la nostra civiltà.
"
Nicola DANTI,2023-10-03,IT,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-203-0000_IT.html,"  Nicola Danti (Renew).   – Signor Presidente, onorevoli colleghi, siamo rimasti colpiti, ma non stupiti, dall'inchiesta che avrebbe messo in evidenza la vendita di visti da parte delle autorità polacche. Si faccia al più presto chiarezza su questa vicenda. Se confermata, la retorica sovranista verrebbe spazzata via da un pugno di soldi che il governo moralizzatore e servitore dell'identità polacca si sarebbe intascato.
Per anni abbiamo ascoltato il governo polacco affermare la necessità dei respingimenti, dei muri, dei fili spinati e delle vedette nei mari per difendere la presunta invasione di terroristi, ma non ci avevano detto che bastavano 5 000 euro per superare tutte queste barriere. Addirittura si parla di 250 000 visti venduti: un'enormità se consideriamo che in Italia nel 2022 sono sbarcati 105 000 migranti, meno della metà.
Urgente è il bisogno di verità sul numero dei visti venduti e, soprattutto, sul tipo di acquirenti. Perché non è difficile pensare che, quando si tratta di pagare, sia più facile per chi rappresenta organizzazioni criminali piuttosto che per poveri disgraziati che muoiono di fame.
"
Nicola DANTI,2023-09-13,IT,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-044-0000_IT.html,"  Nicola Danti (Renew).   – Signora Presidente, onorevoli colleghi, signora Presidente della Commissione, la nostra Unione ha affrontato in questi anni sfide che solo quattro anni fa sembravano inimmaginabili e a cui abbiamo dato risposte all'altezza: dal COVID-19 e al Recovery Plan all'assistenza all'Ucraina. Ma tutto ciò non può renderci tranquilli rispetto alle enormi sfide che ci attendono. Ne cito rapidamente tre.
La prima: l'Europa rischia di essere marginale nel mondo, fa fatica nella competizione digitale, ha un problema demografico, si trova a gestire un importante flusso migratorio. Certo, siamo ancora una grande potenza commerciale, ma soffriamo a causa di una globalizzazione senza regole multilaterali. E bene ha fatto la Presidente a mettere tra le priorità un'azione contro il dumping cinese.
Il secondo: l'allargamento della nostra Unione. Un'Europa più grande sarà un bene solo se sarà in grado di decidere. Le regole odierne non lo garantiscono e mi aspettavo di più dal suo intervento rispetto alla riforma dei trattati.
Il terzo punto: le dipendenze strategiche nel campo della difesa, dell'energia e delle materie prime critiche ci hanno portato a lanciare un programma di reindustrializzazione, ma serve fare di più.
Davanti a questo quadro, c'è solo una risposta e questa risposta siamo noi: l'Europa. Un'Europa con nuove regole di funzionamento, più protagonista del mondo e più solidale. Soltanto prendendo di petto i problemi, come abbiamo fatto durante il COVID, saremo in grado di sfidare il futuro.
"
Nicola DANTI,2023-09-12,IT,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-103-0000_IT.html,"  Nicola Danti (Renew).   – Signor Presidente, onorevoli colleghi, la grave crisi migratoria di quest'estate è l'ennesima prova che l'estrema destra su questo tema è brava a prendere voti in campagna elettorale ma pessima quando si trova a dover governare un problema così complesso. Il disastro firmato Giorgia Meloni, che è l'accordo con la Tunisia, è sotto gli occhi di tutti: risultati nulli, arrivi più che raddoppiati, l'Europa che ora si trova sotto ricatto del dittatore di turno.
Cari colleghi, se speriamo di fermare a poche miglia dalle nostre coste i milioni di persone che aspirano a condizioni di vita dignitose, facendo fare il lavoro sporco a regimi più o meno autoritari attraverso accordi di corto respiro, non otterremo il risultato sperato. Anzi, ci alieneremo la reputazione di culla della civiltà e dei diritti, consegnando questo continente alle illusioni di Cina e Russia.
Allora basta slogan, basta finte soluzioni, buone solo a rincorrere il consenso elettorale. Serve uno sguardo lungo, investimenti, cooperazione allo sviluppo, commercio e difesa della democrazia. Solo così potremo dare una prospettiva al continente africano e, al contempo, controllare il fenomeno migratorio.
"
Nicola DANTI,2023-07-12,IT,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-090-0000_IT.html,"  Nicola Danti (Renew).   – Signora Presidente, signor Segretario di Stato, signora Commissaria, onorevoli colleghi, alcuni principi sono sanciti nei trattati internazionali e sono alla base della nostra civiltà. Salvare le vite in mare è uno di questi e questo principio sta sopra ogni altra valutazione sulle politiche migratorie o a ogni presunto interesse nazionale.
Certamente dobbiamo investire in cooperazione con i paesi di origine, certamente dobbiamo rafforzare il contrasto ai trafficanti che lucrano sulle legittime aspirazioni di chi parte, ma solo canali d'immigrazione legali e sicuri possono rappresentare una valida alternativa ai barconi sui quali molte persone rischiano la vita.
Signora Presidente, vorrei anche evidenziare quanto contraddittorie siano le valutazioni di molti leader europei, tra cui il Primo ministro italiano, che vedono nella difesa dei confini esterni la panacea.
Quando non c'è la terra ma il mare, proteggere i confini rischia di tramutarsi nell'abbandono di donne, uomini e bambini al largo delle nostre coste. E da questo all'omissione di soccorso, anche in violazione delle leggi della navigazione, il passo è breve. Un passo che rischia di vanificare l'intero cammino della nostra civiltà.
"
Nicola DANTI,2023-07-10,IT,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-077-0000_IT.html,"  Nicola Danti (Renew).   – Signora Presidente, signora Commissaria, onorevoli colleghi, parlare di transizione verde significa saper coniugare ambizione e concretezza, senza cedimenti a ideologie o manifesti politici.
In alcuni casi non ci siamo riusciti e penso alla legge sul ripristino della natura e al voto di mercoledì; in altri, invece, abbiamo capito che gestire la transizione significa scegliere obiettivi sfidanti ma realizzabili.
È questo il caso della direttiva sull'efficienza energetica, che fissa un target vincolante di riduzione del consumo energetico dell'11,7 % al 2030, nonché obiettivi di risparmio energetico per ciascun Stato membro. Una legislazione fondamentale che rende realizzabili l'adagio per cui l'energia migliore, quella più pulita, è quella che non consumiamo, che non vuol dire decrescita infelice o stop alla produzione industriale, ma investimenti in sistemi di gestione del consumo dell'energia, efficientamento del parco immobiliare pubblico, incentivi per scommettere su apparecchi e prodotti più efficienti.
Misure che, abbiamo visto in questo anno di prezzi dell'energia impazziti, sono sempre più urgenti per abbassare le bollette e per renderci meno dipendenti da paesi terzi.
"
Nicola DANTI,2023-06-14,IT,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-024-0000_IT.html,"  Nicola Danti (Renew).   – Signor Presidente, onorevoli colleghi, signora Ministra, signor Vicepresidente, il prossimo Consiglio europeo sarà una tappa fondamentale per le sfide che l'Europa ha davanti. Ucraina, clima, Cina, riforma della governance economica sono alcuni dei temi imprescindibili della nostra agenda. 
Sul tema migrazioni, dopo l'ultimo Consiglio ""Affari interni"" vediamo finalmente concretizzarsi un accordo che riconosce la necessità di trovare una convergenza europea, ma che lascia ancora irrisolti troppi nodi. Ancora una volta, il dibattito così importante per l'Italia e per i paesi del Mediterraneo si è scontrato contro il muro dell'opposizione e dei governi politicamente affini a quello italiano. Manca un tassello importante, che è quello della previsione di canali legali di immigrazione sui quali serve un ulteriore sforzo, ricordando che i problemi è meglio gestirli che subirli. 
Per questo, nell'aprire i negoziati con il Parlamento, ci aspettiamo dal Consiglio un messaggio più chiaro, così come ci auguriamo che si affrontino in modo più sistematico le relazioni con il continente africano. Le visite di qualche capo di governo possono aiutare a rimandare le emergenze, ma non servono ad affrontare i problemi in modo compiuto con la strategia di cooperazione che sappia guardare al lungo periodo. 
"
