MP,Date,Language,Title,Url,Content
Nicolas BAY,2023-11-22,FR,Threat to rule of law as a consequence of the governmental agreement in Spain (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-207-0000_FR.html,"  Nicolas Bay (NI).   – Monsieur le Président, ces derniers jours, le peuple espagnol est dans la rue et proteste contre la trahison de son Premier ministre, Pedro Sánchez, minoritaire dans les urnes, qui viole ouvertement la Constitution en s’alliant avec les criminels séparatistes catalans pour se maintenir au pouvoir. 
La Commission et le Parlement ne cessent de parler de l’état de droit en Pologne, en Hongrie et partout ailleurs dans le monde, inventant des menaces, enchaînant les procès de Moscou contre des accusés qui sont souvent condamnés par avance. 
Mais cette fois-ci, en Espagne, nous assistons à un authentique coup d’État, un viol caractérisé de la Constitution au mépris d’une décision de justice pourtant fondée en droit. Nous assistons au démembrement d’une nation et à l’amnistie de criminels pour des raisons bassement politiciennes. Et Bruxelles ne dit rien. La gauche et les macronistes se taisent, ils soutiennent même ouvertement cette forfaiture. Pourquoi? Eh bien parce que ce sont les socialistes qui sont à la manœuvre bien sûr.
Sánchez et son gouvernement se montrent illégitimes, voire illégaux, en laissant faire la Commission, et notre Parlement se couvre de honte. Dans sa logique habituelle, Bruxelles devrait se précipiter pour engager des sanctions, notre hémicycle devrait élaborer aussitôt une résolution. Et là, absolument rien! Ce «deux poids, deux mesures» montre à quel point l’habituel discours sur l’état de droit n’est qu’une minable comédie de la gauche pour nuire à ses adversaires politiques.
"
Nicolas BAY,2023-11-21,FR,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-454-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, mes chers collègues, encore un débat à propos de la Hongrie de Viktor Orbán, avec toujours les mêmes rengaines, les mêmes menaces imaginaires qui pèseraient sur l’état de droit, sur les journalistes militants ou encore sur les activistes LGBT. Rien n’a jamais été démontré, comme j’ai pu le constater en me rendant il y a deux ans à Budapest dans le cadre d’une mission officielle de notre Parlement. Et il n’y a évidemment rien de nouveau.
Alors quel est donc, cette fois, le grief de la gauche et des macronistes? La Hongrie a même consenti à certaines des réformes que vous réclamiez, mais cela ne vous convient toujours pas. Vous continuez à pleurnicher en prétendant agir au nom de la justice et de l’égalité. Vos persécutions incessantes et vos honteuses manœuvres n’ont en réalité qu’un seul but: punir le peuple hongrois, coupable d’être attaché à son identité et à ses traditions, coupable aussi de refuser vos diktats sur le multiculturalisme, sur l’accueil illimité des migrants, sur l’idéologie du genre jusque dans les écoles.
Vous montrez votre vrai visage. Rien ne vous satisfera jamais car vous êtes motivés par l’idéologie et la détestation de nos véritables valeurs de civilisation. Que l’on mette fin à ce cirque et que la Commission verse enfin l’argent qu’elle doit à la Hongrie.
"
Nicolas BAY,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-029-0000_FR.html,"  Nicolas Bay (NI).   – Monsieur le Président, les djihadistes du Hamas ont attaqué Israël en atteignant des sommets dans l’horreur: massacre de jeunes dans un festival, viols et tortures, enlèvements de familles et meurtres d’enfants. Or, certains, en France, et ici même dans cet hémicycle, refusent de dire que le Hamas est un mouvement terroriste. Il faut les comprendre: les sympathisants du Hamas sont leurs électeurs, ces millions d’immigrés non assimilés, non assimilables, qui haïssent tout autant Israël que notre civilisation européenne. 
Mme von der Leyen décide de tripler l’aide européenne à Gaza, alors que tout le monde sait que ces financements finissent toujours, au moins en partie, dans les poches du Hamas. Ouvrez donc les yeux! Les attentats au fusil, au couteau ou au camion, en Israël, à Arras, à Bruxelles, à Stockholm ou à Paris, ne sont que l’expression d’un djihad permanent et planétaire, parfois barbare, comme celui du Hamas ou de Daech, et parfois en costume, comme celui des Frères musulmans. Ce djihad, il a mille prétextes pour son combat mortifère, mais une seule idéologie: faire la guerre à tout ce qui n’est pas l’islam et doit y être soumis. 
Nous n’avons pas le choix: nous devons mener et gagner la guerre contre l’islamisme, interdire les Frères musulmans, expulser les islamistes et leurs familles, contrôler les discours dans les mosquées et cesser de verser des millions à ceux qui veulent détruire notre civilisation et qui tuent nos peuples. 
"
Nicolas BAY,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-187-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, si vous voulez une Europe qui a la géopolitique de sa civilisation et de ses intérêts, commencez par cesser vos discours creux, vos leçons de morale à la Terre entière, vos innombrables résolutions hautaines et suffisantes qui font que nous nous aliénons le reste du monde.
Arrêtez de nous humilier auprès de ceux qui nous méprisent ou nous menacent, car aujourd’hui la liste est interminable, votre servilité vis-à-vis de Biden, qui sert les intérêts américains et n’hésite pas à nous mener une guerre commerciale, votre lâcheté face à la Turquie d’Erdoğan, qui menace la Grèce, occupe Chypre et agite l’islamisme sur notre sol, votre hypocrisie et votre complaisance avec l’Azerbaïdjan, une authentique dictature qui nous revend du gaz russe tout en menant l’épuration ethnique des Arméniens, nos frères de civilisation, votre agressivité envers des pays comme la Tunisie ou l’Égypte, alors que nous avons comme intérêt commun de maîtriser les flux migratoires du Sud vers le Nord, votre timidité face à la Chine et à la concurrence déloyale qu’elle nous mène depuis des années, vos largesses financières et votre aveuglement en faveur d’un islamisme qui assume le fait de vouloir détruire notre civilisation.
Pensons enfin à nous, dans un monde qui redevient multipolaire et dangereux. Définissons-nous autrement que par de fausses valeurs, abstraites, désincarnées ou larmoyantes, loin de ce qui fait spécifiquement la grandeur de la civilisation européenne.
"
Nicolas BAY,2023-10-03,FR,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-031-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, chers collègues, comme d’autres espaces économiques dans le monde, l’Union européenne est touchée par l’inflation et les conséquences de la guerre en Ukraine. Mais alors que n’importe quel ménage penserait simplement à réduire ses dépenses, la Commission a une formule magique: demander toujours plus d’argent aux États, c’est-à-dire aux contribuables européens et notamment français, puisque la France fait partie des pays contributeurs nets au budget de l’Union européenne.
La Commission nous montre une fois de plus qu’elle dépense sans compter l’argent des autres, notre argent. Pas moins de 65 milliards d’euros, dont 13 milliards au titre de l’immigration. Si au moins cet argent servait à expulser les clandestins ou à monter une opération navale pour empêcher l’invasion de Lampedusa et de nos côtes. Mais nous savons qu’il sera en réalité dilapidé pour faciliter la venue de millions de faux demandeurs d’asile.
Pour gonfler son budget, la Commission compte également sur les ressources propres. En clair: des taxes et des impôts supplémentaires qui sont, comme toujours évidemment, répercutés à la fin sur le consommateur. On va ainsi ajouter une couche européenne au millefeuille fiscal qui spolie déjà les Français: pourcentage sur le revenu des États membres, prélèvement d’une partie de la TVA, taxe sur les emballages plastiques, mécanisme carbone aux frontières, taxe temporaire – mais qui en réalité deviendra définitive – sur les bénéfices des entreprises.
En somme, l’Union européenne fonctionne comme la France de Macron: toujours plus d’impôts, toujours plus de centralisme bruxellois…
(La Présidente retire la parole à l’orateur)
"
Nicolas BAY,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-361-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, il y a quelques jours, l'Azerbaïdjan a envahi l'Arménie, annexant le Haut-Karabakh et contraignant à l'exode 100 000 réfugiés arméniens qui fuient aujourd'hui les vols, les viols, les pillages et la mort. L'Azerbaïdjan qui, comme toujours, se comporte en bras armé de la Turquie. La Turquie qui, après le génocide de 1915, poursuit inlassablement sa volonté de construire un grand empire ottoman musulman avec à la clé l'éradication pure et simple de la nation et du peuple arménien. 
Mais quelle honte! Quelle honte de voir Mme von der Leyen se précipiter à Bakou, pactiser avec le dictateur Aliyev et affirmer qu'il s'agit d'un partenaire fiable. Et quelle hypocrisie à prétendre vouloir se défaire de la dépendance au gaz russe parce que la Russie a envahi l'Ukraine, bien sûr, et dans le même temps, acheter du gaz à l'Azerbaïdjan qui vient juste d'envahir l'Arménie. 
Il est temps d'en finir avec les collusions et les connivences avec Erdogan et avec Aliyev et de mettre un terme aux relations commerciales avec l'Azerbaïdjan. Nous avons un devoir de solidarité à l'égard de l'Arménie, première nation chrétienne de l'histoire. Nous avons un lien historique qui nous unit. Les Arméniens, le peuple arménien a besoin de notre amitié, de notre soutien et de notre solidarité européenne.
"
Nicolas BAY,2023-09-12,FR,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-085-0000_FR.html,"  Nicolas Bay (NI).   – Monsieur le Président, mes chers collègues, l’accord migratoire entre l’Union européenne et la Tunisie est prometteur, et le président Saïed mérite notre soutien. Les pays du Maghreb sont en première ligne face à l’immigration qui se précipite aujourd’hui à l’assaut de l’Europe. Eux aussi subissent la pauvreté et la criminalité qu’apportent les migrants toujours plus nombreux. Plus de 100 000 rien qu’en Italie depuis le début de l’année, plusieurs millions venus partout en Europe depuis la crise de 2015.
À ce titre, le refus de la Commission de travailler avec la Libye, où se concentrent les migrants et les mafias de passeurs, parfois aidés par les ONG qui font les taxis des mers, est absolument coupable. Aidons les pays du Maghreb à défendre leurs frontières car ils protègent aussi les nôtres. Néanmoins, n’oublions pas qu’ils sont eux-mêmes parfois des pays de départ. Il faudra nous assurer que ces pays contrôlent leur propre immigration et sévir, le cas échéant, avec des clauses de sanction.
De plus, l’expulsion systématique des migrants clandestins qui sont des faux demandeurs d’asile, reste la meilleure solution pour assurer la maîtrise de nos frontières. Il faut dissuader les migrants de venir en leur montrant qu’ils ne pourront pas rester. Nous ne sommes qu’au début d’une immigration de masse absolument spectaculaire vers l’Europe. Donnons-nous aujourd’hui les moyens, tous les moyens, d’empêcher que l’Europe ne devienne l’Afrique.
"
Nicolas BAY,2023-09-11,FR,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-140-0000_FR.html,"  Nicolas Bay (NI).   – Monsieur le Président, l’année dernière et pour la première fois depuis 40 ans, les Français se sont demandés s’ils pourraient se chauffer en hiver. C’était la conséquence du choix d’Emmanuel Macron, par idéologie, de sacrifier le nucléaire et de fermer la centrale de Fessenheim. Le renoncement à une énergie propre, peu coûteuse et efficace au profit d’une énergie intermittente, chère, qui nous rend dépendants de la Chine et qui nécessite d’activer des centrales à charbon. L’Allemagne, qui est le plus gros pollueur d’Europe, en sait quelque chose. En 2021, elle émettait huit fois plus de CO2 que la France pour une électricité 50 % plus chère.
Avec ce texte, vous poursuivez cette logique hypocrite et suicidaire. Vous voulez subventionner le solaire et l’éolien sans rien donner au nucléaire. Macron, malgré ce qu’il prétend aujourd’hui, a été trop lâche pour engager un vrai bras de fer et défendre nos intérêts. Un seul choix s’impose: garantir à nos peuples une énergie abondante, peu chère, décarbonée, pour soutenir notre industrie, pour aider le pouvoir d’achat des ménages et assurer l’avenir de nos enfants. Il faut un plan ambitieux de construction de centrales nucléaires de nouvelle génération partout en Europe, sur le modèle du plan Messmer qui avait donné à la France, il y a quelques décennies, sa souveraineté énergétique.
"
Nicolas BAY,2023-07-12,FR,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-095-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, chers collègues, 8,4 millions de migrants ont demandé l’asile dans l’Union européenne depuis 2014. C’est presque l’équivalent de l’Autriche tout entière. Et ils continueront à venir par millions tant que vous continuerez à les accueillir et à vouloir les répartir. C’est votre faute si certains meurent en mer, prenant tous les risques, motivés par votre laxisme, votre aveuglement, votre humanitarisme dévoyé. Vous voulez organiser leur arrivée, mettre en place des taxis des mers, faire le jeu des mafias et des trafiquants d’êtres humains qui s’enrichissent de ce commerce illégal et abject.
Ce ne sont pas des réfugiés. Ils ne fuient pas les persécutions. Ils ne fuient pas la guerre. Ils ne sont pas éligibles au droit d’asile. Ils viennent bénéficier de nos allocations, notre générosité sans limite. Ils apportent avec eux en échange la pauvreté toujours, le crime souvent, et parfois même le terrorisme.
Il faudra choisir: soit votre moraline, soit notre identité. L’accueil de millions de jeunes hommes qui ne s’assimileront jamais, comme l’ont montré d’ailleurs les émeutes ethniques qui ont ravagé la France ces derniers jours, ou alors la sécurité de nos peuples et de nos enfants. Comme tous les défenseurs de notre civilisation qui refusent votre folle politique, j’ai fait mon choix. Vous avez fait le vôtre et l’histoire vous jugera.
"
Nicolas BAY,2023-07-12,FR,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-204-0000_FR.html,"  Nicolas Bay (NI).   – Madame la Présidente, mes chers collègues, la taxation sans fin et à des taux toujours plus lourds est la seule politique dont semble capable la gauche, pour laquelle la richesse commence d’ailleurs dès la classe moyenne. Surimposer ne réduit pas les inégalités, mais fait peser une charge déraisonnable sur ceux qui payent l’impôt sans rendre plus riches ceux qui n’en payent pas.
D’ailleurs, cela n’augmente pas non plus les ressources de l’État. La fiscalité étouffante pousse ceux qui le peuvent à partir et à investir ailleurs. Elle écrase ceux qui restent au point qu’ils se demandent si travailler dur en vaut vraiment la peine. Car l’aisance tombe rarement du ciel. Elle est le fruit du labeur, de la prévoyance et de choix intelligents. La surimposition de certaines catégories sociales devient de plus en plus du racket pour compenser en réalité la gabegie financière de l’État et payer les allocations indues de ceux, souvent d’ailleurs issus de l’immigration, qui refusent de travailler ou n’ont pas la perspective de travailler.
C’est particulièrement vrai de l’impôt sur les successions. Alors que tout au long d’une vie, on a payé sans fin, subit des taxes innombrables et épargné de son mieux, l’État au moment du décès retaxe lourdement, honteusement, ce patrimoine destiné aux héritiers. C’est une véritable spoliation. Au lieu de taxer toujours plus, réduisons les dépenses et les gaspillages. Que l’État se concentre sur ses missions régaliennes, qu’il n’assume pas ou mal. 
"
