MP,Date,Language,Title,Url,Content
Nicolaus FEST,2023-11-20,DE,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-032-0000_DE.html,"  Nicolaus Fest (ID).   – Frau Präsidentin! Man fragt sich manchmal, was bei den Linken im Kopf verkehrt ist.
Wir haben in den letzten Tagen erlebt, dass das Al-Schifa-Krankenhaus – so wie es auch immer behauptet wurde und wie es von Ihnen immer bestritten wurde – nicht nur ein Krankenhaus war, sondern eine militärische Basis. Daraus folgt, dass die Hamas nun wirklich jede humanitäre Regel der Kriegsführung gebrochen hat. Und wir haben auch Kinderzimmer gesehen, in denen Raketen gelagert wurden, usw. usw.
Wenn Sie behaupten, hier fände ein Massaker statt, dann ist das schlicht eine Lüge. Die Israelis tun alles, um dieses Massaker eben genau nicht stattfinden zu lassen. Das einzige Massaker, über das wir hier reden, ist das Massaker, das die Hamas an den Israelis begangen hat.
Das heißt, Sie berufen sich hier auf humanitäre Gründe, aber erkennen nicht an, dass die Hamas alle humanitären Regeln der Kriegsführung längst und immer und immer wieder gebrochen hat. Deshalb ist dieser Antrag zurückzuweisen.
"
Nicolaus FEST,2023-10-16,DE,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-038-0000_DE.html,"  Nicolaus Fest (ID).   – Frau Präsidentin! Wir alle wissen, dass Israel attackiert wurde, und wir alle wissen, dass der Gazastreifen ein dicht besiedeltes Gebiet ist. Wenn Sie also sagen, Israel soll dort nicht militärisch eingreifen, dann erklären Sie doch mal, wie man den Hamas-Terror besiegen kann, wenn man dort nicht einschreitet.
Wir wissen, es sind besiedelte Gebiete. Die Israelis geben den dort lebenden Palästinensern die Möglichkeit, sich sozusagen vor einer Attacke davonzumachen – was völlig richtig ist –, aber geben Sie doch mal eine Lösung, wie man diesen Konflikt lösen soll, wenn Israel hier einem terroristischen Regime gegenübersteht. Das können Sie nicht, das wollen Sie nicht, und alle Ihre Beteuerungen, wir bräuchten hier humanitäre Lösungen, die sind von Hamas verletzt worden.
Hören Sie also auf, von humanitären Regeln und vom internationalen Kriegsrecht zu sprechen, wenn wir es hier mit Terroristen zu tun haben. Das ist alles Unfug, das ist alles Verschleierung, was Sie betreiben. Und es ist wirklich eine Schande, wie Sie sich hier benehmen!
"
Nicolaus FEST,2023-01-18,DE,Protecting the Rule of Law against impunity in Spain (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-143-0000_DE.html,"  Nicolaus Fest,  im Namen der ID-Fraktion. – Frau Präsidentin, Herr Kommissar! Wir reden heute wieder einmal über die Rechtsstaatlichkeit, diesmal erstaunlicherweise nicht über die Rechtsstaatlichkeit in Ungarn oder Polen, sondern über die in Spanien.
Wie ich hier schon öfter gesagt habe, bin ich kein Freund dieser Debatten. Welche Gesetze sich Mitgliedstaaten geben, ist vor allem deren Sache. Aber man stelle sich vor, die polnische oder ungarische Regierung hätte entschieden, die Strafen für Sexualverbrechen deutlich zu reduzieren. Die Empörung der Linken, der Grünen, der Sozialisten und Liberalen wäre ohne Grenzen. Man hätte Ungarn und Polen der strukturellen Gewalt gegen Frauen bezichtigt, des Rückfalls in dunkelste Zeiten, und man hätte mit Sicherheit ein Artikel-7-Verfahren verlangt und schwere finanzielle Sanktionen gefordert.
Nun haben wir genau diese Situation in Spanien. Allerdings kommt hier die Reduzierung der Strafen für Sexualverbrechen von der sozialistischen Regierung. Mehr als 200 verurteilte Sexualstraftäter haben von der Neuregelung profitiert. Ihre Strafen wurden teils drastisch reduziert. Viele von ihnen sind wieder frei. Was das für die Opfer bedeutet, kann sich jeder vorstellen.
Aber die sozialistische Regierung hat nicht nur ein Herz für Sexualstraftäter, sie hat auch ein Herz für Kriminelle, die öffentliche Gelder veruntreuen: Auch hier wurden die Strafen drastisch reduziert. Auch insofern muss man sagen: Hätten die Polen oder Ungarn ein solches Gesetz erlassen, wäre der Aufschrei der Linksparteien riesig gewesen, und die Kommission, das ist sicher, hätte sofort alle Gelder eingefroren.
Aber nun ist es eben Spanien, und dann kommen die Gesetze auch noch von den Sozialisten. Die setzen, was Korruption und Veruntreuung angeht, auch hier im Parlament gerade neue Standards. Wir sollten noch einmal festhalten: Es sind übrigens nicht die Kollegen von PiS oder Fidesz, die Geld von den Katarern genommen haben, sondern ausschließlich Sozialisten.
Die Kommission und die Kollegen der Linksparteien haben jetzt ein ernstes Problem: Wenn sie den Schutz der Frauen und den Kampf gegen Korruption und Veruntreuung ernst nehmen, müssten sie gegen Spanien vorgehen. Wenn sie es nicht tun, machen sie deutlich, dass der Schutz der Rechtsstaatlichkeit davon abhängt, ob in dem Land eine der EU genehme Regierung an der Macht ist oder eben nicht.
"
Nicolaus FEST,2023-01-17,DE,Surge of respiratory infections and the shortage of medication in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-175-0000_DE.html,"  Nicolaus Fest (ID).   – Herr Präsident, Frau Kommissarin, verehrte Kollegen! Nun haben wir also einen massiven Anstieg von Atemwegserkrankungen und gleichzeitig einen Mangel an Medikamenten. Ein Kollege fragte vorhin, ob die EU-Kommission eigentlich nichts aus der Pandemie gelernt habe. Und die Antwort lautet nein.
Die EU-Kommission hat tatsächlich nichts gelernt. Man muss sagen: leider wie immer. Immer verspricht die EU-Kommission, dass nur sie die großen, die EU-weiten Probleme lösen könne. Aber wenn es dann eben zu solchen Problemen kommt, zeigt sich wieder und wieder: Die EU-Kommission ist unvorbereitet, sie ist unorganisiert und leider auch oftmals ahnungslos. Das war so bei COVID und der kopflosen Organisation von Impfungen. Das ist so beim Ukraine-Krieg, das ist so bei der Inflation, und das ist natürlich auch so bei der Energiekrise.
Jetzt sind wir also bei Atemwegserkrankungen. Es gehörte immer zu den großen Versprechungen der EU, dass sie das Wohl der Bürger befördert, nicht nur den Wohlstand. Nun sehen wir: In immer weiteren Bereichen tut sie nichts für das Wohl der Bürger, sondern unterminiert den Wohlstand und nun auch die körperliche Gesundheit.
Frau Kommissarin, wenn die EU-Kommission nicht irgendwann mal anfängt, ihre Versprechen zu erfüllen, dann muss man sich fragen: Warum gehört man eigentlich diesem Laden noch an?
"
Nicolaus FEST,2022-12-15,DE,"The 30th anniversary of the UN Declaration on the Rights of Persons Belonging to National or Ethnic, Religious and Linguistic Minorities (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-15-INT-4-026-0000_DE.html,"  Nicolaus Fest (ID).   – Frau Präsidentin, Frau Kommissarin, sehr geehrte Kollegen! Im Jahresbericht der Vereinten Nationen über die Lage der ethnischen, nationalen, religiösen oder sprachlichen Minderheiten ist eine Sache auffällig: Problematisch ist die Lage dieser Minderheiten in China, Pakistan, Indien, Kasachstan, Turkmenistan, Sri Lanka, Myanmar sowie in fast allen arabischen und afrikanischen Ländern. Europäische Länder finden sich auffälligerweise nicht in dem Bericht. Zwar wird konstatiert, dass die Roma übermäßig unter COVID gelitten hätten, aber nicht einmal der UN-Bericht kann hierin eine staatliche Diskriminierung sehen.
Anders also, als bei jeder Gelegenheit von linken Parteien hier im Hause behauptet, scheint die Lage der Minderheiten in Europa außerordentlich gut zu sein. Anders ist es allerdings, und das sagt auch der UN-Bericht, mit der Lage der Christen und der Juden in fast allen nichtwestlichen Teilen der Welt. Sie werden überall diskriminiert, verfolgt und getötet. Aber davon will die Mehrheit hier im Haus leider nichts wissen. Sie wehrt sich geradezu zwanghaft, auch nur über das Thema zu reden, so wie in der Plenarsitzung im November, als Sie die Christenverfolgung nicht auf der Tagesordnung haben wollten.
Wer damals gegen die Aufnahme in die Tagesordnung stimmte, nun aber die Diskriminierung von Minderheiten beklagt, ist ein Heuchler. Liebe Kollegen hier von dem gesamten linken Block, das gilt vor allem für Sie. Man hat ja den Eindruck, wenn es um diese Fragen geht, sind nicht nur sechs Sozialisten von Katar bestochen worden, sondern die ganze linke Hälfte hier des Hauses.
Dass sie jetzt zu Weihnachten über die Minderheitenrechte reden wollen, aber die Rechte der größten verfolgten Minderheit seit Jahren konsequent negieren, ist eine einzige Schande.
"
Nicolaus FEST,2022-12-15,DE,90 years after Holodomor: Recognising the mass killing through starvation as genocide (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-15-INT-4-053-0000_DE.html,"  Nicolaus Fest,  im Namen der ID-Fraktion. – Frau Präsidentin! Ich war Mitte 20, als ich das Buch The Harvest of Sorrow las. Robert Conquest war der erste Historiker, der den Hungerkrieg Stalins gegen die Ukraine ins öffentliche Bewusstsein hob. Seiner Schätzung nach starben Anfang der 30er-Jahre rund zwölf Millionen Menschen an Hunger oder hungerbedingten Krankheiten. Wie unter Historikern üblich, ist über die Zahl der Todesopfer lange gestritten worden. Heute gehen die Experten von rund sechs Millionen aus. Aber es macht das Verbrechen keineswegs kleiner.
Gestritten wird auch über die Frage, ob der Holodomor ein Genozid war oder „nur“ die Beseitigung innenpolitischer Gegner. Für die Genozid-Annahme spricht, dass sich der Hungerterror vor allem gegen die Ukrainer wandte, also eine ethnische Komponente hatte. Dagegen spricht, dass auch 1,5 Millionen Kasachen und weitere Volksgruppen betroffen waren und es die Ukraine eben deshalb traf, weil sich die dortige Bauernschaft vehement gegen die Kollektivierung wandte. Beide Seiten haben gute Argumente, aber diese Debatte ist keine für Politiker, sie ist eine für Historiker, und daher ist dieses Haus auch der falsche Platz für solche Diskussionen.
Statt über das Für und Wider eines Genozids zu reden, sollten wir den Fokus lieber auf etwas anderes richten: Sozialismus tötet, egal ob in der nationalen oder internationalen Variante. Sozialismus ist immer verbrecherisch. Er sorgt – wir erleben das gerade wieder – immer für Korruption, für Günstlingswirtschaft und Ämterkauf. Sozialismus ist immer das Gegenteil von Gerechtigkeit, und er ist mörderischer, als jeder Nationalismus es je war. Sozialismus ist der Feind der freien Reise, der freien Berufswahl, der Glaubens- und Gewissensfreiheit. Und er ist der Feind der freien Meinung. Sozialismus ist ein Irrweg, und wer ihm heute noch immer folgt, ist moralisch verkommen. Wenn wir uns auf eine solche Entschließung einigen können, würde ich sie gerne unterstützen.
"
Nicolaus FEST,2022-12-14,DE,The Commission’s reports on the situation of journalists and the implications of the rule of law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-306-0000_DE.html,"  Nicolaus Fest,  im Namen der ID-Fraktion. – Herr Präsident, Herr Kommissar, verehrte Kollegen! Letzte Woche war ich in der Konferenz der Präsidenten, und Kommissar Šefčovič trug dort unter anderem zu den Problemen mit Großbritannien vor. Gefühlte 50 Mal fiel der Begriff „Rahmenabkommen“. Herr Kommissar Hahn, das geht an Ihre Adresse und bitte geben Sie es an Ihren Kollegen Šefčovič weiter: Unser Rahmenabkommen mit europäischen Staaten sind die Grundrechte und auch die Pressefreiheit, und danach sollten Sie endlich handeln.
Julian Assange sitzt seit drei Jahren in einem britischen Hochsicherheitsgefängnis, zusammen mit den schlimmsten Kriminellen. Aber Julian Assange ist nicht verurteilt. Es gibt noch nicht einmal einen Prozess. Wenn seine Frau und seine beiden kleinen Kinder ihn besuchen wollen, muss sie sich und die Kinder auch den entwürdigendsten Leibesvisitationen unterziehen. Herr Kommissar Hahn, haben sich Ihre Frau und Ihre Kinder schon mal vom Gefängnispersonal durchfummeln und von Hunden abschnüffeln lassen?
Assange hat das gemacht, was Medien machen müssen. Er hat publiziert, was andere Leute nicht lesen wollen. Assange ist kein Krimineller, sondern er ist Publizist und Chefredakteur. Wenn das, was mit Assange seit Jahren passiert, in Polen oder Ungarn passieren würde, wäre hier Großalarm – und zwar völlig zu Recht.
Assange ist unser Rahmenabkommen. Sein Fall ist wichtiger als Zollschranken oder Fischrechte. Deshalb setzen Sie die Freilassung von Julian Assange endlich auf Ihre Agenda. Ansonsten sollten Sie, wenn es um Journalistenrechte geht, hier auch nichts beklagen.
"
Nicolaus FEST,2022-12-13,DE,Suspicions of corruption from Qatar and the broader need for transparency and accountability in the European institutions (debate) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-294-0000_DE.html,"  Nicolaus Fest (ID).   – Herr Präsident! Wir haben hier nicht nur ein Problem mit korrupten Abgeordneten, wir haben – das macht dieser Fall deutlich – eben auch ein Problem mit korrupten NGO. Einer der Verhafteten war Gründer der NGO Fight Impunity, ein anderer Generalsekretär von No Peace Without Justice. Beide NGO hatten – wie praktisch – die gleiche Adresse. Genau diese Strukturen sind das Einfallstor für alle Arten der Korruption. Nicht ohne Grund warnt Interpol, dass NGO immer häufiger der Geldwäsche dienen. Und der deutsche Bundesverfassungsschutz weist darauf hin, dass Katar, aber auch andere europäische Länder systematisch linke NGO finanzieren, um Europa zu destabilisieren – durch Migration, durch Entmilitarisierung, durch Reisemöglichkeiten für Islamisten und Hassprediger.
Korruption ist ein Dauerproblem dieses Hauses, weil es keine politische Kontrolle gibt. Solange die linke Mehrheit Präsidium und Ausschüsse als closed shop behandelt und nicht allen Fraktionen einen Sitz gewährt, wird sich daran auch nichts ändern.
"
Nicolaus FEST,2022-11-23,DE,The need for a European solution on asylum and migration including search and rescue (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-031-0000_DE.html,"  Nicolaus Fest (ID).   – Herr Präsident, Herr Kommissar! Herr Weber! Herr Marquardt mochte Ihre Rede offensichtlich nicht so – ich fand sie gut. Es sind nämlich genau die Vorschläge, die die AfD seit Jahren macht. Und mir ist auch klar, warum Sie diese Rede gehalten haben – lassen Sie mich ausreden.
Sie kommen aus Bayern, und in Bayern ist es so wie in allen Bundesländern jetzt: Die Asylzentren sind voll, die Städte und Gemeinden bitten um Hilfe. Sie sagen: Wir können nicht mehr, unsere Containerdörfer sind voll, wir wissen nicht mehr, wohin mit den Migranten. Und genauso geht es ja auch in NRW und in anderen Ländern. In NRW haben gerade die Bürgermeister – viele sozialdemokratische Bürgermeister – einen Appell an die Bundesregierung gerichtet, ihnen zu helfen, weil sie nicht mehr wissen, wohin. Und deshalb sind auch alle Appelle an Solidarität sinnlos: Wenn die Leute keine Möglichkeiten mehr haben und die Kosten auch durch die Decke gehen, können Sie nicht noch weiter Solidarität einfordern. Das geht nicht.
Und hier im Raum steht ja ein großer rosa Elefant, den vor allem die Sozialdemokraten nicht ansprechen wollen; Sie haben das schon getan – das ist nämlich die dänische Asyl- und Migrationspolitik. Die dänischen Sozialdemokraten haben sehr klar gesagt, sie wollen keine Einwanderung mehr; ihr klares Ziel ist die Remigration, Asyl gibt es nur noch in Ausnahmefällen, und Asylcamps sollen im Ausland gegründet werden, wo jeder Asylantrag zuerst geprüft wird, bevor man nach Europa einreisen kann. Das haben Sie im Grunde genommen auch schon angeregt, und das ist der richtige Weg.
Dass die Sozialdemokraten, wie Frau Bischoff hier, diese dänische Lösung seit Monaten oder seit Jahren totschweigen, hat natürlich Gründe. Aber dennoch sollte dieses Haus sich mit diesem politischen Handeln der Dänen mehr befassen.
"
Nicolaus FEST,2022-11-21,DE,Assessment of Hungary's compliance with the rule of law conditions under the Conditionality Regulation and state of play of the Hungarian RRP (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-21-INT-1-057-0000_DE.html,"  Nicolaus Fest (ID).   – Frau Präsidentin, Herr Kommissar! Um diese Diskussion einschätzen zu können, muss man sich mal die Kritiker angucken. Das gilt vor allem für Herrn Körner, der ein Angehöriger der FDP ist, und die FDP gilt in Deutschland nun geradezu als ein Synonym für Käuflichkeit: Das geht bei den Mehrwertsteuersenkungen für Hoteliers los und endet bei den E-Fuels für Porsche noch lange nicht. 
Herr Freund von den Grünen wiederum sagt mit viel Pathos: Keine Steuergelder für Autokraten in der EU. Aber für linke NGOs sind alle Steuergelder natürlich immer in ausreichender Menge vorhanden – selbst wenn Interpol inzwischen davor warnt, dass viele dieser NGOs nichts anderes sind als Geldwäscheunternehmen.
Ich glaube auch, dass es in Ungarn sehr viel zu verbessern gibt und dass wir nicht allzu große Beträge immer an korrupte Länder geben sollten. Aber man muss eben sehen, dass das Hauptproblem darin liegt, dass die EU einfach mit dem Geld wirklich nur so um sich wirft und ja auch immer mehr Gelder aufnimmt. Ich glaube, da müsste man ansetzen: Man müsste die Budgets der EU deutlich zurückschneiden, dann wird auch die Korruption deutlich zurückgehen.
"
