MP,Date,Language,Title,Url,Content
Niklas NIENASS,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-072-0000_DE.html,"  Niklas Nienaß (Verts/ALE).   – Frau Präsidentin, sehr geehrte Damen und Herren! Ich finde, wir haben viele gute Worte gehört, und die Berichterstatter haben auch einen guten Plan vorgelegt, den wir – wenn wir ganz ehrlich sind – gar nicht gebraucht hätten, wenn der Wahlrechtsreformakt durchgegangen wäre. Aber leider glänzt der Rat mal wieder durch Abwesenheit.
Nichtsdestotrotz möchte ich an dieser Stelle insbesondere den beiden Berichterstattern zwei Dinge mit auf den Weg geben: Das Spika-System, also das Spitzenkandidatensystem, ist ein gutes. Aber ich finde, dass diese Spitzenkandidaten sich nicht nur allgemein zu Debatten stellen sollen, sondern eben auch den Bürgerinnen und Bürgern die Wahl offenlassen. Wenn man sich nicht traut, in Niedersachsen für die Bürgerinnen und Bürger auf dem Wahlzettel zu stehen, halte ich das schon für relativ schwach, liebe Freunde von der CDU.
Aber ich finde auch, Domènec, Sven: Trotz eurer Vorlage muss man sich auch ehrlich machen. Das Europäische Parlament hätte ja die Möglichkeit gehabt, den Vorschlag des Rates zurückzuweisen, und ich erwarte das beim nächsten Mal. Aber sich hier hinzustellen und zu sagen, das ist aber schlimm, dass wir jetzt hier einen Vorschlag kriegen, während ihr beide inklusive der gesamten Fraktion diesem Vorschlag zugestimmt habt, finde ich etwas zu kurz gegriffen.
Ich wünsche mir eine Vertretung in diesem Europäischen Parlament, die tatsächlich eine Vertretung der Bevölkerung der Europäischen Union ist, und zwar mit dem Mut, sie auch komplett zu vertreten. Das bedeutet, dem Rat auch mal Nein zu sagen, wenn es einen Vorschlag gibt, der nicht den Systemen und den Ideen entspricht, die wir im Vorhinein hatten. Das bedeutet, finde ich, aber auch, beim nächsten Mal zum Beispiel zu sagen, wir können uns auch gerne wieder auf Artikel 17 EUV berufen. Denn darin steht eigentlich festgehalten, dass wir maximal 18 Kommissare haben. Ich finde, als Parlament, als Vertretung der Bevölkerung Europas, darf man auch Interessen vertreten, die nicht im Interesse der Mitgliedstaaten sind.
"
Niklas NIENASS,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-124-0000_DE.html,"  Niklas Nienass,  Verfasser der Stellungnahme des mitberatenden Ausschusses für regionale Entwicklung. – Frau Präsidentin! Der Berichterstatter hat schon in vielen Punkten zusammengefasst, warum es gut und richtig ist, dass wir hier diese Netto-Null-Industrie-Verordnung anfassen. Ich muss aber ein bisschen Salz in die Suppe streuen, denn ich denke, dass das, was wir tun, in der Art und Weise, wie wir es tun, der Herausforderung nicht angemessen ist, vor der wir eigentlich stehen.
Einerseits hat die Kommission eine durchaus präzise und strategische Auswahl getroffen und sie vorgelegt. Die hat das Parlament – und das muss man selbstkritisch so sehen – ziemlich aufgeweicht und einen Blumenstrauß aufgemacht von Forderungen, die ohne jede wissenschaftliche Evidenz einfach reingestreut wurden. Das halte ich für nicht sinnvoll, wenn wir strategisch vorgehen wollen. Aber es wäre nicht so schlimm, wenn die Kommission wenigstens den Schneid gehabt hätte, ein vernünftiges, substanzielles Unterstützungspaket vorzulegen, um das Ganze auch auszufinanzieren. Ich glaube, das ist nämlich die Frage, wie wir die Investments auch hinbekommen und die Regionen stärken, damit die Industrie nicht nur nicht abwandert, sondern, ganz im Gegenteil, wir als Gewinner aus diesem Wettbewerb darum, wer die besten Technologien der Netto-Null-Bereiche aufbaut, hervorgehen können.
Und in dieser Situation dann teilweise Gelächter zu hören, wie sich Leute freuen, dass Gelder für diese Transformation gekürzt werden, halte ich für absolut schädlich. Denn am Ende ist es ja nicht das Klima, das darunter leidet, an den fehlenden Investitionen; am Ende ist es die europäische Gesellschaft. Und darauf müssen wir hinwirken, dass wir in diese europäische Gesellschaft investieren.
"
Niklas NIENASS,2023-10-18,EN,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-191-0000_EN.html,"  Niklas Nienass (Verts/ALE).   – Madam President, ladies and gentlemen, I have heard a lot of debates here now about what to do if we have geopolitical power. But the fact is that we need to discuss how we get geopolitical power.
The answer to that is quite simple: unity. We need European unity throughout foreign policy and geopolitical questions. Every single country in this Union will fail, will weaken itself if it stands alone. From the smallest but even up to the bigger ones, even France and Germany: they will be irrelevant if we don’t stand together. We need unity.
And you, Mr Ríos, said it very precisely in the beginning: we need precise political leadership. So we need one person, one President to be followed. And it is important that if we have one President – Ms von der Leyen – that this person then does not sit at a couch next to the Council President, but instead sits at the table, and that the Council sits in the back.
We need a Commission that also sends responsible people that are not there to bore our respective counterparts into surrender, but instead are engaging in political debate. And the big answer to this is to make sure that we get rid of the unanimous vote, and then we can continue the discussion also about, for example, how to speak softly and carry a big stick. I think all of this, the discussion about a European army, it needs to be coming afterwards, it needs to follow, the question of unity needs to prevail. Then we can see where to go forward.
Let me say one last thing about the question of Nord Stream that has been mentioned. Since I come from this region, I can tell you that, with a European Union aspect, Nord Stream 2 would have never been built. 
Therefore there’s a lot of benefits for everybody if European unity prevails.
"
Niklas NIENASS,2023-09-14,EN,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-010-0000_EN.html,"  Niklas Nienass,  rapporteur. – Mr President, Commissioner, dear Alin, my dearest co-rapporteur on this, European society is changing. 
My grandma was born in a village. She received her education there. She bore her children there. Her whole life was in this village. She almost never left it. She died there in the end. And that’s a few decades ago. 
My mom was the first one of the family to fly to Paris on a plane that you could still smoke on. And when she announced that she would go and live in another city almost 100 km away – 88, to be quite frank – the whole town said she’s crazy. I mean this is insane, so far away.
And now I have been to four countries in the past week, in a night train – non-smoking, by the way – but this is completely normal now. Nowadays, young people tend to live much faster lives in different ages, different whereabouts in Europe. 
The Internet allows us to connect and exchange ideas but also a lot of fake news. And nobody is bound anymore to one location to live in for the rest of the life, especially young people. They grow up in one town, get their education in another, vocational training in the next, Erasmus in between, and then find their love of their life and move, I don’t know, to another country to live there. 
Democracy did not adapt to these changes. We still have a democratic system in which if you’re interested in your local politics, you’re required to be there for five years, commit yourself to the service and do that. But that’s really hard to do, especially for young people if they don’t even know what party they are attending tonight. Right? So they don’t know where they will be in the next five years. So we need to find ways to adapt to it. 
Also, our European parliaments – I’m not talking about this one, I’m talking about all the national ones – they have sometimes less European exchange than a Call of Duty lobby. And European law has been made commonly, but still people are not talking to each other when they’re legislators. 
At the same time, we are having Erasmus European solidarity, all these ways, creative Europe, to bring Europeans together, to create European exchanges, understandings and so on. And at the same time, when citizens move to a different country, their new home treats them as foreigners and makes it really hard to be somewhere: they’re not allowed to vote, they don’t get the easy access to social rights, and it’s really, really hard. 
We try to address all of this in this report. First of all, for the democratic question, we had the idea to increase democracy, to extend it, not to exchange representative democracy, because it’s shown its value in the past, but to improve it by bringing it into fast-paced times, by giving citizens the possibility to give their ideas to have this exchange. And we know that it works because we use this very similar motive during the Conference on the Future of Europe. 
Money cannot be a reason for less democracy, I have to say. So this is not a good reason. I also have to say, especially to the Commission, the proposal to include citizens in certain ways, in very precise and detailed questions, I think is the wrong extent because it’s endangering democracy. In the end, it will feed into the fact that they can’t really do anything about it. They have to really get into the details of it and, in the end, maybe their results are not being treated respectfully. So we need to change that. 
Second point, we have talked about the parliaments and how we can bring them into exchange, how we can make sure that this globalisation, the Europeanisation of our legislation, is getting together. 
And third, we have clearly defined what the European citizenship means and that means also an easier life through a common European administration and also more voting rights for citizens throughout Europe. 
This is a path forward – an idea to bring our democracy to the 21st century. And I thank very much our shadows that we worked so closely together with. 
"
Niklas NIENASS,2023-09-14,EN,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-048-0000_EN.html,"  Niklas Nienass,  rapporteur. – Mr President, thank you very much, everybody, for participating in this debate. It is a parliament. ‘Parliament’ derives from the word parlare and means talking. I wish that we would also include ‘listening’ to it, because a lot of Members who have spoken are not here anymore to listen, actually, to responses. However, I’ll still try to sum it up a little bit.
The liberal democracy – I think this is the part where we all agree – is in danger from outside and from the inside. It’s changing and we need to improve democracy in order to make sure that it’s still working. When people call for representative democracy to have showed the best experience in the past, that might be true, but we still need to understand that things need to change in order to conserve what we want to keep precious.
One of the main things I think the press and media and everybody is saying is that people are losing trust in democracy and losing trust in politicians, and so on. This is right, but the question is: how do we bring trust back?
You don’t bring trust back by just saying, ‘Give it to me’, but you have to trust others in order to be trusted. Trusting citizens means giving them the possibility to decide, giving them tangible things to do with their own power, with their own voice. We can do that. Commissioner, you know about my ideas about using the cohesion funding for exactly that: to give citizens the power to decide where to use funding in order to empower them and to gain trust in democracy. But we should also do it when it comes to legislation. That’s why we are seeing the benefit of including partial measures of direct democracy into our representative democracy.
Let me make sure that we’re not talking about referenda after referenda for everything. I think this is not wise, but to get the people in Agoras in a meaningful discussion – we have shown it in Ireland, we have shown it during the Conference on the Future of Europe that this works. It’s really good to build up trust, to make citizens feel noticed and make sure that they get involved in the political process.
One last problem I want to mention here – and this goes to the Presidency, sorry, but I have to say, if we’re discussing democracy and we’re not allowing for blue cards in a various manner, then there’s something very badly wrong with a parliament that does not listen. So please, the Presidency of this House should make sure that blue cards are always available and that time has been taken seriously in account that blue cards can also be used.
"
Niklas NIENASS,2023-07-10,EN,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-050-0000_EN.html,"  Niklas Nienass,  rapporteur for the opinion of the Committee on Regional Development. – Madam President, it is necessary to ensure that no citizen, whether he lives at the city, village or in a remote territory, is left behind. Alternative fuel systems will only be effective when a specific person can move freely within the whole territory of the European Union and to be sure about to be able to use the alternative fuels infrastructure at any time of the whole trip. This means immediate action at the full—fledged action. The European regions be they small or big, be they rural or urban, or be they in the centre of Europe or in the outermost regions.
In order to achieve a well—functioning network, we should look even wider than the European Union and include third countries into the cooperation, especially those candidates for the Union membership. It is not only the density of the network of alternative fuels, but is also important that the adaptation of the network is specific to the specific needs of the people. So it needs to be inclusive and accessible for all people, especially those with disabilities or reduced mobility.
Before approving investment, it is therefore necessary to ensure that these systems are being developed in order to meet the needs and capacities of all people, because only an inclusive system can ensure faster results towards climate neutrality.
"
Niklas NIENASS,2023-05-31,DE,"Social and economic costs of climate change in light of the floods in Emilia Romagna, Marche and Toscana and the urgent need for European solidarity (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-207-0000_DE.html,"  Niklas Nienass (Verts/ALE).   – Frau Präsidentin! Zunächst einmal möchte ich den Familien und den Angehörigen, die Menschen und Angehörige verloren haben, die ihre Lebensgrundlage verloren haben, mein herzliches Beileid aussprechen. Diese Katastrophe führt uns leider wieder einmal traurig vor Augen, dass wir mitten in der Klimakatastrophe sind. Und ich glaube, wir müssen daraus endlich lernen. Wir müssen daraus Schlüsse ziehen, die mehr als einfach nur ein Leugnen sind, dass die Klimakatastrophe ja nicht schuld wäre oder dass sie nicht existiere oder dergleichen. Was also können wir lernen? 
Erstens an die Kommission: Kein Cent aus Europa darf in die Klimakatastrophe hineingesteckt werden – kein Cent mehr darf in mehr CO2-Ausstöße reingehen, in mehr Gefährdung der Umwelt.
Zweitens: Die Kommission muss eine Karte vorlegen, aus der ganz klar hervorgeht, welche Regionen besonders stark von Katastrophen gefährdet sind, damit wir dort anfangen können, wirklich etwas Resilientes aufzubauen und einen Umbau zu gestalten, damit die nächste Katastrophe nicht so schlimm wird und nicht so viele Menschenleben kostet.
Drittens: Wir müssen uns um den Umbau des Solidaritätsfonds kümmern. Der Solidaritätsfonds ist eine gute Idee, aber er funktioniert nicht in dem Maße, in dem wir ihn brauchen. Er ist zu klein, zu umständlich, zu bürokratisch und einfach nicht geeignet, den Bedrohungen der Zukunft, der Klimakrise entgegenzuwirken.
Leugnen, Herr Dorfmann, nützt hier gar nichts. Wir müssen uns der Herausforderung stellen, auch im Ansehen der Opfer dieser Katastrophen, um ihnen gerecht zu werden und weitere zu verhindern.
(Der Redner ist damit einverstanden, auf eine Frage nach dem Verfahren der ""blauen Karte"" zu antworten.)
"
Niklas NIENASS,2023-05-31,EN,"Social and economic costs of climate change in light of the floods in Emilia Romagna, Marche and Toscana and the urgent need for European solidarity (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-209-0000_EN.html,"  Niklas Nienass (Verts/ALE),  blue-card answer. – Well, I believe that the streamlining of the procedure would be helpful, but I don’t think that a simple increase of the funds is enough, because honestly, we don’t know when a catastrophe will come. We don’t know if it is at the beginning or at the end of the MFF. We don’t know in which size it will come for the future. I think what we need is an insurance scheme in which all Member States make sure that they pay in when catastrophes come, so that it is available all the time for all the region when it is needed. But bureaucracy will still be need to be reduced, and not just in the line of finances, but also in the rebuilding, meaning that we need to ensure that the regions at hand have it easier to access funding, have it easier to spend the money, and to get into building up and building up resistance instead of building up the same scheme over and over. Thank you for your question. 
"
Niklas NIENASS,2023-04-20,EN,IPCC report on Climate Change: a call for urgent additional action (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-065-0000_EN.html,"  Niklas Nienaß (Verts/ALE).   – Madam President, well first of all, it’s a pity that the Council is not here, because the Member States are the ones that have agreed to the Paris Agreement and that are legally bound to take action. Nonetheless, we need to focus on what we as the EU can do. And sorry for you being the only Commissioner here, but the Commission is not doing enough.
Why do we not use the power of the EU for the common agricultural policy to have an agriculture policy that is protecting the climate and the biodiversity? Why do you keep speaking about it but are not acting? Why do we not use the power of the EU with the biggest single market to use trading agreements for the better, for the climate and for biodiversity? Why, again, is the Commission not acting? We hear too much and we see too little. And honestly, this is just frustrating for me, for a whole generation, because we focus on the future. The question of the climate change is the question of how a society will live in future. The question of biodiversity is if we will live in future, and the current generation in power is just doing everything to ignore the point, and we as a future generation get anxiety of it and have a fear of the future. And that is on your back. Sorry to say that to all of you.
"
Niklas NIENASS,2023-04-20,EN,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-079-0000_EN.html,"  Niklas Nienaß,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, I don’t need to repeat what you said. I think the goal is clear. We want cohesion throughout Europe and that is of utmost importance.
But the question I have is whether this is the right tool, if state aid really is the right tool to achieve it. Because the problem that we have throughout Europe is we have very rich Member States and we have very poor Member States. The problem lies in that even if we increase the limits for state aid possibilities, it does not mean that the Member States have the money and the funding to help their companies with state aid. So we see that the majority of requests for state aid come, of course, from the richest Member States who don’t necessarily need to support their companies in such a way.
So my question is whether we cannot think of a better tool to organise state aid in a fair way so that not everybody gets the same possibility, but actually gets the possibility to invest into it, and that we have a common European approach to it, to fund and to support these Member States that definitely need or these companies and these regions that need the support, but not based upon the income of their national Member State, but based on European solidarity.
That is the way how we did cohesion policy in the past, and that is the way that we should extend European cohesion policy in the future in order to bring cohesion to Europe and a real cohesion.
"
