MP,Date,Language,Title,Url,Content
Norbert LINS,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-056-0000_DE.html,"  Norbert Lins (PPE).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! In der Corona-Pandemie, beim russischen Angriff auf die Ukraine, ist uns bewusst geworden, wie wichtig in der Europäischen Union eine gute Selbstversorgung von qualitativ hochwertigen Lebensmitteln ist. Und genau dies muss uns auch neben dem Thema Klima- und Biodiversitätsschutz morgen bei unserer Abstimmung leiten.
Ich glaube, dass die Vorschläge des Agrarausschusses bei der Reduzierung der richtige Weg sind. Eine Verschiebung nach 2035 und insbesondere das Thema Schutzgebiete, Schutzgebietsverbote, muss noch deutlich verändert werden. Der Vorschlag des Umweltausschusses ist keine Lösung, ist eine Scheinlösung. Das teilt übrigens auch der Ministerpräsident meiner Region – der gehört übrigens der Grünen Partei an. Wir dürfen die Vorreiterregionen in Europa nicht bestrafen – diejenigen, die schon besonders viel geleistet haben.
Und man sieht, wie bei mir in meiner Heimat schon wieder mehr Artenvielfalt da ist; das zeigt das neueste Öko-Monitoring. Gehen wir einen Weg der Kooperation mit der Landwirtschaft, nicht der Konfrontation! Und das steht morgen an bei dieser Abstimmung.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Norbert LINS,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-058-0000_DE.html,"  Norbert Lins (PPE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Liebe Kollegin Wiener! Es geht eben genau darum: Es geht um eine Beweislastumkehr. Es geht darum: Zuerst muss klar sein: Sind irgendwelche Tierarten oder Pflanzenarten durch einen bestimmten Wirkstoff, durch ein bestimmtes Pflanzenschutzmittel im Besonderen gefährdet und nicht eben pauschal verboten? Und ich wiederhole noch einmal: Ausnahmen, die dann von den Mitgliedstaaten entschieden werden sollen, die politisieren diese Debatte und gerade in Mitgliedstaaten, die besonders viele Schutzgebiete haben; dazu gehört mein Heimatland Deutschland mit jedem sechsten Hektar, der davon betroffen ist.
Und deswegen stellt das eben eine Gefahr dar für die Landschaft, insbesondere praktisch ein Berufsverbot für die Landwirte in diesen Gebieten.
"
Norbert LINS,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-275-0000_DE.html,"  Norbert Lins,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Landwirtschaft und ländliche Entwicklung. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Es sind viele Änderungen der Verträge in vielen Bereichen notwendig. Das gilt nicht für den Landwirtschaftsbereich. Ich bin der Auffassung, wie die Mehrheit meines Ausschusses, dass die Ziele der Gemeinsamen Agrarpolitik nach wie vor angemessen und wichtig sind, wie wir während des anhaltenden Krieges in der Ukraine, der COVID-Pandemie und auch des Klimawandels und deren Auswirkungen auf den Lebensmittel- und Energiesektor sowie auf die Wirtschaft der Union insgesamt gesehen haben. Und sie spielen immer noch eine strategische und grundlegende Rolle für die landwirtschaftliche Produktion, die Entwicklung ländlicher Gebiete und die europäische Integration im Allgemeinen.
Bedenken Sie auch: Die aktuellen Ziele des Vertrages sind so formuliert, dass sie schon immer grundlegende Reformen der Gemeinsamen Agrarpolitik zuließen. Nichts hinderte uns daran, in den Reformen der Agrarpolitik neue Ziele und Maßnahmen im Einklang mit den drei Nachhaltigkeitsaspekten Umwelt, Wirtschaft und Soziales hinzuzufügen. Daher sind die Ziele der GAP nach wie vor angemessen und wichtiger denn je.
"
Norbert LINS,2023-10-19,DE,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-101-0000_DE.html,"  Norbert Lins (PPE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Ein Job in der Industrie oder dem Handwerk, der in unmittelbarer Nähe des eigenen Hofes finanziell interessanter ist, mehr Lohn, und das alles bei weniger Arbeitsstunden: Klingt reizvoll – ist es auch. Viel Arbeit, wenig Lohn, schwindendes gesellschaftliches Ansehen, Bürokratieauflagen, die einem immer mehr Steine in den Weg legen: Klingt nicht sehr ansprechend – ist es auch nicht.
Wenn dann noch Kolleginnen und Kollegen – wie gerade der Kollege Waitz – hinzukommen, die weiter ökologische Betriebe gegen konventionelle ausspielen, die Stadt und Land gegeneinander ausspielen, dann ist es wahrlich keine gute Zukunftsperspektive für die Bäuerinnen und Bauern. Genau das Gegenteil müssen wir schaffen: Perspektiven, finanzielle Anreize, eine Investitionsoffensive, eine Innovationsoffensive braucht es für die ländlichen Räume, für die Landwirtschaft in Europa. Und da müssen wir mehr tun. 
Wir haben in der GAP Gutes begonnen – nächstes Mal müssen wir noch mehr tun für die jungen Bäuerinnen und Bauern in Europa. Und vor allem brauchen sie Wertschätzung und nicht Tadel, sondern Wertschätzung für ihre Arbeit, dass sie eine Zukunftsperspektive haben, dass sie auch gesellschaftliche Anerkennung haben.
"
Norbert LINS,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-264-0000_DE.html,"  Norbert Lins (PPE).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Der Kollege Biteau und auch der deutsche Landwirtschaftsminister haben vorhin gerade gezeigt, dass sie beide das Vorsorgeprinzip gar nicht verstanden haben. Das Vorsorgeprinzip, was die Zulassung von Pflanzenschutzmitteln betrifft, ist das Härteste, was die Europäische Union in der Welt hat, und das heißt dann eben, dass wir Vertrauen haben in den härtesten Zulassungsprozess, den es in der Welt gibt.
Selten wurde ein Wirkstoff so genau untersucht, wie das beim Wirkstoff Glyphosat, der Fall ist. Weit über 1 000, Tausende von Seiten Forschung wurden einbezogen – von den nationalen Behörden und auch der EFSA. Hierbei sind keine kritischen Problembereiche entdeckt worden, die für den Wirkstoff, wenn er richtig, wie vorgeschrieben, angewendet wird, zu einem Verbot führen. Wie können die europäischen Institutionen ernst genommen werden, wenn Verbote verhängt werden, obwohl wissenschaftlich und methodisch fundierte Daten keinen Anlass dazu geben? Und auf was können die europäischen Bäuerinnen und Bauern vertrauen?
Ich begrüße daher, dass die Europäische Kommission auf die Einschätzung der EFSA vertraut und Glyphosat für weitere zehn Jahre zulassen will. Das ist ein ganz wichtiger Schritt für die Landwirtschaft und auch insbesondere für die Planungssicherheit der Landwirte. Selbstverständlich ist es richtig, auch jetzt noch zu diskutieren, wie es z. B. Frankreich macht, ob wir weitere Anwendungsrestriktionen mit einbeziehen. Aber in der richtigen Richtung sind wir unterwegs, und ich vertraue jetzt auf die Mitgliedstaaten, dass sie eine weise und richtige Entscheidung treffen, nämlich die Wiederzulassung.
"
Norbert LINS,2023-09-13,DE,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-154-0000_DE.html,"  Norbert Lins,  im Namen der PPE-Fraktion. – Herr Präsident! Frau Kommissarin, liebe Kolleginnen und Kollegen! Seit mehr als 30 Jahren haben wir nichts mehr am Schutzstatus des Wolfs geändert.
In einem Viertel dieser Zeit erwarten wir mit den Gesetzen des Green Deals, Europas gesamte Umwelt und Biodiversität bis 2030 zu transformieren.
Die FFH-Richtlinie wurde 1992 verabschiedet. Damals waren Wölfe in meinem Heimatland praktisch ausgerottet. Heute leben dort über 1 500 Tiere, in der Europäischen Union um die 20 000. Die Reißzahlen steigen exponentiell. Die Gefahr, die vom Wolf ausgeht, muss klar und deutlich benannt werden.
Wie konnte der Wandel so lange ignoriert werden? Eine Neubewertung ist überfällig.
Ich danke Frau Kommissionspräsidentin von der Leyen, dass sie nicht nur die Stimmen des ländlichen Raums, sondern auch dieses Parlament ernst genommen und die Initiative ergriffen hat. Denn wir dürfen nicht zulassen, dass der Wolf einen Keil zwischen die städtischen und ländlichen Gebiete in Europa treibt.
Wir brauchen eine europäische Lösung. Wölfe halten sich nicht an nationale Grenzen. Und wir sehen ja, dass in manchen Mitgliedstaaten praktisch nichts passiert. Wir brauchen auch einen klaren Überblick, was die Kommission vorhat und selbstverständlich auch, wann sie es vorhat. Es ist Dringlichkeit geboten.
Ich fordere Klarheit für das Leben im ländlichen Raum, für die Landwirtschaft, für die Weidetierhalter.
"
Norbert LINS,2023-09-12,DE,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-198-0000_DE.html,"  Norbert Lins,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! In den letzten Monaten haben wir intensiv über dieses Parlamentsmandat für die Revision der Luftqualitätsrichtlinie verhandelt.
Ich glaube, dass der Bericht des Umweltausschusses noch einen deutlichen Verbesserungsbedarf hat. Deswegen haben wir, auch gemeinsam mit Kolleginnen und Kollegen aus anderen Fraktionen, ein ganzes Paket von Änderungsvorschlägen vorgelegt. Es geht darum, die ambitionierten Ziele der Europäischen Union fortzuführen und die Erfolge, die wir in der Vergangenheit schon erreicht haben, bezüglich der Verbesserung der Luftqualität weiter fortzusetzen. Aber es geht auch darum, dass wir keine unrealistischen und drastischen Maßnahmen ergreifen wie Fahrverbote oder die Stilllegung von Industrien, wie es die S&D sowie Teile der Liberalen, Linken und Grünen in diesem Hause einfordern. Die Lösung sollte ganz klar heißen: Anreize schaffen, emissionsarme Möglichkeiten fördern – statt Verbote und Strafen.
Wir müssen doch auch im Hinterkopf behalten, dass in vielen Mitgliedstaaten schon ein sehr hoher Standard bezüglich der Luftqualität herrscht. Diese Revision muss daher die Kosten und den Aufwand mit dem Ergebnis in einer Verhältnismäßigkeit abwägen. Die rote Linie ist für mich, mit Ach und Krach die Angleichung der WHO-Werte in den kommenden zehn Jahren einzufordern. Annäherung an die WHO-Werte ja, Angleichung nein. Die Betonung liegt nämlich auf dem Richtwert. Diese Werte sollten nicht als Grenzwerte missverstanden werden. Denn auch die WHO selbst betont, dass deren Richtwerte nur den optimalsten Gesundheitszustand widerspiegeln.
Als Entscheidungsträger müssen wir daher verantwortlich alle Facetten von Gesundheit, Umwelt und Wirtschaftlichkeit innerhalb der EU gut in Einklang bringen und entscheiden, in welcher Geschwindigkeit diese Transformation vonstattengehen soll. Daher werbe ich für die Annahme der Emissionswerte des Kommissionsvorschlags für das Jahr 2035.
"
Norbert LINS,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-077-0000_DE.html,"  Norbert Lins (PPE).   – Frau Präsidentin, Herr Kommissar! Ich habe gute Nachrichten aus meiner Heimat mitgebracht. Wir haben neulich ein Monitoring in meinem intensiven Obstanbaugebiet am Bodensee im Süden Deutschlands gehabt. Wir haben 112 Wildbienenarten im Jahr 2023, doppelt so viele wie im Jahr 2010, davon 26 Arten, die landesweit als bedroht oder erheblich reduziert galten. Was für ein Erfolg! Und wer hat es geleistet, wer hat es hingekriegt? Die Bäuerinnen und Bauern, insbesondere die Obstbauern. Was haben sie gemacht? Blühflächen in die Obstplantage gesetzt, Nisthilfen, heimische Wildkräuter erweitert, intensiv selber mit eigenem Engagement angepflanzt.
Das ist der Weg, den wir gehen müssen, der Weg mit den Landwirten, der Weg der Best Practice. Setzen Sie sich hin, Herr Kommissar, schauen Sie an, welche Regionen fortgeschritten sind, welche Regionen den Artenvielfaltschwund gedreht haben, und kommen Sie dann mit einem neuen Vorschlag, übrigens auch einer Revision der FFH-Richtlinie. Die größte Gefahr für die Biodiversität ist die sich unkontrolliert ausbreitende Wolfspopulation. Das ist die große Gefahr. Bitte, berücksichtigen Sie das alles.
"
Norbert LINS,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-026-0000_DE.html,"  Norbert Lins (PPE).   – Herr Präsident, Frau Kommissarin, Frau Ministerin, liebe Kolleginnen und Kollegen! Ich freue mich, Frau Kommissarin, dass Sie hier sind. Ich frage mich aber, wo der Landwirtschaftskommissar ist, warum er sich dieser Debatte nicht stellt, wo er sich heute Morgen versteckt; das ist schon die Frage. Ich glaube, es gehört zum Respekt gegenüber diesem Haus, dass der Landwirtschaftskommissar sich dieser Debatte stellt. 
Nächste Woche, am 15. Mai, müssen die Bäuerinnen und Bauern den Antrag, ihren Förderantrag für die neue Agrarpolitik, zum ersten Mal abgeben. Ich glaube, vielen wird dann bewusst, welche Anforderungen, welche Herausforderungen diese neue gemeinsame Agrarpolitik an die Bäuerinnen und Bauern stellt – Stichworte enhanced conditionality, eco-schemes. Ich glaube, wir sehen damit, was unsere Landwirtschaft jetzt schon leistet, was wir ihr in Zukunft abverlangen, und selbstverständlich leistet die Landwirtschaft jetzt schon einen großen Beitrag für Umwelt- und Klimaschutz. 
Ich glaube aber, dass wir die Landwirte überfordern. Derzeit sind 80 Gesetzesinitiativen von der Europäischen Kommission da, 30 mit direkter Auswirkung auf die Landwirtschaft: die SUR, Nature Restoration Law, animal welfare, industrial emissions, sustainable food systems, um nur einige zu nennen. Es wird gepusht, gepusht, gepusht. Und Europas Landwirtschaft muss immer mehr immer schneller leisten. Die Bäuerinnen und Bauern kommen bei der Umsetzung, was wir von ihnen verlangen, nicht mehr nach. 
Lassen wir die Bäuerinnen und Bauern doch arbeiten! Gerade bei der jetzigen Ernährungslage müssen wir ihnen Lust machen, diesen wunderschönen Beruf auch weiter ausüben zu können, insbesondere was die junge Generation betrifft. 
"
Norbert LINS,2023-05-10,DE,Ukrainian cereals on the European market (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-250-0000_DE.html,"  Norbert Lins,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, Frau Ministerin! Schön, Herr Kommissar, dass Sie jetzt da sind; wir hätten Sie gerne auch heute Morgen bei der Agrardebatte begrüßt.
Es ist unbestritten, dass der Ukrainekrieg uns vor große Herausforderungen stellt. Die Getreidepreise in den ukrainischen Anrainerstaaten sind im Sinkflug, die Situation ist prekär, die Bäuerinnen und Bauern sind dringend auf finanzielle Hilfe angewiesen. Nur: Die von Ihnen vor Kurzem beschlossenen Schutzmaßnahmen stellen keine langfristige Lösung dar. Um den Binnenmarkt auf Dauer zu sichern, dürfen wir das Problem nicht in der EU weiterschieben. 
Der Zustrom von ukrainischem Getreide in den europäischen Anrainerstaaten ist ein hausgemachtes Problem, und da hat auch die Europäische Kommission eine Verantwortung; das war uns schon vor einem Jahr klar. Sie müssen sich endlich überlegen, wie Sie die solidarity lanes auf die nächste Stufe heben. Das ukrainische Getreide muss in den bedürftigen Staaten landen, darf nach Grenzübertritt nicht irgendwo versickern. 
Die globale Lebensmittelknappheit, hohe Inflation und der Zusammenbruch von Währungen bedrohen die Ernährungssicherheit im Nahen Osten und in Nordafrika. Die Nachfrage dieser Drittstaaten sinkt nicht, weil weniger Bedarf ist, sondern weil Haushaltsdefizite da sind, hohe Staatsverschuldung, Währungsabwertung und gefährliche Inflationsraten da sind – das schreibt das Welternährungsprogramm. Und wenn wir da bei den Exporten sind, glaube ich, dass wir feststellen müssen, wir können nicht alle 60 oder 120 Tage hoffen, dass Russland das Abkommen im Schwarzen Meer weiterlaufen lässt. Und das aktuelle läuft ja in einer Woche aus. 
Ich glaube, dass wir die solidarity lanes stärken müssen, dass wir Logistikhilfen auf den Weg bringen müssen, dass wir ukrainisches Getreide, insbesondere Weizen, kaufen müssen, dass es in der Kommission endlich einen Sonderbeauftragten geben muss oder eine Taskforce, die sich dieses Problems annimmt, und dass wir jetzt schnell reagieren und symbolisch jetzt gleich loslegen müssen mit dem humanitären Getreideexport. Das wäre mal ein Signal auch an die Bauern, sowohl in Polen als auch insbesondere in Rumänien. 
"
