MP,Date,Language,Title,Url,Content
Olivier CHASTEL,2023-10-18,FR,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-241-0000_FR.html,"  Olivier Chastel,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, chers collègues, le rapport de la Cour des comptes, que je veux remercier pour son excellent travail, a amplifié mes nombreuses préoccupations: un taux d’erreur toujours plus important dans les domaines de la cohésion des Fonds européens de développement et pour les dépenses à haut risque, dont le taux d’erreur atteint 6 %, avec un taux d’erreur global pour les dépenses de 4,2 %.Ces chiffres sont très loin de ceux annoncés par la Commission. Le Parlement l’a demandé à plusieurs reprises: la Commission et la Cour doivent établir une méthodologie identique pour l’estimation du taux d’erreur. C’est une question de crédibilité pour les deux institutions.
Deuxième préoccupation: un reste à liquider qui culmine à plus de 450 milliards d’euros et la capacité d’absorption des États membres, qui reste problématique tant pour le cadre pluriannuel que pour NextGenerationEU.
Troisième élément: la Cour a également émis de sérieuses réserves sur la méthodologie employée par la Commission en matière de contrôle des fonds liés à la facilité pour la reprise et la résilience de nos États membres.
Enfin, Monsieur le Commissaire, je ne peux que vous rappeler l’importance de mettre en place des boîtes à outils d’extraction de données et de systématiser le recours aux nouvelles technologies pour optimiser les contrôles. C’est dans l’intérêt tant de la Commission que de nos citoyens. Les problèmes structurels liés à la gestion des audits n’ont que trop duré.
"
Olivier CHASTEL,2023-05-09,FR,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-158-0000_FR.html,"  Olivier Chastel,  rapporteur. – Madame la Présidente, Monsieur le Président de la Cour des comptes, très chers collègues, demain, le Parlement se prononcera donc en plénière pour accorder ou non la décharge pour 2021 à 55 institutions européennes. C’est évidemment tous les ans un acte politique majeur que le Parlement réalise, en lien avec la Cour des comptes, dont je veux encore une fois saluer le travail et la rigueur. Ces votes nous permettront donc de valider la gestion des fonds, la transparence, mais aussi de sanctionner les abus, les politiques inefficaces et le mauvais usage de l’argent public.
Cette année, pour la décharge de la Commission, nous avons inauguré un nouveau type de démarche en deux parties: la première, consacrée au cadre budgétaire classique, et la seconde à la facilité pour la reprise et la résilience. Et je veux saluer et remercier nos deux rapporteurs pour leur efficace travail en la matière.
Comme j’ai eu l’occasion déjà de le dire, j’ai un certain nombre d’inquiétudes concernant l’exécution du budget de l’Union. Un taux d’erreur qui reste très significatif dans les domaines de la compétitivité, de la cohésion, mais aussi pour les dépenses à hauts risques. Un reste à liquider toujours plus élevé, et la nécessité de respecter l’état de droit si on veut bénéficier des fonds européens, mais aussi la capacité d’absorption des États qui reste problématique, ainsi qu’un retard dans la digitalisation des procédures d’audit et de contrôle.
Oui, nous devons généraliser l’utilisation du «data mining» et systématiser le recours aux nouvelles technologies pour organiser les contrôles, développer une base de données reprenant tous les bénéficiaires des fonds européens afin de mieux lutter contre la fraude. En ce qui concerne la FRR, cet outil a été mis en place pour répondre de manière urgente à la crise économique post-Covid que nous avons traversée. Il est loin d’être parfait, on le sait, mais il a le mérite d’exister, de fonctionner. De meilleurs contrôles sur les projets, en ce compris sur les jalons et leurs performances économiques doivent être envisagés. Les recommandations politiques faites dans la décharge permettront de l’améliorer lors de son éventuelle révision en 2024.
Nous ne pourrons être pleinement efficaces qu’avec des comptes en ordre et une gestion optimale des fonds. Chaque euro doit être utilisé de manière performante et efficace dans des projets porteurs, des politiques ayant de vrais effets importants. De nos actions dépendront donc notre crédibilité, mais aussi celle du projet européen. Pour conclure, je souhaiterais évoquer la décharge des 33 agences, puisque Renew était le rapporteur cette année, et je veux d’abord remercier les agences pour leur engagement dans le processus de la décharge, et leur transparence vis-à-vis des demandes de la commission du contrôle budgétaire.
Nous avons mis en avant un certain nombre de priorités pour nos agences. Une meilleure politique de ressources humaines comme l’équilibre des genres, l’équilibre vie privée, professionnelle, l’équilibre géographique, mais aussi la prévention, la gestion des conflits d’intérêts, l’importance de la transparence, la lutte contre la corruption, les règles de marchés publics claires, la cyberprotection, le développement des meilleures pratiques, et enfin des synergies entre les agences elles-mêmes. Le rôle des agences est essentiel à l’implémentation des politiques européennes, et je suis heureux que cette année nous recommandions d’accorder la décharge à toutes les agences. 
"
Olivier CHASTEL,2022-10-19,FR,Presentation of the Court of Auditors' annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-179-0000_FR.html,"  Olivier Chastel,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Président de la Cour des comptes, Monsieur le Commissaire, chers collègues, je veux évidemment tout d’abord remercier la Cour des comptes pour la qualité de son rapport annuel. Mais, comme j’ai déjà eu l’occasion de le dire en commission la semaine dernière, ce rapport n’a évidemment pas balayé mes nombreuses préoccupations.
D’abord, un taux d’erreur toujours significatif dans les domaines de la cohésion, du marché unique, des Fonds européens de développement, mais surtout dans le domaine des dépenses à haut risque, dont le taux d’erreur culmine cette année à 4,7 %. Ensuite, un reste à liquider, qui lui aussi culmine. On a beau dire qu’il diminue si on enlève NextGenerationEU, il culmine à 341 milliards et la capacité d’absorption des États membres reste problématique, tant dans le cadre pluriannuel que pour NextGenerationEU. Enfin, la Cour souligne également le manque de clarté sur les recouvrements et leurs délais.
À la lumière de ces éléments, je suis inquiet pour les années à venir. Mme Hohlmeier vient de le dire: les montants qui seront dépensés dans le cadre de NextGenerationEU ainsi, d’ailleurs, que dans le cadre pluriannuel sont conséquents. Et on a des craintes par rapport à l’avenir et à la manière dont les États, notamment, peuvent absorber ces montants-là et par rapport à la manière de contrôler la façon dont ils le font.
Par ailleurs, le premier examen par la Cour des comptes de la facilité pour la reprise et la résilience d’un de nos États membres, le premier qui a reçu des moyens, laisse peser des doutes sur les contrôles ex ante et les objectifs à atteindre. Cette crainte est évidemment d’autant plus importante quand on pense à des pays comme la Hongrie pour leurs manquements systémiques dans la lutte contre la corruption, les conflits d’intérêts, les procédures de marchés publics déficientes.
Enfin, je ne peux que rappeler l’importance, l’urgence de la mise en place généralisée des outils d’exploration de données et la nécessité de systématiser le recours aux nouvelles technologies et au numérique pour optimiser les contrôles. La situation actuelle est tout bonnement préoccupante et nous devons être à la hauteur des attentes de nos concitoyens. Nous ne pourrons le faire pleinement qu’avec des comptes en ordre et une gestion optimale des flux.
"
Olivier CHASTEL,2022-05-04,FR,Discharge 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-066-0000_FR.html,"  Olivier Chastel,  rapporteur. – Madame la Présidente, Madame la Ministre, Monsieur le Commissaire européen, Monsieur le Président de la Cour des Comptes, très chers collègues, lors de cette plénière de mai, nous clôturons le processus de décharge pour 2020 que nous avons entamé en septembre dernier. 
Et tout d'abord, je veux remercier la grande majorité des institutions européennes pour leur collaboration et pour leur travail. Tant la Commission que le Parlement lui même d'ailleurs, mais aussi les Agences, les Fonds de développement et les institutions en général qui sont concernés par la décharge, ont globalement pleinement collaboré avec la commission du contrôle budgétaire du Parlement européen. 
Je tiens également à remercier la Cour des comptes pour son travail dans le cadre du processus de décharge. C'est un travail rigoureux et essentiel de vérifier les comptes de chaque institution pour que notre Parlement ait tous les éléments pertinents à sa disposition pour accorder ou non la décharge. 
Cette année, en tant que rapporteur pour la Commission européenne, j'avais clairement indiqué ma volonté d'aboutir à une décharge focalisée sur les recommandations en matière de contrôle budgétaire, et non pas sur une liste interminable de considérations politiques. Je pense que nous sommes arrivés à un très bon résultat: un rapport lisible qui va à l'essentiel. 
Ce fut un travail important et dense, et il le fut encore plus vu le caractère exceptionnel de l'année 2020: la pandémie et l'émergence de l'Europe de la santé, le nouveau cadre budgétaire pluriannuel et le plan de relance européen pour faire face aux conséquences socio-économiques de la pandémie. 
Le processus de décharge n'est ni un geste anodin, ni une formalité. C'est un acte politique majeur dans les mains du Parlement européen, qui permet d'avaliser la gestion des fonds, la transparence, mais aussi de sanctionner les abus, les politiques inefficaces ou encore le mauvais usage de l'argent public. 
Cette bonne gestion est essentielle pour maintenir la crédibilité, mais aussi la légitimité de notre projet politique auprès des contribuables européens. Chaque euro doit être utilisé de manière performante et efficace. C'est encore plus le cas lorsque nous traversons une succession de crises. 
Monsieur le Commissaire, comme je l'ai déjà dit en commission, j'ai de vives inquiétudes concernant le budget de l'Union. Un taux d'erreur significatif dans des domaines comme la compétitivité, la cohésion ou encore les dépenses à haut risque, un reste à liquider qui dépasse les 300 milliards, la capacité d'absorption des États membres, qui reste souvent très problématique et un manque de clarté sur les recouvrements et leurs délais. 
À la lumière de ces éléments, je suis inquiet pour les années à venir au regard des montants qui seront dépensés 1 800 milliards prévus pour le prochain cadre financier pluriannuel et pour Next Generation EU, qui a été mis en place pour permettre aux États membres de se relancer suite à la pandémie. 
Enfin, je ne peux qu'encourager la Commission, mais aussi les États à la mise en place obligatoire et généralisée des outils d’exploration de données comme Arachne ou EDES, et de systématiser le recours aux nouvelles technologies pour organiser les contrôles et développer une base de données reprenant tous les bénéficiaires des fonds européens afin de mieux lutter contre la fraude. 
La Commission doit donc progresser dans chacun de ces domaines. Les années qui viennent seront cruciales pour notre projet européen, et c'est une composante de sa crédibilité. 
La gestion de la crise sanitaire et ses impacts économiques, le respect de l'état de droit, la mise en œuvre du pacte vert pour l’Europe, la transition numérique, la recherche et l'innovation, l'émergence de l'Europe de la santé sont autant de sujets sur lesquels nous sommes attendus et pour lesquels nous devons dégager les moyens budgétaires suffisants pour mettre en place ces politiques essentielles. 
Nous ne pourrons être pleinement efficaces qu'avec des comptes en ordre et une gestion optimale des fonds. Chaque euro doit être dépensé avec efficience dans des projets porteurs ou des politiques avec des effets de levier important. 
De nos actions dépendront notre crédibilité et aussi celle du projet européen.
"
Olivier CHASTEL,2022-02-14,FR,Implementation of the Sixth VAT Directive (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-14-INT-1-168-0000_FR.html,"  Olivier Chastel,  rapporteur. – Madame la Présidente, Madame la Commissaire, chers collègues, mon objectif ici en tant que rapporteur était de lancer un message fort afin de mettre fin au régime transitoire, source de failles creusant toujours davantage l’écart de TVA. Je veux remercier les rapporteurs fictifs pour leur collaboration. Ce rapport a été voté en commission ECON à une large majorité, montrant ainsi un front uni pour proposer des solutions à des questions restées en suspens depuis plus de quatre ans. Ce rapport de mise en œuvre porte en effet sur des problématiques particulièrement sensibles, qui touchent à la fois aux politiques des États membres, à l’efficacité du marché intérieur, à la transition numérique et environnementale et au bien-être de nos concitoyens.
Si l’écart de TVA dans l’Union est passé de 20 % en 2009 à 10 % en 2019, il varie considérablement d’un État membre à l’autre, ce qui nuit au budget de l’Union, aux entreprises et aux citoyens européens. À ce premier élément s’ajoutent l’ampleur des différences des taux standards entre les États membres et la multitude des taux réduits et spéciaux. Cette complexité est source d’opacité, de coûts de conformité, d’erreurs, mais aussi de fraudes. Elle limite fortement la cohérence et l’interopérabilité du système de TVA et fait perdre à l’Union quelque 134 milliards d’euros en 2019.
C’est pourquoi notre rapport propose plusieurs options stratégiques. Nous proposons tout d’abord d’identifier les bonnes pratiques existant au niveau national afin de les appliquer à une réforme à l’échelle européenne. Nous estimons ensuite indispensable de procéder à un examen minutieux des taux réduits et des taux spéciaux afin de réduire le coût de conformité et de moderniser et rationaliser le système fiscal dans un souci de cohérence. Nous estimons aussi que, si la pandémie a catalysé le développement de la numérisation pour toutes les transactions, il faut encore garantir la transparence, la responsabilité et la déclaration automatisée, indispensables pour un régime de TVA définitif, simplifié et pérenne.
Toutefois, la Commission doit aussi soutenir nos PME dans l’acquisition des technologies et du savoir-faire. En outre, nos entreprises ont urgemment besoin que la base de données «Impôts en Europe» soit pleinement opérationnelle et propose un accès rapide, actualisé et précis aux informations pertinentes sur la mise en œuvre du système de TVA dans les États membres, en particulier sur l’ensemble des taux de TVA standards et inférieurs.
Enfin, nous proposons d’accompagner la transition climatique en faisant sortir progressivement de la liste des dérogations aux taux standards les produits nocifs, mais aussi ceux qui sont hautement polluants. Un tel retrait progressif devra inclure des mesures de compensation et des taux réduits sur les produits de première nécessité, afin de venir en aide aux ménages à bas revenus.
Le 7 décembre dernier, les ministres de l’Ecofin ont approuvé la réforme tant attendue de la directive relative aux taux de TVA. Cette réforme prévoit, comme le souhaitait le Parlement, ce retrait progressif des combustibles fossiles ou des produits nuisibles à l’environnement ainsi qu’une accélération de la numérisation. Elle ne veut laisser personne au bord du chemin. 
Il appartiendra donc aux États membres de l’Union européenne de garantir un juste équilibre entre le respect des taux standards et les dérogations admises, mais aussi d’éviter d’éroder l’assiette fiscale lorsqu’ils utiliseront les nouveaux taux réduits de TVA. 
"
Olivier CHASTEL,2021-11-24,FR,Presentation of the Court of Auditors' annual report 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-24-INT-3-319-0000_FR.html,"  Olivier Chastel,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, Monsieur le Président de la Cour des comptes, chers collègues, la présentation de M. Lehne, que je remercie, m’inspire de nombreuses inquiétudes. Un taux d’erreur significatif, important dans les domaines de la compétitivité, de la cohésion et pour les dépenses à haut risque; le reste à liquider, qui dépasse les 300 milliards; la capacité d’absorption des États qui reste très problématique et, enfin, un manque de clarté sur les recouvrements et les délais. Je suis donc inquiet pour les années à venir au regard des montants qui seront dépensés – 1 800 milliards prévus dans le prochain cadre financier pluriannuel.
Par ailleurs, je ne peux qu’encourager, tant la Commission que les États membres, à généraliser les outils d’extraction de données et à systématiser le recours aux nouvelles technologies pour améliorer l’ensemble des contrôles. Vu les sommes engagées, notamment pour NextGenerationEU, nous devrons être à la hauteur des attentes de nos concitoyens.
L’Union européenne doit permettre aux États membres de redéployer leur économie, mais aussi de mettre en œuvre nos politiques – le pacte vert, Horizon Europe, la transition numérique. Nous ne pourrons le faire pleinement qu’avec une gestion optimale des fonds. À ce titre, je me félicite qu’à l’occasion de la récente négociation du budget 2022, les négociateurs du Parlement soient parvenus à arracher au Conseil des moyens supplémentaires pour la Cour des comptes. Nous devrons en effet veiller à ce que chaque euro dépensé le soit au bénéfice direct des Européens et il appartient à la Commission de tout mettre en œuvre pour répondre à cette exigence.
"
Olivier CHASTEL,2021-11-23,FR,2022 budgetary procedure: joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-23-INT-2-231-0000_FR.html,"  Olivier Chastel (Renew).   – Monsieur le Président, Monsieur le Commissaire, très chers collègues, en plus des propositions initiales de la Commission, nous avons donc obtenu pour 2022 des investissements supplémentaires de près de 500 millions d’euros pour réaliser les priorités politiques de notre Parlement. Je pense à la recherche, à notre jeunesse, aux PME et à la transition verte et numérique, à la dimension sanitaire, en ce compris l’effort mondial de vaccination, à la cohésion interne, à la solidarité externe et au respect de l’état de droit.
Ce résultat exceptionnel, nous le devons à un Parlement européen uni, à la cohésion de l’ensemble des groupes politiques qui œuvrent au quotidien aux côtés de nos concitoyens. Et avec un budget de 169,5 milliards d’euros et plus de 140 milliards en prêts et en dons dans le cadre de NextGenerationEU pour soutenir la reprise en 2022, nous aurons besoin d’un contrôle budgétaire renforcé.
C’est pourquoi j’ai tout particulièrement veillé à ce que les institutions, comme la Cour des comptes ou le Parquet européen, soient dotées de moyens suffisants, financièrement et en capacités, pour assumer pleinement leurs missions en renforçant ainsi le contrôle des dépenses. Nous nous assurerons que l’argent du contribuable est effectivement utilisé à la réalisation des politiques d’intérêt général qui sont le reflet de celles mises en œuvre par nos gouvernements.
"
Olivier CHASTEL,2021-10-19,FR,General budget of the European Union for the financial year 2022 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-19-INT-2-192-0000_FR.html,"  Olivier Chastel (Renew).   – Madame la Présidente, Monsieur le Commissaire, Madame la Ministre, très chers collègues, le budget de l’Union sera renforcé grâce au plan de relance «Next Generation EU» et l’effort financier pour garantir cette relance en 2022 sera sans précédent. Afin de s’assurer de la confiance des citoyens, mais aussi des entrepreneurs, les deniers européens doivent être judicieusement dépensés. Nous serons de ce fait particulièrement attentifs au respect de l’état de droit, d’une part, et à la lutte contre la fraude au budget de l’Union, d’autre part.
Nous traversons une période de bouleversements climatiques, économiques, sociaux, géopolitiques. Établir un budget, c’est opérer des choix sur des investissements porteurs, pour assurer une relance durable ainsi qu’une transition verte et numérique ambitieuse. C’est aussi faire en sorte que ces investissements rencontrent les aspirations de nos concitoyens. C’est pourquoi je demande au Conseil, Madame la Ministre, de prendre la mesure des enjeux et de revoir les coupes opérées en totale contradiction avec les priorités partagées et énoncées à maintes reprises au sein de notre institution.
Chers collègues, la pérennité de l’Union ne sera assurée que si elle est forte de l’intérieur grâce à des institutions opérationnelles. La Cour européenne de justice, la Cour des comptes, le Contrôleur européen de la protection des données y travaillent au quotidien. La complexité et l’importance accrue des questions juridiques portées devant la Cour sont une réalité. Les moyens alloués à ces institutions doivent être à la hauteur de nos ambitions. Et au regard de ces considérations, nous sommes tous conscients que l’Europe, pour rester crédible, doit être solidaire, inclusive, tournée vers la jeunesse et responsable.
"
Olivier CHASTEL,2021-07-07,EN,Breaches of EU law and of the rights of LGBTIQ citizens in Hungary as a result of the adopted legal changes in the Hungarian Parliament - The outcome of 22 June hearings under Article 7(1) of the TEU regarding Poland and Hungary (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-07-07-INT-3-138-0018_EN.html,"  Olivier Chastel (Renew),  in writing. – The overwhelming majority of the Council members were outraged by the anti-LGBTIQ law Orbán introduced in Hungary. Rightfully so. Orbán has crossed redlines before but that was a new low. I welcome the response by most heads of state and government but it should not stop here. The Council needs to trigger Article 7 against this Hungarian Government. All legal means should be applied in order to show Orbán that he has gone too far. We are a Union of values whether Orbán likes it or not. He does not want to listen to reason, he therefore must face the consequences. 
The Hungarian anti-LGBTIQ law goes against everything the European Union stands for. When you are a member of the EU, you sign up to our values. It is not an ‘a la carte’ menu. We need to stand up against the deteriorating situation of LGBTIQ-rights in Hungary. We have to take action and hold the Hungarian Government accountable. This is about protecting what is most precious, the freedom of our people.
"
Olivier CHASTEL,2021-04-27,FR,2019 Discharge (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-04-27-INT-2-142-0000_FR.html,"  Olivier Chastel,  rapporteur. – Madame la Présidente, Monsieur le Commissaire, Monsieur le Président de la Cour des comptes, très chers collègues, nous clôturons cette semaine le processus de décharge pour 2019. Ce processus, nous l’avions entamé en septembre dernier et je tiens vraiment à remercier la grande majorité des instances européennes pour leur collaboration et leur travail – la Commission, le Parlement, les agences, les fonds de développement, les entreprises communes et les autres institutions. 
Comme vous l’aurez constaté depuis le début de cette séance, mon groupe Renew Europe était justement rapporteur pour les autres institutions et je me suis spécifiquement occupé du Médiateur européen et du Comité économique et social européen.
Nous n’avions pas accordé la décharge l’année passée au Comité économique et social en raison de graves dysfonctionnements qui s’y étaient produits. Vu les améliorations mises en place en matière de lutte contre le harcèlement, le nouveau code de conduite, les solutions apportées pour les victimes de harcèlement, nous avons décidé, pour 2019, de lui accorder la décharge. Mais le message est clair: la commission du contrôle budgétaire soutient la nouvelle présidente du Comité, Christa Schweng, dans ses actions, son processus de rénovation, mais nous serons vigilants quant à l’évolution de la situation.
En ce qui concerne les services du Médiateur européen, je veux renouveler à cette instance et à sa directrice, Emily O’Reilly, nos félicitations pour le travail accompli. J’espère que dans les prochains mois, la Médiatrice pourra prétendre à une plus grande visibilité médiatique, car c’est un maillage essentiel pour faire progresser la transparence et l’éthique, et donc pour maintenir la confiance des citoyens dans les institutions européennes.
Mes remerciements, évidemment, à la Cour des comptes, pour son travail, son indépendance et sa rigueur. Nous avons là un outil performant et je ne peux que conseiller aux membres de notre assemblée de consulter régulièrement les travaux, les rapports spéciaux de la Cour des comptes. Je le dis souvent: la Cour des comptes est le meilleur allié des citoyens européens et donc du Parlement européen.
Chers collègues, le processus de décharge n’est ni un geste anodin, ni une formalité. C’est un acte politique majeur qui permet d’avaliser la gestion des fonds, la transparence, mais aussi de sanctionner les abus, les politiques inefficaces et le mauvais usage de l’argent public. Cette bonne gestion est essentielle pour maintenir la crédibilité et la légitimité de notre projet politique auprès des contribuables européens.
Cette année, sur les 52 instances européennes examinées, nous n’accordons pas la décharge au Conseil ni au Conseil européen – nous venons d’en parler et c’est d’ailleurs le cas depuis 2009 –, ni à l’agence Frontex, et nous venons de développer les raisons qui nous ont poussés à prendre cette décision. Pour ce qui est de Frontex, nous reportons la décharge; c’est une clause de rendez-vous que nous donnons à l’agence dans six mois. Que les choses soient claires: ce n’est pas une remise en question des missions de l’agence, et encore moins de son existence.
De manière générale, dans la procédure 2019, notre groupe politique Renew Europe est resté vigilant sur la régularité des comptes et sur la performance des politiques menées. Cette année, pour la première fois, nous avons justement bénéficié d’un rapport dédié à la performance, ce qui était une de nos demandes de longue date. C’est une chose d’avoir des comptes sans erreurs, sans irrégularités, encore faut-il que l’argent soit efficacement investi dans des projets économiquement porteurs, des politiques comportant des effets de levier importants sur la croissance et sur l’emploi. Chaque euro dépensé doit l’être avec efficience.
Notre vigilance devra être encore accrue dans les prochaines années, vu la mise en œuvre de la nouvelle programmation budgétaire pluriannuelle et de Next Generation EU, doté de 750 milliards, et vu les nombreuses dépenses engagées dans le cadre de la crise de la COVID-19. À ce titre, je me félicite que ces dernières années, l’OLAF ait été renforcé et le Parquet européen créé. C’est un premier pas, mais nous devons encore faire des progrès pour traquer la fraude et la mauvaise gestion.
Par ailleurs, je reste inquiet de la très faible capacité d’absorption des États membres. Seuls 9 États sur 27 ont une meilleure capacité d’absorption par rapport à 2012, la moyenne européenne étant à peine de 40 %. Comment relever notre économie avec des chiffres aussi bas? Quel est d’ailleurs l’intérêt de dégager des moyens si importants, si les États ne sont pas en mesure d’utiliser cet argent? 
Chers collègues, beaucoup de chantiers sont en cours et devront rapidement aboutir. L’exploration des données, avec des programmes tels qu’Arachne ou CEEDS, une meilleure transparence des fonds, la numérisation des procédures, la simplification des règles administratives, une meilleure formation et une aide technique pour les administrations, mais aussi pour les candidats, et notamment les plus petites PME. L’Union doit progresser dans chacun de ces domaines.
Les années qui viennent seront cruciales pour le projet européen. La gestion de la crise sanitaire et de ses impacts économiques, le respect de l’état de droit, la mise en œuvre du pacte vert, la transition numérique, la recherche et l’innovation, l’émergence d’une Europe de la santé sont autant de sujets sur lesquels nous sommes attendus et pour lesquels nous devrons dégager des moyens budgétaires suffisants pour appliquer ces politiques essentielles à notre croissance et à notre avenir.
"
