MP,Date,Language,Title,Url,Content
Paolo BORCHIA,2023-11-08,IT,State of the Energy Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-192-0000_IT.html,"  Paolo Borchia (ID).   – Signor Presidente, signora Commissaria, è giustissimo decarbonizzare, il percorso è quello giusto, dobbiamo provare a produrre, a coltivare, ad alimentarci inquinando di meno.
In questo ragionamento credo però che ci sia un grande assente, l'assente della diplomazia energetica, perché l'Europa non deve diventare la zona a traffico limitato del mondo. Le zone a traffico limitato sono quelle zone delle nostre città dove si va a passeggio e si va a fare shopping, ma nessuno ci lavora. Credo che il rischio tangibile sia questo, cercare di evitare i problemi di competitività che ogni giorno le nostre aziende stanno soffrendo.
Poi c'è il grande tema delle dipendenze. Tanti colleghi hanno legittimamente ragionato sui successi dell'affrancarsi dalle importazioni di gas dalla Russia, però nessuno si accorge che ci stiamo infilando nel vicolo cieco della dipendenza da materie prime, filiere e tecnologie cinesi.
Abbiamo fronteggiato diversi eccessi legislativi: la direttiva sulla prestazione energetica nell'edilizia, che in Italia i cittadini hanno imparato a conoscere come direttiva ""case green"", con una tabella di marcia assolutamente irrealizzabile. Senza dimenticare il tema dell'obbligo di introduzione dell'auto elettrica e nessuno ci ha spiegato come faremo a generare tutta l'elettricità che servirà per garantire la mobilità elettrica.
Quindi non c'è solo l'elettrificazione, ci sono ragionamenti da aprire, ad esempio, sul tema del nucleare. Basta con la favoletta della dipendenza dai gas fossili, visto che il gas sarà una tecnologia di backup necessaria per i prossimi anni e, soprattutto, credo che la priorità sia evitare che l'Europa diventi la ZTL del mondo.
"
Paolo BORCHIA,2023-10-17,IT,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-024-0000_IT.html,"  Paolo Borchia (ID).   – Signor Presidente, onorevoli colleghi, questo è un dibattito che si contestualizza in un conflitto, ci sono persone che stanno soffrendo, per cui non serve né fare polemica né sbandierare risultati che non si sono raggiunti.
L'errore principale è stato quello di non aver tratto insegnamento da quanto successo con gli aggiramenti delle sanzioni del 2014, perché la Russia quest'anno riuscirà ad avere maggiori entrate grazie alle esportazioni di petrolio, nonostante i tetti massimi imposti dall'Unione europea e dal G7. In tanti stanno aiutando la Russia: il commercio con l'India è triplicato, quello con la Cina è aumentato di un terzo e le esportazioni dalla Turchia sono addirittura aumentate del 90 %. Quindi, questo è uno schema già visto, con operatori di paesi terzi che acquistano merci in Europa e poi le rivendono in Russia.
Le sanzioni hanno avuto un impatto forte nella primavera del 2022 – questo è innegabile – poi il rublo si è ripreso e i tassi di interesse sono scesi. Questi sono dati che devono far riflettere sulla obiettivamente limitata capacità dell'Unione europea di influire sulle grandi questioni internazionali e sulle sanzioni sarebbe magari il caso di fare meno filosofia e iniziare a pensare al prezzo che le aziende europee stanno pagando.
"
Paolo BORCHIA,2023-07-12,IT,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-234-0000_IT.html,"  Paolo Borchia,  a nome del gruppo ID. – Signora Presidente, signor Commissario, onorevoli colleghi, la giornata odierna, purtroppo, ci fa capire la distanza abissale tra le parole e il mondo del lavoro, tra la rigidità di pensiero del palazzo e le risposte che un'impresa deve trovare nella quotidianità.
L'ultima tempesta che stiamo cercando di affrontare è quella legata ai tassi di interesse. Tutti noi conosciamo bene quelle che sono le ragioni storiche e ideologiche che portano la Banca centrale europea ad innalzare i tassi, cercando chiaramente di contrastare l'inflazione, ma i recenti aumenti sono sanguinosi per il mondo dell'impresa, con aumenti spropositati dei costi di mutui e finanziamenti. Alla fine del mese gli imprenditori non ce la fanno più.
Dopo aver esposto in ogni modo le fondate preoccupazioni sulle tempistiche della transizione ecologica, vediamo la Commissione europea continuare a tirare dritto, incurante del fatto che Timmermans non può rappresentare chi fa impresa, incurante che ambizioni e obiettivi diventano sempre più astratti, mentre ciò che c'è di concreto sono i continui ostacoli che vengono posti agli imprenditori.
Le nostre preoccupazioni per la svolta verde non sono frutto di pregiudizio, Commissario, ma sintetizzano quanto pensano e dicono imprenditori, professori universitari, analisti, tecnici. Vede, Commissario, i ragionamenti che sto condividendo con quest'Aula fino a dieci anni fa sarebbero stati derubricati a suggestioni di ambienti eurocritici; purtroppo ora è diverso. Uscite dal palazzo, uscite dalla bolla europea, parlate con gli imprenditori e con i lavoratori.
Questo Parlamento deve decidere da che parte stare: deve decidere se assecondare le tabelle di marcia irrealizzabili dei burocrati, irrealizzabili e cervellotiche, oppure se tendere una mano agli imprenditori, agli investimenti, alla loro capacità di avere visione e soprattutto ai loro sogni.
"
Paolo BORCHIA,2023-06-15,IT,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-049-0000_IT.html,"  Paolo Borchia (ID).   – Signora Presidente, onorevoli colleghi, la crisi idrica ha evidenziato diversi problemi in Europa: dalla distribuzione disuguale delle risorse alla sicurezza idrica per le attività umane, l'agricoltura e l'allevamento del bestiame.
Adesso, senza perdersi in soluzioni poco praticabili e avventurose, le priorità immediate sono legate agli investimenti in infrastrutture idriche moderne e a prova di eccessiva dispersione. Parliamo di costruire invasi, bacini artificiali di captazione, parliamo di ammodernamento di condotte e canali per eliminare le perdite. Sono soluzioni concrete. Si investe per risparmiare risorsa e per aggiungere sicurezza. 
Inoltre, e questo è un ragionamento più di prospettiva, è necessario promuovere un uso consapevole e sostenibile dell'acqua. Va aperta inoltre una seria riflessione anche sul tema dei vincoli con cui gli operatori pubblici devono fare i conti. Troppa burocrazia rallenta gli investimenti. Misure locali con un costo elevato per unità di emissione abbattuta sono irrilevanti, costituiscono uno spreco di risorse. Sarebbe preferibile impiegarle dove la riduzione delle emissioni è molto meno costosa.
Si sta combattendo, colleghi, una guerra santa al cambiamento climatico, con gli alfieri del pensiero unico che sono pronti a mimetizzare l'ideologia con la scienza. C'è chi finanzia la paura, c'è chi finanzia chi imbratta le opere d'arte e blocca il traffico. Ecco, magari dite a questi signori di finanziare anche qualche opera utile per fronteggiare l'emergenza idrica. 
"
Paolo BORCHIA,2023-06-14,IT,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-233-0000_IT.html,"  Paolo Borchia (ID).   – Signora Presidente, onorevoli colleghi, arrivo subito al punto. Con queste condizioni l'Europa non è il contesto dove investire. Problema numero uno: i tassi di interesse. Mutui e finanziamenti per le famiglie e per le imprese stanno diventando sempre più cari con la Banca centrale europea pronta ad alzare di altri 25 punti base i tassi di interesse, mentre gli Stati Uniti li stanno bloccando, mentre la Cina addirittura li sta tagliando. 
Secondo problema: la transizione ecologica. Siamo quelli che inquinano di meno, ma con un certo gusto per il masochismo ci dotiamo della normativa più restrittiva a livello globale. Con queste condizioni chi credete venga ad investire in Europa? Volete arrivare alla rivoluzione industriale verde più importante della storia, ma pretendete di farlo con politiche monetarie restrittive, improntando all'austerità il futuro del Patto di stabilità. 
Rientro dal debito e taglio della spesa pubblica: ricette già utilizzate in passato, ricette che non hanno funzionato. E qui emerge un limite, non so dire se culturale o ideologico. Tante, troppe capitali stanno privilegiando il pareggio di bilancio rispetto ai miglioramenti strutturali dell'economia. Manca attenzione per l'industria manifatturiera perché, anziché incentivarla, l'Unione si sta inventando nuovi ostacoli per la competitività con le sue politiche sul clima e sull'energia eccessivamente zelanti e cervellotiche. 
Attenzione perché l'allentamento delle regole sugli aiuti di Stato, se da un lato può essere utile, dall'altro lato può diventare un boomerang, visto che i paesi con maggior spazio fiscale andranno ad investire e ad aiutare le proprie imprese, mentre le imprese degli altri paesi, quelli con meno spazio fiscale, resteranno a guardare un divario che andrà sempre più allargandosi. 
Infine, colleghi, nessuno ne parla, ma io farei una riflessione anche sui problemi sul collocamento dei titoli per il finanziamento dei programmi dell'Unione, ad iniziare da Next Generation. Infatti, pur avendo un rating con la tripla AAA, la Commissione paga tassi più alti di Germania e Francia e sulle scadenze a breve addirittura l'Unione paga di più rispetto alla Spagna. Quindi gli investitori percepiscono un rischio più alto e chiedono un rendimento più alto. 
Concludo, Presidente, perché questi sono numeri che smontano una certa propaganda portata avanti a Bruxelles come emittente di successo. E non è certo un bello spettacolo. 
"
Paolo BORCHIA,2023-04-20,IT,IPCC report on Climate Change: a call for urgent additional action (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-030-0000_IT.html,"  Paolo Borchia (ID).   – Signor Presidente, confesso candidamente il mio stupore di fronte alla scelta del titolo: ""un appello per ulteriori misure urgenti"".
Questo è un rapporto, quello che stiamo discutendo, che chiede cambiamenti radicali nel settore alimentare, in quello dell'energia, dei trasporti, addirittura per quanto riguarda l'alimentazione, pur di raggiungere l'obiettivo della riduzione delle emissioni. Però, sorge una domanda: cos'altro vi aspettate che facciamo?
Mentre i nostri competitor mondiali vanno in tutt'altra direzione, qui si fomenta l'illusione che stringere la cinghia fino a strozzarsi sarà sufficiente per risolvere quello che invece è un problema mondiale e che richiede quindi una soluzione a livello globale.
Avete vietato la vendita delle macchine a benzina, abbiamo chiesto agli Stati membri di ricostruire tutto il patrimonio edilizio, avete chiesto agli europei di non mangiare carne, sempre nel nome della lotta al taglio delle emissioni. E tutto questo senza nessuna considerazione per le ripercussioni sociali ed economiche che derivano da questo stigma dell'Europa come unico imputato per il surriscaldamento globale.
Oltre il 92 % delle emissioni arriva dall'esterno dell'Europa. Questo è un dato di fatto e quindi questo significa che il problema non si risolve senza l'impegno di altri paesi e, se in quest'Aula non lo capiamo, non andiamo da nessuna parte.
"
Paolo BORCHIA,2023-04-18,IT,Energy storage (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-132-0000_IT.html,"  Paolo Borchia,  a nome del gruppo ID. – Signor Presidente, colleghi, signora Commissaria, nei mesi appena trascorsi, temperature più alte della media ci hanno permesso di diminuire i consumi di gas – notizia positiva – determinando una riduzione dei prezzi e garantendoci quindi un livello accettabile di sicurezza energetica, grazie ad elevati livelli di gas negli stoccaggi. 
Però non dobbiamo considerare la sfida come vicina a una sua felice conclusione. Infatti, dobbiamo evitare di illuderci che sia sufficiente mantenere pieni i depositi per scongiurare il pericolo di rimanere a secco per il prossimo inverno, visto che in questo caso sarebbe il fallimento della programmazione.
Lo stoccaggio dell'energia, per quanto importante, non può sostituire le importazioni che mancano all'appello. Si è parlato giustamente di rafforzare gli accordi di cooperazione con fornitori quali l'Algeria, l'Azerbaigian, oppure di recuperare progetti importanti come DISMED, mentre sono aumentate in maniera molto considerevole le importazioni di gas naturale liquefatto, che sicuramente hanno contribuito a scongiurare una crisi nell'inverno che si è appena concluso. 
Una riflessione: l'aumento delle importazioni di GNL nel 2022 è stato reso possibile da una congiuntura particolare, con una diminuzione di domanda dalla Cina, dai mercati del Sud-est asiatico, anche se l'Agenzia internazionale per l'energia ha avvertito che un ritorno degli acquisti a livelli importanti da parte della Cina come quelli del 2021 potrebbe far sì che l'Europa si trovi di fronte ad una carenza di carburante, con un divario tra domanda e offerta di 27 miliardi di metri cubi. Non è poco. 
Quindi è giusto proseguire l'impegno verso la decarbonizzazione. Però gli europei, la nostra gente, chiedono rassicurazioni, visto che non possiamo pregare che un inverno mite sopperisca alla mancanza di programmazione.
"
Paolo BORCHIA,2023-04-18,IT,Adoption of the Cyber package proposals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-200-0000_IT.html,"  Paolo Borchia (ID).   – Signora Presidente, signori Commissari, il miglioramento della cibersicurezza dei prodotti digitali è un passo in avanti per proteggere gli utenti e le aziende dalle conseguenze di attacchi informatici che sono diventati sempre più frequenti e mirati. 
La sicurezza non dovrebbe essere vista come un costo, ma come un investimento, visto che ogni violazione di dati ha un impatto economico che potrebbe essere evitato attraverso l'adozione di tecnologie avanzate.
Vorrei però porre l'attenzione su un punto critico riguardante il nuovo regolamento. Infatti, si corre il rischio di bloccare lo sviluppo dell'open source in Europa. Stando infatti all'articolo 16 del Cyber Resilience Act, i programmatori potrebbero essere considerati responsabili delle violazioni alla sicurezza dei loro software anche se non ricevono nessun ritorno economico, e questo potrebbe danneggiare la spinta innovativa del software aperto che, ricordiamo, svolge un ruolo di spicco nell'economia digitale europea. Parliamo di circa cento miliardi di impatto, quindi è essenziale che qualsiasi legislazione tenga conto delle prospettive uniche del software open source e che le normative future debbano tenere in considerazione anche le difficoltà delle piccole e medie imprese a trovare soluzioni efficaci per tutelarle.
A questo si aggiunge un problema, un approccio punitivo che è previsto per le piccole e medie imprese. Non ci siamo, visto che parliamo di realtà che spesso non hanno le risorse per adeguarsi in tempi così brevi. Ne è un esempio l'Italia, dove tre aziende su quattro, parliamo sempre di piccole e medie imprese, non hanno un piano di disaster recovery, e ciò potrebbe causare un danno alle aziende, che oltre ad essere poco difese, rischiano anche la beffa delle sanzioni.
Concludo, colleghi, chiedendo attenzione al mondo delle piccole e medie imprese, visto che siamo qui per aiutarle e non per inventarci nuovi ostacoli.
"
Paolo BORCHIA,2023-03-15,IT,"More Europe, more jobs: we are building the competitive economy of tomorrow for the benefit of all (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-130-0000_IT.html,"  Paolo Borchia,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, io ho chiesto di intervenire su questo punto in quanto molto incuriosito dal titolo: ""Più Europa, più lavoro: costruiamo l'economia competitiva di domani"". Titolo accattivante, poi uno torna in commissione, comincia a lavorare sui dossier e iniziano i problemi legati alla competitività. 
È dall'inizio della legislatura che ci sentiamo dire che il Green Deal non avrebbe lasciato indietro nessuno. Però i numeri ci dicono il contrario: solo poche settimane fa, Ford ha annunciato il taglio di 3 800 posti di lavoro in nome della transizione all'elettrico. Così non va bene. Si continua ad insistere con un ecologismo militante che mette l'essere umano in secondo piano e non tiene conto che l'Europa va in una direzione e il resto del pianeta invece va in un'altra. 
È difficile, colleghi, essere competitivi quando le politiche dell'Unione sono così zelanti, pensiamo ad esempio al clima, all'energia. Facciamo una riflessione, ad esempio, sul tema del regolamento imballaggi, che segue sempre lo stesso metodo: proposte fatte senza valutazione di impatto, senza ascoltare le imprese – imprese che definiscono queste proposte sbagliate e pericolose. Per cui, colleghi, il concetto di competitività piace a tutti ma i nostri imprenditori ci chiedono di concretizzarlo e non di parlarne basta.
"
Paolo BORCHIA,2023-02-14,IT,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-073-0000_IT.html,"  Paolo Borchia (ID).   – Signor Presidente, onorevoli colleghi, signor Commissario, vorrete scusarmi, ma sono d'accordo su poco rispetto a quello che ho sentito oggi. 
Proviamo a pensare al futuro e immaginiamo due scenari: nel primo, l'auto elettrica sarà un bene di lusso, costoso, a portata di pochi; nell'altro, continuerà a essere un bene di massa, ma le case automobilistiche cinesi avranno soppiantato i poveri produttori europei. È fantascienza? No, non è fantascienza se ci rendiamo conto, se guardiamo i numeri e guardiamo che BYD, colosso cinese dell'auto elettrica, nel 2022 ha raddoppiato la propria quota di mercato.
Intanto, per cercare di mantenere la competitività, l'industria europea si sta guardando attorno, perché qui siamo a rischio delocalizzazioni che significano disoccupazione. Siamo tra quelli che inquinano di meno, ma sembra che tante volte, troppe, in quest'Aula si faccia il possibile per creare sempre più difficoltà agli europei. Lavoriamo, Commissario, per inquinare meno, è giusto farlo, ma non in questo modo.
"
