MP,Date,Language,Title,Url,Content
Pascal ARIMONT,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-187-0000_DE.html,"  Pascal Arimont (PPE).   – Frau Präsidentin, Frau Kommissarin! Ich glaube, niemand bestreitet hier, dass Gesundheitsdaten das sensibelste sind, was wir eigentlich in Händen halten. Ich werde Ihnen mal diese Akte hier, die sehr theoretisch klingt, anhand von einem praktischen Beispiel aus meiner eigenen Familie erklären: Jemand aus meiner Familie musste nach Deutschland zu einem Facharzt, um dort den Fuß behandeln zu lassen, und dort wurden Röntgenbilder gemacht. Sie hätte aber gerne eine zweite Meinung in Belgien bei einem Facharzt gehabt, und das Krankenhaus in Deutschland konnte ihr diese Akte, diese Röntgenbilder, nicht per E-Mail-Knopf zusenden. Die Moral der Geschichte war am Ende, dass wir dann die Röntgenbilder mehrere Wochen später, nach dem Termin in Belgien, per Post zugesandt bekamen und dieses Familienglied dann zu Recht sagte: In welcher Welt leben wir eigentlich in Europa?
Ich bin also für diesen europäischen Raum, wo wir mit sensiblen Daten auch sensibel umgehen. Ich bin dafür, dass es eine digitale Patientenakte gibt, genauso wie ich dafür bin, dass man zum Beispiel eine Ärzteverschreibung auf seinen Pass kriegt und damit grenzüberschreitend zu einer Apotheke gehen kann. Für all das bin ich. Ich bin aber auch dafür, dass wir Eigentümer unserer sensiblen Daten bleiben. Ich gehöre da eher zum Team Vorsicht, und wir sollten auch dafür sorgen, dass jeder Eigentümer seiner sensiblen Daten bleibt.
"
Pascal ARIMONT,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-233-0000_DE.html,"  Pascal Arimont (PPE).   – Herr Präsident, sehr geehrter Herr Kommissar! Jeder von uns erzeugt pro Jahr um die 177 Kilogramm Verpackungen. Das heißt für meinen kleinen Haushalt mit meiner Frau und meinen beiden Kindern, dass wir über 700 Kilogramm Verpackungen erzeugen. Das entspricht ungefähr einem ausgewachsenen Pferd, was also somit in meiner Küche mit wohnt.
Alle hier sind sich einig, dass wir das verringern müssen. Alle sind sich einig, dass wir Verpackungen auch als Rohstoff anerkennen müssen, den wir nicht verbrennen, den wir nicht nach Asien verschiffen, sondern den wir wiederverwerten.
Aber wie bei vielem gilt auch hier: Ambitioniert muss dennoch machbar bleiben. Der Text der Kommission war zu ambitioniert, man hört das hier in der Debatte. Die linke Seite sagt, das ist zu wenig ambitioniert, die rechte Seite sagt, das ist alles Müll – um diesen Begriff zu benutzen –, und wir in der Mitte sagen, wir müssen es so gestalten, dass es danach auch machbar ist.
Ich habe mich mit vielen Unternehmen über diesen konkreten Vorschlag unterhalten, und ganz viele haben mir gesagt, das ist zu wenig flexibel und wir brauchen etwas mehr Zeit, diesen Rezyklatmarkt zu erschaffen und unser Produkt für die Verpackung neu zu designen und neue Verpackungsmodelle zu erschaffen. Diese Firmen haben im Moment ganz andere Sorgen als sich auch noch um das Verpackungsproblem zu kümmern, sie werden es aber mittragen. Sie sagen uns aber, macht es machbar, macht es flexibel, denn wenn man einen Bogen zu sehr spannt, dann zerbricht er.
Die Änderungsanträge für mehr Flexibilität liegen auf dem Tisch. Lasst uns morgen für sie stimmen, damit wir uns in der Mitte einigen, dass das ein guter Text wird, der diesen Abfallberg verringern wird.
"
Pascal ARIMONT,2023-09-13,DE,Amending the proposed mechanism to resolve legal and administrative obstacles in a cross-border context (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-300-0000_DE.html,"  Pascal Arimont (PPE).   – Sehr geehrter Herr Vizepräsident Wieland, sehr geehrte Frau Kommissarin Ferreira! Als Belgier und Kind einer Grenzregion kann ich Ihnen sehr viel darüber erzählen, an welche Grenzen grenzüberschreitende Zusammenarbeit immer noch stößt. Der Grund dafür sind nicht selten verfahrensrechtliche Unterschiede, die Rechtsunsicherheit schaffen oder ein gemeinsames Projekt ganz einfach verhindern.
Ich gebe Ihnen dazu zwei sehr konkrete Beispiele:
Bei Noteinsätzen an der Grenze gibt es immer noch Schwierigkeiten, wenn es darum geht, die nächstgelegene Ambulanz herbeizurufen oder das nächstgelegene Krankenhaus anzusteuern, wenn dieses auf der anderen Seite der Grenze im anderen Land liegt. Um das zu ermöglichen – einen grenzüberschreitenden Rettungsdienst –, brauchen wir, zumindest in dem Fall meiner Grenzregion, sehr komplizierte Staatsverträge. Das dauert mithin elf Jahre, bis sie zustande kommen, wenn überhaupt.
Ähnliches gilt für die Nutzung medizinischer Dienste im Nachbarland. Auch hier ist es immer noch recht umständlich, im Nachbarland einen Arzt zu besuchen bzw. dessen Dienste und die verschiedenen Medikamente erstattet zu bekommen. Auch hier brauchen wir aktuell komplizierte Abkommen, die immer noch mit umständlichen Genehmigungsverfahren verbunden sind.
Dabei muss doch insbesondere im Bereich der Gesundheitsdienste gelten, Bürokratie darf niemals über der Gesundheit stehen. Gerade hier muss Europa zeigen, dass es die praktischen Probleme der Menschen angeht. Das von uns jetzt hier vorgeschlagene Instrument für Grenzregionen kann dazu beitragen, diese Probleme abzubauen und die Abläufe zu vereinfachen.
Daher mein Appell, liebe Mitgliedstaaten, stehen Sie dem nicht im Wege. Denken Sie an die Menschen vor Ort. Lassen wir es einfach machen. Bürokratie muss abgebaut werden. Es ist so einfach.
"
Pascal ARIMONT,2023-02-14,DE,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-020-0000_DE.html,"  Pascal Arimont (PPE).   – Liebe Frau Präsidentin, sehr geehrter Herr Vizepräsident der Kommission, werte Kolleginnen und Kollegen! Herr Vizepräsident, ich bin nicht Ihrer Meinung. Ich halte diese Entscheidung, den Verbrenner ab 2035 zu verbieten, für einen gewaltigen strategischen Fehler. Niemand bestreitet, dass das E-Auto in Zukunft eine wichtige und zentrale Rolle dabei spielen wird, unsere CO2-Emissionen in Europa zu senken. Aber jetzt schon alles auf ein einziges Pferd zu setzen, hat nichts mit strategischer Weitsicht zu tun, wie Sie das eben erklärt haben.
Das grundsätzliche Ziel ist richtig: Eine langfristig klimaneutrale Mobilität in Europa müssen wir erreichen, um wichtige klimapolitische Ziele zu erreichen. Allerdings muss dies technologieneutral gestaltet werden und nicht so, dass nur eine einzige technische Lösung erlaubt wird, die von allen umgesetzt werden muss. Einen solchen Ansatz verfolgen wir sonst auch nicht.
Beim Emissionshandel geht es beispielsweise darum, ein bestimmtes Ziel an CO2‑Reduktion zu erreichen und dazu anzuspornen, es einzuhalten. Den Unternehmen werden der Weg und die Technik dorthin nicht vorgeschrieben. Weshalb machen wir es beim Auto genau andersherum? Eine solche Entscheidung tötet Innovation, und sie ist auch dem Klimaschutz insgesamt nicht dienlich, denn dass bei der Entscheidung für das E-Auto komplett aus den Augen verloren wird, dass die CO2-Bilanz eben nicht vorteilhaft ist, über den Strom bis zur Herstellung, das wird ausgeblendet, und das ist meiner Meinung nach ein Zeichen von gewaltiger Doppelmoral. Auch hilft es nicht, einfach zu ignorieren, dass wir uns in eine neue Abhängigkeit von China begeben – die benötigten Rohstoffe und seltenen Erden werden nämlich dort veredelt.
Auch der Verbrenner hätte mit klimaneutralen E-Fuels zum Beispiel weiterhin eine Zukunft verdient. Vielleicht ist der Einsatz jetzt noch nicht rentabel, aber im Jahre 2030 womöglich schon und vielleicht auch wichtig für Flugzeuge, Lkw und Schiffe. 
Die EU-Kommission würgt jedenfalls jede europäische Innovation in diesem Bereich einfach ab. Andere Länder werden diese Lücke für sich zu nutzen wissen. Das halte ich weder für weitsichtig noch für klug, auch im Hinblick auf die vielen Arbeitsplätze. Heute wird in Köln darüber informiert, dass Ford dort Arbeitsplätze wegrationalisiert.
Und dann habe ich noch nicht von der Reichweite, Ladeinfrastruktur, Straßen, Trassenproblematik oder den hohen Anschaffungskosten gesprochen. 
Ich bin nicht grundsätzlich gegen E-Autos. Ich bin aber grundsätzlich dagegen, dass man mir verbietet, im Jahre 2035 in einem klimaneutralen Verbrenner (der Redner spricht bei ausgeschaltetem Mikrofon). Ich bin nicht der einzige, der so denkt.
"
Pascal ARIMONT,2023-02-13,DE,REPowerEU chapters in recovery and resilience plans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-13-INT-1-096-0000_DE.html,"  Pascal Arimont,  Verfasser der Stellungnahme des mitberatenden Ausschusses für regionale Entwicklung. – Liebe Frau Präsidentin, werte Kolleginnen und Kollegen! Wer es schafft, Energie in ausreichender Menge zu zumutbaren Preisen nachhaltig selbst zu produzieren, wird den Kampf gegen den Klimawandel weltweit dominieren, die Wettbewerbsfähigkeit seiner Unternehmen garantieren und unseren Kontinent unabhängiger von schwierigen Partnern machen.
Ergo: Jeder Cent in solche Energieinfrastruktur ist daher richtig. Jede Beschleunigung in den Genehmigungsfristen für Windräder, Solaranlagen, Speicherkapazitäten oder Wasserstoffanlagen auch – genau das ist das Ziel von REPowerEU.
Die Energieinfrastruktur ist das Herz unserer Wirtschaft und unseres gesellschaftlichen Zusammenlebens. Wir müssen das da hinkriegen und keinen Infarkt riskieren. Die Menschen zu Hause, die Firmenchefs und die Arbeitnehmer Europas erwarten das, unsere Kinder – die nächste Generation – verdient das.
Der Ausschuss für Regionalpolitik hat hier Verantwortung übernommen und ein Paket von insgesamt über 90 Milliarden EUR gebündelt, um REPowerEU zu ermöglichen. Ich möchte mich bei allen Verhandlungspartnern hier im Parlament, in der Kommission, aber auch in der tschechischen Ratspräsidentschaft bedanken. Das war sehr intensiv. Wir haben in kürzester Zeit versucht, die Lebensbedingungen der Menschen in Europa zu verbessern. Auch hier gilt: Weniger reden und mehr machen. Wir haben gemacht.
"
Pascal ARIMONT,2022-11-09,DE,REPowerEU chapters in recovery and resilience plans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-09-INT-1-138-0000_DE.html,"  Pascal Arimont,  Verfasser der Stellungnahme des mitberatenden Ausschusses für regionale Entwicklung. – Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, werte Kolleginnen und Kollegen! Worum geht es bei REPowerEU? Bei REPowerEU geht es um galoppierende Energierechnungen und um die Frage, ob Europa seine Energieversorgung autonom gestalten kann. 
Wir haben dementsprechend in dieser Energiekrise schnell und zielgerecht gehandelt. Wir haben REPowerEU auf den Weg gebracht. Wir müssen das jetzt umsetzen. Bei dieser Strategie geht es unter anderem darum, von russischen Energiequellen unabhängig zu werden, und REPowerEU soll auch dazu beitragen, Menschen zu entlasten. 
Es geht um 300 Milliarden EUR. Das ist nicht nichts, sondern sehr viel Geld. In meinem Verantwortungsbereich, dem Ausschuss für Regionalpolitik, ging es konkret um 27 Milliarden EUR. Wir sind eine der Finanzierungsmöglichkeiten; heißt konkret: Wir sagen Ja für Geld für REPowerEU-Ziele, wir sagen aber, nach der Methode der Strukturfonds – das ist ganz wichtig. 
Und ein weiterer Vorschlag aus dem Ausschuss war, dass wir ungebrauchte Mittel aus der letzten Förderperiode benutzen können. Da spricht man von 40 Milliarden EUR, um Haushalte und kleine und mittlere Unternehmen zu unterstützen. Wir können damit sehr kurzfristig helfen. Ich glaube, das ist eine gute Idee. Diese Umwidmung der Mittel aus den Strukturfonds ist aber eine rote Linie.
Für unseren Ausschuss ist wichtig: Das Parlament ist dementsprechend bereit. Wir dürfen das hier nicht vermasseln. Die Leute, die Menschen draußen, erwarten genau das von uns. 
"
Pascal ARIMONT,2022-09-14,DE,"Economic, social and territorial cohesion in the EU: the 8th Cohesion Report - EU border regions: living labs of European integration (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-412-0000_DE.html,"  Pascal Arimont (PPE).   – Frau Präsidentin, sehr geehrte Frau Kommissarin! Ich komme aus Ostbelgien, einer Grenzregion im Herzen Europas. Ich habe an dieser Stelle schon sehr oft darüber gesprochen, mit welchen Schwierigkeiten die Menschen dort zu tun haben, wenn sie auf der einen Seite wohnen und leben und auf der anderen Seite arbeiten. 
Dazu zwei Beispiele: Für Grenzgänger wurden während der COVID-Pandemie Sonderregeln erreicht, um ihnen die Telearbeit in ihrem Wohnsitzland zu ermöglichen. Diese Sonderregeln sind nun aber in Bezug auf die steuerliche Behandlung durch die Mitgliedstaaten beendet worden. Das Homeoffice gehört allerdings mittlerweile in vielen Unternehmen zur gelebten Normalität. Liebe Kommission, wir brauchen da eine Lösung, und das sehr dringend. Ansonsten werden erneut zahlreiche Menschen aus den Grenzregionen auf unserem europäischen Arbeitsmarkt benachteiligt.
Im zweiten Beispiel geht es um den Grenzregionenmechanismus, mit dem Grenzregionen für ein ganz konkretes Projekt die Rechtsvorschriften eines Mitgliedstaates anwenden können. Das würde zahlreiche grenzüberschreitende Projekte erheblich vereinfachen. Bei Noteinsätzen an der Grenze gibt es immer noch Schwierigkeiten, wenn es darum geht, die nächstgelegene Ambulanz herbeizurufen oder das nächstgelegene Krankenhaus anzusteuern, wenn dies auf der anderen Seite der Grenze liegt. Dadurch kann man sehr wichtige Zeit verlieren. Mit dem so genannten Grenzregionenmechanismus könnte all dies sehr viel einfacher gemacht und umgesetzt werden.
Liebe Mitgliedstaaten, die zwar jetzt nicht hier sind, aber ich sage es trotzdem: Bitte beenden Sie die Blockade, denken Sie an die Praxis der Menschen vor Ort. Wir brauchen diesen Mechanismus. Wir erwarten von den Mitgliedstaaten, dass wir hier endlich weiterkommen und verhandeln können im Sinne der vielen Grenzregionen in Europa. Und – last, but not least – ein persönliches Wort auch im Namen unserer, meiner Fraktion: ein ganz herzliches Dankeschön an Constanze Krehl für die langjährige hervorragende Zusammenarbeit. Dazu fünf Worte: Vielen Dank und mach's gut!
"
Pascal ARIMONT,2022-06-07,DE,"Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation) - Land use, land use change and forestry (LULUCF) - CO2 emission standards for cars and vans (joint debate – Fit for 55 (part 2))",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-195-0000_DE.html,"  Pascal Arimont (PPE).   – Sehr geehrter Herr Präsident, sehr geehrte Vertreter des Rates, sehr geehrter Herr Vizepräsident Timmermans! Es ist wichtig und richtig, dass wir jetzt die richtigen Entscheidungen treffen, um unsere Mobilität klimaneutral zu gestalten. Die EU-Kommission schlägt daher vor, bis 2035 nur noch Neufahrzeuge zuzulassen, die mit einer Batterie betrieben werden. So weit, so gut. Doch dazu gibt es viele noch offene Fragen, die weder seriös noch vollständig beantwortet werden können.
Erstens: Wie klimaneutral ist denn ein E-Auto tatsächlich?
Zweitens: Wie können wir bis 2035 ausreichend Strom aus erneuerbarer Energie erzeugen, um die Nutzung der Elektrobatterien auch wirklich klimaneutral zu machen? Oder müssen wir nicht ohnehin extrem viel Energie in Form von Wasserstoff oder synthetischen klimaneutralen Kraftstoffen importieren?
Drittens: Werden wir die notwendige Ladeinfrastruktur auch noch und vor allem in ländlichen Gebieten und im Osten Europas im Jahre 2035 aufgebaut haben?
Viertens: Begeben wir uns nicht in eine sehr gefährliche Nickel-, Kobalt- oder Lithiumabhängigkeit, also in eine erneute Abhängigkeit von Rohstoffen?
Fünftens: Werden sich in Zukunft auch Menschen mit einem mittleren und geringen Einkommen ein Elektroauto leisten können?
All diese Fragen sind noch nicht zufriedenstellend beantwortet. Also halte ich es für gewagt, jetzt schon alles auf ein Pferd – auf den Elektromotor – zu setzen.
Nein, ich bin nicht gegen die E-Mobilität. Ich plädiere lediglich für etwas mehr Flexibilität und vor allem für einen offenen Wettbewerb der Technologien. Denn Technologieoffenheit war immer ein Trumpf und ist auch hier eine Chance. Ich möchte nicht, dass die Technik des Verbrennungsmotors aus Europa verschwindet, inklusive Ingenieure und hunderttausenden Arbeitsplätzen, während in China E-Fuel produziert wird und maßgeblich China den Zugriff auf die Rohstoffe hat, die wir für E‑Autos brauchen. 
Was wäre daran verwerflich, wenn der Verbraucher im Jahre 2035 die Wahl hätte, sich zwischen einem deutlich billigeren E-Auto als heute und einem Hybrid mit importiertem E—Fuel zu entscheiden? Beides sollte möglich sein. Jetzt bereits alles in die Hände einiger weniger Länder wie China zu legen, ist ein Weg, den wir nicht gehen sollten. Klimaneutral ja, aber nicht mit Scheuklappen.
"
Pascal ARIMONT,2022-05-04,DE,Competition policy – annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-420-0000_DE.html,"  Pascal Arimont (PPE).   – Sehr geehrter Herr Präsident, sehr geehrte Frau Kommissarin Vestager, verehrter Herr Berichterstatter Schwab! Bis 2030 wollen wir 55 % unserer Emissionen reduzieren. 2030 wollen wir sogar klimaneutral sein. Das wird aber nur funktionieren, wenn wir die vielen kleinen und mittleren Unternehmen, die KMU, in diesen Prozess mitnehmen und sie auch unterstützen. Die KMU sind das Rückgrat unserer Wirtschaft. Ohne sie funktioniert in Europa nichts, auch nicht die Energiewende. 
Wenn diese Unternehmen in klimafreundliche Energie und Energieeffizienz investieren wollen, müssen wir sie dabei viel stärker auch staatlich unterstützen, genauso wie bei den Produkten und Waren, die sie produzieren. Ohne staatliche Beihilfen wird dieser Übergang, diese epochale Transformation, nicht funktionieren. Zudem müssen wir diejenigen Unternehmen unterstützen, die am stärksten unter den aktuell hohen Energiepreisen leiden. 
Deshalb begrüße ich, dass die Kommission die Kritik, auch die hier aus dem Parlament, angenommen und ihren ursprünglichen Leitlinienentwurf für staatliche Klima-, Umweltschutz- und Energiebeihilfen nochmals überarbeitet hat. Mehr Unternehmen aus mehr Sektoren, die stark unter den derzeit hohen Energiekosten leiden, können künftig entlastet werden. Das ist gut und richtig.
Aber, liebe Frau Vestager, vielleicht ist Ihre Liste noch zu eng gefasst. Haben Sie einen Blick auf die Realität dieser Unternehmen und erweitern Sie diese Liste der Sektoren dort, wo es notwendig ist oder notwendig sein wird! Wir brauchen hier – und Sie haben es eben in Ihrer Rede gesagt – flexibles Handeln. Klimaschutz muss für jeden erschwinglich bleiben und eine Chance sein und keine Bürde für den Mittelstand. Anders wird es nicht funktionieren. Jedes Unternehmen, das diese Transformation erfolgreich hinkriegt, ist gut für das Klima und sichert Arbeitsplätze in unseren Dörfern und Städten.
"
Pascal ARIMONT,2022-05-03,DE,The follow up of the Conference on the Future of Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-03-INT-2-281-0000_DE.html,"  Pascal Arimont (PPE).   – Sehr geehrte Frau Präsidentin, sehr geehrte Frau Kommissarin! Zukunft wird aus Mut gemacht. Diese 56 Seiten, diese 353 Schlussfolgerungen der Konferenz haben Stärken und Schwächen. Sie haben aber eine Stärke, und diese Stärke ist, dass sie bestehen und dass sie von ganz vielen Leuten zusammen ausgearbeitet worden sind. Das ist die ursprünglichste Idee der Europäischen Union.
Ich stelle daher drei Fragen an die Vertreter der Mitgliedstaaten, die leider heute hier nicht vertreten sind – aber ich stelle sie dennoch. Erstens: Wollen Sie ein Europa, das seine Bürger zum Beispiel im Gesundheitsbereich besser schützt? Zweitens: Wollen Sie erreichen, dass Europa auf internationaler Ebene ernster genommen wird? Drittens: Wollen Sie ein demokratischeres Europa, in dem dieses Parlament stärker wird, zum Beispiel mit einem Initiativrecht?
Wenn Sie das möchten, dann müssen Sie Veränderungen von Verträgen zustimmen, zum Beispiel im Gesundheitsbereich. Ohne eine Änderung der EU-Verträge bleibt es so, dass die EU nahezu keine Möglichkeit hat, zum Beispiel eine Pandemie effektiv und effizient zu bekämpfen. Glauben Sie mir: Ich komme aus einer Grenzregion und habe dort sehr eigenartige und fast schwachsinnige Situationen erlebt, wenn das eine Land die eine Regel macht und das andere Land genau die entgegengesetzte.
Oder die immer noch notwendige Einstimmigkeit der Mitgliedstaaten in bestimmten Politikbereichen: Sie trägt wesentlich dazu bei, dass wir in ganz wichtigen strategischen Fragen, wie zum Beispiel der Außen- oder der internationalen Steuerpolitik, einfach nicht vorankommen.
Diese 56 Seiten geben uns einen ganz klaren Auftrag: Wir müssen jetzt die Verträge in einigen wichtigen Punkten ändern. Liebe Mitgliedstaaten, seien Sie für einen Konvent, seien Sie für gezielte Vertragsänderungen, seien Sie mutig!
"
