MP,Date,Language,Title,Url,Content
Pascal CANFIN,2023-11-21,FR,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-085-0000_FR.html,"  Pascal Canfin,  au nom du groupe Renew. – Monsieur le Président, chers collègues, Monsieur le Commissaire, je voulais rappeler que nous sommes à quelques jours de la COP 28 et que ce texte est absolument fondamental pour les camions et les bus, puisque nous allons décarboner la totalité du transport routier en Europe, après l’avoir fait pour les voitures et les camionnettes. C’est donc un texte structurant pour les 20 à 30 prochaines années.
Notre responsabilité, c’est d’être à la fois ambitieux et pragmatiques. Ambitieux, cela veut dire que nous ne devons rien céder sur les objectifs et c’est pour cela que le groupe Renew soutiendra la proposition initiale de la Commission. Nous sommes même prêts à aller un peu plus loin, un peu plus vite, pour aller au maximum dans la décarbonation du transport routier.
Concernant les bus, nous voulons là aussi que 100 % des nouveaux bus qui seront vendus dans les villes soient zéro émissions en 2030. Mais nous sommes pragmatiques sur les cars scolaires par exemple, pour lesquels la technologie est moins mûre et donc nous laissons plus de temps aux cars scolaires pour s’adapter. Et nous faisons en sorte que les villes et les collectivités locales qui ont investi dans des bus au biométhane puissent voir leurs investissements protégés dans la durée.
Et puis il y a la question du transport routier concernant la technologie spécifique des e-carburants. La vaste majorité du groupe Renew s’opposera aux amendements qui veulent perturber ce texte. Comme l’a rappelé le commissaire qui fait pourtant partie du groupe PPE, comme le rappellent tous les constructeurs de camions, nous n’avons pas besoin des e-carburants dans ce texte parce que, justement, nous avons besoin des e-carburants ailleurs, pour décarboner le secteur aérien et le secteur maritime.
"
Pascal CANFIN,2023-11-09,EN,European environmental economic accounts: new modules (A9-0296/2023 - Pascal Canfin)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-083-0000_EN.html,"  Pascal Canfin,  rapporteur. – Yes, colleagues, I just have the pleasure to request the referral back to committee for interinstitutional negotiations, as a surprise, following Rule 59(4). 
"
Pascal CANFIN,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-250-0000_FR.html,"  Pascal Canfin,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, chers collègues, je crois que nous sommes tous désireux de regarder et de suivre la science. Et regardez précisément ce qu’a dit l’Autorité européenne de sécurité des aliments. Vous avez tous lu son avis. Il y a deux messages.
Le premier message, c’est que le glyphosate n’est pas suffisamment dangereux pour être retiré du marché. Et c’est ce qui fait que vous n’avez pas de base légale pour, le voudriez-vous, le retirer aujourd’hui. Mais lisez le deuxième message. Le deuxième message, c’est de dire qu’il y a énormément de données qui ne sont pas collectées, énormément d’impacts sur la biodiversité qui ne sont pas pris en compte dans la décision relative à la mesure de l’impact global du glyphosate.
Donc, le message de la science est double. Certains, dans cet hémicycle, n’entendent que le premier message. D’autres, dans l’hémicycle, n’entendent que le deuxième message. Nous, nous essayons d’entendre les deux messages, parce que la science est parfois un peu plus complexe que le simplisme que l’on voudrait nous voir suivre. 
Notre ligne est assez simple. Nous considérons que la position actuelle de la Commission, c’est-à-dire dix ans sans condition de restriction d’usage, est une position inacceptable. Inacceptable, parce qu’elle ne tient pas compte de la complexité du message scientifique. Et nous attendons une nouvelle proposition qui soit bien plus équilibrée et qui nous permette d’introduire, conformément à la science, des restrictions d’usage, comme nous avons su le faire dans certains pays, notamment en France. 
"
Pascal CANFIN,2023-09-12,FR,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-211-0000_FR.html,"  Pascal Canfin (Renew).   – Madame la Présidente, chers collègues, Monsieur le Commissaire, nous allons voter demain le durcissement des règles concernant la lutte contre la pollution de l’air. Nous l’avons tous rappelé, la pollution de l’air est l’une des premières causes de décès prématuré en Europe: 300 000 morts par an, dont 40 000 en France.
Je suis sidéré de voir que, de la part des députés de droite et d’extrême droite, la priorité est de dégrader non seulement les propositions qui ont été faites par l’Organisation mondiale de la santé, mais aussi les propositions qui ont été faites – alors qu’elles sont déjà inférieures – par la Commission pour atteindre des seuils qui sont plus bas que ceux que nous avons aujourd’hui. C’est l’inverse de l’ambition, c’est la régression.
Et je dis à ces députés de droite et d’extrême droite que les personnes les plus vulnérables à la pollution de l’air, ce sont les enfants, les femmes enceintes, les familles et les personnes âgées. Les familles et les personnes âgées sont deux groupes sociaux dont vous êtes pourtant censés être les grands défenseurs. Or, vous êtes en train de changer les règles proposées par l’Organisation mondiale de la santé et par la Commission européenne pour, au contraire, faire en sorte qu’ils soient moins protégés qu’aujourd’hui contre la pollution de l’air. C’est un mensonge inacceptable. Nous ne laisserons pas faire et j’espère vraiment que demain, nous gagnerons cette bataille.
"
Pascal CANFIN,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-038-0000_FR.html,"  Pascal Canfin (Renew).   – Monsieur le Président, chers collègues, Monsieur le Commissaire, nous avons cette semaine deux très grandes responsabilités.
Notre première responsabilité, c’est de sauver la nature. Je m’adresse à mes collègues de droite et du centre droit: si vous ne voulez pas écouter les scientifiques unanimes pour défendre la nécessité de cette loi, alors écoutez la Fédération européenne des chasseurs. Les chasseurs sont favorables à cette loi. Écoutez les entreprises du secteur de l’agroalimentaire, qui sont favorables à cette loi parce qu’elles savent très bien que la première menace sur les rendements agricoles, c’est la disparition de la nature des pollinisateurs et le changement climatique. Écoutez la Banque centrale européenne, qui nous rappelle que l’immense majorité de notre économie est dépendante des services rendus par la nature. Revenez à la raison.
Notre deuxième responsabilité, outre celle de sauver la nature, c’est de faire barrage au populisme d’extrême droite et à l’alliance menée par une partie du PPE avec ce populisme d’extrême droite. Il tue la démocratie européenne, il tue l’esprit de compromis qui nous anime depuis le début sur le pacte vert. Nous ne devons pas laisser passer ce populisme d’extrême droite et les fausses informations, les mensonges qu’il colporte depuis un an et que vous avez encore repris de manière totalement éhontée dans cet hémicycle.
Nous avons donc demain une double responsabilité: sauver la nature, faire barrage au populisme d’extrême droite et à son alliance avec une partie de la droite. J’espère que nous gagnerons.
"
Pascal CANFIN,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-028-0000_FR.html,"  Pascal Canfin (Renew).   – Monsieur le Président, Madame la Commissaire, chers collègues, je voudrais d’abord m’adresser à mes collègues du camp conservateur. Vous êtes engagés aujourd’hui dans une offensive contre le pacte vert sur la transition agricole. Pourtant, nous avons réussi à trouver des accords sur l’industrie, sur la mobilité. Pourquoi ne pourrions-nous pas y arriver tous ensemble, avec les socialistes et éventuellement avec les Verts, sur la transition agricole? Pourquoi y aurait-il une exception où nous ne pourrions pas réussir sur l’agriculture ce que nous avons réussi à faire par ailleurs?
Parce qu’avoir une offensive idéologique de votre part, qui nie la réalité de ce qui est vécu par les agriculteurs, c’est-à-dire l’impact du choc climatique partout en Europe, la perte de nature, la perte des pollinisateurs qui fait qu’ils ont une baisse des rendements. La première cause sur la baisse des rendements des grandes cultures en Europe, c’est l’impact du changement climatique. Donc travaillons ensemble sur les solutions.
Et les solutions – et là, je m’adresse aussi aux écologistes – sont basées sur la nature, mais elles sont aussi dans la technologie. Et c’est pour cela que le paquet de solutions qui est proposé par la Commission européenne, basé sur la nature – restaurer les écosystèmes, le biocontrôle pour se passer des pesticides et, demain, les nouvelles techniques génomiques pour aller chercher de nouveaux progrès techniques –, c’est un ensemble qui devrait nous réunir plutôt que nous diviser. Parce que ce n’est vraiment pas rendre service à l’agriculteur européen, à l’agricultrice européenne et à nos fermiers que de s’opposer de manière totalement idéologique, en colportant des rumeurs et des choses totalement fausses sur les textes qui sont contenus dans le pacte vert.
Travaillons ensemble, ayons des solutions pour l’avenir et c’est comme cela qu’on répondra aux attentes des agriculteurs. 
"
Pascal CANFIN,2023-05-08,FR,Methane emissions reduction in the energy sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-038-0000_FR.html,"  Pascal Canfin,  rapporteur. – Monsieur le Président, chers collègues, nous allons voter un texte important qui tient en un chiffre: le méthane émet 80 fois plus d’émissions de gaz à effet de serre que le CO2, le dioxyde de carbone, sur 20 ans. Sur 100 ans, il émet toujours 25 fois plus de gaz à effet de serre que le CO2. Nous avons une stratégie pour réduire nos émissions de gaz à effet de serre dans leur ensemble, c’est le paquet climat de moins 55 % des émissions de gaz à effet de serre de l’ensemble de l’Union européenne. Nous avons des législations très précises – le marché du carbone, les standards pour les voitures, demain pour les camions – pour réduire nos émissions de CO2, de dioxyde de carbone. Nous n’avons rien, nous n’avons absolument pas l’équivalent pour réduire nos émissions de méthane.
Or, tous les scientifiques nous disent que les enjeux climatiques, c’est maintenant, que notre capacité à maintenir un monde qui se réchauffe de moins de deux degrés en 2100, c’est maintenant que cela se passe. Et donc ne pas avoir d’objectifs forts de réduction de méthane, aujourd’hui, alors que le méthane émet 80 fois plus de gaz à effet de serre que le CO2, est juste absurde et irresponsable.
C’est pour cela que, dans le texte que nous allons voter cette semaine, nous Parlement, nous demandons à la Commission, par la loi, de mettre en place un objectif légalement contraignant de réduction de nos émissions de méthane sur l’ensemble de l’économie.
Certes, ce texte ne porte que sur les émissions de l’énergie, et nous aurons à revenir dans le détail sur ces éléments. Et je pense qu’il faut le resituer dans un contexte plus global qui est que nous devons aller chercher nos émissions de méthane comme nous le faisons pour nos émissions de CO2, si l’on veut être cohérent en matière climatique. Nous avons d’ailleurs un engagement mondial que nous avons pris à Glasgow, il faut le décliner secteur par secteur. Or, il y a trois secteurs clés pour les émissions de méthane: l’énergie, l’industrie, l’agriculture.
Nous allons commencer, avec ce texte, par l’énergie et le Parlement européen, là aussi, prend les choses sérieusement. Lorsque l’on regarde nos émissions de méthane, du charbon, du gaz et du pétrole, l’essentiel vient du gaz et du pétrole. Est-ce que nous sommes de très gros producteurs de gaz et de pétrole? Non. L’essentiel de notre consommation, et donc des émissions de méthane associées à notre consommation, sont liées à nos importations. Or, la proposition initiale de la Commission ne couvre pas les importations de pétrole, de gaz et de charbon. Ce qui veut dire que l’immense majorité de l’impact que nous pouvons avoir en prenant des textes qui vont permettre, par exemple, de réduire les fuites de méthane, passe à côté, puisque l’essentiel de notre impact est lié à nos importations. C’est pour ça que l’une des mesures clés des propositions qui seront soumises au vote cette semaine, c’est précisément d’incorporer les importations de charbon, de gaz et de pétrole dans le champ du texte sur le méthane de l’énergie.
J’en viens maintenant au fait que nous avons voté en commissions de l’industrie et de l’environnement, de manière conjointe, à une majorité extrêmement large, un compromis équilibré qui a réuni, je le répète, à la fois la commission de l’environnement et la commission de l’industrie. Donc, je dois dire que je suis très surpris de voir que nos collègues du PPE reviennent sur les éléments clés de l’accord très largement voté, y compris par eux, en commission de l’industrie et en commission de l’environnement. À un moment donné, chers amis du PPE, il faut savoir passer à autre chose. On a voté un compromis, on avance et maintenant il faut que, ensemble, nous soyons unis pour défendre ces propositions face au Conseil, qui cherche progressivement à les rogner.
J’espère qu’aucun des compromis qui vont chercher à remettre en cause les textes votés en commission il y a quelques semaines ne passeront cette semaine en plénière et que nous aurons un mandat fort, ambitieux et cohérent avec notre action climatique face à la négociation qui s’annonce difficile dans les prochains mois sur ce sujet. Je compte sur vous, mes chers collègues. 
"
Pascal CANFIN,2023-04-17,FR,Deforestation Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-068-0000_FR.html,"  Pascal Canfin (Renew).   – Monsieur le Président, Madame la Commissaire, chers collègues, on peut vraiment être fiers de voter ce texte qui est une première mondiale. On peut être fiers d’abord en tant que Parlement européen, puisque c’est largement nous qui avons été à l’initiative de ce texte il y a deux ans et qui avons poussé la Commission à agir, les États membres à accepter. Nous avons donc maintenant, demain, la possibilité de voter de manière définitive sur la première loi au monde qui va mettre fin à la déforestation importée.
La deuxième raison d’être fiers, c’est que nous devions cela aux Européens. Toutes les enquêtes d’opinion montrent que les Européens ne veulent pas contribuer à la déforestation, mais qu’ils n’avaient pas la possibilité de savoir, lorsqu’ils prennent une tasse de café le matin, ou une tasse de chocolat, qu’en fait, de facto, ils sont complices de la déforestation importée, de la déforestation de l’Amazonie ou des forêts d’Asie du Sud-Est ou d’Afrique centrale. Eh bien cela, nous allons y mettre fin et nous allons leur garantir qu’ils ne seront plus complices, sans le savoir, de cette déforestation. Et c’est là, je crois, un élément fort de la plus-value européenne. 
Le troisième élément, c’est qu’en agissant ainsi, nous tirons le reste du monde vers le haut. Déjà, aux États-Unis, il y a un débat pour savoir si les États-Unis doivent suivre ce que l’Europe vient de faire. Nous utilisons la puissance de notre marché unique, qui est le premier marché au monde, pour fixer des règles du jeu qui tirent la mondialisation vers le haut. Nous pouvons pour tout cela être très fiers du vote de demain pour ce texte contre la déforestation importée. 
"
Pascal CANFIN,2022-09-13,FR,"Consequences of drought, fire, and other extreme weather phenomena: increasing EU's efforts to fight climate change (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-030-0000_FR.html,"  Pascal Canfin (Renew).   – Monsieur le Président, chers collègues, Monsieur le Commissaire, je crois que nous avons tous touché du doigt cet été les conséquences du dérèglement climatique à travers la sécheresse, les feux de forêt, les canicules et les baisses de rendements agricoles. Cela doit nous conduire à agir différemment demain. En Europe, nous faisons déjà beaucoup de choses, à travers le pacte vert, pour réduire nos émissions de CO2, mais nous n’en faisons pas encore assez pour nous rendre plus résilients, pour rendre notre continent résilient aux chocs climatiques.
Et c’est pour cela que ce que j’attends, dans les prochaines heures, du discours de la présidente de la Commission, c’est qu’elle lance une grande initiative pour organiser des tests de résilience des grandes infrastructures européennes: les fleuves, les centrales électriques, les ports, qui ne sont pas adaptées aux chocs climatiques et qui ne sont pas résilientes. Ce sont des enjeux européens majeurs.
Ce sont des enjeux pour notre économie, pour notre compétitivité, pour notre mode de vie. Cessons d’être aveugles sur les conséquences de ce choc climatique qui, de toute façon, va advenir et préparons-nous maintenant vraiment à affronter l’avenir. 
"
Pascal CANFIN,2022-09-12,FR,Deforestation Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-12-INT-1-089-0000_FR.html,"  Pascal Canfin (Renew).   – Monsieur le Président, Monsieur le Commissaire, nous pouvons être fiers du texte que nous allons voter sur la déforestation importée. C’est une première mondiale. Nous sommes les premiers au monde à dire: «Stop, nous arrêtons de faire entrer sur notre marché des produits comme du café, du cacao, de l’huile de palme, du soja qui sont issus de la déforestation des forêts tropicales». Et cet exemple est un exemple formidable de la puissance de l’Europe lorsqu’elle utilise son marché unique pour fixer les règles de la mondialisation.
On le fait aujourd’hui contre la déforestation. On le fait aussi avec le mécanisme de taxation du carbone de nos importations. Ce sont des exemples très concrets de la façon dont l’Europe reprend le contrôle de la mondialisation et fixe ses propres règles du jeu.
Je crois que nous pouvons être fiers parce que nous allons aussi protéger tous les Européens qui, de fait aujourd’hui, sont les complices, sans le savoir, de la déforestation. Avec ce texte, ils auront la garantie qu’ils ne contribueront plus à la déforestation de l’Amazonie, par exemple.
"
