MP,Date,Language,Title,Url,Content
Patrizia TOIA,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-212-0000_IT.html,"  Patrizia Toia, relatrice per parere della commissione per l’industria, la ricerca e l’energia. – Signora Presidente, signor Commissario, onorevoli colleghi, è un onore per me rappresentare qui la commissione ITRE che ha fatto un gran lavoro su questo provvedimento ed è un onore ancor più essere la relatrice di una commissione che ha ottenuto competenze condivise su alcuni articoli molto rilevanti. 
Noi consideriamo positivo e condividiamo senza esitazione la finalità di questo regolamento – la riduzione dei rifiuti da imballaggio – e anche la gran parte delle disposizioni contenute. 
Ciò che abbiamo cercato di modificare, con il parere votato a grandissima maggioranza nella ITRE, riguarda uno sforzo di rendere conciliabili gli obiettivi ambiziosi proposti dalla Commissione, e in parte condivisi, con la realtà, con le opinioni, le osservazioni della realtà, dello stato dell'arte e anche delle grandissime cose positive che ci sono, per non penalizzare chi, in questi anni, ha fatto un grandissimo lavoro per migliorare la qualità degli imballaggi, per mettere sul mercato imballaggi sempre più sostenibili e chi ha investito nelle filiere del riciclo con ricerca, investimenti, capacità innovativa. 
Penalizzare questi mondi sarebbe incomprensibile! Ne verrebbe fuori un'Europa non attenta, che non si mette in ascolto. Ci sarebbero altri punti che non posso, per ragioni di tempo, spiegare: dico solo che la commissione ITRE ha ritenuto, poiché le nostre opinioni non sono state minimamente tenute in conto dalla commissione competente, di ripresentare qui in Aula i nostri emendamenti e io confido che…..
(La Presidente toglie la parola all'oratrice)
"
Patrizia TOIA,2023-11-20,IT,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-147-0000_IT.html,"  Patrizia Toia (S&D).   – Signora Presidente, onorevoli colleghi, l'industria europea ha alti livelli di competitività in molti settori chiave per il nostro sistema produttivo. Ma la sfida oggi – ed è una sfida europea e solo a questo livello si può giocare e vincere – è la sfida di mantenere questa competitività attraverso il lungo percorso della transizione alla sostenibilità del nostro apparato produttivo, evitando di cadere in nuove dipendenze, (batterie, materie prime, chip) ed evitando anche di cadere nella trappola di chi ci vorrebbe, come sistema europeo, in una condizione di subalternità rispetto al sistema economico globale.
La scelta di puntare sulle tecnologie net zero e sulle tecnologie strategiche è giusta, è la strada giusta. E stare sull'upstream delle tecnologie è la chiave per essere competitivi nell'innovazione e non nelle produzioni e nelle tecnologie superate, come oggi rischiamo di diventare. Ambiente, tecnologia, ricerca e capitale umano, come ha ricordato la collega Lina Gálvez, cioè la formazione e l'idea dell'accademia, sono un circuito positivo e noi speriamo che ci sia un grande impegno nella realizzazione di questa novità. 
L'ultima osservazione che però vorrei fare alla Commissione e al Consiglio è: dov'è il promesso fondo per la sovranità? Va bene avere un quadro tecnologico avanzato, va bene avere una politica ambientale ma quello che manca sono le risorse e il promesso fondo sovrano dovrebbe essere la strada giusta. 
"
Patrizia TOIA,2023-10-18,IT,New European innovation agenda (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-452-0000_IT.html,"  Patrizia Toia (S&D).   – Signor Presidente, onorevoli colleghi, l'innovazione, a detta di tutti, è il motore, la leva su cui agire per il miglioramento, per l'avanzamento della società. Per questo, l'Unione dell'innovazione deve essere la nostra cornice, il nostro faro.
L'agenda è importante e siamo certi che la nuova Commissaria saprà dare impulso e implementazione. È importante perché collega e mette insieme, rende complementari, i diversi programmi e le diverse azioni che già noi svolgiamo sotto il capitolo dell'innovazione.
Mi permetto di dare due suggerimenti alla Commissaria. Il primo riguarda il tentativo di superare la frammentazione che ancora oggi caratterizza molto i nostri programmi nel campo della ricerca e dell'innovazione. Il secondo è di creare maggiori sinergie, sforzo che stiamo facendo, ma va fatto maggiormente tra i programmi diversi, i fondi di finanziamento, per concentrarci sugli obiettivi principali della nostra Unione e non disperdere risorse e non frammentare i nostri programmi.
Crediamo che la ricerca abbia bisogno anche di infrastrutture – i centri, gli hub per l'innovazione – ma, anche qui, non facciamo una dispersione e concentriamola dove ci sono qualità e forza.
Infine, una sola parola: si punta molto al deep tech, alla ricerca disruptive: io credo anche all'innovazione incrementale e all'innovazione sociale, che possono davvero migliorare la qualità e l'inclusività della nostra società.
"
Patrizia TOIA,2023-10-17,IT,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-254-0000_IT.html,"  Patrizia Toia (S&D).   – Signora Presidente, onorevoli colleghi, signor Vicepresidente, questa legislatura così straordinaria si avvia a concludersi e penso che questi mesi che ci separano dalla conclusione richiedano uno sforzo aggiuntivo, un impegno per realizzare quegli impegni che abbiamo preso con i cittadini all'inizio della legislatura e che hanno attraversato tutte le fasi difficili in termini di politiche climatiche, ambientali, digitali e sociali, voglio aggiungere, oltre che istituzionali, come è stato detto or ora.
Penso che sia importante implementare quella politica industriale che ha visto adesso dei primi abbozzi, dei primi capitoli nella Commissione europea e nel Parlamento, ma ha bisogno davvero di un salto di qualità e di un salto anche verso le tecnologie più avanzate per realizzare gli obiettivi del Green Deal. 
È importante quello che Lei ha detto sulle PMI. Se vogliamo che le PMI ci accompagnino in tutta la trasformazione ambientale, in tutti gli impegni del Green Deal, dobbiamo avere un'attenzione particolare a sfoltire la burocrazia, a ridurre molti impegni e ad accompagnarle. 
Infine, nei pochi secondi che mi restano, voglio fare un richiamo alla tassonomia sociale. Purtroppo non vedrà la luce in questa legislatura della Commissione, ma la tassonomia sociale deve vedere passi avanti adesso. Abbiamo fatto una tassonomia verde, ma quanti investimenti in più potremmo fare in infrastrutture sociali, se la accompagnassimo anche con strumenti finanziari, come quelli della tassonomia, adeguati? 
"
Patrizia TOIA,2023-10-16,IT,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-136-0000_IT.html,"  Patrizia Toia (S&D).   – Signora Presidente, signor Commissario, onorevoli colleghi, penso che questo passaggio, che oggi stiamo votando in Parlamento e che è stato elaborato dalla Commissione, rappresenti un passo in avanti importante nell'individuazione di una politica industriale europea che ci porti davvero a quell'autonomia strategica, a quella sovranità europea che è essenziale per mantenere i livelli di produttività e la competitività della nostra industria europea, ma contemporaneamente essenziale per raggiungere gli obiettivi che ci siamo dati dal punto di vista ambientale.
Non raggiungeremo la decarbonizzazione se non faremo un vero salto di qualità, molto significativo, verso le nuove tecnologie, ambientali e digitali, e verso tutto il mondo delle biotecnologie, che pure ha riflessi sulla salute delle persone e sull'ambiente. Quindi, signor Commissario, questa è una strada che dobbiamo perseguire coordinando i diversi fondi, mettendo a sistema gli interventi che oggi abbiamo troppo parcellizzati – il Consiglio europeo per l'innovazione, Horizon, il Fondo per l'innovazione e le politiche di coesione – dando davvero un impulso.
L'assetto del modello produttivo europeo ha bisogno di questo passo in avanti, ha bisogno di abbandonare le tecnologie mature, che certo vanno diffuse e vanno tenute in considerazione, e di andare verso le nuove tecnologie. Ci auguriamo però che arrivi il fondo sovrano promesso per dare davvero forza, anche finanziaria, a questa politica industriale.
"
Patrizia TOIA,2023-10-05,IT,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-090-0000_IT.html,"  Patrizia Toia (S&D).   – Signora Presidente, onorevoli colleghi, signora Commissaria, questa strategia è senz'altro un passo avanti lungo una strada su cui abbiamo già fatto molte cose. Penso al regolamento dei dati e penso al regolamento per l'intelligenza artificiale, che pure ha delle disposizioni per quanto riguarda i minori, ma penso anche che dobbiamo fare molto, molto di più, non solo parlarne, ma mettere in pratica tutte le misure necessarie per questa strategia.
La tecnologia ha pervaso le nostre vite, le ha pervase in tutti i campi ormai, e ha un potere, soprattutto per quanto riguarda i giovani, di essere accattivante, pervasiva e dunque anche utile, ma anche potenzialmente dannosa. E noi, in questo spazio di potenziale danno, dobbiamo intervenire per prevenire, reprimere e controllare.
Io penso che sull'ambiente digitale dobbiamo fare di più, soprattutto in quest'ottica dei giovani che spesso diventano vittime, come è stato detto, non solo protagonisti troppo esposti, ma vittime e destinatari di azioni di bullismo e di altre forme.
Penso che all'ambiente digitale dobbiamo dedicare un po' di quell'attenzione che noi dedichiamo all'ambiente naturale, dove non abbiamo paura di porre target, divieti, limiti e regole anche stringenti. Così dobbiamo fare in questo campo, senza avere remore che questo possa essere un intervento troppo restrittivo, perché si tratta della salute mentale e psicologica di molti ragazzi.
Ultima annotazione: dobbiamo fare di più sulla formazione. Abbiamo tante competenze tecniche ma poca consapevolezza di tutte le implicazioni che il digitale comporta. Quindi, non solo reprimere e controllare, ma anche fare tanta formazione, anche nelle scuole.
"
Patrizia TOIA,2023-10-04,IT,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-195-0000_IT.html,"  Patrizia Toia (S&D).   – Signora Presidente, onorevoli colleghi, signor Commissario, signor Ministro, è davvero un paradosso vergognoso che nell'Europa bandiera della giustizia sociale e della dignità umana, la casa, diritto fondamentale, sia ancora un miraggio irraggiungibile per molte famiglie, che magari hanno un alloggio ma lo perdono per il costo dell'affitto che non possono più pagare, o per i giovani che devono trovare la loro autonomia.
L'Europa può e deve intervenire. Qui non siamo a un convegno dove ognuno illustra le sue belle tesi. Qui abbiamo delle responsabilità che i cittadini ci hanno dato e per la nostra credibilità dobbiamo decidere cosa fare e farlo. Ecco perché la proposta avanzata dal gruppo S&D di un piano di investimenti sociali, il piano ""Alloggi per tutti"", è giusta e urgente.
In questo piano l'economia sociale può svolgere un grande ruolo, e lo sa bene il Commissario Schmit, che sta rilanciando tutto questo ambito dell'economia sociale. Le cooperative abitative, le organizzazioni no profit, il mondo dell'housing sociale, anche in partnership con i poteri pubblici, con i soggetti pubblici, può arrivare laddove il privato arriva a prezzi inaccessibili per i più, per i cittadini.
Il mondo della cooperazione dell'housing sociale ha un valore in più ed è l'approccio di comunità, un approccio che crea un contesto di reciproco aiuto tra i soci, che crea servizi comuni e che, in una società dell'individualismo e della solitudine, crea reti di solidarietà e di mutualità.
"
Patrizia TOIA,2023-09-13,IT,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-326-0000_IT.html,"  Patrizia Toia (S&D).   – Signor Presidente, signora Commissaria, onorevoli colleghi, dopo tanta retorica sulle PMI e l'ossatura del nostro sistema produttivo e tante parole profuse e pochi atti, finalmente abbiamo un pacchetto di proposte concrete.
Quindi, la mia prima richiesta è che la concretezza e l'urgenza di mettere a terra queste proposte sia il primo nostro obiettivo. Al di là dei contenuti è necessario che tutto questo diventi subito qualcosa che nelle nostre realtà si percepisca e che percepiscano il nostro sistema produttivo e i lavoratori.
Due punti mi sembrano importanti tra gli altri. Primo: il regolamento per i ritardi dei pagamenti. È giusto correggere la direttiva: il regolamento deve entrare in vigore al più presto, ovunque e alle stesse condizioni, perché è vergognoso che ci siano piccole e medie imprese che, anche per le difficoltà dell'accesso al credito, sono andate incontro al fallimento, per il ritardo, magari da parte delle pubbliche amministrazioni. Quindi è qualcosa che va subito corretto.
L'altro riguarda il personale, un altro punto delicato. Le piccole e medie imprese non hanno la forza di fare la preparazione adeguata e noi sappiamo che hanno bisogno di personale, anche a livelli semplici, che abbia competenze digitali e nelle nuove tecnologie. Ecco, l'Accademia delle competenze deve avere un occhio particolare per le PMI.
"
Patrizia TOIA,2023-09-11,IT,Renewable Energy Directive (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-144-0000_IT.html,"  Patrizia Toia (S&D).   – Signor Presidente, onorevoli colleghi, signora Commissaria, noi approviamo una direttiva che ha dei target e degli obiettivi molto impegnativi e ambiziosi e ne siamo ben lieti. Ma sappiamo che sono anche raggiungibili: non è solo ambizione, è anche un realismo di un lavoro che l'Europa sta facendo se, naturalmente, svilupperemo alcune condizioni; le cito solo per titoli.
La prima riguarda le procedure: il problema dell'accelerazione dei permessi è essenziale; noi abbiamo dei piani nazionali e dei target ambiziosi ma non stiamo procedendo con la necessaria velocità e questo è dovuto alle procedure. Quindi, ottima la soluzione trovata.
La seconda riguarda la disponibilità di tecnologie e di materie prime e di tutto quello che, per fortuna, la nuova politica industriale europea sta tracciando e sta cercando di costruire: tecnologie, materie prime e strumenti. Per esempio, noi guardiamo con molto favore all'alleanza fatta con successo per le batterie e ora, per quanto riguarda l'eolico e il solare. Queste nuove forme e questi strumenti di politica industriale mettono insieme i paesi, i centri di ricerca e gli imprenditori e possono farci andare avanti.
Il terzo riguarda gli investimenti: REPowerEU e le nuove disponibilità dei nostri piani danno anche gli strumenti per raggiungere questi obiettivi.
"
Patrizia TOIA,2023-07-12,IT,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-250-0000_IT.html,"  Patrizia Toia (S&D).   – Signor Presidente, signor Commissario, onorevoli colleghi, l'Europa ha finalmente messo in campo una politica e una strategia industriale degna di questo nome, per accompagnare con il piano green per l'industria il nostro sistema produttivo nella sfida della trasformazione e nell'ambizione che noi abbiamo di creare un sistema completamente decarbonizzato.
Ma quello che manca, a mio avviso, è un adattamento di questa importante strategia alla taglia delle prevalenti imprese in Europa, cioè le piccole e medie imprese. È una carenza che va colmata, perché penso che solo inserendo nelle filiere produttive la realtà di questo immenso mondo delle piccole e medie imprese, anche molto qualificate, del nostro sistema produttivo europeo, solo facendo questo noi potremo avere un sistema più solido, senza quelle interruzioni di fornitura di prodotti trasformati, di pezzi di ricambio, di componentistica che abbiamo verificato nel periodo del COVID. Abbiamo scoperto che la distanza è un costo e anche un rischio, perché il costo è sopportabile ma il rischio forse no, e la vicinanza è un valore.
Dunque incentiviamo, signor Commissario, nella nostra politica industriale le catene di valore, incentivando le grandi imprese a trasferire competenze, innovazione e preparazione e inseriamo in questo contesto anche il mondo del credito che, come è stato detto, è un punto assai critico per le PMI.
"
