MP,Date,Language,Title,Url,Content
Peter JAHR,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-066-0000_DE.html,"  Peter Jahr (PPE).   – Frau Präsidentin! Was mich immer noch stört, ist der Duktus des Gesetzes, also die Grundphilosophie des Gesetzes. Man spricht dem Landwirt die Fähigkeit ab, verantwortungsvoll, fachlich begründet, umweltschonend Pflanzenschutzmittel einzusetzen. Und ich sage: Was soll das eigentlich? An die linke Seite des Hauses: Landwirte sind nicht unsere Feinde. Sie sichern unsere Lebensmittel, gesund und umweltgerecht.
Die Grundsatzfrage für mich lautet: Wollen wir es erzwingen oder ermöglichen? Ich will ermöglichen, Sie wollen erzwingen, und ich denke, das ist der falsche Weg.
"
Peter JAHR,2023-10-19,DE,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-014-0000_DE.html,"  Peter Jahr,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Als aktives Mitglied des Petitionsausschusses freue ich mich natürlich über jede europäische Bürgerinitiative, die erfolgreich ist. Und immerhin 1,5 Millionen Unterschriften – da hat es die Bürgerinitiative wirklich verdient, entsprechend ernst genommen zu werden. 
Es ist erwähnt worden: Am 12. Oktober fand eine öffentliche Anhörung statt, auch zusammen mit dem Petitionsausschuss, dem Landwirtschaftsausschuss, dem Ausschuss für Binnenmarkt und Verbraucherschutz, und die hat auch gezeigt, wie breit gefächert das Thema ist. Deshalb werden Sie bitte nachsehen, dass mein Beitrag heute auch von persönlichen Meinungen eingefärbt ist.
Ich denke, das Verhältnis zu Tieren – animal welfare – ist generell eine gesellschaftliche Wertedebatte. Und der These oder der Aussage, dass das Töten von Tieren für eine alleinige Pelzgewinnung abzulehnen ist, der kann ich mich anschließen. Bevor wir aber dann klatschen, müssen wir natürlich auch immer sagen: Von der Ferne ist Harmonie, wenn man dann in die Details geht, wird es schwierig. Gutes Beispiel – etwas von Ferne hergeholt – ist die Rinderproduktion. Also keiner käme auf die Idee, beim Rind das Leder nicht zu verwerten, weil man den Rest des Rindes natürlich auch für die menschliche Ernährung und andere Dinge braucht.
Bei Pelzen ist es weitaus schwieriger. Wir werden uns in der Debatte auch darauf konzentrieren müssen oder Aussagen darüber treffen müssen, was denn dann eine andere Verwertung des Tieres wäre. Menschliche Ernährung, Tierfutter, Biogas? Ich weiß es nicht. Trotzdem empfehle ich, dass wir uns in der weiteren politischen Diskussion an dieser These orientieren: Das Töten von Tieren für eine alleinige Pelzgewinnung ist abzulehnen. In dem Sinne freue ich mich auf die weitere politische Diskussion in unserem Hause und bin wirklich davon überzeugt, dass wir garantiert noch einmal über das Thema reden werden, und darauf freue ich mich.
"
Peter JAHR,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-292-0000_DE.html,"  Peter Jahr (PPE).   – Frau Präsidentin! Ich meine, keine ideologische Entscheidung, sondern zutiefst fachliche Entscheidungen sind notwendig, und die Frage, ob Glyphosat nun gesundheitsschädigend ist oder nicht, ist eine fachliche Frage.
Wir wollten es doch mal alle besser machen und keine ideologischen Entscheidungen bei fachlichen Diskussionen fällen. Deshalb haben wir entsprechende Fachagenturen gegründet, und wir haben zwei Fachagenturen befragt, und die haben gesagt: Es gibt keine grundsätzlichen gesundheitlichen Schäden.
Deshalb drei Bitten: Erstens: Wir sollten der Empfehlung unserer Fachagenturen folgen und den Einsatz von Glyphosat verlängern. Zweitens: Wir sollten viel mehr über die Frage des ordnungsgemäßen Einsatzes sprechen. Drittens: Bitte finden wir in der Europäischen Union eine Regelung, die in allen Mitgliedstaaten halbwegs passfähig, vernünftig und harmonisiert läuft.
"
Peter JAHR,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-094-0000_DE.html,"  Peter Jahr (PPE).   – Herr Präsident, Frau Kommissarin, Frau Ministerin, liebe Kolleginnen und Kollegen! Corona-Krise – Ernährungssicherheit war nie gefährdet. Ukrainekrieg – Ernährungssicherheit war nie gefährdet. Mit ein wenig Humor könnte man sagen: Das ist unseren Landwirten gelungen trotz der politischen Eingriffe aus Brüssel. Ich denke, unser Hauptproblem ist, die Landwirte verstehen unsere Politik nicht mehr. Neulich hat mich ein Landwirt gefragt: Wollt ihr uns überhaupt noch? Und ich muss sagen, das hat gesessen. Deshalb meine Forderungen: 
Erstens: Reden wir mit den Landwirten! Zweitens: Nutzen wir die innovative Kraft der Landwirte! Drittens: Starten wir endlich mal eine Entbürokratisierungskampagne! Lassen wir die neue Reform erst einmal in Kraft treten und wirken! Und vor allem: keine neuen Gesetze und Vorschriften.
Wir haben einen New Green Deal, das ist richtig, aber was wir brauchen, ist auch ein farmers’ deal. Und deshalb, liebe Kommission: Die Landwirte sind nicht das Problem, sie sind unsere Lösung. 
"
Peter JAHR,2023-03-14,DE,Implementation report on the Agreement on the withdrawal of the UK from the EU - The Windsor Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-440-0000_DE.html,"  Peter Jahr,  Verfasser der Stellungnahme des mitberatenden Petitionsausschusses. – Herr Präsident, Herr Vizepräsident Šefčovič, meine sehr verehrten Damen und Herren! Jeder EU-Bürger mit Wohnsitz im Vereinigten Königreich hat das Recht, eine Petition an das Europäische Parlament gemäß Artikel 227 des Vertrages über die Arbeitsweise der Europäischen Union zu richten. Auch Bürger des Vereinigten Königreichs, die ihren Wohnsitz in der Europäischen Union haben, behalten das Recht, Petitionen an das Parlament zu richten.
Der Petitionsausschuss des Parlaments hat 262 Petitionen im Zusammenhang mit dem Brexit und 25 im Zusammenhang mit mutmaßlichen Verstößen gegen das Austrittsabkommen erhalten. Welche Probleme haben sich hier offenbart? Zum einen die Anforderungen des EU Settlement Schemes; das heißt, dass EU-Bürger einen zweiten Antrag an das System stellen müssen, um das unbefristete Aufenthaltsrecht im Vereinigten Königreich zu erhalten, ist problematisch und setzt die Bürger einem größeren Risiko aus, wenn sie ihr Aufenthaltsrecht nicht ausüben können, und das innerhalb der gesetzlichen Fristen.
Das Vereinigte Königreich hat sich aus dem Programm Erasmus+ zurückgezogen und sich entschieden, nicht als Drittpartnerland am neuen Programm Erasmus+2021-2027 teilzunehmen, was zulasten von Forschung, Studium, Ausbildung und Austausch für junge Leute gehen würde. Da wäre es eine gute Sache, wenn die Teilnahme des Vereinigten Königreichs an EU-Programmen zugunsten junger Menschen in Großbritannien und der EU im Austausch für die erforderlichen finanziellen Verpflichtungen zugelassen werden würde. Es gibt also noch einiges zu tun! Packen wir es an, seien wir optimistisch und lösen wir die Probleme im Interesse der Menschen.
"
Peter JAHR,2023-03-13,DE,Activities of the European Ombudsman - annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-112-0000_DE.html,"  Peter Jahr,  im Namen der PPE-Fraktion. – Frau Präsidentin, sehr geehrte Frau O'Reilly, Herr Vizepräsident Šefčovič. Ich habe mir vier Bemerkungen aufgeschrieben. Erstens: Die Ombudsfrau ist kein Mitglied der Europäischen Kommission, die Ombudsfrau ist auch kein Mitglied des Europäischen Parlaments. Sie ist auch kein Mitglied des Rates. Die Ombudsfrau ist für die Bürgerinnen und Bürger da. Und ehrlich, Frau O'Reilly, Sie haben Ihre facettenreiche Arbeit gut gemacht. Wenn ich kein Deutscher wäre, würde ich sogar sagen, Sie haben Ihre Arbeit sehr gut gemacht.
Ich freue mich, dass die Rolle der Ombudsfrau in Europa immer mehr von unseren Bürgern wahrgenommen wird. Man sieht es auch daran, dass sich im Jahr 2021 über 20 000 Bürgerinnen und Bürger an die Dienste des Bürgerbeauftragten um Hilfe wandten. Es wurden 338 Untersuchungen eingeleitet, davon 332 beschwerdebasiert und sechs aus eigener Initiative.
Das führt mich zu meiner zweiten Bemerkung: Ich denke, unsere Ombudsfrau hat das heikle politische Instrument der Untersuchungen aus eigener Initiative angemessen eingesetzt. Auch dafür unser Kompliment.
Und drittens das leidliche Thema zur Transparenz. Ich freue mich, dass wir im Bericht eine Formulierung gefunden haben, die der Problematik gerecht wird. Es ist alljährlich immer wieder der Streit. Ich sage es ganz offen: In meinen Augen – und vielleicht auch im Hinblick auf die deutsche Sprache – braucht man normalerweise kein beschreibendes Wort, um das Wort Transparenz zu definieren, denn transparent ist nun mal transparent. Mehr geht an und für sich nicht.
Aber wir haben eine Möglichkeit gefunden, das ordentlich zu formulieren, und ich freue mich, dass wir auch den Bericht – das ist meine vierte Bemerkung – im großen Konsens zwischen den Fraktionen verabschieden konnten. Denn ich bin immer der Meinung, man sollte aus dem Bericht der Ombudsfrau kein politisches battlefield machen. Und ein Dankeschön auch an unsere Berichterstatterin, Frau Pelletier, die das auch hingekriegt hat, dass wir uns einigen konnten und morgen mit einer großen Mehrheit zustimmen können.
Mein Wunsch wäre, beim nächsten Mal könnten wir diese Einigkeit mit einer gemeinsamen Ausschussabstimmung im shadow-meeting noch fixieren. Das wäre quasi die Schlagsahne auf dem Eisbecher gewesen. Aber wir haben noch Reserven für das nächste Mal, und ich bedanke mich noch einmal für die Arbeit unserer Ombudsfrau.
"
Peter JAHR,2022-12-14,DE,Deliberations of the Committee on Petitions in 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-406-0000_DE.html,"  Peter Jahr,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar, meine sehr verehrten Kolleginnen und Kollegen! Ich bedanke mich ausdrücklich bei meinem Kollegen Loránt Vincze, für seine gute Arbeit, für seinen Bericht. Er hat es geschafft, durch gute Kompromisse einen objektiven Bericht zu erstellen, der nicht unnötig politisiert wurde und die Arbeit des Ausschusses im Jahr 2021 ausreichend darstellt. Näher als der Petitionsausschuss kann man im europäischen Entscheidungsprozess nicht am Bürger sein.
Der Petititionsausschuss hat im Jahr 2021 zwölf Ausschusssitzungen abgehalten, in denen 159 Petitionen mit 113 zugeschalteten Petenten erörtert wurden. Das gibt es wohl kaum in einem anderen, nationalen Petitionsausschuss, und es ist wirklich eine Besonderheit: Es ist gelebte Demokratie.
Welche Schlussfolgerungen ziehe ich aus dem Bericht, bzw. was kann man noch besser machen? Ein relativ hoher Anteil der eingegangenen Petitionen, 26,5 %, werden für unzulässig erklärt. Das heißt, hier ist noch umfassende Kommunikationsarbeit notwendig, um den Bürgern zu erklären, wofür der Europäische Petitionsausschuss zuständig ist.
Zweitens: Ich bedauere sehr, dass die Kommission es noch immer oft versäumt, den Petitionsausschuss umfassend über legislative und nichtlegislative Maßnahmen zu informieren, die im Anschluss an eingegangene Petitionen ergriffen wurden.
Drittens: Unsere Petenten wenden sich häufig an den Petitionsausschuss, wenn es um dringliche Probleme geht. Mir persönlich dauert die Abarbeitung der Petitionen immer noch zu lange, und wir müssen auch den Rückstand an vorhandenen Petitionen abbauen, weil das das Vertrauen in die EU-Institutionen schwächt.
Viertens: Ich finde es schade, dass in letzter Zeit die Arbeit des Petitionsnetzwerks – damit ist die Zusammenarbeit des Petitionsausschusses mit den Fachausschüssen gemeint – ein bisschen eingeschlafen ist. Wir könnten da wieder einen wake up call machen.
Und zum Schluss wünsche ich natürlich uns allen ein gesegnetes Weihnachtsfest und ein gesundes neues Jahr 2023.
"
Peter JAHR,2022-11-23,DE,Protection of livestock farming and large carnivores in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-467-0000_DE.html,"  Peter Jahr (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen, liebe Kommission! Betrachten Sie diese Entschließung als einen Hilferuf an Sie: Tut endlich was!
Die Ansiedelung des Wolfes ist eine Erfolgsgeschichte. Wir haben stabile, wachsende Wolfsbestände, das heißt, der Schutzstatus kann gemindert werden; der Bestand kann reguliert werden. Entwickeln Sie europaweite guidelines! Definieren Sie wolfsfreie Zonen! Helfen Sie unseren Bäuerinnen und Bauern, helfen Sie unserer Kulturlandschaft, helfen Sie unserem ländlichen Raum!
Liebe Kommission, tun Sie endlich etwas, und machen Sie die Erfolgsgeschichte Wolf nicht kaputt!
"
Peter JAHR,2022-11-09,DE,REPowerEU chapters in recovery and resilience plans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-09-INT-1-139-0000_DE.html,"  Peter Jahr,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Landwirtschaft und ländliche Entwicklung. – Herr Präsident, meine Damen und Herren, Herr Kommissar! Als Verfasser der Stellungnahme für den Agrarbereich muss ich sagen: REPowerEU – eine gute Idee. Und auch wenn die Landwirtschaft nicht mitmacht oder, besser gesagt, nicht mitmachen muss, bleibt es eine gute Idee.
Vielleicht noch die drei Aspekte, drei Argumente, warum der Agrarausschuss sich dagegen entschieden hat, Mittel für REPowerEU zur Verfügung zu stellen: erstens das Budget: 20 Milliarden insgesamt. Der Agrarbereich wäre hier im Unschärfebereich dabei gewesen. 
Aber der zweite, schon wichtigere, Punkt ist die Förderphilosophie: Förderung im ländlichen Raum, das heißt natürlich Bottom-up-Prinzip. Die Leute vor Ort sollen entscheiden, wofür das Geld verwendet wird. Es ist für die Landwirte und für small business, es ist für die Menschen gedacht. 
Und drittens, das Hauptargument: Alles, was in REPowerEU beschrieben wird – Nutzung von erneuerbarer Energie, Nutzung für den ländlichen Raum – ist in der Vorderkulisse ländlicher Raum heute schon möglich, allerdings für die Menschen, für small business.
Und deshalb wünschen wir REPowerEU alles Gute. Der ländliche Raum macht mit mit seinen Förderprogrammen, und ich bitte auch hier den Kommissar, aufzupassen: Der Appetit der Mitgliedstaaten ist sehr groß, den Bereich Landwirtschaft als finanziellen Steinbruch zu benutzen. Das geht nicht!
"
Peter JAHR,2022-11-09,DE,Communication on ensuring availability and affordability of fertilisers (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-09-INT-1-209-0000_DE.html,"  Peter Jahr (PPE).   – Frau Präsidentin, Herr Kommissar! In einer Minute kann man nicht viel loben. Deshalb vier kritische Anmerkungen.
Das Erste: Wir haben es gehört vom Kollegen Dorfmann: ein Schaden von 44 Milliarden, unsere landwirtschaftlichen Katastrophen von 450 Millionen. Wir werden damit nicht alles klären können. 
Das Zweite: Ich bitte Sie, noch einmal gründlich zu überlegen – es ist mehrfach gesagt worden: Die Strafsteuer bei Importen bzw. die Anti-Dumping-Zölle als Signal an unsere europäischen Landwirte vorübergehend auszusetzen, wäre wichtig.
Dritte Anmerkung: Kreislauflandwirtschaft fördern, organische Düngemittel, an der Stelle mutiger vorgehen. Manche Fußnoten wünsche ich mir dann im Originaltext oder umgekehrt. Ich bitte Sie, setzen Sie sich da in der Kommission durch, dass wir Kreislauflandwirtschaft brauchen, und dazu gehört auch, organische Dünger wieder ordentlich einzusetzen.
Meine letzte Bitte – Stichwort Harmonisierung: Sie haben ein Bündel von Maßnahmen vorgestellt. Ich habe die Angst, dass verschiedene Mitgliedstaaten das extrem unterschiedlich anwenden und dann Wettbewerbsverzerrungen entstehen. Da müssen wir ein bisschen aufpassen. Nicht, dass dann die Dinge in den Mitgliedstaaten ganz unterschiedlich bei den Landwirten ankommen, und dann kommt die Kritik dann entsprechend zurück.
"
