MP,Date,Language,Title,Url,Content
Peter LIESE,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-032-0000_DE.html,"  Peter Liese (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Als Arzt und Umweltpolitiker bin ich für einen sorgfältigen Umgang mit Pflanzenschutzmitteln und natürlich auch für eine Reduktionsstrategie. Aber ich bin gegen diesen Vorschlag, weil er in vielen Bereichen ein totales Verbot von chemischen und synthetischen Pflanzenschutzmitteln vorsieht und weil ich die Definition von sensiblen Gebieten hier für völlig ungeeignet halte.
Ich habe in meinem Wahlkreis ein riesiges FFH- und Vogelschutzgebiet – ja, die Grünen lachen; die Naturschützer vor Ort sind auf meiner Seite, lieber Martin Häusling, und ich hatte eigentlich gedacht, wir hatten die Möglichkeit, dir das auch darzulegen. Dort sagen die Naturschützer: Bitte gefährdet den Vertragsnaturschutz nicht, gefährdet nicht die gute Zusammenarbeit, die wir als Naturschützer mit den Landwirten haben.
Deswegen bitte ich insbesondere Frau Aguilera, die Position des Agrarausschusses in der Gänze darzustellen und zu vertreten. Mir liegt besonders der Änderungsantrag 487 – Frau Aguilera, bitte zuhören: 487; als Verfasserin der Stellungnahme des Agrarausschusses haben Sie eigentlich die Pflicht, auch für diesen Antrag zu kämpfen.
"
Peter LIESE,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-045-0000_DE.html,"  Peter Liese (PPE),  Frage nach dem Verfahren der „blauen Karte“. – Ich habe die Frage: Erstens – wir wollen uns ja immer an die Fakten halten: Der Vorschlag handelt offiziell von Pflanzenschutzmitteln. Sind Sie einverstanden, dass wir uns auf die Terminologie einigen: Pflanzenschutzmittel und nicht Pestizide? 
Und zweitens: Glauben Sie nicht auch, dass die neuen Züchtungsmethoden eine Chance sind, um Pflanzenschutzmittel einzusparen? Und werden Sie sich dann auch mit uns gemeinsam für diese neuen Züchtungsmethoden einsetzen?
"
Peter LIESE,2023-11-21,DE,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-091-0000_DE.html,"  Peter Liese (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Die Dekarbonisierung von Bussen und Lkw ist wichtig, gar keine Frage. Aber die Mehrheit im Umweltausschuss hat an einigen Stellen den ambitionierten Vorschlag der Kommission noch einmal verschärft, z. B. beim 2035-Ziel. Also auch die S&D folgt da nicht Timmermans, wenn wir hier schon über solche Sachen reden, sondern geht noch einmal darüber hinaus.
Aber ich möchte insbesondere – genau wie Jens Gieseke – auf die Anträge zur Technologieneutralität hinweisen. Persönlich bitte ich Sie vor allem um Unterstützung für den Änderungsantrag 123, aber auch für die anderen Anträge der EVP in diesem Bereich. Die Anrechnung von E-Fuels ist wichtig. Ja, die sind im Moment teuer und die sind im Moment knapp – aber wer weiß, wie das in 2035 und 2040 ist. Und ja, die Hersteller wollen das im Moment nicht. Aber warum sollen wir das für die nächsten Jahre ausschließen? Der Markt soll es entscheiden. Der Markt soll es entscheiden, die Ingenieure sollen es entscheiden, und nicht die Politik. Wir sind für Technologieneutralität.
"
Peter LIESE,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-226-0000_DE.html,"  Peter Liese (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wir müssen die Plastikflut bekämpfen, wir müssen die Abfallflut bekämpfen, und deswegen brauchen wir eine Verordnung, auch um einen Binnenmarkt für die Kreislaufwirtschaft zu schaffen, und die Mitgliedstaaten, die bisher wenig Recycling haben, müssen deutlich mehr tun. Aber die Europäische Kommission hat meiner Ansicht nach deutlich über das Ziel hinausgeschossen. Dieser Vorschlag atmet noch den Geist von Vizepräsident Timmermans, obwohl er nicht mehr da ist. Ich sage mal zwei Beispiele.
Erstens: beim Onlinehandel. Ja, da haben wir sehr viel überflüssige Verpackung, sehr viel Plastikverpackung. Aber der Vorschlag behandelt eben Papier gleich wie Plastik. Ich kenne Firmen, die jetzt gerade von Plastik auf Papier umstellen. Sollten wir die nicht unterstützen?
Der zweite Punkt – für mich noch viel ärgerlicher: Der Vorschlag der Kommission verbietet kleine Tütchen aus Papier für Zucker, Salz, Pfeffer und Süßstoff. Ich war heute Morgen einen Kaffee trinken und habe diese Tütchen hier in Straßburg im Europäischen Parlament gefunden. Wir können doch nicht ernsthaft der Allgemeinheit etwas verbieten, was wir selber nutzen. Und wir können uns doch nicht ernsthaft im Moment, wo wir so viele Probleme haben, mit Papiertütchen beschäftigen.
Ich bin zuversichtlich, dass wir diesen Unsinn morgen herausstimmen, dann wird es ein guter Text. Lassen Sie uns entsprechende Änderungsanträge annehmen!
"
Peter LIESE,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-089-0000_DE.html,"  Peter Liese (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Wir müssen den Klimawandel global bekämpfen. Wenn wir das nicht global machen, werden wir es nicht schaffen. Deswegen sind diese Klimakonferenzen, so mühsam und beschwerlich sie auch sind, extrem wichtig.
Ich denke auch nicht, dass es richtig ist, wenn wir als Europäer immer nur auf die anderen zeigen und sagen: Die müssen etwas tun. Wir müssen ein gutes Beispiel abgeben. Die Europäische Union hat Pro-Kopf-Emissionen von 6,25 Tonnen. Einige Länder wie Polen oder das Land, das ich am besten kenne, haben sogar noch mehr. Und Länder wie Kamerun und Tansania haben weniger als 0,5 Tonnen pro Kopf.
Jeder, der sagt: „Die anderen müssen anfangen, bevor wir was tun“, liegt falsch. Aber andersherum ist es auch unerträglich, wenn bei den internationalen Konferenzen immer noch so getan wird, als wenn China ein Entwicklungsland ist. China hat mittlerweile höhere Pro-Kopf-Emissionen nicht nur als die EU als Ganzes, sondern sogar höhere Pro-Kopf-Emissionen als Deutschland und Polen. Und deswegen ist es so wichtig, dass wir diese alte Phalanx – Annex I, nicht Annex I – aufbrechen, und da ist den Verhandlern der Kommission – Herr Kommissar, herzlichen Glückwunsch dazu – auf technischer Ebene bei loss and damage ein historischer Durchbruch gelungen. Der muss auch bei der Klimakonferenz bestätigt werden.
"
Peter LIESE,2023-11-20,DE,Union certification framework for carbon removals,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-196-0000_DE.html,"  Peter Liese,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Wir brauchen negative Emissionen, und wir brauchen sie so schnell wie möglich – das ist die klare Ansage des Weltklimarates IPCC. Und diese Gesetzgebung ist ein sehr wichtiger Schritt, damit wir schneller zu negativen Emissionen kommen. Deswegen vielen Dank an alle, die geholfen haben, dass wir hoffentlich morgen im Plenum eine breite Mehrheit haben, allen voran Lídia Pereira und ihrem Team mit Luis und Lawrence, aber auch allen anderen. 
Wir werden zunächst einmal sehen, dass privates Kapital in diese Märkte fließt, weil jetzt ein klarer Rahmen da ist, und ich sehe das auch als eine Einkommensmöglichkeit für die Landwirte, die carbon farming betreiben – zusätzliche Einkommensquellen. Aber wir brauchen eben auch diese technischen Lösungen. Ich persönlich war sehr beeindruckt, als man mir zum ersten Mal erklärt hat, wie direct air capture funktioniert – es ist heute schon möglich, CO2 aus der Luft zu entnehmen und daraus Produkte herzustellen. Es ist natürlich unendlich teuer, aber wie teuer war Photovoltaik in den 90er Jahren, und heute ist es fast konkurrenzlos günstig.
Deswegen müssen wir anfangen, diese Technologie so schnell wie möglich zu fördern, und ich finde, dass mindestens diese Technologie auch so schnell wie möglich in den europäischen Emissionshandel einbezogen werden soll.
Also ein klares Signal: Wir brauchen die negativen Emissionen so schnell wie möglich, und wir brauchen Anreize für alle, die in diesem Bereich investieren.
"
Peter LIESE,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-248-0000_DE.html,"  Peter Liese,  im Namen der PPE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Pflanzenschutzmittel zu reduzieren und ihre sichere Anwendung zu gewährleisten, ist ein wichtiges und richtiges Ziel. Aber Verbote sind aus unserer Sicht als EVP-Fraktion, auch aus meiner persönlichen Sicht, nicht der richtige Weg.
Deswegen unterstützen wir nicht das Ziel eines Verbots in sensiblen Gebieten; darüber verhandeln wir ja schon im Parlament. Aber wir unterstützen auch nicht ein Verbot von Glyphosat, das ein sehr wichtiges Pflanzenschutzmittel in der Praxis ist. Und wenn unsere eigenen Gremien, die EFSA und die ECHA, also unsere europäischen Experten für Lebensmittel und für Chemikalien, sagen, es gibt kein Problem, dann sage ich Sozialdemokraten und Grünen: Listen to science! Hört auf die Wissenschaft, nicht nur, wenn es passt, sondern auch bei neuen Züchtungsmethoden und auch bei Glyphosat.
Es kommt eins hinzu. Wir haben einen dramatischen Anstieg der Lebensmittelpreise. Die Menschen leiden im Moment mehr unter dem Anstieg der Lebensmittelpreise als unter dem schon sehr dramatischen Anstieg der Energiekosten. Lebensmittelpreise sind die Treiber der Inflation, und wenn wir ein wichtiges Pflanzenschutzmittel aus dem Sortiment herausnehmen, dann wird es teurer, in der Europäischen Union Lebensmittel zu produzieren. Preissteigerungen werden dann sozusagen willkürlich herbeigeführt.
Deswegen danke ich der Kommission für ihren Vorschlag. Er basiert auf wissenschaftlichen Fakten und führt nicht dazu, dass wir die Lebensmittelproduktion weiter verteuern. Es ist ein guter Vorschlag. Vielen Dank an Stella Kyriakides und ihr Team.
"
Peter LIESE,2023-09-12,DE,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-206-0000_DE.html,"  Peter Liese (PPE).   – Frau Präsidentin! Liebe Kolleginnen und Kollegen. Ich verrate Ihnen ein Geheimnis. Die Luft in Europa ist gut. Sie ist zumindest in den letzten Jahren immer besser geworden. Hier sehen wir den Rückgang der Feinstaubemissionen seit den 90er Jahren auf ein Drittel. Hier sehen wir den Rückgang der Stickoxid-Emissionen in Europa. 
(Die Präsidentin unterbricht den Redner.)
"
Peter LIESE,2023-09-12,EN,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-208-0000_EN.html,"  Peter Liese (PPE).   – So, I will respect that Rule and you can see the graphs on social media.
So, also, die Emissionen sind stetig zurückgegangen. Wir sollten auch mal stolz sein auf das Erreichte und – auch im wahrsten Sinne des Wortes – können mal durchatmen.
Kann die Luftqualität besser werden? Ja, sie kann. Es gibt viele technische Möglichkeiten. Wir haben erreicht, dass bei den Schiffskraftstoffen jetzt auch der Emissionshandel gilt. Das wird helfen, insbesondere in küstennahen Städten.
Aber ich und wir als EVP-Fraktion halten es für übertrieben, was der Umweltausschuss beschlossen hat. Da steht was von Fahrverboten. Da steht es, dass wir Baustellen stilllegen, dass Industrieanlagen in dieser schwierigen Phase, wo die Industrie droht, aus Europa abzuwandern, stillgelegt werden sollen. All das ist unangemessen.
Deswegen sollten wir uns auf die Änderungsanträge verständigen, die der Kollege Lins, Kollege Knotek und viele andere mit mir gemeinsam eingereicht haben. Eine maßvolle Regulierung, die nicht zu Fahrverboten und Stilllegung von Industrie führt. Bitte unterstützen Sie diese Änderungsanträge.
"
Peter LIESE,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-021-0000_DE.html,"  Peter Liese (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Ich komme aus einer sehr ländlichen Region, und ich habe noch nie erlebt, dass die Wahrnehmung der Menschen in meiner Region und die Wahrnehmung in der Brüsseler und Straßburger Blase so weit auseinandergehen wie bei diesem Gesetz. Ich rede mit Bürgermeistern über den Vorschlag, mit Landräten. Und es gibt in Deutschland eine aktuelle Stellungnahme des Städte- und Gemeindebundes, der Vertretung aller ländlichen Kommunen, die klar gegen dieses Gesetz geht. Ich rede mit Betreibern von Wasserkraftwerken. Die Wasserkraftbetreiber machen sich Sorgen wegen dieses Gesetzes, weil es für die Wasserkraft schwieriger wird – und das in einer Zeit, wo wir so dringend Öl, Gas und Kohle ersetzen müssen.
Auch andere Projekte der Energiewende wie der Leitungsbau werden schwieriger durch dieses Gesetz. Es ist eine Illusion zu glauben, Biodiversität und Klimaschutz gingen immer Hand in Hand. Warum, frage ich die deutschen Grünen, gibt es einen Streit zwischen Robert Habeck und Steffi Lemke? Weil Robert Habeck sagt: Die Energiewende ist wichtiger als der letzte Vogel. Man muss hier Kompromisse machen. Und ich bin da auf der Seite von Habeck, ganz klar.
Ich rede mit Waldbesitzern, die sagen: Was soll das? Die Natur in einen Zustand zurückzuversetzen von vor 70 Jahren! Wir hatten vor 70 Jahren keinen Klimawandel. Jetzt haben wir ihn leider, und wir sollten gemeinsam dagegen kämpfen. Aber da brauchen wir auch angepasste Arten, die vor 70 Jahren in Europa nicht heimisch waren.
Vieles ist unklar, viele Definitionen sind unklar. Wir kaufen hier die Katze im Sack. Liebe Kolleginnen und Kollegen, hören wir auf die Bedenken der Menschen in den ländlichen Räumen! Hören wir auf die Menschen, die draußen stehen und sagen:
Nature restoration - yes, we can! Nature restoration law – no, we can’t!
Stimmen wir gegen diesen Vorschlag!
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
