MP,Date,Language,Title,Url,Content
Petra KAMMEREVERT,2023-05-08,DE,Implementation of the Audiovisual Media Services Directive (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-144-0000_DE.html,"  Petra Kammerevert,  Berichterstatterin. – Herr Präsident, liebe Kolleginnen und Kollegen, Herr Kommissar! Die Audiovisuelle-Mediendienste-Richtlinie ist besser als ihr Ruf. Immer wieder wurde die AVMD-Richtlinie angeführt, um für den Digital Services Act oder die Notwendigkeit des European Media Freedom Act Begründungen zu finden. Dabei wurde dem Text in mehrfacher Hinsicht Unrecht getan. Der Text der revidierten Richtlinie ist nicht schwach. Ein schwaches Bild gaben allenfalls die Mitgliedstaaten ab, die die Richtlinie nur sehr zögerlich und kaum in der vorgegebenen Frist umsetzen. Schwach war auch der Auftritt der Kommission, die ebenfalls viel zu zögerlich war, die Mitgliedstaaten an ihre Pflichten zu erinnern, die Umsetzung einzufordern und nötigenfalls Vertragsverletzungsverfahren einzuleiten. 
Viele Regelungen, die neu implementiert wurden, können dadurch auch vier Jahre nach der Verabschiedung in ihrer Wirkung nicht oder nur unzureichend bewertet werden. Die Einrichtung und gesetzliche Verankerung der ERGA als Zusammenschluss der nationalen unabhängigen Regulierungsbehörden muss als Erfolg gewertet werden. Sie hat zu einer verstärkten grenzüberschreitenden Zusammenarbeit geführt. Die ERGA wird daher zu Recht im künftigen Media Freedom Act zu einem board weiterentwickelt, das allerdings anders, als die Kommission es vorsieht, staatsfern und unabhängig von der Kommission als europäisches Instrument zur Förderung der Medienfreiheit und —vielfalt etabliert werden muss, ohne dabei unabhängige und gut funktionierende Systeme in den Mitgliedstaaten zu bevormunden.
Neu aufgenommen wurde auch die Vorschrift, die besagt, dass es in der Informationsflut, die uns online begegnet, die Möglichkeit geben muss, in redaktioneller Unabhängigkeit und professionell erstellte Medieninhalte von allgemeinem Interesse sichtbarer werden zu lassen. Die Umsetzung dieser Idee ist sicher hier und da eine Herausforderung, aber der Grundgedanke ist wichtiger denn je. Plattformen missbrauchen ihre ökonomische Macht als Gatekeeper zunehmend, um Medienmacht auszuüben, was zu einer Einschränkung von Vielfalt führt. Leider haben bisher nur wenige Mitgliedstaaten die Möglichkeiten der AVMD genutzt. 
Wir haben auch bei der Einstellung dieses Berichtes wieder leidenschaftlich über das Für und Wider von Quoten diskutiert. Durch die verzögerte Umsetzung kann heute aber nicht wirklich beurteilt werden, ob die Einführung einer Quote für europäische Werke auf Video-on-Demand-Plattformen den erhofften Schub für die europäische Filmwirtschaft gebracht hat. Hier bedarf es umfassender Untersuchungen, zu denen wir die Kommission auffordern. Eine Einschränkung der Definition europäischer Werke lehnen wir jedoch ab und fordern, eine Definition in der entsprechenden Europaratskonvention festzuhalten.
Ich bin völlig bei denen, die eine Vielfalt europäischer Werke fordern. Wir brauchen nicht nur viele europäische Werke, sondern auch viele erfolgreiche europäische Werke, die von einem möglichst breiten Publikum angenommen werden. Der Hollywood-Film wird sicherlich seine Anziehungskraft behalten. Aber wir wissen auch, dass Europäerinnen und Europäer sich europäische Geschichten wünschen, die näher an ihrer eigenen Lebenswelt sind.
Daher wünsche ich mir von uns allen, der Kommission, den Mitgliedstaaten, aber auch uns Abgeordneten mehr Mut und Entschlossenheit, um in einer modernen, offenen, freiheitsliebenden und inspirierenden EU-Medienlandschaft Wettbewerbsbedingungen zu schaffen, die uns als EU auch künftig im Filmgeschäft global eine starke Stellung sichern. Dafür brauchen wir neben Vorgaben und Verpflichtungen innovative europäische Ansätze.
Lassen sie uns gemeinsam diese Debatte faktenbasiert, unideologisch und ohne Scheuklappen beginnen – für mehr Vielfalt, für bunte, spannende, informative und das Leben der Menschen bereichernde Medieninhalte. Die AVMD ist dafür eine gute Grundlage, die es weiterzuentwickeln gilt. Wir brauchen eine sektorspezifische Regulierung, die den Besonderheiten der Medien als Kultur- und Wirtschaftsgut Rechnung trägt, einen europäischen Rahmen vorgibt, ohne in Gleichmacherei zu verfallen, und die den Spezifika und der Diversität der Medienlandschaften in den Mitgliedstaaten Rechnung trägt.
"
Petra KAMMEREVERT,2023-04-18,DE,Question Time (Commission) - Legacy of the European Year of Youth,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-239-0000_DE.html,"  Petra Kammerevert (S&D).   – Frau Präsidentin, liebe Kommissarin Gabriel! Die Lage in der europäischen Zusammenarbeit, gerade in der freiwilligen Jugendhilfe, verschlechtert sich zusehends. Auch daran hat das Europäische Jahr der Jugend nichts geändert. Durch COVID sind Strukturen geradezu zusammengebrochen und nur mit großem Mehraufwand wiederherzustellen. Kostenexplosionen erleben wir ebenfalls in diesem Bereich, und dadurch werden letztendlich Maßnahmen gerade in der Jugendhilfe, gerade für diejenigen, die sie besonders dringend brauchen, fast unbezahlbar. Fachkräftemangel kommt noch hinzu im ehrenamtlichen Bereich, aber vor allen Dingen auch bei den professionellen Mitarbeitern. Ehrenamt braucht professionelle Begleitung, und so verstärken sich die Löcher in der Jugendarbeit und in der Jugendhilfestruktur in ganz Europa. 
Nichtstun wäre, glaube ich, hier ein Armutszeugnis, gerade nach dem etwas verpatzten Europäischen Jahr der Jugend. Deshalb frage ich die Kommission: Was plant die Kommission, um diesen wirklich gefährlichen Entwicklungen gerade im Bereich der europäischen Jugendarbeit jetzt spürbar entgegenzuwirken?
"
Petra KAMMEREVERT,2022-11-24,DE,The European Year of Youth 2022 Legacy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-060-0000_DE.html,"  Petra Kammerevert (S&D).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Eine am Montag veröffentlichte Studie zeigt: Mehr als zwei Drittel der Jugendlichen sorgen sich um die Zukunft und bewerten die allgemeine Situation schlechter als jemals zuvor. Krieg in Europa, Inflation, Klimawandel, die Wirtschafts- und Energiekrise schaffen ein massives Gefühl von Unsicherheit; daran konnte auch das Europäische Jahr der Jugend nichts ändern.
Und wie vor einem Jahr stehe ich hier und erhebe dieselben Forderungen: Schaffen Sie endlich unbezahlte Praktika ab! Eine angemessene Vergütung für geleistete Arbeit ist eine Frage des Respekts und der Chancengerechtigkeit für junge Menschen. Ich will nicht, dass nur Jugendliche aus reichen Elternhäusern sich ein Praktikum leisten können. Und lassen Sie uns gemeinsam an Strukturen arbeiten, die dauerhaft eine spürbare Beteiligung junger Menschen sicherstellen!
Statt zu handeln, hat die Kommission es jedoch vorgezogen, mit einem Veranstaltungsmapping unter Beweis zu stellen, dass sie auch kartographisch tätig sein kann. Über 8 000 Aktivitäten wurden kartographiert – viele davon hätten sowieso stattgefunden. So diente diese Fleißarbeit eher der Selbstbestätigung. Das Jahr ging an den Jugendlichen weitgehend unbemerkt vorbei, ohne dass auch nur irgendwas für sie dabei herausgekommen wäre.
Deshalb fordern wir, das Jahr bis zum 8. Mai 2023 zu verlängern, um in der zusätzlichen Zeit endlich etwas zu liefern, das dem Jahr doch noch zum Erfolg verhelfen könnte. Legen Sie endlich einen Vorschlag zum Verbot unbezahlter Praktika vor und schlagen Sie wenigstens Ratsschlussfolgerungen zur Einbindung von Kindern und Jugendlichen in politische Entscheidungen auf allen Ebenen vor! Ein halbgarer Jugendtest, der eher einem betreuten Gesprächskreis ähnelt, als dass er wirkliche Mitbestimmung darstellt, interessiert niemand.
Lassen Sie uns gemeinsam an entsprechenden Maßnahmen bis zum 9. Mai arbeiten und diese auf den Weg bringen – ansonsten bleibt das Europäische Jahr der Jugend eine Farce.
"
Petra KAMMEREVERT,2022-10-20,DE,Cultural solidarity with Ukraine and a joint emergency response mechanism for cultural recovery in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-20-INT-4-012-0000_DE.html,"  Petra Kammerevert,  im Namen der S&D-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Der russische Angriffskrieg gegen die Ukraine verschärft die Not des finanziell bereits sehr fragilen Kultursektors. Die Folgen der COVID-Krise sind längst nicht überwunden. Steigende Energiekosten und Inflation sorgen für neue Probleme. Kultur ist aber mehr als der intellektuelle Genuss von Opern, Museen, Theatern und Musiksälen. Kultur bedeutet streiten, diskutieren, alarmieren. Kultur schafft öffentlichen Diskurs.
Aufgabe der Kulturpolitik ist es daher, Kultur in ihrer ganzen Vielfalt zu ermöglichen und sichtbar zu machen. Das Ausleben von Kultur im öffentlichen Raum ist die Gewährleistung des Menschenrechts auf Kultur und ermöglicht zugleich die kritische Auseinandersetzung mit politischen Entscheidungen und gesellschaftlichen Zuständen. Wird Kultur aus dem öffentlichen Raum verdrängt, wird dem Gemeinwesen insgesamt ein wichtiger Teil des öffentlichen Diskurses entzogen.
Diese kritisch-konstruktive Aufgabe werden aber nur Kulturbetriebe gut erfüllen können, die sich gewiss sind, sicher durch die Krisen zu kommen. Politik muss die finanzielle wie strukturelle Sicherheit geben, dass Kunst und Kultur etwas wagen, uns manchmal auch etwas zumuten können. Denn es ist nicht nur die ästhetisch anmutende, sondern eben gerade die engagierte und wertende, manchmal auch polarisierende Kultur, die uns als Gesellschaft weiterbringt. Deshalb brauchen wir schnelle, effektive nationale wie europäische Mechanismen, um diese Sicherheit zu gewährleisten. Wir haben hierzu einige Vorschläge gemacht.
Liebe Kolleginnen und Kollegen, mit gezielten Akten der Gewalt wie direkten Angriffen auf Stätten des kulturellen Erbes verfolgt die russische Armee das Ziel einer ukrainischen Identitätsdestruktion. Kulturschaffende und Journalisten in der Ukraine leben in ständiger Angst. Ich möchte hier an den vor einigen Tagen mutmaßlich von russischen Besatzern ermordeten Dirigenten der Philharmonie von Cherson, Jurij Kerpatenko, erinnern. Er starb vermutlich, weil er sich mit der russischen Propaganda nicht gemeinmachen wollte.
Unter den herrschenden Bedingungen kann Kultur nicht den Wert entfalten, der von so besonderer Bedeutung ist. Es muss gewährleistet sein, dass eine freischaffende ukrainische Kultur einen festen Platz in der ukrainischen Gesellschaft hat und nicht Putins Aggression zum Opfer fällt. Auch hierzu haben wir einige Vorschläge gemacht, wie wir helfen können.
Ja, Kunst und Kultur sind in der Geschichte schon oft politisch instrumentalisiert worden. Und ja, es gibt Künstlerinnen und Künstler, die den Angriffskrieg Putins verteidigen oder gar gutheißen. Aber wir sollten auch nicht vergessen: Kunst und Kultur sind oft genug auch Ausdruck von Widerstand gegen Unterdrückung. Es häufen sich offenbar auch in der EU Fälle, in denen Werke russischer Künstler aus den Bibliotheken entfernt werden, das Engagement von Dirigenten, Sängern, Balletttänzern beendet wird oder russische Schriftsteller ausgeladen werden.
Wir täten gut daran, keine Bekenntniskultur einzuführen. Solange sich Einzelne nicht aktiv für die menschenrechtsverachtende Politik Putins positionieren oder offen unsere freiheitliche demokratische Grundordnung ablehnen, darf ihnen weder aus ihrem Pass noch aus mangelnder politischer Haltung ein Nachteil erwachsen. Zur Freiheit gehört eben auch, sich politisch nicht zu positionieren. So wie wir die unbedingte Solidarität mit der Ukraine zeigen, müssen wir uns zugleich gegen eine Ausgrenzung von russischen Kunst- und Kulturschaffenden wehren, die diesen Angriffskrieg nicht befürworten. Mehr noch: Dostojewskij und Tschaikowski aus dem Repertoire zu verbannen ist nicht Ausdruck politischer Korrektheit, es ist schlicht Unsinn. Und wir sollten nicht vergessen: Kultur kann Brücken bauen – vielleicht nicht jetzt, aber hoffentlich in nicht allzu ferner Zukunft.
"
Petra KAMMEREVERT,2022-07-04,DE,Digital Services Act - Digital Markets Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-04-INT-1-127-0000_DE.html,"  Petra Kammerevert,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Herr Präsident! In beiden Verordnungen war es aus Sicht des Ausschusses für Kultur und Bildung notwendig, professionellen Journalismus zu stärken und die Verbreitung redaktionell verantworteter Inhalte zu schützen. Dies ist uns im DMA zum großen Teil gut geglückt. Mit seiner Hilfe können wir zukünftig verhindern, dass große Plattformen durch ihre jeweiligen Vertragsbestimmungen ihre marktbeherrschende Position ausnutzen – das dient unmittelbar dem Schutz der Presse- und Medienvielfalt.
Allerdings ist es uns im Digital Services Act nicht gelungen, von professionellen Journalisten erstellte, redaktionell verantwortete Medieninhalte, die bereits einer lückenlosen medienrechtlichen Kontrolle unterliegen, vollständig vor einem Zugriffs- und Kontrollrecht durch Plattformen zu schützen. Auch gehen aus meiner Sicht die Rechte, die der Kommission im Bereich der Inhaltekontrolle zugebilligt werden, unter dem Gesichtspunkt der Staatsferne entschieden zu weit.
Beides ist aus medienpolitischer Sicht, wie ich finde, eine mittelschwere Katastrophe. Medienfreiheit droht so ausgehöhlt zu werden. Wir dürfen durch EU-Recht den Wert des professionellen, vielfältigen Journalismus in der Presse, im Rundfunk sowie online nicht relativieren oder gar ignorieren.
Das Gegenteil von „gut“ ist „gut gemeint“. Das sollte sich die Kommission bei ihren Vorschlägen zum Media Freedom Act zu Herzen nehmen.
"
Petra KAMMEREVERT,2022-05-04,DE,Discharge 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-117-0000_DE.html,"  Petra Kammerevert,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Frau Präsidentin! Der Kulturausschuss hat für die Entlastung des Kommissionshaushalts der GD Bildung und Kultur sowie des Übersetzungszentrums für die EU-Institutionen Stellungnahmen abgegeben und beiden Einrichtungen eine korrekte Haushaltsverwendung bescheinigt, während aber auch Details zur Optimierung benannt wurden. 
Ich bedanke mich für die Arbeit der Generaldirektion und des Übersetzungszentrums. Mit Blick auf die Pandemie war das alles andere als gewöhnlich und auch nicht immer einfach. Und der Bildungs- und Kultursektor steht bis heute vor gewaltigen Herausforderungen. An diesen arbeiten jedoch alle sehr diszipliniert und leistungsorientiert zusammen. Bei aller Kritik soll dieses Lob hier nicht unerwähnt bleiben. 
Mit Blick auf die Internetpräsenz der Kommission wird immer häufiger der Versuch unternommen, bürgernäher zu werden, Erklärungen zu Vorschlägen zu liefern, Aktionswochen vorzubereiten und kurze Videos anzubieten. Das ist gut, aber es dominiert deutlich das Englische. Die Menschen vor Ort fühlen sich dadurch nicht unbedingt angesprochen. Ich glaube, gerade was die Sprachenvielfalt angeht, gibt es hier deutlichen Verbesserungsbedarf. Wenn wir hier den öffentlichen Raum mitgestalten wollen und wollen, dass Menschen mitgestalten, dann müssen wir sie in ihren Sprachen abholen. 
"
Petra KAMMEREVERT,2022-03-08,DE,Foreign interference in all democratic processes in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-08-INT-2-075-0000_DE.html,"  Petra Kammerevert (S&D).   – Frau Präsidentin! Der vorliegende Bericht könnte kaum aktueller sein. Während er die Desinformation in der EU auch durch ausländische Regimes aufdeckt und klar benennt, zeigt er aber gleichzeitig auch auf, wie wir jenseits von – aus meiner Sicht – unüberlegten Schnellschüssen wie Verboten und Sperren wirksam gegensteuern können.
Wir haben dringenden Nachholbedarf bei der digitalen und medialen Bildung, und der Bericht hebt zu Recht die Bedeutung pluralistischer, vielfältiger und unabhängiger Medien hervor. Wollen wir unsere Demokratie schützen, so müssen wir mehr tun für Medienkompetenz und zur Stärkung von unabhängigem Journalismus in Presse, Rundfunk, Fernsehen und online. Nur so können wir eine liberale Medienordnung verteidigen.
Eine solche wird sich ohne weiteres staatliches Eingreifen als wehrhaft erweisen. Einer starken und liberalen Medienlandschaft gelingt es ganz von selbst, Stumpfsinn und Schwachsinn aufzudecken und zutreffend einzuordnen. Zum Schutz unserer Demokratie die Medienfreiheit zu opfern, wäre ein schwerer Fehler, denn das eine ist nicht ohne das andere zu haben.
Herzlichen Glückwunsch zum Bericht, aber bitte lassen Sie uns gemeinsam daran arbeiten, die Erkenntnisse jetzt auch in Taten umzusetzen.
"
Petra KAMMEREVERT,2022-02-16,DE,"One youth, one Europe (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-16-INT-3-164-0000_DE.html,"  Petra Kammerevert (S&D).   – Herr Präsident! Zwei Drittel der jüngst befragten 15- bis 24-Jährigen halten die EU für ein gutes Zukunftsprojekt. Gleichzeitig finden drei von vier Menschen die Zukunft insgesamt beängstigend. Selten waren junge Menschen derart hoffnungslos wie heute. Ich finde, das darf uns nicht kalt lassen.
Wir müssen jungen Menschen neue Perspektiven eröffnen, und das mittels Bildung im weitesten Sinne. Das fängt schon bei den Kleinsten an: Wir brauchen endlich mehr Engagement für einen EU-weiten kostenfreien Zugang zu qualitativ hochwertiger frühkindlicher Bildung.
Die Pandemie hat uns gezeigt, wie wichtig der Ort Schule für die Entwicklung der gesamten Persönlichkeit ist. Die Aufwertung des Lehrerberufs, gute Entlohnung sowie kontinuierliche Weiterbildung bleiben genauso eine Herausforderung wie die EU-weite Schaffung von Ganztagsangeboten, die sinnvolle Einbindung von Partnern außerschulischer Bildungs- und Jugendarbeit, das Aufwerten der Fächer Kunst, Musik und Sport, der besondere Schwerpunkt auf MINT, der Sprachenerwerb. Die Hausaufgabenliste ist lang!
Schule als einen Ort zu gestalten, der Spaß macht und der auch in schwierigen Zeiten offen ist, das bleibt eine Herkulesaufgabe. Wir gehen sie aber immer noch viel zu zaghaft an. Die europäische Sozialdemokratie fordert schon lange, dass zehn Prozent des Bruttoinlandsprodukts in den Mitgliedstaaten in Bildung investiert werden. Das sollten uns die Kinder wert sein, und das wäre gut angelegtes Geld.
Das Engagement der Kommission im Hochschulbereich ist richtig. Eines genauso großen Engagements bedarf es aber in der beruflichen Aus- und Weiterbildung. Berufsausbildung muss genauso wertgeschätzt werden wie ein Studium. Uns fehlt es an gut ausgebildeten Fachkräften im gesamten Berufsspektrum. Hier braucht es ein gesamtgesellschaftliches Umdenken.
Und schließlich müssen die Länder endlich davon wegkommen, gegen eine automatische gegenseitige Anerkennung von im Ausland erworbenen Abschlüssen und Lernzeiten zu sein. Das muss aufgegeben werden. Die Bremse in der Mobilität können wir uns schlicht nicht mehr leisten. Das Jahr der Jugend muss ein Weckruf sein, alles dafür zu tun, dass jeder den sozialen Aufstieg durch Bildung schaffen kann, und zwar ohne Rücksicht auf den Geldbeutel der Eltern.
"
Petra KAMMEREVERT,2022-01-19,DE,Digital Services Act (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-01-19-INT-3-149-0000_DE.html,"  Petra Kammerevert (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Der DSA ist eine gute Chance, Rechte von Nutzerinnen und Nutzern zu stärken, das heißt, echte Verbesserungen für das demokratische Leben, das mehr und mehr online stattfindet, zu erreichen sowie gleichzeitig die Medienfreiheit zu stärken.
Ersteres hat gut geklappt – hier wurde sehr viel erreicht. Herzlichen Dank dafür an Christel Schaldemose als Berichterstatterin! Das zweite hingegen ist nicht gelungen und aus medienpolitischer Sicht eine mittelschwere Katastrophe. Es hat sich mal wieder gezeigt, dass es uns insgesamt nicht voranbringt, wenn der Kultur- und Medienausschuss nicht ausreichend an Gesetzen im digitalen Bereich beteiligt wird.
Keine einzige unserer Forderungen wurde übernommen, und so richtet der Text für den Journalismus und die Medien eher Schaden an. Nicht nur verfestigen wir hier die Stellung großer Plattformen, im Zweifel an ihrem Profit orientiert zu entscheiden, welche professionellen Medien- und Presseinhalte Teil unserer demokratischen Debatten in Europa sind. Die Position des Parlaments übergeht auch völlig die Zuständigkeit der Mitgliedstaaten in den Bereichen Kultur, Medien und Vielfaltsförderung, und ich glaube, Vielfaltsförderung – die Vielfalt von Medien und die Freiheit von Medien – ist eines der besten Mittel, um Desinformation und Fake News zu bekämpfen.
Ich möchte hier alle im Haus eindringlich bitten, sich von einzelnen Kampagnen auch nicht verrückt machen zu lassen und für Änderungsanträge zu stimmen, die professionell erstellte Medieninhalte schützen. Mein Gefühl ist, dass Änderungsanträge nicht verstanden oder gar nicht erst gelesen werden. Viele Argumente haben mit den Änderungsanträgen, die tatsächlich zur Abstimmung stehen, überhaupt nichts zu tun.
Ja, der CULT-Ausschuss hatte sich eine weitgehende Medienausnahme gewünscht, die redaktionell verantwortete Inhalte, die schon einer vielfältigen Aufsicht und Kontrolle unterliegen, vor Löschung schützt. Das hat im IMCO-Ausschuss aber keine Mehrheit gefunden; das müssen wir akzeptieren.
Die jetzt vorliegenden Änderungsanträge 511 und 513 zielen daher einzig und allein darauf ab, dass Plattformen in ihren Geschäftsbedingungen die Medienfreiheit achten und Medienanbietern ein Anhörungsrecht bei Entscheidungen über die Löschung und das Sperren von Inhalten einräumen. Das sollte eigentlich eine Selbstverständlichkeit sein, das ist aber bei weitem nicht genug. Aber das muss das Mindeste sein, was im DSA steht. Daher bitte ich Sie alle eindringlich, diesen beiden Änderungsanträgen zuzustimmen.
Und zuletzt muss ich noch sagen, dass mich die Scheinheiligkeit einiger Fraktionen in diesem Haus, wenn es um Medienfreiheit geht, nur noch einigermaßen fassungslos zurücklässt. „Im Zweifel für die Freiheit der Medien“ scheint in diesem Haus nicht mehr unbedingt an erster Stelle zu stehen.
"
Petra KAMMEREVERT,2021-12-14,DE,Digital Markets Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-12-14-INT-2-014-0000_DE.html,"  Petra Kammerevert,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Frau Präsidentin, liebe Kolleginnen und Kollegen! So sehr ich die Grundidee des DMA uneingeschränkt begrüße, Gatekeepern von vornherein Geschäftspraktiken zu verbieten, die sich vielfaltsgefährdend auswirken, muss ich gleichermaßen feststellen, dass die vorliegende Positionierung des Parlaments die Auswirkungen auf den Medienbereich nicht ausreichend berücksichtigt. 
Trotz aller Versprechen an den Kulturausschuss wirkt sich das Abspeisen mit einer einfachen Stellungnahme am Ende schädlich für den Medien- und Kulturbereich aus. Es mangelt an einer deutlichen Abgrenzung zur Richtlinie über audiovisuelle Mediendienste in den Artikeln und der Klarstellung, dass die DMA-Regelung die AVMD nicht beeinträchtigt. 
Zudem fehlt im Artikeltext die ausdrückliche Erlaubnis für die Mitgliedstaaten, vielfaltsichernde Maßnahmen im Medienbereich ergreifen zu können. Qualitätsjournalismus und vielfältige Medien sind unabdingbar für unsere Demokratie und außerdem eines der wirksamsten Mittel gegen Desinformation und Fake News. Auch Connected TV hat aus meiner Sicht im Text nichts zu suchen, zumal es sich hierbei schon begrifflich um die Beschreibung eines Geräts und nicht eines Dienstes handelt. 
Es bedarf insgesamt aus meiner Sicht im Trilog noch viel Detailarbeit, wenn man Interoperabilität, Abgrenzung zu Medien, Regeln zum Datenteilen und Datenschutz in eine optimale Balance setzen will. Ich hoffe sehr, dass auch für diesen Trilog gilt: Gründlichkeit vor Schnelligkeit. Ich wünsche allen Verhandlern viel Erfolg.
"
