MP,Date,Language,Title,Url,Content
Philippe LAMBERTS,2023-12-13,FR,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-016-0000_FR.html,"  Philippe Lamberts,  au nom du groupe Verts/ALE. – Madame la Présidente, chers collègues, les choix que les 27 chefs d’État ou de gouvernement de l’Union européenne feront ensemble demain seront décisifs pour notre avenir à tous. Sans un sursaut collectif, je vous invite à imaginer ce qui se profile à l’horizon.
Imaginez qu’ils ne parviennent pas à accorder à l’Ukraine l’ouverture des négociations d’adhésion alors que ce pays paie de son sang la défense des valeurs sur lesquelles notre Union est construite. Imaginez que, succombant au délire obsessionnel des fondamentalistes religieux du «zéro déficit», ils se condamnent mutuellement à l’austérité budgétaire permanente et, avec eux, l’Union européenne, à laquelle eux-mêmes ne cessent de confier sans cesse plus de missions. Imaginez que, dans leur recherche éperdue de l’unanimité, ils abandonnent définitivement les principes cardinaux de l’état de droit et de la démocratie au profit de ceux qui, en leur sein, ont choisi le chemin de l’autocratie et de la corruption. Imaginez alors les conséquences de cette triple désertion.
Ses fondations mises à mal, l’Union européenne et ses États membres se trouveront, de leur propre fait, privés des moyens indispensables à la fois pour assurer notre cohésion sociale et pour investir dans notre avenir, à commencer par la lutte contre le bouleversement climatique, clé de notre prospérité collective.
Instrumentalisée par les chantres du nativisme et de la préférence nationale, cette austérité imposée par Bruxelles conduira à coup sûr un nombre croissant de nos concitoyens à donner leur voix aux nationaux populistes de tous bords. À nos frontières, l’Ukraine sera inéluctablement condamnée à céder à l’agresseur, privée du soutien politique, matériel et financier indispensable à son combat existentiel, qui doit rester le nôtre.
L’Union européenne aura alors fait le choix de sa propre paralysie. Elle se sera elle-même condamnée à la division et aura saboté sa capacité d’agir sur le présent et de se forger un avenir. En bref, elle qui se voulait géopolitique aura tout simplement sacrifié sa souveraineté, et cela, au profit de dictateurs et autocrates de ce monde, à commencer par Vladimir Poutine et, s’il devait être réélu, Donald Trump, qui, avec tous leurs amis, seraient trop heureux de pouvoir passer l’Union européenne par pertes et profits et de faire de ses États membres leurs jouets.
J’en appelle donc aux hommes et aux femmes d’État dans la salle du Conseil: ne laissez pas cette fiction devenir réalité. Ne sous-estimez pas la gravité des défis que nous devons relever ensemble. Ne cédez pas au chantage. Défendez sans faiblesse l’état de droit. Soutenez l’Ukraine dans son combat contre Poutine et pour l’accès à notre communauté de valeurs. Donnez-vous les moyens d’investir pour faire en sorte que la planète reste habitable et assurer à toutes et tous les conditions d’une vie digne.
Chers collègues, la pandémie et la guerre ont raffermi, au sein de nos sociétés, la conscience que nos sorts sont liés. La plupart de nos concitoyens sont convaincus que seules notre solidarité et notre cohésion sont à même de nous assurer les conditions d’une existence digne et d’offrir aux citoyens du monde entier la perspective d’un partenariat fécond avec nous.
Alors, je vous en conjure, vous les membres du Conseil européen, ne galvaudez pas cette confiance. Soyez à la hauteur des enjeux. Gardez le cap qui a été le nôtre ces dernières années. L’histoire, notre histoire, reste à écrire et elle a besoin de véritables leaders. 
"
Philippe LAMBERTS,2023-11-22,EN,"This is Europe - Debate with the Prime Minister of Bulgaria, Nikolay Denkov (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-076-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, Mr Prime Minister, we were born actually – Mr Prime Minister, I know that Mariya Gabriel is more attractive to you than me, because she’s your partner in government! – we were born actually six months apart. And when we were born, we were separated, you and I, by an iron curtain. And it remains to me a deep joy to see that our two countries are now part of the same Union. And it’s a Union, as you said, of choice of freedom and based on rule of law. 
And like you, and maybe you didn’t say it explicitly, but I really resent when some European politicians are comparing the European Union to the new Soviet Union or to a renewed Third Reich, where we would be submitted by force. We all chose freely to be part of that Union, and that remains a source of pride. And let no one believe that the European Union is a repetition of the past failures in Europe.
The second thing I want to say is that I totally agree with you when you say that what is happening in Ukraine is basically the defence of the values on which the European Union has been built. This is our struggle, and I must say that yes, it entails efforts from the Members of the European Union to help Ukraine, but frankly speaking, they are putting their lives on the line. We are just putting part of our wealth to help them, and I think that’s the least we can do.
The third thing where I agree with you is that yes, the European Union is a union freely chosen, but it has to be merit-based. And there again, when the merits are there, the decision should follow. Yes, Bulgaria and Romania must be part of Schengen. And for citizens this is probably, with the common currency, the most emblematic meaning of what it means to be part of the European Union. So full support for that.
I will finish with the values you mentioned a lot, the conservative and liberal values. And then the green in me said, ‘hang on one second, yes, the conservatives and the liberals have brought a lot to Europe, but I think that there’s more to European political diversity and values diversity than just those two families’. I think that the left has brought these values of social justice, and that lies at the heart of the European Union.
And I would finish with the thing that was most absent from your speech. Well, you know, if you and I and our kids and grandkids will live in the 21st century and beyond, well, it will be because we have been able to protect this planet as our common home. And indeed that lies as well at the heart of the values of the European Union, making sure that indeed, the planet on which we live will be welcoming us for generations to come.
"
Philippe LAMBERTS,2023-10-18,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-013-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, nothing, absolutely nothing, can justify the barbaric acts committed by Hamas – deliberately killing civilians, taking children, women and men hostage. What this terrorist organisation committed are crimes against humanity, in line with its chief goal: the obliteration of Israel. We condemn them in the strongest possible terms, and I stand here, in the name of the Greens/EFA, in full solidarity with the victims and their loved ones.
As well put by US author Frank Herbert. ‘atrocity has no excuses, no mitigating arguments. Atrocity never balances or rectifies the past. Atrocity merely arms the future for more atrocity.’
Yes, Israel has the right and duty to defend its citizens, in full compliance with international humanitarian law. This means that the response to crime cannot be more crime, and that the atrocities suffered do not provide a permission for revenge. Israel’s legitimate fight against Hamas is turning into the collective punishment of 2 million Gazans, and half of them are children. Trapped under an illegal siege, they are either forced into an impossible relocation or risk being killed by Tzahal’s attacks, as more than 3 000 were already. No less than Israeli victims, Palestinian victims deserve our full solidarity.
Dear colleagues, the world is staring into the abyss. The European Union must stand united in calling for an immediate ceasefire, so as to allow the creation of humanitarian corridors and the safe and unconditional return of hostages. We must be unanimous in our efforts to demand the respect of international humanitarian law by all actors. We must collectively step up our efforts to relaunch a political process that will make a two-state solution viable. There is no other choice if we want Israelis to live in security, if we want Palestinians to live in dignity and if we are serious about ensuring their coexistence.
For there will be no peace until terrorist organisations such as Hamas are neutralised. There will be no peace as long as Palestinian territories are illegally occupied, and Palestinians’ rights denied and their resources confiscated. There will be no peace until democratic institutions are firmly restored and anchored. There will be no peace until Palestinians and Israelis are both free to live, speak, move, work, love as they wish in safety, regardless of their origins and beliefs.
Chers collègues, pour conclure, comme le dit la romancière israélienne Zeruya Shalev, il faudra que, «lorsque les canons se seront tus, apparaissent clairement les seules divisions possibles au Moyen-Orient. Non pas entre les Juifs et les Arabes, mais entre les modérés et les extrémistes, entre les pragmatiques et les fanatiques. Puissions-nous unir nos forces, nous qui prônons la vie et les concessions contre notre ennemi commun. Perspective qui semble bien lointaine aujourd’hui, mais à quel autre espoir nous raccrocher?»
"
Philippe LAMBERTS,2023-10-04,FR,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-014-0000_FR.html,"  Philippe Lamberts,  au nom du groupe Verts/ALE. – Monsieur le Président, illégaux, clandestins, flux migratoires, appel d’air, protection des frontières, refoulement, ordre de quitter le territoire. Tant de mots froids et aseptisés qui délimitent aujourd’hui encore les contours du débat sur l’asile et l’immigration. Des mots qui classent, trient, excluent et qui finissent par occulter la violence inouïe infligée à des personnes qui cherchent pourtant notre protection.
La réalité, c’est que des enfants, des femmes, des hommes meurent chaque jour aux frontières de l’Europe parce que nous leur refusons la dignité. Être forcé de quitter sa maison à cause de la guerre, des persécutions, de l’épuisement des ressources, d’un climat devenu invivable, voilà quelque chose qu’aucun d’entre nous ne souhaite vivre. Si nous étions dans de telles situations, chacun d’entre nous ferait exactement la même chose. Nous serions tous des exilés et vous le savez.
L’asile et la migration sont des sujets complexes qui ne se prêtent pas à des réponses simplistes. Pas plus que l’ouverture généralisée des frontières, l’Europe forteresse n’est une solution viable à ce défi. Or, c’est bien celle que l’Union a de facto choisi depuis 2015 et qu’elle s’obstine à traduire dans son droit avec le pacte asile et migration en cours de discussion. Désormais, il n’est question que d’empêcher les départs, de renforcer les frontières, d’enfermer les arrivants, de les renvoyer dans leur pays d’origine avec le concours d’États autocratiques, dictatoriaux ou tout simplement faillis. Et le tout noyé dans une perversion du langage par laquelle l’armement de milices destinées à capturer des exilés devient le soutien aux garde-côtes chargés de sauver des vies en mer.
Chers collègues, la question qui se pose à nous est triple. Premièrement, il s’agit de savoir si l’Union européenne a une part de responsabilité, je dis bien une part de responsabilité, dans les causes qui forcent des personnes à s’exiler. Pour nous, la réponse est oui et c’est la raison pour laquelle nous sommes moralement tenus d’assumer notre part de responsabilité dans l’accueil.
Ce qui m’amène à la deuxième question: l’Union européenne en a-t-elle encore les moyens? Pour nous, s’il est incontestable, comme Manfred Weber l’a dit, qu’un certain nombre d’États membres ont déjà beaucoup fait, ce n’est pas le cas de tous. Collectivement, nous pouvons faire plus et mieux.
Enfin, notre Union dispose-t-elle des ressources humaines nécessaires pour faire face aux défis du XXIe siècle, à commencer par la transition écologique? Notre conviction est que celles et ceux qui cherchent refuge chez nous ne sont pas une charge, mais qu’ils peuvent au contraire contribuer fortement à notre bien-être collectif. En se barricadant depuis le Brexit, le Royaume-Uni en fait à rebours la pénible expérience.
Un véritable pacte asile et migration doit donc combiner l’établissement de chemins sûrs et légaux d’arrivée avec une répartition équitable des exilés entre les États membres. C’est ainsi que nous casserons le «business model» des trafiquants d’êtres humains. Et si l’Union veut réellement tarir les raisons des départs, elle doit accélérer son action climatique et revoir de fond en comble ses relations politiques, économiques et sécuritaires avec les pays de départ, de manière à ce que ceux-ci demeurent vivables pour ceux qui y vivent.
Chers collègues, la manière dont l’Union européenne traite à ses frontières les exilés est le déni le plus flagrant de ses propres valeurs, à commencer par le respect de la dignité humaine. Il ne faut pas chercher plus loin la principale raison de la perte de crédit de l’Union européenne dans le Sud global, en particulier en Afrique. Alors, à rebours du fanatisme et de l’indifférence dénoncés récemment par le pape François, je nous invite à nous hisser collectivement à la hauteur de notre devoir d’humanité et de civilisation. 
"
Philippe LAMBERTS,2023-09-13,EN,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-015-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, President von der Leyen, dear colleagues, it is not without emotion, having been in this Parliament for 14 years, that I am taking part today in my last State of the Union debate. For ten years, I witnessed the European Union blinded by economic orthodoxy, deaf to the social and climate emergencies.
But 2019 marked the turning point. For the first time in its history, the European Union made the fight against climate change a top priority. And against all odds, the European Green Deal withstood the pandemic and the war that rocked the European Union. Each time it was put front and centre in our response. We owe very much of this to you, Madam President, to your vision, your persistence, and your leadership.
Unsurprisingly, those who never embraced the European Green Deal in the first place are now calling for a pause, a moratorium to weaken its ambition in the name of protecting our competitiveness, if you see what I mean. To them, I say this: we are not above nature. Humanity is part of nature. Whether we like it or not, there are limits to what our planet can take and to what it can give. 
Respecting those limits is not the Greens’ hobbyhorse. It is a question of survival. And this struggle for survival, all too many European citizens are now seeing first hand. Can you imagine a Greek firefighter walking away from the raging inferno or a rescue worker when floods hit Slovenia saying: ‘let’s take it easy’? No, they are giving everything they have to get these climate events under control. We owe it to them and to every citizen caught up in the extremes unleashed by climate change to act with all we have. We have waited for too long.
So stand firm, Madam President! We cannot content ourselves with just implementing what has already been decided, which in itself is not enough to meet the 1.5-degree warming target. So much remains to be done.
Instead of carbon sinks, our agriculture and forestry have become net carbon emitters. Our land, water and air are so polluted by forever chemicals, heavy metals, fine particles, plastics that they are causing massive death and disease. And this leads to a collapse in biodiversity, which endangers our lives and livelihoods.
But as you said, Madam President, the ecological transition is not just a necessity. It is the single biggest economic opportunity for Europe. Shying away from it would make us followers, also-rans, condemned to import the solutions we need from the rest of the world. The key to competitiveness, dear colleagues, is for economies to embrace the green transition, to support entrepreneurs who want to lead it and to ditch the rent-seekers. This is the surest route to EU prosperity.
La viabilité politique du pacte vert pour l’Europe dépendra cependant de notre capacité à demander plus à ceux qui ont le plus et moins à ceux qui ont le moins. Car s’il y a des limites à ce que nous pouvons faire subir à la planète, il y en a tout autant aux injustices que nos sociétés peuvent tolérer. Crise financière, crise de l’euro, pandémie, guerre en Ukraine, crise énergétique, ce sont à chaque fois les citoyens ordinaires qui passent à la caisse pendant que les détenteurs de capitaux accumulent sans relâche. Même Christine Lagarde le dit, le gros de l’inflation actuelle est dû au gonflement abject – mon adjectif – des profits des grandes entreprises.
Vous m’objecterez sans doute, Madame la Présidente, que les grands leviers de la justice sociale et fiscale sont du ressort des États membres, et c’est vrai. Mais si, par le passé, la Commission européenne a su pousser nos gouvernements à adopter des réformes injustes, elle peut tout autant aujourd’hui les inciter à faire ce qui est juste. Elle dispose de moyens d’action directe. Prenons le cas du logement. La plupart des jeunes ne savent plus se loger dans les villes où ils travaillent. En cause, la spéculation causée par la financiarisation du secteur immobilier. Bonne nouvelle: la régulation financière est une compétence de l’Union. Qu’attendez-vous donc pour agir sur ce front explosif? Pas plus que la nature, les biens communs ou l’énergie, le logement ne peut être un simple actif financier laissé aux aléas du marché.
Si la transition écologique et solidaire doit être notre projet fédérateur, ne perdons jamais de vue que notre Union est d’abord une communauté de valeurs. Or, partout en Europe, les libertés fondamentales sont en danger, que ce soit la remise en cause des droits des femmes, le sous-financement et la mise sous tutelle de la justice, l’hyper-concentration des médias, l’espionnage de journalistes, d’activistes, de leaders politiques ou encore les violences policières à l’encontre de manifestants et de personnes racisées. Madame la Présidente, malgré les pressions juridiques et financières que vous avez exercées sur deux États membres, les dérives se poursuivent et s’accentuent. En tant que gardienne du droit européen, la Commission va devoir redoubler d’efforts, et pas seulement à l’égard de la Pologne ou de la Hongrie.
Speaking of fundamental values, the one that comes first in Article 2 is human dignity, and there is no greater denial of this fundamental value than the way we treat people seeking protection from us. 
Today, European asylum policy boils down to making Europe a fortress and relying on autocrats, dictators and failed states to keep refugees and migrants away from our shores. This has made smugglers rich and turned the Mediterranean into a mass grave. And I’m afraid, Madam President, that I don’t share your optimism. The EU’s pact on asylum and migration does not fundamentally change this deadly logic. Our Union has a duty, a responsibility and I would even say a need to take its fair share in welcoming forcibly displaced people. And it can, if we only harness our collective capabilities. Our moral credit is at stake, not least in Africa. 
For decades, the fear of migration has been instrumentalised by the far right. And now it seems that the fight against climate change has become their new target. But what concerns me even more, Madam President, is the fact that a growing number of your party colleagues are embracing the same strategy, the same language, in the hope, probably, of bringing voters back into the EPP fold. 
Several EPP member parties are considering or have chosen to form coalitions with far-right parties, and some of their representatives were not even ashamed to admit to me that they ‘share so much with them’ in terms of values and programmes. 
So, in the name of the Greens/European Free Alliance, I appeal you: don’t let Robert Schumann’s party drift away from its values – the values on which the European Union was founded. 
Chers collègues, et c’est ma conclusion, la pandémie et la guerre sur fond de bouleversement climatique, ont convaincu la majorité de nos concitoyens que ce n’est qu’ensemble, que nous, Européens, pourrons relever les défis de ce siècle. L’Union européenne a retrouvé crédit à leurs yeux, au point que même ceux ici – ils ne sont plus très nombreux, d’ailleurs – qui plaidaient la sortie de leur pays n’oseraient plus le faire ouvertement aujourd’hui.
À nous de consolider cet acquis en gardant le cap et en nous assurant que les efforts seront justement répartis. C’est à ce prix que notre union sera un espace de paix et de liberté, à la prospérité à la fois partagée et durable. Nos concitoyens, et en particulier une jeunesse légitimement anxieuse de son avenir, n’en attendent pas moins de nous. Sachons susciter et garder leur confiance.
"
Philippe LAMBERTS,2023-09-13,EN,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-095-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, I think we share your idea that indeed, we need to deepen and to widen the European Union, but we cannot use that as an excuse to keep people waiting longer than needed. It has to be merit-based, but only merit-based. Now, the thing is, if Ukraine would join today, all 27 Member States except one would be net contributors to the EU budget. I hope that this will make Member States realise that we need the European Union to be funded by its own resources and I hope it will dawn upon them that that’s the only way to keep it going. And, well, we can do that without treaty revision, you know, and I will quote Vladimir Ilyich Lenin: when there’s the will, there’s a way.
"
Philippe LAMBERTS,2023-07-11,EN,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-049-0000_EN.html,"  Philippe Lamberts (Verts/ALE),  blue-card question. – Mr Torvalds, you know I respect you a lot. You mentioned Finland. The nature of Finland is not being destroyed. The entire climate strategy [speaks off mic] Okay. What you mean is that, basically, Finland does not have the same problem as the Netherlands, I agree, it’s a different country, but the entire climate strategy of your country is predicated on your forests absorbing 20 million tons of carbon every year. And the way they are exploited today means that they emit carbon instead of absorbing it. You have to solve this. 
"
Philippe LAMBERTS,2023-06-13,EN,"This is Europe - Debate with the President of Cyprus, Nikos Christodoulides (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-078-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, I’d like to welcome President Christodoulides to the European Parliament. I really appreciate these opportunities that we have to debate on the future of Europe with members of the European Council, because I’m one who believes that Parliament and Council have to work closely together. That’s the only way to achieve success here. 
Cyprus enjoys a privilege that actually no other Member State has and that is to have parts of its territory militarily occupied. And it is not a privilege, it is really a plague. And there I must commend your efforts and your determination. You deserve the solidarity and the engagement of the European Union to achieve a peaceful reunification of the country under international law – you have the full support of the Greens/EFA Group in order to achieve this. 
There is a second point where I do believe Cyprus needs the solidarity and engagement of the European Union and thus indeed on asylum and migration. Yes, countries such as yours really carry a more than proportionate part of the effort of welcoming people. And indeed we cannot let countries at the borders, and especially the southern borders of Europe, alone in that. 
But, frankly speaking, the asylum and migration pact that is currently being discussed, in our view, is not the kind of solidarity and engagement that you need, because yes, Manfred, I agree that not everyone has the right to live in Europe. No, we cannot welcome the entire humanity here. But Europe has also a responsibility towards asylum seekers, but also in the causes that force people to migrate. And there I believe that Europe can do more. We cannot be just a fortress against the rest of the world. 
Now there two aspects where I would like to see engagement and solidarity from Cyprus towards the rest of the European Union. The first is, you know, this music of dirty money hovering around Cyprus, these golden passports granted to – guess who – Russian oligarchs. We need to root that out. No, EU’s citizenship is not for sale. And making friends with such oligarchs, well, you look what the Russian regime is capable of, I would say Cyprus should know better and really fight against that kind of dirty money. 
Finally, that’s a green transition. And yes, I heard you praising the opportunities for the green transition, but I also heard you a lot speaking about oil and gas. And, frankly speaking, in 2023, oil and gas cannot play a crucial role in the transition. We need really to embrace the green transition, not just as a necessity but as an economic opportunity for all of us. So we count on you for that. 
"
Philippe LAMBERTS,2023-05-31,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-057-0000_EN.html,"  Philippe Lamberts,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, I think it’s a very good thing that this Parliament has tackled the issue of foreign interference and disinformation seriously. We already adopted one report on it, there is a second one coming, and as we could see a few minutes ago, these issues are sensitive issues, not easy ones to deal with because, of course, they put in tension different aspects of democracy in terms of freedom of speech, but also restrictions that can be applied to them. And so we cannot just go about voting on such an important text without giving the possibility of the real sovereign – that is the plenary of this assembly – to discuss potential amendments to make this text better.
So my plea to you is that, yes, we have the debate on the text today – well, in this session, I don’t know if it’s today or tomorrow – and we vote the report in the June session allowing for this assembly to table and discuss amendments to make it better.
"
Philippe LAMBERTS,2023-05-09,FR,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-016-0000_FR.html,"  Philippe Lamberts,  au nom du groupe Verts/ALE. – Monsieur le Président, chers collègues, depuis 25 ans, sous couvert de rationalité économique, l’austérité est érigée en dogme en Europe. Un dogme avec ses apôtres qui se posent en gardien de la bonne gestion, ces fétiches qui prennent la forme de ratio de déficit et de dette qui n’ont aucune base scientifique, et bien sûr sa morale qui exalte le sens de l’effort et du sacrifice collectif. Effort et sacrifice collectif, dites-vous? Mais au profit de qui?
Comme souvent, le dogme n’est pas neutre. Il sert les intérêts de quelques-uns au détriment du plus grand nombre. Car la réalité est que l’austérité a toujours été appliquée de manière sélective en Europe. D’un côté, les prêtres de l’orthodoxie budgétaire ont voulu systématiquement couper dans les investissements publics, dans l’enseignement, dans la santé, et vendre au privé le patrimoine public. De l’autre, de la crise financière à la guerre en Ukraine en passant par la pandémie: c’est un pognon de dingue. Je veux dire un paquet d’argent public dont les mêmes arrosent sans conditions et sans barguigner le «big business». En témoignent les superprofits de secteurs comme les énergies fossiles et la finance.
Cette austérité sélective provoque une double injustice, à la fois sociale et climatique. Elle augmente le niveau d’endettement public pour in fine enrichir les rentiers du système sans que cela bénéficie au plus grand nombre de nos concitoyens ni de la planète. Le véritable enjeu, ce n’est donc pas de choisir son camp entre les prétendus frugaux et les dépensiers, entre les supposés vertueux et les débauchés. Non. La seule question valable à poser est: à quoi doit servir notre dette publique? Doit-elle financer les énergies fossiles, les sauvetages bancaires, les cadeaux fiscaux aux plus riches ou, au contraire, lutter contre le péril climatique, rendre nos sociétés plus justes et plus résilientes dans le monde incertain qui est le nôtre?
C’est le deuxième choix que nous faisons chez nous, chez les Verts. C’est la raison pour laquelle nous voulons une refonte en profondeur des règles budgétaires. Premièrement, nous appelons à désactiver la règle du déficit qui n’a aucune valeur scientifique. Ce qui compte n’est pas tant le chiffre du déficit que l’utilité publique, y compris économique, des dépenses qu’il permet de financer. Deuxièmement, nous proposons que la soutenabilité de la dette soit désormais évaluée à l’aune du risque climatique. La réalité est que le meilleur moyen de rendre nos finances publiques insoutenables est de remettre à plus tard les investissements dans la transition écologique. Nous avons au contraire tout intérêt à les accélérer, et nos règles doivent le permettre. Ces axes de réformes ont pour but de passer à une stratégie économique non plus gouvernée par les chiffres, mais par les besoins. 
Pour résumer, plus de dette publique aujourd’hui pour moins de dette écologique, sociale et financière demain. Voilà le projet politique que nous défendons.
"
