MP,Date,Language,Title,Url,Content
Philippe OLIVIER,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-428-0000_FR.html,"  Philippe Olivier (ID).   – Monsieur le Président, les malfrats ont pour pratique de détrousser ceux qu’ils croisent. C’est exactement ce que font les États-Unis en appliquant le principe d’extraterritorialité du droit américain, c’est-à-dire l’application de leur droit à la planète entière. C’est le western. Tous les prétextes sont bons pour faire passer les entreprises qu’ils ont ciblées sous leur juridiction, les poursuivre et les condamner. Sous prétexte d’une moralisation juridique, il s’agit en réalité de soumettre des sociétés non américaines aux règles américaines – et, en réalité, aux intérêts américains. Il s’agit aussi de fragiliser les concurrents, de dérober leur savoir-faire et même de les détruire juridiquement et médiatiquement pour les racheter plus facilement.
Cette extraterritorialité du droit américain est un véritable procédé de guerre économique, un acte de piraterie juridique dont beaucoup d’entreprises européennes, et notamment françaises, pâtissent. En témoigne le pillage organisé d’Alstom, fleuron français entraîné de manière artificielle dans un feuilleton juridico-pénal, pour être ramassé dans des conditions indignes par son rival américain General Electric.
Nous ne pouvons faire l’impasse sur cette menace, peu connue mais réelle, qui pèse sur toutes nos entreprises et finalement sur nos économies. S’il est un échelon auquel il est pertinent d’agir, c’est au niveau européen. L’Europe, la vraie Europe, par son histoire, par sa nature, ne peut se satisfaire de rester dans une position de vulnérabilité et de vassalité.
(L’orateur refuse une question «carton bleu» de Marie-Pierre Vedrenne)
"
Philippe OLIVIER,2023-12-11,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-192-0000_FR.html,"  Philippe Olivier (ID).   – Madame la Présidente, en quelques mois, vous avez vu venir des Pays-Bas deux avertissements électoraux. D’abord en avril, avec la victoire du Mouvement agriculteur citoyen, le BBB, puis plus récemment avec celle du PVV de Geert Wilders. Ce basculement majeur, avec la défaite cuisante de Frans Timmermans, le promoteur de votre pacte vert, s’interprète comme un désaveu de votre politique «décroissantiste».
En France, en ce moment, un mouvement de protestation prend de l’ampleur dans le monde agricole, Là où les Néerlandais retournaient les drapeaux en signe d’appel au secours, les Français retournent les panneaux d’entrée de ville. C’est une manière de dire que l’on marche sur la tête. Vous aurez remarqué en venant au Parlement que le panneau d’entrée de la ville de Strasbourg, où nous siégeons aujourd’hui, est d’ailleurs retourné.
Nos agriculteurs expriment leur exaspération face à l’abus de normes (rythmes, coûts…). Ce qu’ils condamnent, c’est l’absence de clauses miroirs dans vos traités de libre—échange – ce qui instaure une concurrence déloyale –, une écologie qui n’est pas participative mais punitive, une logique non pas d’amélioration mais de limitation et d’interdiction.
Vous ne pouvez pas faire comme s’il ne se passait rien. 
"
Philippe OLIVIER,2023-11-21,FR,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-231-0000_FR.html,"  Philippe Olivier (ID).   – Monsieur le Président, tout le monde adhère à l’idée de lutter contre la surconsommation, les gaspillages, les productions inutiles et de ce point de vue, la traque des emballages, aussi éphémères qu’inutiles, ne peut que recueillir l’adhésion. Sur le principe, pas d’objection, mais c’est le texte d’application qui pose des problèmes.
Comme à chaque fois, vous êtes dans le «tout ou rien». Vous sombrez dans une folie normative absurde. En l’occurrence, vous embarquez dans votre réglementation nos boîtes de fromage en bois, camembert ou autres, des conditionnements traditionnels et biodégradables qui sont indispensables pour faire vivre le produit et lui donner sa qualité gustative. Vous avez le génie pour transformer une bonne idée en aberration, un consensus en repoussoir.
En réalité, ce manque de nuance et de connaissance, ce manque de discernement et d’élégance, ce manque de savoir-vivre et ce mépris pour les gens sont emblématiques de ce qu’est profondément l’Union européenne: une bureaucratie qui ne connaît que des logiques comptables ou statistiques, un empire moralisateur qui veut faire disparaître les réalités nationales. Nous n’oublions pas que l’Europe, c’est d’abord des peuples, des peuples avec leur art de vivre.
"
Philippe OLIVIER,2023-11-20,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-234-0000_FR.html,"  Philippe Olivier (ID).   – Monsieur le Président, comment se fait-il qu’il y ait un pays membre, l’Espagne, où il se passe des manifestations d’un million de personnes, où un opposant est victime d’une tentative d’assassinat et que vous puissiez rester silencieux?
Pour se maintenir au pouvoir coûte que coûte, le gouvernement socialiste de Pedro Sánchez attente à la Constitution espagnole. Il décide d’une amnistie de criminels factieux, en fuite, dont certains sont à Bruxelles, ce qui est tout à fait symbolique. Il engage aussi l’Espagne sur la voie de la dislocation séparatiste, sans parler de la répression policière indigne.
L’Espagne fait face à une violation manifeste de l’état de droit, une violation de la légalité institutionnelle et de la moralité politique. Le silence des institutions européennes, pourtant si promptes à sanctionner la Pologne et la Hongrie pour de prétendues atteintes à l’état de droit est assourdissant. Si vous continuez de regarder ailleurs sans exiger le respect de l’état de droit espagnol, non seulement vous vous discréditerez, mais vous vous déshonorerez.
"
Philippe OLIVIER,2023-10-18,FR,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-285-0000_FR.html,"  Philippe Olivier (ID).   – Madame la Présidente, comment ne pas souscrire à la volonté conjointe de l’Union européenne et de l’ONU de travailler au bonheur de l’humanité? Le problème, c’est que vous avez pris le parti de considérer l’homme comme un prédateur.
Partant de ce postulat, pour le moins simpliste, vous avez élaboré un système de pensée et d’action qui vise à limiter les activités humaines, toutes les activités humaines: les activités qui sont sources de nuisances, ce qui se conçoit aisément, mais aussi – et c’est plus contestable – les activités essentielles, comme l’agriculture et l’élevage. L’industrie est devenue un gros mot, qu’il ne faut plus prononcer, et l’énergie une affaire confiée à de doux rêveurs. Nous sommes passés du développement durable à la course à l’extinction de toute activité anthropique. Nous sommes passés de la croissance verte à la croissance zéro – et croissance zéro, en économie, cela signifie «stagnation» –, puis maintenant à la décroissance.
La décroissance, en matière énergétique et industrielle, cela signifie la soumission de nos États à des pays plus réalistes sur les lois de l’histoire. La décroissance agricole, sur les terres d’Europe, les plus fertiles du monde, cela nous conduit inévitablement à la pénurie alimentaire.
La pénurie alimentaire aura trois conséquences: l’explosion de la faim dans le monde, compte tenu de la croissance démographique, la dépendance alimentaire de nos pays et, pour les consommateurs européens, l’explosion du coût de la nourriture. Le plus grave, dans tout cela, c’est que vous, prétendument progressistes, pris dans votre élan antihumaniste, vous avez aussi congédié la science.
"
Philippe OLIVIER,2023-10-17,FR,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-249-0000_FR.html,"  Philippe Olivier (ID).   – Madame la Présidente, la présentation du programme de la Commission pour 2024 devrait être l’occasion pour M. le Commissaire de faire un bilan de sa trajectoire. Il y a pour vous, la Commission, deux priorités: l’approfondissement et l’élargissement. Il y a deux projets majeurs: le pacte vert et le pacte sur la migration. Or, sur tous ces sujets, de même qu’il existe dans les affaires un profit warning – un «avertissement sur les résultats» –, vous avez vu passer des avertissements sur les politiques, mais vous n’en avez pas tenu compte.
Sur l’approfondissement, vous avez subi le divorce houleux du Brexit, qui fut pour l’Union européenne non seulement un échec, mais une humiliation.
Sur l’élargissement, vous constatez, chaque jour, les difficultés de fonctionner à 27. Et malgré tout, l’empire de l’Union européenne de Madame von der Leyen est pris dans sa logique d’extension sans limite.
Sur le pacte vert, qui procède d’une idéologie totalement déraisonnable de décroissance, vous êtes arrivés au bout de la patience de vos propres troupes. Vous commencez à voir les signes de la rébellion.
Enfin, sur le pacte sur la migration, vous savez mieux que quiconque que votre logique immigrationniste est rejetée par les peuples, c’est pourquoi vous cherchez à la faire passer en catimini. Dans mon pays, l’immigration est refusée à 70 %. Vous êtes obligés de menacer l’Italie pour l’y faire adhérer. Et même l’Allemagne commence à douter de votre modèle «hall de gare», qui ne convient à personne.
Puisque vous nous parlez sans cesse de valeurs démocratiques, permettez-moi de vous rappeler que la démocratie consiste à admettre les désaccords – surtout lorsqu’ils émanent des peuples et des élus –, à être capable de les écouter et à savoir en tirer toutes les conséquences. 
"
Philippe OLIVIER,2023-10-02,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-216-0000_FR.html,"  Philippe Olivier (ID).   – Madame la Présidente, comme député européen, je me suis rendu à Lampedusa pour me rendre compte de la situation. Ce que j’ai pu constater dépasse l’entendement. Le centre, qui avait accueilli 7 000 migrants l’avant-veille, était vide. Tous les arrivants, sans exception, l’avaient quitté pour rejoindre, par avion ou par bateau, le continent. Vous avez organisé entre la Tunisie et Lampedusa un véritable pont maritime. Aucun refoulement, aucun contrôle sérieux, ni administratif, ni sanitaire. Lampedusa n’est qu’une étape pour se reposer, se restaurer, charger les portables avant de s’égailler dans la nature de nos pays.
Pour vous, le problème de l’immigration n’est pas le flux, ni même les arrivées irrégulières, mais l’accueil. Il n’est même pas le droit puisqu’aucune situation n’est sérieusement vérifiée. Le pacte sur la migration n’est pas approuvé qu’il est déjà appliqué à Lampedusa, où l’immigration entre à jets continus. Vous savez que les peuples européens condamnent cette folle politique et c’est pourquoi vous accélérez le processus d’adoption. 
"
Philippe OLIVIER,2023-09-12,FR,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-222-0000_FR.html,"  Philippe Olivier (ID).   – Monsieur le Président, l’Union européenne a un savoir-faire qu’elle a élevé au niveau d’un art: transformer une belle idée en enfer. Sous l’intitulé vendeur – il faut bien le dire, sympathique – d’améliorer la qualité de l’air, qui pourrait ne pas y souscrire, vous nous resservez votre obsession décroissantiste. Il ne s’agit pas de réformer mais d’interdire, pas d’améliorer mais de punir.
Ce texte, comme tous ceux que nous voyons tomber séance après séance, sont régressistes. Ils tournent le dos à l’idée même de progrès. Ce ne sont pas des textes pour chercher des solutions techniques ou scientifiques, ce sont des réquisitoires butés et sentencieux, suivis d’excommunications, de limitations et d’interdictions.
En ciblant la pollution de la circulation, la pollution industrielle et la pollution résidentielle, en pointant la production alimentaire sans autre solution que la déconstruction, c’est toute l’activité humaine que vous remettez en cause. Ce que finalement vous reprochez aux hommes, c’est de respirer. Votre démarche décroissantiste ne signe pas seulement le suicide économique programmé de l’Europe, mais elle procède d’une pensée profondément anti-humaniste.
"
Philippe OLIVIER,2023-07-13,FR,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-048-0000_FR.html,"  Philippe Olivier,  au nom du groupe ID. – Monsieur le Président, Mesdames, Messieurs, l’intelligence artificielle, l’IA, est un formidable révélateur. Un révélateur du mouvement du monde et, par comparaison, un révélateur de votre inertie. Vous n’avez pas vu venir la révolution numérique et maintenant, avec l’intelligence artificielle, la révolution cognitive.
Alors que la Chine et les États-Unis augmentent chaque jour par la maîtrise de l’intelligence-machine, leurs capacités de recherche, vous vous évertuez à normaliser, comme un voyageur qui court après un train sans jamais pouvoir y monter. Notre ministre des finances, Bruno Le Maire, a brillé cette semaine en annonçant fièrement un Chat GPT pour 2028. Un Chat GPT lorsque Chat GPT sera rangé au rang des antiquités numériques.
Vous vous targuez d’être des progressistes, mais vous avez toujours un progrès de retard. Pire, au moment où la société de la connaissance réclame des cerveaux, vous laissez partir les nôtres et vous organisez avec le pacte d’immigration la venue massive d’une main-d’œuvre sous-qualifiée. On mesure le décalage dramatique entre vos petits palabres souvent moralisateurs et inutiles et la vitesse d’un monde qui ne vous attend plus. 
"
Philippe OLIVIER,2023-07-12,FR,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-377-0000_FR.html,"  Philippe Olivier (ID).   – Madame la Présidente, mes chers collègues, personne ici n’est indifférent au sort de la planète et chacun a conscience de la nécessité de réformer un système fondé sur une consommation débridée. L’Europe, l’Union européenne se veut être le meilleur élève de la classe planétaire. Elle s’est lancée avec le pacte vert dans une course dont les écologistes radicaux ont fixé les règles, les étapes et les objectifs.
Votre démarche n’est pas pragmatique, mais idéologique. On est passé de la croissance durable à la croissance zéro, puis maintenant à la décroissance. Décroissance énergétique, décroissance industrielle. Et au moment où l’humanité a besoin de nourrir des milliards d’êtres humains, décroissance agricole. Vous avez fait de la malheureuse Hollande le laboratoire de votre projet de destruction des élevages. Un projet largement inspiré de l’idéologie antispéciste qui est une idéologie antihumaniste.
Le vote de ce matin constitue un avertissement dont vous devez tenir compte. À défaut, vous verrez les peuples, loin de vous suivre dans vos folies écologistes, se rebeller pour restaurer l’Europe, un continent qui croit en la science et en l’avenir. 
"
