MP,Date,Language,Title,Url,Content
Piernicola PEDICINI,2023-11-23,IT,Job creation  –  the just transition and impact investments (A9-0342/2023 - Sara Matthieu),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-172-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signora Presidente, onorevoli colleghi, come si fa a creare lavoro? Per prima cosa bisognerebbe evitare di toglierlo il lavoro. Abbiamo l'occasione unica di riformare quei meccanismi che strozzano le economie di alcuni Stati membri ma non siamo stati capaci di fare proprio nulla. 
L'Italia ha un debito pubblico di 2 800 miliardi ma fino ad ora ha già versato nelle tasche dei banchieri 3 000 miliardi di euro in spese per interessi. È normale tutto questo? Eppure, ogni anno gli italiani fanno registrare un surplus primario che viene totalmente assorbito dalla spesa per interessi. 
E allora l'Italia ha trovato la soluzione: quella di caricare la spesa soltanto su una parte del proprio territorio. In Italia si sacrifica il Sud per mantenere la competitività soltanto al Centro e al Nord. E i fondi europei sono una quota ridicola rispetto a quanto viene sottratto al Sud ogni anno. 
Perciò il lavoro si crea da una parte del Paese, ma si distrugge nell'altra. Io dico che l'Esecutivo europeo deve spiegare perché non fa niente per impedire queste ingiustizie.
"
Piernicola PEDICINI,2023-10-19,IT,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-179-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signor Presidente, onorevoli colleghi, mi rivolgo alla Commissione, che ha citato i piani nazionali di ripresa e resilienza di diversi paesi, ma non ha citato nella lista anche l'Italia, della quale parlerò.
I piani nazionali sono stati concepiti sulla base legale della coesione sociale. Le priorità orizzontali erano la disuguaglianza di genere, quella generazionale e soprattutto quella territoriale. Eppure, l'Italia ha spostato – vi comunico – il 70 % delle risorse che erano maturate per la condizione socioeconomica in cui riversa il Sud alla parte ricca del paese, al Nord, lasciando al Sud soltanto il 10 %.
Questo non ha fatto altro che allargare le tensioni sociali, che allargare il divario, che aumentare la disoccupazione al Sud, di genere e generazionale, rendendo impossibile anche mantenere strutture per la disabilità. Tutto questo effetto è stato dovuto al divario che già esisteva. Il punto è che ci possiamo riempire la bocca di belle parole sull'economia sociale ma, se non interveniamo su questo, le cose non cambieranno, e perciò è bene che la Commissione lo sappia.
"
Piernicola PEDICINI,2023-10-19,IT,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (RC-B9-0436/2023, B9-0436/2023, B9-0438/2023, B9-0442/2023, B9-0444/2023, B9-0445/2023, B9-0447/2023, B9-0448/2023)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-195-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Ho votato contro la risoluzione perché non è stata inserita la frase importantissima ""cessate il fuoco"" come proposto dal GUE. 
E tuttavia credo che questa risoluzione abbia avuto il merito di smascherare le gigantesche ipocrisie di quest'Aula. Abbiamo sentito colleghi chiamare ""mondo libero"" quello che per altri è una prigione. Abbiamo sentito ripetere che c'era un invaso e un invasore per poi schierarsi prontamente dalla parte del nuovo invasore. Abbiamo sentito che l'invaso è il diritto alla difesa, per poi accordare questo diritto all'invasore, e abbiamo sentito richiamare la Russia al diritto internazionale per chiudere gli occhi su Israele che lo calpesta da cinquant'anni. Abbiamo visto colleghi condannare giustamente gli atti terroristici di Hamas, senza però dire neanche una parola su quelli commessi da Netanyahu. 
E per queste ragioni e per questa ipocrisia che il mondo ci sta odiando, perché qui dentro ci si indigna a fasi alterne con una facilità che fa paura. Io dico che per trovare davvero una soluzione non ipocrita bisogna togliere dall'equazione tanto Hamas quanto Netanyahu. 
"
Piernicola PEDICINI,2023-10-17,IT,Question Time with Commissioners - European measures to prevent and to fight the rise of organised crime,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-280-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Abbiamo certamente bisogno di una risposta europea al crimine organizzato, perché è un crimine che supera i confini nazionali. 
Io provengo da un territorio nel quale si sono organizzate la mafia, la camorra, la 'ndrangheta, la Sacra corona unita e posso perciò dire con certezza che le mafie si nutrono di due ingredienti che però non figurano tutti in quelli elencati nel programma EMPACT. 
Il primo è la povertà dei territori di provenienza e perciò i complici delle mafie sono i responsabili di quella povertà. Sono responsabili tutti quei governi che sottraggono risorse umane ed economiche, che tagliano sull'istruzione, che tagliano sulla sanità, che tagliano sul lavoro. 
Il secondo ingrediente è costituito da tutti quei governi che usano il crimine organizzato per fare il lavoro sporco. Sto parlando di traffico delle armi con l'obiettivo di destabilizzare i governi in giro per il mondo. Se davvero l'Unione europea vuole combattere le mafie, deve essere pronta a denunciare quei governi amici che sono dietro le guerre, che armano le guerre, che finanziano le guerre e che provocano le guerre perché lo fanno con lo strumento del crimine organizzato. 
Mi chiedo se la Commissione è al corrente di tutto questo. 
"
Piernicola PEDICINI,2023-10-17,IT,Question Time with Commissioners - European measures to prevent and to fight the rise of organised crime,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-282-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Solo per una precisazione. Io ho un fatto riferimento preciso al traffico di armi. 
Faccio un esempio per essere più chiaro: quando è nata al-Qaeda, al tempo della dissoluzione della ex Jugoslavia, la mafia gli ha fornito le armi. Lo stesso è avvenuto con l'Isis e lo stesso sta avvenendo adesso in Ucraina. È questo che sto dicendo. È di questo che vorrei avere risposta. 
"
Piernicola PEDICINI,2023-07-12,IT,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-035-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signor Presidente, onorevoli colleghi, il Consiglio in queste conclusioni ribadisce la ferma condanna all'aggressione russa in Ucraina, perché giustamente la definisce una manifesta violazione della Carta delle Nazioni Unite. La stessa carta che la NATO ha violato in Nicaragua, in Guatemala, a Cuba, in Libia, in Serbia, in Egitto, in Yemen, in Siria, in Afghanistan, in Iraq.
Allora noi dobbiamo chiederci se davvero ha senso pretendere che gli altri rispettino il diritto internazionale quando noi siamo i primi a violarlo; dobbiamo chiederci se possiamo appellarci al rispetto degli organismi internazionali dopo che li abbiamo svuotati di ogni possibile contenuto. Perciò oggi, se davvero vogliamo fermare questa guerra, dobbiamo fare passi nella direzione della pace; dobbiamo avere il coraggio di dire che l'Ucraina non farà mai parte della NATO.
Noi occidentali mettiamo questo sul tavolo della pace. Tu, Russia, cosa sei disposta a fare? Ecco, questo è l'unico modo per salvare moltissime vite umane, tanto ucraine quanto russe.
"
Piernicola PEDICINI,2023-06-15,IT,"Sustainable reconstruction and integration of Ukraine into the Euro-Atlantic community (RC-B9-0270/2023, B9-0270/2023, B9-0274/2023, B9-0275/2023, B9-0277/2023, B9-0278/2023, B9-0281/2023)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-149-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signor Presidente, onorevoli colleghi, oggi si è votata questa importante risoluzione, ma paradossalmente, e anche ironicamente, alla fine di questo voto tutti i parlamentari sono andati tranquillamente a mangiare. E perciò io voglio leggere alcune frasi di questa risoluzione affinché i cittadini si rendano conto di quello che si è deciso in quest'Aula. 
L'obiettivo finale della comunità internazionale dovrebbe essere il collasso militare delle forze russe, il pieno ripristino dell'integrità territoriale ucraina, la necessità di ulteriore intensificazione dell'assistenza finanziaria e militare, un immediato dispiegamento di ulteriori attrezzature moderne, tra cui aerei da combattimento, missili ed elicotteri occidentali, la richiesta di un piano di azione accelerato per l'adesione alla NATO dell'Ucraina.
Insomma, questa risoluzione sembra scritta da folli. Chi scrive questa risoluzione pensa davvero che eventualmente la Russia accetti il collasso militare senza ricorrere al nucleare? Stiamo facendo credere agli ucraini che davvero sia possibile ripristinare la sua integrità territoriale senza portare il mondo a un conflitto nucleare? Pensate davvero che sia una buona idea che l'Ucraina sia integrata nella NATO? Noi stiamo andando dritti alla terza guerra mondiale. 
"
Piernicola PEDICINI,2023-06-15,IT,Lessons learnt from the Pandora Papers and other revelations (A9-0095/2023 - Niels Fuglsang),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-156-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signor Presidente, onorevoli colleghi, i sistemi democratici occidentali sono in piena crisi, perché ormai è evidente a tutti che la politica non rappresenta la volontà dei semplici cittadini. La politica rappresenta sempre di più gli interessi dei poteri finanziari, delle massonerie, dei fondi internazionali, dell'industria del petrolio, di quella dei farmaci e dei pesticidi, e di quella delle armi.
Perciò, per ridare fiducia ai cittadini nel nostro sistema democratico, il ruolo del giornalismo investigativo deve essere protetto di fronte alla denuncia per elusione, evasione fiscale, corruzione, criminalità organizzata e riciclaggio di denaro, ma soprattutto devono essere protetti quei giornalisti investigativi che denunciano crimini di guerra. E l'Unione europea non dovrebbe considerare sopportabile la persecuzione a cui viene sottoposto Julian Assange per il fatto stesso che abbia rivelato gli sporchi segreti delle guerre e abbia rivelato il fallimento sistemico delle nostre istituzioni democratiche secondo i principi dello Stato di diritto.
"
Piernicola PEDICINI,2023-06-15,IT,"Implementation and delivery of the Sustainable Development Goals (A9-0213/2023 - Udo Bullmann, Petros Kokkalis)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-160-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signor Presidente, onorevoli colleghi, l'Agenda 2030 per lo sviluppo sostenibile è uno strumento chiave per affrontare le sfide globali dal punto di vista sociale e ambientale, ma vi sono importanti mancanze di dati per il monitoraggio regionale del Sud dell'Unione.
Allora mi corre l'obbligo di riportare le vere ragioni per cui l'Italia, il paese dal quale provengo, mostra i risultati peggiori in termini di povertà, disoccupazione, disuguaglianze, crisi dei prezzi alimentari, degrado ambientale e perdita di biodiversità. Tutto questo avviene perché l'Italia è un paese che fa gli interessi di solo una parte del suo territorio. In Italia è normale che la spesa pubblica al Centro-Nord sia 17 000 EUR, mentre al Sud 13 000 EUR. È normale che per un bambino del Nord si possa spendere 3 500 EUR per l'istruzione, ma al Sud 19 EUR. In Italia è normale che l'alta velocità ferroviaria sia 84 % al Nord e soltanto il 16 % al Sud. Allora, Presidente, l'Unione europea deve intervenire per impedire che i governi italiani usino una parte del paese come colonia e per assicurare pari diritti sociali e civili a tutti i suoi cittadini. 
"
Piernicola PEDICINI,2023-06-01,IT,Corporate Sustainability Due Diligence (A9-0184/2023 - Lara Wolters),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-01-INT-2-124-0000_IT.html,"  Piernicola Pedicini (Verts/ALE).   – Signora Presidente, il diritto internazionale dice che l'invasione russa è illegale esattamente come le guerre della NATO in Iraq, in Serbia, in Libia e in Siria. Sono tutte guerre illegali volute da ricchi, combattute da poveri e pagate da cittadini ancora più poveri. 
Perciò questa guerra in realtà è la solita guerra ai poveri. Non ci sono soldi, ma l'Europa ha salvato le banche nelle crisi bancarie. Non ci sono soldi, ma gli Stati membri hanno subito risposto alla richiesta della NATO per uno sforzo bellico fino al 2 per cento del PIL. E se si trovano i soldi per il Covid, la pesante burocrazia impedisce di assorbire quelle risorse nelle aree più povere del nostro continente. 
In questo momento ci sono milioni di cittadini europei che non hanno la possibilità di mettere cibo a tavola. Però questa Unione europea ha il denaro per le banche, ha il denaro per la guerra, ma non ha il denaro per i suoi poveri cittadini. Per questo motivo ho votato ""no"" alla risoluzione Asap. Noi in Ucraina non dobbiamo inviare munizioni, dobbiamo inviare soluzioni. Non dobbiamo esportare democrazia, dobbiamo esportare diplomazia.
"
