MP,Date,Language,Title,Url,Content
Pierre KARLESKIND,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-272-0000_FR.html,"  Pierre Karleskind,  au nom du groupe Renew. – Monsieur le Président, chers collègues, Monsieur le Commissaire, nous nous apprêtons à voter un texte absolument essentiel pour le droit d’un certain nombre de familles en Europe et surtout pour le droit d’un certain nombre d’enfants. Et moi, je suis sidéré de voir une chose simple: c’est l’idée même d’une motion de rejet avant toute discussion.
Visiblement, le Rassemblement national prend goût aux motions de rejet – c’est une remarque purement nationale –, une motion de rejet préalable, sans même discuter, alors même que nous voulons simplifier la vie des familles, garantir que les enfants ne perdent pas leurs parents en franchissant une simple frontière. Mais au fond, dans motion de rejet, le mot important c’est rejet, c’est rejet, tout simplement, de ce qui n’est pas «classique», de ce qui n’est pas «normal», de ce qui n’est pas «comme les autres». Vous rejetez tout simplement ces familles qui ont deux papas et qui ont deux mamans.
Eh bien moi, je vais vous dire: avec mon groupe politique, nous sommes fiers, fiers de porter ce texte et de le soutenir, de soutenir la Commission européenne dans cette proposition. Nous sommes fiers d’avoir fait de l’Union européenne une zone de liberté pour les personnes LGBT. Nous sommes fiers d’avoir lutté contre les zones sans LGBT en Pologne et nous sommes heureux de ce changement, à savoir que l’extrême droite a enfin été renvoyée dans ses buts par les électeurs polonais. Nous sommes fiers que ce Parlement travaille pour que, demain, nous puissions faciliter la vie de ces familles.
"
Pierre KARLESKIND,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-286-0000_FR.html,"  Pierre Karleskind (Renew).   – Monsieur le Président, je voudrais simplement vous faire remarquer que j’ai demandé la parole pour une question «carton bleu» destinée à l’oratrice précédente. Vous ne me l’avez pas donnée, et je le regrette. Nos débats n’étant pas une succession d’interventions, je ne peux, en l’état, poser ma question. Je voudrais vous rappeler quand même que les questions «carton bleu» sont de droit, alors, si vous avez une bonne raison de me l’avoir refusée, j’aimerais la connaître. 
"
Pierre KARLESKIND,2023-10-17,FR,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-144-0000_FR.html,"  Pierre Karleskind,  rapporteur pour avis de la commission de la pêche. – Monsieur le Président, depuis l’invasion de l’Ukraine par la Russie et la hausse des prix du gasoil, la pêche est confrontée à la hausse, forte, de ses charges. Elle a pris de plein fouet cette hausse des coûts de l’énergie et elle a été accompagnée. Elle a été accompagnée largement, dans toute l’Union européenne, et alors que l’on arrive bientôt en 2024, il est temps que cet accompagnement puisse permettre la transition vers des modèles qui la mettront en état de faire face aux enjeux de demain, notamment le coût de l’énergie, mais aussi la décarbonation.
La décarbonation est justement l’élément clé, l’élément fort que la commission de la pêche a voulu mettre en avant dans son avis concernant le budget. Plus concrètement, nous nous proposons – ce dont, au nom de la commission de la pêche, je suis fier – de mettre en place le démonstrateur d’un bateau de pêche, lequel pourra expérimenter, concrètement, différentes techniques de pêche, mais aussi une nouvelle motorisation, et permettra d’avancer – avec un peu plus de 2 millions d’euros – de plain-pied vers le long terme. Cela est nécessaire pour que notre secteur de la pêche, tout comme celui de l’aquaculture, continue d’être durable.
"
Pierre KARLESKIND,2023-10-17,FR,"Urgent need for a coordinated European response and legislative framework on intrusive spyware, based on the PEGA inquiry committee recommendations (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-392-0000_FR.html,"  Pierre Karleskind (Renew).   – Monsieur le Président, Madame la Vice-Présidente, je viens de vous donner mon téléphone pour la simple et bonne raison que, depuis que j’ai appris que j’avais été la cible d’une cyberattaque et que j’ai prévenu la Commission européenne – à plusieurs niveaux –, personne, à la Commission européenne, ne s’est soucié de savoir si mon téléphone avait été infecté. 
Peut-être mon téléphone est-il, à l’heure où je vous parle, en train d’écouter ce que nous disons, peut-être le gouvernement vietnamien sait-il exactement ce que nous faisons. Personne ne s’en est soucié; et pourtant, de qui tirons-nous notre légitimité ici, en tant que Parlement et en tant qu’élus de ce Parlement? Eh bien des traités. Et qui est la gardienne des traités? C’est la Commission européenne! Autrement dit, l’intégrité des élus de ce Parlement, des législateurs, devrait être votre souci. Cela ne l’a pas été! 
J’ai écrit au haut représentant pour lui demander quelle était sa réaction face au gouvernement vietnamien, pour au moins qu’il convoque l’ambassadeur vietnamien auprès de l’Union européenne. Aucune réponse, aucune réaction! Ce silence assourdissant est plus que choquant. 
Peut-être trouverez-vous sympathique que mes petites conversations privées se retrouvent sur le web. Peut-être trouverez-vous cela sympathique. Mais à l’approche des élections européennes, je crains le pire. 
J’ai été ciblé, sachez-le, parce que je lutte, depuis le début de mon mandat, contre la pêche illégale, alors que le Viêt Nam est ciblé à cet égard et a reçu un carton jaune. Nous avons voté, aujourd’hui même, un rapport sur la Chine qui dénonce ces pratiques de pêche illégale. Eh bien, sachez-le, je continuerai. Mais, Madame la Vice-Présidente, je demande enfin que la Commission européenne sorte de son silence assourdissant. 
"
Pierre KARLESKIND,2023-10-16,FR,Implications of Chinese fishing operations for EU fisheries and the way forward (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-184-0000_FR.html,"  Pierre Karleskind,  rapporteur. – Madame la Présidente, Monsieur le Commissaire, chers collègues, vous savez qu’entre 1983, année où l’on a institué la politique commune des pêches, et aujourd’hui, quarante ans plus tard, la part de la pêche chinoise dans la pêche mondiale est passée de 5 % des prises à 15 %. 
Or, de nombreux rapports gouvernementaux ou d’organisations non gouvernementales pointent un certain nombre de pratiques qui posent question: des cas de pêche illégale – nous étions avec la commission PECH en Équateur, où nous avons été confrontés aux soucis que cela causait –, des cas de pratiques telles que le prélèvement des ailerons de requins ou l’extinction des outils de positionnement, pratiques illégales ou prédatrices qui mettent en jeu la sécurité alimentaire de certains pays côtiers – nous étions aussi avec la commission PECH au Sénégal –, et puis des cas de travail forcé.
À ce titre, l’enquête internationale publiée la semaine dernière par le projet Outlaw Ocean sur ces pratiques, à terre comme en mer, doit attirer notre attention. La Chine n’a ratifié ni la Convention concernant le travail dans le secteur de la pêche de l’Organisation internationale du travail ni l’accord relatif aux mesures du ressort de l’État du port de la FAO. Alors, bien sûr, la Chine a fait des progrès. D’ailleurs, depuis que nous avons rédigé le rapport, la Chine a ratifié l’accord sur les subventions à la pêche de l’OMC. Mais cela dit, Monsieur le Commissaire, j’ai une question à vous poser: pouvez-vous m’assurer que les produits de la mer qui sont à cette heure sur la table des Européens – ils sont en train de les manger – ne sont pas issus d’une entreprise chinoise pratiquant le travail forcé en mer ou à terre ou la pêche illégale? 
Nous avons certes des instruments, dans l’Union européenne: le règlement contre la pêche illicite, non déclarée et non réglementée et le règlement établissant un régime mondial de sanctions en matière de droits de l’homme – c’était en 2020 que nous les avons adoptés –, mais ils ne sont visiblement pas suffisants. Il nous faut renforcer, à travers trois axes – la transparence, la traçabilité et le contrôle –, notre capacité à les mettre en œuvre. 
La transparence: selon le gouvernement chinois il y a 2 900 navires de longue distance hauturiers, selon la FAO il y en a 17 000. Combien sont-ils? Où sont-ils? Combien de subventions? Et qui fait quoi dans les eaux des pays avec lesquels nous-mêmes nous avons des accords de pêche? À qui appartiennent ces navires? Nous étions au Sénégal confrontés à cette pêche industrielle dont les capitaux sont chinois mais les pavillons sénégalais. 
La traçabilité: nous venons d’évoquer le règlement contre la pêche illicite, non déclarée et non réglementée, extrêmement important. Nous avons le système CATCH, qui permet la numérisation et la traçabilité – ç’a été un combat de mon groupe autour de tout ce travail, et je remercie la rapporteure, Clara Aguilera, pour le travail qu’elle a accompli sur cette question de la traçabilité. 
Le contrôle, toujours: cela n’a pas de sens d’imposer à nos pêcheurs des critères de contrôle drastiques si le reste du monde vit dans la loi de la jungle. Or, il nous faut – et c’est le sens de notre rapport, de nos propositions dans le rapport – encourager les actions des États membres (comme avec le projet Pescao, qui a été réalisé dans le golfe de Guinée), qui pourraient mobiliser leur flotte de contrôle de marine nationale en marge des actions de lutte contre la piraterie. 
Enfin, je dirais qu’il faut malgré tout et avant tout coopérer avec la Chine. C’est le sens, d’ailleurs, du partenariat que nous avons formé avec Pékin et au sujet duquel j’aurais aimé avoir un compte rendu du commissaire Sinkevičius – mais j’imagine, Monsieur le Commissaire Hahn, que c’est vous qui allez nous le faire. Coopérer pour mettre en place des plans de gestion dans les pays où nous pêchons ensemble, dans les eaux où nous pêchons ensemble, pour protéger la ressource, pour protéger nos pêcheurs, dans une concurrence juste. Enfin il nous faut coopérer avec la Chine pour la pousser à ratifier les conventions que j’ai évoquées sur le travail en mer et sur la lutte contre la pêche illégale. 
Alors, cela suffira-t-il? Non. Il est probable qu’il faille mentionner aussi, pour avancer plus loin, au-delà de ce rapport, le vote qui a eu lieu ce jour même au sein de la commission conjointe IMCO-INTA sur la création d’un instrument contraignant spécifique pour lutter contre les produits issus du travail forcé – cela devra s’appliquer à la pêche, aussi. 
Je finirai par la chose suivante: il faut aussi que les entreprises européennes fassent du ménage chez elles. C’est là le sens de la directive sur le devoir de vigilance des entreprises que nous avons adoptée. Sur l’ensemble de la chaîne de valeur, elles vont devoir faire le travail de vérifier effectivement si la lutte contre la pêche illégale et la lutte contre le travail forcé font partie des éléments qui sont particulièrement regardés. 
"
Pierre KARLESKIND,2023-10-04,FR,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-389-0000_FR.html,"  Pierre Karleskind,  au nom du groupe Renew. – Madame la Présidente, chers collègues, j'ai remarqué quelque chose, c'est qu'à chaque fois que dans cet hémicycle, je prononce les quatre lettres LGBT les unes derrière les autres, je reçois un flot de messages sur ma boîte mail ou sur les réseaux sociaux qui me demandent pourquoi je parle encore des sujets LGBT? 
Je vous avoue que je parlerais volontiers d'autre chose. Je parlerais volontiers d'autre chose. Mais la réalité, c'est que ce n'est pas moi qui suis obsédé par le sujet, ce sont celles et ceux qui, depuis des années, comme cela a été souligné par mes collègues, en font une véritable obsession, et notamment la droite la plus dure dans l'Union européenne. Je veux parler des zones sans LGBT en Europe, je veux parler des lois antipropagande LGBT en Hongrie mais aussi en Lituanie, de l'interdiction de drapeaux LGBT dans les communes espagnoles, certaines communes qui sont passées sous la coupe de Vox. Je veux parler aussi de la modification des actes de naissance d'enfants pour supprimer une mère dans les familles de même sexe en Italie. Et en fait, à chaque fois, la droite dure tente de camoufler ses échecs socio-économiques ou politiques en ressortant compulsivement son obsession LGBT. Mais je veux nous prévenir quand même d'une chose, chers collègues. Que ce soit sur les bancs de la droite, qui là fait alliance avec Vox en Espagne, qui ici fait alliance avec Fratelli d'Italia en Italie, mais je veux aussi prévenir la gauche qui, malheureusement, avec M. Fico qui cherche à faire une majorité avec l'extrême droite, essaie de tendre la main pour des raisons électorales à cette extrême droite qui fera toujours de toute façon de la communauté LGBT sa victime et son bouc émissaire. Voilà, ils veulent nous invisibiliser, ils nous veulent nous cacher, eh bien, nous ne retournerons pas au placard.
(Le président retire la parole à l’orateur)
"
Pierre KARLESKIND,2023-10-04,FR,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-402-0000_FR.html,"  Pierre Karleskind (Renew),  question ""carton bleu"". – Monsieur le Président, le collègue Jean-Paul Garraud pourrait-il nous préciser s'il considère qu'un couple de femmes ou un couple d'hommes élevant ses enfants est une famille?
"
Pierre KARLESKIND,2023-10-04,FR,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-422-0000_FR.html,"  Pierre Karleskind (Renew),  question ""carton bleu"". – Monsieur Ilčić, je voudrais savoir une chose. Vous nous reprochez, en tout cas vous me reprochez, d'avoir fait inscrire ce débat, en affirmant qu'il n'est pas urgent. Mais moi j'aimerais savoir dans ce cas-là si vous estimez que la destitution de 33 familles en Italie, parce qu'elles sont constituées de mères lesbiennes, par le gouvernement Meloni cet été était urgente. J'aimerais savoir aussi si le dépôt de ces amendements anti-LGBT par quatre députés Forza Italia contre les couples LGBT à la télé était aussi urgent en pleine crise migratoire. Pouvez-vous me l'indiquer? 
"
Pierre KARLESKIND,2023-10-02,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-045-0000_FR.html,"  Pierre Karleskind,  au nom du groupe Renew. – Madame la Présidente, chers collègues, je ne sais pas si vous avez remarqué, mais à chaque fois que les droites dures en Europe sont en difficulté, que ce soit sur le plan politique, économique ou social, elles en reviennent toujours à une bonne vieille valeur sûre de l’extrême droite: les homosexuels comme boucs émissaires. 
En Italie, c’est la semaine dernière, en pleine crise migratoire, que des députés, soutiens de la première ministre, ont déposé rien de moins que des amendements pour interdire purement et simplement la diffusion de contenus LGBT à la télévision publique italienne. 
Répétons-le: les personnes LGBT ne sont pas une idéologie, ce sont des personnes, et le respect des personnes est trop important pour en faire un épouvantail politique ayant vocation à cacher les échecs de cette droite dure et sa désunion. 
Notre Parlement a toujours été, chers collègues, du côté du respect des droits fondamentaux. C’est pour cela que, en vertu de l’article 158, le groupe Renew vous propose – nous propose – d’ajouter un débat sur la diffusion de lois antipropagande LGBT par les partis et les gouvernements de droite dure en Europe. 
"
Pierre KARLESKIND,2023-10-02,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-050-0000_FR.html,"  Pierre Karleskind,  au nom du groupe Renew. – Madame la Présidente, je ferai remarquer que M. Fico n’est pas encore le premier ministre slovaque et qu’il n’a donc pas encore eu l’occasion de mettre en œuvre quelque mesure que ce soit. 
Je veux simplement vous faire remarquer, si cela peut agréer à l’ensemble de nos collègues, que nous pourrions remplacer les mots «droite dure» ou «extrême droite» par «populiste» – je n’y vois pas d’inconvénient. 
"
