MP,Date,Language,Title,Url,Content
Pierre LARROUTUROU,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-477-0000_FR.html,"  Pierre Larrouturou (S&D).   – Monsieur le Président, mes amis, Yitzhak Rabin avait raison: il faut lutter contre les terroristes comme si le processus de paix n’existait pas, mais il faut continuer à construire la paix comme s’il n’y avait pas les terroristes. Yitzhak Rabin, chef d’état-major des armées israéliennes devenu Prix-Nobel de la paix, avait raison: il faut agir, agir avec force pour lutter contre les terroristes, mais continuer d’agir avec autant de force pour construire la paix.
Trente ans après les accords d’Oslo, qui ont été suscités et négociés grâce à l’Europe, il est urgent que notre Union prenne une nouvelle initiative pour assurer la sécurité et la paix au peuple israélien et au peuple palestinien. L’Europe doit absolument tout faire pour obtenir la libération de tous les otages, mais elle doit aussi imposer à Netanyahou un cessez—le—feu. Oui, un cessez—le—feu. Ajouter des morts aux morts, ajouter de la haine à la haine ne pourra en aucun cas améliorer la sécurité, ni en Israël ni dans nos pays. Au contraire.
Mes amis, voici la photo d’un enfant qui est mort de l’autre côté de la Méditerranée. Était—il palestinien? Israélien? C’était un enfant. C’était seulement un enfant qui avait envie de vivre, de jouer, de rire avec ses amis et sa famille. Il est temps d’écouter ce que nous disent les mamans d’Israël et de Palestine. Nous ne voulons pas que la haine l’emporte. Nous voulons la paix.
Il est temps d’écouter ces mamans. Il nous faut un cessez—le—feu. Le cessez—le—feu est urgent et indispensable, mais il ne sera pas suffisant. Il y a déjà eu, depuis 1948, des dizaines de cessez—le—feu, toujours trop éphémères. Pour éviter que l’horreur ne recommence, pour mettre un terme à la dérive terroriste, il faut aller plus loin qu’un cessez—le—feu, il faut s’attaquer aux causes profondes du conflit. Avec les États-Unis et les pays arabes qui le voudront, l’Europe doit organiser une conférence de la paix et s’engager politiquement pour mettre en place la solution à deux États demandée par l’ONU depuis 1967.
L’Europe doit aussi s’engager financièrement, car sans le plan Marshall, sans les milliards que les États—Unis ont donnés à la France et à l’Allemagne après 1948, elle n’aurait probablement jamais été capable de rompre avec la guerre.
Pour rompre avec les logiques terroristes, pour rompre avec les logiques de haine, pour éviter un embrasement au Moyen-Orient et dans nos pays, il faut que l’Europe prenne une initiative très forte – une conférence de la paix –, et qu’elle s’y engage politiquement et financièrement.
"
Pierre LARROUTUROU,2023-07-12,FR,"India, the situation in Manipur",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-469-0000_FR.html,"  Pierre Larrouturou,  auteur. – Madame la Présidente, mes amis, au Manipur dans le nord-est de l’Inde, les violences ont fait plus de 120 morts depuis deux mois. 120 morts. 1 700 maisons ont été détruites. 250 églises ont été détruites. Ce n’est pas une ou deux églises, ce sont 250 églises qui ont été détruites. Et 40 000 personnes sont déplacées, car elles ont fui les violences pour sauver leur peau. C’est absolument dramatique et le gouvernement indien ne fait rien pour faire cesser ces violences.
Depuis qu’il est arrivé au pouvoir en 2014, le Premier ministre Modi met en place une idéologie nationale hindouiste, dont les conséquences sont de plus en plus dramatiques pour ceux et celles qui font partie d’une minorité religieuse, mais aussi pour beaucoup de journalistes, pour beaucoup de ceux et celles qui se battent pour les droits fondamentaux. Or quand il vient dans les pays occidentaux, M. Modi se présente comme l’héritier du Mahatma Gandhi. La grande âme que nous admirons tous. Il prend des temps pour la méditation. Il a demandé une journée mondiale du yoga. Quand il vient en Occident, il semble un homme doux et bienveillant.
Mais en Inde, des millions de musulmans et de chrétiens souffrent le martyre, car le gouvernement ne respecte aucune de leurs libertés fondamentales. La situation est gravissime. Et c’est pourquoi, demain, le Parlement européen veut voter cette résolution, une résolution soutenue par cinq groupes, un rassemblement très large. Une résolution très claire qui dénonce le discours nationaliste de M. Modi. Une résolution qui demande au gouvernement de respecter les libertés fondamentales, les libertés d’expression, les libertés religieuses de chacune et chacun des citoyens. Une résolution qui demande de faire cesser immédiatement les violences et d’autoriser l’aide humanitaire, les observateurs et les journalistes partout où c’est nécessaire.
Nous demandons au gouvernement indien d’accepter un fonctionnement démocratique, de ne pas criminaliser ceux et celles qui critiquent le gouvernement, c’est le jeu de la démocratie. On voit aussi que le nombre d’ONG qui peuvent travailler en Inde a été divisé par trois en quelques années. Le gouvernement essaye d’asphyxier la société civile. C’est pour cela que le Parlement européen demande au gouvernement indien de laisser de l’oxygène et de l’espace à la démocratie.
Mes amis, il n’y a pas de développement économique sans démocratie. C’est pour cela que notre Parlement demande que le respect des droits de l’homme soit pleinement intégré au partenariat entre l’Union européenne et l’Inde, y compris dans les relations commerciales. C’est marqué noir sur blanc dans notre texte. On insiste pour que la question des droits de l’homme ne soit pas mise sous le tapis quand tel ou tel de nos dirigeants va en Inde. On demande que tous nos dirigeants parlent systématiquement et publiquement du respect des droits humains lors de leur visite.
Personne ne propose de rompre les relations avec l’Inde. L’Inde était autrefois une très grande démocratie. Il faut qu’elle redevienne une vraie démocratie. C’est pour cela que nous proposons un dialogue régulier entre ce Parlement et le Parlement indien.
"
Pierre LARROUTUROU,2023-04-18,FR,Guidelines for the 2024 budget - Section III (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-345-0000_FR.html,"  Pierre Larrouturou (S&D).   – Monsieur le Président, chers collègues, dans tous nos pays, des millions de gens souffrent de la flambée des prix. Il y a des boulangers qui mettent la clé sous la porte. Il y a des milliers de familles qui doivent choisir entre se chauffer normalement ou manger normalement. Pour beaucoup, la situation est vraiment dramatique et il y a des entreprises qui délocalisent pour aller aux États-Unis parce que l’énergie y est moins chère et parce que Joe Biden donne des subventions massives. 
Autre urgence: pour lutter contre le dérèglement climatique, il faut isoler toutes nos maisons, investir dans les transports en commun, aider nos agriculteurs. Pour répondre en même temps à la crise sociale et à la crise climatique, il faut du budget, beaucoup plus de budget. Et c’est pour cela que le Parlement européen demande qu’on décide enfin de créer une taxe sur la spéculation avant la fin du mois de juin 2023. C’est la demande de tout le Parlement, pour une raison simple: la taxe sur les transactions financières est la seule solution, la seule proposition de financement suffisamment mature pour arriver à un accord dans les semaines qui viennent. Et c’est celle qui peut rapporter le plus, jusqu’à 57 milliards par an. 
Aujourd’hui, il n’y a que la France qui bloque la coopération renforcée. Voilà pourquoi, depuis ce Parlement, je veux interpeller M. Macron. Monsieur Macron, vous dites que vous voulez un budget européen plus ambitieux. Vous dites que le climat est votre priorité. S’il vous plaît, acceptez enfin une taxe sur la spéculation.
"
Pierre LARROUTUROU,2022-12-14,FR,Upscaling the 2021-2027 Multiannual Financial Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-371-0000_FR.html,"  Pierre Larrouturou (S&D).   – Madame la Présidente, chers amis, nous sommes face à deux crises qui peuvent avoir des conséquences catastrophiques si nos politiques et notre budget, notre CFP, ne sont pas à la hauteur.
La première crise est la flambée des prix liée à la guerre en Ukraine. Ce soir, des millions de citoyennes et de citoyens vont avoir froid en rentrant chez elles et chez eux. Des millions de nos amis auront froid. Des millions de femmes et d’hommes doivent choisir tous les jours entre chauffer normalement la maison et faire les courses normalement pour nourrir la famille. Si le prix de l’énergie reste trop élevé trop longtemps, on risque des délocalisations catastrophiques.
L’autre crise est le dérèglement climatique. En 2022, les canicules, les incendies, les feux de forêt et les inondations ont fait des dizaines de milliers de morts à travers le monde.
Le point commun à ces deux crises est le besoin d’argent et de budget. Pour faire face aux conséquences de la guerre en Ukraine, les États-Unis ont mis 400 milliards de subventions sur la table pour la loi sur la réduction de l’inflation. Et nous, ne pourrions-nous pas faire pareil, pour aider toutes les familles et toutes les entreprises qui en ont besoin et pour financer enfin une autonomie stratégique de l’Europe?
Beaucoup de pays ne sont pas d’accord pour un plan européen et bloquent en disant que l’on ne sait pas comment rembourser Next Generation, le plan qu’on a adopté pour faire face à la COVID-19. Bonne nouvelle, le Parlement européen propose des solutions pour les trois problèmes: si l’on crée enfin la taxe sur la spéculation, que le Parlement demande depuis des années, on pourrait avoir 57 milliards chaque année.
Or, si l’on a 57 milliards chaque année, on peut rembourser Next Generation – 12 milliards chaque année pendant trente ans. On peut financer un plan de lutte contre l’inflation et financer un plan pour le climat – 37 milliards chaque année. Mes amis, il est urgent de fixer la taxe sur la spéculation. (La Présidente interrompt l’orateur)
"
Pierre LARROUTUROU,2022-12-14,FR,Upscaling the 2021-2027 Multiannual Financial Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-373-0000_FR.html,"  Pierre Larrouturou (S&D).   – Je continue en disant: mes amis, il n’est pas nécessaire d’avoir l’unanimité, il suffit d’une coopération renforcée pour créer la taxe sur la spéculation, qui donnerait 57 milliards chaque année et nous permettrait d’éviter le chaos social et le chaos climatique. Je ne sais donc pas ce que l’on attend.
"
Pierre LARROUTUROU,2022-12-12,FR,Outcome of COP27 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-115-0000_FR.html,"  Pierre Larrouturou (S&D).   – Madame la Présidente, chers amis, chers collègues, en arrivant au Parlement européen aujourd’hui, j’ai été scandalisé par le poids des lobbies, qui ont réussi à corrompre certains de nos collègues. Honte à eux! Toutefois, en quittant le sommet sur le climat, j’ai été scandalisé par le poids des lobbies du pétrole, qui ont obtenu qu’il n’y ait pas un mot, pas une ligne sur la fin des nouveaux forages pétroliers. 
Frans Timmermans l’a dit: la seule avancée importante de cette COP, c’est un nouveau fonds pour aider les pays les plus touchés par les catastrophes climatiques. C’est une avancée très importante, et l’Europe a beaucoup poussé en ce sens. Mais on risque une cassure profonde entre les pays du Nord et les pays du Sud si cela reste une nouvelle promesse et s’il n’y a pas d’argent. Les pays vulnérables n’en peuvent plus des promesses, ils veulent des actes. Bonne nouvelle: notre Parlement, depuis trois ans, propose des solutions, dont une petite taxe sur la spéculation, de 0,1 %, qui pourrait rapporter 57 milliards d’euros chaque année. 
Juste après la COP, j’ai pu rencontrer António Guterres, le secrétaire général des Nations unies, et María Fernanda Espinosa, l’ancienne présidente de l’Assemblée générale des Nations unies, laquelle me disait: «Cette taxe, ce n’est pas une solution de financement, c’est une solution de réconciliation entre le Nord et le Sud.» Oui, une solution de réconciliation.
Alors, pour éviter le chaos, il est urgent de créer cette taxe et d’avoir un accord avant la prochaine COP.
"
Pierre LARROUTUROU,2022-09-14,FR,Violations of human rights in Uganda and Tanzania linked to the investments in fossil fuels projects,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-334-0000_FR.html,"  Pierre Larrouturou,  auteur. – Madame la Présidente, chers collègues, chers amis, chère Elisa Ferreira, cet été, nous sommes allés sur le terrain avec Katalin, avec Marie, avec Malte. Nous avons passé neuf jours en Ouganda et nous avons vu et entendu des personnes qui ont témoigné de violations gravissimes des droits humains. J’en suis vraiment encore bouleversé. Nous avons vu et entendu des familles de paysans qui ne peuvent plus utiliser leur terre normalement depuis quatre ans, mais qui n’ont pas reçu l’argent que Total devait leur donner. Et si les parents n’ont pas d’argent, les enfants ne peuvent pas aller à l’école. Les plus vieux n’ont pas accès à la santé. Et s’il n’y a pas d’argent pour tous les enfants, on va plutôt envoyer les garçons que les filles, et ça accroît les discriminations.
La résolution d’urgence sur laquelle nous avons travaillé avec Tomáš, que je remercie, avec Katalin et Malte, que je remercie aussi, ainsi que leurs équipes, cette résolution que nous allons voter demain concerne plus de 100 000 personnes dans leur vie quotidienne. Ce sont 100 000 personnes qui souffrent aujourd’hui, pour beaucoup d’entre elles, et potentiellement plus de 40 millions d’autres personnes qui auraient de gros problèmes pour l’accès à l’eau si ce pipeline EACOP venait à casser à cause de tremblements de terre ou pour d’autres raisons. Et ceux et celles qui se battent là-bas le font avec un courage incroyable. Incroyable. Et je suis fier que notre Parlement soit rassemblé aujourd’hui pour faire entendre leur voix. Il nous arrive d’être divisés, comme dans tous les parlements. Mais Tomáš, tu l’as dit, aujourd’hui nous sommes rassemblés pour porter la voix de ceux et celles qui souffrent et qui veulent se battre pour la dignité humaine.
Nous pouvons être fiers que notre Parlement, dans sa résolution, porte la voix de Yosh, ce vieux monsieur très respecté dans son village, qui a fait plus de 50 jours de prison sans aucune raison valable, juste parce qu’il voulait faire valoir les droits des paysans de son village. Nous pouvons être fiers de porter la voix de Frédéric, Fred, qui était un des paysans venu témoigner à Paris devant la justice. Son seul problème, c’est qu’il a témoigné devant la justice française. Et quand il est revenu, il a dit devant nous, députés, devant les caméras, il a dit: «Je me cache. À cause de Total, je me cache avec ma famille». Sa femme était en train de nourrir leur bébé. «Je me cache avec ma famille à cause de Total. Quand je suis rentré de France où j’avais témoigné, quelqu’un m’a appelé et m’a dit “Si vous gagnez votre procès, on vous tue”». Si vous gagnez votre procès, on vous tue.
Chers collègues, il est fondamental que cette résolution soit votée et demain nous pourrons appeler ceux et celles qui sont en Ouganda et en Tanzanie pour dire que le Parlement est uni pour se battre avec eux et avec elles pour les droits fondamentaux et pour l’avenir de la planète. 
"
Pierre LARROUTUROU,2021-11-24,FR,Negotiations ahead of Parliament’s first reading (Rule 71) (action taken),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-24-INT-3-007-0000_FR.html,"  Pierre Larrouturou,  rapporteur. – Monsieur le Président, bonjour chers collègues, bonjour Monsieur le Vice-Président de la Commission européenne. Le Parlement européen va approuver aujourd’hui ces deux budgets complémentaires. Le budget 5, qui permet une aide humanitaire pour les réfugiés syriens qui vivent en Turquie, et le budget 6, qui va permettre d’acheter 200 millions de doses de vaccin pour aider les pays du Sud à lutter contre le fléau du COVID.
Le Parlement approuve ces deux budgets, évidemment, mais nous sommes très, très inquiets de la suite des événements, car pour financer ces deux budgets, nous avons dû racler tous les fonds de tiroirs disponibles. Il ne reste aucune marge de manœuvre pour les six prochaines années du cadre pluriannuel négocié il y a un an seulement. Pour financer ces deux budgets, nous avons épuisé toutes les ressources prévues pour faire face à des crises inattendues. Or, ces deux crises étaient attendues. On savait, il y a un an, qu’il y avait 2 millions de réfugiés syriens qu’il faudrait aider. On savait, il y a un an, qu’il y avait un virus qui faisait des centaines de milliers de morts et qu’il faudrait financer des doses de vaccin. On le savait et on n’a rien anticipé.
Quand on voit ce qui se passe à Kaboul, à Taïwan ou ailleurs, est-ce que nous sommes sûrs que, dans les six années qui viennent, il n’y aura pas besoin d’aide pour de nouveaux réfugiés? Quand on voit la nouvelle vague épidémique qui frappe tous nos pays, est-ce que nous sommes sûrs que, pendant six ans, il n’y aura plus besoin de financer de nouvelles doses de vaccin? Quand on voit le dérèglement climatique qui s’aggrave, sommes-nous sûrs qu’il n’y aura pas besoin d’aide massive pour aider telle ou telle population frappée par telle ou telle catastrophe? Là aussi, il est vraiment inquiétant d’avoir épuisé toutes les marges de manœuvre prévues pour sept ans dès la première année. Ce n’est pas sérieux.
Voilà pourquoi le Parlement européen demande instamment au Conseil des chefs d’État et à la Commission de reprendre immédiatement les négociations pour relever le plafond de la rubrique 6 et pour avancer sur de nouvelles ressources propres. On sait tous qu’une négociation doit bientôt commencer pour permettre la création du Fonds social climat annoncé en juillet par la Commission. On sait tous que le financement du plan de relance est complètement à trouver. Donc, le Parlement demande solennellement et instamment au Conseil de négocier sur la création de nouvelles ressources propres qui augmentent notre capacité d’action sans taxer M. et Mme Tout-le-Monde.
Monsieur le Président, Monsieur le Vice-Président, chers collègues, nous avons tous conscience de l’urgence climatique. L’été dernier, il y a eu 700 morts au Canada à cause de la canicule. Il y a eu 200 morts en Belgique, en Allemagne, à cause des inondations. Pour éviter le chaos qui vient, il faut éviter le blabla. Il est temps de déclarer la guerre au dérèglement climatique et à la précarité. Oui, déclarer la guerre! C’est la seule guerre qui ne fera aucune victime et qui évitera des millions de morts. C’est la seule guerre qui peut rassembler les peuples au lieu de les opposer.
Mais le nerf de la guerre, c’est l’argent. Et si on n’a pas d’argent, on reste dans le blabla. Et là, j’ai une mauvaise nouvelle, je viens de le dire: pour le moment, on n’a pas d’argent. Si on tient compte de l’inflation, le budget 2022 sera plus petit que le budget 2019. Et pour financer les budgets complémentaires 5 et 6, on vient d’anéantir toutes les marges de manœuvre disponibles pour les six prochaines années. Donc, si on ne dégage pas très vite de nouveaux moyens, d’ici un an ou deux, quand il y aura une nouvelle crise – crise de réfugiés, crise climatique, crise sanitaire –, à chaque fois qu’on cherchera de l’argent, nous devrons dire «désolé». Désolé, mais l’Europe est à sec. Désolé, nous n’avons pas d’argent. Est-ce cela que nous voulons?
Mes amis, les solutions existent. Il y a un an, le 13 novembre, le Parlement a approuvé un rapport – je vais vous le redonner, Monsieur le Vice-Président – proposant des solutions pour financer un vrai plan climat. Cinq solutions ont été mises en avant et, parmi elles, la solution la plus efficace – l’une des plus efficaces en volume et la plus mûre –, c’est la taxation de la spéculation, qui pourrait rapporter jusqu’à 57 milliards par an – 57 milliards par an! Et trois semaines plus tard, dans le paquet du budget pluriannuel, la Commission européenne rajoutait dix lignes, validait notre analyse et affirmait qu’il était souhaitable d’arriver à un accord sur la taxe sur les transactions financières avant la fin de 2022. Il y a un an, la Commission européenne affirmait: «Il est souhaitable d’arriver à un accord sur la TTF avant la fin de 2022». Un an plus tard, les marchés financiers sont à un niveau jamais vu, mais la négociation est bloquée – par la France, hélas! 
Mes amis, que dirons-nous à nos enfants? Nous vous laissons un monde invivable parce que nous n’avons pas eu le courage de taxer la spéculation? Nous avons laissé le climat partir en vrille parce que nous n’avons pas voulu nous opposer à quelques milliardaires? Nos enfants vont nous détester et ils auront raison. Mes amis, réveillons-nous!
"
Pierre LARROUTUROU,2021-09-14,FR,Brexit Adjustment Reserve - Draft amending budget No 1/2021: Brexit Adjustment Reserve (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-09-14-INT-2-377-0000_FR.html,"  Pierre Larrouturou,  rapporteur. – Monsieur le Président, Madame la Commissaire, chers collègues, chers amis, la commission des budgets a voté à l’unanimité, moins quatre abstentions, le projet de budget rectificatif pour mettre en œuvre effectivement cette réserve d’ajustement post-Brexit. Cette réserve, Pascal vient de l’expliquer, va permettre d’aider très concrètement tous nos citoyens et toutes les petites entreprises qui sont touchés par les conséquences du Brexit. Merci à toutes celles et à tous ceux qui ont négocié cet accord. Ça a été compliqué, mais Pascal a dit l’essentiel, c’est un bon accord. Je ne vais pas ajouter grand-chose et nous n’avons aucun problème pour le soutenir.
Mais après le Brexit, quels projets pour relancer l’Europe? Quels projets pour rassembler et pour relancer l’Europe? L’Europe va-t-elle se donner les moyens de réussir le post-Brexit, de réussir le pacte vert pour l’Europe? 75 % des jeunes Européens trouvent le futur effrayant. C’est une enquête qui a été publiée aujourd’hui dans plusieurs pays d’Europe. 75 % des jeunes trouvent le futur effrayant. À cause du dérèglement climatique, 56 % estiment que l’humanité est condamnée. 39 % des jeunes de nos pays hésitent à avoir des enfants. Ils ont raison de s’inquiéter. Nous sommes des dirigeants européens, allons-nous enfin répondre à leurs attentes?
Nous savons qu’il y a des solutions, des solutions concrètes et crédibles et j’y reviendrai. Mais qu’attendons-nous pour les mettre en œuvre? Plus de 700 morts cet été dans les canicules au Canada. Des dizaines de morts dans les inondations à New York et dans sa région. On a tous vu ces scènes d’horreur à New York. Plus de 200 morts en Belgique et en Allemagne à cause des inondations, des feux de forêt monstrueux en Turquie, en Algérie, en Californie, en Grèce. Cet été encore, le dérèglement climatique a fait des centaines et des centaines de morts, des dizaines et des dizaines de milliers de sinistrés. Et le rapport que les climatologues du GIEC viennent de publier montre que ces événements climatiques extrêmes mortifères vont être de plus en plus fréquents, de plus en plus nombreux, de plus en plus graves dans leurs conséquences humaines et économiques.
Et le GIEC montre que nous n’avons plus que quelques années. Il est encore possible de réussir le pacte vert pour l’Europe. Il est encore possible de gagner la bataille du climat, mais nous n’avons plus que quelques années pour y parvenir.
Il y a dix jours, avec d’autres députés, j’ai demandé que les responsables du GIEC soient entendus en séance plénière par notre Parlement. Je regrette que pour le moment, aucune date n’ait été fixée pour ce dialogue avec des climatologues du GIEC, qui pourrait être très important. Hier, c’est la Banque mondiale qui annonçait 200 millions de réfugiés climatiques, 200 millions de réfugiés climatiques d’ici 2050. Nous ne sommes pas capables de casser la courbe du CO2 et du méthane. La Banque mondiale, qui annonce ces chiffres terrifiants. Voyons les visages de 200 millions d’hommes et de femmes, de jeunes et de vieux qui devront quitter la région où ils sont nés pour ne pas mourir. Alors, qu’attendons-nous pour agir? 
Pour éviter le chaos, oui, le pacte vert peut être le grand projet pour refonder l’Europe après le Brexit. Mais il faut se donner les moyens de gagner la bataille. Et pour cela, il faut agir de façon beaucoup plus radicale, agir de façon beaucoup plus ambitieuse, au moins dans deux domaines: le domaine de la réglementation et le domaine des financements.
Sur les enjeux de régulation: vous avez sans doute lu le rapport publié par l’Agence internationale de l’énergie – 400 pages – le 18 mai 2021. L’Agence internationale de l’énergie demande de stopper immédiatement tout nouveau projet d’exploration pétrolière ou gazière. L’Agence internationale de l’énergie demande de stopper immédiatement tout nouveau projet d’exploration pétrolière et gazière. C’est faisable, c’est urgent, c’est l’Agence internationale de l’énergie qui nous le dit.
Et hélas, dans les dernières propositions de la Commission européenne pour le plan climat, il n’y a pas une ligne sur cette question absolument fondamentale. Pour gagner la bataille du climat et de l’emploi, il faudrait mettre des milliards pour isoler les maisons, faire des transports en commun ou développer les énergies renouvelables. On peut créer 5 millions d’emplois en Europe avec un vrai pacte vert.
En novembre dernier, notre Parlement a voté des solutions concrètes pour financer le pacte vert pour l’Europe. On ne va pas demander à chaque famille de trouver 40 000 euros pour isoler sa maison. On ne va pas demander à chaque PME de financer les travaux de transformation. Il faut des centaines de milliards d’aides. Le Parlement européen a voté cinq propositions. La plus ambitieuse, la plus rapide à mettre en place, c’est une petite taxe sur la spéculation. Je vous rappelle les chiffres. Malgré le Brexit et malgré la crise économique, la taxe sur la spéculation rapporterait 60 milliards chaque année. Nous avons tous voté ce texte en novembre dernier.
On peut aussi créer une taxe sur les milliardaires. Le journal Forbes nous dit que le nombre de milliardaires a triplé en dix ans et que, depuis que le virus sévit, en un an, les 20 milliardaires les plus riches ont gagné 600 milliards de plus. On peut sans doute leur demander un effort. Hélas, la semaine dernière, en auditionnant le commissaire européen chargé du budget, nous avons tous compris que toutes ces négociations pour trouver des ressources nouvelles sont complètement au point mort. Tel ou tel chef d’État avait bloqué la négociation pour faire plaisir au lobby bancaire. En France, ce sont les mêmes qui nous ont dit en juillet qu’il n’y avait pas d’argent pour une vraie loi climat et les mêmes qui bloquent au niveau européen la négociation pour taxer la spéculation. Ce double discours devient insupportable.
Mes amis, je trouve qu’il y a quelque chose d’obscène à nous dire qu’il n’y a pas d’argent pour le climat, pas d’argent pour l’emploi, pas d’argent pour la santé, alors que les marchés financiers n’ont jamais été à des niveaux aussi élevés et qu’une petite taxe rapporterait 60 milliards par an. Il est temps de nous ressaisir. Nous sommes face à une urgence vitale. C’est une urgence vitale. Réussir le plan climat, réussir le pacte vert, ce n’est pas un projet parmi d’autres. Nos enfants vont nous détester si on en reste à des discours creux. Nos enfants ne voudront plus nous parler, nos enfants nous jetteront des cailloux et ils auront raison.
Mes amis, il est temps de réagir. 56 % des jeunes pensent que l’humanité est condamnée. 75 % des jeunes, de nos jeunes, de nos enfants, voient le futur comme effrayant. Il est temps de leur donner tort. Il est temps de montrer que l’espoir est possible et il est temps de changer la donne. En 1950, il a suffi de deux semaines à Adenauer et à Schuman pour créer l’Union du charbon et de l’acier. Il est temps de créer aujourd’hui une union du climat et de l’emploi. C’est urgent. Allons-y! 
"
Pierre LARROUTUROU,2021-06-08,FR,State of play of the implementation of the own resources roadmap (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-06-08-INT-2-094-0000_FR.html,"  Pierre Larrouturou (S&D).   – Monsieur le Président, mes amis, le 7 avril dernier, Joe Biden annonçait sa volonté d’un taux minimum d’impôt sur les bénéfices des grandes entreprises au niveau international. Et le 5 juin, juste deux mois plus tard, nous avons applaudi un premier pas du G7. Un accord sans doute insuffisant – le taux doit monter dans les prochaines années –, mais un accord historique, en deux mois seulement.
Et l’Europe? Que fait l’Europe pour trouver plus d’argent pour la santé, pour le climat, pour l’emploi? C’est en 2011 que la Commission Barroso a proposé de créer une taxe sur la spéculation et, dix ans plus tard, elle n’existe toujours pas. Pourtant, depuis le mois de février, la négociation a repris pour arriver à un accord en coopération renforcée au 30 juin. Pas besoin de l’unanimité. Mais la France bloque. C’est hélas la France qui bloque encore. Pourtant, sans taxer la spéculation, on aurait de l’argent pour rembourser le plan de relance, on n’aurait pas besoin de la réforme des retraites que veut faire Bruno Le Maire. On aurait plus d’argent pour la santé, on aurait plus d’argent pour le climat et l’emploi.
Joe Biden restera dans l’histoire comme un leader qui a aidé à construire un monde plus juste. Il ne reste que quelques jours à Bruno Le Maire et Emmanuel Macron pour montrer qu’ils ne sont pas les défenseurs du vieux monde. J’aime mon pays, j’aime ce que Jacques Delors et d’autres Français ont apporté à l’Europe, mais j’ai honte aujourd’hui des blocages d’Emmanuel Macron et de...
(Le Président retire la parole à l’orateur)
"
