MP,Date,Language,Title,Url,Content
Pierrette HERZBERGER-FOFANA,2023-12-13,FR,The Maasai Communities in Tanzania,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-438-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Madame la Présidente, lors de la table ronde organisée au Parlement sur les peuples autochtones et les communautés locales par feu notre collègue Michèle Rivasi, les communautés de Massaï nous ont alertés sur leur situation critique. Ils accusent le gouvernement de vouloir les expulser de leurs terres ancestrales au profit d’un tourisme d’élite: la chasse aux trophées. Il s’agit de transformer leur aire d’habitat en zones de safari ou de chasse privée. Telle est la base du conflit qui vise à les obliger à abandonner ces terres.
Les Massaïs sont déplacés sans leur consentement. Ces déplacements arbitraires les éloignent des services sociaux et de santé, de l’accès à l’eau et aux pâturages, de même qu’ils perturbent l’éducation des enfants. Ces expulsions forcées provoquent une grave crise humanitaire et elles ont des répercussions négatives sur la vie des Massaï. Le programme gouvernemental de relocalisation volontaire viole leurs droits au sens des droits de l’homme, sans compter qu’il est interdit par le droit international.
Je devais me rendre avec Michèle Rivasi et un autre collègue en Tanzanie, mais, vingt-quatre heures avant notre départ, les autorités tanzaniennes ont décidé de reporter notre visite. C’est pourquoi je demande instamment à la Commission d’envoyer une mission d’observation indépendante qui veillera à ce que les droits de l’homme soient respectés dans les initiatives financées par l’Union européenne, en particulier le droit à l’autodétermination et le droit au consentement préalable et libre des Massaï.
"
Pierrette HERZBERGER-FOFANA,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-040-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Monsieur le Président, la violence contre les femmes est la violation des droits humains la plus partagée au monde, puisqu’environ une femme sur trois a subi au moins une fois dans sa vie un acte de violence, sous forme de coups et de blessures, de harcèlement sexuel, ou alors dans le pire des cas, de féminicide ou de soi-disant «crime d’honneur». Et ce sont toutes ces formes-là auxquelles on assiste en Europe. À cela s’ajoute la pédopornographie, la traite et la séquestration de femmes qui alimentent ainsi l’industrie du sexe qui connaît un boom économique sans précédent.
Bien que 125 pays condamnent la violence conjugale, car elle a de lourdes conséquences sur le psychisme des victimes et met en péril ces femmes, ils sont frileux à légiférer, tout comme à introduire, par exemple, la notion de consentement. La violence contre une femme est une atteinte contre son intégrité, et c’est également parfois une arme utilisée dans les régions en conflit.
Nous devons donc mener une âpre bataille afin que soit intégré le viol dans la directive. Car le viol, qui est un rapport non consenti, est un délit ignoble. On doit l’intégrer afin que l’Union devienne le continent qui aura éradiqué la violation de genre.
"
Pierrette HERZBERGER-FOFANA,2023-10-18,FR,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-283-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Madame la Présidente, si nous ne développons pas des mesures pour accélérer la cadence, nous n’atteindrons pas les ODD d’ici 2030. À mi-chemin, nous constatons un échec patent.
Afin de réaliser la mise en œuvre de ce programme de 17 objectifs, qui vise à créer un monde sûr, il faut intensifier les efforts en vue de réduire la pauvreté, éliminer la famine, créer des emplois décents, donner accès à un enseignement de qualité, parvenir à une couverture sanitaire universelle et à la réalisation de l’égalité des genres et mettre fin à la dégradation de l’environnement.
Nous n’allons pas baisser les bras. Pour sortir de cette crise et parvenir à réaliser les ODD, nous, députés de l’Union européenne, de concert avec des députés ACP, voulons mettre sur pied un grand projet visant à accélérer la mise en œuvre de l’ODD 4 et de l’ODD 5. Ce sera la «charte de Maputo et/ou ACP», laquelle va mettre l’accent avant tout sur la lutte contre les violences envers les femmes et permettre ainsi de se concentrer sur les inégalités faites aux femmes et aux filles tout en activant leur autonomisation, leur maintien au sein de l’école et le renforcement de leur participation dans le domaine de la politique.
Nous allons demander à l’ONU d’accepter cette charte en tant que projet visant à accélérer la réalisation de ces ODD. On ne peut plus attendre, car 2030 approche à grands pas.
"
Pierrette HERZBERGER-FOFANA,2023-09-14,FR,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-077-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Madame la Présidente, sexisme, racisme, homophobie sont les discriminations auxquelles les sportifs sont confrontés. Mais le sport permet aussi de lutter contre la discrimination. L’exemple le plus symbolique en la matière reste le poing levé des athlètes afro-américains lors des Jeux olympiques de Mexico, en 1968. 
Depuis, beaucoup d’eau a coulé sous les ponts. La portée médiatique de la Coupe féminine a donné une nouvelle dimension et ouvre le débat. Le scandale du baiser forcé de Rubiales pose le problème crucial de la violence sexuelle. Ce baiser est une agression sexuelle que nous condamnons, qui montre aussi comment les femmes sportives de haut niveau sont perçues dans le monde du sport. Jusqu’à présent, leurs performances n’étaient pas aussi valorisées que celles des hommes. Les rémunérations qu’elles reçoivent sont nettement inférieures à celles de leurs collègues. L’intérêt médiatique a mis à nu les inégalités du sport féminin. Les sportives s’entraînent dans des conditions déplorables. On se souvient également du débat des sportives voilées, qui considéraient cette interdiction comme une forme d’intolérance et de discrimination. Le scandale du baiser non consenti a éclipsé le débat sur la victoire des footballeuses. 
Non, c’est non! Et ça, Madame la Présidente l’a dit hier. Il faut accroître la présence féminine dans les institutions sportives afin que la voix des joueuses soit entendue. «Acabó», c’est fini, le silence des femmes, le manque de respect. Non, demeure non, et non, c’est aussi à l’impunité. 
"
Pierrette HERZBERGER-FOFANA,2023-09-12,FR,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-112-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Monsieur le Président, l’Union européenne et la Tunisie ont signé un protocole d’accord pour limiter l’immigration depuis le continent africain vers l’Europe. Cet accord, même s’il prévoit de sauver des vies humaines et de mettre un frein aux passeurs criminels, ne correspond pas à la réalité. En effet, l’océan devient le cimetière de tous les migrants. Des centaines de migrants sont bloqués en détresse à la frontière entre la Tunisie et la Libye. D’autres sont brutalement refoulés dans le désert, sans eau ni vivres. Une véritable tragédie se joue sous nos yeux.
Cet accord rend l’Union européenne complice des violations des droits des réfugiés, et accepte également le comportement répressif de la Tunisie, mais surtout de son président qui déverse sa bile par des propos racistes et xénophobes contre les migrants. Je le cite, il parle de «hordes de migrants illégaux venus des pays subsahariens qui ont ourdi un plan criminel, ont modifié la composition du paysage démographique de la Tunisie et qui seraient à l’origine de violences, de crimes et de pratiques inacceptables». Cet accord s’élève contre les valeurs d’humanisme qui caractérisent l’Union européenne et le respect des droits humains.
"
Pierrette HERZBERGER-FOFANA,2023-09-12,FR,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-328-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Monsieur le Président, un an s’est écoulé depuis l’assassinat de Mahsa Amini à cause d’une mèche de cheveux non voilée. Depuis 44 ans exactement, les femmes sont les cibles du régime autoritaire, de cette police des mœurs qui veut régenter leur vie et museler tout un peuple.
Un an après, rien n’a changé. Plus de 20 000 manifestants ont été emprisonnés à la suite de manifestations pacifiques; la torture et les arrestations abusives continuent et des citoyens européens sont pris en otage comme monnaie d’échange pour la diplomatie. Tout ceci, c’est en fait un crime contre l’humanité. La promotion de la violence vis-à-vis des femmes est intolérable, tout comme l’empoisonnement des jeunes filles, afin de les obliger à se conformer aux normes des mollahs. 
Les vaillantes femmes iraniennes refusent la dictature des mollahs qui imposent la mort et la répression et leur cri, «Femme, Vie, Liberté», retentit jusqu’à ce jour, et nous le scanderons avec elles pour prouver notre solidarité. Nous sommes à leurs côtés dans ce combat qu’elles mènent au prix de leur vie. Nous n’arrêterons pas de soutenir les femmes en Iran jusqu’à ce que ce régime meurtrier disparaisse et que chaque femme en Iran puisse jouir de la liberté. 
"
Pierrette HERZBERGER-FOFANA,2023-07-11,FR,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-235-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Monsieur le Président, ce rapport nous permet de tirer des enseignements et met à nu notre responsabilité vis-à-vis du Sud global et de tous ceux aussi qui ont souffert de cette pandémie. Les pays africains ne veulent pas de charité, mais la capacité de produire leurs propres vaccins. La renonciation aux droits de propriété intellectuelle est essentielle.
Au cours de nos missions en Afrique, la plupart des pays ont déploré le manque de reconnaissance de la pharmacopée traditionnelle utilisée par les populations pour le traitement. L’OMS et l’Union européenne devraient soutenir leur développement afin de transformer cette pharmacopée en produits thérapeutiques.
Nous ne devons pas oublier toutes les personnes qui ont souffert de la COVID, les travailleurs de la santé, en majorité des femmes, surtout les femmes migrantes, et les personnes vivant avec un handicap qui n’ont pas eu accès aux soins. Tous ceux également qui ont eu des problèmes de santé mentale.
Le partenariat sur un pied d’égalité est un défi qui doit être relevé par le traité sur les pandémies. L’Europe n’a pas été solidaire avec le Sud global. La question clé est l’accès à un financement durable et la renonciation à la propriété intellectuelle afin que les pays du Sud bénéficient du transfert de technologie et puissent produire leurs propres vaccins. Le partage des brevets est une nécessité. 
"
Pierrette HERZBERGER-FOFANA,2023-06-14,FR,"Humanitarian situation in Sudan, in particular the death of children trapped by fighting",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-399-0000_FR.html,"  Pierrette Herzberger-Fofana,  auteur. – Madame la Présidente, la guerre qui sévit au Soudan a des répercussions néfastes sur les populations les plus vulnérables, notamment les enfants. Depuis le 15 avril, le conflit au Soudan a fait des milliers de victimes. Selon les dernières estimations, sept enfants sont tués ou blessés chaque heure qui passe depuis le début des affrontements.
Plus de 13,6 millions d’enfants ont besoin d’aide humanitaire dans le domaine de la santé. En effet, on note une recrudescence de maladies qui avaient presque disparu, comme la rougeole. Compte tenu des nombreuses coupures de courant, les vaccins périment vite et les enfants ne peuvent plus être vaccinés. Ainsi, le taux de décès est en augmentation constante. Environ 3 millions d’enfants souffrent de malnutrition ou de déshydratation. Avec la guerre, la situation a empiré.
La question de l’éducation pose un problème majeur. Le fait de ne pas aller à l’école a des conséquences sur la santé physique et mentale des enfants. En outre, 64 % des filles subissent de nombreuses violences sexuelles, et les garçons sont impliqués de force dans le conflit armé. Cette violence est désastreuse pour tous ces enfants, qui n’ont rien à voir avec les causes de la guerre.
L’armée soudanaise et les Forces de soutien rapide restent engagées dans une lutte mortelle pour le pouvoir, tuant ainsi des milliers de civils innocents, déplaçant plus d’un million de personnes et forçant un demi-million d’entre elles à fuir vers les pays voisins. Nous saluons tous les efforts des organismes régionaux et internationaux en faveur d’une solution pacifique. Nous invitons l’Union européenne et ses États membres à augmenter l’aide humanitaire pour les personnes touchées par le conflit. Cette aide doit aussi aller vers les personnes déplacées et toutes celles qui ont trouvé refuge dans les pays frontaliers. Nous appelons à un cessez-le-feu, à un retour des belligérants à la table des négociations en vue de la paix, et au rétablissement du processus démocratique. Protégeons les enfants d’une région dont la culture est l’une des plus anciennes du monde.
"
Pierrette HERZBERGER-FOFANA,2023-06-12,DE,EU Day for the victims of the global climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-101-0000_DE.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Herr Präsident! Vanessa Nakate ist eine ugandische Klimaaktivistin. Sie beschreibt in ihrem Buch „Afrikas Stimme in der Klimakrise“ die Folgen des Klimawandels. Auf der Buchrückseite findet sich ein Zitat von Greta Thunberg. Es lautet: „Vanessa erinnert uns daran, dass wir zwar alle in denselben Sturm geraten sein mögen, aber eben nicht alle im selben Boot sitzen“. Die Klimakrise ist real, die Folgen sind jetzt bereits spürbar. Jedoch: Die Krise erlebt der Globale Süden, der am wenigsten dafür kann, weitaus schlimmer als der Globale Norden.
10 % der Weltbevölkerung verursachen ein Viertel der gesamten CO2-Emissionen. Wir wissen, dass durch den Klimawandel bedingte Wetterextreme diejenigen besonders hart treffen, die zu den Ärmsten dieser Welt gehören. Dürren, Hungersnot, Überflutungen auf der Südhalbkugel unseres Planeten haben den Teil der Weltbevölkerung, der die größte Verantwortung für den Klimawandel trägt, wenig beeindruckt. Beispielhaft: Letztes Jahr 2 500 Tote in Uganda durch extreme Dürre, 1 700 Tote in Bangladesch durch Überschwemmungen. Der gleiche Sturm: verschiedene Rettungsboote, oft gar keine.
Wir müssen in unserem Verhalten sicherstellen, dass wir heute und in Zukunft an alle Opfer denken. Der EU-Tag für die Opfer der globalen Klimakrise sollte uns zum Anlass dienen, eine ehrliche Debatte über Klimagerechtigkeit zu beginnen.
"
Pierrette HERZBERGER-FOFANA,2023-05-31,FR,Sexual harassment in the EU and MeToo evaluation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-263-0000_FR.html,"  Pierrette Herzberger-Fofana (Verts/ALE).   – Monsieur le Président, le mouvement MeToo fondé par Tarana Burke en 2006 pour soutenir et renforcer les jeunes femmes afro-américaines qui ont survécu à la violence sexuelle s’est répandu dans le monde entier. Ainsi, de nombreuses victimes ont pris la parole pour briser le silence en racontant leurs histoires de violences sexuelles. Ces témoignages ont conduit à de nouvelles politiques et législations pour prévenir et combattre toute forme de harcèlement sexuel, sans oublier le harcèlement sur le lieu de travail.
Les formations de prévention contre le harcèlement au sein du Parlement pour les députés et le personnel ont un caractère facultatif. Il faudrait les rendre obligatoires afin que la question du harcèlement soit prise au sérieux. Le harcèlement est un délit qui affecte la santé et met en jeu la sécurité des femmes qui en sont les principales cibles. C’est une violation de leur dignité.
Si certains États membres condamnent et punissent avec de lourdes peines le harcèlement, cette mesure devrait s’appliquer dans toute l’Union européenne. Une criminalisation du harcèlement à titre de violences sexuelles ou morales serait un premier pas vers une législation commune, conformément à la convention d’Istanbul qui va être ratifiée. La collecte de données intersectionnelles sur le harcèlement et la violence dans l’Union européenne pourrait contribuer à améliorer la prévention en cours et l’aide aux victimes. L’Union européenne et ses institutions doivent mettre en œuvre les recommandations de la résolution. Nous voulons atteindre une tolérance zéro au sein de notre Parlement.
"
