MP,Date,Language,Title,Url,Content
Pietro FIOCCHI,2023-11-21,EN,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-087-0000_EN.html,"  Pietro Fiocchi,  on behalf of the ECR Group. – Mr President, we are all in agreement with our good friend Bas Eickhout – but he's not listening – regarding the need to reduce CO2 emissions on the heavy vehicles. But our approach is a pragmatic one, meaning that before we have very ambitious goals and then we do not reach them, we prefer to have very pragmatic goals that we make sure that all the Member States we reach.
There are three points in which the ECR Group will be fighting on. Number one is the carbon correction factor, which we think is necessary to handle the wide variety of heavy vehicles. Number two is the urban buses. We ran a study in Italy and in most of the largest cities, we reach the goal that is proposed in the text, but most of the smaller cities will not make it because of a whole bunch of different problems, especially on the recharging stations and so on. And last, neutral fuels. We know Germany – and we hear Peter Liese – they are very strong on synthetic fuels. Italy is very strong on biomasses. We do believe that we need to accept all the different type of less impacting fuels.
"
Pietro FIOCCHI,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-220-0000_IT.html,"  Pietro Fiocchi,  a nome del gruppo ECR. – Signora Presidente, onorevoli colleghi, allora il gruppo ECR è ovviamente d'accordo sull'obiettivo di ridurre l'ammontare del packaging e del materiale usato ma soprattutto, dal mio punto di vista, di ridurre il volume che va nelle discariche e negli inceneritori. Questo è importante per tutta l'Europa, sia per l'ambiente ma anche dal punto di vista economico. 
Su questo regolamento, come abbiamo discusso nella commissione ENVI, ci sono tre punti che non mi piacciono particolarmente: il primo che è un regolamento e non una direttiva, per cui non lascia nessun tipo di spazio alle nazioni per decidere se vogliono seguire una certa strada piuttosto che un'altra. E qua faccio riferimento ovviamente – ma lo sapete tutti – al fatto che l'Italia e il Belgio sono forti sul riciclo e sulla raccolta differenziata, altri Paesi sono forti sugli inceneritori e via dicendo. 
Inoltre, le valutazioni di impatto sono state fatte ma secondo me sono un po' scarse, nel senso che non hanno guardato bene né la parte sociale, né la parte economica e, in certi casi, neanche la parte ambientale. Per cui su questo è importante secondo me rifarle. Il contenuto minimo riciclato – e questo qualcosa che dico al potentissimo Commissario – è un problema perché ci sono già delle stime secondo cui ci sarà una crescita del costo del materiale riciclato in Europa del 120-180%, a secondo delle varie stime del Financial Times e di altri. 
Per concludere, il problema qua è che, tra gli aumenti di costo sui trasporti – e oggi abbiamo votato la questione delle emissioni CO2 dei veicoli pesanti – e l'aumento dei costi relativi al packaging, noi stiamo scaricando sull'utente europeo e sul cittadino europeo un aumento del 10% nei supermercati. Per cui, secondo me, siamo veramente impazziti, perché il cittadino europeo questo non lo capisce. 
"
Pietro FIOCCHI,2023-10-05,IT,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-031-0000_IT.html,"  Pietro Fiocchi,  a nome del gruppo ECR. – Signor Presidente, onorevoli colleghi, un grazie all'onorevole Nils Torvalds, che è un grandissimo relatore su queste cose. Soprattutto, sono stato colpito dalla sua esperienza personale sul cancro. Io, come relatore ombra della commissione speciale BECA, sono convinto che la qualità dell'aria e dell'acqua in Europa sia fondamentale per ridurre il numero di casi di cancro, per cui sono veramente dalla tua parte.
Da questo punto di vista, ci sono due problematiche sul trattamento delle acque. Una è un problema fisico, e parlo dell'Italia, parlo del mio lago, il lago di Como, in cui non c'è lo spazio fisico per fare il trattamento quaternario, e questo è un problema che dovremo gestire. L'altro problema che vedo, sempre da un punto di vista tecnico, è il fatto che non abbiamo ancora le tecnologie per gestire in maniera efficace il trattamento delle microplastiche, delle nanoplastiche e dei PFAS. Per cui, da questo punto di vista, vedo tutta una serie di problemi, ma sono sicuro che l'Europa riuscirà a portare a casa i risultati, magari dando anche dei bei fondi a chi vuole fare questa iniziativa.
L'ultima cosa è l'extended producer responsibility, che è problematica perché bisogna capire da un punto di vista giuridico come fai a far pagare a un'azienda farmaceutica il fatto che una persona butta l'antibiotico nel gabinetto. Per cui, anche su questo dovremmo un attimo chiarire le regole.
"
Pietro FIOCCHI,2023-10-03,IT,"Classification, labelling and packaging of substances and mixtures (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-507-0000_IT.html,"  Pietro Fiocchi,  a nome del gruppo ECR. – Signor Presidente, onorevoli colleghi, siamo tutti d'accordo sulla necessità della revisione del regolamento CLP, però ci sono alcuni punti, e mi rivolgo al Commissario.
Uno: l'obbligo di mettere tutti i warning nella lingua del paese di destinazione. Perché, invece di prevedere gli atti delegati della Commissione per usare il QR code, non lo facciamo subito nel regolamento usando il QR code, in modo che possiamo passare tutte le informazioni in tutte le lingue che vogliamo, di qualsiasi densità e volume?
Poi, c'è un problema sulle sostanze composte, nel senso che in alcuni casi non ci sono i metodi scientifici di determinazione della pericolosità per la salute umana.
Infine, i caratteri grandi. I caratteri grandi: bellissimo, così sono più leggibili, ma ricordiamoci che vanno in contrasto con la legge sul packaging, perché andare dal font size 10 al font size 12 vuol dire il 20 % in più di uso di carta e di plastica, in contrasto con la direttiva sul packaging. Pertanto, chi ha scritto alcune di queste regole non ha mai lavorato un giorno in fabbrica e non ha mai parlato con gli utenti finali, che, tra l'altro, dubito leggeranno tutti questi warning.
"
Pietro FIOCCHI,2023-09-13,IT,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-181-0000_IT.html,"  Pietro Fiocchi (ECR).   – Signora Presidente, onorevoli colleghi, declassifichiamo il lupo. Ci sono decine di migliaia di attacchi tutti gli anni, non solo a pecore, asini, capre e vacche, ma anche ad animali da compagnia e cani. Tra l'altro, l'Italia è particolare, perché se il mio cane morde una persona viene soppresso dalle autorità ma se io sparo a un lupo che attacca un bambino rischio fino a quattro anni di galera perché è penale.
Gli aiuti agli allevatori, i rimborsi, i recinti e i cani da guardia ci sono ma non sono sufficienti e, soprattutto, denotano un'ignoranza pazzesca, perché il concetto di portare gli animali in alta montagna è per l'allevamento semibrado per cui, se io devo chiuderli, li tengo in un capannone in pianura e me ne frego, perché mi costa di meno, con dei danni grossissimi dal punto di vista del rischio antincendio e del rischio idrogeologico.
Sono stato recentemente in Valtellina un'ora dopo una predazione da parte di lupi e c'erano quattro pecore, tre capre e un asino che stavano morendo davanti ai miei occhi perché i lupi gli avevano mangiato le interiora e le stavano mangiando piano piano, per cui sono dovuto intervenire – ho ancora gli occhi di questi animali qui dentro la mia mente – e li ho uccisi, ho aiutato il pastore a ucciderli perché comunque sarebbero morti tra i più atroci tormenti. 
Gli animalisti vogliono a tutti i costi difendere i lupi: forse dal loro comodo salotto nel centro di Milano, con il gatto, hanno questa idea che bisogna eliminare l'uomo e difendere i lupi. Però la ricetta non è quella: allora, se io devo scegliere tra la pecora e il lupo, scelgo la pecora! Io sto con la pecora.
"
Pietro FIOCCHI,2023-07-11,IT,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-062-0000_IT.html,"  Pietro Fiocchi (ECR).   – Signor Presidente, onorevoli colleghi, il regolamento sul ripristino della natura è stato bocciato in tre commissioni, AGRI, PECH ed ENVI, dovremmo chiederci il perché.
Il fascicolo prevede un vincolo sulle nuove aree al di fuori della rete Natura 2000 – venite in Italia a vedere cosa succede nelle aree Natura 2000, abbandonate perché è vietato qualsiasi tipo di attività umana, sono diventate centri di spaccio di droga e di prostituzione.
Poi sussiste una palese violazione del principio della proprietà privata, per cui sussidiarietà e proporzionalità li buttiamo nel gabinetto.
Infine un tema caro al Commissario Sinkevičius: i 25 000 chilometri di fiumi a scorrimento libero. Come la mettiamo con la produzione delle energie rinnovabili e quindi l'energia idroelettrica? È qui c'è un palese contrasto dell'azione della Commissione.
Per cui voteremo per il rigetto della proposta, proprio perché siamo a favore dell'ambiente ma non a scapito della produzione agricola; siamo a favore della natura ma non a scapito della produzione delle rinnovabili; siamo a favore del ripristino della natura ma non ci renderemo complici di cancellare i diritti dei cittadini europei.
Infine un commento personale: se io avessi fatto gli studi di impatto ambientale che ha fatto la Commissione sulle questioni sociali, economiche e ambientali al liceo, mi avrebbero bocciato. Per cui forse la Commissione è meglio che vada a scuola e rifaccia questi studi.
"
Pietro FIOCCHI,2023-03-13,IT,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-098-0000_IT.html,"  Pietro Fiocchi (ECR).   – Signora Presidente, signora Commissario, onorevoli colleghi, l'Italia ha dato il 110% di copertura finanziaria fiscale per fare il salto energetico e in due anni hanno fatto meno di 500 000 appartamenti. Adesso si chiede di fare 9 milioni di appartamenti all'Italia in dieci anni. Non succederà, anche perché una delle cose che è successa è che il costo del materiale coibentate e dei ponteggi è salito del 150% o 200%. 
E poi invece, un argomento molto più serio per la Commissione: il radon, che è un gas naturale radioattivo che esce dal terreno e che c'è in Italia, nella Repubblica Ceca, in Finlandia e in Spagna. Il coibentare gli edifici vuol dire racchiudere il radon ancora in maniera più efficiente all'interno di edifici, che vuol dire un aumento dei casi di cancro ai polmoni per la popolazione che vive in quegli edifici. 
Per cui chiedo alla Commissione di considerare il radon come una cosa molto importante e predisporre tutta una serie di attività per la misurazione e per le azioni correttive.
"
Pietro FIOCCHI,2023-02-14,EN,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-017-0000_EN.html,"  Pietro Fiocchi,  on behalf of the ECR Group. – Madam President, Vice—President Timmermans, as an entrepreneur, I really do believe that we should have left it to the market, to companies, to decide what was the best technological solution to solve the problem. 
We are all in favour of reducing emissions, of course, but we, as the ECR Group, have some problems. Number one: the workplace, how many jobs can be cancelled by this? What is Europe doing to do something about these workers? Number two: even more important, the dependence on foreign countries, and specifically China, regarding microchips, lithium, cobalt and so on. If we talk about environmental issues – and again I go back to the measurement on the tailpipe – I’ve seen mining operations in Africa and in a lot of countries and I can assure you that the impact on the environment is horrible. So we need to look at that. 
Now I welcome the input by Commissioner Breton on an impact assessment in 2026, and we are looking at that. I also would like to say to the Vice—President that I hope this is not going to be imposed also on heavy vehicles and agricultural vehicles because that’s a different problem. 
I conclude again by saying why not give bonuses to scrap all the Euro 0, Euro 1, Euro 2, Euro 3 and Euro 4 vehicles so that we can reduce the output by 40%?
"
Pietro FIOCCHI,2022-11-23,IT,Protection of livestock farming and large carnivores in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-450-0000_IT.html,"  Pietro Fiocchi (ECR).   – Signor Presidente, signor Commissario, onorevoli colleghi, sono appena tornato da una serie di visite sul territorio alpino a seguito delle centinaia di segnalazioni di predazione da parte di grandi carnivori di pecore, capre, asini, mucche, lo sapete, ma ultimamente anche di cani da compagnia, nelle vicinanze di insediamenti umani.
Ho osservato episodi raccapriccianti, il peggiore dei quali su una predazione di pecore, una decina, alcune delle quali uccise dai lupi con la loro consolidata tecnica di rendere incapace l'animale e di mangiarlo vivo partendo dallo stomaco. Ho ancora in testa gli occhi di questi poveri animali tra la sofferenza e il terrore, come sono morti e quanto tempo ci hanno messo.
Per cui chiedo alla Commissione, ma anche alle delegazioni nazionali, di cui voi siete dei rappresentanti di fatto, che saranno presenti alla riunione della Convenzione di Berna la settimana prossima a Strasburgo, di appoggiare la richiesta del governo svizzero di declassificare il lupo da altamente protetto a solamente protetto, in modo da dare uno strumento di gestione più efficace e in sintonia con i bisogni regionali, richiesta supportata da dati scientifici che classificano il lupo non più come in pericolo critico ma vulnerabili o di minor preoccupazione a seconda della regione.
A oggi se io devo scegliere tra il lupo e la pecora, io sto con la pecora.
"
Pietro FIOCCHI,2022-10-04,EN,Key objectives for the CITES CoP19 meeting in Panama (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-04-INT-2-172-0000_EN.html,"  Pietro Fiocchi,  on behalf of the ECR Group. – Madam President, I have a very practical question for the Commission, and regarding this topic, I will present a separate vote on a paragraph 39, which bans the import of a hunting trophy.
As a person that has worked a lot in Africa for many years, I know the situation very well, and I work on the side of people defending biodiversity. But, for example, in Namibia, trophy hunting, which is legal trophy hunting, is almost 5% of the gross national product and is very important from a biodiversity protection and an economic point of view, because all the meat goes to tribes, part of the money goes to the tribes for schooling, in exchange of not poaching. Because we have to remember that a lot of animal killings in Africa are done by the tribes to protect their agricultural land, for reason, because they need food, also for money. And so this system works; brings a positive economic effect, brings protection of biodiversity. So I would like to believe this is possible.
And by the way, I’m in contact with the ambassadors of Namibia, South Africa, Botswana and Mozambique, and I would like to bring them here to explain exactly the numbers in their respective countries.
"
