MP,Date,Language,Title,Url,Content
Pina PICIERNO,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-023-0000_IT.html,"  Pina Picierno (S&D).   – Signor Presidente, onorevoli colleghe, un anno dopo siamo ancora qui a guardare con sgomento, con rabbia, la lista interminabile di donne uccise, picchiate, annichilite. A dirci ancora una volta che non c'è più tempo, non ne abbiamo più. A ricordarci ancora una volta che le donne non muoiono a causa di una tragedia naturale; non muoiono perché ammazzate da un terremoto o da un'alluvione. Muoiono perché ammazzate tutte per mano di uomini: compagni, ex compagni, uomini. 
Stiamo parlando di omicidi, di un crimine, di un criminale che prevarica la vittima. E questo crimine ha però qualcosa di particolare: le vittime sono tutte donne e gli assassini sono tutti uomini. E questi uomini vanno fermati. Va fermata la cultura che alimenta la loro violenza perché ha un nome preciso: si chiama patriarcato. 
E allora siamo ancora qua a ricordarci che sono mesi che noi cerchiamo di portare avanti un lavoro importante. Questo Parlamento sta facendo molto. Ma molto non è ancora abbastanza perché noi non siamo riusciti ancora ad ottenere un testo minimo, ambizioso e ragionevole che includa cose minime. Due su tutte: in assenza di consenso è violenza e il tempo della denuncia non condiziona la fondatezza della denuncia stessa. È il minimo che possiamo ottenere per il sangue delle nostre sorelle che non possiamo lavare via e in memoria loro dobbiamo continuare insieme questa battaglia. E lo faremo, insieme. Cambieremo tutto.
"
Pina PICIERNO,2023-11-20,IT,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-114-0000_IT.html,"  Presidente. –   La discussione è chiusa.
La votazione si svolgerà domani, martedì 21 novembre 2023.
Dichiarazioni scritte (articolo 171)
"
Pina PICIERNO,2023-11-20,IT,Composition of committees and delegations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-116-0000_IT.html,"  Presidente. –   Prima di passare alla prossima discussione, desidero informare l'Aula che il PPE ha comunicato una decisione di modifica relativamente alle nomine in seno a una delegazione. Questa decisione sarà inclusa nel verbale della seduta odierna ed entrerà in vigore a decorrere dal presente annuncio.
"
Pina PICIERNO,2023-11-20,IT,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-118-0000_IT.html,"  Presidente. –   L'ordine del giorno reca in discussione la relazione di Christian Ehler, a nome della commissione per l'industria, la ricerca e l'energia, sul quadro di misure per rafforzare l'ecosistema europeo di produzione di prodotti delle tecnologie a zero emissioni nette (normativa sull'industria a zero emissioni nette) (COM(2023)0161 - C9-0062/2023 - 2023/0081(COD)) (A9-0343/2023)
"
Pina PICIERNO,2023-11-20,IT,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-158-0000_IT.html,"  Presidente. –   La discussione è chiusa.
La votazione si svolgerà domani, martedì 21 novembre 2023.
Dichiarazioni scritte (articolo 171)
"
Pina PICIERNO,2023-11-20,IT,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-161-0000_IT.html,"  Presidente. –   L'ordine del giorno reca la relazione di René Repasi, a nome della commissione per il mercato interno e la protezione dei consumatori, sulla proposta di direttiva del Parlamento europeo e del Consiglio recante norme comuni che promuovono la riparazione dei beni e che modifica il regolamento (UE) 2017/2394 e le direttive (UE) 2019/771 e (UE) 2020/1828 (COM(2023)0155 - C9-0117/2023 - 2023/0083(COD)) (A9-0316/2023).
"
Pina PICIERNO,2023-11-09,IT,Voting time,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-065-0000_IT.html,"  Presidente. –   Passiamo ora alle votazioni.
"
Pina PICIERNO,2023-11-09,IT,Election of a Quaestor of the European Parliament (to replace Monika Beňová) (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-067-0000_IT.html,"  Presidente. –   L'ordine del giorno reca l'elezione di un Questore del Parlamento europeo (in sostituzione dell'onorevole Monika Beňová) (2023/2928(RSO)).
Vi ricordo che, a norma dell'articolo 20 del regolamento del Parlamento, il nuovo Questore prende il posto del suo predecessore nell'ordine di precedenza.
Per l'elezione di un Questore in sostituzione dell'onorevole Beňová la Presidente ha ricevuto la nomina dell'onorevole Victor Negrescu, nominato dal gruppo S&D. Il candidato ha confermato il suo consenso alla nomina.
Poiché il numero di candidati non supera il numero di seggi da assegnare, il candidato è eletto per acclamazione, conformemente all'articolo 15, paragrafo 1, del regolamento, a meno che un numero di deputati non richiedano lo scrutinio segreto.
Devo quindi chiedervi, c'è una richiesta di scrutinio segreto?
Non c'è alcuna richiesta.
Dichiaro l'onorevole Victor Negrescu eletto alla carica di Questore del Parlamento europeo. Congratulazioni all'onorevole Negrescu per la sua elezione.
La composizione del nuovo Ufficio di presidenza sarà notificata ai Presidenti delle istituzioni dell'Unione europea.
Proseguiamo con le votazioni.
"
Pina PICIERNO,2023-11-09,IT,"Effectiveness of the EU sanctions on Russia (RC-B9-0453/2023, B9-0453/2023, B9-0454/2023, B9-0455/2023, B9-0456/2023, B9-0457/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-098-0000_IT.html,"  Presidente. –   Il turno di votazioni è chiuso.
(La seduta è sospesa per qualche istante)
"
Pina PICIERNO,2023-11-09,IT,Explanations of vote,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-102-0000_IT.html,"  Presidente. –   Procediamo ora alle dichiarazioni di voto.
"
