MP,Date,Language,Title,Url,Content
Rainer WIELAND,2023-12-14,DE,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-107-0000_DE.html,"  Der Präsident. –   Herr Kollege Kelly hat um das Wort gebeten, und ich darf Sie um Ruhe bitten.
"
Rainer WIELAND,2023-12-14,DE,Voting time,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-111-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Abstimmung.
(Abstimmungsergebnisse und sonstige Einzelheiten der Abstimmung: siehe Protokoll.)
"
Rainer WIELAND,2023-12-14,DE,European Hydrogen Bank (A9-0379/2023 - Robert Hajšel)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-132-0000_DE.html,"  Der Präsident. –   Liebe Kolleginnen, liebe Kollegen! Bevor wir zu der letzten Abstimmung kommen, habe ich eine besondere Mitteilung zu machen: Eine Beamtin dieses Hauses, Frau Aino Salminen, tritt ihren Ruhestand an. Dies ist ihre letzte Sitzung. Frau Salminen weiß auch nichts von dieser Erwähnung.
(Beifall)
Frau Salminen ist mit den Protokollen des Plenums befasst gewesen und arbeitet seit fast 29 Jahren für das Parlament, und zwar überwiegend für die Plenarsitzungen, und wir alle wissen, wie schwierig es ist, die Protokolle anschließend zu erstellen. Ich möchte Frau Salminen herzlich für ihren Beitrag zur Tätigkeit des Plenums danken.
Ich kann meinen Dank vielleicht gleich noch erweitern für alle, die in dieser Woche unsere Arbeit leichter gemacht haben. Wir stehen am Ende dieser Plenarsitzung. Solange noch alle da sind – bevor ich es heute Nachmittag tue –, will ich allen frohe Weihnachten wünschen. Eine erholsame Zeit, besinnliche Zeit zwischen den Jahren und einen guten Beginn im nächsten Jahr Ihnen allen.
(Beifall)
"
Rainer WIELAND,2023-12-14,DE,"Attempt of coup d’Etat in Guatemala (RC-B9-0526/2023, B9-0526/2023, B9-0527/2023, B9-0528/2023, B9-0529/2023, B9-0530/2023, B9-0531/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-134-0000_DE.html,"  Der Präsident. –   Damit ist die Abstimmungsstunde geschlossen.
(Die Sitzung wird um 12.39 Uhr unterbrochen.)
"
Rainer WIELAND,2023-12-14,DE,Approval of the minutes of the previous sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-138-0000_DE.html,"  Der Präsident. –   Das Protokoll der gestrigen Sitzung und die angenommenen Texte sind verfügbar.
Ich sehe keine Einwände.
Das Protokoll ist damit genehmigt.
"
Rainer WIELAND,2023-12-14,DE,Improving the strategic approach to the enforcement of EU Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-140-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Anfrage zur mündlichen Beantwortung an die Kommission über die Verbesserung des strategischen Ansatzes für die Durchsetzung des EU-Rechts von Dolors Montserrat im Namen des Petitionsausschusses (O-000047/2023 – B9—0038/23) (2023/2886(RSP)).
"
Rainer WIELAND,2023-12-14,EN,Improving the strategic approach to the enforcement of EU Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-145-0000_EN.html,"  President. –   Colleague, I let you speak but I hardly see that you talk about the issue.
"
Rainer WIELAND,2023-12-14,DE,Improving the strategic approach to the enforcement of EU Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-158-0000_DE.html,"  Der Präsident. –   Die Aussprache ist geschlossen.
"
Rainer WIELAND,2023-12-14,DE,Explanations of vote,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-160-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgen Erklärungen zu den Abstimmungen.
"
Rainer WIELAND,2023-12-14,DE,"Attempt of coup d’Etat in Guatemala (RC-B9-0526/2023, B9-0526/2023, B9-0527/2023, B9-0528/2023, B9-0529/2023, B9-0530/2023, B9-0531/2023)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-179-0000_DE.html,"  Der Präsident. –   Soweit die Stimmerklärungen zu diesem Thema.
"
Rainer WIELAND,2023-12-14,DE,Approval of the minutes of the sitting and forwarding of texts adopted,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-181-0000_DE.html,"  Der Präsident. –   Das Protokoll dieser Sitzung wird dem Parlament zu Beginn der nächsten Sitzung zur Genehmigung vorgelegt.
Wenn es keine Einwände gibt, werde ich die in der heutigen Sitzung angenommenen Entschließungen den in diesen Entschließungen genannten Personen und Gremien übermitteln.
"
Rainer WIELAND,2023-12-14,DE,Dates of forthcoming sittings,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-183-0000_DE.html,"  Der Präsident. –   Die nächste Tagung findet vom 15. bis zum 18. Januar 2024 statt.
"
Rainer WIELAND,2023-12-14,DE,Adjournment of the session,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-187-0000_DE.html,"  Der Präsident. –   Ich erkläre die Sitzungsperiode des Europäischen Parlaments für unterbrochen.
"
Rainer WIELAND,2023-12-12,EN,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-436-0000_EN.html,"  President. –   Colleague, unfortunately I had my attendance to something else. We have clear rules. Blue card, 30 seconds question, 30 seconds answer. And you complained after 42 seconds. Yes.
"
Rainer WIELAND,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-437-0000_DE.html,"  Der Präsident. –   Sie hatten viel mehr als eine Minute. Die Regeln sind klar: blaue Karte – 30 Sekunden Frage, 30 Sekunden Antwort. Ja, aber das geht nicht. Ich war nur abgelenkt, sonst wäre es nicht so lange gegangen.
"
Rainer WIELAND,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-447-0000_DE.html,"  Der Präsident. –   Ich nehme das zur Kenntnis.
"
Rainer WIELAND,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-450-0000_DE.html,"  Der Präsident. –   Die Aussprache ist geschlossen.
"
Rainer WIELAND,2023-12-12,EN,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-451-0000_EN.html,"    Commissioner, I was not aware, up to now, that the next two debates are also with you. So you are sitting now four and a half hours. So we can have a short technical break, but we are already at 22.20. So if you need a short break, but we cannot afford a long time. So I put it into your discretion.
"
Rainer WIELAND,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-452-0000_DE.html,"  Der Präsident. –   Liebe Kolleginnen und Kollegen, wir haben eine Lösung gefunden. Herr Kommissar und Vizepräsident Dombrovskis wird die Erklärung des Vizepräsidenten der Kommission und Hohen Vertreters übernehmen, weil es ist in der Tat so: Er ist seit viereinhalb Stunden hier, keine Mahlzeit, und es sind noch zwei weitere Debatten. Deshalb sind wir für die Flexibilität dankbar. Das, was für die Erklärung notwendig ist, wird sich jetzt Herr Dombrovskis bemühen, genauso gut zu machen wie Herr Borrell Fontelles, und dann können wir so verfahren.
"
Rainer WIELAND,2023-12-12,DE,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-454-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung des Vizepräsidenten der Kommission und Hohen Vertreters der Union für Außen- und Sicherheitspolitik zu Umweltauswirkungen des Angriffskriegs Russlands gegen die Ukraine und zu der notwendigen Rechenschaftspflicht (2023/2991(RSP)).
"
Rainer WIELAND,2023-12-12,DE,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-483-0000_DE.html,"  Der Präsident. –   Die Aussprache ist damit geschlossen.
Schriftliche Erklärungen (Artikel 171 GO)
"
Rainer WIELAND,2023-12-12,DE,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-485-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über den Bericht von Tonino Picula im Namen des Ausschusses für auswärtige Angelegenheiten über die Empfehlung des Europäischen Parlaments an den Rat, die Kommission und den Vizepräsidenten der Kommission/Hohen Vertreter der Union für Außen- und Sicherheitspolitik zu den Beziehungen zwischen der EU und den USA (2023/2126(INI)) (A9-0372/2023).
"
Rainer WIELAND,2023-11-22,EN,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-306-0000_EN.html,"  President. –   All speakers should take into account that the very good capacities of the interpreters have some limitations and we do not want to introduce like in basketball the effective playing time.
"
Rainer WIELAND,2023-11-22,DE,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-339-0000_DE.html,"  Der Präsident. –   Die Aussprache ist damit geschlossen.
Die Abstimmung findet während der nächsten Tagung statt.
Schriftliche Erklärungen (Artikel 171)
"
Rainer WIELAND,2023-11-22,DE,The lack of legislative follow-up by the Commission to the PEGA resolution (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-341-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung der Kommission zu dem ausbleibenden legislativen Handeln der Kommission nach der Entschließung des PEGA-Untersuchungsausschusses (2023/2988(RSP)).
"
Rainer WIELAND,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-351-0000_DE.html,"  Der Präsident. –   Herr Kollege Saryusz-Wolski, ich rufe Sie wegen des Begriffs der Lüge zur Ordnung.
Wir sollten uns das gegenseitig nicht vorwerfen, das ist unparlamentarisch.
"
Rainer WIELAND,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-354-0000_DE.html,"  Der Präsident. –   Die Aussprache ist geschlossen.
Die Abstimmung findet am Mittwoch, 22. November 2023, statt.
Schriftliche Erklärungen (Artikel 171)
"
Rainer WIELAND,2023-11-21,DE,Composition of committees and delegations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-357-0000_DE.html,"  Der Präsident. –   Die EVP-Fraktion und die Fraktion Renew Europe haben der Präsidentin Beschlüsse über die Änderung von Ernennungen in den Ausschüssen übermittelt. Diese Beschlüsse werden in das Protokoll der heutigen Sitzung aufgenommen und treten am Tag dieser Ankündigung in Kraft.
"
Rainer WIELAND,2023-11-21,DE,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-359-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über den Bericht von Siegfried Mureşan und Nils Ušakovs im Namen der Delegation des Europäischen Parlaments im Vermittlungsausschuss für Haushaltsfragen über den Standpunkt des Rates zum Entwurf des Gesamthaushaltsplans der Europäischen Union für das Haushaltsjahr 2024 (11565/2023 – C9-0422/2023 – 2023/0264(BUD)) (A9-0362/2023).
"
Rainer WIELAND,2023-11-21,DE,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-385-0000_DE.html,"  Der Präsident. –   Die Aussprache ist geschlossen.
Die Abstimmung findet am Mittwoch, 22. November 2023, statt.
(Die Sitzung wird für kurze Zeit unterbrochen.)
"
Rainer WIELAND,2023-10-19,DE,Approval of the minutes of the previous sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-165-0000_DE.html,"  Der Präsident. –   Das Protokoll der gestrigen Sitzung und die angenommenen Texte sind verfügbar.
Ich sehe keine Einwände.
Das Protokoll ist damit genehmigt.
"
Rainer WIELAND,2023-10-19,DE,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-167-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung der Kommission zu dem Vorschlag der Kommission für eine Empfehlung des Rates zur Entwicklung der Rahmenbedingungen für die Sozialwirtschaft (2023/2908(RSP)).
"
Rainer WIELAND,2023-10-19,DE,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-183-0000_DE.html,"  Der Präsident. –   Wir sind jetzt am Ende dieser Aussprache angelangt, und bevor die Kommissarin jetzt das Wort erhält, würde ich gerne noch eine Bemerkung machen. Normalerweise bin ich hier, damit die Neutralität gewahrt wird, und ich halte das auch ein, und ich denke, dass ich die Neutralität auch jetzt nicht verletze, aber ich will schon mal die Bemerkung eines Redners hier heute Nachmittag aufgreifen.
Ich bemerke, dass sich das Wahlkampffieber acht Monate vor der Wahl schon ein bisschen erhitzt. Ist alles in Ordnung, auch wenn jemand sich im Ton vergreift. Aber mir fällt schon auf, dass insbesondere bei denjenigen, die hier die mangelnde Präsenz beklagen, halt auch noch ein eigenes Verhalten zu bemerken ist.
Erstens: Diese Debatte am Donnerstagnachmittag, die hat ihre Funktion. Viele sind schon weg. Es hat seine guten Gründe, dass wir das trotzdem tun, obwohl donnerstags Kollegen abreisen, und ich bin jedem Kollegen dankbar, dass er hier ist.
Aber dass man sich seinen billigen Beifall draußen als Populist holt, indem man sagt, hier sind nur soundso viele Kollegen da und es ist eine Schande, dass wir dem Thema nicht mehr Aufmerksamkeit widmen, und dann ist dieser Kollege genau derjenige, der nicht da ist. Von zwölf Kollegen, die hier das Wort ergriffen haben, sind zehn immer noch da, um sich die Antwort der Kommissarin anzuhören.
Und genau der, der den billigen Punkt gemacht hat, genau der ist nicht da. Und ich denke, das sollte man eben auch mal zur Kenntnis nehmen.
"
Rainer WIELAND,2023-10-19,DE,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-185-0000_DE.html,"  Der Präsident. –   Die Aussprache ist geschlossen.
"
Rainer WIELAND,2023-10-19,DE,Explanations of vote,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-187-0000_DE.html,"  Der Präsident. –   Als nächster Punkt der Tagesordnung folgen die Erklärungen zur Abstimmung.
Und da darf ich vielleicht auch erläutern: Die Stimmerklärungen ganz am Schluss werden in Person gemacht und gehen zu Protokoll, und da ist es auch ganz natürlich, dass die große Zuhörerschaft nicht mehr da ist. Und da wir zehn bis 15 Stimmerklärungen haben werden, wird es am Ende so sein, dass nur noch ein Kollege da ist, nämlich der, der die letzte Stimmerklärung hat. Das ist aber auch kein Skandal, sondern alles ganz normal.
"
