MP,Date,Language,Title,Url,Content
Ralf SEEKATZ,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-423-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Die europäische Wirtschaft steht unter Druck. Der Angriffskrieg Russlands gegen die Ukraine, aber auch andere geopolitische Verschiebungen fordern uns heraus. Deshalb ist es richtig, dass die Kommission reagiert und gezielt die strategischen Abhängigkeiten etwa im Rohstoff-, Energie- und Technologiebereich analysiert.
Es ist auch gut, dass erkannt wurde, dass wir die Wettbewerbsfähigkeit der EU fördern müssen. Was ich aber mit Sorge beobachte, ist, dass die Kommission auch mit diesem Vorschlag wieder versucht, bürokratisiert Probleme zu lösen. Wir müssen es endlich schaffen, uns von diesem Ansatz zu entfernen, und unseren europäischen Unternehmen realistische und praxisorientierte Lösungen bieten. Zu viel staatlicher Einfluss – letztendlich für eine Überregulierung – widerspricht dem Prinzip der offenen Märkte. Nehmen Sie bitte die Unternehmen in den Entscheidungsprozess mit, entbürokratisieren Sie und überregulieren Sie die Märkte nicht.
"
Ralf SEEKATZ,2023-12-11,DE,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-101-0000_DE.html,"  Ralf Seekatz,  im Namen der PPE-Fraktion. – Frau Präsidentin, verehrte Kolleginnen und Kollegen! Ja, die Inflation, hohe Energiepreise, Lieferkettenschwierigkeiten setzen uns alle unter Druck, setzen vor allen Dingen unsere Unternehmen unter Druck. Und gezielte Maßnahmen in der Steuerpolitik sind oder sollen auch Hebel sein für die Sicherung von Liquidität, von Arbeitsplätzen und auch von Investitionen. Für den zukünftigen Wirtschaftsstandort sind eine Modernisierung und eine Vereinfachung der Unternehmenssteuern deshalb sicherlich elementar. Natürlich wünschen wir uns alle gerechtere Steuern auf allen Ebenen – letztendlich haben die Länder es auch ein Stück weit in der Hand. Und sicherlich müssen wir auch nach dem steuerlichen Verwaltungsaufwand der Unternehmen schauen. Dieser muss reduziert werden, er muss digitaler werden, damit er in Zeiten knapperer Ressourcen überhaupt noch bewältigt werden kann.
Ich kenne gerade aus meinem Heimatland Deutschland sehr viele Beispiele, dass in Deutschland kaum noch jemand eine Steuererklärung selbst ausfüllen kann, weil alles viel zu kompliziert ist – und in Krisenzeiten ist es umso schwieriger. Deshalb haben es auch leider einige KMUs in schwierigen Zeiten ohne Rücklagen nicht durch die Krise geschafft. Daher brauchen wir eine Vereinfachung des Steuerrechts, ein faireres Steuerrecht, aber letztendlich müssen wir auch in diese Richtung gehen, um den Menschen ein Stück weit entgegenzukommen, um entsprechend die Steuern zu vereinfachen und nicht noch mehr Bürokratie aufzubauen. Das ist schwierig, ich weiß das. Aber das ist des Schweißes der Edlen wert, dass wir uns danach orientieren.
Wie man es nicht macht, das sieht man letztendlich auch bei der Ampelregierung im Moment in Deutschland. Es wird alles verkompliziert, es ist viel zu viel Ideologie im Geschehen drin, und wir helfen niemandem damit, wenn wir die Unternehmen ins außereuropäische Ausland treiben, wenn die Bürokratie und der steuerliche Aufwand bei uns viel zu hoch sind.
"
Ralf SEEKATZ,2023-11-22,DE,Cyprus Confidential - need to curb enablers of sanctions-evasion and money-laundering rules in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-283-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kollegen! Die Ereignisse in Zypern zeigen, dass es wirklich allerhöchste Zeit ist, dass wir mit der neuen Verordnung endlich ein einheitliches Regelwerk und Rahmenwerk in der Union verabschieden und auch schaffen werden. Es ist aber auch deutlich geworden, dass wir mehr Wert auf die eigentlichen Prioritäten legen müssen. Während wir hier gerade zwischen dem Europäischen Parlament und Rat verhandeln, welche Warenhändler oder Fußballvereine wir mit weiteren Pflichten belasten wollen, wird anderenorts russisches Schwarzgeld völlig unbehelligt gewaschen und werden Sanktionen umgangen und großzügige goldene Visa erteilt. Die strengeren Regeln, die wir seit über zwei Jahren verhandeln, nutzen nichts, wenn sich einige Mitgliedstaaten nicht ausreichend um die Umsetzung der jetzt schon geltenden Regeln kümmern.
Die Mitgliedstaaten müssen die großen Fische auch fangen wollen. Die Kommission muss endlich durchgreifen und sicherstellen, dass auch die aktuellen Regeln durchgesetzt und Sanktionen umgesetzt werden. Nur dann machen auch die neuen Regeln, die wir mit sehr viel Engagement verhandeln, Sinn.
"
Ralf SEEKATZ,2023-10-17,DE,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-206-0000_DE.html,"  Ralf Seekatz (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar! Ja, die Digitalisierung des Visaverfahrens ist überfällig, und deshalb finden wir es sicherlich sehr, sehr gut – viele Kolleginnen und Kollegen –, dass wir in dieser Woche hier im Parlament die richtigen Weichen für diese digitale Zukunft stellen. Das digitale Visaverfahren wird die Antragsverfahren für nichteuropäische Reisende erleichtern, den Verwaltungsapparat entlasten, den Diebstahl von Visa auf jeden Fall weiterhin erschweren und verhindern und die Fälschung von Visa sicherlich auch ein Stück weit zurückdrängen.
Wichtig wird es sein, eine einfache digitale Plattform zu etablieren, die eine Visumsstellung ohne Hürden ermöglicht. Hier sollten wir als EU Vorreiter sein und uns kein Beispiel an den teils sehr komplizierten Antragsverfahren anderer Staaten nehmen.
Ich bin froh, dass es uns als EVP gelungen ist, festzuhalten, dass der Antrag eines Drittstaatenangehörigen auf ein Visum zur Einreise, wenn dieser unmittelbar einen Antrag auf internationalen Schutz stellt, weiterhin nicht in den Geltungsbereich des Visakodex fällt. Insgesamt wurde im Trilog ein gutes Ergebnis verhandelt. Diesem sollten wir auch entsprechend in den Plenarabstimmungen zustimmen.
"
Ralf SEEKATZ,2023-10-04,DE,European green bonds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-225-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Wir haben einen sehr hohen Investitionsbedarf, um die Klimaziele des Übereinkommens von Paris und des europäischen Grünen Deals zu erfüllen. Um den Übergang zu einer nachhaltigeren Wirtschaft zu finanzieren, brauchen wir jedoch privates Kapital. Allein mit staatlichen Investitionen können wir diesen enormen Investitionsbedarf nicht stemmen. Dafür ist es wichtig, genügend Investoren an den Kapitalmarkt zu bringen und einen einheitlichen Standard für grüne Anleihen zu haben. Das momentane Durcheinander von Standards stellt ein Hindernis für einen rasant wachsenden Markt dar. Um einen internationalen Goldstandard für nachhaltige Finanzierung zu schaffen, brauchen wir aber einen pragmatischen Rahmen.
Ich bin erleichtert, dass es in langen Verhandlungen gelungen ist, dass der Pragmatismus am Ende gesiegt hat. Nur mit diesem Ansatz und ohne unnötige bürokratische Hürden können wir dafür sorgen, dass die Regeln vom Markt auch angenommen werden. Dabei ist es wichtig, dass Regeln für nachhaltige Anleihen für Unternehmen leicht zu verwenden und für die Investoren auch leicht zu verstehen sind. Der Rahmen muss Orientierung geben und Transparenz in einem unübersichtlichen Markt schaffen und Greenwashing reduzieren. Dabei ist es auch der richtige Ansatz, stärker auf Freiwilligkeit zu setzen und so übermäßigen bürokratischen Aufwand zu verhindern.
"
Ralf SEEKATZ,2023-10-03,DE,The 10th consecutive increase in reference interest rates decided by the ECB and its consequences (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-529-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Erst im Juli 2022 hat die EZB die Leitzinsen zum ersten Mal angehoben und damit sicherlich eine längst überfällige Zinswende eingeleitet. Unter dem Druck einer Rekordinflation von 10 % folgten zehn weitere Zinsschritte. Bei uns in Deutschland sagt man: besser spät als nie. Nun sind wir endlich an einem Punkt angekommen, an dem die Geldpolitik Wirkung zeigt. Es ist aber noch lange kein Grund zum Aufatmen. Noch ist die Inflationsrate viel zu hoch. Deshalb muss die EZB den aktuellen Kurs halten, auch wenn das nicht allen gefallen wird.
Wichtiges Ziel ist und bleibt die Preisstabilität. Von einer Inflationsrate von 2 % sind wir leider noch weit entfernt. Solange die Inflation nicht in die Nähe dieses Preisziels rückt, sind geldpolitische Lockerungen sicherlich der falsche Weg. Die hohen Inflationsraten dürfen nicht zur neuen Normalität werden. Die EZB muss vor allem die Inflationserwartungen der Wirtschaftsteilnehmer senken. Es geht dabei auch um die eigene Glaubwürdigkeit. Wir brauchen stabile Preise, mit denen Wirtschaft und Verbraucher planen können. Unsere Bürger müssen auch wieder Zinsen mit ihren Spareinlagen erreichen können. Ansonsten geraten wir in einen Teufelskreislauf, aus dem wir nicht mehr herauskommen, vor allen Dingen sicherlich nicht mit grüner Ideologiepolitik.
"
Ralf SEEKATZ,2023-10-02,DE,Intelligent Road Transport Systems (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-162-0000_DE.html,"  Ralf Seekatz,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar! Es ist völlig klar: Wenn wir unsere ambitionierten Ziele zur CO2-Reduktion einhalten wollen, muss auch der Personen- und Güterverkehr seinen Teil dazu beitragen und emissionsärmer werden.
Damit der Sektor dieses Ziel erreichen kann, müssen wir als Politik die richtigen und vor allen Dingen technologieneutralen Rahmenbedingungen schaffen. Ganz konkret heißt das, dass wir den Aufbau eines vernetzten Mobilitätssystems ermöglichen müssen. Hierzu gehört es, den Einsatz von intelligenten Verkehrssystemen zu stärken und auch entsprechend zu fördern.
Die Vorteile solcher Systeme liegen auf der Hand: Verkehrsflüsse und die Verkehrssicherheit werden verbessert, die Kosten werden gesenkt und die Multimodalität wird gestärkt. Leider haben noch immer einige Mitgliedstaaten ihre Verpflichtungen, insbesondere zu nationalen Zugangsstellen, nur mangelhaft umgesetzt. So können weder Unternehmen noch Bürger von diesem System profitieren. Es ist deshalb gut, dass sich das Europäische Parlament in den Verhandlungen mit den Mitgliedstaaten behaupten konnte. Wo Mitgliedstaaten die Digitalisierung des Verkehrssektors erneut auf die lange Bank schieben wollten, haben wir uns dafür stark gemacht, endlich die digitale Transformation anzugehen und gleichzeitig die Sicherheit, Nachhaltigkeit und Effizienz unserer Verkehrssysteme entsprechend zu verbessern.
Dank der nun überarbeiteten Richtlinie werden wir in der Lage sein, die Integration und Kombinierbarkeit verschiedener Verkehrsträger voranzutreiben und die Entwicklung von Technologien wie Fahrzeug-zu-Fahrzeug-Kommunikation, Echtzeitdatenverkehr, intelligente Ampelsysteme und automatisierte Verkehrskontrollen zu fördern. So reduzieren wir Staus, verkürzen die Reisezeiten und erhöhen gleichzeitig die Sicherheit auf den Straßen – ein wirklicher Erfolg, von dem sicherlich alle profitieren werden.
"
Ralf SEEKATZ,2021-10-20,DE,Increased efforts to fight money laundering (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-20-INT-3-274-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Die Ergebnisse im Kampf gegen die Geldwäsche sind leider recht überschaubar. Obwohl sich die Schäden für die Staatskassen auf mehrere Milliarden Euro angehäuft haben, hat die EU bisher keine einheitliche Strategie zur Bekämpfung von Geldwäsche und Terrorismusfinanzierung.
Die Richtlinie wurde fünfmal überarbeitet. Regelmäßig gab es Vertragsverletzungsverfahren, leider auch, wie vom Kollegen Ferber schon angedeutet, gegen unser schönes Land Deutschland. Deshalb ist es so wichtig, dass die Kommission nun einen Verordnungsvorschlag vorgelegt hat. Diese Verordnung hat dann endlich diesen verbindlichen Charakter, den wir auch sehr, sehr zwingend brauchen.
Ebenfalls brauchen wir eine strenge und gut koordinierte Aufsicht. Die neu zu gründende Behörde kann da ein wichtiger Baustein sein. Damit ist es aber nicht getan. Die Fachbehörden der Mitgliedstaaten müssen auch effektiver und gründlicher arbeiten. Die neue EU-Behörde muss daher nicht nur die Länderbehörden unterstützen, sondern auch deren Zusammenarbeit koordinieren.
Wir müssen aber aufpassen, dass die Arbeit der nationalen Behörden dadurch am Ende nicht bürokratischer und auch komplizierter wird.
"
Ralf SEEKATZ,2021-09-14,DE,Natural disasters during the summer 2021 - Impacts of natural disasters in Europe due to climate change (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-09-14-INT-2-085-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kolleginnen und Kollegen! In meiner Heimatstadt, in meinem Heimatbundesland Rheinland-Pfalz in Deutschland wütete das Unwetter im Juli in der Eifel, an der Mosel, und am schlimmsten betroffen war das Ahrtal. Wir haben 133 Tote zu beklagen. Drei Menschen werden immer noch vermisst. Im Ahrtal wurden 62 Brücken, 40 Schulen, 55 Kindergärten und fünf Krankenhäuser zerstört. Über 3 000 Unternehmen sind von der Katastrophe betroffen. 
Das Ausmaß kann man nur beurteilen, wenn man es sich vor Ort angesehen hat. Ich bin vor Ort gewesen. Die Fernsehbilder waren bedrückend, aber ich sage es Ihnen: Vor Ort macht es noch einmal einen ganz anderen, tiefergehenden Eindruck. 14 Tage nach der Katastrophe habe ich dort meinen Freund besucht, und obwohl schon viele Schäden beseitigt waren, sah es immer noch so aus wie nach einem Bombenangriff. Mein Freund und andere Betroffene schilderten mir die Flutnacht und sprachen auch über die Todesängste, die die Menschen dort ausgestanden haben.
Aus Respekt gegenüber diesen Menschen und den vielen Toten verbietet es sich daher, die Flutkatastrophe politisch zu missbrauchen. Dies wäre schäbig und würde der Sache nicht gerecht. Vielmehr ist es unsere Aufgabe, den Menschen beim Aufbau zu helfen. Daher ist es wichtig, dass die Hilfsgelder aus dem EU-Solidaritätsfonds rasch freigegeben werden, sobald die Anträge vorliegen. 
Sollte der Topf leer sein, wie man es heute aus verschiedenen Medien erfahren hat, muss im Haushalt umgeschichtet werden. Die Kommission muss hier flexibler reagieren und auch reagieren können, meine Damen und Herren, das sind wir den betroffenen Menschen vor Ort schuldig. Der Aufbau wird viele Jahre dauern. Die Aufarbeitung und die Ursachenforschung müssen dabei in Europa ebenfalls rasch und auch zentral erfolgen.
"
Ralf SEEKATZ,2021-07-05,DE,Financial activities of the European Investment Bank - annual report 2020 - Control of the financial activities of the European Investment Bank - annual report 2019 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-07-05-INT-1-049-0000_DE.html,"  Ralf Seekatz (PPE).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Die EIB hat mit ihrem Förderprogramm für 2020 wesentlich zur Stabilisierung beigetragen. 
420 000 kleine und mittelständische Unternehmen wurden unterstützt. Dadurch wurden vier Millionen Jobs – auch im KMU Bereich – unterstützt und gesichert. Arbeitsplätze konnten gesichert werden, krisengebeutelte Branchen wurden entsprechend gefördert, und die schwersten wirtschaftlichen Auswirkungen wurden abgefedert. Auch die langfristigen Ziele hat die EIB nicht vergessen. Gerade in wirtschaftlichen Zeiten ist es besonders wichtig, Wirtschaft auch nachhaltig vernünftig zu fördern und entsprechend zu unterstützen.
Von besonderer Bedeutung ist die Förderung unserer kleinen und mittelständischen Unternehmen. Diese dürfen wir nicht vergessen, sehr geehrter Herr Präsident. Das ist besonders wichtig aus unserer Sicht. Sie sind das Rückgrat unserer Wirtschaft, und ohne die KMU werden wir die Klimaziele nicht erreichen. Und diese KMU brauchen Übergangstechnologien, ob es den Grünen nun einmal passt oder nicht, und darüber müssen wir uns im Klaren sein.
Bitte unterstützen Sie weiter unsere mittelständische Industrie und auch die Übergangstechnologien.
"
