MP,Date,Language,Title,Url,Content
Raphaël GLUCKSMANN,2023-12-13,FR,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-042-0000_FR.html,"  Raphaël Glucksmann (S&D).   – Madame la Présidente, chers collègues, Vladimir Poutine peut aujourd’hui avoir le sourire.
Il avait fait deux paris en 2022: le premier pari, qu’il a complètement perdu, c’était l’effondrement complet de l’État ukrainien. Mais le deuxième pari, qui consistait à croire que nos sociétés européennes, que nos dirigeants européens et occidentaux étaient incapables de fournir un effort durable sur le moyen et sur le long termes, ce pari-là, il est en train de le gagner.
Notre faiblesse et notre pusillanimité sont en train de lui donner raison. L’aide militaire occidentale n’a jamais été aussi faible. L’aide financière est l’otage de dirigeants corrompus comme Orbán, ou des représentants républicains au Congrès américain. 
Ce Conseil est décisif; décisif pour l’avenir de l’Ukraine, mais aussi de l’ensemble de notre continent. Car pourquoi devons-nous ouvrir ces négociations et pourquoi devons-nous accroître l’aide à l’Ukraine? Pas simplement par solidarité avec la résistance ukrainienne, mais pour nous-mêmes, pour l’avenir de notre continent.
Le président Zelensky, au début du conflit, a cité la question de Hamlet, «To be or not to be», et il a dit: «Nous, Ukrainiens, nous avons répondu nous voulons être.» La question s’adresse maintenant à vous, Européens. Eh bien, c’est à cette question qu’il faut que nous répondions désormais: «Nous voulons être.»
(L’orateur accepte de répondre à une question «carton bleu»)
"
Raphaël GLUCKSMANN,2023-12-13,EN,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-044-0000_EN.html,"  Raphaël Glucksmann (S&D),  blue-card answer. – I will stop to be weak. And that’s what we have done with Orban for ages. We gave him the power to actually hold us hostages. So now it’s time for him to understand that if he blocks it, it’s not that we will not give him some candies, is that we will make sure that we break his power and we expel him. That’s what I will tell. 
"
Raphaël GLUCKSMANN,2023-12-13,FR,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-395-0000_FR.html,"  Raphaël Glucksmann (S&D).   – Madame la Présidente, Monsieur le Commissaire: A, S, A, P. ASAP. As soon as possible. «Aussi vite que possible» – si je ne me trompe pas. Je me demande encore aujourd’hui, à cette heure-là, ce que les États membres n’ont pas compris dans «As soon as possible». Un million de munitions promises à la résistance ukrainienne, 300 000 livrées. Pendant ce temps là, la Corée du Nord, seule, livre 1 million d’obus à la Russie, et Poutine réorganise ses capacités productives. Nous, nos stocks s’amenuisent, et nous peinons à produire.
Je salue vos efforts personnels, je salue les efforts de la Commission, mais force est de constater que les États membres ne suivent pas, comme s’ils n’avaient pas compris la gravité du moment. Leurs dirigeants parlent d’économie de guerre, mais ils ne font rien. Les instruments adoptés cette année vont dans le bon sens, mais les moyens alloués sont risibles. En septembre, la présidente de la Commission européenne promettait un nouveau grand programme, donc. Oui, certes, mais quels moyens?
Quand, au cœur de la pandémie, l’Union européenne a permis de passer des commandes groupées de vaccins, un effort colossal a été produit en commun, et cela a fonctionné. Alors pourquoi sommes-nous incapables de faire en réponse à la guerre de Poutine ce que nous avons fait en réponse à un virus? Nous avons plus que jamais besoin de nos capacités industrielles et surtout, surtout, d’une révolution mentale dans les États membres!
"
Raphaël GLUCKSMANN,2023-12-12,FR,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-251-0000_FR.html,"  Raphaël Glucksmann,  au nom du groupe S&D. – Madame la Présidente, chers collègues, la démocratie n’est ni naturelle ni éternelle, elle est un projet politique qui s’éteint s’il n’est pas défendu avec force, une construction historique fragile qui s’effondre si elle n’est pas cultivée.
Pendant trop longtemps, nos élites indolentes ont fait rimer démocratie avec impuissance et Europe avec faiblesse. Alors que la guerre a fait son retour dans nos vies, alors que des empires autoritaires trouvent au cœur même de nos cités des relais de plus en plus nombreux, le moment est venu de mettre un terme à cette naïveté criminelle.
Avec la commission spéciale du Parlement sur les ingérences étrangères, nous réclamons des mesures fortes depuis des mois et des années. Ce paquet de défense de la démocratie est incontestablement un pas dans la bonne direction. La directive proposée par la Commission n’interdit rien, elle impose juste la transparence. Pardonnez-moi, mais c’est la base de la base. On doit enfin savoir qui est financé par qui dans notre débat public, et les organisations qui acceptent l’argent des ennemis de la société ouverte doivent l’assumer devant les Européens.
La Russie, la Chine, le Qatar et les autres doivent comprendre que nos démocraties ne sont pas des supermarchés dans lesquels on vient faire ses courses. Nous sommes à la croisée des chemins. Être des démocrates par habitude ne suffira plus. Il nous faut être des démocrates de combat.
"
Raphaël GLUCKSMANN,2023-12-12,EN,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-424-0000_EN.html,"  Vladimír Bilčík (PPE).   – Madam President, Vice-Presidents, colleagues, this proposal arrives at an important time as we approach the European elections in a few months and I’m very proud of our work in fighting foreign interference in the INGE and ING2 special committees in the European Parliament.
Sadly, we are being proven right almost every day about how important this topic is. I believe that our special committees’ commitment has been instrumental in shaping the discourse around foreign interference, and it is encouraging to see that the Commission also reflected on our discussions and recommendations.
While this package reflects a commitment to protecting European democracy from malign interference, there is room for further action. No matter how well designed a communication from the Commission, its success ultimately depends on how seriously politicians in Member States take it. We must do more on both national and European level, and we must constantly respond to the threats.
I also want to highlight the important role of investigative journalists who uncover cases of foreign interference. These contributions are essential in raising awareness and understanding of foreign interference, and we as politicians must do our part in spreading the awareness.
The defence of democracy is a good start, but I am in favour of stronger instruments in the future. I see this as a good kick-off, but it must evolve and strengthen over time for the sake of a more vigilant and truly resilient democracy in Europe. After all – and this is the bottom line – defence of democracy is a core business of not just this House, but of all public institutions in Europe.
"
Raphaël GLUCKSMANN,2023-12-12,FR,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-532-0000_FR.html,"  Raphaël Glucksmann,  au nom du groupe S&D. – Monsieur le Haut Représentant – cher Josep –, vous connaissez sûrement la fameuse phrase de Lénine: «Les capitalistes nous vendront la corde pour les pendre.» C’est un excellent résumé de trente années de capitalisme européen et américain avec le régime communiste chinois. Nous avons laissé ce régime accaparer nos technologies et nos savoir-faire jusqu’à nous rendre pleinement dépendants dans des secteurs stratégiques. Prenez par exemple l’énergie solaire: il y a quinze ans à peine, nous avions en Europe des champions industriels du photovoltaïque. Aujourd’hui, la quasi-totalité des panneaux sont produits en Chine, principalement grâce au charbon, à des subventions massives et à la réduction en esclavage des Ouïgours. Que s’est-il passé? Nous avons laissé les industriels chinois ratiboiser notre production à cause de politiques commerciales complètement iniques. Et le solaire n’est qu’un exemple. Notre dépendance à Pékin est telle que nous mettons notre drapeau dans la poche quand nous nous adressons à ses dirigeants.
Dans ce débat, il ne s’agit pas d’une opposition entre «droits-de-l’hommistes» et réalistes. Il est aujourd’hui réaliste de réduire notre dépendance à l’égard du régime chinois, réaliste de rapatrier nos industries critiques, réaliste de filtrer les investissements chinois en Europe, réaliste de bannir les produits de l’esclavage et d’imposer aux multinationales le devoir de vigilance des entreprises. Nos principes et nos intérêts vitaux, quand il s’agit de la Chine, se rejoignent, alors nous devons les défendre avec bien plus de conviction. Il ne s’agit pas de morale, mais de politique.
"
Raphaël GLUCKSMANN,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-709-0000_FR.html,"  Raphaël Glucksmann (S&D).   – Monsieur le Président, Monsieur le Vice-Président, chers collègues, en mai, le premier avion de ligne chinois, le C919, a effectué son premier vol commercial grâce à des technologies européennes. Nous connaissons bien ce scénario: le régime chinois décide de dominer un marché mondial, il crée pour cela une entreprise publique, en l’occurrence Comac. Celle-ci fait appel à nos entreprises, qui lui fournissent nos technologies, et personne ne s’inquiète de rien. Après deux décennies, Comac aura sorti les Européens du marché chinois de l’aviation, avant de se lancer à la conquête du marché européen, jusqu’à menacer Airbus.
C’est l’entreprise française Safran qui fournit le moteur du C919. Safran aussi, qui, associé à Comac, développe le circuit électrique de l’avion, transférant au passage sa technologie à l’appareil militaire chinois. C’est toujours la même histoire de cupidité et de stupidité, des voitures électriques au nucléaire, des panneaux solaires à tous les secteurs stratégiques. Toujours le même choix du profit court-termiste contre l’intérêt général européen à long terme.
Il est temps de changer ce scénario qui nous mène au déclin, à la dépendance, à la vassalité. C’est pour cela que cette stratégie pour la sécurité économique est si importante. Elle doit instaurer un moment de bascule qui sera profitable à toute l’Europe.
"
Raphaël GLUCKSMANN,2023-12-12,FR,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-886-0000_FR.html,"  Raphaël Glucksmann,  au nom du groupe S&D. – Monsieur le Haut Représentant – cher Josep –, vous connaissez sûrement la fameuse phrase de Lénine: «Les capitalistes nous vendront la corde pour les pendre.» C’est un excellent résumé de trente années de capitalisme européen et américain avec le régime communiste chinois. Nous avons laissé ce régime accaparer nos technologies et nos savoir-faire jusqu’à nous rendre pleinement dépendants dans des secteurs stratégiques. Prenez par exemple l’énergie solaire: il y a quinze ans à peine, nous avions en Europe des champions industriels du photovoltaïque. Aujourd’hui, la quasi-totalité des panneaux sont produits en Chine, principalement grâce au charbon, à des subventions massives et à la réduction en esclavage des Ouïgours. Que s’est-il passé? Nous avons laissé les industriels chinois ratiboiser notre production à cause de politiques commerciales complètement iniques. Et le solaire n’est qu’un exemple. Notre dépendance à Pékin est telle que nous mettons notre drapeau dans la poche quand nous nous adressons à ses dirigeants.
Dans ce débat, il ne s’agit pas d’une opposition entre «droits-de-l’hommistes» et réalistes. Il est aujourd’hui réaliste de réduire notre dépendance à l’égard du régime chinois, réaliste de rapatrier nos industries critiques, réaliste de filtrer les investissements chinois en Europe, réaliste de bannir les produits de l’esclavage et d’imposer aux multinationales le devoir de vigilance des entreprises. Nos principes et nos intérêts vitaux, quand il s’agit de la Chine, se rejoignent, alors nous devons les défendre avec bien plus de conviction. Il ne s’agit pas de morale, mais de politique.
"
Raphaël GLUCKSMANN,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-172-0000_FR.html,"  Raphaël Glucksmann,  au nom du groupe S&D. – Madame la Présidente, chers collègues, Monsieur le Haut Représentant, guerre au Proche-Orient, guerre dans le sud du Caucase, guerre en Ukraine: l’histoire, nous le voyons chaque jour, n’est pas finie et reste tragique. La Terre n’est pas devenue plate, et le commerce n’apaise pas les mœurs. Tous les mythes des années 1990 sont en train de finir dans les poubelles de l’histoire. Or, ces mythes ont longtemps structuré nos institutions et notre vision du monde.
Aujourd’hui, le moment est venu de nous doter des instruments de la puissance, de devenir adultes et de sortir de l’enfance, de transformer ce vaste marché qu’est l’Union européenne en puissance politique. Le moment est donc venu de sortir des dépendances qui nous minent et qui nous empêchent d’être véritablement libres.
Nous sommes aujourd’hui un continent de consommateurs: consommateurs de sécurité produite aux États-Unis, consommateurs de biens – dans tous les secteurs stratégiques – produits en Chine, consommateurs d’énergie produite dans des tyrannies pétrogazières – pendant vingt ans la Russie de Poutine, mais aujourd’hui l’Azerbaïdjan d’Aliyev, le Qatar et tous ces joyeux régimes qui nous tiennent par la corde, simplement parce que nous sommes à ce point drogués aux hydrocarbures.
Alors l’enjeu, quel est-il? L’enjeu, c’est de devenir un continent de producteurs. Si vous voulez devenir une puissance géopolitique, il faut redevenir un continent de producteurs: producteurs de notre sécurité, d’où l’impératif de l’Europe de la défense, producteurs de biens, dans tous les secteurs stratégiques, producteurs, aussi, d’énergie, avec la transition écologique.
Fermez les yeux, faites juste un effort d’imagination. Nous sommes le 5 novembre 2024, Donald Trump est élu président des États-Unis et décide de balancer par-dessus bord l’architecture de sécurité euro-atlantique. Eh bien nous sommes seuls: nous sommes seuls face à Poutine, nous sommes seuls face aux dangers qui pèsent sur nos frontières, nous sommes seuls face aux menaces, externes et internes, qui pèsent sur nos démocraties.
Ce débat que nous avons aujourd’hui, les discussions que nous menons, ce n’est pas simplement un désir d’Européistes qui veulent que l’Europe s’affirme, c’est la nécessité absolue, si nous voulons survivre en tant que démocratie.
"
Raphaël GLUCKSMANN,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-470-0000_FR.html,"  Raphaël Glucksmann,  au nom du groupe S&D. – Monsieur le Président, chers collègues, trois ans après l’infâme décapitation de Samuel Paty, l’école, ce sanctuaire de notre République, a été à nouveau visée par une attaque terroriste islamiste.
Ce vendredi 13 octobre au matin, Dominique Bernard, professeur de lettres à la cité scolaire Gambetta-Carnot à Arras, a été sauvagement assassiné. En se mettant en travers du chemin du terroriste, il a protégé ses élèves et ses collègues et a rappelé à tout un pays ce que signifiait le courage.
Dominique Bernard est le visage de la lutte contre l’obscurantisme. Professeur soucieux de ses élèves, il transmettait la beauté de la langue française et l’amour de la littérature. Enseigner, éclairer, former: il n’y a rien de plus précieux, de plus fondamental dans une société qui fait de l’émancipation individuelle et collective son horizon. Voilà ce que les djihadistes fanatiques haïssent et attaquent. Voilà ce que nous devons défendre ensemble.
Chers collègues, dans un contexte international atroce, notre nation est de nouveau placée en alerte «urgence attentat». Il nous revient à nous tous d’être dignes du courage de Dominique Bernard et de Samuel Paty, de poursuivre leur tâche. Ne cédons jamais rien, n’acceptons aucune compromission. Dressons-nous ensemble, partout, contre les ennemis du savoir, de l’échange, de la liberté. Cette lutte sera longue, elle sera difficile, et nous devrons la mener ensemble, quelles que soient nos origines, nos religions ou nos opinions.
Alors que la Belgique et la Suède sont, elles aussi, à nouveau endeuillées, œuvrons ici pour que la lutte contre le terrorisme constitue enfin une priorité de l’Union européenne. Allons beaucoup plus loin dans la prévention de la radicalisation. Luttons bien plus efficacement contre la diffusion de contenus terroristes, d’appels à la haine ou de désinformation en ligne. Cessons toute forme d’irénisme et de naïveté.
Notre démocratie est fragile. C’est une construction politique, idéologique, et qui se délite si nous ne la défendons pas, si nous ne l’investissons pas, si nous ne la laissons pas être forte. Ses ennemis le savent. À nous de le comprendre et de nous battre pour elle.
"
