MP,Date,Language,Title,Url,Content
Rasmus ANDRESEN,2023-12-13,DE,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-036-0000_DE.html,"  Rasmus Andresen (Verts/ALE).   – Frau Präsidentin! Die Regierungschefinnen und Regierungschefs stehen in den nächsten Tagen vor dramatischen Entscheidungen, und gerade deshalb wundern wir Grüne uns darüber, wie schläfrig einige in diesen Ratsgipfel gehen. Die Staats- und Regierungschefinnen und -chefs entscheiden nicht einfach nur über ein paar Milliarden mehr oder weniger, sondern sie entscheiden darüber, ob die Ukraine überhaupt noch eine Chance hat, im Krieg gegen Russland zu bestehen. Und sie entscheiden darüber, ob sie bereit sind, in unseren Wirtschaftsstandort zu investieren und unsere Infrastruktur klimagerecht zu machen.
Die USA, China und andere Teile der Welt investieren massiv in ihre Infrastruktur und Industrie. Und was macht Europa? Wir streiten uns über wenige Milliarden und riskieren durch diese kurzsichtige Politik unseren Wohlstand. Die halbe Welt lacht über uns. Es ist zukunftsfeindlich, dass dem Bundeskanzler die Weitsicht fehlt und er massive Kürzungen am Vorschlag der EU-Kommission durchsetzen will. Aber der Elefant im Raum ist mal wieder Viktor Orbán. Es ist falsch, ihm in vorauseilendem Gehorsam die Gelder zu genehmigen, es gibt andere Varianten. Entziehen Sie Viktor Orbán das Stimmrecht und sorgen Sie dafür, dass der Ratsgipfel ein Erfolg wird! Das Europäische Parlament steht für Verhandlungen bereit. Jetzt müssen die Staats- und Regierungschefinnen und -chefs Verantwortung übernehmen.
"
Rasmus ANDRESEN,2023-12-11,DE,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-104-0000_DE.html,"  Rasmus Andresen,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Wie kann es eigentlich sein, dass der Buchladen bei uns vor Ort einen höheren Steuersatz zahlt als Amazon? Warum lassen wir zu, dass superreiche Multimillionärinnen und Multimillionäre in den meisten europäischen Staaten einen deutlich kleineren Anteil von ihrem hohen Vermögen abführen müssen als Normalverdienerinnen und Normalverdiener von ihrem Einkommen? Je reicher, desto geringer ist der Steuersatz. Dies ist unsinnig und ungerecht. Seit der COVID-Pandemie steigt die Vermögensungleichheit, massive Armut und exzessiver Reichtum nehmen zeitgleich zu. Die größten Konzerne machen hohe Gewinne, und eine Mehrheit der Menschen leidet unter hohen Preisen.
Die Energierechnung, Mieten oder Lebensmittel – das Leben ist für viele unbezahlbar geworden. Kein Wunder, dass Menschen frustriert sind und sich von unserer Demokratie abwenden. Der Schlüssel für eine gerechtere Gesellschaft liegt in der Steuerpolitik. Kleine Einkommen gehören stärker entlastet, Superreiche, exzessive Übergewinne und Finanzspekulation müssen endlich fair besteuert werden.
Es ist skandalös, dass eine Mehrheit hier im Haus aus Konservativen, Liberalen und Rechtsaußen die Interessen der Superreichen und von großen Konzernen schützt. Eine Politik, die die Superreichen schützt, schadet unserer Gesellschaft. Statt die Krisenkosten umzuverteilen, fordern sie Kürzungen bei den Ärmsten und an der Infrastruktur. In Deutschland wollen sie Kürzungen beim Bürgergeld durchsetzen, in Italien streichen sie Hunderttausenden die Sozialhilfe und verhindern einen Mindestlohn, und im Europäischen Parlament probieren sie, investitionsfeindliche Schuldenregeln durchzusetzen, unter denen vor allem Menschen mit kleinen Einkommen leiden.
Diese Entsolidarisierung darf keinen Erfolg haben. Es ist unsere Entscheidung. Wir kämpfen für ein Europa für alle statt für wenige.
"
Rasmus ANDRESEN,2023-11-22,DE,Cyprus Confidential - need to curb enablers of sanctions-evasion and money-laundering rules in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-281-0000_DE.html,"  Rasmus Andresen (Verts/ALE).   – Herr Präsident! „Wir werden gegen Putins Helfershelfer vorgehen, und wir werden gegen all jene vorgehen, die Russland dabei helfen, die Sanktionen zu umgehen oder sein Kriegsarsenal aufzufüllen.“ Mit diesem sehr starken Versprechen hat Kommissionspräsidentin Ursula von der Leyen Russlands Helfern in der Europäischen Union den Kampf angesagt. 
Die Recherche Cyprus Confidential zeigt, dass hinter diesen Worten leider viel zu wenig Taten stecken: Hundert sanktionierte Russen machen ungestört Geschäfte auf Zypern. Russisches Geld fließt nach wie vor in großen Mengen über Zypern in die Europäische Union. Zypern ist seit vielen Jahren für russisches Geld das Einfallstor. Und trotz vollmundiger Ankündigungen – auch von zypriotischen Regierungen – ist es bisher nicht gelungen, mit dieser Praxis zu brechen.
Wir müssen entschlossen gegen Geldwäsche und gegen die Umgehung von Sanktionen vorgehen. Wir brauchen klare Regeln zur Offenlegung von Oligarchenvermögen wie beispielsweise Luxusjachten, Gemälde oder Privatjets. Es ist inakzeptabel, dass die Mitgliedstaaten beim Geldwäschepaket aktuell in den Verhandlungen mehr Transparenz blockieren und es so Oligarchen erleichtern, ihr Vermögen auch in der Europäischen Union zu verstecken.
Wir müssen uns stärker mit der Rolle von Wirtschaftsprüfungsgesellschaften wie PricewaterhouseCoopers auseinandersetzen; die spielen keine gute Rolle. Sie helfen russischen Oligarchen dabei, ihr Vermögen in der Europäischen Union zu verstecken. Und es wird jetzt Zeit für die Europäische Kommission, zu handeln – im Notfall auch gegen Zypern, denn wer Sanktionen umgeht, muss damit rechnen, auch selbst sanktioniert zu werden.
"
Rasmus ANDRESEN,2023-11-21,DE,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-368-0000_DE.html,"  Rasmus Andresen,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! 250 Millionen Euro mehr für humanitäre Hilfe in einer Zeit, in der wir jeden Cent dafür gebrauchen können. 60 Millionen Euro mehr, damit auch junge Menschen aus einkommensschwachen Familien und Regionen am Erasmusprogramm teilnehmen können. Und 20 Millionen Euro mehr für unsere Natur und Artenvielfalt.
Beim Haushalt zeigt sich, ob man Sonntagsreden ernst meint. Wir Abgeordnete waren in den diesjährigen Haushaltsverhandlungen erneut mit unverantwortlichen Kürzungspaketen aus dem Rat konfrontiert. Es ist uns gelungen, diese Kürzungen abzuwehren und starke politische Schwerpunkte gemeinsam durchzusetzen. Wir stärken Programme für die Zivilgesellschaft wie das Programm „Rechte und Werte“ oder das Kulturprogramm Kreatives Europa.
Wir stärken die Europäische Staatsanwaltschaft, um entschlossen gegen Korruption und Betrug vorzugehen. Wir kürzen das ineffiziente Fusionsprogramm ITER und nutzen Spielräume, die durch effizientere Mittelverwaltung entstehen. Die Haushaltsverhandlungen haben sich gelohnt. Es ist auch dadurch möglich geworden, dass wir wieder gemeinsam standen, und dafür möchte ich mich bei unseren beiden Berichterstattern, Siegfried Mureșan und Nils Ušakovs, bedanken. Vielen Dank für die gute Zusammenarbeit!
Wir Grüne stimmen dem Haushalt deshalb morgen sehr, sehr gerne zu. Aber, der Haushalt bleibt auf Kante genäht. Der einzige Ausweg ist eine Überarbeitung des mehrjährigen Finanzrahmens. Die EU muss mehr Flexibilität bekommen, um auf Krisen zu reagieren und um in unsere Zukunft zu investieren.
Durch das Urteil des Bundesverfassungsgerichts zum deutschen Bundeshaushalt werden diese Verhandlungen in den kommenden Wochen zusätzlich erschwert. Deshalb geht auch unser Appell an Berlin: Wir brauchen eine Politik, die Zukunftsinvestitionen ermöglicht und nicht dazu führt, dass Unternehmen abwandern und Menschen arbeitslos werden.
Dafür werden wir gemeinsam kämpfen – hier im Parlament, da bin ich mir sicher. Die nächsten Wochen werden spannend, und ich setze weiterhin auf gute Zusammenarbeit hier in diesem Haus.
"
Rasmus ANDRESEN,2023-10-17,DE,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-150-0000_DE.html,"  Rasmus Andresen,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Ich weiß nicht, wie es Ihnen geht, sehr geehrte Kolleginnen und Kollegen, ich bin immer noch schockiert darüber, mit welcher Brutalität palästinensische Terroristen vor ungefähr einer Woche Israel angegriffen haben. Die Grünen verurteilen den fürchterlichen Terror der Hamas – unsere Solidarität gehört dem Staat Israel und allen Menschen, die unter der Terrororganisation Hamas leiden.
Vor diesem Hintergrund werde ich heute keine gewöhnliche Haushaltsrede halten. Jedes Jahr wiederholen sich hier viele Rituale, und es bleibt natürlich auch wichtig, für ein starkes Budget zu kämpfen. Ich möchte darüber sprechen, dass in Israel Krieg herrscht und dass auch bei uns unsere jüdischen Freundinnen und Freunde immer wieder Angst davor haben müssen, Opfer von antisemitischer Gewalt zu werden. Es ist unerträglich, wenn Menschen auch auf deutschen Straßen beispielsweise den brutalen Terror der Hamas feiern. Und es läuft mir eiskalt den Rücken runter, wenn ich lese, dass inzwischen an deutsche Häuserwände wieder Davidsterne geschmiert werden.
Das Existenzrecht Israels und sein Recht auf Verteidigung sind nicht verhandelbar, und die EU muss alles dafür tun, Antisemitismus zu stoppen – aus unserer historischen, aber auch unserer politischen Verantwortung heraus. Und genau da kommt dann auch wieder der Haushalt ins Spiel. Denn wir müssen darauf pochen, dass Gelder nicht nur einfach nicht an die Hamas gezahlt werden, sondern dass wir auch weitere Mittel im Rahmen des Jahreshaushalts überprüfen und ganz genau schauen, wo Finanzströme eigentlich in diesen Jahren und Monaten in Israel und in den palästinensischen Gebieten hingehen. Deshalb ist es wichtig, dass wir dazu für morgen einen gemeinsamen Antrag auf den Weg gebracht haben. Wir sollten hier keine politischen Schnellschüsse machen. Wir sollten keinen Aktionismus betreiben. Wir sollten gemeinsam genau überlegen, wie wir mit diesem Thema weiter umgehen.
"
Rasmus ANDRESEN,2023-10-16,EN,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-121-0000_EN.html,"  Rasmus Andresen (Verts/ALE).   – Madam President, thank you so much. Tomorrow we will vote on our mandate for the so-called STEP regulation. A year ago, we collectively realised that it was high time to gear up our European industrial policy.
Commission President von der Leyen came with a strong announcement about a huge sovereignty fund. Nobody is waiting for us in the global race about building up a green industry and in the race about a competition, about where the big companies will be. Both the US and China are speeding up – the Inflation Reduction Act is highly attractive for European companies moving their production to the US and China learned a lesson and is already, for example, dominating the market for solar production.
Now it’s time for Europe to wake up. We welcome the STEP proposal as a starting point for industrial investments, but because of limited resources, STEP should be concentrated on key sectors like net-zero and green technologies. We should not take money out of cohesion policy to provide funding for big industry, and we also need to have in mind the risk of fragmentation stemming from State aid rules’ relaxation. That is why STEP should pave the way for European regions not benefiting of relaxed State aid rules. We need to avoid that some big countries have the possibility to transform their industry, while others will be left behind.
The European project once had been built out of coal and steel. Now it’s time to take the next step. Now it’s time to build it out of green industry. That’s what we as Greens are fighting for, and we ask you also to support our amendments in the vote tomorrow.
"
Rasmus ANDRESEN,2023-10-04,DE,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-407-0000_DE.html,"  Rasmus Andresen (Verts/ALE).   – Herr Präsident! Homosexuelle Männer werden auf der Straße zusammengeschlagen, Transpersonen müssen um ihr Leben fürchten, und viele junge LGBTI-Personen trauen sich aus Angst vor Ausgrenzung und Mobbing nicht, selbstbestimmt zu leben.
Das alles ist Alltag für queere Menschen 2023. Gewalt gegen queere Menschen nimmt massiv zu. In Deutschland hat sich die Anzahl an queerfeindlichen Straftaten in den letzten Jahren verdoppelt. Das ist keine Ausnahme, sondern leider der traurige Regelfall in der Europäischen Union.
Es sind Menschen wie der 15-jährige Transmann Ian, der sich aus Angst vor rechtsextremen Mitschülern in Sachsen nicht traut, das Klassenzimmer in der Schulpause zu verlassen. Es sind Menschen wie der 21-jährige Enrico, der auf der Straße seinen Partner geküsst hat und danach bewusstlos geschlagen wurde.
Das alles ist kein Zufall. Es ist das Ergebnis von rechter Hetze, die leider auch rechtsextreme Abgeordnete hier in diesem Haus immer wieder verbreiten. Wenn man beispielsweise wie der AfD-Politiker Herr Krah LGBTI-Personen entmenschlicht oder queere Menschen dauerhaft aus polemischen Gründen beschimpft, dann schafft man ein rhetorisches Umfeld für Gewalt.
Das muss beendet werden! Wir müssen uns solidarisch zeigen mit queeren Menschen. Ich bin froh darüber, dass eine Mehrheit hier im Haus das auch...
(Der Präsident entzieht dem Redner das Wort.)
"
Rasmus ANDRESEN,2023-10-03,DE,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-018-0000_DE.html,"  Rasmus Andresen,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Überschwemmungen und Brände, die weite Teile von Europa zerstören, Kriege und globale Krisen, Brücken, die einstürzen, Schulen, die von Asbest befallen sind, und ein Schienennetz, das so marode ist, dass man in vielen Mitgliedstaaten mindestens eine bis zwei Stunden Verspätungen einplanen muss. Allein um die Klimaziele einzuhalten und moderne Infrastruktur in Europa zu garantieren, brauchen wir jährlich, so die EU-Kommission, 620 Milliarden Euro Investitionen.
Unsere Zukunft ist europäisch, und wir müssen sie jetzt organisieren. In Sonntagsreden sind sich darüber auch meistens alle einig: Die EU muss gestärkt werden, damit wir alle eine gute Zukunft haben, wir klimagerechte Infrastruktur bauen und unser Wohlstand gestärkt wird. Aber wenn es konkret wird, dann steht das Europäische Parlament meistens alleine da. So droht es auch diesmal zu sein. Bei der anstehenden Überarbeitung des Finanzrahmens verhandeln wir leider nicht darüber, was nötig wäre, wir sprechen darüber, was möglich ist.
Wir brauchen die 50-Milliarden-Ukraine-Fazilität, um unser Versprechen einzulösen, die Ukraine beim Wiederaufbau zu unterstützen und ihr einen Weg in die Europäische Union zu geben. Wir brauchen mehr Investitionen in europäische Innovation, und wir brauchen mehr Flexibilität, um auf globale Krisen oder aber auch auf Naturkatastrophen reagieren zu können. Wir brauchen eine Lösung für die explodierenden Zinskosten, damit nicht im nächsten Schritt Jugendaustauschprogramme, Umweltprogramme oder Demokratieprojekte gekürzt werden.
Der Rat ist dazu bisher leider nicht bereit. Ich muss auch ganz ehrlich sagen, Herr Minister, das, was Sie heute allein zum Zeitplan gesagt haben, war mehr als enttäuschend. Machen Sie Ihre Hausaufgaben, setzen Sie den mehrjährigen Finanzrahmen auf die Tagesordnung des nächsten Ratsgipfels oder spätestens im November auf einem Sondergipfel, damit wir zeitnah entscheiden können.
"
Rasmus ANDRESEN,2023-10-03,DE,The 10th consecutive increase in reference interest rates decided by the ECB and its consequences (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-525-0000_DE.html,"  Rasmus Andresen,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Warum ist alles so teuer geworden? Ich kann mir keinen Döner mehr leisten. Wir sind am Ende des Monats, wie soll ich denn noch meine Energiekosten und Lebensmittel bezahlen? Ich habe vor wenigen Tagen gemeinsam mit unserer Grünen-Jugendorganisation in Wiesbaden mit jungen Menschen über ihre Zukunftssorgen gesprochen. Ja, ich muss sagen, die jungen Menschen haben recht: Während alles immer teurer wird, leiden Millionen Menschen real unter Einkommensverlusten.
Konservative behaupten jetzt, dass die Europäische Zentralbank mit hohen Zinsen dafür sorgen kann, dass die Preise fallen. Wir allerdings sagen und wissen, dass das aktuell allerdings falsch ist. Die Europäische Zentralbank hat dafür nicht die richtigen Instrumente. Sie kann gar nicht dafür sorgen, dass der Döner wieder günstiger wird oder die Energiepreise wieder stabiler werden. Es ist ein Skandal, dass große Lebensmittelkonzerne ihre Marktmacht ausnutzen und ihre Gewinne in den letzten Jahren verdoppeln konnten. Ihre Übergewinne und höhere Energiepreise machen Lebensmittel teurer.
Der Schaden, den die EZB mit ihrer Zinspolitik anrichtet, ist größer als deren Effekt auf das Preisniveau. Wir haben keine zu hohe Nachfrage, deshalb bringt es nichts, auf Krampf die Nachfrage zu drosseln. Stattdessen müssen wir erneuerbare Energien massiv ausbauen und unsere Abhängigkeit von fossiler Energie aus Staaten wie Katar oder Russland deutlich senken. Die Kosten für den Ausbau von erneuerbaren Energien werden aber durch die aktuelle Zinspolitik der EZB massiv verteuert. Frau Lagarde, Sie sind mit Ihrer Zinspolitik falsch abgebogen, jetzt ist es Zeit für einen Kurswechsel.
"
Rasmus ANDRESEN,2023-09-13,DE,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-045-0000_DE.html,"  Rasmus Andresen (Verts/ALE).   – Frau Präsidentin, Frau Kommissionspräsidentin! Ich mache mir Sorgen um die Zukunft Europas. Ich mache mir Sorgen, weil Rechtsradikale und Antieuropäer in vielen Mitgliedstaaten an Einfluss gewinnen und es leider auch hier im Haus wieder möglich scheint, dass sie Teil von Mehrheiten werden.
Und in diesen Zeiten ist es wichtig, dass Sie sich als Kommissionspräsidentin vor dieser Frage nicht wegducken, sondern dass Sie Haltung zeigen. Denn es ist viel ins Rutschen geraten. Viele Menschen haben Existenzängste. Mieten, fossile Energiepreise und hohe Lebensmittelpreise: Die Mehrheit der Menschen leidet unter Einkommensverlusten und den hohen Preisen. Arm trotz Arbeit ist die Realität von vielen Millionen Europäerinnen und Europäern geworden.
Die Antwort ist nicht etwa weniger Klimaschutz, sondern eine soziale Politik für alle Menschen. Die EU muss Menschen soziale Sicherheit geben.
Deshalb sollten wir beispielsweise die EU-Mindestlohnrichtlinie verbindlich machen, damit beispielsweise der deutsche Mindestlohn in einem ersten Schritt auf knapp 14 Euro steigt. Wir müssen die Vergabe von Fördermitteln davon abhängig machen, ob Unternehmen faire Arbeitsplätze anbieten oder halt eben nicht. Und wir brauchen eine Infrastrukturoffensive, um unsere marode Infrastruktur nicht verrotten zu lassen.
Sie hatten einen Souveränitätsfond vorgelegt. Daraus ist leider nichts geworden. Wir würden uns wünschen, dass Sie wieder mutiger werden und sich stärker an US-Präsident Biden und dem Inflation Reduction Act orientieren.
"
