MP,Date,Language,Title,Url,Content
Reinhard BÜTIKOFER,2023-12-13,EN,EU-Japan relations (A9-0373/2023 - Reinhard Bütikofer)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-124-0000_EN.html,"  Reinhard Bütikofer,  rapporteur. – Madam President, colleagues, it’s been at least 10 years since we have not looked at the wider relationship between the EU and Japan, even though Japan obviously is one of our best and most important likeminded partners globally. 
The economic relations have thrived, but as regards other dimensions, including security, research and development, global high-quality infrastructure development, the dual digital and green transformation, upholding the multinational international order, working with developing nations or enhancing people to people contacts, there is much we can do beyond what we have. 
This report describes where we are and where we want to go. Next year, we will have an anniversary in that relationship, and I hope that this report can contribute to taking it to new heights. Thank you to all the shadows and all the staff. 
"
Reinhard BÜTIKOFER,2023-12-13,EN,The abduction of Tibetan children and forced assimilation practices through Chinese boarding schools in Tibet,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-447-0000_EN.html,"  Reinhard Bütikofer,  author. – Madam President, Commissioner, colleagues, we’re discussing here a Chinese policy that is of the making of the Communist Party, Emperor Xi Jinping himself. It’s a policy directed against 1 million Tibetan children and against the whole Tibetan nations. A diligently planned policy organised with the utmost brutally bureaucratic efficiency, a comprehensive and unrelenting push for the forced assimilation of the Tibetan young generation, pursued with the goal of depriving them of their cultural heritage, of cynically transforming them into willing colonial subjects of Great Han nationalism. This policy is a radical remake of oppressive so-called development policies, under the excuse of cultural enhancement that had been pursued by US, Canadian and Australian authorities against indigenous ethnic groups in their countries. The goal is the destruction of Tibetan culture. Even the name Tibet is attacked. They tried to annihilate the name. China has made a lot of hay with criticising the history of European colonialism, but Xi’s regime itself is a colonial regime, and that’s why we should stand in solidarity with the Tibetan people against them. 
"
Reinhard BÜTIKOFER,2023-12-12,EN,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-061-0000_EN.html,"  Reinhard Bütikofer (Verts/ALE),  blue-card question. – Colleague, you have explained how much Polish coal stands at the centre of our future. My question is: for how long do you think should we stick to the coal approach that you are advocating? 10 years? 20 years? 50 years?
"
Reinhard BÜTIKOFER,2023-12-12,EN,EU-Taiwan trade and investment relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-084-0000_EN.html,"  Reinhard Bütikofer,  on behalf of the Verts/ALE Group. – Mr President, Executive Vice-President, colleagues, first of all, I want to thank colleague Iuliu Winkler for his work. I also want to state that I’m proud that this Parliament, over the last almost five years, has done quite a lot to consequently work on enhancing the relationship between the EU and Taiwan. The debate today is another step in that direction, and I think that is very important.
I do recognise, Vice-President, that the Commission also has stepped up its efforts, as you explained, and I do also support your expectation towards Taiwan that there is homework to be done on their side also, in particular with regard to the issues that you mentioned, offshore wind and agricultural food products. But I also want to point out that when we look at what the US does or what Japan just did, in agreeing on memorandums of understanding or in trade facilitation deals with Taiwan, there’s room to improve our work.
Here I want to voice a warning. As colleague Winzig said, we have to combine trade and political stability and the effort to reap the fruits of trade without actively contributing to political stability will be futile.
We cannot just dodge the question, Vice-President, of whether we’re willing to sign an agreement with Taiwan. We need a resilient supply chain agreement, not just because of the beneficial trade results, but also because of the beneficial stability results, and the Commission should not dodge that necessity.
"
Reinhard BÜTIKOFER,2023-12-12,EN,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-317-0000_EN.html,"  Reinhard Bütikofer (Verts/ALE).   – Mr President, HR/VP, colleagues, I will try to follow your advice, Josep Borrell, and talk without emotions.
There’s a lot that I would criticise or do criticise about the way in which the Netanyahu government conducts this self-defence against Hamas, but I think it is not right to put so much of the blame just one-sidedly on Israel.
You said, and I quote you, ‘Israel refuses a political solution’. Now, I have two questions there. Number one: do you have an idea of how to solve the issue of Hamas terror politically? Second: has Hamas offered a political solution? Why just put the blame on Israel?
Then people have said here Israel is sowing the seed of hate. Somebody else said terror is now spreading in Gaza. Has that terror not come from Gaza? Let’s not talk as if all the blame could put on Israel. I think that will not make us a partner in solutions.
"
Reinhard BÜTIKOFER,2023-12-12,EN,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-327-0000_EN.html,"  Reinhard Bütikofer (Verts/ALE),  blue-card question. – Mrs Villanueva Ruiz, in the English translation that I followed, you said that Gaza is being turned into an extermination area by Israel. Can you please explain that sentence? 
"
Reinhard BÜTIKOFER,2023-12-12,EN,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-419-0000_EN.html,"  Reinhard Bütikofer,  on behalf of the Verts/ALE Group. – Mr President, Vice-President, colleagues, without an effective economic security strategy, ten years down the line European industry will not have a seat at the table but be on the menu. That’s why I’m grateful to President von der Leyen and also executive Vice-President Dombrovskis for taking the lead in this conversation. And I do agree with what you said, Mr Borrell, that we look to need to look into the governance issues and maybe also learn from Japan in that context. We need a full picture of our strategic dependencies and risks, and we should encourage the Member States to play along well in that regard. We should not think that we have seen all the dangers over the horizon yet. I believe that there is a real risk that there will be waves of dumping exports from China over the next couple of years. We must not fall into the trap of having a struggle between the Member States and Brussels. We must not fall into the trap of protectionism, and we must not fall into the trap of forgetting the strength of the single market. There, I agree with Mr Ferber, but there is more that we have to do long term. We need a strategy to internalise the external cost of security in our economies. And finally, if we want to play offence, we also need to team up with partners globally, including in countries of the Global South. 
"
Reinhard BÜTIKOFER,2023-12-12,EN,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-446-0000_EN.html,"  Reinhard Bütikofer (Verts/ALE).   – Mr President, I wanted to propose that we buy a ‘Wallace and Daly’ record and play it at the end of every debate.
"
Reinhard BÜTIKOFER,2023-12-12,EN,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-468-0000_EN.html,"  Reinhard Bütikofer (Verts/ALE),  blue-card question. – Thank you for taking my question. There are actors that aid and abet Russia’s war of aggression. What is your opinion on the question of whether we should also make those countries that aid and abet Russia’s war of aggression responsible and also try to make them pay the cost?
"
Reinhard BÜTIKOFER,2023-12-12,EN,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-492-0000_EN.html,"  Reinhard Bütikofer,  on behalf of the Verts/ALE Group. – Mr President, HR/VP, colleagues, the bottom line of our relationship with the United States can be captured in one sentence: ‘we should be partners in leadership and responsibility’, as you have quoted from the text. DC has often asked us to shoulder more responsibility, and that’s justified. But they do not always listen when we ask for more partnership in leadership.
However, the United States is not anymore the shining city on the hill that we can just always follow. Still, there’s a necessity to build on the partnership, to strengthen the partnership. But we almost also must address issues where we are not seeing eye to eye. And with regard to multilateralism, that pertains in particular to the trade realm, where the US often talk about rules-based order, but whenever it comes to WTO, they forget it. We need to be cooperating also with other like-minded partners in order to impress on our US partners that we want to shape the future.
And the last point is the most urgent one: that is Ukraine. What the US Congress is deliberating at the moment can be captured with the English saying ‘penny wise, pound foolish’: to not spend the money on supporting Ukraine would be suicidal in the strategic long term.
"
