MP,Date,Language,Title,Url,Content
René REPASI,2023-12-13,DE,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-307-0000_DE.html,"  René Repasi (S&D).   – Herr Präsident, Herr Kommissar! Was für eine Union wollen wir sein? Soll ein Status, den wir als Unionsbürger in einem Mitgliedstaat rechtmäßig erhalten haben, überall in der EU anerkannt sein? Oder verlieren unsere Bürgerinnen und Bürger ihre Rechte beim Grenzübertritt? Ein Kind ist in einem Mitgliedstaat Kind und im anderen Waise? Ganz klar Ersteres. Nicht umsonst sieht es der Europäische Gerichtshof auch so.
Was die Kommission hier vorgeschlagen hat, ist ja keine Neuigkeit. Deswegen: Dank an die Kommission, dass sie diesen Vorschlag gemacht hat, und großen Dank an die Berichterstatterin Maria-Manuel Leitão-Marques für den Bericht, den sie hier vorgelegt hat. Wir haben aber natürlich das Risiko, dass es eine Rechtsgrundlage ist, die Einstimmigkeit im Rat verlangt. Deswegen frage ich die Kommission, ob sie bereit ist –wenn der Vorschlag im Rat scheitert –, anzuerkennen, dass dieser Vorschlag der Unionsbürgerfreizügigkeit dient und deswegen auf der Rechtsgrundlage für die Unionsbürgerfreizügigkeit erlassen werden kann, die nicht nur die Mehrheitsentscheidung ermöglicht, sondern den Kernbestand des Unionsbürgerstatus hier regelt.
"
René REPASI,2023-11-22,DE,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-160-0000_DE.html,"  René Repasi (S&D).   – Frau Präsidentin, Herr Vizepräsident der Kommission, liebe Kolleginnen und Kollegen! Bürokratieabbau ist in aller Munde, aber ich muss schon sagen, es ist doch echt eine absurde Debatte. Die EVP möge sich doch mal entscheiden. Vor einigen Wochen laden sie hier Anu Bradford aus den Vereinigten Staaten ein und bejubeln sie für den Brussels effect – der heißt: Alle in der Welt wollen unsere Produktstandards nachahmen, und deswegen ist es der Binnenmarkt, der dominiert über allem. Und gleichzeitig wollen sie genau das alles abschaffen. Ja, schießen wir uns jetzt mit unseren Regeln ins Knie, oder ist das eigentlich der Weg zu unserer Weltmeisterschaft? Man weiß es nicht so ganz genau.
Aber was ist denn eigentlich Bürokratie? Wir hören: Berichtspflichten; neue Vorschriften; und am allerschlimmsten: elendslange Vorschriften mit bizarren Unterausnahmen. Ja, warum haben wir eigentlich Berichtspflichten? Wir haben Berichtspflichten, damit Kapital investieren kann in irgendwelche Instrumente, die beweisen können, dass sie nachhaltig sind, indem Atomenergie und Erdgasenergie produziert wird. Das zeigt ja doch, dass es eigentlich nicht ganz der richtige Weg ist.
Ja, lassen Sie uns mal echte Handlungspflichten beschließen! Ja, und genau das machen wir jetzt im EU-Lieferkettengesetz. Daher: herzlich willkommen, uns darin zu unterstützen!
Und dann: Warum haben wir eigentlich diese elendslangen, riesengroßen Vorschriften? Jedes Mal, wenn die Kommission uns einen Entwurf schickt, kriegen wir Bombenmassen an E-Mails rein, mit freundlichen Änderungsanträgen von der Industrielobby. Die werden dann Copy-and-paste ins Gesetzgebungsverfahren hineingebracht, und wir kriegen absurde Vorschriften heraus.
Daher: Ja, auf jeden Fall ein Moratorium. Bitte ein Moratorium, liebe Kolleginnen und Kollegen, keine Lobbyisten-Änderungsanträge mehr in diesem Haus! Dann erreichen wir auch Bürokratieabbau.
"
René REPASI,2023-11-22,EN,Threat to rule of law as a consequence of the governmental agreement in Spain (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-194-0000_EN.html,"  René Repasi (S&D).   – Mr President, Mr Commissioner, dear colleagues, it is emotionally understandable that the right side of the house is frustrated after the Spanish elections. Yet it is rather surprising that the Commission gets involved in an internal legislative process even before a draft law is adopted. The Commission should, at least in my understanding, stand beyond party politics. 
But more importantly, the amnesty law has nothing to do with EU law. Amnesties are a common instrument in Europe in order to overcome difficult political situations, where you arrive at a point of ‘tourner la page’. Whether or not they are used is a highly political and sensitive matter, closely linked to the national specificities, something that politically is hard to judge by outsiders in the European Union, including Germans, such as me. 
Yet EU law can also limit the consequences of such amnesty, admittedly, namely in two cases that the EU Charter of Fundamental Rights violated or the directive on the fight against fraud of Union financial interests. So, let’s have a look at this law that was sent to the Spanish Parliament on 13 November. The Charter is interested that core crimes are not undermined, and these are the crimes related to torture or inhumane treatment. The amnesty law does not apply to these cases. There is the just mentioned directive on the Union financial interests, Article 2 of this law. The amnesty law does not apply to offences against financial interests of the European Union. 
Colleagues, the Spanish Government did in this law everything to accommodate the requests of European Union law, and the Commission will not come to a different conclusion. What remains is a political question – whether the amnesty is a way to find out the situation in Spain or not. And that is what is to be debated. But it is for the Spanish Parliament to debate this and not the European one. 
"
René REPASI,2023-11-21,EN,Common rules promoting the repair of goods (A9-0316/2023 - René Repasi)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-130-0000_EN.html,"  René Repasi,  rapporteur. – Mr President, dear colleagues, thanks a lot for this very huge majority supporting the report, which will boost our negotiations with the trilogue to come. In order to do so, Mr President, I would like to request the matter to be referred back to the committee in order to start interinstitutional negotiations, pursuant to Rule 59 of our Rules of Procedure.
"
René REPASI,2023-11-20,DE,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-162-0000_DE.html,"  René Repasi,  Berichterstatter. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Jährlich produzieren wir, so hat es die Kommission berechnet, 35 Millionen Tonnen Abfall nur deswegen, weil wir Waren, die eigentlich funktionsfähig sind, nicht reparieren, sondern wegwerfen. Dabei will die Mehrheit der Bürgerinnen und Bürger ihre Produkte reparieren lassen.
Was aber passiert denn heute, wenn man sein defektes Produkt reparieren lassen will? Innerhalb der gesetzlichen Gewährleistungsfrist verweist der Verkäufer, der selbst überhaupt nicht reparieren kann oder über überhaupt kein eigenes Netzwerk für Reparatur verfügt, jedoch einen Lagerraum voll mit brandneuen Produkten hat, uns darauf, dass es doch viel besser sei, ein Neuprodukt zu nehmen statt reparieren zu lassen. Der Hersteller, der über die notwendige Reparaturkenntnis verfügt, verweist uns an den Verkäufer. So will es das europäische Recht. Nach Ablauf der gesetzlichen Gewährleistungsfrist schickt uns der Verkäufer sowieso schon mit leeren Händen nach Hause. Der Hersteller schüttelt den Kopf: Nein, reparieren muss ich gar nicht. Und der unabhängige Reparierer von nebenan schickt uns einen Kostenvoranschlag, bei dem das Ersatzteil teurer als die Neuanschaffung eines Produktes aus der Billigklasse ist.
Es ist also gar kein Wunder, dass das mit der Reparatur nicht echt funktioniert. Und genau das müssen wir ändern, wenn wir den Wechsel von der Wegwerfgesellschaft in die Reparaturgesellschaft haben wollen. Es war daher gut, dass die Kommission ihren Vorschlag für ein Recht auf Reparatur im März vorgelegt hat. Wir müssen aber ambitionierter sein. Meine Damen, meine Herren, wir müssen das Verhalten von Verbraucherinnen und Verbrauchern ändern. Dafür brauchen wir mehr als einen gesetzlichen Vorrang von Reparatur.
Wir brauchen Anreize dafür, dass sich die Menschen für Reparatur entscheiden. Solche Anreize sind: die Einführung einer zusätzlichen einjährigen Gewährleistungsfrist für reparierte Ware – schließlich erhalten Verbraucherinnen und Verbraucher ganze zwei Jahre, wenn sie ein neues Produkt bekommen. Verbraucherinnen und Verbraucher benötigen ein Ersatzgerät, wenn die Reparatur länger als erwartet dauert, und sie müssen sich an den Hersteller wenden dürfen, wenn sie Reparatur wünschen. Der Hersteller erfüllt dann den Mangelbeseitigungsanspruch gegenüber dem Verkäufer als dessen Erfüllungsgehilfe. Selbige Anreizstruktur muss auch für die Reparatur nach Ablauf der gesetzlichen Gewährleistungsfrist gelten, wenn die Reparatur im Wettbewerb mit dem Billig-Neuprodukt steht. 
Lassen Sie mich nun noch auf das Herzstück des Rechts auf Reparatur zu sprechen kommen – das sind die unabhängigen Reparaturbetriebe. Wir Verbraucher wollen unsere Produkte ja gar nicht zur Reparatur einschicken, sondern schnell um die Ecke reparieren lassen. Da aber steht der Reparierer vor der Herausforderung, dass manche Ersatzteile gar nicht oder nur zu absurden Mondpreisen verfügbar sind, oder dass es Hardware- oder Software-Vorgaben des Herstellers gibt, die Reparatur verunmöglichen. Kostengünstige Ersatzteile aus dem 3D-Drucker werden unterdrückt. Damit muss Schluss sein! Deshalb fordern wir, dass derartige Vorgaben sowie unverhältnismäßige und diskriminierende Preise für Ersatzteile verboten sein müssen.
Schließlich dürfen wir diejenigen nicht aus dem Blick verlieren, bei denen es nicht um die Wahl zwischen Reparatur und Neugerät geht, sondern zwischen Reparatur und gar nichts. Alle Mitgliedstaaten müssen nach unserem Willen Unterstützungsmaßnahmen einführen, die die Reparatur für die Ärmsten erschwinglich machen. Mit all diesen Maßnahmen, die wir morgen beschließen wollen, wird uns ein echtes Recht auf Reparatur gelingen.
Auf dem Weg hierher danke ich insbesondere den Schattenberichterstatterinnen und Schattenberichterstattern der Fraktionen im Ausschuss für Binnenmarkt und Verbraucherschutz, aufgrund deren exzellenter Zusammenarbeit wir zu diesem Ergebnis gekommen sind, das uns jetzt mit breiter Mehrheit zur Abstimmung vorliegt. Eine breite Mehrheit dieses Hauses wird an die Kommission, aber vor allen Dingen an den Rat das Signal schicken, dass wir ein ambitioniertes und ein echtes Recht auf Reparatur brauchen, bei dem wir etwas mehr noch hinbekommen müssen, als die Kommission vorgeschlagen hat – aber ganz sicher nicht weniger.
"
René REPASI,2023-11-20,DE,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-189-0000_DE.html,"  René Repasi,  Berichterstatter. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Vielen Dank für die Debatte, und vor allen Dingen vielen Dank für die breite Unterstützung, die diese Debatte hier von rechts nach links in diesem Haus gezeigt hat – vor allen Dingen nicht nur darin, den Kommissionsvorschlag zu stützen, sondern sogar noch ambitionierter zu sein. Das ist eine klare Botschaft an den Rat, die dieser auch bitte sehr mit nach Hause nehmen soll.
Ich möchte auf einen Aspekt trotzdem noch eingehen; er wurde vom Herrn Kommissar in seinem ersten Beitrag genannt, diese Verbindung mit Ökodesign. Ja, es ist richtig: Der Markt hat in Teilen – in großen Teilen – versagt und Produkte hervorgebracht, die nicht reparierbar sind. Bei einem solchen Marktversagen, da muss der Gesetzgeber eingreifen durch Produktvorgaben in Form von Ökodesign. Aber: Ein Verbraucherrecht, ein Individualrecht wie das Recht auf Reparatur, das darf nicht von Marktversagen abhängen. Das Recht auf Reparatur muss eigentlich alle Produkte erfassen. Nun verstehe ich, warum die Kommission die Verengung vorgeschlagen hat, und ich bin ihr in Teilen auch gefolgt, aber das Recht auf Reparatur ist kein Wurmfortsatz von Ökodesign – nein. Es gibt Produkte, die reparierbar sind, ganz ohne rechtliche Vorgaben. Und sollte für ein solches Produkt kein Recht auf Reparatur gelten? Ich meine nein.
Deshalb setzen wir als Parlament die Fahrräder mit in den Anhang hinein. Weil der Fahrradmarkt, das ist der Traummarkt. Da haben wir Produkte, die sind perfekt reparierbar. Wir haben ein gut funktionierendes Reparaturnetzwerk. Verbraucherinnen und Verbraucher entscheiden sich für die Reparatur. Hier können alle sehen, wie es aussehen muss. Und das ist die Vision, zu der wir hinarbeiten sollten.
Lassen Sie mich zweitens noch auf das Formblatt eingehen. Die Kommission wollte, dass alle Unternehmen zwingend eine sehr umfangreiche Information von sich geben. Das führt aber dazu, dass viele Kleinstreparierer Kleinstreparaturen gar nicht mehr interessant finden, weil der Bürokratieaufwand gegenüber dem Kostenvoranschlag für den Nachbarn um die Ecke viel zu groß ist. Und insoweit ist es richtig, dass der, der es nutzen möchte, von der Möglichkeit Gebrauch machen kann, der das aber nicht will, nicht von der Reparatur abgehalten wird.
Deswegen nehme ich die Anregung von Sandro Gozi mit. Wir, das Parlament, müssen hier hart verhandeln mit dem Rat, weil es hier noch einiges abzuverhandeln gilt. Deswegen setze ich auf eine große, breite Mehrheit morgen, sodass ich mit einem breiten Kreuz dem Rat gegenübertreten kann und mit Unterstützung der Kommission ein gutes Ergebnis heraushandeln kann.
"
René REPASI,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-385-0000_DE.html,"  René Repasi (S&D).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Recht ist nur so gut wie seine Durchsetzung. Deswegen ist es gut, Herr Kommissar, dass Sie gehandelt haben. Soziale Medien haben beim Umgang mit Fake News und Hassbotschaften ein weiteres Mal bestätigt, dass Selbstregulierung nicht funktioniert, erst recht nicht, wenn die Selbstbeschränkung in die kommerziellen Interessen eingreift.
Das ist dann genau der Moment, in dem das Recht mit seiner vollen Härte eingreifen muss. Lassen Sie uns eines klarstellen: Hassrede wird nicht in der Offlinewelt geschützt, und genauso wenig ist sie in der Onlinewelt zu schützen. Viele haben behauptet, das Gesetz über digitale Dienste seien schöne Worte, aber Big Tech hat sich doch nicht darum gekümmert. Elon Musk testet uns, indem er unter dem Deckmantel der Meinungsfreiheit unsere Demokratie unterwandert. Deswegen, Herr Kommissar, bin ich Ihnen dankbar, dass Sie jetzt mit voller Härte eingreifen. Bitte bleiben Sie dran! Bleiben Sie stark! Setzen Sie unser Gesetz über digitale Dienste durch, damit wir allen zeigen, dass wir hier Recht haben, dass wir es auch tatsächlich durchsetzen und dass es wirkt.
"
René REPASI,2023-10-05,DE,Financial services contracts concluded at a distance (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-019-0000_DE.html,"  René Repasi (S&D).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Dark Patterns sind eine Pest des Internets. Es ist schon schlimm genug, dass wir Verbraucher im Internet regelmäßig dazu verleitet werden, Entscheidungen zu treffen, die wir eigentlich nicht wollen, Produkte kaufen, die wir eigentlich nicht nötig haben. Besonders niederträchtig sind solche Verhaltensweisen, wenn sie Menschen in Schuldenfallen laufen lassen.
Es ist gut, dass wir etwas zu Dark Patterns in diese Richtlinie hineinbekommen haben. Es ist mir aber unverständlich, warum wir im Verhandlungsergebnis nicht ein klares Ende für diese Missstände setzen und die Mitgliedstaaten ihr gesamtes Arsenal in Stellung bringen wollen, um Dark Patterns bei Finanzdienstleistungen zu verbieten und zu verhindern – so wie wir, das Europäische Parlament, es in unserer Position gefordert haben. Das ist eine Schande für den Rat, dass er nicht mehr zugelassen hat. Deswegen seien sie aber versichert: Wir, das Europäische Parlament, werden hier am Ball bleiben, um Dark Patterns überall den Garaus zu machen.
"
René REPASI,2023-10-03,DE,The 10th consecutive increase in reference interest rates decided by the ECB and its consequences (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-532-0000_DE.html,"  René Repasi (S&D).   – Herr Präsident, sehr geehrter Herr Vizepräsident, Kommission, liebe Kolleginnen und Kollegen! Wir debattieren heute die zehnte konsekutive Erhöhung der Zinssätze durch die EZB. Das heißt, wir diskutieren hier die Verteuerung von Krediten für notwendige Investitionen, die Verteuerung von Hypotheken, und ja, sehr richtig, Herr Kommissar, es sind die Armen, die deutlich härter davon betroffen sind, wenn wir Maßnahmen der Geldpolitik haben.
Es ist auch richtig, was Sie sagen: Die EZB ist unabhängig. Aber richtig ist auch, dass Geldpolitik eben nicht alles ist, schon gar nicht, wenn der Grund für die Preissteigerung Profite sind. Hier, Herr Kommissar, ist die Kommission sehr wohl zur Verantwortung zu ziehen. Denn wenn Preise nicht mehr marktgerecht sind, dann liegt ein Wettbewerbsverstoß vor. Warum hat die Generaldirektion Wettbewerb nicht schon längst die Verfahren eingeleitet und zum Abschluss gebracht, um Preise nach unten zu bringen, sodass wir gar nicht dazu gezwungen sind, über Zinssatzerhöhungen zu diskutieren und dementsprechend die Ärmsten auch nicht am meisten treffen müssen?
Herr Kommissar, die Kommission ist hier gefordert, um die EZB in ihrem Kampf gegen die Inflation zu unterstützen.
"
René REPASI,2023-09-13,DE,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-427-0000_DE.html,"  René Repasi (S&D).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Uns eint, dass wir hier Menschen vor Menschenrechtsverletzungen, vor Gewalt und Ausbeutung schützen wollen, vor allem solche, die sich aus Mangel an Alternativen in einer Lebenssituation befinden, in der sie geschlechtsbezogener, psychologischer, körperlicher und sexueller Gewalt ausgesetzt sind. Was tun?
Der Staat – die öffentliche Hand – muss all seine Möglichkeiten in Einsatz bringen können, und das heißt vor allen Dingen seine Strafverfolgungsbehörde. Falsch ist es, die Menschen auch noch zu kriminalisieren, die in diesen ausweglosen Situationen sind. Ist es dann aber im Umkehrschluss richtig, mangels Kriminalisierung von jedweden Personen Strafverfolgungsbehörden an die Seitenlinie zu stellen? Ich meine nein. Es ist die Nachfrage nach Sex, in der gegenseitiges Einverständnis durch Geld ersetzt wird, die die Quelle für die Ausbeutung darstellt. Lassen Sie es mich deutlich sagen, es gibt keinen Anspruch auf Sex. Der Nachfrage muss sich daher mit den Mitteln der Strafverfolgungsbehörden deutlich entgegengestellt werden, und das verlangt die Kriminalisierung der Nachfrage und der Freier.
Daher ist der Ansatz des Berichtes von Maria Noichl richtig. Entkriminalisierung der Opfer, der prostituierten Frauen, Kriminalisierung der Freier, Entstigmatisierung der Opfer und Hilfe für die Betroffenen.
"
