MP,Date,Language,Title,Url,Content
Romeo FRANZ,2023-09-14,DE,Segregation and discrimination of Roma children in education (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-168-0000_DE.html,"  Romeo Franz,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Es ist traurig, wenn Geschwister und Kinder in der Schule ausgeschlossen werden. Und wir – wir müssen gegen solche Ungerechtigkeiten und Ausgrenzung kämpfen. Ausgrenzung beginnt oft durch Worte.
In der Politik wird oft der Begriff Roma als Oberbegriff für alle Romanes-sprachigen Menschen benutzt, wie Caló, Manuš, Lovara, Resande, Bojash, Domari, Caldera, Romani, Kale und Sinti. Das ist grundsätzlich falsch.
Ich, zum Beispiel, ich bin Sinto und falle nicht unter den Überbegriff Roma. Genauso wie ein Franzose kein Deutscher ist, ein Pole kein Spanier. Aber wir alle – wir alle sind Europäer. Europäer zu sein, bedeutet Teil eines vielfältigen Kontinents mit verschiedenen Kulturen, Sprachen und Traditionen zu sein. Genauso ist es bei den Romanes-sprachigen Menschen. Der Begriff Romanes-sprachige Menschen respektiert die Vielfalt in dieser Gemeinschaft und fördert ein besseres Verständnis für ihre Kultur und Geschichte.
Die Verwendung des Oberbegriffs Roma kann Unterschiede innerhalb der Gruppe übersehen lassen. Wenn wir stattdessen den Begriff Romanes-sprachige Menschen verwenden, erkennen wir die Einheit und Vielfalt mit über 200 Romanes-Dialekten gleichermaßen an und fördern einen respektvollen Dialog über ihre Rechte in Europa. Dadurch wenden wir uns auch gegen einen paternalistischen Ansatz und fordern unser Recht auf Selbstbestimmung und Selbstbezeichnung ein.
Neben der Bekämpfung von Antiziganismus ist es jedoch auch wichtig zu betonen, dass Umweltrassismus nicht nur die Lebensumstände, sondern auch die Schulerfahrung und die Schulleistungen Romanes-sprachiger Kinder beeinflusst. Die Umstände, die durch Umweltverschmutzung, Gesundheitsbelastung und unzureichende Wohnverhältnisse entstehen, können ihre Bildungschancen erheblich beeinträchtigen. Wir müssen uns bewusst sein, wie Umweltrassismus in der Schule wirkt, und uns für eine gerechte Bildungsumgebung einsetzen.
Nur durch eine ganzheitliche Betrachtung der Herausforderungen, mit denen Romanes-sprachige Kinder konfrontiert sind, können wir echte Veränderungen bewirken und eine inklusive Gesellschaft schaffen.
"
Romeo FRANZ,2023-05-09,DE,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-170-0000_DE.html,"  Romeo Franz,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Das Erasmus+-Programm zusammen mit einigen anderen Programmen, welche den kulturellen Austausch fördern, sind für viele Menschen in der EU am bekanntesten. Es ist wichtig, dass diese Programme noch mehr Menschen erreichen und sich mehr auf die Themen Vielfalt und Inklusion fokussieren. Die EU muss alle Menschen mitnehmen, insbesondere marginalisierte Gruppen und unsere Jugend. Doch mit der viel zu kurzfristigen Ankündigung des Jahres der Jugend konnte man nur wenig auf die Beine stellen. Deswegen sollte die Kommission aus diesen Fehlern lernen und auch weiterhin mehr in die europäische Jugend investieren.
"
Romeo FRANZ,2023-05-09,DE,2022 Report on Kosovo (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-369-0000_DE.html,"  Romeo Franz,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Der Kosovo gehört in die EU. Die jüngst beschlossene Visaliberalisierung ist ein wichtiger und längst überfälliger Schritt in diese Richtung. Dadurch können Kosovarinnen und Kosovaren ab dem nächsten Jahr für 90 Tage ohne Visum in die EU reisen. Das ist ein großartiger Erfolg, der mich vor allem für die vielen jungen Menschen im Kosovo freut. 
Ein Hindernis für die zukünftige Entwicklung des Kosovos ist die Blockadehaltung Serbiens, das eine gegenseitige Normalisierung der Beziehungen verhindert. Obwohl beide Seiten sich Ende März auf ein Abkommen geeinigt haben, verweigert Serbien seine Unterschrift. Serbien stimmte jüngst gegen die Mitgliedschaft des Kosovos im Europarat. Diese Haltung Serbiens ist antieuropäisch und zeigt deutlich, dass Nationalismus die europäischen Werte aushebeln möchte. 
"
Romeo FRANZ,2022-12-15,DE,"The 30th anniversary of the UN Declaration on the Rights of Persons Belonging to National or Ethnic, Religious and Linguistic Minorities (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-15-INT-4-025-0000_DE.html,"  Romeo Franz (Verts/ALE).   – Frau Präsidentin, sehr geehrte Kolleginnen und Kollegen! Eines der in der Erklärung verkündeten grundlegenden Ziele besteht darin, die Achtung der Menschenrechte und der Grundfreiheiten für alle zu fordern. Es werden Maßnahmen zur Förderung der Identität von Minderheiten verlangt. Es wird ausdrücklich gefordert, Maßnahmen zu ergreifen, um die Kenntnis der Geschichte der Minderheiten zu fördern. Angehörige von Minderheiten sollten angemessene Möglichkeiten haben, ihre persönlichen Erfahrungen zu teilen, um gegenseitiges Verständnis und Vertrauen zu fördern. Dazu gehört auch eine angemessene Erinnerungskultur.
Durch den Holocaust wurden Hunderttausende Sinti und Roma ermordet, darunter sechs meiner Tanten und Onkel. Es wird Zeit, dass wir zum nächsten Holocaustgedenktag im Parlament zum ersten Mal in unserer Geschichte einen Zeitzeugen oder eine Zeitzeugin mit Romanes-Hintergrund sprechen lassen, solange wir noch die Zeit dafür haben.
"
Romeo FRANZ,2022-12-13,DE,Implementation of the New European Agenda for Culture and the EU Strategy for International Cultural Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-151-0000_DE.html,"  Romeo Franz,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Wir fordern mit diesem Bericht nachdrücklich die Kommission und die Mitgliedstaaten auf, die Einbeziehung der am stärksten ausgegrenzten und unterrepräsentiertesten Gruppen in kulturelle Aktivitäten und Initiativen sicherzustellen, nicht nur als passive Empfänger, sondern auch als aktive Gestalter, das heißt auf Augenhöhe.
Ich habe letzte Woche eine Delegation von Abgeordneten des kosovarischen Menschenrechtsausschusses nach Berlin eingeladen – da sie mich darum gebeten haben –, um ihre Menschenrechtsstandards zu stärken und um sich zu effektiven Best-Practice-Maßnahmen marginalisierter Gruppen, insbesondere von Romani people, auszutauschen.
Unser Austausch fand auf Augenhöhe statt. Auch der Austausch mit den Vertreterinnen und Vertretern der deutschen Bundesregierung und der Ministerien fand auf Augenhöhe statt. Zentrale Bedeutung hatte auch der Staatsvertrag des Landes Baden-Württemberg mit der Minderheit der Sinti und Roma, der zu den ersten in Deutschland und effektivsten in der EU zählt. Wir haben aber auch gemeinsam die unterschiedlichen Denkmäler von Minderheiten in Berlin besucht, um uns darüber auszutauschen, welche Formen der Erinnerungskultur auch möglich sind.
Eine Kommunikation auf Augenhöhe auf allen Ebenen ist essenziell. Daher freut es mich sehr, dass wir es einerseits geschafft haben, den enormen Beitrag, den Kunst und Kultur leisten, um das Bewusstsein für Umwelt, Klima und Nachhaltigkeitsfragen und ihre soziale Dimension auch in diesem Bericht zu verankern. Für die Kultur ist es wichtig, insbesondere für diejenigen, die häufig Opfer von Diskriminierungen sind, beispielsweise Frauen, ethnische Minderheiten, Menschen mit Behinderung und Mitglieder der LGBTIQ einzubeziehen und damit die Bekämpfung von Hass und Rassismus auch in diesem Bericht nachdrücklich zu unterstreichen.
"
Romeo FRANZ,2022-11-10,DE,"Racial justice, non-discrimination and anti-racism in the EU (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-10-INT-2-013-0000_DE.html,"  Romeo Franz,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, sehr geehrte Kolleginnen und Kollegen! Heute schreiben wir Geschichte. Zum ersten Mal setzen wir in diesem Parlament einen so starken Schwerpunkt auf den Kampf gegen strukturellen Rassismus und Diskriminierung von Minderheiten.
Mit diesem Bericht fordern wir nachdrücklich, die eigentlichen Ursachen von strukturellem Rassismus und Diskriminierung endlich anzugehen. Der Kampf gegen Rassismus muss endlich in der EU angegangen werden. Dafür setzen wir einen wichtigen Meilenstein.
Mit meinen eigenen Augen habe ich in den Wäldern von Lwiw in der Ukraine gesehen, wie Rassismus und Diskriminierung Menschen verhungern lässt. Ich konnte nicht glauben, dass Menschen – darunter eine große Anzahl von Kindern – unter diesen Bedingungen in Europa leben mit einer Lebenserwartung von circa 40 Jahren. Die Reisen in die Ghettos von Tinca in Rumänien oder Kjustendil in Bulgarien, wo massiver Antiziganismus Bürgerinnen und Bürger zu Menschen zweiter Klasse macht, haben mich sehr geprägt. Doch Lwiw war kaum zu beschreiben. Dieses Ausmaß an Entmenschlichung durch Rassismus ist grausame Realität, die durch den Krieg noch verschlimmert wird.
Wir, das Europäische Parlament, dürfen die Schande der Entmenschlichung nicht weiter tolerieren. Nur so können wir unsere Menschlichkeit bewahren. Und dafür setzen wir heute ein Zeichen.
"
Romeo FRANZ,2022-10-05,DE,"The Dutch childcare benefit scandal, institutional racism and algorithms (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-05-INT-3-414-0000_DE.html,"  Romeo Franz (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Tausende Familien wurden in den Niederlanden zwischen 2013 und 2019 zu Unrecht des Betrugs bezichtigt. Viele Familien verschuldeten sich, und Kinder wurden ihren Eltern weggenommen.
Der Grund dafür sind ein tief sitzender Rassismus und Vorurteile, mit denen man ganz bewusst die Algorithmen gefüttert hat. Ich kann mit den Betroffenen sehr gut mitfühlen, da Menschen mit Romanes-Hintergrund zu den am meisten marginalisierten Gruppen in Europa gehören und der Antiziganismus wieder auf dem Vormarsch ist.
Es ist wichtig, dass wir im Nachgang zu solchen Stigmatisierungen auch Antworten haben, die in die Zeit passen. Daher habe ich mich im Rassismusbericht, den wir im Ausschuss für bürgerliche Freiheiten, Justiz und Inneres bearbeiten, auch dafür stark gemacht, dass die Gefahren von künstlicher Intelligenz und Algorithmen zwingend berücksichtigt werden müssen.
Rassismus lässt sich nicht mit Empfehlungen bekämpfen. Wir brauchen dazu die Kraft des Gesetzes, um Menschen vor Rassismus zu schützen.
"
Romeo FRANZ,2022-07-05,DE,2021 Report on Bosnia and Herzegovina (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-336-0000_DE.html,"  Romeo Franz (Verts/ALE).   – Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! Wir sind uns alle einig, dass eine nachhaltige Stabilisierung Bosniens und Herzegowinas im europäischen Interesse liegt, nicht erst, aber gerade vor dem Hintergrund des russischen Angriffskriegs in der Ukraine. Wir wissen, dass Putin seinen Einfluss auf den Westbalkan und auf Bosnien und Herzegowina ausweiten will. Daher ist es notwendig, dass wir in der Europäischen Union gemeinsam mit unseren internationalen Verbündeten unserer Verantwortung gerecht werden und Frieden und Stabilität sichern. Gleichzeitig müssen die Anstrengungen auf bosnischer Seite erhöht werden, um den EU-Kandidatenstatus zu erlangen. Denn sie sind für den Demokratisierungsprozess im Lande essenziell.
Wir verurteilen diejenigen, die das Land spalten wollen. Die Blockade der Institutionen und die Spaltungsversuche der Republika Srpska müssen unverzüglich beendet werden. Die Menschen sind den Ethnonationalismus der politischen Eliten im Lande leid. Sie wollen ein Leben in Frieden und Sicherheit und eine Zukunft für sich und ihre Kinder. Umso wichtiger sind die Wahlen im Oktober. Diese müssen transparent und fair stattfinden, und die Europäische Union muss alles daransetzen, dies zu gewährleisten.
(Der Redner ist damit einverstanden, auf eine Wortmeldung nach dem Verfahren der „blauen Karte“ zu antworten.)
"
Romeo FRANZ,2022-07-05,DE,2021 Report on Bosnia and Herzegovina (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-338-0000_DE.html,"  Romeo Franz (Verts/ALE),  Antwort auf eine Wortmeldung nach dem Verfahren der „blauen Karte“. – Wir müssen ein Ethnosystem auf jeden Fall überwinden. Bosnien und Herzegowina ist das einzige Land in Europa, das dieses System hat, und das hat keine Zukunft.
Ich sage Ihnen das aus eigener Erfahrung. Wir haben in meiner Familie sechs Familienangehörige im Holocaust verloren, weil wir einer Ethnie angehörten, nämlich den Sinti. Und wir wissen, dass ein ethnisches System keine Zukunft haben kann und auch keine Menschenrechte garantieren kann. Deswegen ist es wichtig für Europa und für die Menschen, dass wir das überwinden.
"
Romeo FRANZ,2022-06-22,DE,Inclusion measures within Erasmus+ 2014-2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-22-INT-1-226-0000_DE.html,"  Romeo Franz,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Unser europäisches Flaggschiffprogramm Erasmus+ ist ein europäisches Vorzeigeprojekt, aber immer noch gibt es junge Leute, die davon noch nie gehört haben. Das müssen wir verbessern, denn Inklusionsmaßnahmen sind der Schlüssel zu einem erfolgreichen Erasmus+-Programm. Alle jungen Menschen innerhalb der EU, egal welcher Zugehörigkeit oder Ethnie, aber gerade solche aus benachteiligten, marginalisierten Gruppen wie Menschen mit Romanes-Hintergrund müssen einen Zugang zu diesem Programm erhalten und partizipieren können.
Kleinen Organisationen, gerade Selbstorganisationen kommt hier dabei eine wichtige Rolle zu, denn sie haben den Kontakt zu den Jugendlichen. Das ist wertvoll. Zudem brauchen diese Organisationen mehr Unterstützung – finanziell, aber auch was den Verwaltungsvorgang angeht. Dieser muss vereinfacht werden.
Der Bericht bezieht sich zwar auf das vergangene Programmintervall, aber eine Analyse von Defiziten ist sinnvoll, um zu wissen, was wir in Zukunft noch besser machen müssen.
"
