MP,Date,Language,Title,Url,Content
Sabine VERHEYEN,2023-10-05,EN,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-071-0000_EN.html,"  Sabine Verheyen,  author. – Mr President, dear Vice-President Šuica, dear colleagues, in the past decade, children have started using technology more intensively and at an ever-younger age. They are real digital natives. Digital tools and devices are everywhere around them. This creates opportunities, but also challenges.
Under the United Nations Convention on the Rights of the Child, children must be protected in the digital environment. Violence, sexual abuse, cyberbullying, grooming and other forms of abuse against children have increased to a worrying extent recently, and with a major impact on the physical and mental health of the younger generation. At the same time, social services and protective institutions have become more and more inaccessible.
On 11 May 2022, the Commission adopted the communication on the European strategy for a better internet for kids (BIK+), which tackles several issues that were missing from the 2012 BIK strategy and aims to address persistent challenges. This strategy has three pillars: first, safe digital experiences for children; second, children’s digital empowerment; and third, active participation of the children. The Commission has invited the European Parliament and the Council to endorse the strategy and work together on this implementation. In this context, I would like to ask the Commission today, on behalf of the Committee on Culture and Education, several questions.
First, how does the Commission intend to help the Member States and industry to implement the objectives set out in the BIK+ strategy? How can we ensure that adequate funding is allocated to support hotlines, helplines and safe internet centres, so that they can achieve the objectives set out in the strategy, in particular in relation to prevention, awareness-raising campaigns, and support to victims.
Second, how will the strategy foster an inclusive and holistic approach, in order to bridge the digital divide and enhance the digital skills and competencies, including media literacy of children, parents and educators, including people with disabilities and those from vulnerable backgrounds?
Third, how is the Commission planning to ensure that pan-European data collection and research will be carried out on prevention and victim-assistance programmes, and on the digital activities of children? How will it guarantee that future digital policies and initiatives take new technological developments into account? 
And fourth and not least, how does the Commission intend to involve children of all ages in the monitoring process and the effective implementation of this strategy?
We would like to hear some answers from the Commission on all these questions, because it is a very important issue that we protect our children in the digital environment, to give them the opportunity not just to face the challenges, but really to use in a safe environment the opportunities and chances that lie in digitisation.
"
Sabine VERHEYEN,2023-10-03,DE,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-066-0000_DE.html,"  Sabine Verheyen,  Berichterstatterin. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Ohne freie Medien kann es keine Demokratie geben. Wie Alexis de Tocqueville bereits bemerkte, ist die Presse das „wichtigste demokratische Instrument der Freiheit“. Während wir stolz auf unsere hohen demokratischen Standards sind, dürfen wir nicht die Augen vor dem besorgniserregenden Zustand der Pressefreiheit weltweit verschließen, einem Trend, der auch Europa betrifft.
Das Europäische Medienfreiheitsgesetz ist ein entscheidendes Instrument, um diesen Herausforderungen zu begegnen. Medien sind nicht einfach ein beliebiges Geschäft. Über ihre wirtschaftliche Dimension hinaus tragen sie zu Bildung, kultureller Entwicklung und Inklusivität in der Gesellschaft bei und schützen grundlegende Rechte wie die Meinungsfreiheit und den Zugang zu Informationen. Daher muss die doppelte Natur der Mediendienste im Europäischen Medienfreiheitsgesetz anerkannt werden.
Wir haben einen gut ausbalancierten Text gefunden, der dieser Doppelrolle der Medien gerecht wird und sie vor Einflussnahme schützt. Wir haben sichergestellt, dass die Medienaufsicht politisch unabhängig ist, schaffen Transparenz über die Besitzverhältnisse von Medienunternehmen und setzen Mindeststandards für die freie Arbeit der Journalisten sowie den öffentlichen Rundfunk. Wir geben Medienanbietern außerdem die Möglichkeit, sich selbstständig an die europäische Ebene zu wenden, wenn nationale Regulierung es ihnen unmöglich macht, ihrer Aufgabe nachzukommen.
Zusätzlich haben wir die großen Online-Plattformen einbezogen, die als Gatekeeper in unserem digitalen Leben fungieren. Diese hauptsächlich nichteuropäischen Plattformen haben erhebliche Macht bei der Entscheidung darüber, welche Inhalte uns erreichen, zu welchen Inhalten wir Zugang haben, und streng kontrollierte europäische Medieninhalte dürfen nicht willkürlichen Entscheidungen solcher Plattformen unterliegen.
Wir haben viele Fälle gesehen, in denen Plattformen legale und seriöse Inhalte ohne ersichtliche Gründe blockiert haben. Das zeigt uns, dass wir diesen Schutzmechanismus brauchen. Diese Absicherung gilt nicht für illegale Inhalte, und ich möchte an der Stelle noch mal sehr klar sagen: Das Gesetz über digitale Dienste bleibt von dieser Regelung in Artikel 17 vollkommen unberührt. Es geht hier um den Schutz von Qualitätsjournalismus, wissenschaftlichen Artikeln und investigativem Journalismus, der nicht der Willkür von Plattformen unterworfen werden soll.
Jetzt können wir als Abgeordnete zeigen, ob es uns ernst ist, freie Medien zu schützen − Medien, die bereits einer Regulierung in Form von Medienaufsicht oder anerkannten Regulierungsmechanismen in Europa unterliegen wie einem Presserat oder einem Selbstregulierungsmechanismus.
Wir haben wichtige legislative Meilensteine bereits erreicht – ob das im Bereich der Bekämpfung von SLAPP-Klagen ist, ob das das Gesetz über digitale Dienste bzw. das Gesetz über digitale Märkte ist, die AVMD-Richtlinie oder sogar auch die Richtlinie über das Urheberrecht. Jetzt geht es darum, unsere Medienlandschaft und unsere Journalisten im Sinne der Vielfalt und Freiheit zu sichern. Mit dem Europäischen Medienfreiheitsgesetz gehen wir einen weiteren wichtigen Schritt für den Schutz unserer Medien und unserer Demokratien, und deshalb bitte ich Sie, das Dossier heute Mittag bei den Abstimmungen zu unterstützen.
"
Sabine VERHEYEN,2023-10-03,DE,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-127-0000_DE.html,"  Sabine Verheyen,  Berichterstatterin. – Frau Präsidentin! Vielen Dank, liebe Kolleginnen und Kollegen, für die intensive Debatte. Danke vor allem aber auch an die Teams der Sekretariate, die Teams meiner Schattenberichterstatter und der Berichterstatter, die auf technischer Ebene eine enorme Arbeit geleistet haben.
Wir haben mit dem Text des Ausschusses für Kultur und Bildung einen rechtssicheren Text vorliegen, und er greift nicht in die ausschließliche Kompetenz der Mitgliedstaaten ein, sehr geehrte Frau Kruk, sondern sichert Grundprinzipien unabhängiger und freier Medien in einer funktionierenden Demokratie. Dass das Gremium für Mediendienste als Nachfolger der ERGA unabhängig sein soll − auch von der Kommission −, ist der Arbeit des Parlaments, insbesondere des Ausschusses für Kultur und Bildung, zu verdanken.
Und, lieber Daniel Freund, die Kommission könnte auch heute schon stärker tätig werden, wenn sie das Nichteinhalten europäischer Gesetzgebung im Medienbereich konsequenter und beherzter verfolgen würde wie zum Beispiel bei der Nichtumsetzung der AVMD-Richtlinie oder auch anderer Bereiche. 
Ich glaube, dass es wichtig ist, dass wir die Unabhängigkeit des Gremiums auch sicherstellen. Sie ist essenziell vor einer wie auch immer gearteten Kommission, ob rechts, ob links, ob grün geprägt – wie auch immer –, die Unabhängigkeit ist hier wesentlich und nicht, ob jetzt gerade eine Kommission viel Einfluss auf das Gremium bekommen soll oder nicht.
Beim Thema Spyware möchte ich nochmals betonen, dass der vorliegende Kompromiss des Ausschusses für bürgerliche Freiheiten, Justiz und Inneres genau das ausschließt, was Kollege Sinčić eben kritisiert hat: Die journalistische Arbeit und der Quellenschutz dürfen nicht ausspioniert werden, und jedwede Aktion untersteht einem richterlichen Vorbehalt. Wir haben also auch hier entsprechende Schutzmechanismen eingeführt.
Bei Artikel 17 möchte ich nochmals klarstellen, dass die Mediendienste nicht von der Zustimmung der nationalen Medienaufsicht abhängig sind, und im Zweifelsfalle, im Konfliktfall mit den Plattformen, können sie sich auch noch einmal direkt an das Europäische Gremium für Mediendienste wenden, das dann eine entsprechende Empfehlung ausstellen kann.
Es werden viele Schutz- und Sicherungsmechanismen eingebaut, die politische Willkür, Einfluss von Drittstaaten, aber eben auch Willkür nationaler Aufsichtsbehörden verhindern sollen, und es ist kein Schlupfloch für Desinformation, dafür sind einfach auch zu viele Schutzmechanismen eingezogen worden.
Ich bitte Sie deshalb, dem sehr wohl ausgewogenen, rechtssicheren und wichtigen Gesetzestext in seiner Form heute zuzustimmen, damit wir bei der Sicherung von Medienvielfalt, Freiheit und Demokratie einen großen Schritt weiterkommen.
Ich möchte mich auch bei der Kommission bedanken für die konstruktive Zusammenarbeit. Ich freue mich auf die Kooperation mit der spanischen Ratspräsidentschaft und hoffe, dass es uns gelingen wird, den Gesetzestext bis zum Ende dieses Jahres zu finalisieren.
"
Sabine VERHEYEN,2023-10-03,EN,European Media Freedom Act (A9-0264/2023 - Sabine Verheyen)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-163-0000_EN.html,"  Sabine Verheyen (PPE).   – Madam President, thank you very much, colleagues, for the great support. Today we took a milestone to safeguard media freedom in the EU. I would like to thank everybody who has worked on this important file and has supported us here today. Therefore, based on Rule 59(4), I request the matter to be referred back to the committee for interinstitutional negotiations so that we can close the file hopefully at the end of the year, but at the latest at the end of this legislative term.
"
Sabine VERHEYEN,2023-04-18,DE,Question Time (Commission) - Legacy of the European Year of Youth,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-237-0000_DE.html,"  Sabine Verheyen (PPE).   – Frau Präsidentin, sehr geehrte Frau Kommissarin! Die Art und Weise, wie hier diskutiert wird zum Europäischen Jahr der Jugend, zeigt, dass es eben nicht nur ein Thema ist, sondern ein sehr breites Spektrum an Themen, das junge Menschen interessiert, wo junge Menschen auch mit einbezogen werden wollen und das Relevanz für junge Menschen hat.
Deshalb hätte ich mir eigentlich gewünscht, dass heute eben nicht nur die Kommissarin da ist, die für die Bildungsprogramme, für die Ausbildung, für die Hochschulen und für die Forschung zuständig ist, sondern dass hier eine ganze Reihe von Kommissaren gesessen hätte. Denn dieses Thema ist ein Thema, das alle Kommissare im Endeffekt berührt und das alle auf dem Schirm haben müssen.
Deshalb auch meine Frage: Inwiefern ist das Thema oder sind die Themen, die von den jungen Menschen im Laufe dieses Jahres aufgebracht wurden – ich nenne sie immer die Big Five, also Umwelt, das Thema Ausbildung und Weiterbildung, das Thema Digitalisierung, das Thema mentale Gesundheit, die Themen wie unbezahlte Praktika oder auch Partizipation –, inwieweit sind die wirklich vorgedrungen in der Kommission, in einem regelmäßigen Austausch zwischen den Generaldirektionen? Eine wichtige Frage, die mir auch noch auf dem Herzen liegt, ist: Inwieweit waren die Mitgliedstaaten wirklich einbezogen?
"
Sabine VERHEYEN,2023-02-01,DE,Transparency and targeting of political advertising (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-103-0000_DE.html,"  Sabine Verheyen,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Frau Präsidentin, liebe Kolleginnen und Kollegen! Desinformationskampagnen und versuchte Einflussnahme auf Wahlen haben auch in Europa zugenommen. Sie sind mittlerweile eine ernst zu nehmende Gefahr für unsere Demokratie. Die Verordnung zur Transparenz politischer Werbung ist ein nicht ganz leichtes, aber richtiges und wichtiges Vorhaben.
Ich glaube, dass wir im Parlament einen ausgewogenen Ansatz finden konnten. Während wir im Offline-Bereich ja schon oftmals strengere Maßnahmen hatten durch Medienregulierung, durch Verordnungen und Gesetze, die auf der nationalen Ebene erhoben wurden, um Inhalt und Werbung sauber zu trennen, wurde nun auch der Online-Bereich entsprechend angepasst.
Unbezahlte Inhalte sind nicht erfasst, und freier und kritischer Journalismus sowie politische Berichterstattung und Informationen sind keine Werbung und fallen daher auch nicht unter diese Verordnung. Sie sind ein essentieller Bestandteil unserer Demokratie, und das war uns gerade im Ausschuss für Kultur und Bildung besonders wichtig. 
Wir ziehen auch die besonderen Voraussetzungen der traditionellen Medien in Betracht, denn auch wenn sich unser Leben heute oftmals digital abspielt, erfreuen sich die traditionellen Medien noch großer Beliebtheit und erfüllen einen wichtigen gesellschaftlichen Auftrag. Sie sind nach wie vor eine zuverlässige Informationsquelle und sollten nicht mit überbordender Bürokratie überzogen werden.
In einer Zeit, in der wir genauer hinschauen, kann diese Verordnung uns allen Rechtssicherheit und mehr Transparenz geben und vor allem eine wichtige Rolle beim Schutz unserer Demokratie spielen.
"
Sabine VERHEYEN,2022-11-24,DE,Establishing the Digital Decade Policy Programme 2030 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-010-0000_DE.html,"  Sabine Verheyen,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Frau Präsidentin, sehr geehrter Herr Kommissar! Die Europäische Union darf sich bei der Digitalisierung nicht abhängen lassen. Der Aufbruch Europas in die digitale Dekade ist überfällig, wenn wir global mithalten wollen. Doch alle technischen Fortschritte, die wir machen, bedeuten nichts, wenn wir die Menschen nicht dafür bereitmachen und sie mitnehmen. Digital literacy wird in der Zukunft zu den wichtigsten Fähigkeiten gehören, die wir beherrschen sollten. Ich bin der festen Überzeugung, dass dies ein entscheidender Faktor für den Arbeitsmarkt sein wird.
Doch um das bei möglichst vielen Menschen zu erreichen, gilt ein Grundsatz: First teach the teachers. Zunächst brauchen wir ausgebildetes Personal, das das Wissen weitergeben kann, sonst kann uns eine grundlegende Digitalisierung der Bevölkerung nicht gelingen. Das betrifft das Lehrpersonal in Schulen, aber auch vor allem im Bereich der Weiterbildung. Wir dürfen bei der Digitalisierung niemanden zurücklassen – egal welche Altersklasse, egal welche soziale Schicht. Meiner Meinung nach müssen wir dabei drei Punkte erfüllen, um erfolgreich zu sein: Wir müssen Lehrpersonal weiterbilden, wir müssen das lebenslange Lernen fördern und die nötige digitale Infrastruktur in Schulen und Bildungseinrichtungen schaffen.
Einige Länder der EU sind bereits deutlich weiter fortgeschritten bei der Digitalisierung als andere. Aber wie sagt man im Sport so schön: Wir sind nur so stark wie unser schwächstes Mitglied. Packen wir es also gemeinsam an und bringen Europa in die digitale Dekade! Nutzen wir die Zeit jetzt, um die notwendigen Investments in Menschen und Infrastruktur zu schaffen!
"
Sabine VERHEYEN,2022-11-24,DE,The European Year of Youth 2022 Legacy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-24-INT-4-050-0000_DE.html,"  Sabine Verheyen,  im Namen der PPE-Fraktion. – Frau Präsidentin, sehr geehrter Herr Kommissar! Das Europäische Jahr der Jugend war die richtige Initiative zur richtigen Zeit, denn in der Corona-Pandemie waren die jungen Menschen besonders solidarisch. Es war deswegen nur angemessen, dass wir sie 2022 zu unserer Priorität gemacht haben.
Ich glaube aber, wir hätten es noch besser machen können, indem wir stärker in die Basis hinein, nach unten hin kommuniziert hätten. Viele junge Menschen wussten überhaupt nicht, dass wir ein Europäisches Jahr der Jugend hatten. Das ist dringend verbesserungsbedürftig. Wir hätten sie von Anfang an noch stärker mit einbinden müssen, und zwar auch an der Basis und nicht nur in der Brussels bubble.
Wir haben in den Austauschen mit den jungen Menschen viel gelernt in diesem Jahr: was sie bewegt, was ihre Wünsche an die Politik sind. Jetzt kommt es aber vor allem darauf an, was wir daraus machen. Das Jahr darf kein Strohfeuer sein, das am 31. Dezember verlischt. Es muss ein langfristiges Vermächtnis haben, denn wir brauchen echte politische Beteiligung junger Menschen, und wir sind ihnen auch greifbare Outputs schuldig.
Wir haben uns letztes Jahr hier versprochen, dass das Europäische Jahr der Jugend nicht nur ein nice to have sein soll, und jetzt ist unsere Chance zu beweisen, dass wir es ernst meinen. Lassen Sie uns den Input der jungen Menschen aufnehmen und Strukturen für eine bessere Beteiligung schaffen!
Themen wie Partizipation junger Menschen und bessere Teilhabe – zum Beispiel ein Youth Test, ein struktureller Dialog mit jungen Menschen –, Themen wie nachhaltige Klima- und Umweltpolitik, das Thema mentale Gesundheit, das Thema Jobs und Skills – und da ein Dankeschön an die Kommission, dass das nächste Jahr das Europäische Jahr der Skills wird; auch das greift schon einen Aspekt, den die jungen Menschen nach vorne gebracht haben, auf – und das Thema Digitalisierung: Das waren die Big Five, die wir auch in Zukunft verfolgen müssen; das waren die Themen, die sowohl beim EYE-Event, aber auch bei vielen, vielen anderen Jugendveranstaltungen hier immer wieder in den Fokus gerückt wurden.
Lassen Sie uns auch in den nächsten Jahren gemeinsam mit der jungen Generation daran arbeiten und nicht über die Köpfe der jungen Menschen hinweg – das wäre in meinen Augen der wichtigste Output aus diesem Jahr, dass wir mit den jungen Menschen gemeinsam agieren.
"
Sabine VERHEYEN,2022-10-20,DE,Cultural solidarity with Ukraine and a joint emergency response mechanism for cultural recovery in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-20-INT-4-009-0000_DE.html,"  Sabine Verheyen,  Verfasserin. – Sehr geehrte Frau Präsidentin, sehr geehrte Frau Kommissarin! Der Krieg in der Ukraine zeigt, dass das Undenkbare möglich ist und Unvorhersehbarkeit die neue Normalität ist. Neben der militärischen Aggression führt Russland auch Krieg an der kulturellen Front. Dies äußert sich in der Zerstörung und dem Versuch der Herauslösung des ukrainischen Kulturerbes aus seiner Geschichte, Kultur und Tradition. Vor diesem Hintergrund hat der CULT-Ausschuss einen Entschließungsantrag zur Solidarität und Notfallhilfe für Kultur und kulturelles Erbe als Antwort auf den Angriff Russlands und die Zerstörung des kulturellen Erbes in der Ukraine angenommen, um neue Mechanismen der Zusammenarbeit für den Wiederaufbau der Kultur und für künftige Notfälle zu entwickeln.
Diese Entschließung benennt ganz deutlich die Fakten, dass der Krieg Russlands gegen die Ukraine ein Versuch ist, die Identität und Kultur einer souveränen Nation auszulöschen, auch durch strategische und gezielte Zerstörungsakte an Kulturstätten. Wir sind der Meinung, dass die EU-Institutionen, die nationalen Regierungen, private Partner und die Zivilgesellschaft systematisch und effektiv zusammenarbeiten müssen, um die Komplexität und das Ausmaß dieser menschengemachten Katastrophe zu bewältigen.
Dafür sollen strategische Multi-Stakeholder-Partnerschaften in der gesamten EU mobilisiert werden. Die Kommission soll einen geeigneten rechtlichen und steuerlichen Rahmen für solch grenzüberschreitende Maßnahmen vorschlagen. Besonders gefährdet durch den russischen Einmarsch sind Künstler und Kulturschaffende, Journalisten und Wissenschaftler. Die Freiheit der Kunst, die Qualität der Nachrichten, die Unabhängigkeit der Medien und der Zugang zu Informationen, die akademische Freiheit und die Freiheit der Meinungsäußerung werden durch Russland bedroht, beschnitten und negiert.
Wir müssen gemeinsam handeln, um ukrainische Kulturakteure, Universitäten und die Zivilgesellschaft beim Schutz ihrer kulturellen Werte und ihrer Infrastruktur zu unterstützen und mit der Ukraine einen Fahrplan für den Wiederaufbau zu entwickeln. Schließlich fordern wir die Kommission und die Mitgliedstaaten auf, die Kultur in alle wichtigen politischen Prioritäten der EU mit einzubeziehen, zum Beispiel in die Klimaschutzpolitik, die digitale Transformation, den wirtschaftlichen Wiederaufbau und die internationalen Beziehungen.
Deshalb unsere Fragen an die Kommission: Welche Maßnahmen wird die Kommission ergreifen, um Russlands Propaganda- und Desinformationskampagnen entgegenzuwirken? Zum Zweiten: Plant die Kommission über die bereits angekündigten politischen Maßnahmen hinaus die Mobilisierung weiterer Ressourcen und die Ergreifung zusätzlicher Maßnahmen zur Unterstützung der Kultur- und Kreativbranche und der Kulturschaffenden in der Ukraine? Plant sie, den Wiederaufbau des kulturellen und architektonischen Erbes der Ukraine adäquat zu unterstützen?
Drittens: Wird die Kommission die Kultur in alle Politikbereiche einbeziehen, um einen widerstandsfähigen europäischen Kulturraum zu schaffen? Wird sie die Möglichkeit prüfen, einen EU-Notfall- und -Wiederaufbaumechanismus einzurichten, der speziell aber auch auf Kultur, kulturelles Erbe und kreative Ökosysteme ausgerichtet ist und auf einem Multi-Stakeholder-Ansatz basiert? Denn wir müssen die Ukraine beim Erhalt und der Wiederherstellung ihrer kulturellen Integrität unterstützen und ihr helfen. Auch das ist Aufgabe einer werteorientierten Europäischen Union.
"
Sabine VERHEYEN,2022-07-04,DE,Digital Services Act - Digital Markets Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-04-INT-1-126-0000_DE.html,"  Sabine Verheyen,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Kultur und Bildung. – Herr Präsident! Der DMA und der DSA sind die richtigen Schritte zur richtigen Zeit, da die Onlinewelt und große Plattformen zunehmend eine entscheidende Rolle in unserem Leben und in unserer Wirtschaft spielen.
Wir haben hier sicher einen Meilenstein in der Regulierung von Onlineinhalten auf Unionsebene gesetzt, aber aus Sicht des Kulturausschusses muss ich neben all dem Lob zur Verabschiedung des DSA auf einige verpasste Gelegenheiten hinweisen. Zum einen wurde der Grundsatz „Know your Business Customer“ leider nicht auf alle Onlinevermittler ausgeweitet. Zum anderen ist nicht sichergestellt, dass illegale Angebote von Live- und zeitsensiblen Inhalten sofort entfernt werden, und hier muss die Europäische Kommission schnell den nächsten Schritt zum Schutz europäischer Inhalte machen, der sich mit dem Problem der Piraterie gerade auch von Live-Inhalten befasst. 
Nur ein Gesetzesvorschlag, der diesem Problem wirklich auch gerecht wird und Lösungsansätze bringt, gewährleistet, dass man wirklich auch in diesem Sektor für die Liveübertragungen sagen kann, was offline illegal ist, sollte auch online illegal sein. Des Weiteren ist die Verpflichtung für Vermittler, die Freiheit und den Pluralismus der Medien in ihren Nutzungsbedingungen zu respektieren, ein Kernanliegen und muss durchgesetzt werden. Die Grenzen der Medienfreiheit werden durch Gesetze und nicht durch die Nutzungsbedingungen privater Unternehmen festgelegt.
"
