MP,Date,Language,Title,Url,Content
Sabrina PIGNEDOLI,2023-11-22,IT,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-020-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signor Presidente, onorevoli colleghi, Gaza è l'inferno in terra: mancano acqua, cibo e medicinali. I neonati muoiono in terapia intensiva per mancanza di elettricità. Le scuole vengono bombardate, così come le ambulanze e gli ospedali. In un mese e mezzo sono stati uccisi oltre 5 000 bambini, 200 fra medici e infermieri, più di 60 operatori dell'informazione e oltre 100 dipendenti dell'ONU. È una carneficina. 
Cos'altro deve succedere per farci dire basta? Come abbiamo condannato i crimini di Hamas, oggi dobbiamo condannare i crimini di Netanyahu e del suo esercito. L'Europa sostenga l'ONU e il Segretario generale Guterres nel tentativo di fermare questo massacro. 
Ringrazio l'Alto rappresentante Josep Borrell per quello che sta facendo, ma l'Unione europea è la grande assente, con pesanti responsabilità per ciò che sta accadendo a causa della sua inerzia. Esercitiamo una vera azione diplomatica: riconosciamo lo Stato palestinese e fermiamo le relazioni economiche con chi uccide deliberatamente civili. Tollerare l'annientamento di un popolo è complicità nella violazione dei diritti umani.
"
Sabrina PIGNEDOLI,2023-10-04,IT,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-159-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signora Presidente, onorevoli colleghi, tra gli obiettivi del Parlamento europeo c'è quello di porre fine al vergognoso fenomeno dei senza dimora entro il 2030, una piaga che colpisce quasi 900 000 cittadini europei.
Ma permettersi una casa è diventata un'impresa per diverse categorie. Penso agli studenti fuori sede. In queste ore in Italia ci sono molte manifestazioni di protesta. La possibilità di affittare una casa è strettamente legata al diritto allo studio, non possiamo togliere loro il futuro. Ma non ci sono solo gli studenti. Sempre più persone, single e famiglie, già colpite dal rincaro dei prezzi, faticano a pagare un affitto per case decenti.
Abbiamo avanzato delle proposte alla Commissione, ma concretamente si è fatto poco. Gli stanziamenti previsti dal Recovery Fund non riescono a soddisfare i bisogni. Dobbiamo fare di più. All'Europa manca un piano di edilizia sociale, un programma di investimenti che affronti il problema in maniera efficace. Solo in Italia ci sono 100 000 case popolari vuote. Ristrutturiamole dove necessario e assegnamole a chi ne ha bisogno.
"
Sabrina PIGNEDOLI,2023-10-03,IT,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-095-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signora Presidente, onorevoli colleghi, la sicurezza nazionale non può essere motivo sufficiente per sorvegliare, spiare e mettere a tacere i giornalisti. Nelle democrazie degli Stati che compongono l'Europa la sovranità appartiene al popolo, che ha il diritto di conoscere la verità, anche rispetto a strutture statali che rispondono a logiche e interessi differenti dal bene comune.
Lasciare in questo regolamento l'eccezione della sicurezza nazionale è molto grave e rischia di vanificare gli importanti passi avanti fatti su pluralismo, trasparenza e indipendenza dei media. Importante è anche l'obiettivo di proteggere la pluralità del giornalismo dalle concentrazioni delle proprietà e dalle grosse piattaforme online.
Condivisibile la volontà di evitare la disinformazione, ma qual è la sua definizione? Non c'è forse il rischio di permettere solamente la circolazione del pensiero mainstream, limitando con questa scusa le voci critiche? Ricordiamo che avere opinioni differenti non è disinformazione, è un diritto fondamentale.
"
Sabrina PIGNEDOLI,2023-09-11,IT,Geographical indication protection for craft and industrial products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-185-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signor Presidente, onorevoli colleghi, abbiamo visto i risultati positivi ottenuti dalle denominazioni di origine per quanto riguarda i prodotti agroalimentari.
Dopo anni stiamo finalmente per approvare questo regolamento sull'indicazione geografica protetta per tutti i prodotti artigianali e industriali. Questi marchi dovranno servire da volano per lo sviluppo dei territori, anche quelli più periferici, molti dei quali rischiano di essere emarginati nel commercio globale, pur essendo ricchi di tradizione, cultura e storia.
Cuore pulsante di questi prodotti unici sono tanti artigiani e tante piccole e medie imprese che si ritrovano a dover competere sul mercato globalizzato. Lavorando con associazioni di categoria e facendo sistema con i colleghi, è stato possibile realizzare un testo che risponda all'appello dei produttori, da un lato, per tutelarli da imitazioni e concorrenza sleale e, dall'altro, per supportarli e promuovere le nostre eccellenze.
Nell'economia mondiale l'Europa deve agire in modo unitario per difendere prodotti unici e di alta qualità, su cui dobbiamo puntare sempre di più per il nostro futuro.
"
Sabrina PIGNEDOLI,2023-07-11,IT,Relations with the Palestinian Authority (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-390-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signora Presidente, onorevoli colleghi, voglio ricordare che questo Parlamento ha votato innumerevoli risoluzioni sulla questione palestinese. A cosa sono servite? A nulla.
Gli attacchi dell'esercito israeliano sono aumentati e continuano a mietere vittime civili, anche bambini e giornalisti, e si abbattono le scuole costruite con i soldi dei contribuenti europei.
Lo Stato di Israele può permettersi di non rispettare gli accordi internazionali, restando non solo impunito ma potendo contare sull'appoggio delle istituzioni europee. Vogliamo ricordare, per esempio, gli accordi commerciali preferenziali, l'ammissione di Israele ai programmi finanziati dai cittadini europei e, da ultimo, il vergognoso invito del Presidente di Israele alla plenaria del Parlamento per commemorare la Giornata della memoria?
Nei territori palestinesi si vive uno stato di apartheid, di pulizia etnica da parte del regime colonialista israeliano.
È ora che l'Europa si muova in maniera concreta, cosa aspettiamo ad approvare sanzioni contro uno Stato sorretto da un governo fascista che non rispetta i diritti umani?
"
Sabrina PIGNEDOLI,2023-07-10,IT,Protection of journalists and human rights defenders from manifestly unfounded or abusive court proceedings (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-114-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signor Presidente, onorevoli colleghi, ora ci stiamo occupando di accuse strumentali per azzittire la stampa, più tardi si parlerà della tutela internazionale dei giornalisti, due relazioni importantissime e necessarie.
Troppo spesso, tuttavia, nelle istituzioni europee ci riempiamo la bocca con libertà di stampa e Stato di diritto, senza passare dalle parole ai fatti.
Un esempio emblematico di cause giudiziarie mosse per azzittire o punire chi racconta la verità è quella di Julian Assange, in carcere da quattro anni senza una sentenza di condanna solo perché ha rivelato verità scomode, crimini di guerra, detenzioni illegali e torture. Ma dai vertici delle istituzioni europee non è arrivato nessun supporto, nessuna reale mobilitazione per la sua liberazione.
La libertà di stampa non può essere una bandierina da sventolare in televisione per autopromozione o solo quando è utile per la propria carriera.
Difendere il diritto dei cittadini a sapere la verità è un dovere delle istituzioni europee, soprattutto quando bisogna contrastare poteri forti. Dimostrate di averne il coraggio.
"
Sabrina PIGNEDOLI,2023-06-14,IT,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-042-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signor Presidente, onorevoli colleghi, dopo le minacce sull'uso delle armi nucleari, dopo decine di migliaia di morti e feriti, dopo le stragi e i saccheggi subiti dalla popolazione ucraina, ieri il Wall Street Journal ha rivelato che gli Stati Uniti, come già la Gran Bretagna, sono pronti a fornire all'Ucraina armi all'uranio impoverito e Putin ha risposto che allora le useranno anche loro. 
Nel 2008 quest'Aula ha approvato una risoluzione che chiedeva il divieto globale dell'uso di queste armi pericolosissime per la salute e l'ambiente. Mi chiedo cosa sia cambiato da allora. Mi chiedo perché tutte quelle forze politiche che fino a pochi anni fa facevano battaglie condivisibili, oggi le rinnegano, anzi alimentano una guerra dannosa per tutta l'Europa. 
Presidente, non è mai troppo tardi per cambiare la direzione di questo conflitto. Non arrendiamoci a chi getta benzina sull'odio fra i popoli, magari perché è al servizio di qualche lobby di armi. L'Unione europea ha la pace nel suo DNA. Il prossimo Consiglio europeo lanci dunque un messaggio di pace e di speranza e imponga il dialogo ai due contendenti. 
"
Sabrina PIGNEDOLI,2023-06-13,IT,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-164-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signora Presidente, onorevoli colleghi, l'intelligenza artificiale è come un fiume. Possiamo metterci una diga per bloccarlo, ma prima o poi strariperà. Quello che dobbiamo fare è cercare di dirigerne il corso. La risposta europea è l'Artificial Intelligence Act, che segna un punto di arrivo importante, ma anche l'inizio di una sfida, perché servirà un'attenzione particolare per garantire la buona applicazione delle norme con tecnologie in continua evoluzione e tutelando la competitività delle aziende europee. 
Ricordiamo sempre che l'intelligenza artificiale non è neutra, è un prodotto umano e nella gestione di questi sistemi non dovrà mai mancare il controllo dell'essere umano. Monitoraggio e correzione degli errori devono essere costanti, ma la norma non è sufficiente alla rivoluzione che sta arrivando. La buona politica deve prevedere anche risvolti sociali e culturali, per esempio uno stravolgimento del mondo del lavoro. E allora sarà il caso di cominciare a pensare a un reddito universale. C'è poi l'enorme questione della tutela dei dati raccolti e utilizzati. Bisognerà intervenire in cybersecurity per non costruire un castello di carte. 
"
Sabrina PIGNEDOLI,2023-03-15,IT,Combating organised crime in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-316-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signor Presidente, onorevoli colleghi, se vogliamo veramente combattere la criminalità organizzata, dobbiamo tenere presente che per queste organizzazioni è vitale avere appoggi e coperture nel mondo economico, finanziario, politico e istituzionale. 
Possiamo tagliare i rami visibili incarcerando i boss e la manovalanza: doveroso e giusto. Ma la vera sfida è estirpare le radici di queste organizzazioni: colpire imprenditori compiacenti, funzionari o politici corrotti, scoprire come vengono reinvestiti i capitali illeciti nelle società quotate in borsa e nelle banche, sequestrare i beni che sono frutto di riciclaggio. 
Inoltre, i Paesi europei preferiscono far finta di non vedere certe organizzazioni criminali, come quelle che si occupano del traffico dei rifiuti verso i Paesi più poveri, un traffico strettamente legato a quello delle armi, spesso coperto dalla cooperazione internazionale o da associazioni che fingono scopi umanitari. Un'ultima parola sulle mafie: serve un contrasto specifico perché le mafie si sono radicate in tutti gli Stati membri, nessuno escluso. 
"
Sabrina PIGNEDOLI,2023-01-18,IT,Protecting the Rule of Law against impunity in Spain (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-153-0000_IT.html,"  Sabrina Pignedoli (NI).   – Signora Presidente, onorevoli colleghi, la situazione che si è venuta a creare in Spagna è un chiaro esempio di come il rispetto dello Stato di diritto, anche in paesi democratici, non possa mai essere dato per scontato, ma sia necessario un monitoraggio e un lavoro costante per mantenerlo.
Il potere giudiziario deve avere il solo ruolo di amministrare la giustizia, indipendentemente dal colore del governo; dall'altra parte, le riforme dell'esecutivo non devono avere come obiettivo il controllo politico degli organi giudiziari. 
Il punto chiave che credo sia importante far emergere in questo dibattito è la fragilità di uno dei pilastri dello Stato di diritto, rappresentata appunto dall'interessenza tra potere giudiziario ed esecutivo. 
Abbiamo assistito in diversi Stati dell'Unione europea a governi che hanno condizionato e sottomesso la magistratura, per questo sono stati fortemente stigmatizzati in quest'Aula, ma, dall'altro lato, non dobbiamo accettare nemmeno la politicizzazione della magistratura, deriva altrettanto deleteria ma non altrettanto stigmatizzata e purtroppo ampiamente diffusa in altri Stati membri, compresa l'Italia.
"
