MP,Date,Language,Title,Url,Content
Salima YENBOU,2023-12-13,FR,The abduction of Tibetan children and forced assimilation practices through Chinese boarding schools in Tibet,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-446-0000_FR.html,"  Salima Yenbou,  auteur. – Madame la Présidente, Dharamsala est une jolie ville de montagne où je me suis rendue, au pied de l’Himalaya. Elle regorge de monastères et de temples bouddhistes et de musées sur l’histoire tibétaine. On y trouve un institut d’art où l’on travaille le bois, les textiles et les métaux à la main, et un grand village scolaire où les enseignants tracent des lettres tibétaines sur l’ardoise. Ce que l’on entend à Dharamsala, c’est le son des carillons bouddhistes, le roulement des moulins à prières et les enfants qui vous saluent («Tashi delek!»).
Dharamsala brille de la culture tibétaine. Mais Dharamsala est en Inde, où le gouvernement tibétain en exil s’est installé, parce que, au Tibet, annexé par la Chine, les enfants ne peuvent plus parler le tibétain. Ils sont de facto enlevés à leur famille et forcés d’oublier leur culture au profit de la culture han, dominante en Chine. Il s’agit bel et bien d’un exemple d’assimilation forcée et d’effacement de l’identité d’un peuple entier.
Ouïgours, Tibétains… personne n’est à l’abri des politiques de sinisation du parti de Xi Jinping. La culture est l’essence d’un peuple. La condamnation doit être ferme, ainsi que les réponses. Les États-Unis ont agi avec des restrictions de visas. À quand l’action de l’Union européenne?
"
Salima YENBOU,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-471-0000_FR.html,"  Salima Yenbou,  au nom du groupe Renew. – Monsieur le Président, en premier lieu, je tiens à adresser toutes mes pensées à la mémoire de Dominique Bernard, à ses proches et à l’ensemble des élèves et du personnel du lycée Gambetta-Carnot d’Arras, mais également à tous les enseignants, à tous les membres du personnel éducatif, aux deux victimes de l’attentat de Bruxelles, à leurs proches, et aux peuples belge et suédois – sans oublier Samuel Paty.
En tant que responsable politique, humaniste et démocrate, je condamne l’attaque terroriste du 13 octobre dernier à Arras. Enseignante de profession, je suis particulièrement affectée par la barbarie du terrorisme islamiste, qui touche des collègues, en voulant mettre à mal nos valeurs et nos idéaux.
Après la condamnation, nous devons penser à l’avenir, à la lutte contre le fondamentalisme et à la prévention de cet obscurantisme. L’école doit être au cœur de cette réponse. Nous – communauté éducative, enseignants, parents, élèves, associations, élus, agents publics, entreprises – devons nous rassembler autour d’une responsabilité commune et partagée, afin que l’école puisse redevenir ce socle qui nous permet, ensemble, de faire société.
Véritable sanctuaire de la transmission des savoirs et de la construction d’une citoyenneté active et apaisée pour chaque enfant de la République, notre école a été victime hier, mais elle sera la solution demain. C’est un devoir qui nous incombe à toutes et à tous. Ne cédons pas à la terreur et poursuivons notre idéal de fraternité: l’union face à la division, la paix face à la haine, l’universalisme comme seule boussole.
Car, n’en déplaise à certains – cette extrême droite haineuse, qui souffle sur les braises –, nous ne vaincrons le terrorisme ni par la haine ni par la division.
"
Salima YENBOU,2023-10-17,FR,"Urgent need for a coordinated European response and legislative framework on intrusive spyware, based on the PEGA inquiry committee recommendations (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-374-0000_FR.html,"  Salima Yenbou (Renew).   – Monsieur le Président, en juin dernier, nous étions déjà ici pour montrer les résultats de l’enquête de notre commission PEGA et demander d’urgence des réformes pour mieux contrôler les logiciels espions. Pourquoi cette urgence? Eh bien voilà, après Pegasus, on a Predator, qui a au moins le mérite d’être beaucoup plus clair dans sa dénomination. 
Il existe encore bien trop de failles, et l’industrie de la cybersurveillance sait les exploiter en contournant la réglementation existante; elle trouvera toujours des clients parmi les pays pour qui les droits de l’homme ne sont clairement pas la priorité. De Pegasus à Predator, les députés – dont mon collègue Pierre Karleskind –, les opposants politiques, les journalistes et les ONG continuent d’être pris pour cible. Nos droits fondamentaux sont bafoués et nous restons passifs, donc impuissants. 
En manquant de réactivité et d’efficacité pour construire un cadre législatif et réglementaire solide, nous avons présenté à la face du monde notre inefficacité. Cela doit nous servir de leçon. Il est temps d’agir; c’est notre devoir et c’est de notre compétence. J’espère que je n’aurai pas à répéter la même chose, une fois encore, dans quatre mois, car, je vous l’avoue, j’ai vraiment horreur de jeter du sel dans la mer. 
"
Salima YENBOU,2023-10-16,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-051-0000_FR.html,"  Salima Yenbou,  au nom du groupe Renew. – Madame la Présidente, c’est, en premier lieu, avec beaucoup d’émotion que je tiens à transmettre toutes nos pensées à Dominique Bernard, à ses proches et à l’ensemble des élèves et du personnel du lycée Gambetta d’Arras, mais aussi de tous les établissements scolaires.
L’enseignante que j’ai été et la députée que je suis condamnent avec toute la force possible cet acte terroriste islamiste. Il faut appeler – je suis d’accord – le mal par son nom, dans le titre de cette résolution également. Mais, parce que nous sommes tous des responsables politiques – enfin je le crois –, nous devons aussi penser à l’avenir et à prévenir de tels actes, en luttant contre le fondamentalisme et en éduquant nos jeunes à la tolérance.
Notre but ultime doit être la cohésion sociale. C’est pour cela que Renew propose le titre suivant: «Déclaration du Conseil et de la Commission sur les attaques terroristes islamistes dans les écoles françaises et la nécessité de protéger les enseignants, les élèves et le personnel des écoles, d’éduquer contre le fondamentalisme et de promouvoir la cohésion sociale et la tolérance». Car, n’en déplaise à l’extrême droite – qui, sans grande surprise, souffle sur les braises – nous ne vaincrons le terrorisme ni par la haine ni par la division.
"
Salima YENBOU,2023-09-14,FR,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-074-0000_FR.html,"  Salima Yenbou (Renew).   – Madame la Présidente, «se acabó», c’est fini. Il est en effet temps que l’on en finisse avec l’impunité. Il aura fallu quand même trois semaines à Luis Rubiales pour accepter de démissionner. Trois semaines de mobilisation de l’équipe féminine de football espagnole et de condamnations de toutes parts. Mais trois semaines n’ont pas été suffisantes pour lui faire admettre que son geste était inacceptable et qu’il constituait une agression sexuelle. Et c’est ça le problème: que certains, trop d’ailleurs, n’ont pas encore compris de quoi on parle. Mais on parle d’agression, on parle de violence. Eh oui, même pour un baiser volé. Aucun humour, aucun pouvoir ni aucune émotion ne saurait justifier les avances et les actes non consentis.
J’en appelle alors à toutes les gouvernances. Il ne faut plus attendre que les auteurs d’agressions, de discriminations ou de violences décident de démissionner. C’est à vous de prendre la décision de les sanctionner. Ne détournez pas le regard, soyez courageux et prenez les décisions qui s’imposent pour enfin protéger la liberté et les droits des femmes. La honte doit changer de camp.
"
Salima YENBOU,2023-06-14,FR,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-175-0000_FR.html,"  Salima Yenbou (Renew).   – Monsieur le Président, il y a un message clé que je veux faire passer aujourd’hui: sécurité, oui, mais pas à n’importe quel prix. Les logiciels d’espionnage sont nécessaires, notamment dans la lutte contre le terrorisme et la grande criminalité, mais il faut aussi lutter contre leur dévoiement par certains États, qui se cachent derrière l’excuse de la sécurité nationale pour espionner illicitement les opposants politiques, les journalistes et les militants des droits de l’homme.
Cette enquête en commission PEGA nous a montré que nous avions besoin de deux choses: d’une part, une meilleure connaissance et un meilleur développement de ces technologies au niveau européen, pour pouvoir les maîtriser et mieux protéger nos citoyens, notamment dans le cadre d’une détérioration grave de l’état de droit dans le monde et de menaces extérieures; d’autre part, un cadre juridique et des systèmes judiciaires solides, pour maintenir le respect des droits fondamentaux au cœur de la sécurité, et non en opposition à celle-ci.
Ces recommandations ne doivent pas être la fin d’un travail de commission spéciale, mais le début d’un travail en vue d’atteindre ce double objectif, dans l’intérêt de notre projet européen. 
"
Salima YENBOU,2023-06-13,FR,Situation in Lebanon (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-298-0000_FR.html,"  Salima Yenbou (Renew).   – Monsieur le Président, la grande Fayrouz chantait: «Zaalouni shou sayer bi balad il Eid » – «Ils m’ont demandé ce qui se passe dans le pays des fêtes». J’y suis allée, Fayrouz, il y a un mois, avec des collègues de mon groupe, Renew, et voici ce qu’il s’y passe: un pays sans président ni activité parlementaire ou politique depuis huit mois, un pays où l’élite politique a consacré plus d’efforts à révoquer le juge Bitar qu’à rendre justice aux victimes de l’explosion du port de Beyrouth et à leurs familles, un pays où les habitants n’ont plus accès aux biens de base – nourriture, eau, électricité, soins de santé, éducation: rien –, un pays où le mot «justice» ne signifie plus rien.
Deux ans après notre résolution, même débat, même situation et même responsabilité d’une classe politique qui, aujourd’hui, se cache derrière les migrants et les réfugiés pour poursuivre dans sa corruption, son désintérêt des Libanais et son administration honteuse, maintenant assaillie par la crise que la Banque mondiale qualifie de «dépression délibérée». 
Mettons en œuvre le système de sanctions ciblées. Dénonçons – nom, prénom – ces responsables politiques, hommes d’affaires et banquiers corrompus responsables de cet État. 
"
Salima YENBOU,2023-04-20,FR,EU Action Plan against Trafficking in Cultural Goods (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-162-0000_FR.html,"  Salima Yenbou,  au nom du groupe Renew. – Monsieur le Président, enfin nous posons ce débat au sein de notre hémicycle. Je ne peux que m’en réjouir – je crois que ça se voit –, moi qui n’ai de cesse, depuis le début de mon mandat, de lutter contre le trafic des biens culturels et des biens spoliés. Merci de votre présence, Monsieur le Commissaire, mais, avec tout le respect que je vous porte, j’aurais aimé voir également M. Schinas, Mme Johansson et Mme Gabriel.
Le trafic des biens culturels n’est pas un phénomène nouveau, et nous l’avons largement sous-estimé, depuis bien trop longtemps. Souvent parce qu’on estime, à tort, qu’il s’agit d’un crime sans victime, sans effusion de sang, sans armes fumantes – «finalement, pas d’urgence…» Et pourtant, regardez par exemple comment l’État islamique a institutionnalisé ce trafic, comment cette organisation terroriste en a fait une véritable ressource financière. En cette période où les guerres et les tensions se multiplient dans le monde, les sanctions trop modérées et la vulnérabilité des sites se trouvant en zone de conflit sont autant de faiblesses, propices à l’explosion de ce trafic, en tous points illégal. 
Quand nous parlons de ce trafic, nous parlons également de la perte incommensurable du patrimoine culturel, égaré, disparu, sinon détruit. Ce patrimoine culturel est à la base de l’identité des peuples. Priver les peuples de leur identité, tout ou partie, est un drame pour plusieurs générations. C’est pourquoi je me félicite de ce nouveau plan d’action, qui renforce notre capacité à prévenir ces crimes, à détecter les criminels et à les poursuivre, et qui met également l’accent sur la coopération internationale. Nous devons coopérer étroitement avec les autorités publiques et les parties prenantes concernées pour préserver les biens culturels de l’ensemble des pays. 
Enfin, n’oublions pas non plus de restituer les biens culturels spoliés pour contribuer à la cicatrisation des blessures passées et permettre à chaque peuple de se raconter.
"
Salima YENBOU,2023-04-19,FR,"The crackdown on the right to education and education rights activists in Afghanistan, including the case of Matiullah Wesa",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-376-0000_FR.html,"  Salima Yenbou,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, chers collègues, vingt-quatre jours. Vingt-quatre jours que Matiullah Wesa a été arrêté arbitrairement par les talibans. Quel crime odieux a-t-il pu commettre? Il a traversé l’Afghanistan rural avec un mégaphone sur sa bibliothèque mobile, plaidant pour le droit à l’éducation des femmes et des filles afghanes. 
L’Afghanistan est le seul pays au monde interdisant aux filles et aux femmes d’aller à l’école au-delà de la primaire, ce qui les rend invisibles dans l’espace public. Matiullah Wesa leur apportait l’école, le savoir, l’ouverture au monde et l’esprit critique.
 Nous connaissons les méthodes des talibans. En jetant en prison Matiullah Wesa, les défenseurs des droits de l’homme et les journalistes, c’est l’avenir de toutes les filles afghanes et de tous les garçons afghans qui est jeté aux oubliettes, avec les voix dissonantes. 
Il est de notre devoir d’assurer la libération des filles et des femmes afghanes et ce faisant de délivrer leur droit inaliénable à l’éducation et à la liberté. En écho à leurs sœurs iraniennes, les Afghanes scandent elles aussi «Femme! Vie! Liberté!» en dari: «Zan! Zendegi! Azadi!».
"
Salima YENBOU,2023-03-15,FR,The EU Guidelines on Human Rights Defenders (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-394-0000_FR.html,"  Salima Yenbou (Renew).   – Madame la Présidente, merci à vous, défenseurs des droits humains qui œuvrez partout dans le monde pour défendre les droits fondamentaux de tous et qui êtes absolument indispensables pour l’avenir commun.
En première ligne, vous, les défenseurs des droits humains, faites face à la répression, aux agressions et aux actes d’intimidation, au harcèlement, au chantage ou encore à la surveillance numérique. Le contexte international de ces derniers mois témoigne de la répression de plus en plus violente.
L’UE s’est activée pour consolider la coopération et apporter un soutien plus fort et une plus grande protection aux défenseurs des droits humains. Mais le constat est le suivant: notre engagement peut et doit encore être renforcé à tous les niveaux, tant à l’échelle européenne qu’au niveau des États membres, notamment en poursuivant l’aide financière et en défendant la crédibilité des ONG et des défenseurs des droits humains face à tous ceux qui essaient de les déstabiliser.
Nous devons donc impérativement placer véritablement, une fois pour toutes, les droits humains au cœur de nos relations avec les pays tiers, à travers les accords d’association, de commerce ou de coopération. Les valeurs que l’UE défend et protège, et non les intérêts politiques, doivent être les véritables principes directeurs de nos relations internationales. 
"
