MP,Date,Language,Title,Url,Content
Salvatore DE MEO,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-215-0000_IT.html,"  Salvatore De Meo, relatore per parere della commissione per l’agricoltura. – Signora Presidente, signor Commissario, onorevoli colleghi, il voto di domani sul regolamento imballaggi rischia di mettere in discussione la credibilità dell'Unione europea. 
Tutti vogliamo un'Europa più sostenibile, dove ci siano meno imballaggi, ma non possiamo dimenticare che questa stessa Europa per anni ha chiesto e sostenuto la ricerca e l'innovazione per il riciclo, ha sensibilizzato, stressato e formato i cittadini alla differenziata e oggi, all'improvviso, cambia la direzione, proponendoci un sistema di riutilizzo, senza considerare gli straordinari risultati raggiunti nel riciclo, che invece può e deve rimanere una strada parallela da proseguire per avere una sostenibilità credibile da un punto di vista ambientale, sociale ed economico. 
Gli imballaggi non sono solo un problema ma in tanti casi anche una garanzia: pensiamo al mondo dell'alimentare, dove ci permettono di consumare cibi freschi, sani e soprattutto sicuri, contribuendo a ridurre gli sprechi. Se il testo passasse così, senza le modifiche, intere filiere produttive verrebbero distrutte, con conseguenze drammatiche per produttori e consumatori. Faccio appello a tutti perché prevalga il buon senso, per mostrare un'Europa in cui le scelte politiche e le strategie ambientali siano coerenti, credibili e soprattutto pragmatiche nell'interesse dei cittadini. 
"
Salvatore DE MEO,2023-11-21,IT,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-288-0000_IT.html,"  Salvatore De Meo (PPE).   – Signor Presidente, onorevoli colleghi, con la proposta di revisione dei trattati europei, oggi stiamo iniziando a scrivere una nuova pagina importante della storia dell'Europa e della nostra Istituzione. I cittadini ce l'hanno chiesto a gran voce: il Parlamento ha ascoltato e ha risposto, perché serve un'Unione europea diversa, più pragmatica; un'Unione europea che abbia gli strumenti per reagire alle crisi con determinazione; un'Unione che sia forza di unione e non di divisione, un luogo dove ciascun membro possa prosperare dal punto di vista sociale, economico e culturale e non essere schiacciato o isolato da rigide regole economiche ormai datate. 
Per raggiungere questo obiettivo è necessario un profondo cambiamento, un cambiamento culturale, un cambiamento che parte proprio da qui, così come hanno dimostrato i nostri relatori, che ringrazio. L'integrazione europea è un percorso a tappe che ormai è fermo da troppo tempo, da quel Trattato di Lisbona del 2007 che necessita oggi di essere rilanciato con forza e convinzione. 
La nostra proposta di revisione offre tanti spunti per una discussione sul futuro della nostra Europa, a partire dalla necessità di rafforzare la nostra democrazia attraverso il riconoscimento, per esempio, dell'iniziativa legislativa del Parlamento o del ruolo di colegislatore sul bilancio. Ma dobbiamo guardare anche al ruolo dell'Unione sulla scena internazionale e accrescere la nostra credibilità come attore mondiale, tramite ad esempio una Comunità europea della Difesa. 
Questa relazione è solo l'inizio di un percorso lungo e complesso che ci auguriamo gli Stati membri abbiano il coraggio di intraprendere, mettendo da parte pregiudizi e nazionalismi, che non vanno confusi con le identità nazionali, che invece trovano proprio nell'Unione europea il loro riconoscimento e il loro punto di forza.
"
Salvatore DE MEO,2023-10-18,IT,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-059-0000_IT.html,"  Salvatore De Meo (PPE).   – Signor Presidente, onorevoli colleghi, le immagini di distruzione, sofferenza e morte causate dalla preoccupante escalation di violenza in Medio Oriente impongono una riflessione.
La pace non si costruisce né con il terrore né con la violenza. Il gravissimo atto di aggressione di Hamas ha riacceso decenni di conflitti, dispute territoriali e complessità politiche, creando un ciclo di violenze con conseguenze devastanti.
La pace in Medio Oriente richiede un approccio articolato e impegnativo, che coinvolga la diplomazia internazionale e la nostra Europa, per trovare un punto d'incontro e incoraggiare il dialogo costruttivo quale unica via percorribile per una pace giusta e duratura, nell'interesse di tutte le parti coinvolte e della comunità globale tutta.
Riaffermiamo oggi qui con forza il nostro impegno per una soluzione di due popoli in due Stati, che rispettino i diritti, la sicurezza e la dignità degli uni e degli altri. Dobbiamo lavorare instancabilmente verso un futuro in cui il dialogo, la comprensione e il rispetto sostituiscano il conflitto e la violenza. Perché, sappiate, la strada della violenza è una non—soluzione che non ha vincitori, ma solo perdenti e tante vittime innocenti.
"
Salvatore DE MEO,2023-10-17,IT,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-146-0000_IT.html,"  Salvatore De Meo,  relatore per parere della commissione per gli affari costituzionali. – Signor Presidente, onorevoli colleghi, il 2024 sarà l'anno delle elezioni europee e per questo motivo il nostro budget deve rispecchiare le sfide che dobbiamo affrontare.
Tra queste, c'è sicuramente la necessità di comunicare di più e meglio con i cittadini per sensibilizzarli relativamente alle attività dell'Unione europea, contrastando la disinformazione e abbattendo quella barriera che ancora oggi esiste tra cittadini e istituzioni. L'Unione europea è spesso percepita come una realtà astratta e lontana, nonostante in questa sede prendiamo decisioni che impattano ogni giorno sulla vita dei nostri cittadini.
C'è bisogno di avere risorse destinate ad aumentare la consapevolezza dei cittadini sull'importanza di avere un'Europa forte e coesa quale unica soluzione per affrontare un presente complesso e un futuro ambizioso. E servono risorse per dare attuazione alla Conferenza sul futuro dell'Europa, dove i cittadini ci hanno chiesto espressamente un'Europa diversa e più concreta, un'Europa che non abbia paura di mettersi in discussione e avviare anche il delicato processo riformatore dei nostri trattati.
"
Salvatore DE MEO,2023-10-04,IT,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-122-0000_IT.html,"  Salvatore De Meo (PPE).   – Signor Presidente, onorevoli colleghi, vorrei ricordare le ventuno persone che hanno perso tragicamente la vita nell'incidente avvenuto ieri sera nella città di Mestre, vicino a Venezia. Una tragedia umana, una tragedia europea che coinvolge cittadini ucraini, tedeschi, francesi, austriaci, spagnoli e croati, oltre all'autista di nazionalità italiana. Una tragedia davanti alla quale non possiamo fare altro che stringerci intorno alle famiglie delle vittime e dei feriti, tra cui diversi bambini. 
Un ringraziamento particolare e sincero permettetemi di farlo ai tanti soccorritori intervenuti tempestivamente su uno scenario definito da loro stessi apocalittico.
Mi unisco alle parole già espresse dalla Presidente Metsola, che ringrazio, ed esprimo con sincero cordoglio le condoglianze di questo Parlamento a tutte le famiglie coinvolte, chiedendo a tutti i colleghi di unirsi in questo momento di cordoglio.
"
Salvatore DE MEO,2023-10-04,IT,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-289-0000_IT.html,"  Salvatore De Meo (PPE).   – Signora Presidente, onorevoli colleghi, è evidente anche dalla discussione come sia necessario ridurre l'uso dei pesticidi, ma questo obiettivo è raggiungibile soltanto se immaginiamo un programma graduale e sensibilizziamo gli agricoltori a un uso responsabile e moderato.
La proposta della Commissione di rinnovare l'autorizzazione per l'uso del glifosato si è motivata con delle evidenze scientifiche che non possiamo non accettare, ma sarebbe stato, a mio avviso, più opportuno vietare e non solo limitare l'uso del glifosato in tutte le fasi di pre raccolta e non lasciare discrezionalità ai singoli Stati.
Non dimentichiamoci le difficoltà in cui versano gli agricoltori a seguito dell'inizio della guerra, così come le famiglie per l'inflazione, ed è nostra responsabilità non peggiorare questa situazione con pratiche che porterebbero a un'eventuale riduzione della produzione, con un ulteriore aumento dei prezzi.
Per questo io credo che sia necessario accompagnare questa proposta con il principio di reciprocità e assicurarsi che non vengano importati in Europa prodotti da paesi terzi che fanno invece uso spropositato e improprio del glifosato anche nella fase di pre raccolta. Questo metterebbe in rischio la salute dei nostri consumatori e provocherebbe anche un danno di concorrenza.
A nessun agricoltore fa piacere utilizzare pesticidi chimici, ma, se imponiamo una riduzione di questi pesticidi, abbiamo anche il dovere di promuovere di più la ricerca per trovare soluzioni alternative e, soprattutto, semplificare e ridurre i tempi di autorizzazione, perché i nostri agricoltori vanno sostenuti e non abbandonati.
"
Salvatore DE MEO,2023-10-03,IT,The 10-year commemoration since the tragedy in Lampedusa(statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-137-0000_IT.html,"  Salvatore De Meo,  a nome del gruppo PPE. – Signora Presidente, onorevoli colleghi, oggi è il giorno del ricordo, ma anche della riflessione. La tragedia umana di Lampedusa e gli oltre 28 000 migranti morti e dispersi nel Mediterraneo negli ultimi dieci anni rappresentano la sconfitta dell'Europa, e nessuno di noi lo può negare.
Nel frattempo abbiamo usato e abusato della parola ""solidarietà"", ma si tratta di una solidarietà millantata e mai applicata. E lo conferma il fatto che al momento opportuno ci si tira indietro e alcuni Stati vengono lasciati soli ad affrontare una crisi che non è più emergenziale ma strutturale, e per la quale l'Europa e le stesse Nazioni Unite devono fare di più, sviluppando una strategia in Africa per creare condizioni di vita migliori.
Abbiamo il dovere di favorire meccanismi di migrazione regolare, come quello dei corridoi umanitari, ma soprattutto e prioritariamente dobbiamo combattere senza indugi i trafficanti di esseri umani che vendono il rischio della vita mascherandolo da sogno europeo.
Non commettiamo oggi l'errore di sminuire l'importanza di questa giornata con forme di polemica e di strumentalizzazione, perché oggi non è l'occasione per puntarci il dito contro, oggi è il giorno del ricordo, è il giorno del dolore. E proprio questo dolore deve essere il punto di partenza che ci dia la forza per trovare soluzioni vere e condivise.
"
Salvatore DE MEO,2023-10-02,IT,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-111-0000_IT.html,"  Salvatore De Meo (PPE).   – Signor Presidente, onorevoli colleghi, ogni anno tra le 70 000 e le 90 000 persone muoiono nell'Unione europea per precedente esposizione all'amianto: un vero bollettino di guerra.
Due anni fa quest'Aula ha votato una risoluzione in cui 675 membri hanno confermato la necessità di rafforzare l'azione europea in materia di protezione dei lavoratori dall'esposizione all'amianto. Tuttavia, la proposta della Commissione europea che abbiamo visto non ha confermato l'ambizione da noi richiesta.
Tralasciando il fatto che questo tema conferma la necessità che il Parlamento europeo, eletto direttamente dai cittadini, svolga un ruolo maggiore nel proporre e promuovere politiche europee, soprattutto per il benessere dei nostri cittadini, entrando nel merito dobbiamo ricordare che la principale fonte di esposizione all'amianto è rappresentata dagli edifici vecchi che, come è stato detto, divengono ovviamente oggetto di un processo di ristrutturazione generale per garantire la loro efficienza energetica o il loro miglioramento sismico.
Per questo è fondamentale che quest'Aula voti a favore dell'attuale relazione per confermare la necessità di abbassare i limiti di esposizione professionale rispetto a una proposta della Commissione che è dieci volte più alta rispetto alla nostra richiesta.
Ovviamente, per raggiungere gli obiettivi richiesti è necessario avere un approccio globale, a partire dalla mappatura dell'amianto negli edifici, una mappatura che deve avvenire in sicurezza e con l'ausilio delle nuove tecnologie, dalle ricerche di metodi alternativi allo smaltimento in discarica, ma anche dalla semplificazione delle pratiche e dal sostegno economico per la rilevazione e l'eventuale smaltimento.
C'è bisogno, infatti, di una strategia complessiva che coinvolga aziende, professionisti e cittadini e preveda in maniera straordinaria un piano finanziario a favore dei proprietari di edifici per lo screening e la rimozione in sicurezza dell'amianto. 
"
Salvatore DE MEO,2023-09-14,IT,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-026-0000_IT.html,"  Salvatore De Meo (PPE).   – Signor Presidente, onorevoli colleghi, parlamentarismo, cittadinanza e democrazia: tre elementi interconnessi e vitali per l'Unione europea e per tutti i suoi Stati membri. 
Le decisioni che prendiamo ogni giorno nelle istituzioni hanno un impatto diretto sulla vita dei cittadini. Per questo è necessario chiarire e rivendicare il nostro ruolo e il ruolo di tutti i parlamenti nazionali aprendo una riflessione sul funzionamento della democrazia in Europa e nelle sue istituzioni. 
Dobbiamo incoraggiare la conoscenza dell'Unione europea e il senso di appartenenza ad essa, accrescendo il valore della cittadinanza europea, in modo che i cittadini conoscano chiaramente i loro diritti e doveri, promuovendo al contempo l'educazione civica europea. Questo non solo rafforzerà il senso di appartenenza all'Unione, ma anche la loro partecipazione alla vita democratica, anche in previsione delle prossime elezioni. 
Alla luce della proposta di revisione dei trattati della commissione AFCO, chiedo al Consiglio e alla Commissione di aprire un dibattito serio sul futuro dell'Unione europea, in modo da dar seguito alla proposta dei cittadini e del Parlamento. Il futuro dell'Unione dipende dalla nostra capacità di promuovere questi tre valori e solo rendendo l'Europa più efficiente, riusciremo a garantire vera fiducia nelle istituzioni e, soprattutto, a far sentire i cittadini parte attiva di questo progetto, che è l'unica strada per affrontare le sfide presenti e future. 
"
Salvatore DE MEO,2023-09-12,IT,Composition of the European Parliament (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-010-0000_IT.html,"  Salvatore De Meo,  a nome del gruppo PPE. – Signor Presidente, onorevoli colleghi, accogliamo con favore la decisione di un dibattito sulla composizione del Parlamento prima del voto di domani, perché rappresenta un'occasione per ribadire l'importanza del nostro ruolo. Ci rammarichiamo, però, che il Consiglio non abbia accolto la proposta del Parlamento, che prevedeva un aumento minimo di seggi per gli Stati con un aumento significativo della popolazione.
Prendiamo atto della diversa decisione del Consiglio ma vorrei sottolineare come quest'ultimo non solo non ha inteso riconoscere un numero maggiore di seggi ma ha ignorato completamente ogni altra indicazione della nostra risoluzione, includendo, a nostro avviso, una disposizione sul budget priva di ogni fondamento legale.
Ciononostante, il Parlamento, con grande senso di responsabilità e nella tempistica indicata dal Consiglio, si esprimerà su tale decisione per consentire agli Stati interessati dalla modifica di poter adeguare le rispettive legislazioni nazionali. Ma sarebbe stata opportuna una maggiore interazione con il Parlamento, per dare riscontro alle diverse esigenze e prospettive espresse dalla nostra risoluzione. 
Per questo mi auguro che in futuro il Consiglio possa manifestare una maggiore attenzione alla volontà del Parlamento, garantendo concretamente lo spirito di sincera e mutua cooperazione che deve caratterizzare le relazioni tra le nostre due istituzioni.
"
