MP,Date,Language,Title,Url,Content
Sandro GOZI,2023-12-11,FR,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-062-0000_FR.html,"  Sandro Gozi,  au nom du groupe Renew. – Monsieur le Président, chers collègues, les élections de 2024 seront les plus importantes depuis la chute du mur de Berlin, car l’histoire s’accélère, et de ce fait nous devons accélérer la transformation européenne. Nous devons réformer l’Union pour unifier le continent. C’est la raison pour laquelle nous avons demandé ici de modifier les traités, tant pour réfléchir à la question du financement et de l’organisation d’une Union élargie à 36 États qu’aux réponses que cette Union doit aujourd’hui apporter aux demandes appelant à plus de sécurité, de santé, d’investissement et d’éducation. Nous devons laisser les citoyens choisir lors des élections de 2024 et y donner suite dans la nouvelle mandature.
Cette nouvelle Europe-puissance doit aussi être une démocratie plus européenne. Nous avons, pour la première fois dans ce Parlement, adopté une nouvelle loi électorale, avec des listes transnationales pour européaniser le débat électoral. Un grand débat sur l’Europe au lieu des 27 grands sondages sur l’état de santé des majorités et des oppositions nationales. Mais le Conseil traîne. Nous devons insister jusqu’à la dernière minute du dernier jour possible pour changer la loi électorale à temps pour 2024 et, dans tous les cas, en faire un enjeu de la nouvelle mandature 2024-2029.
Il est clair que sans listes il ne peut y avoir de têtes de listes. Cela a toujours été la position de notre groupe et le restera en 2024: les centaines de millions de nos électeurs ne connaîtront pas les différents candidats à la présidence de la Commission sans listes transnationales. Pour les postes européens les plus importants, nous pourrons indiquer les personnalités que nous préférons. Mais, tant que nous n’aurons pas de liste paneuropéenne, tout cela manquera de la légitimité et de la force démocratique nécessaires.
C’est pourquoi nous devons poursuivre notre combat: une Union élargie, réformée, puissante, une démocratie véritablement européenne et des élections plus transparentes, sans rien lâcher.
"
Sandro GOZI,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-281-0000_FR.html,"  Sandro Gozi,  au nom du groupe Renew. – Monsieur le Président, l’Union européenne ne pèse pas dans les affaires du monde. Sans réformes, elle risque d’être durablement exclue de la table des négociations. Sauf qu’en politique internationale, si on n’est pas assis à la table, on se retrouve dans le menu. Alors c’est soit l’hypocrisie, la naïveté ou la mauvaise foi. L’Union a déjà du mal à fonctionner à 27. Sans réforme, elle serait complètement paralysée avec 35 États – et il y a plus d’urgence encore à dire cela en temps de guerre, en Europe et au Moyen-Orient. Pas de totem donc, et pas de tabou.
La révision des traités est incontournable pour une véritable politique étrangère, pour une défense commune, pour une démocratie européenne plus forte et efficace, pour une meilleure protection de l’état de droit, pour une nouvelle politique des investissements, pour ne citer que quelques priorités. Mettons aussi fin à l’idée selon laquelle l’opinion publique ne serait pas intéressée par ces questions. Les citoyens ne sont pas dupes.
Intégrer l’Ukraine et les Balkans dans l’Union européenne? Oui, bien sûr, pour notre paix et pour notre stabilité. Mais je l’ai dit à la Commission: qui va payer pour cela? Que va-t-il se passer avec les fonds européens pour ma ferme et pour ma région? Et comment allons-nous financer les nouveaux défis communs de la sécurité, du climat et de l’innovation à 35? Dans l’Union élargie, il n’y a plus de place pour le chantage et le veto.
C’est la raison pour laquelle nous appelons le Conseil à décider dès maintenant de lancer une révision des traités en 2025. Nous pourrons ainsi en débattre pendant les élections européennes et y travailler pendant le nouveau cycle politique avec une convention. Réformer l’Union pour unifier le continent, voici l’essence de notre engagement.
"
Sandro GOZI,2023-11-20,FR,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-179-0000_FR.html,"  Sandro Gozi (Renew).   – Madame la Présidente, pour réussir la transition écologique, il est essentiel de transformer notre marché unique. Chaque consommateur doit pouvoir choisir de faire réparer ses objets pour que nous puissions parler d’un marché réellement durable. Le droit de réparer est essentiel. Cela fait dix ans qu’on en parle et aujourd’hui, c’est fait. En tout cas ici, au Parlement.
Le gaspillage coûte cher et produit beaucoup de déchets, c’est pourquoi nous devons encourager la réparation. Choisir la réparation, c’est être mieux informé et avoir de meilleures garanties. La réparation crée aussi des marchés locaux de pièces détachées compétitifs et proches de chez nous.
La direction est claire: il nous faut maintenant négocier avec force avec le Conseil pour maintenir le niveau de cette ambition. Notre objectif, c’est l’Europe des solutions concrètes et de l’économie circulaire. 
Avec cette proposition, nous mettons en place des solutions efficaces pour les consommateurs et pour une production durable. Et nous poursuivons aussi d’une certaine manière, notre bataille contre l’obsolescence programmée.
"
Sandro GOZI,2023-11-08,FR,EU enlargement policy 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-159-0000_FR.html,"  Sandro Gozi (Renew).   – Madame la Présidente, l’unification continentale devra être un processus nouveau, graduel, flexible, réversible et fondé sur les mérites. Elle requiert un engagement politique fort de l’Union et des candidats, l’adhésion aux principes fondateurs de l’Union, le plein respect de l’État de droit et l’élimination du veto dans l’Union européenne. Pour réussir, nous devons donc, chers collègues, avoir le courage de regarder la réalité en face. Une révision des traités ambitieuse et novatrice est incontournable pour mettre l’Union élargie en état de marche.
La décision de transformer notre Union en l’élargissant nous contraint à entreprendre une triple révolution. Le politique doit prévaloir sur l’économique, l’intégration progressive des pays candidats dans le marché intérieur est essentielle, et l’Union doit devenir une puissance géopolitique. Il est l’heure d’assumer nos responsabilités sans épuiser la patience et la détermination de nos partenaires orientaux tout en réformant nos institutions. En conséquence, je le répète, réformons l’Union pour unifier le continent.
"
Sandro GOZI,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-219-0000_FR.html,"  Sandro Gozi (Renew).   – Madame la Présidente, dans la pièce Six personnages en quête d’auteur, de Luigi Pirandello, chaque personnage expose sa vérité, ce qui rend l’histoire impossible à mettre en scène. Cela vous rappelle quelque chose? Oui, cela ressemble fortement aux différents présidents, présidentes, commissaires et représentants de l’Union dès lors qu’une crise géopolitique advient. Pourquoi cela arrive-t-il? En raison de la recherche, parfois frénétique, de visibilité ou de la possibilité de se faire prendre en photo? Sans aucun doute. En raison de l’absence d’une stratégie commune et de moyens communs? C’est certain. En raison des faiblesses institutionnelles? Encore plus.
Dans la pièce de Pirandello, il revient au spectateur de combler les lacunes et les flous du texte. Mais nous, chers collègues, nous savons comment modifier la pièce: nous devons changer de méthodes, nous devons éliminer les vetos, nous devons réformer les institutions pour avoir un seul représentant de l’Union européenne au lieu de trois, ou quatre. Arrêtons cette cacophonie politique et institutionnelle, trop peu efficace.
Nous devons donc réformer notre Union, en révisant aussi les traités, pour unifier notre continent. Réforme de l’Union et unification continentale doivent aller de pair. Nous devons réformer pour faire face aux menaces géopolitiques et pour peser dans les affaires du monde. 
Pour nous, c’est clair: nous voulons une Europe-puissance. C’est une nécessité et c’est une urgence.
"
Sandro GOZI,2023-10-04,IT,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-427-0000_IT.html,"  Sandro Gozi (Renew).   – Signor Presidente, onorevoli colleghi, le persone LGBTQI+ in Italia sono diventate un facile capro espiatorio dei nazionalisti al potere. La situazione dei bambini nati da coppie omosessuali è preoccupante e ciò è ancora più evidente per i bambini di coppie di donne. Tutto è fatto per rendere la vita più difficile a queste famiglie. L'incertezza giuridica e gli ostacoli aumentano e le famiglie omogenitoriali vengono trattate come ""anomalie da sanare"" – cito – e non come realtà da rispettare.
Se sei omosessuale e migrante ti va ancora peggio, perché l'estrema destra in Italia vorrebbe revocare la protezione dei migranti omosessuali o transgender, modificando la legge sull'espulsione e mettendoli a rischio di persecuzioni nei loro paesi di origine.
Ma il vero problema, colleghi, politico ed europeo, è che si trattano alcuni cittadini come delle categorie speciali. L'estrema destra in Europa sta cercando di rendere invisibili i cittadini e le famiglie arcobaleno. La nostra battaglia è di rendere visibili ed eguali tutti i cittadini e di proteggere i loro diritti, che sono anche i nostri diritti, i diritti universali.
"
Sandro GOZI,2023-09-13,FR,Amending the proposed mechanism to resolve legal and administrative obstacles in a cross-border context (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-292-0000_FR.html,"  Sandro Gozi,  rapporteur. – Monsieur le Président, chère Commissaire, chers collègues, BRIDGEU est une initiative qui est le fruit d’une collaboration étroite avec le président de notre commission REGI, Younous Omarjee, et tous les groupes politiques, qui met en exergue une problématique des plus préoccupantes: la violation persistante des droits et des opportunités des 150 millions de citoyens qui vivent dans des régions frontalières à l’intérieur de l’Union.
Les régions frontalières, qui englobent 40 % du territoire de l’Union européenne et abritent près de 30 % de sa population, sont le théâtre de défis législatifs et bureaucratiques souvent insurmontables et inacceptables. Les citoyens européens vivant dans ces zones frontalières sont constamment confrontés à des obstacles, petits et grands, qui entravent leur quotidien et leur qualité de vie. Par exemple, des parents se voient obligés de parcourir de longues distances pour amener leurs enfants à la crèche ou à l’école, simplement parce que l’établissement le plus proche de chez eux se trouve de l’autre côté de la frontière, où de nombreux obstacles empêchent l’inscription des élèves.
Prenons un instant pour nous pencher sur le cas de l’hôpital espagnol de Cerdagne, situé à la frontière entre la France et l’Espagne. Ce centre hospitalier, géré par un groupement européen de coopération territoriale, se voit dans l’incapacité, souvent, d’embaucher des professionnels de santé français en raison des formalités administratives, mettant ainsi en danger la santé et le bien-être des patients qui dépendent de ces services. Des exemples comme celui-ci, je pourrais en citer des dizaines, voire des centaines, et ils ne sont que la partie visible de l’iceberg.
Ignorer ces problèmes a un coût insupportable, selon plusieurs analyses de la Commission européenne, du Parlement européen et du Comité des régions. Chaque année, nous subissons une perte économique colossale de 457 milliards d’euros, et nous assistons à la disparition des près de 4 millions d’emplois, outre l’atteinte à des droits tels que l’éducation, la santé ou la libre circulation. Face à cette injustice grandissante, BRIDGEU émerge tel un rempart, une lueur d’espoir pour nos concitoyens. BRIDGEU signifie «Border Regions’ Instruments for Development and Growth in the EU». Bridge: un pont, un pont pour surmonter les murs bureaucratiques invisibles et absurdes.
Nous avons consacré un effort considérable pour prendre en compte les préoccupations et les perspectives du Conseil. BRIDGEU n’est pas une nouvelle obligation, mais une opportunité innovante et prometteuse. Nous reconnaissons pleinement que certaines entités, comme le Conseil nordique ou le Benelux, sont pleinement satisfaits de leur coopération régionale existante, et nous respectons leur choix. Notre objectif est de fournir de nouvelles opportunités à tous les autres acteurs qui aspirent à une meilleure coopération transfrontalière. Tout cela dans le respect absolu des constitutions des États membres, bien évidemment, et notamment en ce qui concerne les relations entre État et régions.
Nous proposons aux États membres d’élaborer des solutions concrètes, sur mesure, conçues au cas par cas. En tant que rapporteur, j’ai tout fait pour amener les États membres à la table des négociations, et je veux saluer aussi tous les efforts que la Commission européenne a fait dans ce sens. Mais cela n’a pas été possible. C’est la raison pour laquelle nous faisons usage de nos prérogatives, de notre droit d’initiative indirecte inscrit à l’article 225 de notre traité.
Ce matin, Ursula von der Leyen a prononcé un excellent discours sur l’état de l’Union, qui m’a rappelé un autre de ses discours, tenu devant cet hémicycle avant d’être élue présidente, dans lequel elle avait promis que tout rapport d’initiative législative adopté par le Parlement serait suivi d’une nouvelle proposition de la Commission. Je suis confiant que la Commission, et notamment la Commissaire Ferreira ici présente, que je remercie beaucoup, saura respecter cet engagement. Nous devons entamer le plus tôt possible des négociations sur un nouveau texte, comme nos citoyens et nos territoires le demandent depuis des années.
"
Sandro GOZI,2023-09-13,FR,Amending the proposed mechanism to resolve legal and administrative obstacles in a cross-border context (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-306-0000_FR.html,"  Sandro Gozi,  rapporteur. – Monsieur le Président, permettez-moi de remercier encore une fois tous les collègues qui ont pris la parole et la Commissaire Ferreira. Je crois que ce débat confirme l’unité de tous les groupes politiques sur cette question et aussi l’excellente coopération entre le Parlement et la Commission européenne.
On ne saurait trop insister sur le fait que cette proposition BRIDGEU n’a pas vocation à remplacer un quelconque traité ou accord en vigueur entre les États membres. Au contraire, la force de cette proposition est qu’elle vise à compléter, à rendre plus efficaces les accords existants. Et c’est un instrument qui est strictement volontaire, donc il ne touche en rien à la souveraineté des États membres.
Nous devons pleinement exploiter le potentiel de cette coopération régionale transfrontalière. BRIDGEU est plus qu’un simple outil politique, c’est une nécessité impérieuse. Je suis tout à fait d’accord avec votre intention – qui, je l’espère, deviendra un acte concret – de présenter une proposition révisée, parce que la proposition révisée, comme vous le disiez, Madame la Commissaire, cela nous fait gagner du temps et ça nous permettrait de reprendre les négociations avec le Conseil le plus tôt possible. Et je veux croire encore que, pendant cette mandature, nous pourrons offrir ce nouvel instrument à nos citoyens. Ne laissons pas passer cette opportunité historique qui se dresse devant nous. Je vous remercie tous pour votre soutien et votre attention.
"
Sandro GOZI,2023-09-12,FR,Composition of the European Parliament (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-008-0000_FR.html,"  Sandro Gozi,  rapporteur. – Monsieur le Président, je tiens tout d’abord à remercier mon corapporteur, Loránt Vincze, et mes collègues rapporteurs fictifs, pour le travail des neuf derniers mois. Le texte sur lequel nous allons voter reflète largement les priorités que nous nous étions fixées au début des travaux. Grâce à l’augmentation de quinze sièges, nous allons assurer une représentation plus juste et plus équitable des citoyens, qui va refléter également les changements démographiques dans les États membres, une modification nécessaire pour respecter les traités. C’est pourquoi le groupe Renew Europe se félicite de l’attribution de sièges supplémentaires à la France, à la Belgique et à la Pologne, pour laquelle nous nous battons depuis le début de ces négociations, même ici au Parlement européen.
Nous ne pouvons cependant pas ignorer que l’identification de la meilleure solution requiert une démarche objective et définitive, et la commission des affaires constitutionnelles travaille déjà sur une formule permettant de s’assurer que la répartition des sièges soit définie par un critère mathématique, objectif et impartial. 
En tant que Parlement européen, nous avions toutefois fixé une priorité politique claire: que 28 sièges soient réservés aux candidats élus à travers des listes transnationales afin que notre proposition de réforme des lois électorales européennes puisse être mise en œuvre rapidement, dès son adoption au Conseil et son entrée en vigueur. L’élimination de ce paragraphe – et je m’adresse notamment à la présidence en exercice du Conseil – est une erreur sur le plan politique et n’a pas de sens du point de vue juridique. Je dirais même que cela a l’air d’une provocation inutile et myope de la part du Conseil. Plus grave encore sur le plan juridique: l’ajout d’un considérant qui, malgré les quatre sièges supplémentaires ajoutés aux onze proposés par le Parlement, charge les autorités budgétaires de maintenir le budget du Parlement inchangé, ignorant ainsi les prérogatives du Parlement sur le budget annuel.
En outre, la pression excessive exercée sur la présidence du Parlement européen par la présidence du Conseil, et les hésitations et revirements de certains groupes politiques – que je regrette, comme je l’ai dit hier en commission – ont accéléré la procédure et ont empêché un débat politique sur la manière de garantir des progrès réels, y compris sur les autres dossiers liés à la composition du Parlement. Le Président du Conseil européen, très mal conseillé, a indiqué une date à laquelle le Parlement européen devrait s’exprimer, à savoir demain. La Présidente du Parlement européen, très mal avisée, a décidé d’y donner suite.
Pour cette raison, je voudrais demander à la présidence espagnole comment elle compte donner suite à notre proposition de réforme de la loi électorale européenne adoptée il y a plus d’un an et dont le Conseil a finalement commencé à débattre, je tiens à le souligner, sous la présidence suédoise. Ce qui a aussi amené la France à présenter une proposition de loi électorale révisée, sur laquelle nous sommes prêts à discuter. Ce qui rend encore plus important le fait que la présidence du Parlement européen, dans sa lettre au Conseil, réaffirme les objectifs et les prérogatives du Parlement européen dans ce dossier.
La coopération est à double sens, mais pour le Conseil, elle est souvent à sens unique. Il ignore trop souvent les demandes du Parlement européen, et plus encore les attentes exprimées par les citoyens lors de la Conférence sur l’avenir de l’Europe. Attention, chers représentants de la présidence du Conseil en exercice, car si on roule toujours à sens unique, tôt ou tard, on va avoir un gros accident. Néanmoins, nous nous engageons, en tant que groupe Renew Europe, à approuver la proposition, pour les raisons données au début de mon intervention. Elle va tout à fait dans le bon sens, du point de vue de la composition du Parlement européen, comme du point de vue de l’évolution de la démographie et du plein respect plein des traités. Mais nous allons continuer à nous battre pour obtenir une nouvelle loi électorale, plus juste, plus efficace, plus moderne et surtout plus européenne.
"
Sandro GOZI,2023-09-12,FR,Composition of the European Parliament (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-018-0000_FR.html,"  Sandro Gozi,  rapporteur. – Monsieur le Président, je voudrais aussi souligner à nouveau que du point de vue de la composition du Parlement européen, la décision du Conseil reflète pleinement la position que j’ai défendue depuis février en tant que corapporteur, de même que celle de mon groupe. Pour ce qui concerne la composition du Parlement, je crois qu’on avance. Je me suis battu pour augmenter le nombre de sièges de la Pologne, de la Belgique et de la France, parce que je pense que cela correspond à une application plus correcte du principe de proportionnalité dégressive. De ce point de vue, bravo au Conseil! 
Vous pouvez donc réussir, quand vous le voulez. Même à l’unanimité. Alors je vous encourage, cher Président en exercice du Conseil, à faire les mêmes efforts et à obtenir les mêmes succès sur la loi électorale européenne. Car vous le voyez, c’est possible. Et vous voyez que quand il y a un dialogue – même musclé, parfois – entre le Parlement et le Conseil, même dans des procédures spéciales comme l’approbation, nous pouvons obtenir des résultats. C’est pour cela que je compte beaucoup sur votre présidence. Vous ne devez pas attendre d’avoir trouvé le plus petit dénominateur commun au Conseil sur la loi électorale avant d’entamer des discussions avec nous.
Commençons des discussions ensemble. Commençons des discussions entre institutions, même – je le répète – sur la base de la proposition du gouvernement français. Elle est beaucoup moins ambitieuse que la nôtre, mais c’est pour nous, nous l’avons écrit dans une lettre que nous vous avons adressée, une bonne base de négociation. Accélérons, intensifions les négociations, parce qu’il est encore possible d’obtenir un accord sur la loi électorale européenne.
Je crois que nous devons tout faire non seulement pour respecter la volonté de ce Parlement, mais aussi pour respecter la volonté des citoyens qui, dans la Conférence sur l’avenir de l’Europe, ont demandé explicitement cette avancée démocratique au niveau européen. Et nous avons le devoir de donner suite à cette demande.
"
