MP,Date,Language,Title,Url,Content
Sara MATTHIEU,2023-12-12,NL,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-024-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, collega’s, commissaris, de vraag naar kritieke grondstoffen voor onze windmolens, voor onze elektrische auto's explodeert. We hebben die grondstoffen natuurlijk broodnodig voor de omschakeling naar hernieuwbare energie.
Het is goed dat Europa wakker schiet. Maar laten we een nieuwe grondstoffenreis absoluut vermijden en slimmer te werk gaan.
Wat moeten we doen? We moeten inzetten op hergebruik van onze grondstoffen met bindende doelen voor recyclage. We moeten kiezen voor fietsen, voor openbaar vervoer en voor elektrische deelwagens.
Voor de eerste keer introduceren we in deze tekst ook echt expliciete maatregelen om de groeiende vraag naar grondstoffen te gaan beperken. Zo hebben we natuurlijk minder energie en minder grondstoffen nodig, en ik denk dat de winst daarvan echt enorm is. Want we verminderen onze afhankelijkheid van dubieuze regimes, we creëren meer lokale jobs in de circulaire industrie, onze spullen gaan langer mee en onze portemonnee profiteert daar ook van. Dat is goed voor onze planeet, dat is goed voor onze economie, dat is goed voor onszelf.
"
Sara MATTHIEU,2023-12-12,NL,Parliament’s call for the right to disconnect - three years on (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-215-0000_NL.html,"  Sara Matthieu,  namens de Verts/ALE-Fractie. – Voorzitter, collega's, wij Europeanen zijn harde werkers, maar na een lange werkdag heeft eigenlijk niemand zin om naast zijn baas in de zetel te ploffen. Nochtans is dat voor veel mensen vandaag wel de realiteit. Whatsapps en andere chats zorgen voor een niet-aflatende berichtenstroom tussen collega's en met bazen. Daarom vroeg het Parlement drie jaar geleden om een wet op het recht op deconnecteren voor werknemers.
Vandaag nemen vrouwen nog altijd het merendeel van de huishoudelijke taken op en ze mogen niet voor de keuze staan tussen aandacht geven aan hun baas of aandacht geven aan hun kind. Of kijk naar onze leerkrachten en onze leerlingen: die zitten tegenwoordig allemaal constant op Smartschool. Zo verdwijnen natuurlijk de afstanden en kennen ook onze leerkrachten geen rust meer.
Wie het nog niet doorhad: onze arbeidsmarkt verandert razendsnel. Digitalisering en telewerk verhogen het risico op een burn-out. En we kunnen die goede werkkrachten echt niet missen in een krappe arbeidsmarkt. Elke werkgever zal dat beamen. Duidelijke regels over wanneer we beschikbaar zijn verhogen ook de productiviteit en dat is natuurlijk voor werkgevers ook ontzettend belangrijk.
Digitalisering kan ons allemaal vooruithelpen, maar dan moet ze wel op maat van mensen zijn ontwikkeld en niet omgekeerd. Wettelijke preventie en bescherming zijn daarom broodnodig.
Het Europese sociale overleg is helaas vastgelopen en daarom kijken we nu naar de Commissie om zo snel mogelijk een initiatief te nemen. Kijk naar het sectorale akkoord van de openbare diensten waar die sociale dialoog wel succesvol was. Maar vooral: kom deze legislatuur nog met een wet op het recht op deconnecteren. Want voorkomen is beter — en ja, zelfs goedkoper — dan genezen.
"
Sara MATTHIEU,2023-11-21,NL,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-170-0000_NL.html,"  Sara Matthieu,  namens de Verts/ALE-Fractie. – Voorzitter, commissaris, als groenen strijden wij sinds jaar en dag voor duurzame handel met respect voor mens en voor milieu.
Het handelsakkoord met Nieuw-Zeeland is het meest duurzame dat Europa tot nog toe heeft uitonderhandeld. Er liggen eindelijk sancties op tafel waarmee we de schendingen van het klimaatakkoord en van fundamentele arbeidsrechten kunnen aanpakken. Voor het eerst worden de rechten van inheemse volkeren opgenomen in een handelsakkoord en er staat ook een nauwe samenwerking in rond duurzame landbouw en rond dierenwelzijn. Die staan centraal.
Dat zijn echt belangrijke stappen vooruit. Al hadden wij nog verder willen gaan. Bijvoorbeeld met een concreet stappenplan om fossiele subsidies af te bouwen. Maar daar is Europa helaas onder de ambities van Nieuw-Zeeland gedoken.
Dit akkoord tast geen ander voedselsysteem aan, in tegenstelling tot Mercosur, die het Amazonewoud vernietigt. We spreken ook over veel kleinere volumes. Het gaat om amper 10 % van de hoeveelheid vlees in de Mercosur-deal. De verwoesting van het Amazonewoud, het met de voeten treden van de rechten van inheemse volkeren, dat is niet het soort handel dat wij willen.
De deal met Nieuw—Zeeland zet een nieuwe minimumstandaard en die willen we terugzien in alle nieuwe en bestaande handelsakkoorden. Maar we horen nu al dat die standaard niet haalbaar is voor toekomstige deals. Dat is onzin en dat kunnen wij niet aanvaarden.
Wij denken dat handel een krachtige hefboom is voor het afdwingen van respect voor klimaat, voor arbeidsrechten en voor inheemse volkeren. En onder die lat duiken wij niet meer.
"
Sara MATTHIEU,2023-11-21,EN,Job creation  –  the just transition and impact investments (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-523-0000_EN.html,"  Sara Matthieu,  rapporteur. – Madam President, thanks Commissioner for being here tonight, colleagues, imagine a future where we Europeans can actually protect our planet while also creating new economic opportunities and improving the lives of working people. That is exactly what the report that I am presenting you today is about. By investing in green technologies, renewable energy and sustainable industries, we can really generate a wave of new employment opportunities. 
I call on this Parliament, the Commission and the Member States to turn the transition into an opportunity for working people to have quality jobs with fair pay and decent working conditions. 
As Members of the European Parliament, we have the power to shape politics and set the agenda for the next term, and that really means integrating sustainability into all aspects of our policymaking process. It means considering the environmental impact of every decision we make, and by putting the ecological transition at the core of our policy agenda, we can lead the way in building a sustainable and prosperous future for generations to come. 
EU legislation should encourage quality and sustainable job creation and favour investments with positive environmental and social impacts. Public money should be spent on the public good and that is why I call for a review of the directive on public procurement to ensure that those benefiting companies and subcontractors do support collective bargaining and respect workers’ rights, high-quality jobs, high-quality apprenticeships, decent and equal pay and training. 
The decarbonisation of the European economy will create new jobs in a renewable energy and circular economy. Meanwhile, existing jobs, like the ones in agriculture or construction, will undergo changes, such as working under extreme weather events. And we need to anticipate and reorganise this type of work and adjust the legal rules accordingly. 
To anticipate in all sectors, we need all companies to adopt just transition plans negotiated by social partners. The social partners in the German metal industry, for instance, already reached an agreement including working time redistribution with partial wage compensation or the Italian social partners, they collectively agreed to reskill the workforce as part of their decarbonisation strategy. 
I think it is very clear that there cannot be a just transition without worker representation via the trade unions. Workers really have a very good view on the on the skills that they have already acquired and on the ones that are missing. So access to training, to education, that is really key to prepare the workforce for tomorrow’s green economy, and that really benefits the companies too. 
I think we also need strong safety nets to bridge the temporary gaps for workers that are in between jobs. And I suggest setting up a tool similar to the SURE mechanism that we had during the pandemic, that would really support workers who lose their jobs in those transitional regions. 
The green transition also requires proper funding. The investment gap right now amounts to an estimated EUR 520 billion a year until 2030. STEP was not an answer to this challenge, colleagues. We need fresh EU money to mobilise large-scale investments in green technology and in strong public social services. 
Last but not least, I call on the Commission to ensure diligent and comprehensive social impact assessments for all proposed legislation assessing the socioeconomic impact and with consideration to jobs, skills, competencies, working conditions in all different countries, regions, sectors and companies. 
Colleagues, this report is, of course, the result of many fruitful discussions and exchanges with my colleagues in the EMPL Committee, and I would really like to thank them for their commitment. We have the chance to ensure that working people are at the forefront of this transition. Let’s make it happen. 
"
Sara MATTHIEU,2023-10-16,NL,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-133-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, collega’s, vorig jaar kondigde Von der Leyen de oprichting van een Europees soevereiniteitsfonds aan. Als reactie natuurlijk op de Amerikaanse wet voor inflatiebestrijding, die de vergroening van de Amerikaanse industrie subsidieert. Maar dit platform is weinig meer dan een lege doos. Met 10 miljard EUR aan nieuwe middelen is het echt ruim onvoldoende om onze industrie te gaan vergroenen. Het zet lidstaten ook tegen elkaar op, want Vlaanderen kan bijvoorbeeld de staatssteun van Duitsland of Frankrijk nooit gaan evenaren. 
Dit voorstel kannibaliseert ook bestaande fondsen die net voor meer sociale cohesie en een eerlijke transitie moeten gaan zorgen. Tot slot is er geen enkele sociale voorwaardelijkheid in opgenomen.
Gaat Europa echt onder de lat van Amerika wanneer het gaat over eerlijke werkomstandigheden en deftige lonen? Ik pleit voor een echt soevereiniteitsfonds met Europese solidariteit en met sterke sociale regels. Want alleen zo gaan onze economie en ons sociaal beleid er echt op vooruit.
"
Sara MATTHIEU,2023-10-04,NL,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-276-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, de Wereldgezondheidsorganisatie is kristalhelder over de gezondheidsgevaren van glyfosaat: de stof is mogelijk kankerverwekkend, veroorzaakt de ziekte van Parkinson, leidt tot verminderde vruchtbaarheid en is schadelijk voor bijen en voor ons waterleven.
Terwijl de producent in de VS miljarden moet betalen aan kankerpatiënten, wil de Commissie dit vergif nog tien jaar via voedsel op ons bord toelaten. Nog tien jaar. Dat is compleet absurd. Ook de burger weet dat heel goed: 1 miljoen Europeanen vragen een verbod omdat ze bezorgd zijn over hun gezondheid en over het milieu.
Voor particulieren hebben we glyfosaat terecht verboden om burgers zoals u en ik te beschermen. De ziekenfondsen die onze ziekteverzekering betalen, Kom op tegen Kanker, Unicef, de Parkinson Liga, de milieuverenigingen, allemaal willen ze glyfosaat van ons bord. Gaan we luisteren naar de burgers en onafhankelijke onderzoekers of naar de pesticidenlobby en Monsanto?
De Europese groenen zullen nooit een verlenging van glyfosaat aanvaarden. Want onze planeet beschermen, dat is onze gezondheid beschermen.
"
Sara MATTHIEU,2023-10-02,NL,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-070-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, beste commissaris, u maakt hier vandaag een statement over de toenemende armoede in Europa. Ik moet zeggen: dat is geen minuut te vroeg, want Commissievoorzitter Von der Leyen repte er in haar Staat van de Unie met geen woord over. En dat terwijl een op de vijf Europeanen vandaag in armoede leeft en de dakloosheid overal toeneemt.
Die dreigende armoede brengt heel veel angst en onzekerheid bij miljoenen mensen in heel Europa. De armoede aanpakken is nochtans dé grootste prioriteit voor onze burgers, dixit de Eurobarometer. Enkele jaren geleden kwam u zelf met de Europese pijler van sociale rechten, maar vandaag is die niet meer dan een vodje papier.
Dit Parlement heeft een leefloon gevraagd boven de armoedegrens in alle lidstaten. U geeft zelf aan dat sommige lidstaten erop achteruitgaan. Waar blijft uw bindend voorstel hierover? Want dat helpt mensen in armoede echt vooruit.
Commissaris, u sprak over de werkende armen. Wel, een eerlijke transitie die niemand achterlaat, betekent dat we alleen die bedrijven gaan steunen die echt werk maken van goede werkomstandigheden, deftige lonen en sociaal overleg.
Maak daar werk van. Dát is sociaal klimaatbeleid.
"
Sara MATTHIEU,2023-10-02,NL,Protection of workers from asbestos (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-105-0000_NL.html,"  Sara Matthieu,  namens de Verts/ALE-Fractie. – Voorzitter, collega’s, na bijna twintig jaar stilstand zullen werknemers eindelijk beter beschermd worden tegen asbest op het werk. En dat is terecht, want vandaag dragen helaas nog altijd heel veel mensen de gevolgen van het gebruik ervan. Jaarlijks sterven 80 000 werkers aan onbeschermde blootstelling die vaak meer dan tien jaar geleden heeft plaatsgevonden.
Als kind vertelde men mij dat asbest geen kwaad kon zolang je er geen gaten in boort. Dat is onzin natuurlijk. Vandaag weten we helaas beter, want door verwering, door de verwijdering van asbest komen wel degelijk vezels vrij en die vezels zijn levensgevaarlijk. In Vlaanderen en in heel Europa zitten onze gebouwen vol met asbest en met de renovatiegolf die volop bezig is, lopen onze loodgieters, onze bouwvakkers dus een enorm risico. We moeten onze werknemers beter gaan beschermen en dat kan met deze richtlijn.
De blootstellingslimiet gaat flink omlaag, zoals we geëist hebben als Parlement. De werknemers krijgen een betere opleiding, beter materiaal, betere preventie. Ik roep de lidstaten echt op om deze wet zo snel mogelijk in te voeren, want elke asbestdode is er een te veel. Er is geen tijd te verliezen. De renovatiegolf start nu.
En tot slot, Véronique, lieve collega, dank je wel voor je niet-aflatende steun, je inzet voor de gezondheid van de mensen. Ik wil deze stemming graag aan jou opdragen.
"
Sara MATTHIEU,2023-09-13,NL,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-234-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, collega’s, we stemmen morgen over een nieuwe verordening rond kritieke grondstoffen die we onder meer nodig hebben voor de omschakeling naar 100 % hernieuwbare energie. Dat is belangrijk, want de vraag naar die grondstoffen explodeert. Naast China willen nu ook de VS volop inzetten op en investeren in batterijen, zonnepanelen en windmolens. Het is goed dat Europa wakker schiet, maar laten we een nieuwe grondstoffenrace toch vermijden. Daarvoor moeten we die kritieke grondstoffen slimmer en beter inzetten. Bijvoorbeeld door meer in te zetten op hergebruik en door te kiezen voor fietsen, openbaar vervoer en elektrische deelwagens, in plaats van elke auto met een verbrandingsmotor te willen vervangen door een elektrische. Want zo, collega’s, hebben we simpelweg minder energie en minder grondstoffen nodig.
De winst daarvan is enorm, want we beschermen mens en planeet. We verminderen onze afhankelijkheid van dubieuze regimes zoals China. We krijgen aangenamere en leefbaardere steden. Er komen meer lokale jobs in de circulaire industrie en economie. Onze spullen gaan langer mee en de factuur gaat omlaag. Collega’s, dat is goed voor de planeet, goed voor de economie en goed voor onszelf.
"
Sara MATTHIEU,2023-07-11,NL,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-523-0000_NL.html,"  Sara Matthieu,  namens de Verts/ALE-Fractie. – Voorzitter, onze producten gaan veel te snel kapot en dat kost ons veel geld. En dat is ook slecht voor het milieu. Smartphones die na anderhalf jaar stuk zijn of een koffiemachine die net na de garantie het meteen begeeft. En als onze spullen kapotgaan, zijn ze ook nog eens moeilijk te herstellen. De onderdelen zitten vastgelijmd, er zijn geen wisselstukken beschikbaar of ze zijn te duur. Er zijn geen herstellers in de buurt, dus wat doen we dan? We kopen een nieuw toestel en het oude gaat naar het stort of wordt vernietigd in een verbrandingsoven.
Maar met deze nieuwe verordening ecologisch ontwerp ruilen we onze wegwerpeconomie om voor een echte circulaire economie. Dat wil zeggen dat onze kledij, onze meubels, onze elektrische apparaten langer meegaan, dat ze beter herstelbaar zijn, dat ze herbruikbaar zijn en recycleerbaar. En dat wil zeggen dat onze jeans een minimumaantal wasbeurten zal meegaan, makkelijker te recycleren zal zijn en uit meer gerecycleerde grondstoffen gaat bestaan, dat onze wasmachine of onze smartphone goedkoop te repareren zal zijn en gegarandeerd langer zal meegaan, dat we verplichte info krijgen over de levensduur van onze producten en hoe makkelijk we een toestel kunnen repareren, en dat we eindelijk zullen gaan verbieden dat de bedrijven vandaag de onverkochte goederen en de teruggestuurde pakjes die we bestellen via webshops zomaar kunnen gaan vernietigen.
Aan dit soort schandalige praktijken, collega’s, gaan we eindelijk een einde maken. En dat is goed voor onze portefeuille, dat is goed voor het klimaat en dat is goed voor het milieu.
"
Sara MATTHIEU,2023-05-31,NL,Corporate Sustainability Due Diligence (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-102-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, commissaris, de sweatshops draaien nog steeds op volle toeren. De slachtoffers daarvan zijn de onzichtbare handen die onze goedkope kleding maken. Het gaat over miljoenen werknemers in de “fast fashion”—industrie, vooral vrouwen, die vandaag in zeer onveilige werkomstandigheden werken en aan een hongerloon. Een sterkere zorgplichtwet moet daar echt een vuist tegen maken. Het is tijd voor een radicale verandering.
De cowboys, die moeten eruit. Deze wet zal ervoor zorgen dat de hele keten onder de loep komt te liggen. Gedaan dus met verwijzen naar onderaannemers, waardoor misbruik blijft bestaan. Maar collega’s, daar heb je recht op als consument: dat wat in de rekken hangt, op een verantwoorde manier is gemaakt. En ook voor de producenten die het wél goed doen, is dit heel belangrijk. Zij zijn vragende partij voor deze wet, want zo creëren we echt een eerlijk speelveld, een gelijk speelveld zonder concurrentie op de kap van de arbeiders.
"
Sara MATTHIEU,2023-05-10,NL,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-358-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, commissaris, minister, collega’s, de top in Porto twee jaar geleden beloofde de armoede in Europa aan te pakken. Helaas, niets is minder waar. De levensduurtecrisis heeft nog meer mensen in de armoede doen terechtkomen. Banken en luchtvaartmaatschappijen worden gered met miljarden euro’s aan staatssteun, maar geld vrijmaken om de armoede echt terug te dringen? Nee, die investeringen blijven helaas uit. 
De inflatie, de energiecrisis en de torenhoge levenskosten smeken om extra sociale maatregelen. Voor de groenen betekent dat fatsoenlijk en betaalbaar wonen voor iedereen. Dat betekent energie als een basisrecht: we zetten niemand in de kou. De leeflonen in Europa moeten boven de nationale armoedegrens. We moeten de lidstaten ondersteunen bij hoge werkloosheid door een SURE 2.0. En we moeten investeren in onderwijs en gezondheidszorg. 
Alleen zo beschermen we miljoenen mensen in Europa echt tegen de armoede.
"
Sara MATTHIEU,2023-05-09,EN,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-031-0000_EN.html,"  Sara Matthieu (Verts/ALE).   – Mr President, colleagues, for the longest time, Europe stood for one word: ‘austerity’. And as we will have Chancellor Scholz here later with us this morning, I truly have to say that I hope that we don’t return to the fetish of the ‘schwarze Null’. The fact that the Council has scratched out social investments and has put defence instead – I think that is extremely worrying.
Colleagues, when in the past our alarms went off because of debt creation, we now need a real social golden rule. To go back to austerity politics in the middle of a cost of living crisis – that is a social bomb. It will drive people straight into the arms of the extreme right. We have to make a choice here: if Member States are unwilling to create the needed EU funding for social and green investments, well then the national budgets need to be able to fill the gap.
"
Sara MATTHIEU,2023-04-17,NL,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-145-0000_NL.html,"  Sara Matthieu (Verts/ALE).   – Voorzitter, collega’s, met deze nieuwe wetgeving laten we de zware industrie eindelijk betalen voor hun vervuiling en scherpen we onze klimaatdoelen aan. Tegelijk zorgen we voor eerlijke concurrentie met de rest van de wereld door de invoering van de koolstofgrensheffing. Ik ben blij met deze stap vooruit voor het klimaat, al had het uitfaseren van die gratis uitstootrechten voor ons als Groenen nog net iets sneller gemogen.
Maar op sociaal vlak is dit pakket ruim onvoldoende. We kunnen het niet maken om de meest kwetsbare gezinnen te gaan treffen met een koolstoftaks op verwarming of vervoer. Ja, het Sociaal Klimaatfonds zal een stap vooruit zijn om gezinnen uit mobiliteits- en energiearmoede te helpen. Maar nee, dit is niet voldoende als compensatie. Het feit dat de lidstaten dit fonds tijdens de onderhandelingen gekortwiekt hebben, vind ik echt onbegrijpelijk. Dus het is nu ook echt aan die lidstaten om dit recht te trekken. Investeer massaal in echt sociaal klimaatbeleid, isoleer sociale woningen, investeer in meer en beter openbaar vervoer. 
Klimaatbeleid en sociale rechtvaardigheid moeten altijd hand in hand gaan. Iedereen moet mee aan boord als we de klimaattransitie willen laten slagen. Laat ons daar samen werk van maken. Op die manier wordt de Green Deal ook écht een sociale deal.
"
