MP,Date,Language,Title,Url,Content
Saskia BRICMONT,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-281-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Monsieur le Président, l’intérêt supérieur de l’enfant consacre le droit de chaque enfant à avoir une famille, et ils sont 2 millions en Europe, 2 millions d’enfants, pour qui ce droit deviendra réellement effectif si le règlement sur la reconnaissance mutuelle des liens de filiation est adopté. Deux millions d’enfants qui pourront enfin circuler, s’établir librement au sein de l’Union européenne avec leur famille LGBTQIA+. Ça compte, pour ces 2 millions d’enfants et leur famille. Ça compte, pour nous parce que, en 2023, en Europe, les droits de ces enfants sont violés par les conservateurs, par l’extrême droite, qui s’attaque aux droits des familles LGBTQIA+, en Italie et ailleurs.
En 2023, l’Union européenne doit protéger les droits de tous les enfants et de toutes les familles. Si vous êtes parent dans un pays, vous êtes parent dans tous les pays. Il appartient désormais à nos gouvernements, qui auront l’ultime décision entre leurs mains, de concrétiser cette juste affirmation de la présidente de la Commission européenne: «Un enfant est un enfant, une famille est une famille, et toutes et tous ont des droits, dont nos gouvernements doivent être les garants.»
"
Saskia BRICMONT,2023-12-13,FR,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-467-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Monsieur le Président, l’enquête menée par l’OLAF puis les pressions du Parlement européen à son encontre ont provoqué la démission du directeur de Frontex, Fabrice Leggeri. Une bonne partie de cet hémicycle a sans doute cru que l’agence allait renaître sous de nouveaux auspices, qu’elle laisserait derrière elle les dysfonctionnements du passé et permettrait ainsi de justifier l’évolution, continue, de son budget de plus de 900 millions d’euros sur dix ans. Quelle gageure! 
L’agence se livre une fois de plus à des pratiques abjectes. En communiquant les coordonnées GPS de bateaux cherchant à rejoindre l’Europe à une milice libyenne, elle a livré des innocents en pâture à un groupe criminel qui se finance grâce au trafic de migrants et qui les torture.
Rappelez-moi combien l’Union européenne dépense dans ses plans de lutte contre le trafic d’êtres humains, dont elle a fait une de ses priorités? La coopération avec des trafiquants est-elle une conception partagée tant par Frontex que par la Commission européenne? Frontex a appliqué presque toutes les recommandations, mais apparemment pas celle du respect des droits fondamentaux.
Et vous, chers collègues, au sein de ce Parlement, allez-vous tous prendre vos responsabilités en exigeant la mise en œuvre des recommandations de la résolution Frontex comme condition sine qua non de l’octroi de la décharge budgétaire? Il est temps d’être cohérents, sans quoi les scandales vont continuer à se répéter, et l’état de droit continuera à se dégrader.
"
Saskia BRICMONT,2023-12-12,FR,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-272-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Madame la Présidente, chers collègues, l’horloge tourne pour la démocratie européenne, qui s’est construite sur les cendres de la deuxième guerre mondiale et – ne l’oublions pas – contre l’extrême droite, qui veut nous ramener vers les heures les plus sombres de notre histoire.
Désormais, c’est aussi contre l’ingérence étrangère qu’il faut lutter. En ce sens, le premier train de mesures pour la défense de la démocratie est évidemment le bienvenu, mais c’est un premier pas. Permettez-moi de partager ma stupéfaction de ne pas voir une seule des recommandations de la commission d’enquête sur les logiciels espions présente dans ce paquet de trains de mesures pour la défense de la démocratie.
La surveillance au moyen de logiciels espions, c’est contraire à la liberté d’expression, c’est contraire à la liberté de la presse. Des journalistes ont été surveillés, des opposants politiques, la société civile, des députés, des élus de cette assemblée et des membres de la Commission européenne également. Si cela continue à être toléré, je crains que nous ne loupions un fameux tournant dans la préservation de nos démocraties.
"
Saskia BRICMONT,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-367-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Monsieur le Président, chers collègues, je fais aujourd’hui appel à nos cœurs. L’Union européenne porte une responsabilité historique dans le conflit israélo-palestinien; elle porte aujourd’hui une responsabilité historique pour arriver à parler d’une seule voix et obtenir un cessez-le-feu immédiat, afin de mettre fin au massacre sans précédent de civils, d’enfants innocents, de journalistes et de travailleurs humanitaires, afin d’obtenir la libération des otages, de tous les otages, et de rechercher une solution politique au conflit. Une solution à deux États, dans le but de rétablir une paix durable, conformément – aussi! – au droit international.
L’Union européenne doit par ailleurs être cohérente. Elle doit geler, confisquer les avoirs des terroristes du Hamas, à l’image de ce qu’a fait la France. Elle doit aussi adopter des sanctions à l’égard des colons israéliens violents, interdire le commerce avec les colonies et sanctionner les dirigeants coupables de crimes de guerre. L’Union européenne doit être du bon côté de l’histoire et faire en sorte également d’être du côté des solutions. Les solutions pour la paix, pour la sécurité, pour la stabilité, pour protéger nos enfants de la guerre là-bas, pour protéger nos enfants de la haine et de l’antisémitisme ici.
"
Saskia BRICMONT,2023-11-22,FR,Cyprus Confidential - need to curb enablers of sanctions-evasion and money-laundering rules in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-275-0000_FR.html,"  Saskia Bricmont,  au nom du groupe Verts/ALE. – Monsieur le Président, coffre-fort pour les oligarques russes, place financière opaque favorable au contournement des sanctions et des règles européennes contre le blanchiment de capitaux, système d’octroi de visas dorés. Non, ce n’est pas le scénario de la toute dernière série Netflix, c’est bien ce que révèle «Cyprus Confidential» sur Chypre, un État membre de l’Union européenne.
Alors que la Russie déclenchait sa guerre contre l’Ukraine, les facilitateurs financiers chypriotes se sont empressés d’aider les oligarques russes et les alliés de Poutine pour protéger leurs actifs et éviter les sanctions occidentales en place depuis 2014. 
Permettre à des criminels de passer entre les mailles du filet des mesures restrictives européennes contre la Russie, c’est non seulement une violation de la législation européenne et un contournement des sanctions, mais c’est aussi une forme de complicité avec la Russie de Poutine.
Si la mauvaise réputation de Chypre n’est plus à faire, connue pour sa législation trop laxiste qui permet une industrie florissante du secteur financier et du secret financier surtout, sa complaisance tourne en complicité. Elle sert aussi de courroie de transmission à l’argent sale et aux fortunes russes vers l’Occident, alors que le mot d’ordre est de faire barrage à Poutine il appartient donc aussi au Conseil de légiférer, de réagir.
Quand les sanctions, qui sont notre seule arme non militaire contre Poutine, sont ainsi contournées, et quand la citoyenneté européenne fait l’objet de transactions financières et bénéficie à des criminels de guerre, la menace pour la sécurité européenne est réelle.
L’action chypriote, mais aussi la mollesse de la Commission face aux demandes répétées de notre assemblée de légiférer sur les visas dorés, et de faire en sorte que la loi européenne soit respectée, sont impardonnables face à une situation connue de longue date et toujours pas réglée malgré la guerre aux frontières de l’Union.
"
Saskia BRICMONT,2023-11-22,FR,The lack of legislative follow-up by the Commission to the PEGA resolution (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-346-0000_FR.html,"  Saskia Bricmont,  au nom du groupe Verts/ALE. – Monsieur le Président, Monsieur le Commissaire, il y a cinq mois, après des centaines d’heures de travail, la commission d’enquête PEGA a remis ses recommandations à la Commission européenne et aux États membres. Et, toujours prompte à agir dans le domaine de la sécurité intérieure, la Commission, selon ce Parlement en tout cas, peut-être pas selon elle, a le pouvoir d’agir lorsque la liberté de la presse, de réunion, d’expression, l’exercice des droits civils et politiques, lorsque la sécurité européenne sont menacés par des gouvernements européens et par des États tiers qui nous espionnent.
Et ce n’est pas seulement à ce Parlement que l’on vous demande de répondre, c’est aux milliers de victimes d’espionnage illégal: aux journalistes et leurs sources en danger parce qu’au lieu d’être protégés par vous, ils sont espionnés, aux victimes de violations des droits fondamentaux parce que nos États exportent des logiciels malveillants vers des régimes autoritaires. Depuis la fin de notre commission d’enquête, d’autres journalistes en exil, d’autres députés européens, d’autres fonctionnaires de la Commission européenne, d’autres diplomates ont été espionnés. Et toujours aucune réaction. Et au contraire, l’Union européenne continue à déballer le tapis rouge aux États tiers qui sont soupçonnés d’être à l’origine de ces attaques.
J’ai donc des questions: pourquoi le fait que le Vietnam puisse nous espionner ne suscite pas le moindre émoi? Pourquoi la France, via la société Nexa, a-t-elle pu en toute impunité exporter vers un des pays les plus liberticides au monde, alors que ce type de logiciel risque d’être utilisé contre des opposants politiques? Pourquoi des enquêtes ne sont-elles pas ouvertes sur les tentatives d’espionnage, sur notre collègue Karleskind, sur notre présidente Metsola, sur des membres de la Commission européenne?
Chers collègues, je pense que nous sommes en droit de nous demander si la Commission européenne joue délibérément avec la sécurité des Européens, qui sont aussi en droit de se demander pourquoi nos recommandations ne sont pas suivies.
"
Saskia BRICMONT,2023-11-20,FR,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-055-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Madame la Présidente, la Convention internationale des droits de l’enfant a été adoptée à l’unanimité par les 197 États le 20 novembre 1989. Elle affirme que ne pas faire la guerre ni la subir est un droit de chaque enfant. Mettons donc fin aux massacres en cours à Gaza via un cessez-le-feu immédiat. Le droit de vivre dignement, le droit à une alimentation saine, le droit au logement sont des droits pour chaque enfant. Alors que cinq millions d’enfants sont en risque de pauvreté en Europe, il est temps d’agir, notamment via la garantie – mais celle-ci doit devenir effective dans chaque État.
Le droit à la participation est un droit. Il est grand temps aussi de faire de la COP 28 la première COP qui intègre les jeunes à la table des négociations. Aller à l’école est un droit. La Commission européenne doit rendre effectif l’engagement à une tolérance zéro à l’égard du travail des enfants. C’est un engagement pris en 2019, il reste encore beaucoup trop à faire.
Le droit à la famille est un droit de chaque enfant qui aujourd’hui est violé par le gouvernement Meloni. Il est grand temps de faire respecter le droit de toutes les familles, notamment les familles LGBT. La CIDE est une convention universelle à la communauté internationale, à l’Union européenne de la faire respecter.
"
Saskia BRICMONT,2023-10-18,FR,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-289-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Madame la Présidente, 80 % des objectifs de développement durable – accès à l’électricité, à l’alimentation, à l’école, recul de la pauvreté – ne seront pas atteints en 2030. Les leaders mondiaux réunis aux Nations unies, en septembre, ont reconnu que les crises ont balayé les progrès réalisés depuis 2015 et, pire, que les inégalités se creusent, en raison d’une solidarité internationale défaillante.
Au lendemain de la Journée internationale du refus de la misère, un seul mot d’ordre: accélérer les efforts.
Et à l’issue de la semaine du commerce équitable, quand 80 % de nos flux commerciaux sont des obstacles à la réalisation des objectifs de développement durable, une seule leçon s’impose: aligner toutes nos politiques sur les ODD – pas uniquement la coopération au développement, mais bien toutes nos politiques. Notre Parlement a demandé un audit de la politique commerciale. D’où ma question: où en est la Commission européenne dans cet audit?
Parce que, contrairement aux traités et aux engagements initiaux de la Commission von der Leyen, les ODD ne semblent pas être la boussole de toutes les politiques de l’Union européenne, et c’est une grave erreur, dans un contexte mondial d’insécurité, de conflits, de migrations forcées liées à la pauvreté et aux conséquences du dérèglement climatique, où le destin de l’Union européenne est étroitement lié à celui du reste du monde.
"
Saskia BRICMONT,2023-10-17,FR,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-038-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Monsieur le Président, des sanctions sont efficaces lorsqu’elles sont mises en œuvre. Elles sont alors un élément essentiel de la réponse, non militaire, européenne à l’agression russe. Mais, après onze paquets de sanctions censés affaiblir la Russie de Poutine, les sanctions sont contournées à travers des montages commerciaux ou par l’entremise d’États tiers, avec l’implication honteuse d’États européens. Par le biais d’États tiers, des Européens continuent d’exporter vers la Russie des biens et des matériaux contribuant directement à la guerre.
La directive sur la criminalisation du contournement des sanctions en Europe, en cours de négociation avec le Conseil, doit donc devenir un outil qui rende ces sanctions opérationnelles et prévienne de futures violations. Il s’agit donc bien de mettre un terme aux violations des sanctions par des profiteurs de guerre sans scrupules, et non de criminaliser les personnes et les organisations qui protègent les populations civiles et renforcent les sociétés civiles dans les pays en conflit.
Les acteurs humanitaires doivent donc être exemptés, et le respect des droits fondamentaux doit lui aussi être garanti.
"
Saskia BRICMONT,2023-10-17,FR,Question Time with Commissioners - European measures to prevent and to fight the rise of organised crime,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-302-0000_FR.html,"  Saskia Bricmont (Verts/ALE).   – Monsieur le Président, Monsieur le Vice-Président, les causes et les conséquences de la criminalité organisée liée au trafic de drogue en Europe sont multiples et elles doivent trouver – vous l’avez dit, Monsieur Schinás – des réponses systémiques.
Certaines ont déjà été évoquées dans la séance de questions-réponses, mais, outre la nécessaire approche répressive contre les criminels, il faut aussi d’urgence des mesures d’ordre économique, social, culturel, mais aussi des politiques destinées à la jeunesse pour prévenir le développement des activités criminelles, notamment dans des quartiers précarisés et au sein des populations déjà précarisées. La criminalité organisée ne peut plus être une voie profitable pour des enfants en déshérence. 
D’autre part, les populations des quartiers affectés par les règlements de compte et la violence généralisée doivent aussi pouvoir bénéficier de notre soutien. Utilisons les profits de ces crimes – qui sont confisqués – pour la prévention et pour le soutien aux communautés affectées. 
Et donc quelles sont ces mesures de prévention que vous apportez et qui sont mises en place? Quelles sont les mesures d’accompagnement qui sont prévues, pour les communautés affectées, mais aussi pour les jeunes, qui sont forcés de collaborer à la criminalité organisée? Enfin, que penser de la volonté d’Europol de mettre fin à ce chiffrage de bout en bout, dans le cadre de ses missions de lutte contre la criminalité organisée? La surveillance généralisée est-elle vraiment la solution? Le respect de la vie privée et la confidentialité des échanges ne sont-ils pas des prérequis dans un État de droit? 
"
