MP,Date,Language,Title,Url,Content
Sergey LAGODINSKY,2023-12-13,DE,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-273-0000_DE.html,"  Sergey Lagodinsky,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Baby Sara ist inzwischen vier Jahre alt, sie lacht gern, tobt herum und hat mit Sicherheit ihren eigenen Kopf. Sie wird von zwei Menschen erzogen, die sie lieben, die sich lieben. Liebe kann aber manchmal kompliziert sein, denn Sara hat nicht die gleichen Rechte wie andere Kinder ihres Alters, weil ihre Rechte und die ihrer Eltern Kalina und Jane in Bulgarien und in zehn weiteren EU-Staaten beschnitten werden. Weil sie in elf Mitgliedstaaten diskriminiert werden dürfen. Weil sich elf Mitgliedstaaten mehr dafür interessieren, wie Sara gezeugt wurde, als wie sehr sie geliebt wird oder wie ihre Zukunft aussieht.
Wir unterstützen daher den Vorschlag der Kommission, gleichgeschlechtlichen Paaren ein Recht auf ihr Kind und ihren Kindern ein Recht auf Elternliebe zu geben. Wir sind entsetzt, dass dieser Vorschlag für so viele Mitgliedsländer schon jetzt eine rote Linie ist, ob aus falscher Sorge um ihre sogenannten traditionellen Werte – an dieser Stelle schöne Grüße an den Kreml und Herrn Putin – oder aus falscher Rücksicht auf angebliche Formalien. Denn es ist nicht unsere Aufgabe, Liebe zu verkomplizieren. Es ist unsere Aufgabe, alle Kinder in der EU zu unterstützen, egal wo sie wohnen, egal welches Geschlecht ihre Eltern haben. Regenbogenfamilien müssen in jedem Mitgliedstaat anerkannt werden, sonst werden die Grundrechte von Eltern und Kindern untergraben.
"
Sergey LAGODINSKY,2023-12-12,EN,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-253-0000_EN.html,"  Sergey Lagodinsky,  on behalf of the Verts/ALE Group. – Madam President, Madam Vice-Presidents, Madam Commissioner, yes, we have issues with foreign interference, with hybrid interventions from abroad, and with corrupt politicians at home. But frankly, those issues are not quite new. There has always been money that spoke louder than words if paid to the right people. There was always corruption and always politicians for sale to foreign powers.
So what is new? I will tell you what is new. A political trend where authoritarians and anti-democrats set their NGOs under pressure by accusing them of being foreign agents, by blaming them for representing interests of their grantors, by imposing on the NGOs the burden of bureaucracy, distracting them from their original burden: the burden of saving democracy.
This should not happen with this law, for one simple reason: we are not authoritarians. We do not want to assist authoritarians in the EU to label, prosecute, pressure their civil society, and this is our goal with this legislation.
We must strike a delicate balance between accountability and freedom. This is how history will judge us, will judge you, and will judge this legislation. Let’s do everything possible to defend our free space for our civil society.
"
Sergey LAGODINSKY,2023-11-23,DE,Digitalisation of cross-border judicial cooperation - Digitalisation of cross-border judicial cooperation (amendment of certain directives and framework decisions) (joint debate – Judicial cooperation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-089-0000_DE.html,"  Sergey Lagodinsky,  im Namen der Verts/ALE-Fraktion. – Sehr geehrter Herr Präsident, Frau Vizepräsidentin, Frau Berichterstatterin, Kolleginnen und Kollegen! Die Digitalisierung der Zusammenarbeit ist dringend notwendig, und es ist gut, dass wir sie vorantreiben.
Europa und seine Justizsysteme: Ja, wir wachsen stärker zusammen, und digitale Mittel gehören dazu. Und ja, wir kriegen dadurch auch Chancen. Zum Beispiel wird der Zugang zur Justiz so verbessert, die Rechtsprechung kann schneller und effizienter werden. Und was für mich besonders wichtig ist: Die Opfer von Straftaten müssen nicht persönlich anreisen, wenn sie in anderen Mitgliedstaaten sind, oder – das ist auch sehr wichtig – Gewalt und traumatisierende Erfahrungen müssen nicht noch einmal durchlebt werden, wenn man in einem Zimmer mit dem Täter, mit der Täterin, oder dem Beschuldigten zu diesem Zeitpunkt, als Zeugin oder als Opfer da ist. Das ist auf der Gutseite.
Aber lasst uns auch nicht vergessen, dass es um Grundrechte geht. Es geht hier nicht nur um das Vertrauen in dieses System, sondern auch um Grundrechte, um Integrität unseres Rechtssystems und schlussendlich auch um Rechtsstaatlichkeit. Wir wissen alle aus unserem normalen Leben: remote meetings haben was anders als meetings im Raum, und umso wichtiger ist es bei Anhörungen im Gericht, dass die digitalen Anhörungen nicht das Gleiche sind wie der Austausch vor Ort; das soll und darf nicht zum Normalfall werden.
Wichtig für uns auch: Vertraulichkeit der Kommunikation mit Anwälten muss gewahrt bleiben. Wir dürfen nicht in Richtung Russland und anderer autoritärer Staaten gehen. Aber, ich bin da ganz optimistisch. Wir haben da genug Schutzmaßnahmen eingebaut.
"
Sergey LAGODINSKY,2023-10-19,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (RC-B9-0436/2023, B9-0436/2023, B9-0438/2023, B9-0442/2023, B9-0444/2023, B9-0445/2023, B9-0447/2023, B9-0448/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-139-0000_EN.html,"  Sergey Lagodinsky,  on behalf of the Verts/ALE Group. – Madam President, the amendment addresses the horrific situation around the hospital in Gaza and the tragedy that took place there. It was formulated in consensus with the leading groups in the first hours after the incident news arrived. And now, as more and more news is upcoming and more and more differentiation is there about what happened, we would like to propose an amendment that would focus on those who innocently perished there, and the potential perpetrators who are responsible for it, with consideration of the new information that we have in the media, so that we do not spread fake information or do not somehow push it, even unwillingly. 
Our proposal is the following: ‘Deeply regrets and mourns the loss of hundreds of innocent lives and those injured at the Al-Ahli Hospital blast; calls for an independent investigation under international law to establish whether this was a deliberate attack and thus a war crime; calls for perpetrators to be held accountable.’
"
Sergey LAGODINSKY,2023-10-18,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-061-0000_EN.html,"  Sergey Lagodinsky (Verts/ALE).   – Mr President, my wholehearted condolences to the victims and all those affected by the destruction of the Al-Alhi al-Arabi Hospital in Gaza, no matter how many victims there were, because even one person’s life is a human life.
It is tragic that missiles of Islamic Jihad and Hamas are flying over the heads of those whom Hamas has made their hostages, and by that I don’t mean Israelis – I mean Palestinians. It is tragic that instead of investing in water and sewage systems, water pipes are used to produce missiles, machinery to kill – to kill others and sometimes to kill one’s own. It is unimaginable pain to look at photos of the Israeli victims. It is tragic that Israel has no choice but to defend itself and, yes, defend itself by military, because Hamas leaves Israel no other options.
This war started with Hamas inhumanity. This war will end through Israel’s humanity. Because yes, it is human, deeply human, to try to provide security to your civilians, but it is also human to do the utmost possible to limit the humanitarian losses in Gaza, to look for peaceful solutions beyond the current operation and, yes, look for a peaceful solution with Palestinians ultimately.
This time is now time for our commonness in Europe without hatred, without hatred on the streets and without us trying to get political benefits from supporting the masses, chanting for terrorists. We need to stand together, even if it is very, very hard to be able to stand.
"
Sergey LAGODINSKY,2023-10-18,DE,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-183-0000_DE.html,"  Sergey Lagodinsky (Verts/ALE).   – Frau Präsidentin, sehr geehrte Kolleginnen, sehr geehrte Kollegen! Bisher haben wir Geostrategie gar nicht bedacht. Jetzt versuchen wir, Geostrategie im Analogen auszubuchstabieren. Was wir immer noch nicht machen, ist, eine Geostrategie für den digitalen Bereich zu erarbeiten. Denn ein wahres geostrategisches Europa versteht Digitalpolitik nicht bloß als eine technische Sache. Unsere Zukunft entscheidet sich daran. Es muss zu einer Technologie-Außenpolitik kommen.
Dazu müssen wir drei Ziele, drei Bereiche und drei Notwendigkeiten formulieren. Drei Ziele: Es muss um Handlungsfähigkeit, auch im digitalen Bereich, gehen. Es muss um unsere Kapazitäten gehen und zu einem Ausgleich zwischen Kapazitäten und Werten kommen. Die Werte sind ein grünes Europa und ein menschenzentriertes, digitales Europa. Und es muss um eine strategische Herangehensweise gehen, also eingebettet in unsere Außenpolitik. 
Drei Bereiche sind notwendig: Wettstreit zwischen globalen Mächten müssen wir adressieren, gerade im technologischen Bereich. Wir müssen über Krieg und Friedensschaffung mit digitalen Mitteln reden. Und wir müssen über Freiheit und Unterdrückung mit den Mitteln der digitalen Technologie reden. Das sind die Ziele, die müssen wir ganz normal geostrategisch und außenpolitisch einbetten und bearbeiten.
"
Sergey LAGODINSKY,2023-10-17,EN,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-014-0000_EN.html,"  Sergey Lagodinsky,  on behalf of the Verts/ALE Group. – Mr President, the effectiveness of sanctions is determined by clarity about our sanctions’ goals, and effectiveness of sanctions is determined by the professionalism of sanction policies.
This Council and this Commission have lost sight of the main priorities: our priority is to prevent Russian government and Russian machinery from continuing to be able to finance this genocidal war.
The goal of sanctions is not collective punishment of Putin’s opponents in the EU. Just recently, the interpretation of sanctions by the Commission – according to which Russian dissidents cannot bring personal items such as shampoo or soap from Russia to the EU – is frankly an embarrassment and is self-ridiculing the sanction instrument, one of the most important instruments of our foreign policy.
Cars with Russian plates should not be allowed in the streets of the EU? Come on, listen to that. Are those our priorities?
At the same time, while EU customs officers were hunting down Russian dissidents and their personal cars, we have heard about lifting sanctions from key actors of the media landscape in Russia, based apparently on two articles in the media. Is that the professionalism that we want in our sanction policies?
We hear reports about sanction lists that are created based on Wikipedia articles. Is that the professionalism that we have? We still do not have a clear understanding of how sanctions are imposed, lifted and implemented.
Dear Commissioner, dear Council, we must increase pressure, we must enact more sanctions, and our colleagues were right about that. We must close the loopholes. But please do it with a clear view of helping Ukraine through restricting the Russian state, and do this by driving a clear, transparent and professional strategy.
"
Sergey LAGODINSKY,2023-10-04,DE,The case of Zarema Musaeva in Chechnya,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-472-0000_DE.html,"  Sergey Lagodinsky,  Verfasser. – Herr Präsident! Wer Bilder von Sarema Mussajewa gesehen hat, der weiß, worum es hier geht. Es geht um menschenfeindliche Verbrechen gegen eine unschuldige Frau, deren Familienmitglieder es gewagt haben, Kadyrow zu widersprechen.
Es geht aber auch um viel mehr: Es geht um ein Symptom des Zerfalls des Systems Putin – systemischen Zerfall, moralischen Zerfall. Es geht auch um einen Deal, einen Deal mit Menschenleben zwischen Moskau und Grosny, einen Deal zum Machterhalt.
Und es geht auch darum, dass Tschetschenien seit Jahrzehnten ein Labor geworden ist – ein Labor zur Normalisierung von Unmenschlichkeit. Erst durch einen Vernichtungskrieg gegen das tschetschenische Volk, jetzt zur Normalisierung der brutalsten Grausamkeit gegen Dissidentinnen und Dissidenten, gegen Familien dieser Dissidenten, gegen unterdrückte Frauen und auch gegen Minderheiten, insbesondere gegen die LGBTQI-Gemeinschaft.
Mit dieser Entschließung sagen wir: Wir schauen ganz genau auf diese Verbrechen, und diese Verbrechen sind nicht nur in Moskau, sie sind überall in Russland und besonders in Grosny. Wir schauen zu, und wir ziehen unsere Schlussfolgerungen. Wir lassen es nicht weiter so gehen.
"
Sergey LAGODINSKY,2023-10-03,DE,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-349-0000_DE.html,"  Sergey Lagodinsky (Verts/ALE).   – Frau Präsidentin! Wir glauben nicht, wenn Aserbaidschan sagt, dass Bergkarabach in ein multinationales Aserbaidschan integriert wird. Wir können dem nicht glauben, wenn eine kulturelle Entfaltung und Bürgerrechtsschutz verbal versprochen wird. Nein, was wir sehen, ist eine kulturelle Auslöschung und eine ethnische Säuberung, wenn nicht durch nachgewiesene Gewaltanwendung – manche bezweifeln das –, dann doch sicherlich durch nachgewiesene Androhung der Gewalt und der physischen Auslöschung. Wenn das Anliegen von Bergkarabach als Terrorismus dargestellt wird, wird die gesamte Bevölkerung, jedenfalls die männliche Bevölkerung, zu Verbrechern degradiert und damit auch mit Tod bedroht.
Unsere Forderungen müssen sein, dass wir doch auch der armenischen Minderheit aus Bergkarabach eine Perspektive bieten, bis hin zu einer Möglichkeit, unter einer internationalen Garantie zurückzukehren. Jedenfalls muss die Zahlung der Entschädigung klar und deutlich gefordert werden. Und wir müssen die kleine Demokratie in Armenien unterstützen und den Armenen eine westliche, eine demokratische Perspektive anbieten.
"
Sergey LAGODINSKY,2023-09-12,EN,Ukrainian grain exports after Russia’s exit from the Black Sea Grain Initiative (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-414-0000_EN.html,"  Sergey Lagodinsky (Verts/ALE).   – Madam President, Vladimir Putin doesn’t use the internet. But if he did, he would be able to visit the site of the World Food Programme and read the very first sentence: ‘Today, 828 million people around the world will go to bed hungry.’ 828 million people: the equivalent of six Russias are starving in the world. And Putin’s ultimatum will add yet another Russia to it. Over 100 million more would starve. And what is it all about? It’s about lies, it’s about blackmail and it’s about greed.
It’s about lies because there are no sanctions against food exports from Russia, but Russia always says. It’s about greed because by bombing port storages and infrastructure in Ukraine and offering Russian grain on Russian terms, it is about greed and what should we do? We should simplify, not complicate imports through the EU on Ukrainian grain. Customs and sanitary controls should not become an unnecessary burden. And yes, we need EU subsidies to make the transfer of crops with new routes economically viable. It is not about the Polish election here. It is our responsibility to ensure Ukrainian crops do not rot and people do not starve.
"
Sergey LAGODINSKY,2023-09-12,EN,2022 Report on Türkiye (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-455-0000_EN.html,"  Sergey Lagodinsky,  on behalf of the Verts/ALE Group. – Mr President, here we go again: another year, another report on Türkiye, another time to congratulate the rapporteur for his great job. Thanks for holding us together and finding solutions for everything.
Once again, we assessed if our Turkish partners came closer to us and we to them. We rely on Turkey and now we rely on Turkey even more, as a neighbour, as a NATO partner, and Türkiye relies on us. But year after year, we don’t come closer. We are still waiting for Türkiye to ratify Sweden’s NATO accession, for political prisoners to be released, for the implementation of several judgements of the European Court of Human Rights.
Yet we can help our societies to continue to cooperate. And yes, we should discuss how to advance visa liberalisation. We should discuss how to advance customs union and talk about high-level representatives meeting together again. But it does not mean that we stop thinking and believing in the accession process. I talked to civil society. I talked to the young generation. They all asked us to reiterate this chance – chance for their European future. And yes, the criticism remains, and it will always remain, and we will keep fighting for people to be released from prisons and for democracy in Turkey. But we will do it with a mind focused on Turkey being Europe at some point. We owe it to the young generation.
"
