MP,Date,Language,Title,Url,Content
Silvia SARDONE,2023-11-21,IT,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-088-0000_IT.html,"  Silvia Sardone,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, la transizione verde non deve essere un macigno economicamente e socialmente insostenibile. 
Dopo le auto, avete deciso di imporre l'elettrico anche ai mezzi pesanti: avete deciso di affossare aziende e intere filiere. Per che cosa? Beh, non per il clima. Avete detto di no ai biocarburanti, ai carburanti rinnovabili. Noi li abbiamo proposti. È chiaro quindi che dietro a politiche ambientali, vengono nascoste politiche industriali. Eh sì, perché poi a beneficiarne sarà solo la Cina. Ci saranno conseguenze su aziende e intere filiere.
Il settore dei trasporti, un settore già in difficoltà per la crisi economica e i costi dei carburanti, sarà in ginocchio. Non c'è stata alcuna analisi di impatto. Non esistono valide alternative per tratte così lunghe. E poi, per i comuni, avete deciso di imporre per il trasporto pubblico il 100 % di elettrici dal 2030. Allora io mi chiedo, soprattutto i piccoli comuni, dove pensate che li possano prendere i soldi? Un bus elettrico costa mediamente cinque volte di più. State mettendo a rischio il futuro di imprese, lavoratori e comuni solo per un'ideologia.
"
Silvia SARDONE,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-222-0000_IT.html,"  Silvia Sardone,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, il testo sugli imballaggi è un'autentica follia. Mah, sarà per questo che oggi la relatrice manco si è presentata, la capisco. 
Mettete in crisi interi Paesi, l'Italia per esempio, nazione modello per l'economia circolare. Siamo i primi in Europa e quindi al mondo nel riciclo: abbiamo raggiunto come Italia gli obiettivi europei sette anni prima. Ma buttate via anche anni di investimenti: dal 2001 al 2021 sono stati infatti investiti 7 miliardi di euro per sviluppare la raccolta differenziata e 4 miliardi di euro per coprire costi di avvio a riciclo e recupero di materiali. Ma ci sono ancora addirittura soldi nel PNRR proprio per il riciclo. 
Eliminate gli imballaggi in plastica, aumentando lo spreco, comprometterete la sicurezza alimentare e anche la protezione dei prodotti nel trasporto. Ma poi parliamo di spreco alimentare, no? Siete un po' schizofrenici perché, da un lato, dite che per combattere lo spreco bisogna fare confezioni sempre più piccole e poi, dall'altro, dite per l'insalata che ce ne vuole almeno un chilo per essere confezionata! 
Non c'è alcuna analisi di impatto: studi dimostrano, anzi, un maggiore impatto ambientale del riuso, perché ovviamente la confezione deve essere trasportata avanti e indietro e, per essere riutilizzata, deve essere lavata, quindi più acqua, più energia. Insomma, volete mandare imprese all'aria e lavoratori a casa: danneggerete settori strategici del tessuto economico. 
Io dico solo una cosa: fermatevi, vi prego, fermatevi! 
"
Silvia SARDONE,2023-10-18,IT,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-486-0000_IT.html,"  Silvia Sardone (ID).   – Signor Presidente, onorevoli colleghi, ci odiano in nome di Allah.
Gli estremisti islamici odiano il nostro modo di vivere. Odiano la libertà delle donne di scegliere chi amare, con chi uscire o come vestirsi. Odiano i nostri valori. Odiano le nostre tradizioni. Odiano la nostra cultura. Odiano la nostra arte. Odiano la nostra identità. Odiano la nostra civiltà. Odiano i nostri divertimenti e le nostre passioni. Odiano le conquiste che abbiamo raggiunto. Non vogliono integrarsi e nutrono un rancore fortissimo nei nostri confronti.
Di fronte a questo odio, la vostra risposta è la sottomissione, il buonismo, il politicamente corretto. Invece di difenderci, promuovete l'arretramento su ciò che siamo. State costruendo un'Europa debole, quando invece avremmo bisogno di un'Europa forte e orgogliosa.
Mentre loro vogliono opprimerci con la paura e il terrore, l'Europa dorme. Aveva ragione Oriana Fallaci: ""Sveglia Occidente"" o sarà troppo tardi.
"
Silvia SARDONE,2023-10-03,IT,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-295-0000_IT.html,"  Silvia Sardone (ID).   – Signor Vicepresidente, Pechino ha in mano il 60 % della produzione globale di auto elettriche e più del 60 % delle batterie in circolazione è ""Made in China"". Per produrre le auto elettriche la Cina usa l'energia data da centrali a carbone. 
Le stime dell'Eurostat sulle emissioni di anidride carbonica nei paesi dell'Unione europea nel 2022 registrano un calo del 2,8 % rispetto al 2021, però la Cina, invece, registra un aumento del 4,2 % e nei primi mesi del 2023 un altro aumento del 4 %. In Cina il consumo di petrolio è salito del 5,5 %, di carbone 3,6% e di gas dell'1,4 %.
Quindi, le mie domande. La prima è: la linea dell'Unione europea è davvero, con la scusa dell'ambiente, quella di impoverire l'Europa a favore dell'economia cinese? Perché questo è quello che sembra risultare. E poi vorrei sapere: l'Unione europea sta valutando nuovi incentivi per l'acquisto di automobili che tengano conto delle emissioni di anidride carbonica sprigionate nel loro processo di produzione e distribuzione?
"
Silvia SARDONE,2023-10-03,IT,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-297-0000_IT.html,"  Silvia Sardone (ID).   – Il tema è che qui la concorrenza non è tanto quella dell'Unione europea. Noi ci stiamo facendo concorrenza da soli favorendo paesi, come la Cina, extra Unione europea. Io quindi vorrei capire, proprio operativamente negli accordi commerciali con la Cina, se e come avete intenzione di agire.
"
Silvia SARDONE,2023-10-03,IT,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-373-0000_IT.html,"  Silvia Sardone (ID).   – Signora Presidente, onorevoli colleghi, dov'è l'Europa di fronte al dramma degli armeni che scappano dal Nagorno-Karabakh? Quasi 100 000 persone in fuga, spaventate dalle minacce dell'Azerbaigian.
Come mai l'Unione europea non s'indigna? Abbiamo visto bambini e anziani piangere andandosene dalle loro case, civili ridotti alla fame, chiese cristiane distrutte, un popolo abbandonare le proprie terre e la propria identità, che poi è anche la nostra, quella cristiana, il tutto nell'indifferenza delle istituzioni. Anzi, in questi anni abbiamo visto la Presidente von der Leyen definire l'Azerbaigian un partner affidabile.
Gli armeni sono stati abbandonati. L'Unione europea ha forse preferito i rifornimenti di gas alla vita di persone innocenti? L'Europa che cosa ha fatto in questi anni e negli ultimi mesi? Niente, non ha fatto niente. Ha lasciato intere famiglie nelle mani di un regime che mirava proprio a mandarli via. 
Ora l'ONU promette fondi e aiuti economici per questa zona. A che cosa servono se sono quasi tutti scappati via e perché non ha fatto nulla prima?
"
Silvia SARDONE,2023-10-02,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-209-0000_IT.html,"  Silvia Sardone (ID).   – Signora Presidente, onorevoli colleghi, le chiedo e vi chiedo: siamo in Iran o in Europa? Glielo chiedo perché da settimane sono minacciata di morte per aver espresso, proprio in quest'Aula, il mio no all'islamizzazione del nostro continente e il no al velo islamico. Ho ricevuto decine e decine di minacce di morte per aver mostrato semplicemente una maglia con scritto ""No al velo islamico"". Ve ne leggo alcune: ""Ti taglio la gola"", ""Ti accoltello"", ""Muori"", ""Sei da bruciare"", ""Ti uccido"", ""Ti soffocherei"", ""Esplodi"", ""Ti spacco la faccia"", ""Finisce malissimo per te"". E vi risparmio le minacce anche verso i miei figli.
Questi sono solo alcuni dei messaggi d'odio che ho ricevuto sui social e via mail. Mi chiedo se in Europa sia ancora possibile essere liberi di dire che il velo islamico non è un simbolo di libertà, ma un simbolo di sottomissione. Se posso ancora dire liberamente che non voglio un futuro islamico per il nostro continente. Posso ancora dire che non dobbiamo arretrare sui nostri valori, sui diritti umani, sulla nostra identità e sulla nostra cultura?
Di fronte a un Islam che prende spazio in Europa, opporsi è più che mai un dovere. Le minacce di morte non mi fanno paura.
"
Silvia SARDONE,2023-09-12,IT,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-029-0000_IT.html,"  Silvia Sardone,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, l'Europa deve fare di più per contrastare le catastrofi. La sua strategia green rischia di indebolire gli interventi necessari sui territori: penso alla tragica alluvione in Emilia Romagna, che avrebbe potuto essere molto limitata se si fossero costruite le necessarie vasche di contenimento delle acque e le dighe, se si fossero puliti i fiumi e se fossero stati risanati gli argini.
Dighe, vasche, pulizia dei fiumi: tutti interventi a cui vi opponete perché in contrasto con le vostre politiche di ripristino della natura. I disastri naturali come le alluvioni si limitano con più strutture fatte dall'uomo e non meno.
Sulle ondate di calore, invece, basta con l'allarmismo. Due mesi a parlare dell'estate calda e infuocata e poi si scopre che i dati dicono l'opposto: i consumi elettrici in Italia hanno registrato un calo del 3,3 % rispetto al luglio del 2022. Non solo: la temperatura media di luglio non ha mostrato un aumento esorbitante; anzi, un decremento in Italia di 0,3 gradi rispetto allo stesso periodo dell'anno precedente.
Attenzione a sparare toni da apocalisse: rendono meno seri i dibattiti sul clima.
"
Silvia SARDONE,2023-09-12,IT,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-316-0000_IT.html,"  Silvia Sardone (ID).   – Signor Presidente, onorevoli colleghi, io mi vergogno; io mi vergogno di un'Unione europea che finge di sostenere la protesta delle donne iraniane e di ricordare il coraggio della grande Mahsa Amini. Mi vergogno perché siete proprio voi che promuovete, per i vostri eventi, il velo islamico. 
Ormai sono anni che vediamo l'hijab rappresentato in chiave positiva nelle comunicazioni e sui social delle istituzioni europee: lo abbiamo visto per la conferenza sul futuro dell'Europa, gli eventi sulla gioventù, le pubblicazioni sull'ambiente, la Giornata dei diritti dell'uomo e la parità di genere e perfino per il giorno anti omofobia. 
Io mi vergogno di un'Unione europea succube dell'Islam. Io mi vergogno di un'Unione europea che vede il velo islamico come strumento di integrazione e diversità, quando invece opprime le donne. Io mi vergogno di un'Unione europea che gira le spalle alle tante donne che vogliono essere libere di non portarlo, di vestirsi come preferiscono, di frequentare, amare e sposare chi vogliono. 
Oggi più che mai bisogna ribadire che il velo islamico non è simbolo di libertà ma di sottomissione. No al velo islamico!
"
Silvia SARDONE,2023-07-11,IT,Ecodesign Regulation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-524-0000_IT.html,"  Silvia Sardone,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, l'obiettivo del regolamento sulla progettazione ecocompatibile sarebbe quello di ridurre l'impatto ambientale dei prodotti durante il loro ciclo di vita ma, ancora una volta, finisce alla fine per imporre ulteriori oneri alle imprese e pone le basi per future nuove iniziative green, con pericoli importanti per le aziende.
Apprezziamo i riferimenti alle micro, piccole e medie imprese, ma abbiamo ancora molti dubbi su questa proposta. Uno, tra tutti, la mancata inclusione del riciclo tra le esenzioni nella definizione di distruzione, al pari praticamente di riuso e rifabbricazione.
Insomma, secondo la proposta il riciclo sarebbe una modalità di distruzione del prodotto. Questa è un'assurdità che colpirebbe le aziende italiane di diversi settori che da anni investono nel riciclo – considerate che l'Italia è prima al mondo nel riciclo – e lo riteniamo un paradosso.
In pratica per attaccare le aziende della moda low cost si colpiscono anche i brand di lusso: è un paradosso che aziende come Armani, se hanno un abito invenduto, non possano distruggerlo ma non possano neanche riciclarlo. Dovrebbe smontare il mercato del lusso, che solo in Italia vale 17 miliardi di euro e il 78 % della moda di lusso è made in Italy.
Abbiamo presentato un emendamento che introduce il requisito di informazioni sull'origine del prodotto, così che il made in Italy possa essere riconosciuto e quindi valorizzato come eccellenza, ma anche in questo caso la sinistra, ovviamente, sarà assolutamente contraria.
Noi abbiamo letto 130 pagine di regole e vincoli per le aziende. In più, tra l'altro, in questo regolamento si decide di conferire il potere alla Commissione di introdurre ulteriori requisiti e obblighi attraverso atti delegati o atti legislativi specifici.
Noi rimaniamo contrari. Voi continuate a portare avanti regolamenti e proposte green che non salveranno il mondo, ma piuttosto renderanno meno competitiva l'Europa rispetto agli altri concorrenti. Non ne vale la pena.
"
